"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","notes_receivable_net","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",13.545873015873,"Down",70010000,-48045000,-4917000,-23969000,-19159000,21965000,-7300000,-7300000,14665000,-4398000,10267000,10294000,10294000,-431000,9863000,9427000,8396000,8396000,53368000,9551000,43817000,61764000,2534743000,2688558000,-153815000,74140000,1326000,72814000,2608883000,2670647000,48796000,2222000,46574000,672660000,31755000,31755000,753211000,113736000,9399000,9399000,123135000,876346000,1895094000,-174227000,1721519000,72782000,1794301000,2670647000,10294000,23969000,-3023000,-1358000,29882000,-173789000,-173789000,-173789000,-5266000,-179055000,-30775000,152443000,-783000,87000,-870000,-1261000,119624000,-29549000,-29549000,-29549000,45934000,786396000,0.31374,0.13465,0.00525,0.00353,0.082,0.48841,0.29446,0.06997,0.0678,0.51961,12.77695,0.22841,0.01552,3.26456,16.93734,35.41999
"12","2017_Q1",13.8220967741935,"Up",73674000,-53249000,-4433000,-26811000,-22005000,20425000,-8088000,-8088000,12337000,-3747000,8590000,8620000,8620000,-359000,8261000,7825000,15491000,15491000,48944000,9790000,39154000,64435000,2726212000,2907997000,-181785000,97445000,2258000,95187000,2823657000,2888092000,46710000,4423000,42287000,868072000,32179000,32179000,946961000,123083000,9253000,9253000,132336000,1079297000,1922004000,-197261000,1738451000,70344000,1808795000,2888092000,8620000,26811000,1442000,901000.000000004,37774000,-198476000,-198476000,-198476000,-115000,-204438000,-30786000,204414000,1877000,2549000,-672000,-1746000,173759000,7094999.99999999,7094999.99999999,7094999.99999999,47236000,991155000,0.27723,0.10621,0.00433,0.00271,0.06804,0.59669,0.34319,0.05768,0.05602,0.54311,12.81563,0.22695,0.01374,3.93431,20.65509,47.76813
"13","2017_Q2",14.8660317460317,"Up",76666000,-54758000,-4736000,-27933000,-22089000,21908000,-9815000,-9815000,12093000,-5405000,6688000,6716000,6716000,-314000,6402000,6191000,117484000,117484000,47140000,6882000,40258000,176550000,2931814000,3136330000,-204516000,88029000,2231000,85798000,3019843000,3196393000,39332000,3126000,36206000,863135000,36485000,36485000,938952000,143543000,9433000,9433000,152976000,1091928000,2232166000,-225856000,2020843000,83622000,2104465000,3196393000,6716000,27933000,-1206000,443000,33886000,-178171000,-178171000,-178171000,13049000,-163747000,-31425000,-10715000,277886000,301572000,-23686000,-3892000,231854000,101993000,101993000,101993000,49841000,1006678000,0.28576,0.08075,0.00294,0.00194,0.18803,0.51886,0.31494,0.04454,0.04341,0.55161,14.53984,0.2261,0.01205,5.07592,17.84061,40.58764
"14","2017_Q3",13.6650793650794,"Down",76599000,-54891000,-6249000,-28123000,-20519000,21708000,-11472000,-11472000,10236000,66000,10302000,10331000,10331000,-473000,9858000,9670000,11509000,11509000,53914000,5991000,47923000,65423000,3495208000,3724841000,-229633000,105260000,2232000,103028000,3600468000,3665891000,56113000,5071000,51042000,1223260000,38381000,38381000,1317754000,173958000,15183000,15183000,189141000,1506895000,2315019000,-252647000,2075300000,83696000,2158996000,3665891000,10331000,28123000,-4555000,21023000,54922000,-568884000,-587034000,-587034000,-6985000,-596821000,-34623000,390383000,82072000,82103999.9999999,-32000,-1908000,435924000,-105975000,-105975000,-105975000,49831000,1397218000,0.2834,0.12624,0.00448,0.00264,0.04965,0.69796,0.38114,0.0622,0.05998,0.49274,13.34971,0.22272,0.0124,3.58046,27.80817,63.83402
"15","2017_Q4",13.4531746031746,"Down",92999000,-66306000,-5860000,-32975000,-27471000,26693000,-11998000,-11998000,14695000,-2184000,12511000,12539000,12539000,-415000,12124000,12018000,4924000,4924000,87333000,8389000,78944000,92257000,3620102000,3883599000,-263497000,126141000,2232000,123909000,3746243000,3838500000,58011000,6590000,51421000,1002753000,43452000,43452000,1104216000,169464000,15680000,15680000,185144000,1289360000,2733913000,-282019000,2463906000,85234000,2549140000,3838500000,12539000,32975000,-320000,-5760000,39434000,-165884000,-165884000,-165884000,-30670000,-202248000,-36317000,-225559000,420777000,420777000,0,-2672000,156229000,-6585000,-6585000,-6585000,59668000,1172217000,0.28702,0.12923,0.00471,0.00313,0.08355,0.5058,0.30538,0.06745,0.06545,0.52193,13.82793,0.20382,0.01293,3.02188,19.56313,43.7303
"16","2018_Q1",11.9129508196721,"Down",97320000,-69196000,-6112000,-36128000,-26956000,28124000,-13723000,-13723000,14401000,-4312000,10089000,10187000,10187000,-425000,9762000,9536000,2727000,2727000,86161000,9966000,76195000,88888000,3967864000,4268322000,-300458000,107631000,1329000,106302000,4075495000,4164383000,67428000,11023000,56405000,1290997000,43804000,43804000,1402229000,186471000,15702000,15702000,202173000,1604402000,2774637000,-315417000,2473172000,86809000,2559981000,4164383000,10187000,36128000,-1026000,6940000,52229000,-358349000,-360596000,-360596000,3005000,-339822000,-41343000,287448000,40087000,40216000.0000001,-129000,-796000,285396000,-2197000,-2197000,-2197000,64252000,1477468000,0.28898,0.09799,0.00373,0.00229,0.06339,0.62672,0.35479,0.05302,0.05141,0.54107,13.75009,0.22985,0.01255,4.33547,22.95245,52.4371
"17","2018_Q2",11.66640625,"Down",105223000,-77494000,-8459000,-38576000,-30459000,27729000,-16494000,-16494000,11235000,69000,11304000,11332000,11332000,-424000,10908000,10421000,6550000,6550000,75822000,4293000,71529000,175661000,3945096000,4263489000,-318393000,136250000,1331000,134919000,4081346000,4257007000,59268000,2562000,56706000,1433215000,43388000,43388000,1535871000,154373000,15767000,15767000,170140000,1706011000,2780435000,-345571000,2453114000,97882000,2550996000,4257007000,11332000,38576000,-2121000,-6897000,40890000,-87370000,-89810000,-89810000,-16332000,-106422000,-42332000,109843000,5316000,5316000,527525.83435989,-3472000,69355000,3823000,3823000,3823000,66305000,1587588000,0.26353,0.09904,0.00409,0.00245,0.11437,0.66876,0.37294,0.05732,0.05563,0.57875,13.49277,0.23284,0.0127,4.06218,23.84493,57.01749
"18","2018_Q3",12.9807936507937,"Up",106989000,-75170000,-7104000,-37725000,-30341000,31819000,-17154000,-17154000,14665000,-2632000,12033000,12062000,12062000,-475000,11587000,11303000,9226000,9226000,73590000,5439000,68151000,194227000,3882936000,4221939000,-339003000,141102000,1329000,139773000,4024038000,4218265000,71127000,5012000,66115000,1425848000,43357000,43357000,1540332000,139748000,14881000,14881000,154629000,1694961000,2783687000,-376170000,2427088000,96216000,2523304000,4218265000,12062000,37725000,561000.000000001,11075000,61423000,4500000.00000006,-86247000,-86247000,2083000,7083000,-42171000,-22652000,351000,654000,-303000,-1358000,-65830000,2676000,2676000,2676000,69544000,1565596000,0.2974,0.10565,0.00448,0.00268,0.12609,0.67172,0.37115,0.0621,0.0603,0.58784,13.33542,0.2317,0.01303,3.73096,22.37964,48.91323
"19","2018_Q4",13.3014285714286,"Up",105028000,-79186000,-6593000,-42723000,-29870000,25842000,-16326000,-16326000,9516000,14227000,23743000,23771000,23771000,-775000,22996000,22712000,4463000,4463000,53597000,5686000,47911000,93486000,3909180000,4278283000,-369103000,149895000,1328000,148567000,4059075000,4152561000,65170000,3824000,61346000,1387688000,43599000,43599000,1496457000,134724000,14229000,14229000,148953000,1645410000,2787619000,-396127000,2411977000,95174000,2507151000,4152561000,23771000,42723000,-14974000,-8369000,43151000,30907000,-93128000,-93128000,2812000,38719000,-42212000,-40031000,832000,2084000,-1252000,-5222000,-86633000,-4763000,-4763000,-4763000,68565000,1522412000,0.24605,0.21625,0.00906,0.00547,0.06247,0.65629,0.36662,0.12475,0.12111,0.57687,13.24796,0.23185,0.01606,1.85858,22.13883,58.73961
"20","2019_Q1",14.3485245901639,"Up",105311000,-77975000,-6660000,-39365000,-31950000,27336000,-16209000,-16209000,11127000,0,11127000,11156000,11156000,-417000,10739000,10454000,19161000,19161000,64540000,8881000,55659000,83701000,3913044000,4324096000,-411052000,146089000,1330000,144759000,4059133000,4142834000,80168000,3886000,76282000,1424349000,43821000,43821000,1548338000,108504000,13585000,13585000,122089000,1670427000,2793379000,-428307000,2379505000,92902000,2472407000,4142834000,11156000,39365000,-461000,13170000,63230000,-2048000,-2048000,-2048000,-8109000,-16563000,-42256000,9822000.00000001,2057000,2705000,-648000,-1592000,-31969000,14698000,14698000,14698000,66701000,1532853000,0.25957,0.09927,0.00423,0.00252,0.05406,0.67563,0.37,0.05742,0.05575,0.57843,13.0696,0.23209,0.01312,4.04209,22.69369,55.37357
"21","2019_Q2",14.8312698412698,"Up",105368000,-77629000,-8972000,-36449000,-32208000,27739000,-16269000,-16269000,11470000,-942306.696808495,11470000,11500000,11500000,-443000,11057000,10773000,5048000,5048000,86040000,10566000,75474000,226376000,3824473000,4268287000,-443814000,134156000,1331000,132825000,3958629000,4185005000,59601000,3513000,56088000,1446053000,105199000,105199000,1610853000,99608000,7336000,7336000,106944000,1717797000,2824363000,-460357000,2374963000,92245000,2467208000,4185005000,11500000,36449000,-147000,-21375000,26427000,-17256000,-17256000,-17256000,-20260000,-37666000,-42585000,12092000,30915000,31020000,-105000,-3296000,-2874000,-14113000,-14113000,-14113000,64188000,1545661000,0.26326,0.10224,0.00437,0.00257,0.14053,0.69625,0.36933,0.05897,0.05715,0.57681,13.00118,0.23312,0.01327,3.95294,24.00157,55.5396
"22","2019_Q3",14.35171875,"Down",94903000,-74597000,-7676000,-36285000,-30636000,20306000,-16053000,-16053000,4253000,3033000.00000001,7286000,7316000,7316000,-336000,6980000,6686000,6883000,6883000,90246000,7662000,82584000,222904000,3823785000,4303868000,-480083000,125298000,1331000,123967000,3949083000,4171987000,78529000,5489000,73040000,1429755000,105222000,105222000,1613506000,99206000,6903000,6903000,106109000,1719615000,2846918000,-497007000,2355310000,97062000,2452372000,4171987000,7316000,36285000,5606000,20580000,69787000,-16425000,-28453000,-28453000,-7726000,-24001000,-42821000,-17405000,17599000,18316000,-717000,-1324000,-43951000,1835000,1835000,1835000,56591000,1528961000,0.21397,0.07045,0.00273,0.0016,0.13815,0.7012,0.36648,0.03609,0.03502,0.51229,12.71397,0.23115,0.01241,6.40458,26.89611,74.95706
"23","2019_Q4",15.355625,"Up",107593000,-76228000,-8110000,-36614000,-31504000,31365000,-16185000,-16185000,15180000,409000,15589000,15619000,15619000,-570000,15049000,14735000,8724000,8724000,102420000,8209000,94211000,239634000,3874073000,4391003000,-516930000,133990000,1331000,132659000,4008063000,4247697000,76864000,6691000,70173000,1480424000,108747000,108747000,1666035000,83801000,6474000,6474000,90275000,1756310000,2905342000,-526195000,2382284000,109103000,2491387000,4247697000,15619000,36614000,382000,-8706000,43909000,-71682000,-74473000,-74473000,-11822000,-84737000,-42967000,34592000,52005000,52094000,-89000,-961000,42669000,1841000,1841000,1841000,67979000,1564225000,0.29152,0.13695,0.00591,0.00347,0.14383,0.70495,0.36825,0.07932,0.07689,0.57917,12.82382,0.23129,0.01421,2.91598,22.88208,49.59353
"24","2020_Q1",15.5877419354839,"Up",107417000,-75900000,-8341000,-37088000,-30471000,31517000,-16543000,-16515000,14974000,27867000,42841000,42751000,42751000,-1354000,41397000,41080000,2355000,2355000,186212000,7972000,178240000,316500000,3829002000,4369930000,-540928000,201079000,66137000,134942000,4030081000,4346581000,87586000,6348000,81238000,1551112000,109562000,109562000,1748260000,83341000,6096000,6096000,89437000,1837697000,2933821000,-529194000,2408948000,99936000,2508884000,4346581000,42751000,37088000,-26888000,8103000,61054000,-26921000,-33036000,-33036000,-56140000,-108904000,-43683000,69537000,17087000,30199000,-13112000,-1460000,41481000,-6369000,-6369000,-6369000,68605000,1634453000,0.29341,0.38243,0.01637,0.00945,0.18104,0.73248,0.37603,0.22113,0.21438,0.57822,12.96735,0.23515,0.02043,1.06336,23.78978,51.78469
"25","2020_Q2",14.0780952380952,"Down",107428000,-76687000,-8977000,-36747000,-30963000,30741000,-15626000,-15626000,15115000,39689365.6321846,15115000,14960000,14960000,-546000,14414000,14097000,2612000,2612000,145029000,9211000,135818000,286505000,3856550000,4434824000,-578274000,197753000,64319000,133434000,4054303000,4340808000,75654000,2709000,72945000,1372839000,123259000,123259000,1571752000,59354000,6402000,6402000,65756000,1637508000,3171696000,-563742000,2602289000,101011000,2703300000,4340808000,14960000,36747000,3086000,-19935000,34858000,-16089000,-16089000,-16089000,-5987000,-22076000,-44535000,-202990000,239139000,239232000,-93000,-4139000,-12525000,257000,257000,257000,67488000,1432193000,0.28615,0.13122,0.00521,0.00325,0.18228,0.60574,0.32994,0.07185,0.0695,0.54751,13.26266,0.22697,0.01416,3.15918,21.18274,46.50405
"26","2020_Q3",15.57953125,"Up",109066000,-76316000,-8242000,-37045000,-31029000,32750000,-14197000,-14197000,18553000,30787221.444497,18553000,18444000,18444000,-624000,17820000,17503000,3891000,3891000,167358000,7238000,160120000,309530000,3826992000,4442767000,-615775000,197106000,62682000,134424000,4024098000,4333628000,87482000,3845000,83637000,1283566000,125150000,125150000,1496198000,58867000,6060000,6060000,64927000,1561125000,3272996000,-595117000,2670971000,101532000,2772503000,4333628000,18444000,37045000,3425000,13958000,72872000,-8092000,-8092000,-8092000,-23789000,-32091000,-46953000,-90490000,99438000,99505000,-67000,-1497000,-39502000,1279000,1279000,1279000,69795000,1342433000,0.30028,0.16048,0.00631,0.00404,0.20688,0.56307,0.30977,0.08593,0.08313,0.53544,13.11275,0.23051,0.01564,2.68257,19.17819,40.87151
"27","2020_Q4",15.85734375,"Up",109566000,-78801000,-8346000,-37952000,-32503000,30765000,-14554000,-13698000,16211000,13700716.534561,16211000,16475000,16475000,-576000,15899000,15582000,3669000,3669000,168295000,4111000,164184000,309655000,3819501000,4472088000,-652587000,202808000,61114000,141694000,4022309000,4331964000,89275000,8122000,81153000,1309250000,125743000,125743000,1524268000,58375000,5663000,5663000,64038000,1588306000,3277269000,-627884000,2643076000,100582000,2743658000,4331964000,16475000,37952000,3714000,489000,58630000,-31021000,-31021000,-31021000,-3797000,-34758000,-48241000,24506000,1174000,1529000,-355000,-1533000,-24094000,-222000,-222000,-222000,68717000,1367625000,0.28079,0.14222,0.00568,0.0036,0.20315,0.5789,0.31571,0.07482,0.07238,0.52613,12.69201,0.23165,0.0155,3.09594,19.84889,44.33467
"28","2021_Q1",15.936393442623,"Up",111445000,-79747000,-8198000,-37846000,-33703000,31698000,-14059000,-13658000,17639000,970000,18609000,18609000,18609000,-625000,17984000,17694000,2515000,2515000,203557000,4757000,198800000,343252000,3848943000,4536497000,-687554000,221755000,77755000,1.44e+08,4070698000,4413950000,98936000,7007000,91929000,1380975000,126232000,126232000,1606143000,57875000,6641000,6641000,64516000,1670659000,3305327000,-658171000,2641297000,101994000,2743291000,4413950000,18609000,37846000,3100000,7382000,66937000,-31456000,-51725000,-51725000,-63113000,-112988000,-48260000,70497000,24122000,24122000,0,-1462000,44897000,-1154000,-1154000,-1154000,69544000,1438850000,0.28443,0.15877,0.00645,0.00401,0.21371,0.609,0.32598,0.08473,0.08195,0.53368,12.64847,0.2311,0.01575,2.72748,20.65361,45.31311
