"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","interest_dividends_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",26.4270967741935,"Up",1.821e+09,-1.115e+09,7.06e+08,-4.38e+08,-4e+08,-3.2e+07,-6e+06,2.68e+08,-2.7e+07,-2.7e+07,2.41e+08,-4e+06,2.37e+08,-6.2e+07,1.75e+08,1.75e+08,1.77e+08,1.77e+08,3.83e+08,3.83e+08,5.64e+08,5.64e+08,6.73e+08,1.47e+08,1.47e+08,1.767e+09,2.054e+09,2.054e+09,2.671e+09,2.047e+09,5.11e+08,1.13e+08,4.725e+09,6.492e+09,1.157e+09,1e+07,9.3e+07,1.054e+09,7.51e+08,1.908e+09,2.006e+09,1.306e+09,4.39e+08,8.67e+08,3.312e+09,5.22e+09,3.51e+08,-8.144e+09,9.55e+09,-4.85e+08,1.272e+09,0,1.272e+09,6.492e+09,1.75e+08,6.5e+07,7.3e+07,4.7e+07,3.6e+08,-7.6e+07,5e+06,-7.1e+07,-9.3e+07,-1.11e+08,-9.9e+07,-9.9e+07,7.7e+07,-2.26e+08,6.3e+07,6.3e+07,-2e+06,6.1e+07,3.33e+08,2.757e+09,3.66e+08,0.3877,0.14717,0.0972,0.13915,0.02726,2.0678,0.9261,4.10377,0.42468,0.56013,0.5566,5.76266,4.02532,1.15823,0.2943,0.05061,0.0686,0.52542,7.12913,8.85821
"12","2013_Q1",29.3213333333333,"Up",1.081e+09,-6.42e+08,4.39e+08,-2.95e+08,-2.66e+08,-2.5e+07,-4e+06,1.44e+08,-2.5e+07,-2.5e+07,1.19e+08,2e+06,1.21e+08,-3.6e+07,8.5e+07,1.25e+08,1.27e+08,1.27e+08,3.35e+08,3.35e+08,5.53e+08,5.53e+08,7.14e+08,1.69e+08,1.69e+08,1.771e+09,2.127e+09,2.127e+09,2.632e+09,2.013e+09,4.96e+08,1.23e+08,4.759e+09,6.53e+09,1.284e+09,2.2e+07,9.3e+07,1.169e+09,7.86e+08,2.07e+09,2.004e+09,1.558e+09,2.98e+08,1.26e+09,3.562e+09,5.632e+09,3.49e+08,-8.259e+09,9.584e+09,-7.76e+08,8.98e+08,5.82076609134674e-11,8.98e+08,6.53e+09,1.25e+08,7.3e+07,2.3e+07,6.1e+07,2.82e+08,-1.5e+08,-7e+06,-1.57e+08,-9.2e+07,45000000.0000001,-1.4e+08,-1.4e+08,2.2e+07,-1.65e+08,-4e+07,-4e+07,-8e+06,-4.8e+07,2.17e+08,2.79e+09,1.64e+08,0.40611,0.13321,0.11748,0.14143,0.01945,1.29134,0.85556,6.27171,0.42726,0.40446,0.4019,3.44268,2.85987,0.52229,0.29299,0.04175,0.03126,0.72441,11.31336,17.04861
"13","2013_Q2",34.13359375,"Up",2.205e+09,-1.384e+09,8.21e+08,-4.31e+08,-3.91e+08,-2.7e+07,-1.3e+07,3.9e+08,-3.3e+07,-3.3e+07,3.57e+08,-2.2e+07,3.35e+08,-1.05e+08,2.3e+08,2.43e+08,2.45e+08,2.45e+08,3.61e+08,3.61e+08,8.92e+08,8.92e+08,9.63e+08,1.85e+08,1.85e+08,2.401e+09,2.409e+09,2.409e+09,3.937e+09,2.721e+09,1.081e+09,1.35e+08,6.346e+09,8.747e+09,1.585e+09,1.05e+08,9.8e+07,1.382e+09,1.507e+09,3.092e+09,2.94e+09,1.618e+09,4.61e+08,1.157e+09,4.558e+09,7.65e+09,3.31e+08,-8.223e+09,9.736e+09,-7.45e+08,1.099e+09,-2e+06,1.097e+09,8.747e+09,2.43e+08,9.8e+07,8e+07,-3.4e+08,8.1e+07,-3.8e+07,-9e+06,-1.614e+09,-9.2e+07,1.661e+09,-1.7e+07,-1.7e+07,6e+06,1.558e+09,2.5e+07,2.5e+07,1e+06,2.6e+07,4.88e+08,4.447e+09,2.15e+08,0.37234,0.17687,0.11111,0.22334,0.02801,0.87755,0.77652,6.97356,0.5084,0.78025,0.77532,7.02229,3.5,0.68471,0.29299,0.04705,0.03002,0.37551,8.37295,10.47692
"14","2013_Q3",33.90203125,"Down",2.162e+09,-1.4e+09,7.62e+08,-4.77e+08,-4.38e+08,-3.2e+07,-7e+06,2.85e+08,-3.1e+07,-3.1e+07,2.54e+08,-8e+06,2.46e+08,-7.8e+07,1.68e+08,1.87e+08,1.9e+08,1.9e+08,4.1e+08,4.1e+08,7.99e+08,7.99e+08,8.86e+08,1.69e+08,1.69e+08,2.264e+09,2.361e+09,2.361e+09,3.968e+09,2.743e+09,1.084e+09,1.41e+08,6.329e+09,8.593e+09,1.402e+09,3.2e+07,9e+06,1.361e+09,1.489e+09,2.891e+09,2.94e+09,1.607e+09,4.79e+08,1.128e+09,4.547e+09,7.438e+09,3.43e+08,-3.24e+08,1.841e+09,-7e+08,1.16e+09,-5e+06,1.155e+09,8.593e+09,1.87e+08,1.21e+08,6.2e+07,47999999.9999999,4.18e+08,-6.9e+07,-2e+06,-71000000.0000005,-2.74e+08,-1.5e+07,-4.6e+07,-4.6e+07,3.4e+07,-3.01e+08,4.6e+07,4.6e+07,3e+06,4.9e+07,4.06e+08,4.429e+09,4.63e+08,0.35245,0.13182,0.08788,0.1645,0.02211,2.43684,0.78312,6.43983,0.51542,0.6051,0.60127,6.88535,3.69427,1.47452,0.87261,0.06453,0.06439,1.44211,9.89901,14.10175
"15","2013_Q4",31.5565625,"Down",1.962e+09,-1.256e+09,7.06e+08,-4.48e+08,-4.09e+08,-3.5e+07,-4e+06,2.58e+08,-3.1e+07,-3.1e+07,2.27e+08,-1e+06,2.26e+08,-5.9e+07,1.67e+08,1.79e+08,1.81e+08,1.81e+08,4.53e+08,4.53e+08,6.74e+08,6.74e+08,8.88e+08,1.62e+08,1.62e+08,2.177e+09,2.356e+09,2.356e+09,3.92e+09,2.711e+09,1.075e+09,1.34e+08,6.276e+09,8.453e+09,1.295e+09,2.1e+07,8e+06,1.266e+09,1.309e+09,2.604e+09,2.944e+09,1.592e+09,4.78e+08,1.114e+09,4.536e+09,7.14e+09,3.69e+08,-3.65e+08,2.022e+09,-7.09e+08,1.317e+09,-4e+06,1.313e+09,8.453e+09,1.79e+08,9.9e+07,7.5e+07,1.2e+07,3.65e+08,-9.4e+07,-4e+06,-8.9e+07,0,-1.83e+08,-7.6e+07,-7.6e+07,3.3e+07,-2.26e+08,5e+07,5e+07,-7e+06,4.3e+07,3.57e+08,4.253e+09,3.34e+08,0.35984,0.1315,0.09225,0.13785,0.02141,1.8453,0.83602,5.43793,0.50313,0.57643,0.5674,6.24841,4.19427,1.06369,0,0.02529,0.04666,0,10.64426,14.72868
"16","2014_Q1",32.8639344262295,"Up",1.723e+09,-1.1e+09,6.23e+08,-4.25e+08,-3.86e+08,-3.4e+07,-5e+06,1.98e+08,-3e+07,-3e+07,1.68e+08,-2e+07,1.48e+08,-3.3e+07,1.15e+08,-1.6e+08,-1.58e+08,-1.58e+08,3.33e+08,3.33e+08,6.35e+08,6.35e+08,9.25e+08,3.28e+08,1.35e+08,2.221e+09,2.26e+09,2.26e+09,3.842e+09,2.297e+09,1.021e+09,5.24e+08,6.102e+09,8.323e+09,1.259e+09,1.9e+07,1e+08,1.14e+09,1.909e+09,3.282e+09,2.544e+09,1.287e+09,4.89e+08,7.98e+08,3.831e+09,7.113e+09,3.74e+08,-3.64e+08,1.772e+09,-5.65e+08,1.217e+09,-7e+06,1.21e+09,8.323e+09,-1.6e+08,8.9e+07,3.27e+08,-1.01e+08,1.55e+08,-1.3e+08,-2e+06,-3.8e+08,-999999.99999997,2.12e+08,-1.4e+07,-1.4e+07,9e+06,2.06e+08,-1.9e+07,-1.9e+07,-3.3e+07,-5.2e+07,2.87e+08,4.453e+09,8.9e+07,0.36158,0.11492,-0.0917,-0.13058,-0.01898,-0.56329,0.67672,5.87851,0.53502,-0.50318,-0.49842,5.48726,3.8758,0.28344,0.00317999999999985,-0.02259,0.01281,-0.00633000000000017,14.3554,20.80808
"17","2014_Q2",34.9119047619048,"Up",2.165e+09,-1.388e+09,7.77e+08,-4.51e+08,-4.09e+08,-3.1e+07,-1.1e+07,3.26e+08,-3e+07,-3e+07,2.96e+08,-2.1e+07,2.75e+08,-9.5e+07,1.8e+08,1.71e+08,1.72e+08,1.72e+08,3.05e+08,3.05e+08,8.04e+08,8.04e+08,1.079e+09,3.99e+08,2.06e+08,2.587e+09,2.283e+09,2.283e+09,4.185e+09,2.461e+09,1.194e+09,5.3e+08,6.468e+09,9.055e+09,1.367e+09,3.8e+07,1.01e+08,1.228e+09,2.585e+09,4.104e+09,2.247e+09,1.359e+09,5.95e+08,7.64e+08,3.606e+09,7.71e+09,3.13e+08,-3.05e+08,1.847e+09,-5.06e+08,1.349e+09,-4e+06,1.345e+09,9.055e+09,1.71e+08,7.4e+07,1.12e+08,-3.19e+08,3.8e+07,-5.2e+07,0,-3.81e+08,-9.7e+07,3.41e+08,-2e+06,-2e+06,1.9e+07,2.61e+08,-8.2e+07,-8.2e+07,0,-8.2e+07,4e+08,4.832e+09,1.24e+08,0.35889,0.15058,0.07945,0.12788,0.019,0.72093,0.63036,5.73234,0.53363,0.54777,0.54259,6.8949,4.29618,0.3949,0.30892,0.0357,0.01645,0.56395,11.3175,13.8865
"18","2014_Q3",34.07,"Down",2.281e+09,-1.467e+09,8.14e+08,-4.4e+08,-4.1e+08,-2.7e+07,-3e+06,3.74e+08,-2.9e+07,-2.9e+07,3.45e+08,-1.3e+07,3.32e+08,-1.04e+08,2.28e+08,3.18e+08,3.25e+08,3.25e+08,2.93e+08,2.93e+08,7.83e+08,7.83e+08,8.91e+08,2.07e+08,2.07e+08,2.174e+09,2.241e+09,2.241e+09,3.704e+09,2.381e+09,1.188e+09,1.35e+08,5.945e+09,8.119e+09,1.231e+09,1e+07,1.01e+08,1.12e+09,1.958e+09,3.189e+09,2.247e+09,1.284e+09,5.55e+08,7.29e+08,3.531e+09,6.72e+09,3.27e+08,-3.74e+08,2.073e+09,-6.16e+08,1.41e+09,-1.1e+07,1.399e+09,8.119e+09,3.18e+08,7.4e+07,-1.25e+08,58000000.0000001,3.25e+08,-5.5e+07,-1e+06,4.78e+08,-9.8e+07,-6.45e+08,-7.4e+07,-7.4e+07,3e+06,-8.14e+08,-1.1e+07,-1.1e+07,-1.5e+07,-2.6e+07,4.48e+08,4.205e+09,5.55e+08,0.35686,0.16396,0.14248,0.23231,0.04003,1.70769,0.68172,4.80343,0.51792,1.03503,1.03175,7.26433,4.49045,1.76752,0.3121,0.06141,0.08057,0.30154,8.73214,10.45989
"19","2014_Q4",34.26125,"Up",1.97e+09,-1.294e+09,6.76e+08,-3.83e+08,-3.51e+08,-3e+07,-2e+06,2.93e+08,-3e+07,-3e+07,2.63e+08,-1e+06,2.62e+08,-7.9e+07,1.83e+08,1.83e+08,1.84e+08,1.84e+08,2.22e+08,2.22e+08,6.69e+08,6.69e+08,8.58e+08,1.98e+08,1.98e+08,1.947e+09,2.263e+09,2.263e+09,3.754e+09,2.431e+09,1.185e+09,1.38e+08,6.017e+09,7.964e+09,1.155e+09,3e+06,1.01e+08,1.051e+09,1.662e+09,2.817e+09,2.247e+09,1.309e+09,5.81e+08,7.28e+08,3.556e+09,6.373e+09,3.34e+08,-3.64e+08,2.159e+09,-5.27e+08,1.602e+09,-1.1e+07,1.591e+09,7.964e+09,1.83e+08,7.4e+07,6.3e+07,8e+07,4e+08,-7.2e+07,0,-8.6e+07,-9.8e+07,-2.99e+08,0,0,8e+06,-3.89e+08,-7.5e+07,-7.5e+07,4e+06,-7.1e+07,3.67e+08,3.909e+09,4.54e+08,0.34315,0.14873,0.0934,0.11565,0.0231,2.46739,0.69116,4.00566,0.49083,0.58599,0.58228,6.27389,5.10191,1.44586,0.3121,0.04142,0.06668,0.53261,10.04632,12.58362
"20","2015_Q1",36.4416393442623,"Up",1.852e+09,-1.148e+09,7.04e+08,-3.75e+08,-3.35e+08,-3.4e+07,-6e+06,3.29e+08,-3e+07,-3e+07,2.99e+08,-2e+07,2.79e+08,-9.6e+07,1.83e+08,1.83e+08,1.85e+08,1.85e+08,2.32e+08,2.32e+08,6.7e+08,6.7e+08,1.016e+09,1.82e+08,1.82e+08,2.1e+09,2.318e+09,2.318e+09,3.695e+09,2.433e+09,1.175e+09,8.7e+07,6.013e+09,8.113e+09,1.218e+09,3.7e+07,1.01e+08,1.08e+09,1.771e+09,2.989e+09,2.244e+09,1.277e+09,5.48e+08,7.29e+08,3.521e+09,6.51e+09,3.42e+08,-3.56e+08,2.198e+09,-5.69e+08,1.615e+09,-1.2e+07,1.603e+09,8.113e+09,1.83e+08,8.3e+07,2.6e+07,-1.56e+08,1.36e+08,-1.46e+08,1e+06,-1.45e+08,-9.8e+07,1.09e+08,1.49011611938477e-08,1.49011611938477e-08,6e+06,1.7e+07,8e+06,8e+06,2e+06,9999999.99999999,4.12e+08,4.015e+09,2.06e+08,0.38013,0.17765,0.09989,0.11541,0.0228,1.11351,0.70258,4.06114,0.49488,0.58917,0.58544,5.89809,5.14331,0.65605,0.3121,0.04104,0.02988,0.52973,9.18204,11.49848
"21","2015_Q2",37.1053968253968,"Up",2.255e+09,-1.46e+09,7.95e+08,-4.06e+08,-3.74e+08,-2.8e+07,-4e+06,3.89e+08,-2.5e+07,-2.5e+07,3.64e+08,0,3.64e+08,-1.16e+08,2.48e+08,2.48e+08,2.48e+08,2.48e+08,2.39e+08,2.39e+08,8.4e+08,8.4e+08,1.105e+09,1.74e+08,1.74e+08,2.358e+09,2.286e+09,2.286e+09,3.653e+09,2.379e+09,1.16e+09,1.14e+08,5.939e+09,8.297e+09,1.34e+09,1.18e+08,1.01e+08,1.121e+09,1.828e+09,3.168e+09,2.244e+09,1.279e+09,5.6e+08,7.19e+08,3.523e+09,6.691e+09,3.13e+08,-3.93e+08,2.332e+09,-6.34e+08,1.618e+09,-1.2e+07,1.606e+09,8.297e+09,2.48e+08,7.5e+07,1.7e+07,-1.52e+08,1.88e+08,-5.6e+07,-8e+06,-6.4e+07,-1.01e+08,5.2e+07,-7.3e+07,-7.3e+07,1.1e+07,-1.11e+08,1.3e+07,1.3e+07,-6e+06,7e+06,4.64e+08,4.072e+09,3.72e+08,0.35255,0.17251,0.10998,0.15442,0.02989,1.5,0.74432,4.16625,0.49078,0.78981,0.78481,7.18153,5.15287,1.18471,0.32166,0.05017,0.05347,0.40726,8.26078,9.85347
"22","2015_Q3",39.28109375,"Up",2.234e+09,-1.491e+09,7.43e+08,-4.06e+08,-3.74e+08,-2.5e+07,-7e+06,3.37e+08,-2.5e+07,-2.5e+07,3.12e+08,-1.86264514923096e-09,3.12e+08,-9e+07,2.22e+08,2.22e+08,2.22e+08,2.22e+08,2.01e+08,2.01e+08,7.94e+08,7.94e+08,9.16e+08,1.79e+08,1.79e+08,2.09e+09,2.257e+09,2.257e+09,3.556e+09,2.271e+09,1.139e+09,1.46e+08,5.813e+09,7.903e+09,1.21e+09,5.9e+07,1e+08,1.051e+09,1.64e+09,2.85e+09,2.253e+09,1.286e+09,5.47e+08,7.39e+08,3.539e+09,6.389e+09,3.28e+08,-4.48e+08,2.441e+09,-7.95e+08,1.526e+09,-1.2e+07,1.514e+09,7.903e+09,2.22e+08,7.4e+07,3e+07,7e+07,3.96e+08,-7.9e+07,3.72529029846191e-09,-7.9e+07,-9.8e+07,-1.81e+08,-6e+07,-6e+07,2e+06,-3.37e+08,-2e+07,-2e+07,-1.8e+07,-3.8e+07,4.11e+08,3.893e+09,4.92e+08,0.33259,0.15085,0.09937,0.14663,0.02809,2.21622,0.73333,4.21995,0.4926,0.71154,0.71154,7.16026,4.89103,1.57692,0.3141,0.04781,0.07351,0.44144,8.98297,10.95549
"23","2015_Q4",41.20828125,"Up",1.9e+09,-1.218e+09,6.82e+08,-3.88e+08,-3.55e+08,-3e+07,-3e+06,2.94e+08,-2.8e+07,-2.8e+07,2.66e+08,-9e+06,2.57e+08,-7.8e+07,1.79e+08,1.79e+08,1.79e+08,1.79e+08,2.3e+08,2.3e+08,6.41e+08,6.41e+08,8.76e+08,1.55e+08,1.55e+08,1.902e+09,2.292e+09,2.292e+09,3.565e+09,2.281e+09,1.133e+09,1.51e+08,5.857e+09,7.759e+09,1.091e+09,3.8e+07,1e+08,9.53e+08,1.232e+09,2.323e+09,2.553e+09,1.298e+09,5.73e+08,7.25e+08,3.851e+09,6.174e+09,3.43e+08,-5.07e+08,2.526e+09,-7.65e+08,1.597e+09,-1.2e+07,1.585e+09,7.759e+09,1.79e+08,7.4e+07,6e+07,7.4e+07,3.87e+08,-9.8e+07,1e+06,-9.7e+07,-9.8e+07,-1.04e+08,-5.9e+07,-5.9e+07,-2e+06,-2.63e+08,2.7e+07,2.7e+07,2e+06,2.9e+07,3.68e+08,3.785e+09,4.22e+08,0.35895,0.15474,0.09421,0.11293,0.02307,2.35754,0.81877,3.89527,0.48782,0.57188,0.57006,6.07029,5.10224,1.34824,0.3131,0.04154,0.06329,0.54749,9.66033,12.09184
"24","2016_Q1",47.5901639344262,"Up",1.693e+09,-1.131e+09,5.62e+08,-4.26e+08,-3.82e+08,-3.4e+07,-1e+07,1.36e+08,-2.7e+07,-2.7e+07,1.09e+08,-9.3e+07,1.6e+07,1e+06,1.7e+07,1.7e+07,1.7e+07,1.7e+07,2.53e+08,2.53e+08,6.47e+08,6.47e+08,9.95e+08,1.98e+08,1.98e+08,2.093e+09,2.347e+09,2.347e+09,3.637e+09,2.344e+09,1.205e+09,8.8e+07,5.984e+09,8.077e+09,1.263e+09,2.9e+07,1.01e+08,1.133e+09,1.543e+09,2.806e+09,2.539e+09,1.355e+09,5.05e+08,8.5e+08,3.894e+09,6.7e+09,3.51e+08,-5.56e+08,1.754e+09,-1.68e+08,1.381e+09,-4e+06,1.377e+09,8.077e+09,1.7e+07,8e+07,1.42e+08,-4e+06,2.35e+08,-1.32e+08,1e+06,-3.63e+08,-9.7e+07,3.24e+08,-5.2e+07,-5.2e+07,-1.4e+07,1.61e+08,3.3e+07,3.3e+07,-1e+07,2.3e+07,2.16e+08,4.082e+09,7.9e+07,0.33196,0.08033,0.01004,0.01235,0.0021,4.64706,0.7459,4.86565,0.50539,0.05502,0.05484,5.47896,4.46926,0.25566,0.31392,0.01673,0.01159,5.70588,17.72685,28.15441
"25","2016_Q2",51.0190625,"Up",2.203e+09,-1.448e+09,7.55e+08,-4.19e+08,-3.82e+08,-3.2e+07,-5e+06,3.36e+08,-2.8e+07,-2.8e+07,3.08e+08,-2.1e+07,2.87e+08,-9.3e+07,1.94e+08,1.94e+08,1.94e+08,1.94e+08,2.63e+08,2.63e+08,8.29e+08,8.29e+08,1.049e+09,1.96e+08,1.96e+08,2.337e+09,2.34e+09,2.34e+09,3.627e+09,2.331e+09,1.2e+09,9.6e+07,5.967e+09,8.304e+09,1.359e+09,1.23e+08,1e+08,1.136e+09,1.545e+09,2.904e+09,2.551e+09,1.439e+09,4.62e+08,9.77e+08,3.99e+09,6.894e+09,3.21e+08,-5.57e+08,1.85e+09,-2e+08,1.414e+09,-4e+06,1.41e+09,8.304e+09,1.94e+08,7.4e+07,1.31e+08,-1.55e+08,2.44e+08,-6.9e+07,1e+06,-6.8e+07,-1e+08,-1.1e+07,-3.2e+07,-3.2e+07,-1.9e+07,-1.62e+08,1.4e+07,1.4e+07,-4e+06,1e+07,4.1e+08,4.096e+09,2.79e+08,0.34271,0.15252,0.08806,0.13759,0.02336,1.43814,0.80475,4.88936,0.49326,0.62581,0.62179,7.10645,4.56129,0.9,0.32258,0.04233,0.04017,0.51546,9.34878,11.40774
"26","2016_Q3",49.4953125,"Down",2.201e+09,-1.382e+09,8.19e+08,-3.96e+08,-3.69e+08,-2.3e+07,-3999999.99999999,4.23e+08,-2.7e+07,-2.7e+07,3.96e+08,-8999999.99999999,3.87e+08,-1.22e+08,2.65e+08,2.65e+08,2.65e+08,2.65e+08,3.06e+08,3.06e+08,7.7e+08,7.7e+08,8.55e+08,2.01e+08,2.01e+08,2.132e+09,2.34e+09,2.34e+09,3.607e+09,2.318e+09,1.193e+09,9.6e+07,5.947e+09,8.079e+09,1.273e+09,7.5e+07,1e+08,1.098e+09,1.293e+09,2.566e+09,2.551e+09,1.438e+09,4.79e+08,9.59e+08,3.989e+09,6.555e+09,3.4e+08,-6.08e+08,2.017e+09,-2.23e+08,1.526e+09,-2e+06,1.524e+09,8.079e+09,2.65e+08,7.8e+07,3.2e+07,1.35e+08,5.1e+08,-8e+07,9e+06,-7.1e+07,-9.7e+07,-2.41e+08,-5.4e+07,-5.4e+07,1e+06,-3.91e+08,4.8e+07,4.8e+07,-5e+06,4.3e+07,5.01e+08,3.844e+09,6.78e+08,0.3721,0.19219,0.1204,0.17388,0.0328,2.55849,0.83087,4.30118,0.4758,0.85484,0.84936,7.1,4.92258,2.1871,0.3129,0.05319,0.09962,0.36604,7.06188,8.36407
"27","2016_Q4",46.1168253968254,"Down",1.87e+09,-1.21e+09,6.6e+08,-3.9e+08,-3.82e+08,-3.1e+07,2.3e+07,2.7e+08,-2.8e+07,-2.8e+07,2.42e+08,-2e+06,2.4e+08,-5.5e+07,1.85e+08,1.85e+08,1.85e+08,1.85e+08,3.83e+08,3.83e+08,6.48e+08,6.48e+08,8.29e+08,1.82e+08,1.82e+08,2.042e+09,2.371e+09,2.371e+09,3.668e+09,2.377e+09,1.197e+09,9.4e+07,6.039e+09,8.081e+09,1.243e+09,5.4e+07,1e+08,1.089e+09,1.134e+09,2.377e+09,2.552e+09,1.478e+09,4.85e+08,9.93e+08,4.03e+09,6.407e+09,3.54e+08,-6.39e+08,2.105e+09,-1.44e+08,1.676e+09,-2e+06,1.674e+09,8.081e+09,1.85e+08,7.6e+07,9.2e+07,1.04e+08,4.57e+08,-7.1e+07,-2.4e+07,-9.5e+07,-9.7e+07,-1.73e+08,-3.2e+07,-3.2e+07,-1e+06,-3.03e+08,5.9e+07,5.9e+07,1.8e+07,7.7e+07,3.46e+08,3.686e+09,4.34e+08,0.35294,0.14439,0.09893,0.11051,0.02289,2.34595,0.85907,3.82736,0.45613,0.60261,0.59871,6.09121,5.45928,1.41368,0.31596,0.04124,0.06347,0.52432,9.54624,12.23333
"28","2017_Q1",50.0661290322581,"Up",1.687e+09,-9.93e+08,6.94e+08,-7.32e+08,-2.94e+08,-1.9e+07,-4.19e+08,-3.8e+07,-2.8e+07,-2.8e+07,-66000000.0000001,1e+06,-6.5e+07,-1.6e+07,-8.1e+07,-8.1e+07,-8.1e+07,-8.1e+07,2.96e+08,2.96e+08,6.26e+08,6.26e+08,9.4e+08,4.6e+07,4.6e+07,1.908e+09,2.407e+09,2.407e+09,3.522e+09,2.263e+09,1.152e+09,1.07e+08,5.929e+09,7.837e+09,1.336e+09,2.2e+07,1e+08,1.214e+09,1.219e+09,2.555e+09,2.314e+09,1.435e+09,3.96e+08,1.039e+09,3.749e+09,6.304e+09,3.66e+08,-6.64e+08,1.927e+09,-1.04e+08,1.525e+09,8e+06,1.533e+09,7.837e+09,-8.1e+07,8e+07,2.74e+08,7e+06,2.8e+08,-1.16e+08,-4e+06,-1.2e+08,-9.6e+07,-1.22e+08,-2.5e+07,-2.5e+07,-1.86264514923096e-09,-2.43e+08,-8.3e+07,-8.3e+07,-4e+06,-8.7e+07,4.2e+07,3.533e+09,-50999999.9999999,0.41138,-0.02253,-0.04801,-0.05284,-0.01034,0.62963,0.74677,4.1122,0.45081,-0.26214,-0.26045,5.45955,4.93528,-0.16505,0.31068,0.00231000000000001,-0.00784,-1.18519,77.07143,-85.18421
"29","2017_Q2",47.1407936507937,"Down",2.202e+09,-1.351e+09,8.51e+08,-3.93e+08,-3.55e+08,-2.7e+07,-1.1e+07,4.58e+08,-2.8e+07,-2.8e+07,4.3e+08,-1e+06,4.29e+08,-1.37e+08,2.92e+08,2.92e+08,2.92e+08,2.92e+08,2.9e+08,2.9e+08,8.41e+08,8.41e+08,9.64e+08,5.1e+07,5.1e+07,2.146e+09,2.38e+09,2.38e+09,3.513e+09,2.259e+09,1.145e+09,1.09e+08,5.893e+09,8.039e+09,1.47e+09,1.19e+08,1.11e+08,1.24e+09,1.29e+09,2.76e+09,2.298e+09,1.383e+09,4.14e+08,9.69e+08,3.681e+09,6.441e+09,3.29e+08,-7.45e+08,2.112e+09,-1.07e+08,1.589e+09,9e+06,1.598e+09,8.039e+09,2.92e+08,7.7e+07,2.1e+07,-1.69e+08,2.21e+08,-4.8e+07,-4e+06,-5.2e+07,-1e+08,5.9e+07,-1.12e+08,-1.12e+08,-2e+07,-1.73e+08,-4e+06,-4e+06,-2e+06,-6e+06,5.35e+08,3.588e+09,4.55e+08,0.38647,0.20799,0.13261,0.18273,0.03632,1.55822,0.77754,4.03066,0.44632,0.94805,0.94194,7.14935,5.15909,1.47727,0.32468,0.05967,0.06926,0.34247,6.16449,7.20087
"30","2017_Q3",42.4633333333333,"Down",2.171e+09,-1.36e+09,8.11e+08,-6.07e+08,-3.81e+08,-2.5e+07,-2.01e+08,2.04e+08,-2.8e+07,-2.8e+07,1.76e+08,1e+06,1.77e+08,-7.6e+07,1.01e+08,1.01e+08,1.01e+08,1.01e+08,3.09e+08,3.09e+08,7.14e+08,7.14e+08,8.2e+08,5.3e+07,5.3e+07,1.896e+09,2.375e+09,2.375e+09,3.299e+09,2.064e+09,1.115e+09,1.2e+08,5.674e+09,7.57e+09,1.251e+09,1.6e+07,1.12e+08,1.123e+09,1.185e+09,2.436e+09,2.293e+09,1.362e+09,4.02e+08,9.6e+08,3.655e+09,6.091e+09,3.46e+08,-8.65e+08,2.102e+09,-1.13e+08,1.47e+09,9e+06,1.479e+09,7.57e+09,1.01e+08,7.7e+07,2.06e+08,6.2e+07,4.46e+08,-7.1e+07,-9e+06,-8e+07,-1.07e+08,-1.18e+08,-1.22e+08,-1.22e+08,2e+06,-3.45e+08,2.1e+07,2.1e+07,-2e+06,1.9e+07,2.81e+08,3.478e+09,3.48e+08,0.37356,0.09397,0.04652,0.06829,0.01334,3.44554,0.77833,4.11832,0.45945,0.33007,0.32792,7.09477,4.80392,1.13725,0.34967,0.03292,0.05507,1.05941,11.27758,15.53431
