"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",49.5487096774194,"Down",2.693e+09,-1.732e+09,9.61e+08,-2.3e+08,-2.3e+08,7.31e+08,-9.1e+07,-1.24e+08,3.3e+07,6.4e+08,6.4e+08,-2.38e+08,4.02e+08,4.02e+08,4.02e+08,4.02e+08,7.08e+08,6.93e+08,1.078e+09,1.078e+09,2.36e+08,1.77e+08,3.3e+07,2.199e+09,2.315e+09,6.6e+07,6.6e+07,2.7641e+10,2.984e+10,1.41e+09,1.26e+09,1.5e+08,5.2e+07,3.62e+08,3.62e+08,1.824e+09,8.428e+09,9.821e+09,7.803e+09,2.018e+09,1.8249e+10,2.0073e+10,2.226e+09,8.512e+09,-9.71e+08,9.767e+09,9.767e+09,2.984e+10,4.02e+08,2.32e+08,1.24e+08,5.5e+07,8.13e+08,-5.22e+08,-2e+06,4e+06,-5.2e+08,-1.59e+08,4.73e+08,-2.7e+08,4.4e+07,3.37e+08,3.37e+08,3.37e+08,9.63e+08,8.48e+09,7.34e+08,0.35685,0.27144,0.14928,0.04116,0.01347,1.82587,1.20559,2.05519,0.28418,1.13176,1.11512,7.58164,27.49718,2.06644,0.44764,4,0.01999,0.02615,0.39552,8.07061,10.63201
"12","2013_Q1",56.9703333333333,"Up",2.684e+09,-1.737e+09,9.47e+08,-2.33e+08,-2.33e+08,7.14e+08,-9.3e+07,-1.29e+08,3.6e+07,6.21e+08,6.21e+08,-2.08e+08,4.13e+08,4.13e+08,4.13e+08,4.13e+08,6.68e+08,6.53e+08,1.109e+09,1.109e+09,2.16e+08,2.49e+08,8.2e+07,2.242e+09,2.3e+09,6.4e+07,6.4e+07,2.81e+10,3.0342e+10,1.568e+09,1.362e+09,2.06e+08,2.5e+08,2.63e+08,2.63e+08,2.081e+09,8.432e+09,1.0069e+10,7.832e+09,2.237e+09,1.8501e+10,2.0582e+10,2.226e+09,8.643e+09,-1.109e+09,9.76e+09,9.76e+09,3.0342e+10,4.13e+08,2.34e+08,8e+07,-1.38e+08,5.89e+08,-5.74e+08,-9e+06,4.1e+07,-5.42e+08,-1.57e+08,1.96e+08,-1.26e+08,-8.7e+07,-40000000.0000001,-40000000.0000001,-40000000.0000001,9.48e+08,8.682e+09,4.44e+08,0.35283,0.26602,0.15387,0.04232,0.01361,1.07506,1.07737,2.10881,0.28614,1.16273,1.14563,7.55631,27.47748,1.25,0.442,4,0.01999,0.01557,0.38015,8.45359,11.22409
"13","2013_Q2",61.85625,"Up",2.738e+09,-1.82e+09,9.18e+08,-2.27e+08,-2.27e+08,6.91e+08,6e+06,-1.29e+08,1.35e+08,6.97e+08,6.97e+08,-2.47e+08,4.5e+08,4.5e+08,4.5e+08,4.5e+08,6.87e+08,6.72e+08,1.158e+09,1.158e+09,2.46e+08,2.32e+08,6.5e+07,2.323e+09,2.341e+09,6.5e+07,6.5e+07,2.8276e+10,3.0599e+10,1.507e+09,1.188e+09,3.19e+08,4.7e+07,3.5e+08,3.5e+08,1.904e+09,8.438e+09,1.0147e+10,7.921e+09,2.226e+09,1.8585e+10,2.0489e+10,2.292e+09,8.904e+09,-1.086e+09,1.011e+10,1.011e+10,3.0599e+10,4.5e+08,2.28e+08,1.1e+07,3.4e+07,7.23e+08,-3.6e+08,-5e+06,-1e+06,-3.66e+08,-1.57e+08,-2.03e+08,2.2e+07,-3.38e+08,1.9e+07,1.9e+07,1.9e+07,9.19e+08,8.485e+09,8.4e+08,0.33528,0.25237,0.16435,0.04451,0.01471,1.86667,1.22006,2.02661,0.2773,1.45443,1.44,8.84939,32.67615,2.71493,0.50743,6,0.02112,0.02923,0.34889,8.48531,11.28509
"14","2013_Q3",61.12546875,"Down",2.802e+09,-1.74e+09,1.062e+09,-2.26e+08,-2.26e+08,8.36e+08,-9.9e+07,-1.28e+08,2.9e+07,7.37e+08,7.37e+08,-2.72e+08,4.65e+08,4.65e+08,4.65e+08,4.65e+08,5.87e+08,5.87e+08,1.072e+09,1.072e+09,2.28e+08,1.91e+08,5.4e+07,2.078e+09,2.366e+09,6.3e+07,6.3e+07,2.8527e+10,3.0605e+10,1.464e+09,1.18e+09,2.84e+08,4.7e+07,3.04e+08,3.04e+08,1.815e+09,8.43e+09,1.0172e+10,7.974e+09,2.198e+09,1.8602e+10,2.0417e+10,2.297e+09,8.954e+09,-1.063e+09,1.0188e+10,1.0188e+10,3.0605e+10,4.65e+08,2.28e+08,6.5e+07,2.5e+07,7.83e+08,-4.56e+08,-2e+06,1.7e+07,-4.41e+08,-1.58e+08,-1.3e+07,-2.56e+08,-4.27e+08,-8.5e+07,-8.5e+07,-8.5e+07,1.064e+09,8.477e+09,9.05e+08,0.37901,0.29836,0.16595,0.04564,0.01519,1.94624,1.1449,2.00402,0.27698,1.50291,1.488,9.05624,32.92825,2.92502,0.51067,5,0.0216,0.03138,0.33978,7.41541,9.4378
"15","2013_Q4",70.40546875,"Up",2.824e+09,-1.745e+09,1.079e+09,-2.3e+08,-2.3e+08,8.49e+08,-1.01e+08,-1.31e+08,3e+07,7.48e+08,7.48e+08,-2.66e+08,4.82e+08,4.82e+08,4.82e+08,4.82e+08,1.004e+09,9.84e+08,1.083e+09,1.083e+09,2.24e+08,1.83e+08,3.4e+07,2.494e+09,2.395e+09,6.3e+07,6.3e+07,2.8871e+10,3.1365e+10,1.508e+09,1.267e+09,2.41e+08,4.47e+08,3.77e+08,3.77e+08,2.332e+09,8.499e+09,1.024e+10,8.074e+09,2.166e+09,1.8739e+10,2.1071e+10,2.289e+09,9.045e+09,-1.04e+09,1.0294e+10,1.0294e+10,3.1365e+10,4.82e+08,2.31e+08,5.7e+07,1.28e+08,8.98e+08,-5.45e+08,-2.2e+07,5e+06,-5.62e+08,-1.61e+08,4.6e+08,-2.38e+08,6.1e+07,3.97e+08,3.97e+08,3.97e+08,1.08e+09,8.946e+09,9.29e+08,0.38208,0.30064,0.17068,0.04682,0.01537,1.92739,1.06947,2.04692,0.28522,1.55785,1.5424,9.12734,33.27085,3.00259,0.52036,7,0.02181,0.03151,0.33402,7.3537,9.35453
"16","2014_Q1",76.5981967213115,"Up",2.881e+09,-1.767e+09,1.114e+09,-2.33e+08,-2.33e+08,8.81e+08,-9.8e+07,-1.37e+08,3.9e+07,7.83e+08,7.83e+08,-2.7e+08,5.13e+08,5.13e+08,5.13e+08,5.13e+08,1.561e+09,1.443e+09,1.024e+09,1.024e+09,2.23e+08,2.67e+08,8.7e+07,3.075e+09,2.439e+09,3.24e+08,3.24e+08,2.9408e+10,3.2483e+10,1.49e+09,1.265e+09,2.25e+08,5.45e+08,2.7e+08,2.7e+08,2.305e+09,8.903e+09,9.986e+09,8.542e+09,1.444e+09,1.8889e+10,2.1194e+10,2.331e+09,9.339e+09,-3.81e+08,1.1289e+10,1.1289e+10,3.2483e+10,5.13e+08,2.35e+08,3.5e+07,-1.09e+08,6.74e+08,-4.66e+08,-1.01e+08,4.2e+07,-5.25e+08,-1.61e+08,4.95e+08,-2.4e+07,3.1e+08,4.59e+08,4.59e+08,4.59e+08,1.116e+09,9.448e+09,8.11e+08,0.38667,0.3058,0.17806,0.04544,0.01579,1.5809,1.33406,1.8774,0.29086,1.65805,1.6416,9.31157,36.48675,2.6212,0.52036,9,0.02194,0.0264,0.31384,7.0672,8.95233
"17","2014_Q2",81.535873015873,"Up",2.689e+09,-1.785e+09,9.04e+08,-2.37e+08,-2.37e+08,6.67e+08,-1.13e+08,-1.39e+08,2.6e+07,5.54e+08,5.54e+08,-1.86e+08,3.68e+08,3.68e+08,3.68e+08,3.68e+08,1.532e+09,1.522e+09,1.109e+09,1.109e+09,2.4e+08,2.49e+08,7e+07,3.13e+09,2.466e+09,3.36e+08,3.36e+08,2.957e+10,3.27e+10,1.517e+09,1.194e+09,3.23e+08,4.45e+08,3.59e+08,3.59e+08,2.321e+09,8.909e+09,9.777e+09,8.647e+09,1.13e+09,1.8686e+10,2.1007e+10,2.396e+09,9.49e+09,-1.93e+08,1.1693e+10,1.1693e+10,3.27e+10,3.68e+08,2.38e+08,-1.9e+07,1e+06,5.88e+08,-3.59e+08,-3e+06,1.08e+08,-2.54e+08,-1.67e+08,-1e+08,1.2e+07,-2.55e+08,7.9e+07,7.9e+07,7.9e+07,9.05e+08,9.354e+09,7.33e+08,0.33618,0.24805,0.13685,0.03147,0.01125,1.99185,1.34856,1.79654,0.28606,1.1894,1.1776,8.69101,37.7925,2.3691,0.53975,6,0.01736,0.02378,0.4538,8.64309,11.72714
"18","2014_Q3",88.6096875,"Up",3.042e+09,-1.785e+09,1.257e+09,-2.38e+08,-2.38e+08,1.019e+09,-1.21e+08,-1.39e+08,1.8e+07,8.98e+08,8.98e+08,-3.36e+08,5.62e+08,5.62e+08,5.62e+08,5.62e+08,1.667e+09,1.667e+09,1.122e+09,1.122e+09,2.51e+08,2.26e+08,6.5e+07,3.266e+09,2.505e+09,3.42e+08,3.42e+08,2.9774e+10,3.304e+10,1.604e+09,1.245e+09,3.59e+08,4.33e+08,3.31e+08,3.31e+08,2.368e+09,8.814e+09,9.781e+09,8.659e+09,1.122e+09,1.8595e+10,2.0963e+10,2.424e+09,9.836e+09,-1.83e+08,1.2077e+10,1.2077e+10,3.304e+10,5.62e+08,2.4e+08,-7.45058059692383e-09,4.7e+07,8.49e+08,-4.06e+08,1.49011611938477e-08,1.3e+07,-3.93e+08,-1.68e+08,-1.13e+08,-3e+07,-3.11e+08,1.45e+08,1.45e+08,1.45e+08,1.259e+09,9.247e+09,1.236e+09,0.41321,0.33498,0.18475,0.04653,0.01701,2.19929,1.37922,1.73578,0.27987,1.81642,1.7984,9.83193,39.03361,3.99483,0.54299,8,0.02347,0.03974,0.29893,6.02065,7.43867
"19","2014_Q4",92.0246875,"Up",3.023e+09,-1.789e+09,1.234e+09,-2.36e+08,-2.36e+08,9.98e+08,-1.06e+08,-1.38e+08,3.2e+07,8.92e+08,8.92e+08,-3.33e+08,5.59e+08,5.59e+08,5.59e+08,5.59e+08,1.432e+09,1.432e+09,1.103e+09,1.103e+09,2.49e+08,2.28e+08,5e+07,3.012e+09,2.61e+09,3.54e+08,3.54e+08,3.0194e+10,3.3206e+10,1.688e+09,1.387e+09,3.01e+08,2e+06,3.92e+08,3.92e+08,2.082e+09,8.919e+09,9.766e+09,8.682e+09,1.084e+09,1.8685e+10,2.0767e+10,2.461e+09,1.0156e+10,-1.78e+08,1.2439e+10,1.2439e+10,3.3206e+10,5.59e+08,2.37e+08,-3.9e+07,1.52e+08,9.09e+08,-5.45e+08,-1e+06,-6.1e+07,-6.07e+08,-1.76e+08,-3.32e+08,-2.9e+07,-5.37e+08,-2.35e+08,-2.35e+08,-2.35e+08,1.235e+09,8.921e+09,1.175e+09,0.4082,0.33014,0.18492,0.04494,0.01683,2.10197,1.44669,1.66951,0.26866,1.80672,1.7888,9.77052,40.20362,3.79767,0.56884,8,0.02361,0.03775,0.31485,6.06397,7.50401
"20","2015_Q1",90.2893442622951,"Down",2.87e+09,-1.739e+09,1.131e+09,-2.4e+08,-2.4e+08,8.91e+08,-1.01e+08,-1.29e+08,2.8e+07,7.9e+08,7.9e+08,-2.79e+08,5.11e+08,5.11e+08,5.11e+08,5.11e+08,9.73e+08,9.73e+08,1.055e+09,1.055e+09,2.36e+08,5.14e+08,3.47e+08,2.778e+09,2.679e+09,4.9e+07,4.9e+07,3.0422e+10,3.32e+10,1.45e+09,1.233e+09,2.17e+08,1.02e+08,2.28e+08,2.28e+08,1.78e+09,8.883e+09,1.0129e+10,8.817e+09,1.312e+09,1.9012e+10,2.0792e+10,2.458e+09,1.0348e+10,-3.98e+08,1.2408e+10,1.2408e+10,3.32e+10,5.11e+08,2.41e+08,2.05e+08,-3.88e+08,5.69e+08,-6.94e+08,-1e+08,4.6e+07,-7.48e+08,-1.76e+08,99999999.9999999,-2.71e+08,-2.8e+08,-4.59e+08,-4.59e+08,-4.59e+08,1.132e+09,8.985e+09,3.29e+08,0.39408,0.31045,0.17805,0.04118,0.01539,0.64384,1.56067,1.67569,0.27063,1.65158,1.6352,9.27602,40.10343,1.06335,0.56884,6,0.02179,0.01044,0.34442,7.07774,8.99214
