"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",9.95078125,"Up",17508967,-5940545,11568422,-5430272,-3123940,-2306332,6138150,-69060,-12402,65605,6069090,6033703,-1494516,4539187,4539187,4539187,4539187,58145411,37331578,10184379,4870982,10557418,2027752,1611172,80914960,9837687,9256596,6498990,994000,2e+05,23739571,104654531,10218738,1481125,8737613,10218738,1983583,1983583,1983583,12202321,189960511,-98273154,764853,92452210,92452210,104654531,4539187,690023,1453337,2113434,8795981,-783118,-761664,1077824,1077824,1077824,9112141,9112141,8761563,6828173,0,9653005,0.66071,0.35057,0.25925,0.0491,0.04337,2.12659,7.91829,0.13199,0,0.14344,0.1402,0.55328,2.92149,0.30504,0.04807,-8.51552,-9.47279
"12","2013_Q4",11.93875,"Up",18822053,-6383609,12438444,-4331577,-2902048,-1429529,8106867,101020,-11704,76046,8207887,8142779,-2254505,5888274,5888274,5888274,5888274,62990910,42244420,12918554,6323537,10063695,1467959,1051379,87441118,12291069,7790320,6481532,994000,2e+05,24195839,111636957,8784315,929586,7854729,8784315,2695521,2695521,2695521,11479836,190367012,-92384880,2174989,100157121,100157121,111636957,5888274,762238,1720620,-1793934,6577198,-2669630,-2069173,200729,200729,-175394,4332631,4332631,4912842,8869105,7.105427357601e-15,6660046,0.66084,0.43071,0.31284,0.05879,0.05274,1.13107,9.95423,0.11462,0,0.1848,0.18053,0.59072,3.1434,0.20902,0.05725,-7.10228,-7.77007
"13","2014_Q1",14.3391803278689,"Up",15381987,-5365381,10016606,-4788648,-3366913,-1421735,5227958,31971,-12363,97830,5259929,5215450,-1888147,3327303,3327303,3327303,3327303,61623203,39829653,11676950,4946132,11798638,1251808,1249824,86350599,12509223,7566480,6187632,994000,2e+05,32294305,118644904,11301171,1721459,9579712,11301171,3457631,3457631,3457631,14758802,190945194,-89057422,1998330,103886102,103886102,118644904,3327303,842819,683349,2108647,6962118,-860153,-10025918,214726,214726,662849,-2400951,-2400951,-2414599,6070777,0,9207418,0.65119,0.33988,0.21631,0.03203,0.02804,2.76723,7.64085,0.14207,0,0.10424,0.10151,0.48191,3.25469,0.28846,0.031,-10.15079,-11.78724
"14","2014_Q2",17.8020634920635,"Up",16325853,-6335064,9990789,-4584600,-3383610,-1200990,5406189,90236,-14085,101816,5496425,5398105,-1121002,4277103,4277103,4277103,4277103,70761019,49209621,5036909,5036909,11441317,1458192,1456208,88697437,12446589,7285847,5915105,994000,2e+05,30636954,119334391,7122382,1483447,5638935,7122382,3360477,3360477,3360477,10482859,191774490,-84780319,1857361,108851532,108851532,119334391,4277103,892407,413311,2415969,7998790,-596788,961632,497709,497709,497709,9458131,9458131,9379968,6298596,5.6843418860808e-14,9238779,0.61196,0.33114,0.26198,0.03929,0.03584,2.16006,12.45334,0.0963,0,0.13381,0.13028,0.51077,3.40555,0.28905,0.03812,-11.23441,-13.08889
"15","2014_Q3",21.04671875,"Up",15551077,-6671581,8879496,-5755967,-4325834,-1430133,3123529,137420,-12780,84920,3260949,3243249,-417827,2825422,2825422,2825422,2825422,50026235,33755718,9380414,9003874,12823597,1627316,1587789,73857562,12550173,30743809,16119764,14174045,450000,55190931,129048493,8815401,3895722,4919679,8815401,4671773,4662891,4671773,13487174,197111577,-81954897,404639,115561319,115561319,129048493,2825422,962985,711690,-2178561,2321536,-627303,-17814908,840197,840197,840197,-14653175,-14653175,-15453903,4086514,0,1698477,0.57099,0.20086,0.18169,0.02445,0.02189,0.60114,8.37824,0.11671,0,0.08765,0.08537,0.48245,3.58513,0.05269,0.0235,-12.24179,-16.01593
"16","2014_Q4",22.3571875,"Up",15278070,-6931355,8346715,-6120433,-4470556,-1649877,2226282,38344,-11135,63264,2264626,2254646,-788171,1466475,1466475,1466475,1466475,54076705,35906861,7105823,7052908,13341783,1168314,1159352,75692625,13190868,29942095,15348050,14144045,450000,53140149,128832774,10470873,2762771,7708102,10470873,3776355,3687591,3776355,14247228,197793093,-80488663,-2718884,114585546,114585546,128832774,1466475,1109608,650999,3100592,6327674,-1739909,-1715724,148094,148094,-455906,4156044,4156044,2150935,3335890,1.81898940354586e-12,5484744,0.54632,0.14572,0.09599,0.0128,0.01138,3.74009,7.22887,0.12434,6.7762635780344e-21,0.04487,0.04394,0.46749,3.50616,0.16783,0.01239,-16.21058,-24.29014
"17","2015_Q1",25.9365573770492,"Up",16393000,-8084000,8309000,-6302000,-4974000,-1328000,2007000,181000,-12000,59000,2188000,242000,-641000,-399000,-399000,-399000,-399000,58453000,35363000,8e+06,7760000,12384000,2109000,2104000,80946000,14526000,29271000,14636000,14185000,450000,47347000,128293000,10682000,3863000,6819000,10682000,5879000,5879000,5879000,16561000,198392000,-80887000,-5773000,111732000,111732000,128293000,-399000,1055000,2392000,-1295000,1753000,-2638000,-1223000,194000,194000,798000,1328000,1328000,-543999.999999996,3062000,0,-230000,0.50686,0.12243,-0.02434,-0.00357,-0.00311,0.57644,7.57779,0.14822,0,-0.01205,-0.01182,0.49506,3.37428,-0.00695,-0.00339,-19.08981,-29.12456
"18","2015_Q2",36.6350793650794,"Up",20816000,-8073000,12743000,-7594000,-6026000,-1568000,5149000,160000,-9000,37000,5309000,4198000,-1268000,2930000,2930000,2930000,2930000,54468230,31210500,15085409,14690994,12235719,1722582,1717654,83511940,14609640,28648301,13883208,14314822,450271,45072299,128584239,13184058,4131614,9052444,13184058,3468166,3468166,3468166,16652224,199528858,-77957723,-9639120,111932015,111932015,128584239,2930000,1150000,1900000,-8285000,-2305000,-1272000,279000,402000,402000,303000,-1723000,-1723000,-4153000,6299000,0,-1990000,0.61217,0.24736,0.14076,0.02618,0.02279,-0.67918,6.33431,0.14877,5.42101086242752e-20,0.08945,0.08759,0.63551,3.41725,-0.06075,0.02539,-8.64712,-10.57841
"19","2015_Q3",36.13765625,"Down",21458000,-8586000,12872000,-7492000,-6241000,-1251000,5380000,-258000,-8000,19000,5122000,4352000,-740000,3612000,3612000,3612000,3612000,63166868,40012048,14942971,14419602,14305676,851736,846808,93267251,14463716,28390220,13594163,14346057,450000,44077404,137344655,15825671,4303354,11522317,15825671,3296446,3296446,3296446,19122117,200764746,-74345164,-8197044,118222538,118222538,137344655,3612000,1145000,1842000,819000,7418000,-465000,224000,284000,284000,284000,7926000,7926000,8802000,6525000,0,7619000,0.59987,0.25072,0.16833,0.03055,0.0263,2.10936,5.89342,0.16175,0,0.10979,0.10714,0.65222,3.59338,0.23158,0.02972,-9.68075,-11.74105
"20","2015_Q4",28.8384375,"Down",19814000,-8444000,11370000,-7449000,-5959000,-1490000,3921000,-9000,-7000,36000,3912000,3679000,-1141000,2538000,2538000,2538000,2538000,68874000,48084000,10378000,10321000,15899000,1128000,1123000,96279000,13973000,27950000,13154000,14346000,450000,43574000,139853000,15709000,2951000,12758000,15709000,2693000,2693000,2693000,18402000,201986000,-71807000,-8728000,121451000,121451000,139853000,2538000,1154000,1259000,1637000,6588000,-318000,1616000,241000,241000,241000,8445000,8445000,8072000,5075000,2.3283064365387e-10,7535000,0.57384,0.19789,0.12809,0.0209,0.01815,2.96887,6.12891,0.15152,8.67361737988404e-19,0.07708,0.07533,0.60177,3.6886,0.22885,0.02044,-13.57123,-17.56542
"21","2016_Q1",24.4708196721311,"Down",21449000,-10148000,11301000,-7904000,-6473000,-1431000,3397000,-234000,-8000,44000,3163000,1194000,-929000,265000,265000,265000,265000,71774000,54092000,11382000,11300000,17998000,2098000,2098000,103252000,13801000,27551000,12755000,14346000,450000,42985000,146237000,18781000,6724000,12057000,18781000,4708000,4708000,4708000,23489000,202856000,-71542000,-8566000,122748000,122748000,146237000,265000,1145000,2563000,-621000,3352000,-573000,2672000,-61000.0000000001,-61000.0000000001,-61000.0000000019,5963000,5963000,6008000,4542000,0,4277000,0.52688,0.15838,0.01235,0.00216,0.00181,16.13962,5.49768,0.19136,0,0.00804,0.00792,0.65102,3.72566,0.12982,0.00208,-15.80229,-21.12864
"22","2016_Q2",25.5703125,"Up",25094000,-11069000,14025000,-8557000,-7018000,-1539000,5468000,-923000,-4999.99999999999,61000,4545000,2540000,-915000,1625000,1625000,1625000,1625000,69695000,53213000,12905000,12574000,21318000,1327000,1327000,105245000,13611000,27251000,12455000,14346000,450000,42079000,147324000,15821000,5144000,10677000,15821000,2617000,2617000,2617000,18438000,205473000,-69917000,-6670000,128886000,128886000,147324000,1625000,1150000,2930000,-9516000,-3811000,-431000,1200000,821000,821000,323000,-2288000,-2288000,-879000,6618000,0,-2414000,0.5589,0.2179,0.06476,0.01261,0.01103,-1.48554,6.65223,0.14306,0,0.04921,0.04852,0.75985,3.90268,-0.0731,0.01236,-10.53113,-12.74598
"23","2016_Q3",30.1771875,"Up",29171000,-12644000,16527000,-10032000,-8141000,-1891000,6495000,-487000,-638000,76000,6008000,5371000,-1500000,3871000,3871000,3871000,3871000,181803000,172622000,11637000,11073000,23197000,1304000,1304000,217941000,13707000,50662000,19186000,31026000,450000,64369000,282310000,21350000,7688000,13662000,21350000,3856000,1878000,97236000,118586000,238954000,-66046000,-9184000,163724000,163724000,282310000,3871000,1315000,2382000,2996000,10564000,-930000,-1180000,137000,137000,111460000,120844000,120844000,119409000,7810000,93380000,11376000,0.56656,0.22265,0.1327,0.02364,0.01371,2.93878,10.20801,0.7243,0.33077,0.11504,0.11309,0.86692,4.86565,0.33808,0.01483,-11.32177,-13.61401
"24","2016_Q4",30.9285714285714,"Up",24677000,-11242000,13435000,-9013000,-7127000,-1886000,4422000,-1533000,-1555000,97000,2889000,2214000,-1059000,1155000,1155000,1155000,1155000,178711000,157651000,15380000,15154000,24463000,1279000,1279000,219833000,14935000,50282000,18671000,31161000,450000,65217000,285050000,20192000,5061000,15131000,20192000,4018000,1894000,98336000,118528000,240909000,-64891000,-9496000,166522000,166522000,285050000,1155000,1379000,3002000,-6722000,-1186000,-2056000,-13898000,672000,672000,419000,-14665000,-14665000,-14971000,5801000,94318000,-1918000,0.54443,0.1792,0.0468,0.00694,0.00405,-1.66061,10.88713,0.71179,0.33088,0.03419,0.03366,0.73047,4.92926,-0.05678,0.00436,-14.54801,-19.0848
"25","2017_Q1",31.6651612903226,"Up",25599000,-12162000,13437000,-10606000,-8567000,-2039000,2831000,-1339000,-1570000,112000,1492000,1567000,3463000,5030000,5030000,5030000,5030000,141780000,122233000,16033000,15194000,24696000,1644000,1644000,184153000,14956000,89804000,29806000,59548000,450000,104760000,288913000,21075000,5061000,16014000,21075000,3802000,1699000,99074000,120149000,242374000,-59861000,-13749000,168764000,168764000,288913000,5030000,1490000,-2303000,-2263000,1954000,-863000,-35316000,211000,211000,-88999.9999999851,-33451000,-33451000,-35418000,4321000,95272000,-2268000,0.5249,0.11059,0.19649,0.0298,0.01741,-0.45089,8.73798,0.71194,0.32976,0.14866,0.14639,0.75657,4.98776,-0.06703,0.01878,-10.76325,-16.42812
"26","2017_Q2",38.0009523809524,"Up",30590000,-13990000,16600000,-10924000,-9182000,-1742000,5676000,-1609000,-1585000,96000,4067000,4067000,-999000,3068000,3068000,3068000,3068000,141843000,129663000,18379000,17710000,23957000,1620000,1620000,185799000,15373000,89456000,29222000,59784000,450000,104829000,290628000,13751000,4635000,9116000,13751000,3844000,1656000,100086000,113837000,246302000,-56793000,-12718000,176791000,176791000,290628000,3068000,1582000,2570000,-6073000,1147000,-1295000,6077000,1333000,1333000,-330000,6894000,6894000,7430000,7258000,96242000,889000,0.54266,0.18555,0.10029,0.01735,0.01056,0.28977,13.51167,0.64391,0.33115,0.09052,0.08923,0.90257,5.2163,0.02623,0.01108,-6.28286,-8.034
"27","2017_Q3",41.9144444444444,"Up",32455000,-13936000,18519000,-13045000,-11185000,-1860000,5474000,-1820000,-1602000,110000,3654000,3654000,4784000,8438000,8438000,8438000,8438000,144951000,142207000,22649000,22115000,26085000,2260000,2260000,195945000,15996000,96822000,29013000,60979000,6830000,112818000,308763000,16519000,6951000,9568000,16519000,4073000,1616000,101301000,117820000,247969000,-48355000,-8671000,190943000,190943000,308763000,8438000,1696000,-2907000,-4413000,2814000,-1381000,8055000,172000,172000,158000,11027000,11027000,12544000,7170000,97228000,-3408000,0.57061,0.16866,0.25999,0.04419,0.02733,-0.40389,11.8618,0.61704,0.3149,0.24746,0.24075,0.9518,5.59972,-0.09995,0.02887,-6.65593,-8.71812
"28","2017_Q4",36.1987301587302,"Down",36579000,-19987000,16592000,-16999000,-14998000,-2001000,-407000,-1615000,-1617000,102000,-2022000,-2022000,6691000,4669000,4669000,4669000,4669000,159666000,159666000,30077000,29479000,38663000,2789000,2789000,231195000,22056000,480985000,147416000,326652000,6917000,503041000,734236000,20216000,6423000,13793000,118447000,38920000,1573000,38920000,157367000,627202000,-43686000,-6647000,576869000,576869000,734236000,4669000,3096000,-4858000,-4635000,-1728000,-1010000,-111207000,129839000,129839000,129814000,16879000,16879000,17459000,2689000,98231000,-9647000,0.45359,-0.01113,0.12764,0.00809,0.00636,-2.06618,1.95189,0.2728,0.13379,0.11301,0.10927,0.88534,13.96232,-0.23349,0.00653999999999999,-22.84678,150.94595
"29","2018_Q1",35.1670491803279,"Down",41612000,-19137000,22475000,-19213000,-16144000,-3069000,3262000,-1713000,-1637000,63000,1549000,1549000,10629000,12178000,12178000,12178000,12178000,173759000,173759000,27738000,27585000,39004000,2281000,2281000,242782000,22417000,478320000,144753000,327333000,6234000,500737000,743519000,25211000,7282000,17929000,25211000,27510000,2343000,126760000,151971000,629419000,-31508000,-6363000,591548000,591548000,743519000,12178000,4133000,-8696000,7603000,15218000,-1768000,-1620999.99999997,315999.999999985,315999.99999997,303000,13900000,13900000,13643000,7395000,99250000,2601000,0.54011,0.07839,0.29266,0.02059,0.01638,0.21358,9.63,0.2569,0.13349,0.27912,0.27402,0.95376,13.55853,0.05962,0.01695,-10.07559,-22.84151
"30","2018_Q2",41.159375,"Up",44830000,-19668000,25162000,-19186000,-15898000,-3288000,5976000,-1400000,-1652000,181000,4576000,4576000,-1128000,3448000,3448000,3448000,3448000,173876000,173876000,29383000,29352000,40124000,4939000,4939000,248322000,22674000,472252000,142273000,327989000,1990000,494926000,743248000,20321000,6200000,14121000,20321000,25468000,4610000,125744000,146065000,632032000,-28737000,-6112000,597183000,597183000,743248000,3448000,3960000,3754000,-9590000,1572000,-1564000,-1564000,344000,344000,333000,341000,341000,117000,9936000,100276000,-90000.0000000019,0.56128,0.1333,0.07691,0.00577,0.00464,-0.0261000000000001,12.21997,0.24459,0.13492,0.07904,0.07779,1.02771,13.69018,-0.00205999999999996,0.00476999999999999,-7.40741,-12.31593
"31","2018_Q3",51.5390476190476,"Up",47731000,-21088000,26643000,-22370000,-16590000,-5780000,4273000,-907000,-1669000,512000,3366000,3366000,-629000,2737000,2737000,2737000,2737000,175611000,175611000,31730000,31713000,40948000,4620000,4620000,252909000,23993000,468179000,139182000,327095000,1902000,492172000,745081000,19790000,6688000,13102000,121119000,25303000,4660000,25303000,146422000,635802000,-2.6e+07,-11143000,598659000,598659000,745081000,2737000,3934000,3554000,-4262000,5963000,-2848000,-2848000,1146000,1146000,1146000,4261000,4261000,1735000,8207000,101329000,1726000,0.55819,0.08952,0.05734,0.00457,0.00367,0.63062,2.0881,0.24458,0.136,0.06257,0.06074,1.09113,13.68528,0.03946,0.00377,-9.05105,-17.38404
"32","2018_Q4",58.647619047619,"Up",49529000,-22183000,27346000,-19460000,-15859000,-3601000,7886000,-1263000,-1687000,558000,6623000,6623000,-1829000,4794000,4794000,4794000,4794000,190304000,190304000,30830000,30784000,42284000,3830000,3830000,267248000,29359000,465518000,136534000,326977000,2007000,494877000,762125000,27446000,9482000,17964000,129846000,25792000,4672000,25792000,155638000,639466000,-21206000,-11773000,606487000,606487000,762125000,4794000,3881000,4104000,6901000,19680000,-4168000,-4168000,884000,884000,884000,16396000,16396000,14693000,11767000,102400000,16329000,0.55212,0.15922,0.09679,0.0079,0.00629,3.40613,2.05819,0.25662,0.13436,0.1094,0.1042,1.1303,13.84057,0.37264,0.00653,-7.47038,-11.14684
"33","2019_Q1",57.5059016393443,"Down",51942000,-23592000,28350000,-20497000,-17345000,-3152000,7853000,-982000,-1701000,644000,6871000,6871000,-1233000,5638000,5638000,5638000,5638000,193822000,193822000,33151000,33015000,42263000,6503000,3901000,275739000,32180000,466702000,135438000,326735000,174000,498882000,774621000,26354000,10489000,15865000,129842000,29211000,4125000,29211000,159053000,643029000,-15568000,-11893000,615568000,615568000,774621000,5638000,4003000,3096000,-7182000,5555000,-2055000,-5457000,1044000,1044000,1044000,1142000,1142000,3518000,11856000,103488000,3852000,0.5458,0.15119,0.10854,0.00916,0.00728,0.68322,2.12365,0.25838,0.1336,0.12848,0.12128,1.18366,14.02764,0.08778,0.00753,-7.61926,-11.50312
