"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",22.0928125,"Up",179311000,-142925000,36386000,-30271000,-30271000,6115000,-256000,-325000,69000,5859000,5859000,-1700000,4159000,4159000,4159000,4159000,66922000,37147000,117429000,117429000,40494000,9827000,7582000,234672000,164052000,86724000,13068000,61380000,12276000,262658000,497330000,53790000,32484000,21306000,42889000,42889000,96737000,28993000,35832000,32621000,64825000,161562000,131436000,210487000,-6155000,335768000,335768000,497330000,4159000,6511000,312000,-13149000,-2167000,-1343000,19253000,14341000,-2687000,-10015000,-132000,-12834000,-660000,-660000,40000,-620000,12626000,29051000,-166000,0.20292,0.0341,0.02319,0.01239,0.00836,-0.03991,2.42588,0.48117,0.05841,0.14623,0.14177,6.30467,11.80577,-0.00584,0.09448,0.01709,-0.00041,0.64607,-2.99945,-6.19313
"12","2013_Q3",23.5425,"Up",178287000,-139752000,38535000,-29178000,-29178000,9357000,-136000,-33000,-103000,9221000,9221000,-3100000,6121000,6121000,6121000,6121000,70868000,55641000,126881000,126881000,42011000,9526000,7743000,249286000,163721000,84438000,12264000,61111000,11063000,259203000,508489000,62676000,39010000,22963000,42620000,42620000,105348000,28405000,35754000,32790000,64159000,169507000,133437000,213607000,-8062000,338982000,338982000,508489000,6121000,6664000,2000,1642000,14429000,-6435000,603000,6761000,-2590000,-14000,321000,-2283000,18907000,18907000,-413000,18494000,16021000,28457000,14328000,0.21614,0.05248,0.03433,0.01806,0.01204,2.34079,2.36631,0.50005,0.05596,0.21558,0.20954,6.27926,11.93893,0.50463,0.09122,0.02161,0.03554,0.42313,-2.64721,-4.53254
"13","2013_Q4",28.45609375,"Up",199430000,-156042000,43388000,-30680000,-30680000,12708000,84000,-22000,106000,12792000,12792000,-3124000,9668000,9668000,9668000,9668000,22542000,19853000,144800000,144800000,46502000,6287000,5747000,220131000,175831000,138348000,12510000,91509000,34095000,325282000,545413000,81590000,50369000,26681000,43919000,43919000,125535000,29517000,43178000,43178000,72695000,198230000,135190000,220665000,-8672000,347183000,347183000,545413000,9668000,6401000,5394000,8981000,30444000,-8744000,-17088000,-64045000,-2591000,-39000,513000,-2117000,-35718000,-35718000,-69999.9999999999,-35788000,19109000,29543000,22470000,0.21756,0.06372,0.04848,0.02785,0.01773,2.32416,1.75354,0.57097,0.05417,0.33943,0.32911,7.00172,12.18913,0.78889,0.09097,0.02919,0.05351,0.268,0.36637,0.55091
"14","2014_Q1",29.1914754098361,"Up",214417000,-167474000,46943000,-34838000,-34838000,12105000,-211000,-52000,-159000,11894000,11894000,-3856000,8038000,8038000,8038000,8038000,28669000,28465000,154914000,154914000,53435000,10412000,6725000,247430000,193946000,117346000,27198000,78021000,12127000,322565000,569995000,79140000,47241000,31899000,57645000,57645000,136834000,28636000,48421000,39854000,77057000,213891000,139432000,228841000,-12169000,356104000,356104000,569995000,8038000,6974000,-3159000,-1638000,10215000,-25330000,21953000,-1031000,-2896000,-179000,2733000,-342000,8842000,8841999.99999999,-230000,8612000,19079000,28685000,-4033000,0.21893,0.05646,0.03749,0.02257,0.0141,-0.50174,1.80825,0.60064,0.05033,0.2809,0.27181,7.49317,12.44466,-0.14094,0.10121,0.02524,-0.00931,0.36029,0.000839999999999619,0.00132000000000021
"15","2014_Q2",26.7933333333333,"Down",210883000,-169445000,41438000,-33621000,-33621000,7817000,1339000,56000,1283000,9156000,9156000,-3054000,6102000,6102000,6102000,6102000,17657000,17093000,154719000,154719000,50422000,10862000,7616000,233660000,197144000,117402000,27221000,78562000,11619000,324780000,558440000,74249000,47033000,27082000,54759000,54759000,129060000,28042000,44686000,37948000,72728000,201788000,142272000,224382000,-10002000,356652000,356652000,558440000,6102000,6766000,-1281000,-10391000,1196000,-8537000,798000,-7355000,-3078000,-12000,-1575000,-5528000,-11687000,-11687000,315000,-11372000,14583000,28094000,-1291000,0.1965,0.03707,0.02894,0.01711,0.01093,-0.21157,1.81048,0.56578,0.05031,0.21204,0.20766,7.32818,12.39365,-0.04486,0.10696,0.02138,-0.00301,0.50442,0.7157,1.33517
"16","2014_Q3",30.6325,"Up",231945000,-182624000,49321000,-33825000,-33825000,15496000,184000,-9999.99999999999,194000,15680000,15680000,1110000,16790000,16790000,16790000,16790000,25041000,24648000,165429000,165429000,51289000,19296000,8251000,261055000,195250000,116156000,26745000,78594000,10817000,317882000,578937000,78926000,46935000,31991000,58242000,58242000,137221000,28612000,46814000,37938000,75426000,212647000,143249000,232601000,-9560000,366290000,366290000,578937000,16790000,6977000,2595000,-10938000,15424000,-4730000,359000,159000.000000004,-2898000,777000,-5000,-8157000,7426000,7426000,129000,7555000,22473000,28665000,5695000,0.21264,0.06681,0.07239,0.04584,0.029,0.33919,1.90244,0.58054,0.04951,0.58351,0.57292,8.06092,12.7299,0.19792,0.10072,0.04457,0.01289,0.1726,0.16126,0.23387
"17","2014_Q4",36.95625,"Up",244410000,-187757000,56653000,-36028000,-36028000,20625000,-130000,-114000,-16000,20495000,20495000,-6759000,13736000,13736000,13736000,13736000,34310000,34067000,174996000,174996000,55130000,11648000,8205000,276084000,192053000,113254000,25132000,77529000,10593000,316046000,592130000,93266000,55516000,37576000,50037000,50037000,143351000,29941000,44638000,38406000,74579000,217930000,145276000,243029000,-14105000,374200000,374200000,592130000,13736000,7815000,-1996000,905000,20460000,-5392000,375000,-9126000,-2899000,1139000,489000,-1271000,10063000,10063000,-644000,9419000,28440000,29989000,30712000,0.23179,0.08439,0.0562,0.03671,0.0232,2.23588,1.92593,0.58239,0.05065,0.47819,0.46788,8.50862,13.02698,1.06917,0.10092,0.03706,0.06843,0.21105,-0.15193,-0.2095
"18","2015_Q1",38.0247540983607,"Up",246698000,-185566000,61132000,-41485000,-41485000,19647000,21000,98000,-77000,19668000,19668000,-5780000,13888000,13888000,13888000,13888000,52512000,52185000,171623000,171623000,61408000,13432000,6958000,298975000,193540000,108887000,23280000,75857000,9750000,313082000,612057000,101194000,56516000,44678000,47834000,47834000,149028000,26772000,53781000,43129000,80553000,229581000,147457000,256538000,-21519000,382476000,382476000,612057000,13888000,7865000,9045000,3921000,34719000,-8561000,409000,-8153000,-3196000,-2043000,-2814000,-8053000,18513000,18513000,-395000,18118000,27512000,26772000,28652000,0.2478,0.07964,0.0563,0.03631,0.02269,2.06308,2.00617,0.60025,0.04374,0.48262,0.47163,8.57305,13.29149,0.99569,0.11106,0.0369,0.06188,0.23013,-0.93559,-1.31012
"19","2015_Q2",46.902380952381,"Up",239962000,-184374000,55588000,-37364000,-37364000,18224000,118000,70000,48000,18342000,18342000,-6216000,12126000,12126000,12126000,12126000,63483000,28204000,160304000,160304000,62490000,11467000,7707000,297744000,192374000,108062000,22419000,75563000,10080000,310139000,607883000,83317000,52792000,30525000,52625000,52625000,135979000,29073000,51927000,41854000,8.1e+07,216979000,153162000,262327000,-24585000,390904000,390904000,607883000,12126000,7741000,-2284000,3272000,20855000,-8752000,-823000,-43666000,-3215000,1189000,1591000,-435000,-23246000,-23246000,-735000,-23981000,25965000,29110000,26701000,0.23165,0.07595,0.05053,0.03102,0.01995,2.20196,2.18963,0.55507,0.04789,0.4175,0.41134,8.26202,13.45903,0.91933,0.11069,0.03251,0.05658,0.26513,-1.32382,-1.88614
"20","2015_Q3",45.61375,"Down",240754000,-184055000,56699000,-34276000,-34276000,22423000,25000,116000,-91000,22448000,22448000,-7688000,14760000,14760000,14760000,14760000,92319000,36190000,150784000,150784000,59676000,8264000,7810000,311043000,196720000,105541000,21327000,74714000,9500000,310254000,621297000,90992000,54129000,33795000,50610000,50610000,141640000,28553000,49462000,42131000,78015000,219655000,155592000,272765000,-26715000,401642000,401642000,621297000,14760000,7761000,-1935000,20657000,41243000,-10614000,-68999.9999999998,-29826000,-3216000,-221000,-70000,-3507000,7910000,7910000.00000001,76000,7986000.00000001,30184000,28591000,47915000,0.23551,0.09314,0.06131,0.03675,0.02376,3.24627,2.19601,0.54689,0.04602,0.5057,0.50047,8.24867,13.76099,1.64166,0.11019,0.03747,0.09989,0.21789,-2.11132,-2.84208
"21","2015_Q4",42.16828125,"Down",238324000,-175897000,62427000,-34569000,-34569000,27858000,22000,99000,-77000,27880000,27880000,-9360000,18520000,18520000,18520000,18520000,91366000,30713000,163502000,163502000,64034000,9610000,8677000,328512000,194145000,106849000,20398000,74144000,12307000,312016000,640528000,101474000,59688000,37790000,57576000,57576000,159079000,28578000,46761000,41743000,75339000,234418000,155575000,281329000,-30794000,406110000,406110000,640528000,18520000,7834000,-1616000,-669000,24069000,-7391000,-2983000,-17926000,-3201000,-618000,202000,-10874000,-4731000,-4731000,-746000,-5477000,35692000,28607000,36992000,0.26194,0.11689,0.07771,0.0456,0.02891,1.99741,2.06509,0.57723,0.04466,0.63466,0.62852,8.1671,13.91693,1.26767,0.10969,0.04511,0.07683,0.17284,-1.75835,-2.25282
"22","2016_Q1",34.7319672131148,"Down",262149000,-193293000,68856000,-39968000,-39968000,28888000,-234000,103000,-337000,28654000,28654000,-8718000,19936000,19936000,19936000,19936000,90643000,60470000,172832000,172832000,63386000,9932000,8112000,336793000,202462000,105666000,19862000,73996000,11808000,320647000,657440000,116152000,64762000,47764000,61229000,61229000,177381000,27537000,46327000,41355000,73864000,251245000,154252000,282477000,-30534000,406195000,406195000,657440000,19936000,7912000,5438000,9490000,42776000,-15280000,-176999.999999999,13562000,-3552000,-406000,-4977000,-26589000,29749000,29749000,8000,29757000,36800000,27537000,39728000,0.26266,0.1102,0.07605,0.04908,0.03032,1.99278,1.8987,0.61853,0.04189,0.69174,0.68596,9.09608,14.09421,1.37849,0.12325,0.04893,0.08276,0.17817,-1.71484,-2.18451
"23","2016_Q2",38.1446875,"Up",247880000,-183452000,64428000,-38179000,-38179000,26249000,374000,118000,256000,26623000,26623000,-8901000,17722000,17722000,17722000,17722000,67469000,36967000,186606000,186606000,69530000,8228000,8228000,331833000,214459000,108507000,20108000,74686000,13713000,335896000,667729000,99318000,60118000,33266000,70828000,70828000,170146000,31202000,42765000,39166000,73967000,244113000,155763000,295502000,-27649000,423616000,423616000,667729000,17722000,7720000,1392000,-27318000,-484000,-17725000,-1842000,-20318000,-3560000,1893000,-1198000,-2865000,-23667000,-23667000,164000,-23503000,33969000,31202000,-2173000,0.25992,0.10589,0.07149,0.04184,0.02654,-0.12262,1.95028,0.57626,0.04673,0.61745,0.61332,8.63633,14.75911,-0.07571,0.12403,0.04277,-0.00437,0.20088,-1.06765,-1.38165
"24","2016_Q3",41.11125,"Up",278455000,-205925000,72530000,-39482000,-39482000,33048000,318000,65000,253000,33366000,33366000,-10969000,22397000,22397000,22397000,22397000,77641000,46976000,187996000,187996000,68651000,24311000,24311000,358599000,218261000,112068000,19950000,74891000,17227000,343008000,701607000,105228000,61288000,42335000,72288000,72288000,177516000,29188000,48647000,46766000,77835000,255351000,158735000,313449000,-25928000,446256000,446256000,701607000,22397000,8235000,3725000,9669000.00000001,44026000,-12036000,-17151000,-28987000,-3573000,-1893000,226000,-5240000,9799000,9799000.00000001,210000,10009000,41283000,29188000,49885000,0.26047,0.11868,0.08043,0.05019,0.03192,2.22731,2.02009,0.57221,0.0416,0.77522,0.77338,9.63812,15.44619,1.72666,0.12367,0.04955,0.09518,0.15953,-1.17368,-1.46614
"25","2016_Q4",40.9444444444444,"Down",274072000,-201204000,72868000,-39608000,-39608000,33260000,-38000,121000,-159000,33222000,33222000,-10670000,22552000,22552000,22552000,22552000,82234000,51599000,188442000,188442000,73161000,21654000,21654000,365491000,229556000,111236000,19460000,74308000,17073000,351754000,717245000,119239000,65087000,50713000,69155000,69155000,188394000,28408000,48266000,48266000,76674000,265068000,157065000,323070000,-27958000,452177000,452177000,717245000,22552000,8315000,-508000,-1086000,29273000,-13071000,1941000,-9897000,-3554000,0,-346000,-14717000,4659000,4659000,-36000,4623000,41575000,28408000,38088000,0.26587,0.12135,0.08228,0.04987,0.03144,1.6889,1.94004,0.5862,0.03961,0.78229,0.78056,9.50715,15.68534,1.32122,0.12328,0.04936,0.07202,0.15759,-1.29467,-1.61834
"26","2017_Q1",50.7458064516129,"Up",314126000,-231929000,82197000,-52529000,-52529000,29668000,-74000,-267000,193000,29594000,29594000,-6475000,23119000,23119000,23119000,23119000,20011000,19463000,185740000,185740000,73409000,18301000,16558000,297461000,246748000,231408000,106686000,101334000,23388000,487197000,784658000,123001000,63182000,59819000,63057000,63057000,186058000,74231000,53792000,49767000,128023000,314081000,158796000,341996000,-30215000,470577000,470577000,784658000,23119000,11337000,2719000,14011000,51186000,-25229000,6559000,-124556000,-3980000,44592000,872000,41484000,-31886000,-31886000,-250000,-32136000,41005000,74231000,36262000,0.26167,0.09445,0.0736,0.04913,0.02946,1.56849,1.59875,0.66744,0.0946,0.80546,0.80205,10.94401,16.3947,1.26335,0.13866,0.04527,0.06058,0.17215,1.32228,1.82756
"27","2017_Q2",48.6961904761905,"Down",272307000,-202013000,70294000,-46188000,-46188000,24106000,-98000,-277000,179000,24008000,24008000,-7904000,16104000,16104000,16104000,16104000,23397000,22972000,180483000,180483000,81083000,12309000,12309000,297272000,250979000,223795000,105330000,95211000,22155000,482325000,779597000,100358000,63666000,33891000,66910000,66910000,167268000,79654000,50846000,47224000,130500000,297768000,160817000,351872000,-30860000,481829000,481829000,779597000,16104000,11423000,2720000,-24335000,5912000,-11430000,1742000,-8003000,-4002000,6e+06,-1596000,402000,-1689000,-1689000,47000,-1642000,35529000,79654000,7668000,0.25814,0.08853,0.05914,0.03342,0.02066,0.47615,1.77722,0.618,0.10217,0.55818,0.55798,9.43839,16.7006,0.26578,0.13871,0.03284,0.01252,0.24851,1.58341,2.33373
"28","2017_Q3",43.7687301587302,"Down",343907000,-257906000,86001000,-58227000,-58227000,27774000,-1457000,-1534000,77000,26317000,26317000,-8909000,17408000,17408000,17408000,17408000,29992000,29528000,222583000,222583000,103673000,12498000,12498000,368746000,299974000,360299000,181124000,153483000,23460000,670630000,1039376000,107566000,63619000,39093000,90242000,90242000,197808000,274807000,65387000,63551000,340194000,538002000,161362000,355623000,-15611000,501374000,501374000,1039376000,17408000,13639000,-1613000,5463000,34897000,-15331000,-643000,-203650000,-3992000,184200000,1743000,171118000,2365000,2365000,1508000,3873000,41413000,274807000,40454000,0.25007,0.08076,0.05062,0.03472,0.01675,2.32387,1.86416,1.07306,0.2644,0.6034,0.60219,11.92052,17.37865,1.40222,0.13837,0.02543,0.04807,0.22932,5.91155,8.81454
"29","2017_Q4",42.6003174603175,"Down",356507000,-264949000,91558000,-57023000,-57023000,34535000,-1184000,-1488000,304000,33351000,33351000,-9704000,23647000,23647000,23647000,23647000,13327000,12845000,246863000,246863000,98062000,16536000,16536000,374788000,302904000,356310000,173856000,152881000,23445000,668980000,1043768000,109778000,62655000,42603000,99753000,99753000,209531000,248314000,67228000,64318000,315542000,525073000,162996000,375280000,-19581000,518695000,518695000,1043768000,23647000,14712000,-1165000,-11764000,25430000,-11932000,-158000,-11791000,-3977000,-26200000,331000,-29846000,-16207000,-16207000,-476000,-16683000,49247000,248314000,35255000,0.25682,0.09687,0.06633,0.04559,0.02266,1.49089,1.7887,1.0123,0.2379,0.82291,0.82056,12.40628,18.05035,1.22686,0.1384,0.03311,0.04226,0.16818,4.7716,6.80431
