"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"14","2018_Q4",60.7790476190476,"Down",1095000,-76603000,-12041000,-64562000,-75508000,2785000,-13999.9999999995,2799000,-72723000,-72723000,-72723000,-72723000,-72723000,-72723000,559636000,78641000,6021000,6021000,565657000,29720000,10733000,10733000,40453000,606110000,51160000,3988000,47172000,5119000,5119000,56279000,60535000,60535000,60535000,116814000,1006856000,-517223000,489296000,489296000,606110000,-72723000,1163000,7134000,9421000,-55005000,-2618000,16590000,611000.000000002,611000.000000002,113000,-38302000.0000001,-38302000.0000001,-38301999.9999999,-74345000,1.81898940354586e-12,-68.95708,-66.4137,-0.14863,-0.11998,10.05094,0.23874,0,-1.65592,-1.65592,0.0249300000000001,11.14138,-0.13226,7.52755,7.41161
"15","2019_Q1",73.8940983606557,"Up",1033000,-84175000,-13643000,-70532000,-83142000,2820000,10635000,-7815000,-80322000,-80322000,-80322000,-80322000,-80322000,-80322000,494012000,68064000,5775000,5775000,499787000,29627000,10710000,10710000,40337000,540124000,56723000,3298000,53425000,3600000,3600000,60323000,60792000,60792000,60792000,121115000,1016734000,-597545000,419009000,419009000,540124000,-80322000,1170000,7369000,4201000,-67582000,-425000,56241000,1084000,1084000,764000,-10577000,-10577000,-10577000,-81972000,0,-80.48596,-77.75605,-0.1917,-0.14871,8.28518,0.28905,0,-1.82579,-1.82569,0.02348,9.52445,-0.16741,6.02659,5.94179
"16","2019_Q2",82.5353968253968,"Up",730000,-90803000,-16553000,-74250000,-90073000,2666000,-2999.99999999814,2669000,-87407000,-87407000,-87407000,-87407000,-87407000,-87407000,415856000,79391000,10660000,10660000,426516000,30615000,87532000,87532000,118147000,544663000,55247000,4421000,50826000,9516000,9516000,64763000,135687000,135687000,135687000,200450000,1029090000,-684952000,344213000,344213000,544663000,-87407000,2219000,7994000,-2994000,-80188000,-1770000,89314000,2038999.99999999,2038999.99999999,2011000,11137000,11137000,11137000,-87854000,0,-123.38767,-119.73562,-0.25393,-0.16048,6.5858,0.58234,0,-1.98215,-1.98216,0.01655,7.80581,-0.18214,4.73349,4.61688
"17","2019_Q3",86.44375,"Up",5110000,-109024000,-21923000,-87101000,-103914000,4233000,-1000,4234000,-99681000,-99681000,-99681000,-99681000,-99681000,-99681000,592861000,82425000,19341000,14827000,612952000,33525000,86303000,86303000,194226000,807178000,70734000,6608000,64126000,10772000,10772000,81506000,132845000,132845000,132845000,214351000,1376533000,-784633000,592827000,592827000,807178000,-99681000,2510000,11429000,4514000,-81228000,-2170000,-248053000,332622000,332622000,332298000,3017000,3017000,3020000,-101404000,0,-20.33542,-19.50705,-0.16815,-0.12349,7.52033,0.36157,0,-2.04185,-2.04184,0.10467,12.14337,-0.13736,5.84652,5.7053
"18","2019_Q4",74.865625,"Down",9139000,-107100000,-25647000,-81453000,-97961000,3686000,10746000,-7060000,-94275000,-94275000,-94275000,-94275000,-94275000,-94275000,493442000,89237000,17870000,15208000,513726000,38310000,84872000,84872000,224199000,737925000,82622000,2203000,80419000,11520000,11520000,94142000,127439000,127439000,127439000,221581000,1394615000,-878908000,516344000,516344000,737925000,-94275000,-1044000,16658000,6957000,-71704000,-6182000,74537000,-323207000,-323207000,4495000.00000006,7328000,7328000,7315000,-99005000,0,-10.71901,-10.31568,-0.18258,-0.12776,5.45693,0.42913,0,-1.91744,-1.91744,0.18588,10.50184,-0.14644,4.98401,5.03713
"19","2020_Q1",64.3509677419355,"Down",51533000,-120911000,-32265000,-88646000,-69378000,3047000,2990000,57000,-66331000,-66331000,-66331000,-66331000,-66331000,-66331000,483554000,113938000,32569000,9820000,516786000,38361000,88141000,88141000,190908000,707694000,93499000,4793000,88706000,12983000,12983000,106482000,136853000,136853000,136853000,243335000,1412132000,-945238000,464359000,464359000,707694000,-66331000,1574000,18614000,1248000,-44895000,-3891000,67736000,329300000,329300000,1834000,24675000,24675000,24703000,-67804000,0,-1.34628,-1.28716,-0.14284,-0.09373,4.85327,0.52402,0,-1.34729,-1.34729,1.04672,9.43186,-0.11033,7.13164,6.96985
"20","2020_Q2",67.6368253968254,"Up",6167000,-119801000,-35655000,-84146000,-113658000,2703000,2904000,-201000,-110955000,-110955000,-110955000,-110955000,-110955000,-110955000,666764000,375168000,30744000,10147000,704683000,37822000,87452000,87452000,208940000,913623000,82429000,8468000,73961000,15859000,15859000,98288000,132404000,132404000,132404000,230692000,1739194000,-1056194000,682931000,682931000,913623000,-110955000,1571000,18116000,-18060000,-109328000,-1525000,59860000,1609000,1609000,310150000,260682000,260682000,260732000,-112087000,-4.44089209850063e-16,-18.43003,-17.99173,-0.16247,-0.12145,7.16957,0.3378,0,-2.10721,-2.10721,0.11712,12.96992,-0.13609,5.94863,5.86641
"21","2020_Q3",77.0071875,"Up",8343000,-133253000,-42174000,-91079000,-125036000,1563000,1586000,-23000,-123473000,-123473000,-123473000,-123473000,-123473000,-123473000,521798000,288678000,38752000,17875000,568312000,36745000,83925000,83925000,249145000,817457000,89653000,5591000,84062000,15433000,15433000,105086000,131004000,131004000,131004000,236090000,1762153000,-1179666000,581367000,581367000,817457000,-123473000,1668000,21337000,-696000,-101164000,-941000,11561000,3277000,3277000,3175000,-86428000,-86428000,-86490000,-123368000,0,-14.98694,-14.79959,-0.21238,-0.15105,5.40807,0.40609,0,-2.27739,-2.27739,0.15388,10.72297,-0.17333,4.22961,4.17318
"22","2020_Q4",105.3834375,"Up",745119000,-111605000,-37374000,-74231000,633367000,981000,1173000,-192000,634348000,634348000,633978000,633978000,633978000,633978000,757430000,565221000,34291000,17404000,841655000,35199000,82854000,82854000,716523000,1558178000,92045000,2929000,89116000,18063000,18063000,110108000,128070000,128070000,128070000,238178000,1867628000,-545688000,1.32e+09,1.32e+09,1558178000,633978000,1648000,21431000,-34731000,622326000,-6000,-430138000,84340000,84340000,84341000,276529000,276529000,276543000,635015000,0,0.850019999999999,0.850840000000002,0.48029,0.40687,7.6439,0.18044,0,11.48886,10.6365,13.50294,23.92084,0.43781,-1.19277,-1.19588
"23","2021_Q1",99.8372131147541,"Down",34106000,-119944000,-42540000,-77404000,-85966000,986000,936000,50000,-84980000,-84980000,-85668000,-85668000,-85668000,-85668000,871849000,684636000,40233000,22020000,927759000,34129000,78632000,78632000,790634000,1718393000,110308000,4370000,105938000,20494000,20494000,130802000,117503000,117503000,117503000,248305000,2106658000,-631356000,1470088000,1470088000,1718393000,-85668000,1672000,21328000,37869000,-24799000,-687000,-75532000,528533000,528533000,220093000,119762000,119762000,119760000,-84294000,0,-2.52055,-2.51182,-0.05827,-0.04985,7.09285,0.1689,0,-1.52755,-1.47206,0.60815,26.21319,-0.05396,10.34295,10.14179
"24","2021_Q2",91.6311111111111,"Down",21576000.0000001,-121712000,-42002000,-79710000,-100238000,524000,738000,-214000,-99714000,-99714000.0000001,-99714000,-99714000,-99714000,-99714000.0000001,851961000,697966000,35057000,25856000,937710000,32991000,76518000,76518000,687677000,1625387000,89368000,2889000,86479000,23069000,23069000,112437000,112929000,112929000,112929000,225366000,2136188000,-731070000,1400021000,1400021000,1625387000,-99714000,1608000,22742000,-50414000,-125778000,-173000,132197000,7011000,7011000,7011000,13430000,13430000,13333000,-98630000,0,-4.64581,-4.62152,-0.07122,-0.0613500000000001,8.33987,0.16097,-6.46234853557053e-27,-1.71853,-1.71853,0.371850000000002,24.12872,-0.06591,8.63795,8.49938
"25","2021_Q3",93.12359375,"Up",27295000,-129314000,-49286000,-80028000,-108512000,260000,633000,-373000,-108252000,-108252000,-108445000,-108445000,-108445000,-108445000,628349000,534317000,35037000,21270000,704070000,31848000,81175000,81175000,864725000,1568795000,109020000,1847000,107173000,16377000,16377000,125397000,114594000,114594000,114594000,239991000,2174153000,-839514000,1328804000,1328804000,1568795000,-108445000,1592000,26674000,17014000,-63165000,-662000,-115176000,14854000,14854000,14854000,-163487000,-163487000,-163649000,-106920000,0,-3.97553,-3.97307,-0.08161,-0.06913,5.61473,0.18061,0,-1.869,-1.869,0.47042,22.90133,-0.07513,5.87681,5.79059
"26","2021_Q4",104.6015625,"Up",24188000,-134225000,-49806000,-84419000,-113827000,30000,552000,-522000,-113797000,-117066000,-117241000,-117241000,-117241000,-117241000,701878000,553593000,3.5e+07,23676000,771848000,31204000,82350000,82350000,705474000,1477322000,104089000,9549000,94540000,15602000,15602000,119691000,110544000,110544000,110544000,230235000,2209515000,-956755000,1247087000,1247087000,1477322000,-117240000,1616000,26878000,-6850000,-95596000,-996000.000000015,104073000,10922000,10922000,10922000,19399000.0000001,19399000.0000001,19658000,-112211000,-2.16840434497101e-19,-4.70593,-4.84707,-0.09401,-0.07936,6.44867,0.18462,0,-2.00889,-2.00889,0.41445,21.3685,-0.08636,6.25498,6.16618
"27","2022_Q1",71.7808064516129,"Down",107021000,-411075000,-54199000,-356876000,-311603000,83000,463000,-380000,-311520000,-316052000,-318685000,-318685000,-318685000,-318685000,477114000,209948000,29939000,18064000,554025000,30700000,109971000,109971000,698200000,1252225000,130162000,8333000,121829000,19603000,8093000,149765000,131725000,106659000,131725000,281490000,2250309000,-1275441000,970735000,970735000,1252225000,-318686000,1663000,286339000,16570000,-14114000,-259410000,-346954000,17929000,17929000,17929000,-343139000,-343139000,-343139000,-309940000,0,-2.91161,-2.97778,-0.32829,-0.25449,3.6993,0.28998,0,-5.3556,-5.3556,1.79852,16.3135,-0.28907,1.53938,1.53116
"28","2022_Q2",58.5783870967742,"Down",62731000,-160191000,-57058000,-103133000,-102539000,-11000,442000,-453000,-102550000,-105815000,-105999000,-105999000,-105999000,-105999000,586826000,37199000,41515000,37675000,687244000,31110000,118428000,118428000,456063000,1143307000,118659000,17961000,100698000,18366000,18366000,137025000,124616000,124616000,124616000,261641000,2275216000,-1381440000,881666000,881666000,1143307000,-105999000,1628000,26249000,-54604000,-132726000,-1152999.99999994,-41089999.9999999,1264000,1264000,1264000.00000001,-172552000,-172552000,-172749000,-100911000,0,-1.63458,-1.68974,-0.12023,-0.09271,5.01546,0.29676,0,-1.80741,-1.80741,1.06964,15.03344,-0.10534,5.81528,5.72295
"29","2022_Q3",64.2284375,"Up",36547000,-187155000,-58689000,-128466000,-155493000,1057000,427000,630000,-154436000,-156581000,-159710000,-159710000,-159710000,-159710000,853111000,173399000,36491000,34204000,952179000,32987000,113232000,113232000,240267000,1192446000,134335000,15053000,119282000,24425000,24425000,158760000,285936000,285936000,285936000,444696000,2303147000,-1541149000,747750000,747750000,1192446000,-159710000,1470000,27154000,12830000,-118256000,-2556000,77067000,2498000,2498000,177498000,136309000,136309000,136200000,-154023000,0,-4.2546,-4.36999,-0.21359,-0.13393,5.9976,0.59471,0,-2.69271,-2.69271,0.61618,12.60706,-0.15451,5.53885,5.48649
