"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q2",34.852380952381,"Down",313283000,-74106000,239177000,-334367000,-223836000,-110531000,-95190000,-2703000,-2703000,-97893000,-97893000,3628000,-94265000,-94265000,-94265000,-94265000,964975000,399786000,565189000,237682000,237682000,74363000,39621000,34742000,1277020000,104750000,391316000,79830000,184994000,126492000,496066000,1773086000,163735000,69474000,94261000,307195000,307195000,470930000,434092000,394605000,39487000,870837000,1341767000,1554882000,-1122395000,-1168000,431319000,431319000,1773086000,-94265000,16183000,71515000,56391000,49824000,-29832000,63643000,15149000,-1066000,29890000,29890000,28824000,93797000,93797000,93797000,-79007000,436745000,-56076000,0.76345,-0.30385,-0.30089,-0.21855,-0.05316,0.59488,2.7117,3.11085,0.24632,-0.53729,-0.53729,1.78564,2.45841,-0.31962,-0.07239,-0.04306,6.68586,5.54922
"12","2019_Q3",23.574375,"Down",335360000,-85982000,249378000,-365532000,-242495000,-123037000,-116154000,-4399000,-4399000,-120553000,-120553000,-2210000,-122763000,-122763000,-122763000,-122763000,965925000,466010000,499915000,247600000,247600000,86390000,49456000,36934000,1299915000,125924000,395299000,75473000,184819000,135007000,521223000,1821138000,171929000,69045000,102884000,337424000,337424000,509353000,926254000,442435000,483819000,926254000,1435607000,1630838000,-1245158000,-149000,385531000,385531000,1821138000,-122763000,18822000,79474000,62957000,38490000,-42551000,66887000,24336000,0,3474000,3473999.99999999,3474000,66300000,66300000,66300000,-97332000,0,-74716000,0.74361,-0.34636,-0.36606,-0.31843,-0.06741,0.60862,2.55209,3.72371,0,-0.68426,-0.68426,1.86924,2.14888,-0.41645,-0.09358,-0.05696,9.92402,8.3159
"13","2019_Q4",29.526875,"Up",287624000,-75077000,212547000,-416725000,-278743000,-137982000,-204178000,-3212000,-3212000,-207390000,-207390000,-2423000,-209813000,-209813000,-209813000,-209813000,940752000,445119000,495633000,244445000,244445000,114053000,73744000,40309000,1299250000,134562000,368007000,71118000,185180000,111709000,502569000,1801819000,177648000,82597000,95051000,361432000,361432000,539080000,957293000,476830000,480463000,957293000,1496373000,1760088000,-1454971000,329000,305446000,305446000,1801819000,-209813000,20735000,101466000,51122000,-36490000,-22432000,5452000,-17335000,0,33913000,33913000,32873000,-20952000,-20952000,-20952000,-183443000,0,-152330000,0.73898,-0.70988,-0.72947,-0.68691,-0.11645,0.72603,2.41012,4.89898,-2.77555756156289e-17,-1.14746,-1.14746,1.573,1.67047,-0.83309,-0.16616,-0.12063,5.12831,4.60751
"14","2020_Q1",28.1016129032258,"Down",299876000,-68963000,230913000,-413432000,-284263000,-129169000,-182519000,-4705000,-4705000,-187224000,-187224000,-7114000,-194338000,-194338000,-194338000,-194338000,908834000,396678000,512156000,245475000,245475000,120903000,74665000,46238000,1275212000,136962000,373868000,66773000,185180000,121915000,510830000,1786042000,202648000,74047000,128601000,396667000,396667000,599315000,999834000,513377000,486457000,999834000,1599149000,1835533000,-1649309000,669000,186893000,186893000,1786042000,-194338000,21872000,79969000,82841000,-9656000.00000001,-23637000,-15363000,-3.9e+07,-3.72529029846191e-09,1933000,1933000,1933000.00000001,-46723000,-46723000,-46723000,-160647000,0,-94329000,0.77003,-0.60865,-0.64806,-1.03984,-0.10881,0.48539,2.12778,8.55649,0,-1.04249,-1.04249,1.60863,1.00255,-0.50601,-0.16376,-0.07949,5.65734,4.97939
"15","2020_Q2",20.7093650793651,"Down",314768000,-72201000,242567000,-462904000,-324698000,-138206000,-220337000,-5040000,-5040000,-225377000,-225377000,-3923000,-229300000,-229300000,-229300000,-229300000,889404000,233820000,655584000,214883000,214883000,113620000,61654000,51966000,1217907000,140470000,508009000,62428000,185260000,260321000,648479000,1866386000,195833000,83381000,112452000,459397000,429429000,655230000,681082000,545845000,135237000,1147627000,1802857000,1940904000,-1878609000,1234000,63529000,63529000,1866386000,-229300000,22462000,95835000,84840000,-26163000,-18203000,-142163000,-160366000,259765974.736681,23973000,23973000,23973000,-162556000,-162556000,-162556000,-197875000,466545000,-127315000,0.77062,-0.7,-0.72847,-3.60938,-0.12286,0.55523,1.85875,28.37849,0.24997,-1.20894,-1.20894,1.65955,0.33494,-0.67124,-0.18932,-0.10512,2.137,1.91915
"16","2020_Q3",22.85484375,"Up",346767000,-75223000,271544000,-478603000,-339515000,-139088000,-207059000,-5863000,-5863000,-212922000,-212922000,-4642000,-217564000,-217564000,-217564000,-217564000,8.19e+08,211693000,607307000,247323000,247323000,125311000,65708000,59603000,1191634000,143430000,528252000,58083000,185260000,284909000,671682000,1863316000,220305000,76542000,143763000,504348000,472680000,724653000,730457000,583904000,146553000,1204765000,1929418000,2028933000,-2096173000,1138000,-66102000,-66102000,1863316000,-217564000,23078000,103909000,38086000,-52491000,-21248000,49054000,27806000,677343949.031602,2513000,2512999.99999999,2513000.00000001,-22172000,-22172000,-22172000,-183981000,474308000,-162501000,0.78307,-0.59711,-0.62741,3.29134,-0.11676,0.74691,1.64442,-29.1885,0.25455,-1.12887,-1.12887,1.79927,-0.34298,-0.84317,-0.19107,-0.14271,1.87352,1.6647
"17","2020_Q4",27.12328125,"Up",318273000,-72294000,245979000,-476152000,-334806000,-141346000,-230173000,-5640000,-5640000,-235813000,-235813000,-4858000,-240671000,-240671000,-240671000,-240671000,732137000,262331000,469806000,236690000,236690000,126366000,63189000,63177000,1095193000,149688000,528460000,53738000,185260000,289462000,678148000,1773341000,175702000,68232000,107470000,537682000,503311000,713384000,761797000,618749000,143048000,1243996000,1957380000,2151180000,-2336844000,1625000,-184039000,-184039000,1773341000,-240671000,24175000,107992000,23643000,-84861000,-32622000,138030000,105408000,1037414635.95818,30029000,30029000,30029000,50576000,50576000,50576000,-205998000,482199000,-210119000,0.77286,-0.72319,-0.75618,1.30772,-0.13572,0.87305,1.53521,-10.63568,0.27192,-1.2261,-1.2261,1.62144,-0.93759,-1.07045,-0.22706,-0.19823,1.2133,1.08587
"18","2021_Q1",30.4104918032787,"Up",327874000,-66971000,260903000,-432255000,-296917000,-135338000,-171352000,-9757000,-9757000,-181109000,-181109000,-4239000,-185348000,-185348000,-185348000,-185348000,719778000,318737000,401041000,242516000,242516000,131726000,63032000,68694000,1094020000,143172000,531355000,49392000,185260000,296703000,674527000,1768547000,189062000,54029000,135033000,571141000,534572000,760203000,793099000,648869000,144230000,1283321000,2043524000,2245180000,-2522192000,2030000,-274977000,-274977000,1768547000,-185348000,24058000,109275000,55645000,3630000,-17415000,69126000,51711000,1124658748.58984,1282000,1282000,1282000.00000003,56623000,56623000,56623000,-147294000,490222000,-104825000,0.79574,-0.52262,-0.5653,0.67405,-0.1048,0.56556,1.43912,-7.43162,0.27719,-0.96087,-0.96087,1.69974,-1.42555,-0.54343,-0.18381,-0.10396,1.55849,1.33968
"19","2021_Q2",31.1536507936508,"Up",312754000,-67959000,244795000,-426868000,-291064000,-135804000,-182073000,-78732000,-78732000,-260805000,-260805000,-4243000,-265048000,-265048000,-265048000,-265048000,1318085000,504482000,813603000,183270000,183270000,132766000,56719000,76047000,1634121000,133156000,548595000,45047000,185260000,318288000,681751000,2315872000,188560000,48272000,140288000,591018000,549938000,779578000,1099012000,656545000,442467000,2093649000,2873227000,2299908000,-2858143000,880000,-557355000,-557355000,2315872000,-265048000,23499000,180438000,57038000,-4073000,-12252000,-416420000,-428672000,723757000,-105479000,19600000,618278000,185533000,185533000,185533000,-158574000,994637000,-109545000,0.78271,-0.58216,-0.84746,0.47555,-0.11445,0.4133,2.09616,-5.15511,0.42949,-1.30504,-1.30504,1.53994,-2.74431,-0.53938,-0.17252,-0.0713,2.03973,1.77647
"20","2021_Q3",37.80453125,"Up",346382000,-70954000,275428000,-431676000,-296105000,-135571000,-156248000,-126001000,-126001000,-282249000,-282249000,-5141000,-287390000,-287390000,-287390000,-287390000,1288839000,298701000,990138000,164868000,164868000,162019000,69994000,92025000,1615726000,131971000,563755000,40702000,185260000,337793000,695726000,2311452000,229603000,52459000,177144000,619973000,578664000,849576000,1208543000,667627000,540916000,2220268000,3069844000,2386584000,-3145533000,557000,-758392000,-758392000,2311452000,-287390000,23588000,219111000,29134000,-15557000,-12916000,-179305000,-192221000,-140000,2304000,2304000,2164000,-205614000,-205614000,-205614000,-132660000,1011725000,-111301000,0.79516,-0.45109,-0.82969,0.37895,-0.12433,0.38728,1.9018,-4.04783,0.4377,-1.4192,-1.4192,1.71052,-3.74513,-0.54963,-0.19659,-0.07614,2.0889,1.77355
"21","2021_Q4",34.3,"Down",344508000,-74474000,270034000,-450607000,-305690000,-144917000,-180573000,61352000,61352000,-119221000,-119221000,-4419000,-123640000,-123640000,-123640000,-123640000,1254821000,274676000,980145000,143116000,143116000,168646000,65918000,102728000,1566583000,133392000,565576000,36357000,185260000,343959000,698968000,2265551000,213652000,56638000,157014000,647442000,605031000,861094000,1113218000,669005000,444213000,2151231000,3012325000,2522307000,-3269173000,92000,-746774000,-746774000,2265551000,-123640000,23522000,43916000,652000,-55550000,-15943000,7085000,-8858000,0,40439000,40439000,40439000,-23969000,-23969000,-23969000,-157051000,1038013000,-167923000,0.78383,-0.52415,-0.35889,0.16557,-0.05457,1.35816,1.81929,-4.03378,0.45817,-0.5955,-0.5955,1.65928,-3.59674,-0.80878,-0.08803,-0.11956,1.38049,1.20067
"22","2022_Q1",26.7987096774194,"Down",390720000,-78519000,312201000,-454089000,-313431000,-140658000,-141888000,-211610000,-211610000,-353498000,-353498000,-4684000,-358182000,-358182000,-358182000,-358182000,1213729000,285723000,928006000,180781000,180781000,167751000,56816000,110935000,1562261000,131621000,583614000,32012000,185260000,366342000,715235000,2277496000,248797000,47056000,201741000,679091000,636421000,927888000,1305955000,676502000,629453000,2361649000,3289537000,2615322000,-3627355000,-8000,-1012041000,-1012041000,2277496000,-358182000,23764000,306835000,2953000,-24630000,-17536000,50134000,32598000,-459000,3423000,3422999.99999999,2963999.99999997,10932000,10932000,10932000,-118124000,1055694000,-128023000,0.79904,-0.36314,-0.91672,0.35392,-0.15727,0.35742,1.68367,-3.2504,0.46353,-1.7523,-1.7523,1.91148,-4.95111,-0.62631,-0.2654,-0.09486,1.33787,1.1138
"23","2022_Q2",20.833064516129,"Down",378517000,-81446000,297071000,-434327000,-290061000,-144266000,-137256000,-278549000,-278549000,-415805000,-415805000,-4047000,-419852000,-419852000,-419852000,-419852000,1276101000,350985000,925116000,116944000,116944000,159350000,48882000,110468000,1552395000,120596000,581575000,27885000,185260000,368430000,702171000,2254566000,199065000,43184000,155881000,705722000,662501000,904787000,786862000,670833000,116029000,2048518000,2953305000,3292255000,-3990340000,-659000,-698739000,-698739000,2254566000,-419852000,23291000,380360000,23140000,6939000,-8844000,-27000,31009000,74200000,-28431000,30139000,27379000,65327000,65327000,65327000,-113965000,1261656000,-95622000,0.78483,-0.36262,-1.1092,0.60087,-0.18622,0.22775,1.71576,-4.22662,0.5596,-1.94828,-1.94828,1.75647,-3.24245,-0.44372,-0.31105,-0.07084,0.12675,0.10524
"24","2022_Q3",18.2434375,"Down",413081000,-79969000,333112000,-427532000,-285924000,-141608000,-94420000,-15332000,-15332000,-109752000,-109752000,-5309000,-115061000,-115061000,-115061000,-115061000,1291775000,400749000,891026000,159938000,159938000,170011000,60404000,109607000,1621724000,117609000,576257000,23866000,185260000,367131000,693866000,2315590000,234478000,46900000,187578000,747388000,703803000,1127026000,787720000,683068000,104652000,1914181000,3041207000,3382214000,-4105401000,-2435000,-725617000,-725617000,2315590000,-115061000,22291000,114043000,4494000,25767000,-8546000,30575000,-17851000,-18494000,1914000,1914000,41690000,49606000,49606000,49606000,-72129000,1271621000,-70872000,0.80641,-0.22858,-0.27854,0.15857,-0.04969,0.61595,1.43894,-4.1912,0.54916,-0.53393,-0.53393,1.91686,-3.36717,-0.32887,-0.08627,-0.05314,0.27942,0.21345
