"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2017_Q4",72.0231746031746,"Down",7.283e+09,-2.268e+09,5.015e+09,-3.415e+09,-2.388e+09,-5.3e+08,-4.97e+08,1.6e+09,-2.26e+08,-1.8e+08,-2.68e+08,-4.6e+07,1.374e+09,-4.07e+08,9.67e+08,-1.47e+08,8.2e+08,8.2e+08,1e+06,8.21e+08,8.21e+08,1.1458e+10,2.768e+09,8.69e+09,5.453e+09,5.453e+09,3.72e+09,1.792e+09,2.2423e+10,4.947e+09,7.0208e+10,4.1224e+10,2.6209e+10,1.484e+09,1.291e+09,7.5155e+10,9.7578e+10,6.446e+09,1.557e+09,4.068e+09,6.226e+09,1.2672e+10,2.5923e+10,9.49e+09,3.643e+09,4.237e+09,3.5413e+10,4.8085e+10,0,5.2266e+10,-2.879e+09,4.9387e+10,4.9493e+10,9.7578e+10,8.2e+08,7.3e+08,-2.56e+08,7.91e+08,2.085e+09,-3.26e+08,-5.83e+08,-2.2e+07,-1.1e+07,-9.42e+08,-5.9e+08,-1.47e+08,-5.82e+08,-1.319e+09,-1.76e+08,-1.76e+08,-1e+07,-1.86e+08,2.33e+09,3.2149e+10,2.942e+09,0.68859,0.21969,0.11273,0.01659,0.00841,3.58343,1.76949,0.97155,0.32947,0.59809,0.59334,5.3056,35.978,2.14322,0.42981,0.01548,0.03228,0.71864,8.88026,12.93188
"12","2018_Q1",74.6234426229508,"Up",7.916e+09,-2.436e+09,5.48e+09,-3.528e+09,-2.479e+09,-5.53e+08,-4.96e+08,1.952e+09,-2.44e+08,-1.96e+08,-2.9e+08,-4.8e+07,1.708e+09,-2.73e+08,1.435e+09,-2.71e+08,1.164e+09,1.164e+09,-1e+06,1.163e+09,1.163e+09,1.3708e+10,4.967e+09,8.741e+09,5.591e+09,5.591e+09,3.338e+09,2.236e+09,2.4873e+10,4.361e+09,7.0623e+10,3.8515e+10,2.3407e+10,1.55e+09,7.151e+09,7.4984e+10,9.9857e+10,6.71e+09,1.555e+09,4.522e+09,7.52e+09,1.4264e+10,2.5921e+10,9.342e+09,2.978e+09,4.64e+09,3.5263e+10,4.9527e+10,2.9551e+10,2.327e+10,-2.613e+09,5.0208e+10,5.033e+10,9.9857e+10,1.164e+09,7.18e+08,3.6e+07,-1.45e+08,1.773e+09,-3.3e+08,52999999.9999998,4e+06,999999.999999993,-2.72e+08,-5.94e+08,1.303e+09,-21999999.9999999,6.87e+08,2.188e+09,2.188e+09,1.1e+07,2.199e+09,2.67e+09,3.3441e+10,2.466e+09,0.69227,0.24659,0.14692,0.02311,0.0116499999999999,2.12038,1.74376,0.98405,0.33489,0.84897,0.84184,5.77852,36.65085,1.80013,0.43361,0.01887,0.02648,0.51075,7.39064,10.10912
"13","2018_Q2",75.97015625,"Up",7.39e+09,-2.352e+09,5.038e+09,-3.648e+09,-2.58e+09,-5.49e+08,-4.54e+08,1.39e+09,-1.87e+08,-2.86e+08,-2.86e+08,9.9e+07,1.203e+09,-8e+06,1.195e+09,-1.86e+08,1.009e+09,1.009e+09,7e+06,1.016e+09,1.016e+09,1.3088e+10,4.691e+09,8.397e+09,5.784e+09,5.784e+09,3.538e+09,2.369e+09,2.4779e+10,4.387e+09,7.1084e+10,3.9196e+10,2.3006e+10,1.598e+09,7.284e+09,7.5471e+10,1.0025e+11,7.031e+09,1.759e+09,4.555e+09,8.058e+09,1.5148e+10,2.5953e+10,8.362e+09,2.61e+09,4.089e+09,3.4315e+10,4.9463e+10,2.8553e+10,2.4043e+10,-1.924e+09,5.0672e+10,5.0787e+10,1.0025e+11,1.009e+09,6.36e+08,1.55e+08,-1.063e+09,7.37e+08,-2.78e+08,3.56e+08,0,5e+06,8.3e+07,-6.25e+08,5.79e+08,-1.095e+09,-1.141e+09,-3.21e+08,-3.21e+08,4.5e+07,-2.76e+08,2.026e+09,3.4011e+10,8.71e+08,0.68173,0.18809,0.13748,0.02001,0.01013,0.85728,1.63579,0.97393,0.33926,0.74602,0.73859,5.42624,37.20684,0.63955,0.45892,0.01761,0.00935,0.61516,10.32725,15.05252
"14","2018_Q3",84.5779365079365,"Up",7.05e+09,-2.123e+09,4.927e+09,-3.722e+09,-2.539e+09,-5.56e+08,-4.6e+08,1.205e+09,-1.66e+08,-2.73e+08,-2.73e+08,1.07e+08,1.039e+09,6.89e+08,1.728e+09,2.85e+08,2.013e+09,2.013e+09,4e+06,2.017e+09,2.017e+09,1.3526e+10,5.529e+09,7.997e+09,5.752e+09,5.752e+09,3.638e+09,2.246e+09,2.5162e+10,4.441e+09,6.4855e+10,3.9077e+10,2.2625e+10,1.749e+09,1.404e+09,6.9296e+10,9.4458e+10,7.365e+09,1.718e+09,4.775e+09,3.131e+09,1.0496e+10,2.5941e+10,6.443e+09,1.841e+09,3.127e+09,3.2384e+10,4.288e+10,2.8091e+10,2.5438e+10,-2.06e+09,5.1469e+10,5.1578e+10,9.4458e+10,2.013e+09,6.78e+08,-1.505e+09,-2.79e+08,9.07e+08,-2.46e+08,3.13e+08,5.982e+09,-7e+06,6.042e+09,-6.22e+08,-4.91e+09,-6.04e+08,-6.136e+09,8.13e+08,8.13e+08,2.5e+07,8.38e+08,1.883e+09,2.9072e+10,1.073e+09,0.69887,0.17092,0.2861,0.03911,0.02135,0.53198,2.39729,0.83136,0.30778,1.48845,1.47657,5.20257,37.9817,0.79182,0.45901,0.0303,0.01232,0.30838,8.25597,12.90124
"15","2018_Q4",85.9479365079365,"Up",7.369e+09,-2.194e+09,5.175e+09,-3.671e+09,-2.523e+09,-5.59e+08,-4.61e+08,1.504e+09,-4.09e+08,-2.7e+08,-2.7e+08,-1.39e+08,1.095e+09,-6.8e+07,1.027e+09,-2.419e+09,-1.392e+09,-1.392e+09,3e+06,-1.389e+09,-1.389e+09,1.4436e+10,6.358e+09,8.078e+09,5.775e+09,5.775e+09,3.751e+09,2.645e+09,2.6607e+10,4.517e+09,6.4676e+10,3.9795e+10,2.2178e+10,1.537e+09,1.166e+09,6.9193e+10,9.58e+10,8.031e+09,1.809e+09,5.297e+09,2.902e+09,1.0933e+10,2.5918e+10,8.609e+09,1.363e+09,5.722e+09,3.4527e+10,4.546e+10,2.819e+10,2.3426e+10,-1.382e+09,5.0234e+10,5.034e+10,9.58e+10,-1.392e+09,6.66e+08,1.56e+08,2.572e+09,2.002e+09,-2.52e+08,-8.8e+07,-3.5e+07,-3e+06,-3.78e+08,-6.23e+08,-2.06e+08,-2e+07,-8.49e+08,7.75e+08,7.75e+08,5.4e+07,8.29e+08,2.17e+09,2.882e+10,6.909e+09,0.70227,0.2041,-0.18849,-0.02759,-0.0145,-4.97408,2.43364,0.90306,0.30084,-1.02539,-1.01751,5.43998,37.08401,5.1004,0.45991,-0.00873,0.07872,-0.44852,6.62857,9.56383
"16","2019_Q1",82.8088524590164,"Down",8.144e+09,-2.386e+09,5.758e+09,-3.009e+09,-2.332e+09,-5.89e+08,-4.48e+08,2.749e+09,-4.92e+08,80000000.0000001,-3.17e+08,-5.72e+08,2.257e+09,-5.32e+08,1.725e+09,-2.6e+08,1.465e+09,1.465e+09,-5e+06,1.46e+09,1.46e+09,1.1227e+10,3.669e+09,7.558e+09,5.987e+09,5.987e+09,3.579e+09,2.187e+09,2.298e+10,4.604e+09,6.3809e+10,3.9543e+10,2.1723e+10,1.465e+09,1.078e+09,6.8413e+10,9.1393e+10,8.026e+09,1.628e+09,5.419e+09,2.058e+09,1.0084e+10,2.3699e+10,6.788e+09,1.423e+09,3.94e+09,3.0487e+10,4.0571e+10,2.8127e+10,2.4379e+10,-1.786e+09,5.072e+10,5.0822e+10,9.1393e+10,1.465e+09,6.64e+08,3.12e+08,-1.403e+09,1.038e+09,-2.92e+08,4.46e+08,-26000000.000001,-1.7e+07,1.11e+08,-6.24e+08,-3.105e+09,-9.9e+07,-3.828e+09,-2.679e+09,-2.679e+09,-1e+07,-2.689e+09,3.413e+09,2.5757e+10,1.978e+09,0.70702,0.33755,0.17927,0.02873,0.01597,1.35479,2.27886,0.7983,0.28183,1.07733,1.06874,6.00945,37.42621,1.45956,0.46045,0.025,0.02373,0.4274,4.25725,5.28556
"17","2019_Q2",84.88,"Up",7.384e+09,-2.204e+09,5.18e+09,-3.779e+09,-2.597e+09,-5.85e+08,-4.46e+08,1.401e+09,-5.6e+07,-2.42e+08,-2.42e+08,1.86e+08,1.345e+09,-1.65e+08,1.18e+09,-1.03e+08,1.077e+09,1.077e+09,-2e+06,1.075e+09,1.075e+09,1.1004e+10,4.38e+09,6.624e+09,5.674e+09,5.674e+09,3.681e+09,2.101e+09,2.246e+10,4.524e+09,6.2737e+10,3.8955e+10,2.127e+10,1.413e+09,1.099e+09,6.7261e+10,8.9721e+10,7.567e+09,1.789e+09,4.994e+09,1.545e+09,9.112e+09,2.3678e+10,6.602e+09,1.347e+09,3.843e+09,3.028e+10,3.9392e+10,2.7817e+10,2.473e+10,-2.323e+09,5.0224e+10,5.0329e+10,8.9721e+10,1.077e+09,6.66e+08,8.5e+07,-1.26e+08,1.702e+09,-2.91e+08,1.038e+09,-1.04e+08,0,6.43e+08,-6.77e+08,-5.17e+08,-3.79e+08,-1.573e+09,7.72e+08,7.72e+08,-6.1e+07,7.11e+08,2.067e+09,2.5223e+10,1.753e+09,0.70152,0.18973,0.14559,0.02136,0.01198,1.6307,2.46488,0.78269,0.28113,0.79471,0.78732,5.45871,37.12871,1.29593,0.50048,0.02133,0.02134,0.62977,6.87905,10.14918
"18","2019_Q3",97.5303125,"Up",7.481e+09,-2.203e+09,5.278e+09,-3.71e+09,-2.605e+09,-5.9e+08,-4.45e+08,1.568e+09,-1.89e+08,-2.41e+08,-2.41e+08,5.2e+07,1.379e+09,-2.4e+07,1.355e+09,-2.35e+08,1.12e+09,1.12e+09,-5e+06,1.115e+09,1.115e+09,1.0133e+10,3.911e+09,6.222e+09,5.743e+09,5.743e+09,3.763e+09,2.014e+09,2.1653e+10,4.536e+09,6.1961e+10,3.8605e+10,2.0819e+10,1.414e+09,1.123e+09,6.6497e+10,8.815e+10,7.12e+09,1.742e+09,4.842e+09,1.343e+09,8.463e+09,2.3673e+10,6.3e+09,1.325e+09,3.674e+09,2.9973e+10,3.8436e+10,2.7048e+10,2.5171e+10,-2.612e+09,4.9607e+10,4.9714e+10,8.815e+10,1.12e+09,6.51e+08,9e+07,-6.98e+08,1.163e+09,-2.06e+08,3.42e+08,-15000000.0000001,0,1.21e+08,-6.74e+08,-1.99e+08,-8.57e+08,-1.73e+09,-4.46e+08,-4.46e+08,-2.3e+07,-4.69e+08,2.219e+09,2.5016e+10,1.55e+09,0.70552,0.2096,0.14904,0.02243,0.01265,1.39013,2.55855,0.77314,0.28379,0.82648,0.81949,5.54518,36.77044,1.14891,0.49959,0.02208,0.01913,0.60448,6.70708,9.49171
"19","2019_Q4",103.1225,"Up",7.546e+09,-2.265e+09,5.281e+09,-3.65e+09,-2.596e+09,-5.61e+08,-4.36e+08,1.631e+09,-1.72e+08,-2.43e+08,-2.43e+08,7.1e+07,1.459e+09,-8.9e+07,1.37e+09,-9.9e+07,1.271e+09,1.271e+09,-2e+06,1.269e+09,1.269e+09,9.142e+09,3.703e+09,5.439e+09,5.854e+09,5.854e+09,3.866e+09,2.015e+09,2.0877e+10,4.593e+09,6.326e+10,4.0003e+10,2.0835e+10,1.496e+09,9.26e+08,6.7853e+10,8.873e+10,7.497e+09,1.706e+09,5.143e+09,1.356e+09,8.853e+09,2.3674e+10,6.262e+09,1.356e+09,3.593e+09,2.9936e+10,3.8789e+10,2.6518e+10,2.5769e+10,-2.458e+09,4.9829e+10,4.9941e+10,8.873e+10,1.271e+09,6.75e+08,1.4e+07,9.5e+07,2.055e+09,-3.02e+08,7.92e+08,-1.496e+09,-3e+06,-1.009e+09,-6.71e+08,-6e+06,-5.91e+08,-1.268e+09,-2.22e+08,-2.22e+08,1.4e+07,-2.08e+08,2.306e+09,2.503e+10,2.198e+09,0.69984,0.21614,0.16817,0.02541,0.0143,1.73207,2.35818,0.7767,0.28209,0.94525,0.93826,5.62086,37.11657,1.63724,0.49981,0.02388,0.02706,0.52876,6.88985,9.74126
"20","2020_Q1",100.459193548387,"Down",8.146e+09,-2.483e+09,5.663e+09,-3.631e+09,-2.62e+09,-5.94e+08,-4.37e+08,2.032e+09,-6.54e+08,-7.18e+08,-7.18e+08,6.4e+07,1.378e+09,-8.6e+07,1.292e+09,-1.1e+08,1.182e+09,1.182e+09,-1e+07,1.172e+09,1.172e+09,9.848e+09,4.393e+09,5.455e+09,6.222e+09,6.222e+09,3.753e+09,2.144e+09,2.1967e+10,4.675e+09,6.3052e+10,3.9959e+10,2.056e+10,1.519e+09,1.014e+09,6.7727e+10,8.9694e+10,7.634e+09,1.953e+09,5.114e+09,8.38e+08,8.472e+09,2.4486e+10,6.524e+09,1.278e+09,3.595e+09,3.101e+10,3.9482e+10,2.6532e+10,2.627e+10,-2.711e+09,5.0091e+10,5.0212e+10,8.9694e+10,1.182e+09,6.67e+08,5.89e+08,-3.51e+08,2.087e+09,-3.35e+08,-2.1e+07,-2.12e+08,3.9e+07,-5.29e+08,-6.71e+08,-1.45e+08,2.833e+09,-8.6e+08,6.98e+08,6.98e+08,-7999999.99999999,6.9e+08,2.699e+09,2.5324e+10,2.123e+09,0.69519,0.24945,0.14387,0.02334,0.01307,1.81143,2.59289,0.78631,0.28234,0.87378,0.86718,6.07321,37.34511,1.58279,0.50026,0.02246,0.02587,0.57253,5.73398,7.61614
"21","2020_Q2",91.0863492063492,"Down",7.493e+09,-2.366e+09,5.127e+09,-3.548e+09,-2.543e+09,-5.87e+08,-4.4e+08,1.579e+09,-5.08e+08,-6.09e+08,-6.09e+08,1.01e+08,1.071e+09,-9.4e+07,9.77e+08,-1e+08,8.77e+08,8.77e+08,-1.3e+07,8.64e+08,8.64e+08,1.0683e+10,5.08e+09,5.603e+09,5.894e+09,5.894e+09,3.932e+09,2.196e+09,2.2705e+10,4.711e+09,6.3852e+10,4.0082e+10,2.0234e+10,1.545e+09,1.991e+09,6.8563e+10,9.1268e+10,7.06e+09,1.906e+09,4.654e+09,1.458e+09,8.518e+09,2.4804e+10,7.449e+09,1.346e+09,4.463e+09,3.2253e+10,4.0771e+10,2.647e+10,2.6377e+10,-2.484e+09,5.0363e+10,5.0497e+10,9.1268e+10,8.77e+08,6.57e+08,5.68e+08,-5.92e+08,1.51e+09,-3.01e+08,-1e+08,-1.45e+08,-5e+06,-5.51e+08,-7.24e+08,6.2e+08,-1.7e+08,-2.74e+08,6.85e+08,6.85e+08,2e+06,6.87e+08,2.236e+09,2.6262e+10,1.443e+09,0.68424,0.21073,0.11531,0.01711,0.00947,1.67014,2.66553,0.80739,0.28775,0.64439,0.6391,5.58845,37.5619,1.07622,0.53998,0.01886,0.01714,0.83796,6.96735,9.86637
"22","2020_Q3",96.0240625,"Up",7.706e+09,-2.394e+09,5.312e+09,-3.813e+09,-2.62e+09,-6.03e+08,-4.41e+08,1.499e+09,-5.7e+07,-1.65e+08,-1.65e+08,1.08e+08,1.442e+09,-1.48e+08,1.294e+09,7.7e+07,1.371e+09,1.371e+09,-7e+06,1.364e+09,1.364e+09,1.0398e+10,3.962e+09,6.436e+09,6.118e+09,6.118e+09,4.042e+09,2.095e+09,2.2653e+10,4.756e+09,6.3644e+10,3.9952e+10,1.9775e+10,1.804e+09,2.113e+09,6.84e+10,9.1053e+10,7.295e+09,1.965e+09,4.888e+09,8.75e+08,8.17e+09,2.4752e+10,7.412e+09,1.376e+09,4.463e+09,3.2164e+10,4.0334e+10,2.6171e+10,2.7018e+10,-2.611e+09,5.0578e+10,5.0719e+10,9.1053e+10,1.371e+09,6.71e+08,-7.5e+07,-1e+08,1.867e+09,-2.83e+08,-8.66e+08,-5.6e+07,-1.1e+07,-1.216e+09,-7.23e+08,-6.04e+08,-4.14e+08,-1.741e+09,-1.09e+09,-1.09e+09,-2.8e+07,-1.118e+09,2.17e+09,2.5627e+10,1.71e+09,0.68933,0.19452,0.177,0.02689,0.01498,1.25367,2.77271,0.79524,0.28145,1.0173,1.0094,5.74732,37.72226,1.27536,0.53923,0.02492,0.02042,0.53006,7.01797,10.15944
"23","2020_Q4",105.884375,"Up",7.717e+09,-2.4e+09,5.317e+09,-3.557e+09,-2.587e+09,-5.73e+08,-4.36e+08,1.76e+09,-6e+07,-1.56e+08,-1.56e+08,9.6e+07,1.7e+09,-1.21e+08,1.579e+09,3.4e+08,1.919e+09,1.919e+09,-4e+06,1.915e+09,1.915e+09,1.1628e+10,3.709e+09,7.919e+09,6.248e+09,6.248e+09,4.122e+09,2.045e+09,2.4043e+10,4.764e+09,6.4015e+10,4.0091e+10,1.9456e+10,2.272e+09,2.196e+09,6.8779e+10,9.2822e+10,7.891e+09,1.945e+09,5.489e+09,8.44e+08,8.735e+09,2.4732e+10,7.402e+09,1.282e+09,4.522e+09,3.2134e+10,4.0869e+10,2.6144e+10,2.821e+10,-2.546e+09,5.1808e+10,5.1953e+10,9.2822e+10,1.919e+09,6.63e+08,-4.38e+08,2.63e+08,2.407e+09,-2.93e+08,-1.492e+09,2e+06,-1.8e+07,-1.801e+09,-7.23e+08,-3.7e+07,-1.13e+08,-8.73e+08,-2.67e+08,-2.67e+08,1.4e+07,-2.53e+08,2.423e+09,2.5576e+10,2.053e+09,0.689,0.22807,0.24815,0.03686,0.02063,1.07206,2.75249,0.78665,0.27554,1.42857,1.41684,5.75681,38.64827,1.53152,0.53935,0.03106,0.02417,0.37755,5.7565,7.925
"24","2021_Q1",113.270819672131,"Up",5.997e+09,-2.264e+09,3.733e+09,-3.349e+09,-2.359e+09,-5.68e+08,-4.39e+08,3.84e+08,-1.11e+08,-1.62e+08,-1.62e+08,5.1e+07,2.73e+08,-6.8e+07,2.05e+08,4.34e+08,6.39e+08,6.39e+08,7e+06,6.46e+08,6.46e+08,1.0948e+10,4.14e+09,6.808e+09,4.645e+09,4.645e+09,4.229e+09,2.209e+09,2.2031e+10,4.828e+09,6.383e+10,3.9841e+10,1.9063e+10,2.832e+09,2.094e+09,6.8658e+10,9.0689e+10,7.59e+09,1.996e+09,5.092e+09,2.776e+09,1.0366e+10,2.2021e+10,7.43e+09,1.174e+09,4.346e+09,2.9451e+10,3.9817e+10,2.6165e+10,2.8132e+10,-3.56e+09,5.0737e+10,5.0872e+10,9.0689e+10,6.39e+08,6.72e+08,-3.51e+08,4.9e+08,1.45e+09,-3.36e+08,9.93e+08,-2.89e+08,-3e+06,3.65e+08,-7.24e+08,-5.38e+08,1.278e+09,-1.31e+09,5.05e+08,5.05e+08,-7.4e+07,4.31e+08,1.056e+09,2.4797e+10,7.76e+08,0.62248,0.06403,0.10772,0.0127,0.00712,1.20124,2.12531,0.78269,0.27343,0.48184,0.47866,4.47304,37.84366,0.5788,0.54002,0.01649,0.00934,1.12074,13.11458,36.0651
"25","2021_Q2",121.949047619048,"Up",6.507e+09,-2.505e+09,4.002e+09,-3.364e+09,-2.417e+09,-6.21e+08,-4.4e+08,6.38e+08,-8.9e+07,-1.71e+08,-1.71e+08,8.2e+07,5.49e+08,3.5e+07,5.84e+08,-9.3e+07,4.91e+08,4.91e+08,-4e+06,4.87e+08,4.87e+08,1.0817e+10,3.593e+09,7.224e+09,5.462e+09,5.462e+09,4.313e+09,1.955e+09,2.2547e+10,5.221e+09,6.5313e+10,4.1961e+10,1.774e+10,3.169e+09,2.443e+09,7.0534e+10,9.3081e+10,8.498e+09,2.106e+09,5.957e+09,11000000.0000005,8.509e+09,2.6378e+10,6.592e+09,1.028e+09,5.564e+09,3.297e+10,4.1479e+10,2.6319e+10,2.8594e+10,-3.485e+09,5.1428e+10,5.1602e+10,9.3081e+10,4.91e+08,6.69e+08,1.78e+08,-1.06e+09,2.78e+08,-3.34e+08,3.58e+08,-314629183.817329,-1.6e+07,8e+06,-7.78e+08,2.762e+09,-2.5e+07,1.959e+09,2.245e+09,2.245e+09,1.14e+08,2.359e+09,1.307e+09,2.6389e+10,6e+06,0.61503,0.09805,0.07484,0.00944,0.00523,0.01232,2.64978,0.80383,0.28351,0.36292,0.36074,4.84909,38.32476,0.00447,0.57977,0.01496,7e-05,1.59754,11.91431,24.40752
"26","2021_Q3",126.350625,"Up",7.647e+09,-2.704e+09,4.943e+09,-3.832e+09,-2.6e+09,-6.39e+08,-4.44e+08,1.111e+09,-4.05e+08,-4.7e+08,-4.7e+08,6.5e+07,7.06e+08,-1.81e+08,5.25e+08,-3.1e+07,4.94e+08,4.94e+08,-5e+06,4.89e+08,4.89e+08,1.4277e+10,6.42e+09,7.857e+09,5.348e+09,5.348e+09,4.484e+09,1.927e+09,2.6036e+10,4.938e+09,6.4912e+10,4.1212e+10,1.8412e+10,3.176e+09,2.112e+09,6.985e+10,9.5886e+10,8.03e+09,1.902e+09,5.722e+09,4.041e+09,1.2071e+10,2.5967e+10,7.532e+09,1.251e+09,4.257e+09,3.3499e+10,4.557e+10,2.6481e+10,2.7526e+10,-3.843e+09,5.0164e+10,5.0316e+10,9.5886e+10,4.94e+08,6.71e+08,4.69e+08,2.27e+08,1.861e+09,-2.81e+08,-1.381e+09,-3.7e+08,1.2e+07,-2.02e+09,-7.8e+08,806000000.000001,74000000.0000002,3.2e+07,-1.27e+08,-1.27e+08,4.8e+07,-7.9e+07,1.782e+09,3.0008e+10,1.759e+09,0.6464,0.14529,0.06395,0.00972,0.0051,3.59714,2.1569,0.90568,0.31295,0.36376,0.36163,5.68846,37.31608,1.30849,0.58023,0.01444,0.02002,1.59509,8.82772,14.15932
"27","2021_Q4",113.61375,"Down",7.775e+09,-2.621e+09,5.154e+09,-3.671e+09,-2.536e+09,-6.01e+08,-4.53e+08,1.483e+09,-5.6e+07,-1.42e+08,-1.42e+08,8.6e+07,1.427e+09,-2.07e+08,1.22e+09,5.9e+07,1.279e+09,1.279e+09,-9e+06,1.27e+09,1.27e+09,1.4639e+10,5.077e+09,9.562e+09,5.215e+09,5.215e+09,4.508e+09,1.986e+09,2.6348e+10,5.023e+09,6.5899e+10,4.2141e+10,1.824e+10,3.31e+09,2.208e+09,7.0922e+10,9.727e+10,8.713e+09,1.816e+09,6.494e+09,3.821e+09,1.2534e+10,2.6502e+10,7.305e+09,1.232e+09,4.031e+09,3.3807e+10,4.6341e+10,2.6665e+10,2.8015e+10,-3.922e+09,5.0758e+10,5.0928e+10,9.7269e+10,1.279e+09,6.78e+08,-8e+06,4.07e+08,2.356e+09,-3.63e+08,-1.672e+09,-6.06e+08,-1.32e+08,-2.773e+09,-7.81e+08,-3.69e+08,1.61e+08,-9.98e+08,-1.415e+09,-1.415e+09,7.2e+07,-1.343e+09,2.161e+09,3.0323e+10,2.146e+09,0.66289,0.19074,0.16334,0.02494,0.01306,1.68976,2.10212,0.90993,0.31174,0.94326,0.93665,5.77466,37.69905,1.59388,0.58007,0.02316,0.02423,0.61496,7.25775,10.57586
"28","2022_Q1",104.288548387097,"Down",8.188e+09,-2.653e+09,5.535e+09,-3.872e+09,-2.595e+09,-6.32e+08,-4.46e+08,1.663e+09,-3.9e+07,-1.42e+08,-1.42e+08,1.03e+08,1.624e+09,-5.8e+07,1.566e+09,-2e+08,1.366e+09,1.366e+09,-6e+06,1.36e+09,1.36e+09,1.0817e+10,3.593e+09,7.224e+09,5.462e+09,5.462e+09,4.313e+09,1.955e+09,2.2547e+10,5.221e+09,6.5313e+10,4.1961e+10,1.774e+10,3.169e+09,2.443e+09,7.0534e+10,9.3081e+10,8.498e+09,2.106e+09,5.957e+09,1.1e+07,8.509e+09,2.6378e+10,6.592e+09,1.028e+09,5.564e+09,3.297e+10,4.1479e+10,2.6319e+10,2.8594e+10,-3.485e+09,5.1428e+10,5.1602e+10,9.3081e+10,1.366e+09,6.84e+08,-29999999.9999999,-2.75e+08,1.745e+09,-3.77e+08,2.232e+09,-1.8e+07,8.2e+07,1.919e+09,-7.81e+08,-3.769e+09,-4e+06,-5.129e+09,-1.465e+09,-1.465e+09,-1.9e+07,-1.484e+09,2.347e+09,2.6389e+10,1.895e+09,0.67599,0.2031,0.1661,0.02636,0.01461,1.39338,2.64978,0.80383,0.28351,1.00965,1.00155,6.07869,38.17966,1.40683,0.57981,0.02531,0.0224,0.57426,6.63485,9.3638
"29","2022_Q2",100.617419354839,"Down",7.987e+09,-2.598e+09,5.389e+09,-4.493e+09,-2.547e+09,-7.5e+08,-4.36e+08,8.96e+08,-2.6e+07,-1.37e+08,-1.37e+08,1.11e+08,8.7e+08,-3.7e+07,8.33e+08,-6.4e+07,7.69e+08,7.69e+08,-6e+06,7.63e+08,7.63e+08,1.0595e+10,3.004e+09,7.591e+09,5.431e+09,5.431e+09,4.288e+09,2.12e+09,2.2434e+10,5.162e+09,6.4206e+10,4.172e+10,1.689e+10,3.187e+09,2.409e+09,6.9368e+10,9.1802e+10,7.758e+09,1.864e+09,5.553e+09,6e+06,7.764e+09,2.5958e+10,6.416e+09,1.054e+09,5.362e+09,3.2374e+10,4.0138e+10,2.6184e+10,2.8511e+10,-3.209e+09,5.1486e+10,5.1664e+10,9.1802e+10,7.69e+08,6.71e+08,7.04e+08,-8.52e+08,1.292e+09,-3.78e+08,-3.3e+08,502090661.510942,-7.6e+07,-7.84e+08,-8.46e+08,-1e+06,1.07e+08,-1.055e+09,-5.47e+08,-5.47e+08,-4.2e+07,-5.89e+08,1.567e+09,2.5964e+10,4.01e+08,0.67472,0.11218,0.09553,0.01477,0.00831,0.52556,2.88949,0.7769,0.28283,0.56733,0.56352,5.93873,38.2824,0.29816,0.62904,0.01914,0.00477,1.10878,9.80791,17.1529
