"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",26.8412903225806,"Up",172113000,-96390000,75723000,-53700000,-44784000,-8916000,22023000,54000,22077000,-32000,22045000,-9069000,12976000,12976000,12976000,12976000,187471000,187471000,108425000,108425000,172021000,24192000,11890000,492109000,211132000,175755000,40075000,128812000,6868000,386887000,878996000,87833000,24225000,62601000,88026000,4810000,4810000,4810000,92836000,179444000,598533000,8183000,786160000,786160000,878996000,12976000,6931000,4119000,15787000,39813000,-6520000,-21000,-21000,-6499000,-6499000,-4781000,-6040000,201000,2.91038304567337e-11,-11913000,23119000,23119000,1633000,24752000,28954000,193000,47290000,0.43996,0.12796,0.07539,0.01651,0.01476,3.64442,5.5905,0.11809,0.00022,0.26837,0.2681,3.55958,16.2591,0.97804,0.12492,4,0.02404,0.05977,0.46547,-6.46812,-8.50375
"12","2013_Q1",27.1446666666667,"Up",143681000,-89483000,54198000,-52666000,-43903000,-8763000,1532000,35000,1567000,-2470000,-903000,6785000,5882000,5882000,5882000,5882000,175553000,175553000,82812000,82812000,204124000,35565000,23499000,498054000,213452000,178816000,50598000,121981000,6237000,392268000,890322000,95337000,37117000,58220000,95515000,5239000,5239000,5239000,100754000,185160000,592309000,12099000,789568000,789568000,890322000,5882000,6113000,6436000,-7072000,11359000,-12770000,-6937000,-6937000,-5833000,-5833000,-14250000,-12094000,2741000,-343000,-9768000,-12659000,-12659000,740999.999999999,-11918000,7645000,178000,-18982000,0.37721,0.01066,0.04094,0.00745,0.00661,-3.22713,5.21441,0.12761,2e-04,0.12155,0.1213,2.96923,16.31676,-0.39227,0.24993,5,0.02261,-0.02388,2.0561,-22.93983,-114.47454
"13","2013_Q2",25.5571875,"Down",154281000,-89561000,64720000,-55715000,-47407000,-8308000,9005000,38000,9043000,8000,9051000,-4256000,4795000,4795000,4795000,4795000,141965000,141965000,102813000,102813000,202341000,33373000,20377000,480492000,211010000,180045000,50636000,122582000,6827000,391055000,871547000,73477000,30958000,42519000,74691000,8435000,8435000,8435000,83126000,185035000,597104000,6282000,788421000,788421000,871547000,4795000,7487000,2712000,-33726000,-18732000,-4615000,17000,17000,-4632000,-4632000,-9310000,-6053000,496000,-270922.850351153,-4497000,-32539000,-32539000,-1049000,-33588000,16492000,1214000,-17593000,0.41949,0.05837,0.03108,0.00608,0.0055,-3.66903,6.43306,0.10543,0.00139,0.09879,0.09861,3.17869,16.24405,-0.36247,0.12471,3,0.01359,-0.02204,1.26236,-8.5345,-15.63032
"14","2013_Q3",27.7746875,"Up",195347000,-106175000,89172000,-59483000,-49999000,-9484000,29689000,2000,29691000,-11000,29680000,-11178000,18502000,18502000,18502000,18502000,165275000,165275000,126888000,126888000,196247000,21925000,8465000,510335000,209544000,177106000,48725000,122678000,5703000,386650000,896985000,94532000,29579000,64953000,95733000,8221000,8221000,8221000,103954000,188034000,609538000,5284000,793031000,793031000,896985000,18502000,7290000,3652000,8198000,37642000,-3370000,93000,93000,-3463000,-3463000,-3350000,0,-9545000,11000,-9551000,24741000,24741000,-1431000,23310000,36979000,1201000,52985000,0.45648,0.15198,0.09471,0.02333,0.02063,2.86374,5.33082,0.13108,0.00134,0.38126,0.38048,4.02545,16.34172,1.09184,0,6,0.02306,0.06603,2.22044604925031e-16,-4.43695,-5.52641999999999
"15","2013_Q4",30.5459375,"Up",195620000,-105725000,89895000,-58380000,-49154000,-9226000,31515000,-8000,31507000,-631000,30876000,-10870000,20006000,20006000,20006000,20006000,215764000,215764000,118895000,118895000,187255000,24849000,12519000,546763000,209641000,177772000,42541000,130270000,4961000,387413000,934176000,102957000,33450000,69507000,103913000,7803000,7803000,7803000,111716000,195208000,623529000,13548000,822460000,822460000,934176000,20006000,6854000,6431000,19719000,53010000,-3141000,1713000,1713000,-4854000,-4854000,-3141000,-6028000,4557000,31000,-1714000,48155000,48155000,2334000,50489000,38369000,956000,65817000,0.45954,0.1611,0.10227,0.02432,0.02142,3.28986,5.26174,0.13583,0.00102,0.4135,0.41203,4.04324,16.9993,1.36036,0.12459,6,0.03132,0.07918,0.30131,-5.59848,-6.81606
"16","2014_Q1",30.213606557377,"Down",160074000,-90330000,69744000,-56437000,-46612000,-9825000,13307000,54000,13361000,-1404000,11957000,-4289000,7668000,7668000,7668000,7668000,251208000,251208000,90017000,90017000,197728000,32065000,16454000,571018000,209533000,175974000,41773000,129218000,4983000,385507000,956525000,103102000,34933000,68169000,103205000,12041000,12041000,12041000,115246000,207904000,615289000,18086000,841279000,841279000,956525000,7668000,5887000,6100000,14931000,34586000,-5678000,-1823000,-1823000,-3855000,-3855000,-1534000,-6049000,9724000,-482000,2343000,35395000,35395000,49000.0000000005,35444000,19194000,103000,32736000,0.4357,0.08313,0.0479,0.00911,0.00802,4.26917,5.53285,0.13699,0.00011,0.15765,0.15686,3.29113,17.29674,0.67305,0.12437,7,0.01607,0.03836,0.78886,-13.08247,-18.87014
"17","2014_Q2",30.0612698412698,"Down",168288000,-90526000,77762000,-58441000,-48741000,-9700000,19321000,85000,19406000,285000,19691000,-7604000,12087000,12087000,12087000,12087000,211988000,211988000,114159000,114159000,216529000,29071000,16073000,571747000,207457000,173965000,39728000,129433000,4804000,381422000,953169000,95466000,31291000,64175000,95549000,10111000,10111000,10111000,105660000,209359000,621260000,16890000,847509000,847509000,953169000,12087000,7684000,192000,-48921000,-28958000,-3742000,451000,451000,-4193000,-4193000,-3742000,-6089000,1769000,-1286000,-5626000,-38326000,-38326000,-894000,-39220000,27005000,83000,-18054000,0.46208,0.11481,0.07182,0.01426,0.01268,-1.49367,5.98381,0.12467,9e-05,0.24718,0.24635,3.44154,17.33183,-0.36921,0.12452,4,0.02119,-0.02105,0.50376,-7.84688,-10.9676
"18","2014_Q3",28.75,"Down",207910000,-111992000,95918000,-63820000,-53726000,-10094000,32098000,-14000,32084000,34000,32118000,-11667000,20451000,20451000,20451000,20451000,221196000,221196000,137803000,137803000,219036000,26128000,12503000,604163000,206563000,172608000,38056000,129231000,5321000,379171000,983334000,105393000,27119000,76540000,105455000,12603000,12603000,12603000,118058000,213526000,634858000,16892000,865276000,865276000,983334000,20451000,7101000,3493000,-11585000,19460000,-4991000,114000,114000,-5105000,-5105000,-5268000,-6118000,857000,7000,-5275000,8917000,8917000,291000,9208000,39199000,62000,34290000,0.46134,0.15438,0.09836,0.02364,0.0208,1.67669,5.72911,0.13644,6e-05,0.41727,0.41544,4.24211,17.65473,0.69964,0.12483,6,0.03026,0.03906,0.29915,-5.64132,-6.88934
"19","2014_Q4",29.0221875,"Up",209320000,-113767000,95553000,-62860000,-53149000,-9711000,32693000,-27000,32666000,-475000,32191000,-11578000,20613000,20613000,20613000,20613000,258238000,258238000,127495000,127495000,198420000,26126000,12985000,610279000,206134000,165430000,34782000,125228000,5420000,371564000,981843000,104458000,24729000,79729000,104496000,13224000,13224000,13224000,117720000,217501000,648608000,995000,864123000,864123000,981843000,20613000,7320000,5773000,24949000,58655000,-8172000,47000,47000,-8219000,-8219000,-8154000,-6858000,-1429000,52000,-8254000,42247000,42247000,-5205000,37042000,40013000,38000,68368000,0.45649,0.15619,0.09848,0.02385,0.02099,3.31674,5.84021,0.13623,4e-05,0.42062,0.41876,4.27131,17.633,1.39509,0.13994,5,0.03131,0.07792,0.3327,-6.4529,-7.89772
"20","2015_Q1",31.4559016393443,"Up",166630000,-93833000,72797000,-57428000,-47915000,-9513000,15369000,2000,15371000,-49000,15322000,-4942000,10380000,10380000,10380000,10380000,260307000,260307000,92015000,92015000,216545000,35451000,20789000,604318000,207027000,161720000,32587000,123881000,5252000,368747000,973065000,94462000,22860000,71602000,94480000,15120000,15120000,15120000,109600000,221471000,649174000,-7180000,863465000,863465000,973065000,10380000,5813000,7870000,-5999000,18064000,-6138000,60000,60000,-6198000,-6198000,-6341000,-6853000,404000,13000,-6453000,5270000,5270000,-3201000,2069000,21182000,18000,13987000,0.43688,0.09223,0.06229,0.01202,0.01067,1.3475,6.39625,0.12693,2e-05,0.21187,0.21072,3.40117,17.62461,0.2855,0.13988,6,0.01961,0.01592,0.66021,-12.28822,-16.93598
"21","2015_Q2",31.07,"Down",176491000,-98993000,77498000,-61237000,-51040000,-10197000,16261000,-35000,16226000,16000,16242000,-6191000,10051000,10051000,10051000,10051000,233587000,233587000,117316000,117316000,205312000,32231000,19565000,588446000,205009000,159204000,31484000,122923000,4797000,364213000,952659000,81287000,21456000,59831000,81287000,16082000,16082000,16082000,97369000,226500000,652298000,-23508000,855290000,855290000,952659000,10051000,7418000,2099000,-29826000,-10258000,-6344000,25000,25000,-6369000,-6369000,-6880000,-6858000,5484000,-1119000,-2510000,-19648000,-19648000,-7072000,-26720000,23679000,0,-6300000,0.4391,0.09214,0.05695,0.01175,0.01055,-0.6268,7.23912,0.11384,0,0.20426,0.20343,3.58663,17.38112,-0.12803,0.13937,3,0.01941,-0.00723,0.68232,-9.86473,-14.36486
"22","2015_Q3",31.49609375,"Up",216665000,-118347000,98318000,-63323000,-52807000,-10516000,34995000,-54000,34941000,14000,34955000,-13446000,21509000,21509000,21509000,21509000,248612000,248612000,140945000,140945000,212293000,27188000,13632000,629038000,206837000,159982000,30743000,124827000,4412000,366819000,995857000,107744000,26915000,77631000,107744000,16773000,16773000,16773000,124517000,229772000,665914000,-15882000,871340000,871340000,995857000,21509000,7298000,4245000,1958000,35010000,-7077000,88000,88000,-7165000,-7165000,-7077000,-6910000,-8372000,2000.00000000023,-15280000,12653000,12653000,2372000,15025000,42293000,1.81898940354586e-12,50620000,0.45378,0.16152,0.09927,0.02468,0.0216,2.35343,5.83826,0.1429,-1.6940658945086e-21,0.43661,0.43468,4.39804,17.68715,1.02753,0.14026,5,0.032,0.057,0.32126,-5.87833,-7.10421
"23","2015_Q4",32.89734375,"Up",216139000,-115798000,100341000,-65119000,-51184000,-13935000,35222000,-175000,35047000,27000,35074000,-13478000,21596000,21596000,21596000,21596000,242795000,242795000,132727000,132727000,200282000,25084000,10302000,600888000,202885000,156273000,28570000,123277000,4426000,359158000,960046000,101250000,24934000,74316000,101250000,14415000,14415000,14415000,115665000,226281000,679673000,-22044000,844381000,844381000,960046000,21596000,6948000,6812000,12161000,47517000,-5606000,23000,23000,-5629000,-5629000,-5605000,-7860000,-37237000,7000,-45091000,-3179000,-3179000,-2638000,-5817000,42170000,0,62203000,0.46424,0.16296,0.09992,0.02558,0.02249,2.8803,5.9347,0.13698,0,0.44074,0.43858,4.41109,17.23262,1.26947,0.16041,7,0.0343,0.07243,0.36396,-5.75753,-6.89328
"24","2016_Q1",30.8637704918033,"Down",184764000,-102002000,82762000,-60608000,-49060000,-11548000,22154000,-78000,22076000,332000,22408000,-7676000,14732000,14732000,14732000,14732000,258825000,258825000,106011000,106011000,195757000,28679000,12476000,589272000,213716000,158321000,27675000,123950000,6696000,372037000,961309000,94964000,21309000,73655000,94964000,16521000,16521000,16521000,111485000,238693000,639707000,-28576000,849824000,849824000,961309000,14732000,5157000,4624000,21141000,45654000,-14866000,157000,157000,-15023000,-15023000,-18266000,-7724000,2701000,-3705000,-8727000,18661000,18661000,-2631000,16030000,27311000,-4.54747350886464e-13,41262000,0.44793,0.1199,0.07973,0.01734,0.01532,2.80084,6.20521,0.13119,0,0.30478,0.30317,3.82241,17.58123,0.85363,0.15979,7,0.02592,0.04763,0.5243,-9.47695,-11.68299
"25","2016_Q2",35.2203125,"Up",199523000,-1.07e+08,92523000,-65908000,-54485000,-11423000,26615000,-235000,26380000,26000,26406000,-10063000,16343000,16343000,16343000,16343000,232028000,232028000,135123000,135123000,210787000,13284000,13284000,591222000,216660000,161079000,26719000,125614000,8746000,377739000,968961000,99546000,29023000,67699000,99546000,5159000,5159000,5159000,104705000,238524000,648321000,-19087000,864256000,864256000,968961000,16343000,7437000,1530000,-35207000,-9897000,-6932000,40000,40000,-6972000,-6972000,-6932000,-7709000,-2490000,-3870000,-14069000,-30898000,-30898000,4101000,-26797000,34052000,0,1976000,0.46372,0.13339,0.08191,0.01891,0.01687,0.12091,5.93918,0.12115,0,0.33839,0.33732,4.13117,17.89461,0.04091,0.15962,5,0.02766,0.00227,0.4717,-6.81393,-8.71794
"26","2016_Q3",39.1725,"Up",229973000,-118486000,111487000,-71219000,-59767000,-11452000,40268000,-83000,40185000,656000,40841000,-14640000,26201000,26201000,26201000,26201000,246337000,246337000,144916000,144916000,218164000,11482000,11482000,620899000,219391000,159249000,24912000,124993000,9344000,378640000,999539000,112343000,27069000,80611000,112343000,4920000,4920000,4920000,117263000,243530000,665813000,-23565000,882276000,882276000,999539000,26201000,7441000,3462000,-5491000,31613000,-9419000,1158000,1158000,-10577000,-10577000,-9419000,-7733000,1513000,-89000,-6309000,15885000,15885000,-1576000,14309000,47709000,7.27595761418343e-12,47439000,0.48478,0.1751,0.11393,0.0297,0.02621,1.81058,5.52682,0.13291,0,0.54124,0.53894,4.75062,18.22545,0.97996,0.15974,7,0.03825,0.05347,0.29514,-5.16332,-6.11744
"27","2016_Q4",41.3655555555556,"Up",230974000,-117499000,113475000,-67779000,-56847000,-10932000,45696000,-82000,45614000,81000,45695000,-15898000,29797000,29797000,29797000,29797000,218720000,218720000,141716000,141716000,220207000,12321000,12321000,592964000,229670000,161669000,24629000,126845000,10195000,391339000,984303000,117382000,24777000,89185000,117382000,5817000,5817000,5817000,123199000,244386000,687052000,-23332000,861104000,861104000,984303000,29797000,6607000,4656000,4107000,45167000,-12305000,80000,80000,-12385000,-12385000,-17666000,-8710000,-45830000,98000,-55567000,-28066000,-28066000,449000,-27617000,52303000,0,60003000,0.49129,0.19784,0.12901,0.0346,0.03027,2.01373,5.05158,0.14307,0,0.62094,0.61793,4.81326,17.94453,1.2504,0.18151,7,0.04442,0.06921,0.29231,-4.18179,-4.78641
"28","2017_Q1",40.2059677419355,"Down",200191000,-107796000,92395000,-64544000,-52103000,-12441000,27851000,-1910000,25941000,17000,25958000,-8565000,17393000,17393000,17393000,17393000,226537000,226537000,112423000,112423000,232274000,14013000,14013000,585247000,232810000,159417000,22864000,124479000,12074000,394727000,979974000,108796000,27674000,81122000,108796000,5336000,5336000,5336000,114132000,256390000,642422000,-32970000,865842000,865842000,979974000,17393000,6442000,5262000,2985000,32082000,-12026000,42000,42000,-12068000,-12068000,-14526000,-8559000,1281000,89000,-7189000.00000001,10367000,10367000,-2550000,7816999.99999999,34293000,1.16415321826935e-10,33817000,0.46153,0.13912,0.08688,0.02009,0.01775,1.94429,5.37931,0.13182,0,0.36507,0.36316,4.2019,18.17354,0.7098,0.17965,7,0.02979,0.03882,0.49209,-6.60593,-8.13389
"29","2017_Q2",39.0322222222222,"Down",219867000,-119711000,100156000,-77577000,-65758000,-11819000,22579000,-189000,22390000,8411000,30801000,-7680000,23121000,23121000,23121000,23121000,167059000,167059000,148506000,148506000,256271000,13744000,13744000,585580000,250465000,179548000,31713000,135113000,12722000,432620000,1018200000,123040000,38219000,82531000,123561000,6076000,6076000,7686000,131247000,259642000,656959000,-29648000,886953000,886953000,1018200000,23121000,8363000,-3295000,-35681000,-7492000,-13576000,53000,53000,-13629000,-13629000,-39865000,-8538000,314000,-5189000,-13413000,-60770000,-60770000,1292000,-59478000,30942000,2131000,-10635000,0.45553,0.10269,0.10516,0.02607,0.02271,-0.45997,4.7392,0.14798,0.00209,0.48557,0.48263,4.6175,18.62721,-0.22335,0.17931,4,0.03537,-0.01188,0.36927,-5.33023,-7.30449
"30","2017_Q3",41.7138095238095,"Up",263002000,-139477000,123525000,-78337000,-66371000,-11966000,45188000,-199000,44989000,-62999.9999999981,44926000,-16712000,28214000,28214000,28214000,28214000,140950000,140950000,172331000,172331000,265293000,17765000,17765000,596339000,261362000,181181000,30804000,137160000,13217000,445138000,1041477000,133731000,37742000,95989000,134256000,6333000,6333000,7810000,142066000,260825000,675151000,-19021000,899411000,899411000,1041477000,28214000,8032000,4883000,-25910000,15219000,-16491000,33000,33000,-16524000,-16524000,-16491000,-8578000,-19017000,-171000.000000001,-27899000,-29171000,-29171000,3062000,-26109000,53220000,2002000,27531000,0.46967,0.17182,0.10728,0.03137,0.02709,0.97579,4.44181,0.15795,0.00192,0.59208,0.58855,5.51922,18.87457,0.57775,0.18001,5,0.04053,0.03033,0.30403,-2.61082,-3.07489
