"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share"
"11","2017_Q1",51.8654838709677,"Up",87810000,-15482000,72328000,-15878000,-6950000,-6672000,-2256000,56450000,68000,371000,56518000,56518000,-21304000,35214000,35214000,35214000,35214000,60158000,60158000,1339000,1339000,675000,863411000,4475000,858244000,925583000,96848000,56182000,51889000,1215000,153030000,1078613000,26304000,3737000,22567000,1113000,871477000,5230000,866247000,898894000,28711000,34481000,34481000,0,63192000,962086000,96037000,70448000,116527000,116527000,1078613000,35214000,3961000,18418000,-33210000,24383000,-11675000,-167411000,-276743000,33000,265171000,238022000,-14338000,-14338000,-14338000,60411000,29824000,36830000,0.82369,0.64287,0.40102,1.04589,1.02969,8.25634,0.02765,0.61075,0.58782,1.52298,2.02105,0.63878
"12","2017_Q2",64.3026984126984,"Up",119508000,-17146000,102362000,-49852000,-40829000,-6797000,-2226000,52510000,-162000,95000,52348000,52348000,-18654000,33694000,33694000,33694000,33694000,92915000,92915000,1847000,1847000,499000,956393000,5413000,950980000,1051654000,106485000,60413000,51889000,1369000,166898000,1218552000,44986000,3134000,41852000,1126000,959317000,5611000,953706000,1005429000,30389000,36555000,36555000,-5.6843418860808e-14,66944000,1072373000,100075000,96062000,146179000,146179000,1218552000,33694000,4286000,4651000,-2406000,40225000,-9136000,-92736000,-101872000,1811000,92593000,94403999.9999999,32757000,32757000,32757000,56796000,31515000,63908000,0.85653,0.43938,0.28194,1.89672,1.04598,7.33603,0.02586,0.58795,0.57571,2.08539,2.5508,1.11518
"13","2017_Q3",71.6050793650794,"Up",98227000,-17876000,80351000,-61559000,-51024000,-8095000,-2440000,18792000,-132000,149000,18660000,18660000,1356000,20016000,20016000,20016000,20016000,68117000,68117000,1803000,1803000,520000,796299000,5737000,787015000,866739000,116957000,62247000,51889000,1326000,179204000,1045943000,29022000,3439000,25583000,1139000,798291000,6040000,792251000,828452000,33479000,38964000,38964000,0,72443000,900895000,114882000,110283000,145048000,145048000,1045943000,20016000,4707000,14627000,-24282000,15068000,-12773000,163965000,151192000,3067000,-178938000,-191058000,-24798000,-24798000,-24798000,23499000,34618000,-14912000,0.81801,0.19131,0.20377,-0.745,1.04622,6.21101,0.0331,0.34571,0.34031,1.69653,2.50519,-0.25755
"14","2017_Q4",79.9930158730159,"Up",101287000,-17826000,83461000,-61454000,-50939000,-8112000,-2403000,22007000,-102000,118000,21905000,21905000,-995000.000000004,20910000,20910000,20910000,20910000,66610000,66610000,1444000,1444000,750000,807686000,5705000,792734000,876490000,133765000,59681000,51889000,1340999.99999999,193446000,1069936000,30418000,2505000,27913000,1152000,806042000,6526000,799516000,837612000,33218000,41841000,41841000,0,75059000,912671000,130369000,124350000,157265000,157265000,1069936000,20910000,4905000,19294000,-8353000,36756000,-21017000,-67728000,-26365000,-281000,-7413000.00000003,-11898000,-1507000,-1507000,-1507000,26912000,34370000,-1462999.99999999,0.82401,0.21727,0.20644,-0.06997,1.04642,5.8034,0.03212,0.3605,0.35517,1.74623,2.71131,-0.02522
"15","2018_Q1",96.0109836065574,"Up",114025000,-19180000,94845000,-58444000,-48282000,-7426000,-2736000,36401000,-1582000,-1429000,34819000,34819000,14047000,48866000,48866000,48866000,48866000,46077000,46077000,1576000,1576000,979000,1127633000,4982000,1115604000,1176265000,147705000,226168000,51889000,173321000,373873000,1550138000,33496000,6490000,27006000,888000,1105768000,6982000,1098786000,1140152000,34414000,94325000,44642000,0,128739000,1268891000,162410000,258525000,281247000,281247000,1550138000,48866000,5497000,-8918000,-7345000,38100000,-16463000,-308977000,-312850000,1008000,290698000,254217000,-20533000,-20533000,-20533000,41898000,35302000,4043000,0.83179,0.31924,0.42856,0.08274,1.03167,4.51166,0.02277,0.84038,0.82902,1.96097,4.8368,0.06953
"16","2018_Q2",107.83890625,"Up",153916000,-23605000,130311000,-79291000,-65009000,-11250000,-3032000,51020000,1030000,1030000,52050000,52050000,-10890000,41160000,41160000,41160000,41160000,68121000,68121000,2350000,2350000,420000,1134128000,7001000,1124080000,1205019000,159561000,243550000,51889000,190601000,403111000,1608130000,34888000,3421000,31467000,1331000,1105123000,7358000,1097765000,1141342000,33935000,99820000,46419000,1.45519152283669e-11,133755000,1275097000,189906000,299685000,333033000,333033000,1608130000,41160000,6069000,26683000,-16248000,57664000,-18708000,-5959000,-24667000,1587646.92389209,-5954000.00000006,-10953000,22044000,22044000,22044000,57089000,35266000,33023000,0.84664,0.33148,0.26742,0.80231,1.05579,3.82874,0.02193,0.7122,0.70073,2.66323,5.76251,0.5714
"17","2018_Q3",134.605079365079,"Up",128800000,-20931000,107869000,-64832000,-50642000,-10731000,-3459000,43037000,481000,515000,43518000,43518000,-7796000,35722000,35722000,35722000,35722000,54630000,54630000,2414000,2414000,477000,944511000,8025000,930827000,1002032000,165370000,251563000,51889000,198387000,416933000,1418965000,32686000,4995000,27691000,1775000,912595000,7867000,904728000,947056000,33486000,108685000,49322000,0,142171000,1089227000,193894000,335407000,329738000,329738000,1418965000,35722000,6713000,9346000,-9088000,42693000,-13165000,194873000,181708000,566558.031325962,-201202000,-237892000,-13491000,-13491000,-13491000,49750000,35261000,35293000,0.83749,0.33414,0.27734,0.98799,1.05805,3.30331,0.02485,0.61763,0.60834,2.22694,5.70113,0.61021
"18","2018_Q4",127.995873015873,"Down",133288000,-22125000,111163000,-74918000,-59231000,-11526000,-4161000,36245000,199000,583000,36444000,36444000,-7675000,28769000,28769000,28769000,28769000,85048000,85048000,2213000,2213000,574000,949699000,7934000,935212000,1037534000,168397000,262255000,51889000,208889000,430652000,1468186000,38764000,6173000,32591000,1775000,917610000,8409000,909201000,958149000,33049000,116611000,52405000,-1.16415321826935e-10,149660000,1107809000,198861000,364176000,360377000,360377000,1468186000,28769000,8128000,8293000,302000,45492000,-12391000,40461000,-13991000.0000001,-443999.999999999,528999.99999997,-1083000.00000003,30418000,30418000,30418000,44373000,34824000,39959000,0.83401,0.27193,0.21584,1.38896,1.08285,3.07403,0.02372,0.49836,0.4914,2.30895,6.2428,0.69221
"19","2019_Q1",162.441475409836,"Up",150332000,-24102000,126230000,-82817000,-65604000,-12740000,-4473000,43413000,-714000,-366000,42699000,42699000,-11285000,31414000,31414000,31414000,31414000,45718000,45718000,3414000,3414000,797000,1014693000,7658000,1003073000,1064622000,176962000,280342000,51889000,227708000,457304000,1521926000,39469000,6288000,33181000,1775000,987438000,8980000,978458000,1028682000,32614000,125877000,55671000,0,158491000,1187173000,204287000,395590000,334753000,334753000,1521926000,31414000,8747000,11584000,-12777000,38968000,-160653000,-73875000,-192467000,-444000,64907000,2132000,-151367000,-151367000,-151367000,52160000,34389000,-109985000,0.83967,0.28878,0.20896,-3.50115,1.03494,3.54641,0.0226,0.54644,0.5386,2.61501,5.82299,-1.91318
"20","2019_Q2",205.395396825397,"Up",199943000,-29318000,170625000,-108137000,-84843000,-18489000,-4805000,62488000,-376000,-1e+05,62112000,62112000,-14830000,47282000,47282000,47282000,47282000,91307000,91307000,3835000,3835000,910000,1453432000,9156000,1444276000,1549484000,187511000,325833000,51889000,273944000,513344000,2062828000,62245000,4081000,58164000,1775000,1419690000,9672000,1410018000,1483710000,32179000,148386000,57839000,16619000,180565000,1664275000,240474000,442872000,398553000,398553000,2062828000,47282000,9347000,35176000,-11379000,80426000,-14889000,-435213000,-452402000,-444000,418009000,417565000,45589000,45589000,45589000,71835000,33954000,60397000,0.85337,0.31253,0.23648,1.27738,1.04433,4.17579,0.01646,0.82434,0.81079,3.48591,6.94858,1.05299
"21","2019_Q3",233.655,"Up",169313000,-25239000,144074000,-91188000,-69035000,-16775000,-5378000,52886000,-521000,-263000,52365000,52365000,-3603000,48762000,48762000,48762000,48762000,94814000,94814000,2850000,2850000,767000,1189555000,11264000,1167676000,1287986000,196371000,341835000,51889000,289946000,538206000,1826192000,54712000,3622000,51090000,1775000,1144791000,10082000,1134709000,1201278000,31727000,158425000,59922000,18861000,190152000,1391430000,246681000,491634000,434762000,434762000,1826192000,48762000,10328000,11951000,-28699000,42342000,-19816000,435213000,405472000,-444000,-297433000,-297877000,149937000,149937000,149937000,63214000,33502000,18302000,0.85093,0.31236,0.288,0.37533,1.07218,3.20044,0.01835,0.847,0.83388,2.94097,7.55182,0.31791
"22","2019_Q4",236.6475,"Up",175006000,-26392000,148614000,-98058000,-72788000,-19605000,-5665000,50556000,-65000,195000,50491000,50491000,-11339000,39152000,39152000,39152000,39152000,108127000,108127000,2609000,2609000,7e+05,901539000,12724000,879303000,1012975000,224035000,355017000,51889000,303128000,579052000,1592027000,61719000,4693000,57026000,1775000,854984000,10634000,844350000,918478000,31293000,167358000,62731000,18706000,198651000,1117129000,251465000,530786000,474898000,474898000,1592027000,39152000,10969000,10853000,-7323000,53651000,-36375000,504640409.234004,-31218000,-443000,-294690000,-295133000,-272700000,-272700000,-272700000,61525000,33068000,29166000,0.84919,0.28888,0.22372,0.74494,1.10288,2.35236,0.02077,0.67906,0.67022,3.03535,8.23675,0.50586
"23","2020_Q1",274.094516129032,"Up",193409000,-28798000,164611000,-104317000,-80154000,-18211000,-5952000,60294000,825000,971000,61119000,61119000,-15739000,45380000,45380000,45380000,45380000,133667000,133667000,9298000,9298000,1158000,1726977000,13561000,1709396000,1871100000,238458000,377359000,51889000,325470000,615817000,2486917000,77864000,5051000,72813000,1775000,1673883000,11105000,1662778000,1753522000,30858000,175909000,65139000,19553000,206767000,1960289000,258114000,576166000,526628000,526628000,2486917000,45380000,11567000,10769000,-19872000,47844000,-21854000,69199999.9999998,-141397000,-444000,826561000,826117000,732564000,732564000,732564000,71861000,32633000,45874000,0.8511,0.31174,0.23463,1.01089,1.06705,3.72234,0.01312,0.78703,0.77744,3.3543,9.13333,0.79559
"24","2020_Q2",266.167619047619,"Down",242368000,-30046000,212322000,-123058000,-95152000,-21621000,-6285000,89264000,-946000,-930000,88318000,88318000,-25303000,63015000,63015000,63015000,63015000,181827000,181827000,8059000,8059000,930000,1460745000,17853000,1442892000,1651561000,254423000,403741000,51889000,351852000,658164000,2309725000,86439000,5694000,80745000,1775000,1409701000,11660000,1398041000,1497915000,30423000,181599000,66795000,22195000,212022000,1709937000,276427000,639181000,599788000,599788000,2309725000,63015000,12215000,18320000,-11520000,82030000,-25726000,2e+07,-183629000,-444000,-270569000,-279011000,-380610000,-380610000,-380610000,101479000,32198000,89536000,0.87603,0.3683,0.26,1.42087,1.10257,2.8509,0.01394,1.09297,1.07829,4.20376,10.40305,1.55296
"25","2020_Q3",292.0959375,"Up",181587000,-29558000,152029000,-125453000,-96901000,-21778000,-6774000,26576000,159000,162000,26735000,26735000,1854000,28589000,28589000,28589000,28589000,113518000,113518000,9295000,9295000,1376000,1115869000,24987000,1086558000,1240058000,266831000,414611000,51889000,362722000,681442000,1921500000,63129000,3667000,59462000,1775000,1052347000,12273000,1040074000,1117251000,29989000,188407000,68614000,21257000,218396000,1335647000,301024000,667770000,585853000,585853000,1921500000,28589000,13075000,26779000,-42961000,25482000,-26732000,50343000,-6364000,-444000,-381923000,-426409000,-407291000,-407291000,-407291000,39651000,31764000,-31896000,0.83722,0.14635,0.15744,-1.11567,1.10992,2.27983,0.01653,0.49662,0.4905,3.15436,10.17689,-0.55407
"26","2020_Q4",398.48046875,"Up",196532000,-30912000,165620000,-131584000,-102662000,-21772000,-7150000,34036000,246000,246000,34282000,34282000,-6800000,27482000,27482000,27482000,27482000,156398000,156398000,12355000,12355000,924000,1608639000,20757000,1578602000,1778316000,275624000,431259000,51889000,379370000,706883000,2485199000,81842000,9237000,72605000,1775000,1544184000,13887000,1530297000,1627801000,29554000,195445000,71500000,21524000,224999000,1852800000,322937000,695252000,632399000,632399000,2485199000,27482000,13783000,22907000,2644000,66816000,-21044000,23250000,-7774000.00000003,-443000,485972000,485529000,544571000,544571000,544571000,47819000,31329000,36219000,0.84271,0.17318,0.13983,1.31792,1.09247,2.9298,0.01261,0.47708,0.47212,3.41172,10.9782,0.62875
"27","2021_Q1",394.170819672131,"Down",220947000,-33030000,187917000,-177438000,-119201000,-25073000,-33164000,10479000,354000,354000,10833000,10833000,-12234000,-1401000,-1401000,-1401000,-1401000,151710000,151710000,9130000,9130000,1151000,1702614000,17854000,1674313000,1864605000,285218000,458089000,51889000,405881000,743307000,2607912000,75491000,6787000,68704000,1775000,1640764000,13567000,1627197000,1718030000,29119000,205120000,73259000,19263000,234239000,1952269000,358526000,719619000,655643000,655643000,2607912000,24367000,14300000,43336000,-29124000,52879000,-20600000,215388000,79890000,-444000,54426000,53982000,186751000,186751000,186751000,95746659.8926766,30894000,124847258.586397,0.862050281422575,0.316788116302008,0.189738642010711,2.77084979095771,1.08532,2.97764,0.01185,0.859083059012289,0.849829185761737,4.33937441620626,11.37223,2.16401679275949
"28","2021_Q2",354.468253968254,"Down",272198000,-36273000,235925000,-141379000,-108952000,-24711000,-7716000,94546000,629000,629000,95175000,95175000,-30559000,64616000,64616000,64616000,64616000,215093000,215093000,19792000,19792000,1088000,2388234000,24109000,2364125000,2624207000,301579000,480987000,51889000,429098000,782566000,3406773000,109924000,12133000,97791000,1775000,2313875000,14191000,2299684000,2425574000,28684000,207039000,74802000,16901000,235723000,2661297000,384120000,784235000,745476000,745476000,3406773000,64616000,14916000,25727000,-15802000,89457000,-25330000,8e+07,7455000.00000001,-444000,685813000,685369000,782281000,782281000,782281000,109462000,30459000,98889000,0.86674,0.34734,0.23739,1.53041,1.08189,3.56993,0.00894,1.11909,1.10655,4.7142,12.91091,1.71266
"29","2021_Q3",445.6209375,"Up",242146000,-36410000,205736000,-158646000,-122042000,-28224000,-8380000,47090000,146000,146000,47236000,47236000,5042000,52278000,52278000,52278000,52278000,202362000,202362000,19905000,19905000,882000,2133373000,32284000,2093092000,2356522000,320997000,555568000,51889000,443592000,876565000,3233087000,103115000,9220000,93895000,1775000,2040318000,14946000,2025372000,2145208000,28250000,267373000,77512000,70778000,295623000,2440831000,410600000,836513000,792256000,792256000,3233087000,52278000,16017000,27550000,-38859000,56986000,-37402000,7.5e+07,-57238000,-444000,-306290000,-306734000,-306986000,-306986000,-306986000,63107000,30025000,-18196000,0.84964,0.19447,0.21589,-0.34806,1.09851,3.08086,0.00929,0.9054,0.89526,4.19373,13.72109,-0.31514
"30","2021_Q4",473.4828125,"Up",256194000,-42680000,213514000,-170209000,-129725000,-31077000,-9407000,43305000,244000,244000,43549000,43549000,-13170000,30379000,30379000,30379000,30379000,230926000,230926000,13004000,13004000,866000,3068386000,26643000,3031532000,3313182000,329296000,575560000,51889000,464614000,904856000,4218038000,95919000,9441000,86478000,1775000,2988579000,16175000,2972404000,3086273000,27815000,278609000,81702000,71679000,306424000,3392697000,442101000,866892000,825341000,825341000,4218038000,30379000,17321000,35369000,125000,83194000,-25486000,4e+07,-14195000,-443000,905807000,905364000,974363000,974363000,974363000,60626000,29590000,48435000,0.83341,0.16903,0.11858,1.59436,1.07352,4.11066,0.00702,0.5252,0.52205,4.42913,14.26864,0.83735
"31","2022_Q1",335.369032258065,"Down",284986000,-46523000,238463000,-201248000,-125115000,-34414000,-41719000,37215000,1376000,1376000,38591000,38591000,-21315000,17276000,17276000,17276000,17276000,277978000,277978000,9490000,9490000,1131000,1963439000,23729000,1923297000,2252038000,348953000,614154000,51889000,504237000,963107000,3215145000,103428000,5772000,97656000,1775000,1885207000,16277000,1868930000,1990410000,27380000,303641000,85149000,72988000,331021000,2321431000,465594000,915579000,893714000,893714000,3215145000,48687000,18968000,41144000,-19074000,89725000,-37974000,72341000,-193692000,-444000,-1117831000,-1118275000,-1222242000,-1222242000,-1222242000,111020530.721537,29155000,134168973.088812,0.846679602741281,0.277771935123579,0.170297700331906,2.37372063116314,1.13144,2.59751,0.00907,1.01116373968612,1.00805738587155,5.39000784748697,15.34231,2.3156592012406
"32","2022_Q2",295.107741935484,"Down",353519000,-48484000,305035000,-178768000,-135500000,-31605000,-11663000,126267000,1197000,1412000,127464000,127464000,-35534000,91930000,91930000,91930000,91930000,360594000,360594000,17945000,17945000,732000,4055025000,28588000,4026437000,4434296000,362505000,647773000,51889000,538885000,1010278000,5444574000,135470000,12192000,123278000,1775000,3975286000,17135000,3958151000,4112531000,26945000,296078000,87681000,73628000,323023000,4435554000,490930000,1007509000,1009020000,1009020000,5444574000,91930000,21655000,10603000,-6957000,117231000,-34474000,1.36e+08,-67626000,-444000,2099312000,2098868000,2148473000,2148473000,2148473000,147922000,28720000,142025000,0.86285,0.35717,0.26004,1.54493,1.07824,4.3959,0.00527,1.58462,1.57904,6.09368,17.3927,2.44812
"33","2022_Q3",344.33125,"Up",316924000,-50082000,266842000,-194529000,-145636000,-36803000,-12090000,72313000,524000,878000,72837000,72837000,-15482000,57355000,57355000,57355000,57355000,279039000,279039000,20078000,20078000,1647000,3547228000,37779000,3509229000,3847992000,374940000,668771000,51889000,560913000,1043711000,4891703000,110181000,13475000,96706000,1774999.99515995,3458291000,17920000,3440371000,3568472000,2.9e+07,300092000,90960000,73850000,329092000,3897564000,518402000,1064864000,994139000,994139000,4891703000,57355000,22568000,24812000,-53008000,51727000,-33247000,1.43e+08,45116000,157000,-526402000,-620897000,-524054000,-524054000,-524054000,94881000,2.9e+07,24108000,0.84197,0.22817,0.18097,0.42033,1.07833,3.92054,0.00593,0.98941,0.98774,5.46713,17.14949,0.41588
