"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",8.72453125,"Down",4623000,-11528000,-3308000,-8220000,-6905000,20000,20000,-6885000,-6885000,-6885000,-6885000,-6885000,-6885000,57265000,12177000,45088000,3667000,3667000,614000,236000,378000,61546000,1464000,39000,39000,14298000,75844000,3667000,3667000,2286000,2286000,5953000,8305000,8305000,8305000,14258000,343955000,-282394000,25000,61586000,61586000,75844000,-6885000,147000,1560000,-2840000,-8018000,-68000,-3663000,-3731000,2247000,2247000,2247000,-9502000,-9502000,-9502000,-6758000,0,-1.49362,-1.48929,-0.11179,-0.09078,10.33865,0.23151,0,-0.12899,-0.12899,0.08661,1.15379,-0.09851,8.47366,8.29327
"12","2013_Q3",9.93140625,"Up",6934000,-12402000,-3124000,-9278000,-5468000,18000,18000,-5450000,-5450000,-5450000,-5450000,-5450000,-5450000,47276000,12052000,35224000,4918000,4918000,1527000,969000,558000,53721000,1587000,39000.0000000001,39000,20475000,74196000,4737000,4737000,2318000,2318000,7055000,7763000,7763000,7763000,14818000,347223000,-287844000,-1000,59378000,59378000,74196000,-5450000,158000,1603000,-1604000,-5293000,-281000,3559000,3278000,1890000,1890000,1890000,-125000,-125000,-125000,-5310000,-1.38777878078145e-17,-0.78858,-0.78598,-0.09178,-0.07345,7.6146,0.24955,-1.03397576569128e-25,-0.10132,-0.10132,0.12891,1.10391,-0.08117,8.9032,8.64594
"13","2013_Q4",11.5140625,"Up",5707000,-11866000,-3163000,-8703000,-6159000,14000,14000,-6145000,-6145000,-6145000,-6145000,-6145000,-6145000,120222000,80309000,39913000,4880000,4880000,1041000,684000,357000,126143000,1494000,39000,39000,14223000,140366000,4704000,4704000,2300000,2300000,7004000,7221000,7221000,7221000,14225000,420104000,-293989000,26000,126141000,126141000,140366000,-6145000,140000,1560000,-69000,-4514000,-46000,1327000,1281000,1998000,1998000,71490000,68257000,68257000,68257000,-6019000,0,-1.0792,-1.07675,-0.04872,-0.04378,18.01014,0.11277,0,-0.11216,-0.11216,0.10417,2.30243,-0.04608,19.97375,19.51973
"14","2014_Q1",19.2750819672131,"Up",6869000,-15043000,-4205000,-10838000,-8174000,30000,30000,-8144000,-8144000,-8144000,-8144000,-8144000,-8144000,92813000,10186000,82627000,3155000,3155000,1306000,457000,849000,97274000,1406000,3495000,40000,43564000,140838000,7574000,7574000,2557000,2557000,10131000,8997000,8249000,8997000,19128000,423831000,-302133000,12000,121710000,121710000,140838000,-8144000,124000,2395000,3968000,-1657000,-37000,-68988000,-68946000,2495000,2495000,479999.999999985,-70123000,-70123000,-70123000,-8050000,2.22044604925031e-16,-1.18998,-1.18562,-0.06691,-0.05783,9.60162,0.15716,1.65436122510606e-24,-0.13147,-0.13147,0.11089,1.96484,-0.06231,11.52957,11.35466
"15","2014_Q2",14.3857142857143,"Down",8116000,-15727000,-3644000,-12083000,-7611000,39000,39000,-7572000,-7572000,-7572000,-7572000,-7572000,-7572000,213430000,126823000,86607000,5360000,5360000,1422000,370000,1052000,220212000,1410000,3494000,39000,35288000,255500000,7583000,7583000,8823000,8823000,16406000,21669000,20921000,21669000,38075000,527109000,-309705000,21000,217425000,217425000,255500000,-7572000,123000,2252000,16576000,11379000,-126000,4013000,3887000,7585000,7585000,101371000,116637000,116637000,116637000,-7488000,0,-0.93778,-0.93297,-0.03483,-0.02964,13.42265,0.17512,0,-0.11981,-0.11981,0.12842,3.44032,-0.03167,28.50294,28.04231
"16","2014_Q3",13.0615625,"Down",10385000,-17432000,-3972000,-13460000,-7047000,66000,66000,-6981000,-6981000,-6981000,-6981000,-6981000,-6981000,193656000,99270000,94386000,6969000,6969000,2355000,1053000,1302000,202980000,1622000,3494000,39000,47857000,250837000,7682000,7682000,9117000,9117000,16799000,19681000,18933000,19681000,36480000,531010000,-316686000,33000,214357000,214357000,250837000,-6981000,127000,2447000,-4167000,-8574000,-339000,-20412000,-20751000,1762000,1762000,1772000,-27553000,-27553000,-27553000,-6920000,3.5527136788005e-15,-0.67857,-0.67222,-0.03257,-0.02783,12.08286,0.17018,0,-0.10269,-0.10269,0.15277,3.15324,-0.02983,27.98497,27.48063
"17","2014_Q4",12.1434375,"Down",12417000,-20071000,-3731000,-16340000,-7654000,109000,109000,-7545000,-7545000,-7545000,-7545000,-7545000,-7545000,162424000,11205000,151219000,8474000,8474000,2271000,751000,1520000,173169000,1566000,3563000,108000,74178000,247347000,10663000,10663000,8831000,8831000,19494000,17714000,16966000,17714000,37208000,534317000,-324231000,53000,210139000,210139000,247347000,-7545000,150000,2439000,-812000,-5768000,-94000,-83381000,-83475000,1178000,1178000,1178000,-88065000,-88065000,-88065000,-7504000,0,-0.61641,-0.60763,-0.0359,-0.0305,8.88319,0.17706,0,-0.11058,-0.11058,0.18199,3.07986,-0.03311,21.64499,21.2208
"18","2015_Q1",15.4727868852459,"Up",14952000,-19421000,-4330000,-15091000,-4469000,150000,150000,-4319000,-4319000,-4319000,-4319000,-4319000,-4319000,178962000,6030000,172932000,10368000,10368000,1549000,623000,926000,190879000,1479000,3594000,139000,52333000,243212000,11557000,11557000,9325000,9325000,20882000,15697000,14949000,15697000,36579000,535208000,-328550000,-25000,206633000,206633000,243212000,-4319000,149000,3390000,-1932000,-2712000,559000,-257000.000000015,-319000,2412000,2412000,-2144000,-5175000,-5175000,-5175000,-4320000,5.6843418860808e-14,-0.29889,-0.28886,-0.0209,-0.01776,9.14084,0.17702,4.2351647362715e-22,-0.06289,-0.06289,0.21771,3.00868,-0.01943,41.42639,40.0452
"19","2015_Q2",12.8931746031746,"Down",13491000,-19712000,-4732000,-14980000,-6221000,154000,154000,-6067000,-6067000,-5319000,-5319000,-5319000,-5319000,195903000,25256000,170647000,6638000,6638000,1405000,587000,818000,203946000,2995000,1742000,157000,34559000,238505000,8509000,8509000,11459000,11459000,19968000,11049000,11049000,11049000,31017000,541332000,-333869000,25000,207488000,207488000,238505000,-5319000,147000,2516000,263000,-2393000,-1084000,19532000,18448000,3178000,3178000,3171000,19226000,19226000,19226000,-6074000,0,-0.46112,-0.39426,-0.02564,-0.0223,10.21364,0.14949,0,-0.07677,-0.07677,0.19472,2.99479,-0.02434,32.25272,31.4906
"20","2015_Q3",8.24578125,"Down",8358000,-20635000,-5017000,-15618000,-12277000,151000,151000,-12126000,-12126000,-12126000,-12126000,-12126000,-12126000,214230000,10768000,203462000,5179000,5179000,1596000,1089000,507000,221005000,3217000,1778000,193000,8943000,229948000,11532000,11532000,9524000,9524000,21056000,8948000,8948000,8948000,30004000,545942000,-345995000,-3000.00000000001,199944000,199944000,229948000,-12126000,281000,3106000,714000,-8025000,-998000,-7192000,-8190000,1768000,1768000,1727000,-14488000,-14488000,-14488000,-11996000,9.09494701772928e-13,-1.46889,-1.45083,-0.06065,-0.05273,10.49606,0.15006,0,-0.17401,-0.17401,0.11994,2.8693,-0.05805,17.85845,17.4497
"21","2015_Q4",7.705625,"Down",8569000,-21254000,-4560000,-16694000,-12685000,101000,101000,-12584000,-12584000,-9245000,-9245000,-9245000,-9245000,219329000,34287000,185042000,7004000,7004000,1350000,951000,399000,227683000,3063000,1770000,185000,4833000,232516000,11667000,11667000,10461000,10461000,22128000,6830000,6830000,6830000,28958000,558744000,-355240000,54000,203558000,203558000,232516000,-9245000,317000,-294000,-4976000,-14198000,-245000,22208000,21963000,1302000,1302000,15754000,23519000,23519000,23519000,-12368000,0,-1.48034,-1.07889,-0.04542,-0.03976,10.28936,0.14226,0,-0.13228,-0.13228,0.1226,2.91246,-0.04394,17.73359,17.29042
"22","2016_Q1",6.00426229508197,"Down",9121000,-24794000,-4888000,-19906000,-15673000,25000,25000,-15648000,-15648000,-14013000,-14013000,-14013000,-14013000,2.09e+08,69482000,139518000,2521000,2521000,1061000,754000,307000,212582000,2916000,1737000,152000,4653000,217235000,10977000,10977000,9120000,9120000,20097000,4699000,4699000,4699000,24796000,561692000,-369253000,83306.2584949863,192439000,192439000,217235000,-14013000,243000,1577000,3089000,-9104000,2327000,45325000,45241000,556000,556000,-942000,35195000,35195000,35195000,-15430000,7.27595761418343e-12,-1.71834,-1.53634,-0.07282,-0.06451,10.5778,0.12885,-1.0842021724855e-19,-0.1997,-0.1997,0.12999,2.74251,-0.07108,13.54504,13.33503
"23","2016_Q2",6.3734375,"Up",3942000,-20623000,-5357000,-15266000,-16681000,187000,187000,-16494000,-16494000,-16494000,-16494000,-16494000,-16494000,187581000,33009000,154572000,2567000,2567000,990000,588000,402000,191138000,3176000,1731000,146000,5910000,197048000,4833000,4833000,5261000,5261000,10094000,7334000,7334000,7547000,17641000,565071000,-385747000,83000,179407000,179407000,197048000,-16494000,245000,3266000,-7377000,-20360000,-252000,-16046000,-16298000,187000,187000,185000,-36473000,-36473000,-36473000,-16436000,213000,-4.23161,-4.18417,-0.09194,-0.08371,18.9358,0.09833,0.00108,-0.23438,-0.23438,0.05602,2.54937,-0.08822,11.39985,11.23242
"24","2016_Q3",5.0859375,"Down",3702000,-30544000,-11090000,-19454000,-26842000,243000,243000,-26599000,-26599000,-26575000,-26575000,-26575000,-26575000,172276000,12955000,159321000,2305000,2305000,1569000,1270000,299000,176150000,3025000,1731000,146000,4756000,180906000,9216000,9216000,5244000,5244000,14460000,6176000,6176000,6423000,20883000,572254000,-412322000,91000,160023000,160023000,180906000,-26575000,248000,7236000,2914000,-16177000,-104000,-3757000.00000001,-3861000,516000,516000,-16000,-20054000,-20054000,-20054000,-26594000,247000,-7.25068,-7.17855,-0.16607,-0.1469,12.18188,0.1305,0.00137,-0.37702,-0.37702,0.05252,2.27025,-0.15966,6.46871,6.40895
"25","2016_Q4",3.64126984126984,"Down",2823000,-22029000,-5021000,-17008000,-19206000,238000,238000,-18968000,-18968000,-18965000,-18965000,-18965000,-18965000,145581000,27986000,117595000,1482000,1482000,1782000,1472000,310000,148845000,4882000,1744000,159000,16133000,164978000,9154000,9154000,4714000,4714000,13868000,5018000,5018000,7274000,21142000,575046000,-431287000,77000,143836000,143836000,164978000,-18965000,252000,2812000,-1143000,-17044000,-153000,32171000,32018000,57000,57000,57000,15031000,15031000,15031000,-18954000,2256000,-6.8034,-6.71803,-0.13185,-0.11495,10.73298,0.14699,0.01367,-0.26856,-0.26856,0.03998,2.03682,-0.1255,7.56173,7.46251
"26","2017_Q1",4.01129032258065,"Up",8922000,-18752000,-4862000,-13890000,-9830000,219000,219000,-9611000,-9611000,-9624000,-9624000,-9624000,-9624000,142535000,22061000,120474000,4972000,4972000,2073000,1849000,224000,149580000,6557000,1754000,169000,8311000,157891000,9146000,9146000,4145000,4145000,13291000,4460000,4460000,8405000,21696000,577086000,-440911000,20000,136195000,136195000,157891000,-9624000,252000,2049000,-4979000,-12302000,-223000,6489000,6266000,353000,353000,111000,-5925000,-5925000,-5925000,-9578000,3945000,-1.10177,-1.07868,-0.07066,-0.06095,11.25423,0.1593,0.02499,-0.13606,-0.13606,0.12613,1.92545,-0.06656,14.46962,14.09868
"27","2017_Q2",6.41539682539683,"Up",3425000,-20217000,-7275000,-12942000,-16792000,160000,160000,-16632000,-16632000,-16632000,-16632000,-16632000,-16632000,129266000,18486000,110780000,2401000,2401000,2107000,1709000,398000,133774000,7267000,2774000,1189000,13036000,146810000,9464000,9464000,3600000,3600000,13064000,4135000,4135000,8063000,21127000,583318000,-457543000,-92000,125683000,125683000,146810000,-16632000,301000,2920000,333000,-13078000,-468000,6527000,6059000,23000,23000,3444000,-3575000,-3575000,-3575000,-16491000,3928000,-4.90277,-4.85606,-0.13233,-0.11329,10.2399,0.1681,0.02676,-0.23417,-0.23417,0.04822,1.76956,-0.12436,7.60039,7.46415
"28","2017_Q3",11.0547619047619,"Up",8253000,-21021000,-6037000,-14984000,-12768000,277000,277000,-12491000,-12491000,-12491000,-12491000,-12491000,-12491000,249911000,69837000,180074000,3495000,3495000,2271000,2015000,256000,255677000,8347000,2626000,1041000,27316000,282993000,12115000,12115000,29542000,29542000,41657000,43409000,43409000,47296000,88953000,664217000,-470034000,-143000,194040000,194040000,282993000,-12491000,317000,1863000,67097000,56786000,-1707000,-82664000,-84371000,802000,802000,78936000,51351000,51351000,51351000,-12451000,3887000,-1.54707,-1.51351,-0.06437,-0.04414,6.13767,0.45843,0.01374,-0.17223,-0.17223,0.11379,2.67542,-0.05176,19.75938,19.2688
"29","2017_Q4",14.8771428571429,"Up",11812000,-24847000,-6422000,-18425000,-13035000,681000,681000,-12354000,-12354000,-12354000,-12354000,-12354000,-12354000,236704000,29894000,206810000,3433000,3433000,2203000,1720000,483000,242340000,8500000,2626000,1041000,27451000,269791000,14586000,14586000,28357000,28357000,42943000,36326000,36326000,40196000,83139000,669171000,-482388000,-131000,186652000,186652000,269791000,-12354000,412000,1876000,-5550000,-15616000,-698000,-26365000,-27063000,2789000,2789000,2736000,-39943000,-39943000,-39943000,-12623000,3870000,-1.10354,-1.04589,-0.06619,-0.04579,5.64329,0.44542,0.01434,-0.14751,-0.14751,0.14104,2.22868,-0.05446,18.44522,17.86222
"30","2018_Q1",21.3783606557377,"Up",13077000,-26843000,-7466000,-19377000,-13766000,675000,675000,-13091000,-13091000,-13091000,-13091000,-13091000,-13091000,243308000,49826000,193482000,3343000,3343000,1746000,1506000,240000,248397000,31066000,6266000,4681000,38344000,286741000,16514000,16514000,28345000,28345000,44859000,29244000,29244000,53982000,98841000,683665000,-495479000,-286000,187900000,187900000,286741000,-13091000,468000,1849000,-6138999.99999999,-16913000,-878000,28849000,24471000,12957000,12957000,12374000,19932000,19932000,19932000,-13298000,24738000,-1.05269,-1.00107,-0.06967,-0.04565,5.53728,0.52603,0.08627,-0.15395,-0.15395,0.15379,2.2097,-0.05412,16.43631,15.87752
"31","2018_Q2",16.61078125,"Down",12637000,-33634000,-10087000,-23547000,-20997000,810000,810000,-20187000,-20187000,-20187000,-20187000,-20187000,-20187000,229526000,30708000,198818000,3575000,3575000,3175000,2802000,373000,236276000,33601000,6305000,4720000,44892000,281168000,14181000,14181000,35209000,35209000,49390000,23964000,23964000,49413000,98803000,697299000,-514549000,-385000,182365000,182365000,281168000,-20187000,588000,2808000,-1343000,-18134000,-2616000,-8951000,-11567000,10597000,10597000,10583000,-19118000,-19118000,-19118000,-20409000,25449000,-1.66155,-1.59745,-0.1107,-0.0718,4.78388,0.54179,0.09051,-0.23382,-0.23382,0.14637,2.11232,-0.0871,9.99936,9.71934
"32","2018_Q3",15.1992063492063,"Down",21416000,-40556000,-11301000,-29255000,-19140000,2500000,2500000,-16640000,-16640000,-16640000,-16640000,-16640000,-16640000,539446000,59406000,480040000,4977000,4977000,5626000,5064000,562000,550049000,37223000,6273000,4688000,77678000,627727000,18734000,18734000,57215000,57215000,75949000,137731000,137731000,163911000,239860000,919213000,-531189000,-157000,387867000,387867000,627727000,-16640000,619000,2565000,135897000,122441000,-3152000,-308992000,-312144000,2688000,2688000,218401000,28698000,28698000,28698000,-18521000,26180000,-0.89372,-0.77699,-0.0429,-0.02651,7.24235,0.61841,0.04171,-0.17108,-0.17108,0.22018,3.98765,-0.03016,27.71265,26.81641
"33","2018_Q4",12.422380952381,"Down",23562000,-39803000,-10993000,-28810000,-16241000,3398000,3398000,-12843000,-12843000,-12843000,-12843000,-12843000,-12843000,458570000,39298000,419272000,5567000,5567000,4065000,3382000,683000,468202000,50497000,87905000,86320000,138402000,606604000,23029000,23029000,51094000,51094000,74123000,125647000,123917000,152575000,226698000,924182000,-544032000,-244000,379906000,379906000,606604000,-12843000,461000,1673000,-16887000,-27596000,-9260000,97251000,82770000,1184000,1184000,1159000,56333000,56333000,56333000,-15780000,26928000,-0.68929,-0.54507,-0.03381,-0.02117,6.31655,0.59672,0.04439,-0.12625,-0.12625,0.23162,3.73464,-0.02412,27.35374,26.5773
"34","2019_Q1",10.2132786885246,"Down",26837000,-47609000,-14355000,-33254000,-20772000,1553000,1553000,-19219000,-19219000,-19219000,-19219000,-18664000,-18664000,400133000,140418000,259715000,4673000,4673000,5715000,5340000,375000,410521000,78723000,101151000,6864000,179874000,590395000,30947000,30947000,47564000,47564000,78511000,116938000,110233000,144627000,223138000,930654000,-562696000,-1440000,366518000,367257000,590395000,-19219000,691000,2768000,-24401000,-40161000,-28037000,161298000,62835000,1736000,1736000,1566000,24240000,24240000,24679000,-20081000,27689000,-0.77401,-0.69546,-0.05082,-0.03161,5.22883,0.60758,0.0469,-0.1822,-0.1822,0.26198,3.57795,-0.03646,18.54708,17.9301
"35","2019_Q2",10.6350793650794,"Up",8071000,-51968000,-17118000,-34850000,-43897000,1694000,1694000,-42203000,-42203000,-42203000,-42203000,-42150000,-42150000,350996000,80968000,270028000,7311000,7311000,4321000,3727000,594000,362628000,18281000,161820000,69367000,180101000,542729000,36303000,36303000,54824000,54824000,91127000,109122000,102550000,122421000,213548000,935135000,-603949000,-2691000,328495000,329181000,542729000,-42203000,715000,3002000,-6633000,-45119000,-5977000,-8822000,-14799000,481000,481000,216000,-59702000,-59702000,-59450000,-43182000,13299000,-5.43886,-5.2224,-0.12805,-0.07766,3.97937,0.64873,0.0245,-0.41214,-0.41214,0.07892,3.21204,-0.09333,7.82032,7.69294
