"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","net_extraordinary_gains_losses","discontinued_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",29.3006451612903,"Up",509604000,-278864000,230740000,-177850000,-145442000,-32408000,52890000,-11872000,-11872000,41018000,-9672000,31346000,-2357000,28989000,605000,605000,29594000,29594000,29594000,170828000,170828000,394937000,394937000,261400000,113829000,113627000,940994000,201648000,2746185000,606100000,2092351000,47734000,2948977000,3889971000,558535000,155728000,402807000,1469999.99999982,582277000,930860000,434394000,434394000,1365254000,1947531000,311163000,114595000,196568000,1572385000,58892000,1942440000,1942440000,3889971000,28989000,30628000,-8077000,-30436000,20717000,-12901000,-6280000,-18193000,-7984000,-8143000,-29000,-29000,8710000,-7446000,-4922000,-4922000,4347000,-575000,83518000,932330000,42538000,0.45278,0.10379,0.05807,0.01524,0.00761,1.43739,1.61606,1.00262,0.23968,0.25991,0.25734,4.47567,17.05975,0.3736,0.07012,0.01136,0.01285,0.26978,9.11782,14.39784
"12","2013_Q1",32.9046666666667,"Up",562904000,-302923000,259981000,-208078000,-175344000,-32734000,51903000,-11896000,-11896000,40007000,-78170000,-38163000,24819000,-13344000,-2512000,-2512000,-15856000,-15856000,-15856000,171444000,171444000,457011000,457011000,247688000,95611000,95611000,971754000,210516000,2718343000,529901000,2122788000,65654000,2930008000,3901762000,556969000,168943000,388026000,1772000,581100000,938824000,442026000,442026000,1380850000,1961950000,324646000,115036000,209610000,1548573000,66593000,1939812000,1939812000,3901762000,-13344000,30335000,56069000,-32851000,39524000,-18051000,-34291000,-51855000,-8028000,6567000,-11999.9999999963,-12000,13584000,12111000,-219999.999999996,-219999.999999996,836000,616000,82238000,940596000,6517000,0.46186,0.09221,-0.02817,-0.00817,-0.00406,-0.41101,1.67227,1.01141,0.24107,-0.13855,-0.13699,4.91881,16.95062,0.05695,0.07015,-0.00236,0.00196,-0.50631,9.35276,14.81903
"13","2013_Q2",31.39859375,"Down",505378000,-280493000,224885000,-185674000,-151497000,-34177000,39211000,-12040000,-12040000,27171000,-3310000,23861000,8428000,32289000,-73000,-73000,32216000,32216000,32216000,125871000,125871000,410782000,410782000,259762000,100277000,100277000,896692000,212672000,2697602000,506540000,2111621000,79441000,2911454000,3808146000,547322000,172166000,375156000,7301000,573354000,1019345000,381024000,381024000,1400369000,1973723000,208048000,111865000,96183000,1572975000,53400000,1834423000,1834423000,3808146000,32289000,30571000,-80723000,28981000,10931000,-11829000,1400000,-10306000,-8060000,86022000,-126858000,-126858000,6302000,-42594000,-41969000,-41969000,-3604000,-45573000,69782000,1026646000,78506000,0.44498,0.07759,0.06375,0.01756,0.00846,2.43686,1.56394,1.07594,0.26959,0.28396,0.28083,4.45447,16.16887,0.69196,0.07104,0.01242,0.02421,0.25019,12.90841,22.97251
"14","2013_Q3",34.5146875,"Up",538238000,-297019000,241219000,-180963000,-146738000,-34225000,60256000,-12865000,-12865000,47391000,-19247000,28144000,-384000,27760000,165000,165000,27925000,27925000,27925000,112470000,112470000,434798000,434798000,259470000,99767000,99767000,906505000,214129000,2689511000,487312000,2117062000,85137000,2904779000,3811284000,527925000,170122000,357803000,2215000,563281000,1001858000,386293000,386293000,1388151000,1951432000,214338000,111999000,102339000,1593057000,52457000,1859852000,1859852000,3811284000,27760000,31409000,-3150000,-27212000,27862000,-11023000,-1229000,-11881000,-7832000,-22758000,-135000.00000003,-134999.99999997,2350000,-28375000,-12394000,-12394000,-1007000,-13401000,91665000,1004073000,53814000,0.44816,0.11195,0.05188,0.01501,0.00733,1.92709,1.60933,1.04924,0.26345,0.25028,0.24774,4.82396,16.66893,0.48231,0.07019,0.011,0.01656,0.28047,9.72676,14.79692
"15","2013_Q4",36.8484375,"Up",522100000,-288832000,233268000,-174190000,-142780000,-31410000,59078000,-12340000,-12340000,46738000,-1123999.99999999,45614000,-4851000,40763000,-565000,-565000,40198000,40198000,40198000,132303000,132303000,428531000,428531000,278351000,109239000,109239000,948424000,194695000,2707187000,481417000,2131051000,94719000,2903102000,3851526000,558649000,162523000,396126000,2622000,589391000,933292000,409272000,409272000,1342564000,1931955000,224987000,112382000,112605000,1625381000,69203000,1919571000,1919571000,3851526000,40763000,33261000,-13946000,-11735000,48095000,43500000,-6437000,37053000,-7841000,-67734000,-193000,-193000,8003000,-67765000,17383000,17383000,2450000,19833000,92339000,935914000,128955000,0.44679,0.11315,0.07699,0.02094,0.01044,3.208,1.60916,1.00645,0.243,0.35947,0.35537,4.6689,17.16585,1.15319,0.07012,0.01471,0.0395,0.19506,8.70283,13.60254
"16","2014_Q1",42.3580327868852,"Up",591870000,-315100000,276770000,-173471000,-140883000,-32588000,103299000,-26865000,-26865000,76434000,-10369000,66065000,7390000,73455000,-6582000,-6582000,66873000,66873000,66873000,173242000,173242000,466749000,466749000,260858000,143989000,140342000,1044838000,183188000,2717367000,460430000,2143120000,111633000,2901874000,3946712000,570559000,166881000,403678000,2624000,602796000,932104000,417325000,417325000,1349429000,1952225000,232532000,112626000,119906000,1684364000,77591000,1994487000,1994487000,3946712000,73455000,31638000,-16754000,-19359000,71703000,-7427000,-8650000,-16077000,-7867000,-1249000.00000001,-212000,-212000,-6098000,-15426000,40200000,40200000,739000,40939000,134937000,934728000,100761000,0.46762,0.17453,0.11299,0.03353,0.01694,1.50675,1.73332,0.97881,0.23684,0.59622,0.58938,5.27697,17.78236,0.89836,0.07014,0.02233,0.03011,0.11764,5.64327,7.37167
"17","2014_Q2",43.4031746031746,"Up",530610000,-294897000,235713000,-181816000,-152437000,-29379000,53897000,-11289000,-11289000,42608000,-2135000,40473000,-5522000,34951000,-727000,-727000,34224000,34224000,34224000,224113000,224113000,442976000,442976000,279031000,151462000,151462000,1097582000,182668000,2689528000,437882000,2142475000,109171000,2873496000,3971078000,581001000,168039000,412962000,2626000,605462000,926897000,409283000,409283000,1336180000,1941642000,240576000,113104000,127472000,1710667000,78193000,2029436000,2029436000,3971078000,34951000,29328000,-6138000,9972000,67711000,-6020000,0,-6020000,-7887000,-5252000,-3916000,-3916000,5507000,-11548000,50143000,50143000,728000,50871000,83225000,929523000,92699000,0.44423,0.10158,0.0645,0.01686,0.00862,2.7086,1.8128,0.95674,0.23407,0.30407,0.3008,4.71431,18.03094,0.8236,0.07007,0.0125,0.02752,0.23045,8.47594,13.08811
"18","2014_Q3",44.0796875,"Up",556170000,-308186000,247984000,-177605000,-147253000,-30352000,70379000,-8964000,-8964000,61415000,-742000,60673000,-8670000,52003000,-1513000,-1513000,50490000,50490000,50490000,205258000,205258000,443722000,443722000,277991000,153678000,151715000,1080649000,179676000,2674916000,417308000,2141819000,113714000,2855919000,3936568000,559737000,155415000,404322000,1051000,578599000,894282000,407696000,407696000,1301978000,1880577000,221837000,112875000,108962000,1753253000,80901000,2055991000,2055991000,3936568000,52003000,28579000,-11983000,-14142000,54395000,-8427000,74999.9999999963,-8564999.99999999,-7922000,-34255000,-35060000,-35060000,12102000,-65135000,-19305000,-19305000,450000,-18855000,98958000,895333000,85059000,0.44588,0.12654,0.09078,0.02456,0.01283,1.68467,1.8677,0.91468,0.22744,0.44765,0.44301,4.93111,18.22881,0.75415,0.07024,0.01739,0.02532,0.1569,6.97341,9.80513
"19","2014_Q4",41.774375,"Down",542049000,-298740000,243309000,-173441000,-142997000,-30444000,69868000,-10966000,-10966000,58902000,-11092000,47810000,-4912000,42898000,-621000,-621000,42277000,42277000,42277000,203683000,203683000,427008000,427008000,281617000,162039000,161389000,1074347000,177324000,2633408000,396466000,2123235000,111898000,2812123000,3886470000,541860000,160506000,381354000,1157000,567433000,858578000,397705000,397705000,1256283000,1823716000,227187000,112962000,114225000,1787614000,47953000,2062754000,2062754000,3886470000,42898000,28926000,-7203000,-1534000,62927000,-7767000,-1464000,-9231000,-7904000,-39718000,-28000,-28000,638000,-47012000,6684000,6684000,-8259000,-1575000,98794000,859735000,94405000,0.44887,0.1289,0.07799,0.0205,0.01088,2.23301,1.89335,0.88412,0.22121,0.37531,0.37164,4.81197,18.31183,0.83807,0.07017,0.01511,0.02843,0.18696,6.64061,9.38988
"20","2015_Q1",44.9986885245902,"Up",441051000,-233459000,207592000,-223404000,-205522000,-17882000,-15812000,-9920000,-9920000,-25732000,644000,-25088000,25375000,287000.000000007,30500000,30500000,30787000,30787000,30787000,174821000,174821000,470563000,470563000,285457000,137710000,137710000,1068551000,176194000,2881263000,490265000,2284077000,106921000,3059025000,4127576000,576974000,173953000,403021000,1075000,597310000,1045393000,442771000,442771000,1488164000,2085474000,206757000,112481000,94276000,1810545000,24800000,2042102000,2042102000,4127576000,287000,23632000,61277000,-22951000,96564000,-2407000,-269598000,-272081000,-7907000,185550000,-26525000,-26525000,3508000,154626000,-20891000,-20891000,-7971000,-28862000,7820000,1046468000,-42913000,0.47068,-0.03585,0.0698,0.01508,0.00746,-1.39387,1.78894,1.02124,0.25353,0.27394,0.27137,3.92447,18.17059,-0.38184,0.07036,0.01096,-0.01215,0.25683,111.46381,-55.12566
"21","2015_Q2",50.7114285714286,"Up",526901000,-291527000,235374000,-177993000,-145873000,-32120000,57381000,-9421000,-9421000,47960000,0,47960000,-7649000,40311000,23000,23000,40334000,40334000,40334000,168924000,168924000,415378000,415378000,291120000,147113000,147113000,1022535000,168499000,2835639000,470012000,2253208000,112419000,3005736000,4028271000,534056000,157471000,376585000,1083000,550581000,1014666000,403139000,403139000,1417805000,1968386000,215863000,113190000,102673000,1842948000,1074000,2059885000,2059885000,4028271000,40311000,28334000,-33746000,2749000,37663000,-4479000,-4560000,-9039000,-7876000,-37263000,-3954000,-3954000,24403000,-24690000,3934000,3934000,-9831000,-5897000,85715000,1015749000,91634000,0.44671,0.1089,0.07655,0.01958,0.01001,2.27188,1.85719,0.95558,0.25216,0.35808,0.35556,4.6777,18.28717,0.8135,0.06992,0.01386,0.02634,0.19527,9.87953999999998,14.75793
"22","2015_Q3",48.36328125,"Down",563906000,-311394000,252512000,-179425000,-146742000,-32683000,73087000,-10843000,-10843000,62244000,-4956000,57288000,-8292000,48996000,-22000.0000000037,-22000.0000000037,48974000,48974000,48974000,192170000,192170000,425698000,425698000,304754000,147706000,147706000,1070328000,166317000,2844478000,454251000,2275898000,114329000,3012428000,4082756000,554859000,170677000,384182000,1974000,574344000,986452000,401056000,401056000,1387508000,1961852000,223594000,113355000,110239000,1883999000,13311000,2120904000,2120904000,4082756000,48996000,28259000,-6967999.99999999,-6774000,63471000,-5620000,-14116000,-19736000,-7923000,-27393000,-141000,-141000,11734000,-23723000,20012000,20012000,3234000,23246000,101346000,988426000,97244000,0.44779,0.12961,0.08685,0.02309,0.012,1.98563,1.86357,0.92501,0.2421,0.43333,0.43023,4.98952,18.76607,0.86043,0.0701,0.01621,0.0277,0.16178,7.85681,10.89463
"23","2015_Q4",49.698125,"Up",563436000,-308833000,254603000,-178823000,-147728000,-31095000,75780000,-11944000,-11944000,63836000,118000.000000002,63954000,-9057000,54897000,-34000,-34000,54863000,54863000,54863000,237932000,237932000,439015000,439015000,288028000,68186000,68186000,1033161000,167029000,2964519000,490811000,2276149000,197559000,3133134000,4166295000,541172000,152726000,388446000,1123000,561485000,1011762000,482607000,482607000,1494369000,2055854000,164966000,112034000,52932000,1991431000,-45956000,2110441000,2110441000,4166295000,54897000,27164000,9061000,-30354000,60725000,-7715000,757000,-6958000,-7938000,39856000,-72063000,-72063000,-3872000,-44017000,9750000,9750000,-6854000,2896000,102944000,1012885000,73932000,0.45188,0.1345,0.09737,0.026,0.01317,1.34757,1.84005,0.97413,0.24311,0.4871,0.48371,5.00245,18.73749,0.6564,0.07048,0.01742,0.0205,0.14469,7.52791,10.22635
"24","2016_Q1",46.6672131147541,"Down",450580000,-228838000,221742000,-163517000,-146876000,-16641000,58225000,-9911000,-9911000,48314000,-8709000,39605000,4976000.00000001,44581000,23673000,23673000,68254000,68254000,68254000,237932000,237932000,415064000,415064000,259486000,120679000,64347000,1033161000,137564000,2995570000,485637000,2236863000,198041000,3133134000,4166295000,523314000,140980000,382334000,1123000,561485000,1011762000,482607000,465490000,1494369000,2055854000,164966000,112034000,52932000,1991431000,-45956000,2110441000,2110441000,4166295000,44581000,21607000,36105000,-388000,125239000,-10404000,-53304999.9999999,-65123000.0000001,-7834000,-10272000.0000001,14624000,-281000,-11227000,-14709000,45407000,45407000,-2541000,42866000,79832000,1012885000,64064000,0.49213,0.12922,0.15148,0.03234,0.01638,0.93861,1.84005,0.97413,0.24311,0.61085,0.60635,4.0325,18.88758,0.57335,0.07011,0.0211,0.01777,0.11478,9.7073,13.30963
"25","2018_Q1",76.2326229508197,"Up",641630000,-334924000,306706000,-204198000,-166525000,-37673000,102508000,-21882000,-21882000,80626000,263000,80889000,-119333000,-38444000,-2673000,-2673000,-41117000,-41117000,-41117000,202134000,202134000,552304000,552304000,351675000,93842000,93842000,1199955000,298066000,4593442000,1346940000,3002198000,244304000,4891508000,6091463000,722735000,222093000,500642000,217306000,950902000,1788803000,848570000,848570000,2637373000,3588275000,169189000,110361000,58828000,2380517000,-46518000,2503188000,2503188000,6091463000,-38444000,29493000,129472000,6471000,128096000,-16727000,-1410266000,-1436676000,-7716000,823041000,17650000,-354000,-16289000,816686000,-491894000,-491894000,1607000,-490287000,132001000,2006109000,241078000,0.47801,0.15976,-0.06408,-0.01643,-0.00675,-5.86322,1.26191,1.43348,0.32933,-0.37428,-0.37089,5.84059,22.78588,2.19447,0.07024,-0.00623,0.045,-0.18766,13.66637,17.59838
"26","2018_Q2",74.1175,"Down",643972000,-351750000,292222000,-245709000,-199725000,-45984000,46513000,-11430000,-11430000,35083000,-6578000,28505000,-2469999.99999997,26035000,-11000,-11000,26024000,26024000,26024000,208077269.906314,208077269.906314,593671249.228096,593671249.228096,373720058.697559,77486569.5840202,95055879.6867615,1252955147.41599,335441523.339928,5040776706.14134,1589763414.76045,3215842682.32014,258570805.524424,5376321749.78267,6629276897.19866,795326969.295018,255145771.429382,540181197.865636,317845048.404874,1116460657.44996,1959228104.00633,971031224.470673,976369829.94346,2930259328.477,4046719985.92696,158473900.389692,109711203.112057,48762705.0856804,2444822437.85079,-20739426.9687841,2582556911.2717,2582556911.2717,6629276897.19866,26035000,44453000,-39712000,-45334000,-14558000,-22652000,-1015000,-23667000,-7727000,53992000,-4555000,-4555000,-28701000,13009000,-25216000,-25216000,3850000,-21365999.9999999,90966000,2.38418579101562e-07,25450000,0.45378,0.07223,0.04041,-0.00864751155493759,-0.00456522432203688,0.977940000000001,1.00640396837775,1.58782745956117,0.351509464555938,0.23595,0.23376,5.83858,23.5278873004562,0.23074,0.07006,-0.00397444054644973,0.035613336323905,0.29692,14.1741782700901,19.4687370278141
