"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"15","2014_Q4",2.01140625,"Up",3956335,-1436195,2520140,-2737201,-2634035,-103166,-217061,-23322,-23322,-240383,-240383,-764000,-1004383,-1004383,-1004383,-1004383,772428,772428,6469927,6469927,2550815,977861,448262,10771031,3972254,1353311,993807,359504,5325565,16096596,2070871,1004025,1066846,295446,295446,2412075,1262889,3674964,13289902,-868270,12421632,12421632,16096596,-1004383,182424,473281,237027,-111651,-341213,-341213,-11284,-464148,-464148,-464148,-34637,1308647,625177,0.63699,-0.05486,-0.25387,-0.08086,-0.0624,-0.62245,4.46546,0.29585,0.0813,-0.12378,-0.12378,0.48758,1.53084,0.07705,-0.07315,0.04553,-15.4811,-2.47036
"16","2015_Q1",2.38524590163934,"Up",4612287,-1377303,3234984,-2872518,-2811464,-61054,362466,-21010,-21010,341456,341456,-51000,290456,290456,290456,290456,1502702,1502702,6487267,6487267,2235496,397853,397853,10623318,3935802,1233046,1039413,193633,5168848,15792166,1471622,380582,1091040,302482,302482,1820479,1251192,3071671,13298309,-577814,12720495,12720495,15792166,290456,190813,118065,447864,1047198,-305844,-305844,-11080,730274,730274,730274,553279,1297567,746299,0.70138,0.07859,0.06297,0.02283,0.01839,2.5694,5.83545,0.24147,0.08217,0.0358,0.0358000000000001,0.56842,1.56767,0.09197,0.02072,0.05324,-0.37076,-0.56594
"17","2015_Q2",2.19730158730159,"Down",4770539,-1475797,3294742,-2896760,-2821495,-75265,397982,-20453,-20453,377529,377529,0,377529,377529,377529,377529,2280126,2280126,6361689,6361689,2243198,485674,485674,11370687,3944975,1199461,899559,299902,5144436,16515123,1949177,781823,1167354,166497,166497,2162677,1239333,3402010,13313399,-200286,13113113,13113113,16515123,377529,186233,38855,352027,954644,-165989,-165989,-11231,777424,777424,777424,584215,1286336,770253,0.69064,0.08342,0.07914,0.02879,0.02286,2.04025,5.25769,0.25944,0.07789,0.04653,0.04653,0.58792,1.61606,0.09493,0.02622,0.05349,-1.70107,-2.49707
"18","2015_Q3",1.780625,"Down",4881723,-1478290,3403433,-2956046,-2872402,-83644,447387,-24676,-24676,422711,422711,0,422711,422711,422711,422711,2452361,2452361,6628860,6628860,2234492,372177,372177,11687890,3772457,1220894,868797,352097,4993351,16681241,1696028,480989,1215039,151189,151189,1894342,1227653,3121995,13336820,222426,13559246,13559246,16681241,422711,183946,149271,-386494,369434,-170844,-170844,-26355,172235,172235,172235,631333,1274778,73995,0.69718,0.09165,0.08659,0.03118,0.02534,0.17505,6.16989,0.23025,0.07642,0.05209,0.05203,0.60162,1.67104,0.00912,0.0285,0.00499,-1.86523,-2.63214
"19","2015_Q4",1.951875,"Up",4556977,-1400252,3156725,-3099141,-3020849,-78292,57584,-20355,-20355,37229,37229,0,37229,37229,37229,37229,2904811,2904811,6388454,6388454,2401864,481477,481477,12176606,3617372,1193596,832520,361076,4810968,16987574,1916228,684290,1231938,171893,171893,2136219,1214795,3351014,13376905,259655,13636560,13636560,16987574,37229,186975,138132,144775,507111,-42776,-42776,-11885,452450,452450,452450,244559,1262893,346558,0.69272,0.01264,0.00817,0.00273,0.00219,9.30882,5.70007,0.24574,0.07434,0.00459,0.00456,0.5616,1.68057,0.04271,0.0025,0.02326,-6.71379,-28.51344
"20","2016_Q1",3.11065573770492,"Up",5199146,-1453819,3745327,-3338084,-3259638,-78446,407243,-20226,-20226,387017,387017,-132000,255017,255017,255017,255017,3598240,3598240,6518816,6518816,2072108,397833,397833,12586997,3635516,1182541,999842,182699,4818057,17405054,2021545,538518,1483027,208983,208983,2279277,1202446,3481723,13408659,514672,13923331,13923331,17405054,255017,179061,103832,412115,950025,-244898,-244898,-11698,693429,693429,693429,586304,1251195,885521,0.72037,0.07833,0.04905,0.01832,0.01465,3.4724,5.52236,0.25006,0.07189,0.03141,0.03102,0.64032,1.71478,0.10906,0.01681,0.05836,-4.00312,-5.76325
"21","2016_Q2",4.33234375,"Up",5001188,-1141758,3859430,-3274262,-3232719,-41543,585168,-20206,-20206,564962,564962,-224000,340962,340962,340962,340962,3782977,3782977,6457302,6457302,2155305,501036,501036,12896620,3571833,1156911,975149,181762,4728744,17625364,1800327,522011,1278316,282258,282258,2131994,1189928,3321922,13447808,855634,14303442,14303442,17625364,340962,185523,68778,-283833,311430,-114835,-114835,-11858,184737,184737,184737,770691,1239337,596023,0.7717,0.11701,0.06818,0.02384,0.01934,1.74806,6.04909,0.23225,0.07032,0.04192,0.04171,0.61486,1.75851,0.07328,0.02194,0.03835,-3.30047,-4.34685
"22","2016_Q3",4.52859375,"Up",6262107,-1363510,4898597,-3649025,-3591934,-57091,1249572,-17880,-17880,1231692,1231692,-164000,1067692,1067692,1067692,1067692,4528580,4528580,6903378,6903378,2393622,341507,341507,14167087,3460979,1421887,948512,185375,4882866,19049953,2174368,620922,1553446,207287,207287,2430429,1178375,3608804,13517823,1923326,15441149,15441149,19049953,1067692,183527,-213322,-182341,855556,-84245,-84245,-25708,745603,745603,745603,1433099,1227149,1330513,0.78226,0.19954,0.1705,0.06915,0.05605,1.24616,5.82905,0.23371,0.06442,0.13127,0.13026,0.76988,1.89838,0.16358,0.06406,0.07982,-2.3037,-2.64205
"23","2016_Q4",4.13015873015873,"Down",6035700,-1408716,4626984,-3891295,-3806886,-84409,735689,-13064,-13064,722625,722625,-256000,466625,466625,466625,466625,4934112,4934112,7310731,7310731,2325718,623388,442603,15193949,3388116,1425419,927931,160488,4813535,20007484,2593850,668796,1925054,246761,246761,2888243,1167166,4055409,13562124,2389951,15952075,15952075,20007484,466625,181615,21196,-166075,503361,-85478,-85478,-12351,405532,405532,405532,917304,1214798,921751,0.7666,0.12189,0.07731,0.02925,0.02332,1.97536,5.26062,0.25422,0.06072,0.05737,0.05638,0.74205,1.96119,0.11332,0.02718,0.05369,-4.05461,-5.05555
"24","2017_Q1",4.4591935483871,"Up",5693004,-1201752,4491252,-3952373,-3755024,-197349,538879,-15656,-15656,523223,523223,-186000,337223,337223,337223,337223,5123355,5123355,7611437,7611437,2480443,612301,419616,15827536,3375189,1374792,904033,127759,4749981,20577517,2739023,589225,2149798,287194,287194,3072526,1146395,4218921,13631422,2727174,16358596,16358596,20577517,337223,188037,79289,-107993,496556,-294963,-294963,-12350,189243,189243,189243,726916,1192704,509960,0.78891,0.09466,0.05923,0.02061,0.01639,1.51223,5.15131,0.2579,0.05796,0.04143,0.0404,0.69934,2.00954,0.06264,0.01921,0.02906,-5.4073,-7.29413
"25","2017_Q2",4.83047619047619,"Up",5545363,-1217736,4327627,-4038748,-3687908,-350840,288879,-16707,-16707,272172,272172,-81000,191172,191172,191172,191172,3824012,3824012,8043565,8043565,2606134,631808,497412,15105519,3243775,1355225,894853,117372,4599000,19704519,1608891,425015,1183876,255502,255502,1909354,1136189,3045543,13740630,2918346,16658976,16658976,19704519,191172,186455,113552,-1707048,-1215869,-70956,-70956,-12518,-1299343,-1299343,-1299343,475334,1181150,-1221670,0.7804,0.05209,0.03447,0.01148,0.0097,-6.39042,7.91132,0.18282,0.05994,0.02341,0.02262,0.67899,2.03976,-0.14958,0.01072,-0.06848,-5.56001,-9.14868
"26","2017_Q3",6.54650793650794,"Up",6372243,-1445786,4926457,-4197000,-4096199,-100801,729457,-15597,-15597,713860,713860,-270000,443860,443860,443860,443860,4821504,4821504,8284895,8284895,2570850,428751,425855,16106000,3381803,1218149,776091,112058,4599952,20705952,1851367,466863,1384504,455747,455747,2356834,1120856,3477690,13866056,3362206,17228262,17228262,20705952,443860,186583,254795,369343,1254581,-240679,-240679,-16410,997491.999999999,997491.999999999,997491.999999999,916040,1170576,1314704,0.77311,0.11447,0.06966,0.02576,0.02144,2.96198,6.83374,0.20186,0.05653,0.05435,0.05266,0.78023,2.10947,0.16098,0.02412,0.07146,-3.98556,-5.00499
"27","2017_Q4",6.46825396825397,"Down",6669637,-1357093,5312544,-4275768,-4195154,-80614,1036776,-8831,-8831,1027945,1027945,-380000,647945,647945,647945,647945,5401943,5401943,8933426,8933426,2587635,491968,491968,17414972,3288480,1194294,762853,101441,4482774,21897746,2198572,593806,1604766,524564,524564,2773339,1108921,3882260,14005335,4010151,18015486,18015486,21897746,647945,190588,141455,-212798,767190,-174334,-174334,-12417,580439,580439,580439,1227364,1159124,1220232,0.79653,0.15545,0.09715,0.03597,0.02959,1.88323,6.27942,0.2155,0.05293,0.07934,0.07653,0.81665,2.20586,0.14941,0.03379,0.06364,-3.45685,-4.09232
"28","2018_Q1",5.77147540983607,"Down",7273901,-1272100,6001801,-4487574,-4422953,-64621,1514227,-8732,-8732,1505495,1505495,-559000,946495,946495,946495,946495,5573709,5573709,9949759,9949759,2559485,393319,393319,18476272,3303233,1281144,721276,99868,4584377,23060649,2406523,663376,1743147,438748,438748,2895974,1097125,3993099,14110904,4956646,19067550,19067550,23060649,946495,191501,1773,-754550,385219,-201179,-201179,-12274,171766,171766,171766,1705728,1147828,1308999,0.82511,0.20817,0.13012,0.04964,0.04104,1.383,6.37999,0.20942,0.04977,0.11583,0.11139,0.89018,2.33349,0.1602,0.04682,0.06475,-2.59472,-2.92286
"29","2018_Q2",5.26671875,"Down",6304322,-1613604,4690718,-4591568,-4520905,-70663,99150,-4199,-4199,94951,94951,-14000,80951,80951,80951,80951,5786992,5786992,9644132,9644132,2454153,792460,565878,18677737,3262474,1265642,700454,98188,4528116,23205853,2153965,678933,1475032,536423,536423,2741595,1085203,3826798,14301289,5077766,19379055,19379055,23205853,80951,192328,162582,-107734,328127,-102447,-102447,-12397,213283,213283,213283,291478,1136410,95297,0.74405,0.01573,0.01284,0.00418,0.00349,1.17722,6.81273,0.19747,0.04897,0.00987,0.0094,0.7688,2.36325,0.01162,0.00395,0.00465,-15.95517,-46.90451
"30","2018_Q3",5.37365079365079,"Up",7062083,-1229682,5832401,-4999053,-4942258,-56795,833348,-4894,-4894,828454,828454,-439000,389454,389454,389454,389454,6840237,6840237,9680369,9680369,2393639,379713,379713,19293958,3215369,1194281,674704,102577,4409650,23703608,2294122,704105,1590017,360538,360538,3779405,0,3779405,14497152,5427051,19924203,19924203,23703608,389454,194001,271060,347141,1201656,-135767,-135767,-12644,1053245,1053245,1053245,1027349,1124745,1677723,0.82588,0.118,0.05515,0.01955,0.01643,4.30788,5.10503,0.18969,0.04745,0.04749,0.04488,0.86121,2.42973,0.2046,0.0185,0.07971,-5.56334,-6.85847
"31","2018_Q4",6.00984126984127,"Up",7090653,-1491155,5599498,-5114388,-5071723,-42665,485110,668,668,485778,485778,-173000,312778,312778,312778,312778,7062822,7062822,10075211,10075211,2207293,574920,483817,19920246,3165539,1177994,663928,97066,4343533,24263779,2230480,614867,1615613,403260,403260,3746578,0,3746578,14777372,5739829,20517201,20517201,24263779,312778,194634,218787,-384208,341991,-168932,-168932,49526,222585,222585,222585,679744,1112838,299604,0.7897,0.06842,0.04411,0.01524,0.01289,0.95788,5.31692,0.18261,0.04586,0.0381,0.03632,0.86361,2.49891,0.03649,0.01446,0.01385,-8.75327,-12.26523
"32","2019_Q1",5.4183606557377,"Down",8240564,-1507160,6733404,-5142487,-5061167,-81320,1590917,28296,28296,1619213,1619213,-5e+05,1119213,1119213,1119213,1119213,7455844,7455844,11811308,11811308,2486848,1527879,751541,23281879,3091242,1019010,649103,5907,4110252,27392131,3237883,810644,2427239,464357,464357,4803283,71308.1308330866,4803283,15035990,7552858,22588848,22588848,27392131,1119213,209064,112708,-870559,570426,-164631,-164631,-12773,393022,393022,393022,1799981,1101043,1264791,0.8171,0.19306,0.13582,0.04955,0.04086,1.13007,4.84708,0.21264,0.0402,0.13618,0.13049,1.00266,2.74848,0.15389,0.04724,0.05339,-3.53048,-3.99443
"33","2019_Q2",5.47666666666667,"Up",7275883,-1733051,5542832,-5343892,-5275755,-68137,198940,13452,13452,212392,212392,-58000,154392,154392,154392,154392,7747129,7747129,11545915,11545915,2840407,1251307,415476,23384758,2965526,1163946,641039,5906.99999999999,4129472,27514230,2848555,850477,1998078,542513,542513,4480188,-5.82076609134674e-11,4480188,15326792,7707250,23034042,23034042,27514230,154392,194706,105213,-151477,302834,-32215,-32215,20666,291285,291285,291285,393646,1089120,267954,0.76181,0.02734,0.02122,0.0067,0.00561,1.73554,5.21959,0.1945,0.03958,0.01869,0.01787,0.88084,2.78858,0.03244,0.0064,0.01111,-16.9137,-33.46742
"34","2019_Q3",5.60171875,"Up",8012487,-1949988,6062499,-5390284,-5152393,-237891,672215,16522,16522,688737,688737,-311000,377737,377737,377737,377737,7211122,7211122,11937466,11937466,2735934,1135993,329327,23020515,2875807,985291,618034,6257,3861098,26881613,2698576,713097,1985479,372494,372494,3071070,0,3071070,15725556,8084987,23810543,23810543,26881613,377737,195104,401688,-456774,517755,-118916,-118916,-934846,-536007,-536007,-536007,867319,0,602629,0.75663,0.0839,0.04714,0.01586,0.01405,1.59537,7.49593,0.12898,0,0.04552,0.04352,0.96549,2.86914,0.07262,0.01586,0.02531,-8.31427,-10.7274
"35","2019_Q4",7.9140625,"Up",7407779,-1833478,5574301,-5112530,-4941773,-170757,461771,27374,27374,489145,489145,-139000,350145,350145,350145,350145,7535891,7535891,12275708,12275708,2706756,1484550,400760,24002905,2745121,945491,602684,5807,3690612,27693517,2601549,622434,1979115,639527,639527,3241076,-3.63797880709171e-12,3241076,16017309,8435132,24452441,24452441,27693517,350145,227390,253237,-479408,351364,-89623,-89623,63028,324769,324769,324769,689161,0,259130,0.75249,0.06234,0.04727,0.01432,0.01264,0.74006,7.40584,0.13255,0,0.04206,0.04074,0.88985,2.93733,0.03113,0.01432,0.0106,-10.93488,-16.31954
"36","2020_Q1",10.21,"Up",8603601,-1935289,6668312,-5182727,-5076201,-106526,1485585,33359,33359,1518944,1518944,-432000,1086944,1086944,1086944,1086944,7807928,7807928,12760042,12760042,2622000,1349061,353214,24539031,3604744,1255457,581413,45044,4860201,29399232,3089748,586575,2503173,530453,530453,3650521,14737,3665258,16211910,9522064,25733974,25733974,29399232,1086944,308027,-83083.0000000001,106033,1417921,-1145884,-1145884,-1.16415321826935e-10,272037,272037,272037,1793612,30320,1185761,0.77506,0.17267,0.12634,0.04224,0.03697,1.09091,6.72206,0.14243,0.00103,0.1303,0.12619,1.0314,3.085,0.14215,0.04216,0.046,-4.33628,-5.23538
