"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","investment_income_loss","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","customer_acceptances_liabilities","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2013_Q2",17.8415625,"Up",63624000,46128000,54892000,-8764000,17496000,16000,10712000,6056000,-2102000,61522000,-39569000,-39569000,21953000,21953000,20775000,-4754000,16021000,16021000,16021000,16021000,178263000,1585303000,3632137000,-51664000,3683801000,90879000,323003000,19909000,255954000,6085448000,5006202000,2398625000,2607577000,128372000,166876000,59589000,5361039000,0,302742000,429715000,-8048000,724409000,724409000,6085448000,31308000,-1198000,35338000,3243000,37383000,-5260000,-72415000,84000,61558000,-16033000,52658000,52658000,52658000,295248000,0.34504,0.25181,0.02212,0.00263,7.40057,0.04852,0.54845,0.54738,2.17806,24.79891,0.18007,0.0035,0.32832,5.32888
"12","2013_Q3",21.280625,"Up",63714000,45990000,54425000,-8435000,17724000,686000,10925000,5412000,-1021000,62693000,-39448000,-39448000,23245000,23245000,23194000,-6178000,17016000,17016000,17016000,17016000,78070000,1579939000,3751001000,-50381000,3801382000,91894000,322478000,19248000,241381000,6084011000,4938755000,2351639000,2587116000,200538000,166462000,52024000,5357779000,6.61744490042422e-24,303645000,441168000,-18581000,726232000,726232000,6084011000,34707000,-2791000,-13004000,-118463000,-134258000,-5551000,16081000,562000,-67734000,-642000.00000003,-100193000,-100193000,-100193000,3.67e+08,0.36483,0.26707,0.02343,0.0028,7.3775,0.06032,0.58184,0.5806,2.1786,24.83236,0.18981,0.00371,0.32622,12.42977
"13","2013_Q4",22.276875,"Up",63247000,46131000,54317000,-8186000,17116000,-15000,11010000,5377000,-2819000,60428000,-39974000,-39974000,20454000,20454000,20418000,-4883000,15535000,15535000,15535000,15535000,145639000,1536043000,3789196000,-47342000,3836538000,92696000,321972000,19903000,232911000,6138360000,5060442000,2414223000,2646219000,124179000,166045000,51006000,5401672000,0,305496000,450833000,-19641000,736688000,736688000,6138360000,22598000,-2582000,39900000,-37981000,2291000,-5562000,-20446000,1463000,123225000,42680000,67569000,67569000,67569000,290224000,0.3234,0.24562,0.02109,0.00253,7.33237,0.04728,0.52973,0.52824,2.15667,25.12048,0.18966,0.00344,0.35803,7.06879
"14","2014_Q1",22.0327868852459,"Down",64187000,47238000,54256000,-7018000,16949000,-3000,11103000,5392000,-3144000,61043000,-40697000,-40697000,20346000,20346000,20301000,-4948000,15353000,15353000,15353000,15353000,95551000,1532906000,3847549000,-47368000,3894917000,93157000,321426000,18960000,235224000,6144773000,5062530000,2301187000,2761343000,150536000,145645000,39467000,5398178000,5.29395592033938e-23,306156000,460351000,-13943000,746595000,746595000,6144773000,22867000,-2274000,-7786000.00000001,-59855000,-69915000,-5870000,-13740000,-5740000,2310000,-3040000,-50088000,-50088000,-50088000,296181000,0.31698,0.23919,0.02056,0.0025,7.2304,0.0482,0.52398,0.52232,2.19062,25.48037,0.20034,0.00345,0.38234,9.86091
"15","2014_Q2",22.5444444444444,"Up",64374000,47325000,53457000,-6132000,17049000,10000,11337000,5548000,-2199000,62175000,-40095000,-40095000,22080000,22080000,22080000,-5659000,16421000,16421000,16421000,16421000,175196000,1557399000,3841619000,-45483000,3887102000,92814000,320931000,20149000,229469000,6237577000,5215718000,2294080000,2921638000,92737000,129428000,38577000,5476460000,0,306267000,470352000,-10680000,761117000,761117000,6237577000,23985000,-1485000,-20854000,3446000,-18893000,-5833000,-53863000,862000,153387000,74553000,79645000,79645000,79645000,222165000,0.343,0.25509,0.02157,0.00263,7.19529,0.03562,0.56271,0.56116,2.20594,26.08156,0.19988,0.00357,0.35522,2.12722
"16","2014_Q3",22.911875,"Up",66547000,48306000,54044000,-5738000,18241000,165000,11290000,6312000,-849000,65698000,-40303000,-40303000,25395000,25395000,25395000,-6520000,18875000,18875000,18875000,18875000,94488000,1613774000,3900377000,-45741000,3946118000,92106000,320449000,19087000,236739000,6277020000,5117403000,2254984000,2862419000,94745000,244752000,41495000,5498395000,0,305211000,482786000,-6624000,778625000,778625000,6277020000,17395000,-1174000,-51283000,-59129000,-111586000,-6423000,117418000,627000.000000001,-98139000,13483000,-80708000,-80708000,-80708000,339497000,0.38161,0.28363,0.02424,0.00301,7.06167,0.05409,0.64546,0.64367,2.27569,26.62648,0.21965,0.00403,0.34029,9.64792
"17","2014_Q4",25.16921875,"Up",65266000,48612000,54304000,-5692000,16654000,581000,10967000,4556000,-1478000,63788000,-39263000,-39263000,24525000,24525000,24525000,-6359000,18166000,18166000,18166000,18166000,76419000,1554413000,3986675000,-45029000,4031704000,92090000,319973000,20032000,228892000,6278494000,5101685000,2183011000,2918674000,117637000,229540000,40848000,5489710000,0,305540000,494511000,-8666000,788784000,788784000,6278494000,28835000,-1750000,55129000,-87010000,-31347000,-6439000,-43656000,98000,-15560000,-15557000,-18069000,-18069000,-18069000,347177000,0.37577,0.27834,0.02303,0.00289,6.95971,0.0553,0.62039,0.61865,2.22892,26.93806,0.2199,0.00392,0.35445,11.04008
"18","2015_Q1",24.7018032786885,"Down",65545000,48985000,54186000,-5201000,16560000,147000,10532000,5455000,-1879000,63666000,-40663000,-40663000,23003000,23003000,21694000,-5182000,16512000,16512000,16512000,16512000,94002000,1511094000,4042112000,-44654000,4086766000,93135000,319506000,18481000,218235000,6296565000,5048983000,2147914000,2901069000,80690000,329302000,49400000,5508375000,0,305843000,504578000,-20080000,788190000,788190000,6296565000,24593000,-2965000,48784000,-57067000,-11180000,-6441000,112837000,331000,-52557000,4170000.00000001,17583000,17583000,17583000,409992000,0.35095,0.25192,0.02095,0.00262,6.98864,0.06511,0.56371,0.56192,2.23765,26.90812,0.21989,0.00365,0.39008,13.7369
"19","2015_Q2",24.8792063492063,"Up",73145000,54955000,60379000,-5424000,18190000,22000,11764000,6132000,-1289000,71856000,-43708000,-43708000,28148000,28148000,18415000,-4528000,13887000,13887000,13887000,13887000,92974000,2398189000,4829548000,-44173000,4873721000,110900000,493176000,25232000,283260000,8233279000,6416202000,2948696000,3467506000,76630000,574725000,74338000,7141895000,0,600900000,509622000,-16077000,1091384000,1091384000,8233279000,36064000,-2033000,165645000,-94812000,41434000,-6446000,-192042000,-992000,120954000,-78526000,-1028000,-1028000,-1028000,651355000,0.38482,0.18986,0.01272,0.00169,6.54389,0.07911,0.40377,0.40277,2.12673,31.73261,0.18742,0.00247,0.46418,19.83732
"20","2015_Q3",25.001875,"Up",78866000,60802000,66738000,-5936000,18064000,0,11584000,6073000,-2681000,76185000,-45491000,-45491000,30694000,30694000,29579000,-7954000,21625000,21625000,21625000,21625000,108738000,2443074000,4890226000,-43419000,4933645000,111692000,492997000,24739000,303953000,8375419000,6259045000,2854276000,3404769000,73868000,887528000,60325000,7280766000,-2.16840434497101e-19,597294000,522388000,-24162000,1094653000,1094653000,8375419000,-1523000,-2802000,-61801000,-61354000,-125957000,-8845000,310108000,-1869000,-156150000,143244000,15764000,15764000,15764000,961396000,0.38919,0.2742,0.01976,0.00258,6.65121,0.11479,0.56176,0.56124,2.04875,28.43641,0.22977,0.00364,0.40902,27.77931
"21","2015_Q4",24.98734375,"Down",78796000,60610000,66935000,-6325000,18186000,47000,11547000,5812000,-1798000,76998000,-46797000,-46797000,30201000,30201000,30016000,-7768000,22248000,22248000,22248000,22248000,92975000,2517070000,4909018000,-41624000,4950642000,111699000,492725000,2.7e+07,301943000,8452430000,6193902000,2695316000,3498586000,84587000,999313000,58886000,7336688000,0,596087000,535777000,-15232000,1115742000,1115742000,8452430000,24050000,-2101000,-66765000,-20209000,-88979000,-8857000,122577000,-181000,-64373000,49166000,-15763000,-15763000,-15763000,1083900000,0.38328,0.28235,0.01994,0.00263,6.57561,0.12824,0.57717,0.57633,2.04418,28.94539,0.22977,0.00368,0.3981,32.811
"22","2016_Q1",22.3514754098361,"Down",80646000,60620000,67660000,-7040000,20026000,879000,11440000,9166000,-2585000,78061000,-46845000,-46845000,31216000,31216000,31167000,-8165000,23002000,23002000,23002000,23002000,86685000,2422450000,5024132000,-41710000,5065842000,112203000,490888000,25759000,308181000,8470298000,6066299000,2635212000,3431087000,81356000,1147946000,52565000,7348166000,0,596598000,549921000,-21747000,1122132000,1122132000,8470298000,29795000,-2639000,76222000,-116931000,-36826000,-8859000,145462000,-1747000,-134115000,741000.000000015,-6290000.00000001,-6290000.00000001,-6290000.00000001,1229302000,0.38707,0.28522,0.0205,0.00272,6.5484,0.14513,0.59716,0.59627,2.09367,29.13193,0.22999,0.00376,0.38514,36.60357
"23","2016_Q2",24.82125,"Up",79235000,59842000,67601000,-7759000,19393000,1111000,11559000,6175000,-2324000,76911000,-45343000,-45343000,31568000,31568000,31568000,-8694000,22874000,22874000,22874000,22874000,167973000,2385687000,5093860000,-42525000,5136385000,110542000,490688000,26574000,294057000,8569381000,6142892000,2649674000,3493218000,76630000,1145450000,58499000,7423471000,0,596564000,563592000,-8911000,1145910000,1145910000,8569381000,40275000,-526000,53934000,-70534000,-17112000,-8859000,-7169000,-2897000,77050000,58125000,81288000,81288000,81288000,1222080000,0.39841,0.28869,0.01996,0.00267,6.47823,0.14261,0.59588,0.59564,2.06411,29.85153,0.23078,0.0037,0.3873,33.39163
"24","2016_Q3",25.25234375,"Up",79364000,59773000,67585000,-7812000,19591000,585000,10962000,7361000,-1811000,77553000,-46666000,-46666000,30887000,30887000,30193000,-8085000,22108000,22108000,22108000,22108000,87626000,2252289000,5126504000,-43328000,5169832000,110611000,490143000,24588000,305663000,8397424000,5928099000,2518385000,3409714000,79103000,1163166000,62636000,7233004000,0,595460000,576483000,-3655000,1164420000,1164420000,8397424000,19586000,-2278000,138603000,-32715000,103615000,-9201000,16231000,-142000,-214436000,-203548000,-80347000,-80347000,-80347000,1242269000,0.38918,0.27856,0.01899,0.00263,6.21168,0.14793,0.57613,0.57532,2.06819,30.34429,0.23977,0.00373,0.41618,37.38281
"25","2016_Q4",29.894126984127,"Up",83043000,62026000,70092000,-8066000,21017000,597000,11619000,7987000,-2215000,80828000,-47717000,-47717000,33111000,33111000,23228000,-5793000,17435000,17435000,17435000,17435000,116132000,2358192000,6194097000,-42755000,6236852000,138731000,591866000,29964000,383402000,9812384000,7134511000,2802221000,4332290000,132497000,1114211000,84014000,8465233000,0,769384000,583392000,-5625000,1347151000,1347151000,9812384000,29314000,-1090000,166634000,-57405000,113002000,-9217000,-114346000,75000,13678000,-113810000,28506000,28506000,28506000,1246708000,0.39872,0.20995,0.01294,0.00178,6.2838,0.12705,0.43889,0.43877,2.09043,33.9117,0.23202,0.00272,0.52865,34.14503
"26","2017_Q1",32.5140322580645,"Up",93187000,71689000,80819000,-9130000,21498000,64000,12272000,11207000,-2128000,91059000,-55693000,-55693000,35366000,35366000,32682000,-8464000,24218000,24218000,24218000,24218000,128170000,2316214000,6205762000,-43674000,6249436000,133297000,593187000,28299000,385948000,9790877000,7040879000,2708990000,4331889000,199376000,1132544000,76670000,8449469000,8.88178419700125e-16,772031000,597071000,-27694000,1341408000,1341408000,9790877000,33902000,1833000,6988000,-13738000,-4917000,-10528000,27007000,1651000,-93077000,-16947000,12038000,12038000,12038000,1331920000,0.37952,0.25989,0.01805,0.00247,6.29896,0.13604,0.55147,0.55114,2.12197,30.54526,0.23973,0.00355,0.43472,34.03693
"27","2017_Q2",31.4269841269841,"Down",93603000,70719000,79924000,-9205000,22884000,12000,12758000,10114000,-2711000,90892000,-53893000,-53893000,36999000,36999000,36508000,-10622000,25886000,25886000,25886000,25886000,115084000,2290595000,6268111000,-44061000,6312172000,134949000,591539000,28923000,371680000,9800881000,7145735000,2672756000,4472979000,115643000,1101281000,79069000,8441728000,0,773039000,611528000,-25414000,1359153000,1359153000,9800881000,47508000,-2311000,25645000,-63701000,-40367000,-10539000,-57558000,526000,105344000,-20227000,-13086000,-13086000,-13086000,1216924000,0.39528,0.27655,0.01905,0.00264,6.21102,0.12416,0.58902,0.58804,2.12988,30.9267,0.23981,0.00372,0.40713,29.78026
"28","2017_Q3",31.2619047619048,"Down",94261000,72139000,82160000,-10021000,22122000,494000,12333000,9295000,-2383000,91878000,-55884000,-55884000,35994000,35994000,35994000,-9652000,26342000,26342000,26342000,26342000,110695000,2277694000,6345508000,-44909000,6390417000,134903000,591252000,28501000,385457000,9874010000,7072473000,2640855000,4431618000,167671000,1185820000,70509000,8496473000,-7.105427357601e-15,774196000,626421000,-22695000,1377537000,1377537000,9874010000,9001000,-2587000,14032000,-77473000,-65679000,-11430000,104022000,47000,-72850000,52289000,-4389000,-4389000,-4389000,1353491000,0.38185,0.27946,0.01912,0.00267,6.16787,0.13708,0.59874,0.59769,2.14249,31.31049,0.2598,0.00383,0.43391,34.52787
"29","2017_Q4",33.5590476190476,"Up",95154000,74254000,85489000,-11235000,20900000,5000,12400000,8495000,-2516000,92638000,-55755000,-55755000,36883000,36883000,36883000,-10527000,26356000,26356000,26356000,26356000,110871000,2339149000,6327562000,-45487000,6373049000,133497000,590249000,30152000,386797000,9918277000,7101025000,2592953000,4508072000,165576000,1179289000,77829000,8523719000,0,775101000,641329000,-21572000,1394558000,1394558000,9918277000,36997000,-1325000,-63171000,18842000,-45654000,-11447000,19825000,60000,28895000,8833000,176000,176000,176000,1344865000,0.38761,0.27698,0.0189,0.00266,6.11213,0.13559,0.59856,0.59785,2.161,31.67113,0.25997,0.00381,0.43432,33.45699
"30","2018_Q1",34.8626229508197,"Up",96117000,73183000,84851000,-11668000,22934000,56000,12453000,10425000,-2376000,93741000,-54383000,-54383000,39358000,39358000,38904000,-23006000,15898000,15898000,15898000,15898000,117572000,2284822000,6296157000,-45284000,6341441000,130722000,589264000,29728000,367913000,9816178000,7043588000,2546969000,4496619000,184805000,1112530000,79934000,8420857000,-1.13686837721616e-13,776486000,651357000,-32522000,1395321000,1395321000,9816178000,48120000,188000,42030000,32107000,74325000,-11448000,-68576000,407000,-57127000,-115744000,6701000,6701000,6701000,1297335000,0.40948,0.1654,0.01139,0.00162,6.03507,0.13216,0.36102,0.36031,2.18265,31.68535,0.25996,0.00279,0.72009,29.97518
"31","2018_Q2",37.70078125,"Up",97272000,73292000,86417000,-13125000,23980000,-39000,12995000,11024000,-2168000,95104000,-54326000,-54326000,40778000,40778000,40533000,-7004000,33529000,33529000,33529000,33529000,100845000,2748405000,6276204000,-46334000,6322538000,128583000,588339000,31963000,371080000,10245419000,7226326000,2522301000,4704025000,207653000,1331318000,77096000,8842393000,0,777962000,673174000,-48110000,1403026000,1403026000,10245419000,31907000,-328000,-485350000,19923000,-462249000,-11450000,246493000,560000,183012000,413615000,-16727000,-16727000,-16727000,1538971000,0.41922,0.34469,0.0239,0.00327,6.30237,0.15021,0.76115,0.75912,2.20818,31.85025,0.25993,0.00439,0.3415,35.2672
"32","2018_Q3",40.0488888888889,"Up",105755000,82244000,98786000,-16542000,23511000,358000,12708000,10445000,-1708000,104047000,-58131000,-58131000,45916000,45916000,40504000,-7335000,33169000,33169000,33169000,33169000,155559000,2829811000,6745261000,-47638000,6792899000,131502000,661616000,33868000,388967000,10946584000,7668604000,2761884000,4906720000,258067000,1413826000,81981000,9422478000,0,886235000,692820000,-54394000,1524106000,1524106000,10946584000,34946000,-517000,49228000,-18746000,117380000,-12776000,60228000.0000001,-97000,-146967000,-97611999.9999999,54714000,54714000,54714000,1671893000,0.43417,0.31364,0.02176,0.00303,6.1823,0.15273,0.71313,0.71078,2.27372,32.76814,0.27468,0.0042,0.38518,33.02409
"33","2018_Q4",34.3452380952381,"Down",116157000,89933000,108393000,-18460000,26224000,84000,14414000,11726000,-1035000,115122000,-65309000,-65309000,49813000,49813000,39002000,-6516000,32486000,32486000,32486000,32486000,273680000,3046554000,7677521000,-48902000,7726423000,159284000,928083000,39465000,474892000,12599479000,8941758000,3163284000,5778474000,294281000,1320998000,115173000,10672210000,0,1278764000,709477000,-60957000,1927269000,1927269000,12599479000,55591000,-1555000,5251000,64230000,260431000,-13525000,-106578000,690000,-56488000,-197901000,118121000,118121000,118121000,1615279000,0.42884,0.27967,0.01686,0.00258,5.53748,0.1282,0.64542,0.64342,2.30778,38.29055,0.26871,0.00365,0.41633,26.93271
"34","2019_Q1",34.1552459016393,"Down",128328000,101767000,121361000,-19594000,26561000,-1303000,15362000,12502000,-2853000,125475000,-69598000,-69598000,55877000,55877000,54485000,-10557000,43928000,43928000,43928000,43928000,169186000,3146800000,7607333000,-48948000,7656281000,166925000,918850000,38853000,410685000,12458632000,8831633000,3101159000,5730474000,290522000,1244016000,113634000,10479805000,-164302.127824878,1280459000,737581000,-38939000,1978827000,1978827000,12458632000,69447000,-2269000,-70239000,105087000,32579000,-15826000,-81258000,-1000.00000000012,-109435000,-206520000,-104494000,-104494000,-104494000,1534538000,0.43542,0.34231,0.0222,0.00353,5.29597,0.12317,0.80365,0.80207,2.34771,36.20189,0.28953,0.0048,0.36027,24.43496
"35","2019_Q2",32.9336507936508,"Down",126134000,98361000,119053000,-20692000,27773000,657000,15524000,11592000,-2507000,123627000,-71325000,-71325000,52302000,52302000,49195000,-8858000,40337000,40337000,40337000,40337000,336894000,3093551000,7617215000,-48866000,7666081000,180651000,915597000,39662000,417838000,12601408000,8916331000,3097242000,5819089000,301547000,1211428000,148963000,10578269000,-5.82076609134674e-11,1281519000,761002000,-19153000,2023139000,2023139000,12601408000,51190000,-2181000,76399000,-5287000,68931000,-15824000,-21847000,20000,85238000,47587000,167708000,167708000,167708000,1512975000,0.41465,0.31979,0.01994,0.0032,5.22864,0.12006,0.73879,0.73734,2.31021,37.05485,0.28982,0.00446,0.39229,22.48635
