"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_investment_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",12.28484375,"Up",730000,-13705000,-3392000,-10313000,-12975000,105000,103000,-12870000,795000,-12075000,-12075000,-12075000,-12075000,-12075000,158234000,31555000,126679000,2153000,2153000,160395000,1784000,17410000,4335000,4335000,23529000,183924000,8037000,496000,496000,13878000,25093000,25093000,25093000,38971000,876745000,-731748000,-44000,144953000,144953000,183924000,-12075000,175000,1614000,12198000,1912000,-46000,-35031000,-35077000,966000,966000,966000,-32199000,-32199000,-32199000,-12800000,5345000,-0.0833,-0.06565,11.5575,0.26885,0.02906,-0.18131,-0.18131,0.01096,2.17647,-0.06885,11.94445,11.78335
"12","2013_Q3",13.74609375,"Up",730000,-13897000,-3370000,-10527000,-13167000,125000,121000,-13042000,8e+05,-12242000,-12242000,-12242000,-12242000,-12242000,153696000,44313000,109383000,2119000,2119000,155853000,1876000,12749000,4335000,4335000,18960000,174813000,9533000,402000,402000,14573000,24224000,24224000,24224000,38797000,880050000,-743990000,-44000,136016000,136016000,174813000,-12242000,172000,1637000,573000,-9860000,-277000,21238000,20993000,1625000,1625000,1625000,12758000,12758000,12758000,-12995000,4638000,-0.09,-0.07003,10.69464,0.28524,0.02653,-0.18327,-0.18327,0.0109300000000001,2.0362,-0.07425,11.47041,11.32057
"13","2013_Q4",9.758125,"Down",729000,-12735000,-3245000,-9490000,-12006000,88000,93000,-11918000,787000,-11131000,-11131000,-11131000,-11131000,-11131000,156911000,34889000,122022000,2232000,2232000,159218000,1739000,675000,4335000,4335000,6749000,165967000,8979000,409000,409000,13321000,23354000,23354000,23354000,36675000,884422000,-755121000,-9000,129292000,129292000,165967000,-11131000,168000,1713000,-1530000,-10780000,7000,-1280000,-1305000,2661000,2661000,2661000,-9424000,-9424000,-9424000,-11838000,3933000,-0.08609,-0.06707,11.95241,0.28366,0.0237,-0.16564,-0.16564,0.01085,1.92402,-0.07109,12.92262,12.7418
"14","2014_Q1",17.1047540983607,"Up",730000,-12260000,-3342000,-8918000,-11530000,1e+05,85000,-11430000,788000,-10642000,-10642000,-10642000,-10642000,-10642000,145739000,44789000,100950000,2723000,2723000,148462000,1771000,0,4443000,4443000,6214000,154676000,8056000,416000,416000,11699000,22567000,22567000,22567000,34266000,886168000,-765763000,4999.99999999999,120410000,120410000,154676000,-10642000,156000,1670000,-2063000,-10879000,-189000,21026000,20729000,49999.9999999925,49999.9999999925,49999.9999999925,9900000.00000001,9900000.00000001,9900000.00000001,-11374000,3227000,-0.08838,-0.0688,12.69014,0.28458,0.02086,-0.15799,-0.15799,0.01084,1.78761,-0.07279,12.52963,12.3601
"15","2014_Q2",14.1120634920635,"Down",0,-12725000,-4153000,-8572000,-12725000,89000,89000,-12636000,794000,-11842000,-11842000,-11842000,-11842000,-11842000,219862000,105532000,114330000,3342013.26806432,3342013.26806432,221735000,1798000,51320000,4443000,4443000,57561000,279296000,6929000,428000,428000,10608000,21631000,21631000,21631000,32239000,1024856000,-777605000,-194000,247057000,247057000,279296000,-11842000,178000,2276000,-379000,-9767000,-215000,-65516000,-65731000,136241000,136241000,136241000,60743000,60743000,60743000,-12547000,3251000,-0.04793,-0.0424,20.90262,0.13049,0.01164,-0.16855,-0.16855,0,3.51633,-0.04355,17.26397,17.02248
"16","2014_Q3",14.94546875,"Up",-1.16415321826935e-10,-14361000,-4200000,-10161000,-14361000,170000,167000,-14191000,810000,-13381000,-13381000,-13381000,-13381000,-13381000,194656000,37445000,157211000,3886433.40745687,3886433.40745687,197575000,2239000,65282000,4443000,4443000,71964000,269539000,8285000,441000,441000,12053000,20641000,20641000,20641000,32694000,1027957000,-790986000,-126000,236845000,236845000,269539000,-13381000,208000,3e+06,208000,-9965000,-644000,-57752000,-58396000,274000.00000003,274000.00000003,274000,-68087000,-68087000,-68087000,-14153000,3327000,-0.0565,-0.04964,16.39218,0.13804,0.01234,-0.17635,-0.17635,-1.73472347597681e-18,3.12135,-0.0513,13.51862,13.32282
"17","2014_Q4",18.94640625,"Up",0,-16857000,-4663000,-12194000,-16857000,176000,176000,-16681000,806000,-15875000,-15875000,-15875000,-15875000,-15875000,179674000,29046000,150628000,4194000,4194000,183868000,2292000,67148000,4443000,4443000,73883000,257751000,10207000,454000,454000,14045000,19669000,19669000,19669000,33714000,1031105000,-806861000,-207000,224037000,224037000,257751000,-15875000,217000,3016000,543000,-12099000,-269000,3485000,3216000,484000,484000,484000,-8399000,-8399000,-8399000,-16640000,3384000,-0.07086,-0.06159,13.09135,0.15048,0.01313,-0.20902,-0.20902,0,2.94987,-0.06425,10.59435,10.45797
"18","2015_Q1",35.7706557377049,"Up",9.31322574615479e-10,-20468000,-4970000,-15498000,-20468000,212000,197000,-20256000,812000,-19444000,-19444000,-19444000,-19444000,-19444000,193809000,31014000,162795000,4394000,4394000,198203000,2507000,37492000,4831000,4831000,44830000,243033000,11754000,467000,467000,15664000,18670000,18670000,18670000,34334000,1035281000,-826305000,-277000,208699000,208699000,243033000,-19444000,224000,2674000,1237000,-15309000,-439000,16372000,15545000,1732000,1732000,1732000,1967999.99999999,1967999.99999999,1967999.99999999,-20244000,3443000,-0.09317,-0.08001,12.65341,0.16451,0.01417,-0.2551,-0.2551,-6.93889390390723e-18,2.73808,-0.08424,9.40357999999999,9.30065999999999
"19","2015_Q2",42.4022222222222,"Up",19769000,-22057000,-5482000,-16575000,-2288000,257000,257000,-2031000,839000,-1192000,-1192000,-1192000,-1192000,-1192000,370007000,170262000,199745000,4916000,4916000,404953000,2543000,115452000,4831000,4831000,122826000,527779000,11208000,479000,479000,15187000,27862000,17631000,27862000,43049000,1312406000,-827497000,-179000,484730000,484730000,527779000,-1192000,244000,3745000,-20980000,-18183000,-271000,-115823000,-116094000,273525000,273525000,273525000,139248000,139248000,139248000,-2044000,3500000,-0.00246,-0.00226,26.66445,0.08881,0.00663,-0.01484,-0.01484,0.24604,6.03281,-0.00231,179.30871,160.18663
"20","2015_Q3",48.33328125,"Up",-3.72529029846191e-09,-25322000,-6603000,-18719000,-25322000,506000,506000,-24816000,829000,-23987000,-23987000,-23987000,-23987000,-23987000,384720000,132070000,252650000,4696000,4696000,389416000,2802000,114172000,4815000,4815000,121789000,511205000,13427000,556000,556000,17553000,26712000,16481000,26712000,44265000,1318828000,-851484000,-404000,466940000,466940000,511205000,-23987000,251000,5482000,32215000,13961000,-510000,-53418000,-53912000,1758999.99999994,1758999.99999994,1758999.99999994,-38192000,-38192000,-38192000,-25071000,3570000,-0.05137,-0.04692,22.18515,0.0948,0.00698,-0.28049,-0.28049,5.55111512312578e-17,5.46014,-0.04824,15.20282,15.05213
"21","2015_Q4",50.825,"Up",0,-35844000,-11456000,-24388000,-35844000,581000,581000,-35263000,828000,-34435000,-34435000,-34435000,-34435000,-34435000,376845000,66378000,310467000,5940000,5940000,382785000,2874000,101986000,4791000,4791000,109651000,492436000,15711000,481000,481000,19822000,25671000,15440000,25671000,45493000,1333471000,-885919000,-609000,446943000,446943000,492436000,-34435000,244000,14779000,840000,-18572000,-316000,-47568000,-47860000,740000,740000,740000,-65692000,-65692000,-65692000,-35600000,3630000,-0.07705,-0.06993,19.31112,0.10179,0.00737,-0.40108,-0.40108,0,5.20573,-0.07231,10.48357,10.4122
"22","2016_Q1",39.6818032786885,"Down",1.86264514923096e-09,-30748000,-8939000,-21809000,-30748000,595000,584000,-30153000,838000,-29315000,-29315000,-29315000,-29315000,-29315000,379191000,74195000,304996000,4883000,4883000,384074000,3432000,82488000,4791000,4791000,90711000,474785000,21595000,428000,428000,25715000,24616000,14385000,24616000,50331000,1340665000,-915234000,-977000,424454000,424454000,474785000,-29315000,270000,7068000,6774000,-15203000,-828000,22880000,22052000,968000.000000007,968000.000000007,967999.999999993,7817000,7817000,7817000,-30478000,3692000,-0.06907,-0.06174,14.9358,0.11858,0.00778,-0.33984,-0.33984,1.38777878078145e-17,4.92058,-0.06475,12.32033,12.21214
"23","2016_Q2",46.0396875,"Up",1.5e+07,-35857000,-11954000,-23903000,-20857000,737000,737000,-20120000,856000,-19264000,-19264000,-19264000,-19264000,-19264000,381524000,115301000,266223000,4377000,4377000,400984000,3897000,49460000,4991000,4991000,58348000,459332000,19248000,234000,234000,23276000,23097000,12866000,23097000,46373000,1347645000,-934498000,-188000,412959000,412959000,459332000,-19264000,276000,7395000,-17618000,-29211000,-738000,71193000,70255000,62000,62000,62000,41106000,41106000,41106000,-20581000,3794000,-0.04665,-0.04194,17.22736,0.11229,0.00826,-0.22271,-0.22271,0.17342,4.77426,-0.0438,18.35334,18.11047
"24","2016_Q3",49.80265625,"Up",-1.86264514923096e-09,-41828000,-14965000,-26863000,-41828000,680000,680000,-41148000,868000,-40280000,-40280000,-40280000,-40280000,-40280000,387398000,86246000,301152000,4568000,4568000,391966000,5811000,27178000,4883000,4883000,37872000,429838000,22779000,259000,259000,26899000,21901000,11670000,21901000,48800000,1355855000,-974778000,-39000,381038000,381038000,429838000,-40280000,324000,7377000,18244000,-14335000,-2233000,-13531000,-15656000,936000,936000,935999.999999999,-29055000,-29055000,-29055000,-41504000,3861000,-0.10571,-0.09371,14.57177,0.12807,0.00898,-0.46462,-0.46462,2.77555756156289e-17,4.39521,-0.09902,9.24096,9.16938
"25","2016_Q4",45.2674603174603,"Down",0,-38436000,-17494000,-20942000,-38436000,705000,705000,-37731000,844000,-36887000,-36887000,-36887000,-36887000,-36887000,353042000,99761000,253281000,4849000,4849000,357891000,6180000,30207000,4883000,4883000,41270000,399161000,22473000,265000,265000,26666000,20844000,10613000,20844000,47510000,1363503000,-1011665000,-187000,351651000,351651000,399161000,-36887000,408000,6114000,-645000,-31010000,-777000,43973000,43196000,1329000,1329000,1329000,13515000,13515000,13515000,-38028000,3928000,-0.1049,-0.09241,13.42125,0.13511,0.00984,-0.42504,-0.42504,0,4.05203,-0.09799,9.18045,9.083
"26","2017_Q1",42.843064516129,"Down",4.65661287307739e-10,-46251000,-23668000,-22583000,-46251000,729000,716000,-45522000,863000,-44659000,-44659000,-44659000,-44659000,-44659000,307350000,83267000,224083000,3092000,3092000,310442000,6271000,43490000,4883000,4883000,54644000,365086000,26182000,236000,236000,30414000,19795000,9564000,19795000,50209000,1371519000,-1056324000,-318000,314877000,314877000,365086000,-44659000,445000,7373000,5216000,-31625000,-347000,15415000,15160000,63000,63000,63000.0000000075,-16402000,-16402000,-16402000,-45806000,3996000,-0.14183,-0.12232,10.20721,0.15946,0.01095,-0.51405,-0.51405,0,3.6244,-0.13187,6.62258,6.55886
"27","2017_Q2",48.5050793650794,"Up",0,-79932000,-28050000,-51882000,-79932000,727000,727000,-79205000,879000,-78326000,-78326000,-78326000,-78326000,-78326000,235580000,64087000,171493000,3871000,3871000,239451000,7144000,37686000,5083000,5083000,49913000,289364000,19255000,243000,243000,23563000,18660000,8429000,18660000,42223000,1382026000,-1134650000,-235000,247141000,247141000,289364000,-78326000,489000,8252000,-7772000,-77357000,-1362000,58208000,56846000,1531000,1531000,1531000,-18980000,-18980000,-18980000,-79443000,4065000,-0.31693,-0.27068,10.16216,0.17085,0.01405,-0.89738,-0.89738,0,2.83149,-0.29024,2.91423,2.8964
"28","2017_Q3",52.765873015873,"Up",6335000,-63542000,-41674000,-21868000,-57268000,-3596000,1171000,-60864000,879000,-59985000,-59985000,-59985000,-59985000,-59985000,525020000,309498000,215522000,5529000,5529000,536751000,6954000,205768000,4613000,4613000,217335000,754086000,26809000,181000,181000,27721000,20446000,10215000,381127000,408848000,1540586000,-1194635000,-713000,345238000,345238000,754086000,-59985000,589000,12069000,-911999.999999996,-48239000,-397000,-212916000,-213313000,3712000,3712000,506493000,244941000,244941000,244941000,-56679000,361412000,-0.17375,-0.07955,19.36261,1.18425,0.47927,-0.68113,-0.68113,0.07193,3.92017,-0.0825,2.88657,2.85688
"29","2017_Q4",68.2093650793651,"Up",60774000,-66336000,-43873000,-22463000,-5995000,-3372000,3965000,-9367000,-1758000,-11125000,-11125000,-11125000,-11125000,-11125000,511018000,267818000,243200000,7407000,7407000,548485000,9140000,210258000,4613000,4613000,224011000,772496000,37289000,121000,121000,38141000,21733000,11502000,386843000,424984000,1553806000,-1205760000,-534000,347512000,347512000,772496000,-11125000,616000,15971000,-14772000,-9310000,-2797000,-32595000,-35392000,3022000,3022000,3022000,-41680000,-41680000,-41680000,-5379000,365841000,-0.03201,-0.0144,14.38046,1.22293,0.47358,-0.12595,-0.12595,0.68802,3.93416,-0.01513,26.98959,24.21635
"30","2018_Q1",84.445737704918,"Up",94517000,-81923000,-56309000,-25614000,11834000,-4940000,2479000,6894000,-2053931.74542644,6894000,6894000,6894000,6894000,6894000,515929000,254712000,261217000,6839000,6839000,554919000,10811000,247361000,4500000,4500000,262672000,817591000,53520000,906000,906000,54426000,21409000,11178000,391027000,445453000,1572854000,-1198866000,-1850000,372138000,372138000,817591000,6894000,706000,18326000,14649000,40575000,-2377000,-57017000,-59394000,5600000,5600000,5600000,-13219000,-13219000,-13219000,12540000,369618000,0.01853,0.00843,10.19584,1.19701,0.45208,0.0777500000000001,0.07775,1.06589,4.1967,0.00903000000000001,-11.66754,-12.36361
"31","2018_Q2",89.51328125,"Up",71086000,-107583000,-58636000,-48947000,-37447000,-4572000,2932000,-42019000,201000.000000001,-41818000,-41818000,-41818000,-41818000,-41818000,460479000,175311000,285168000,8613000,8613000,513716000,11825000,276319000,4500000,4500000,292644000,806360000,45650000,85000,85000,46466000,21198000,10967000,395407000,441873000,1608868000,-1240684000,-3697000,364487000,364487000,806360000,-41818000,786000,24753000,-22207000,-38486000,-1782000,-55268000,-57050000,16135000,16135000,16135000,-79401000,-79401000,-79401000,-36661000,374940000,-0.11473,-0.05186,11.05574,1.21231,0.46498,-0.4671,-0.4671,0.79403,4.0713,-0.05498,2.33324,2.28427
"32","2018_Q3",113.458412698413,"Up",96905000,-97903000,-60915000,-36988000,-1852000,-4226000,3365000,-6078000.00000001,165000,-5912999.99999999,-5913000,-5913000,-5913000,-5913000,508740000,166422000,342318000,16291000,16291000,567677000,18775000,249388000,5477000,5477000,273640000,841317000,61031000,731000,731000,61762000,23234000,13003000,402119000,463881000,1626842000,-1246597000,-2809000,377436000,377436000,841317000,-5913000,883000,16888000,8621000,20479000,-4631000,-29883000,-34514000,6123000,6123000,6123000,-7912000,-7912000,-7912000,-969000,378885000,-0.01567,-0.00703,9.19136,1.22903,0.45035,-0.0656299999999999,-0.0656300000000001,1.07553,4.18908,-0.00759,134.00929,70.11609
"33","2018_Q4",95.8060317460317,"Down",151757000,-95883000,-60401000,-35482000,54323000,-3193000,4479000,51130000,-365999.999999998,50764000,50764000,50764000,50764000,50764000,635343000,195734000,439609000,18900000,18900000,714394000,28618000,185257000,5477000,5477000,219352000,933746000,72022000,731000,731000,456400000,29833000,19602000,29833000,486233000,1645402000,-1195833000,-2056000,447513000,447513000,933746000,50764000,1080000,18142000,-1069000,68917000,-12359000,-32736000,-45095000,5490000,5490000,5490000,29312000,29312000,29312000,55403000,383647000,0.11344,0.05437,1.56528,1.08652,0.41087,0.56059,0.52443,1.67585,4.94189,0.05896,-4.543,-4.63332
"34","2019_Q1",83.5822950819672,"Down",131452000,-103331000,-68948000,-34383000,26576000,-3009000,4724000,23567000,-4800000,18767000,18067000,18067000,18067000,18067000,650913000,141714000,509199000,19760000,19760000,737777000,33869000,216028000,5477000,5477000,255374000,993151000,86377000,1856000,1856000,88233000,35657000,25426000,424153000,512386000,1660452000,-1177755000,-1932000,480765000,480765000,993151000,18067000,1251000,18217000,12955000,50490000,-6028000,-100213000,-106241000,1752000,1752000,1752000,-53999000,-53999000,-53999000,27827000,388496000,0.03758,0.01819,8.36169,1.06577,0.39118,0.19907,0.17187,1.44836,5.29716,0.01997,-9.4303,-9.87421000000001
"35","2019_Q2",82.1088888888889,"Down",138403000,-125190000,-87538000,-37652000,12084000,-3277000,10927900.1217734,8807000,-111401000,-102594000,-102115000,-102115000,-102115000,-102115000,524068000,72778000,451290000,24150000,24150000,633192000,36661000,233089000,54781000,54781000,324531000,957723000,68280000,3723000,3723000,72003000,83010000,83010000,476445000,548448000,1681335000,-1271827000,-233000,409275000,409275000,957723000,-102100000,1600000,20500000,-32500000,-112500000,-3900000,44900000,4.1e+07,2600000,2600000,2600000,-68900000,-68900000,-68900000,13684000,393435000,-0.2495,-0.10662,8.79397,1.34005,0.4108,-1.12145,-1.12145,1.51998,4.49476,-0.11529,-9.5464,-10.81041
"36","2019_Q3",93.426875,"Up",183580000,-142511000,-80824000,-61687000,39461000,-3335000,19832597.8914723,36126000,15965000,52091000,51338000,51338000,51338000,51338000,619978000,140985000,478993000,21455000,21455000,748808000,39623000,223868000,54562000,54562000,318053000,1066861000,95027000,5562000,5562000,100589000,84100000,84100000,482566000,583155000,1703550000,-1220489000,645000,483706000,483706000,1066861000,51300000,1800000,22600000,-11500000,64200000,-4500000,4199999.99999997,-3e+05,4300000,4300000,4300000,68200000,68200000,68200000,41261000,398466000,0.10613,0.04812,7.44423,1.2056,0.37349,0.56171,0.56171,2.00862,5.29242,0.05313,-5.36856,-5.61344
"37","2019_Q4",104.70125,"Up",222017000,-129799000,-84438000,-45361000,90055000,-3188000,24801996.715435,86867000,-28464000,58403000,53777000,53777000,53777000,53777000,670162000,166637000,503525000,22954000,22954000,819232000,40302000,253708000,66693000,66693000,360703000,1179935000,102357000,13295000,13295000,115652000,86179000,86179000,489768000,605420000,1739609000,-1166700000,1606000,574515000,574515000,1179935000,53800000,2e+06,25300000,16700000,97800000,-3500000,-82100000,-85600000,13100000,13100000,13100000,25300000,25300000,25300000,92055000,403589000,0.0936,0.04558,7.0836,1.05379,0.34204,0.58537,0.52089,2.4167,6.2537,0.05053,-2.8958,-2.96011
