"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",36.6115625,"Down",32451000,-21084000,-18280000,-2804000,11367000,11367000,-865000,10502000,-3489000,7013000,7013000,7013000,7013000,80340000,23883000,56457000,19997000,19997000,8943000,2309000,109280000,2914000,54023000,25866000,25091000,56937000,166217000,24448000,5060000,18083000,33550000,2530000,2530000,2530000,36080000,139968000,-35976000,29917000,130137000,130137000,166217000,7013000,680000,4080000,-5025000,6748000,-140000,-140000,-4322000,-9000,-4331000,2277000,2277000,1116000,12047000,0,10371000,0.35028,0.21611,0.05389,0.04219,1.47883,3.25723,0.27725,0,0.89815,0.87258,4.15599,16.66663,1.32821,0.55352,0.08544,0.07817,0.61628,-6.66888,-7.06783
"22","2016_Q1",33.1734426229508,"Down",31566000,-22136000,-19153000,-2983000,9430000,9430000,-842000,8588000,-3901000,4687000,4687000,4687000,4687000,95060000,22740000,72320000,19618000,19618000,2926000,2926000,117604000,2192000,61540000,23354000,27144000,63732000,181336000,35830000,5749000,23813000,44853000,2516000,2516000,2516000,47369000,143891000,-34910000,29674000,133967000,133967000,181336000,4687000,1039000,3703000,-5821000,3608000,-247000,-246999.999999996,-3554000,-4000,-3558000,-197000,-197000,-1143000,10469000,0,8302000,0.29874,0.14848,0.03499,0.02585,1.77128,2.62199,0.35359,0,0.59966,0.53639,4.03859,17.13989,1.06217,0.4547,0.06038,0.06083,0.75827,-9.08014,-10.08059
"23","2016_Q2",37.90703125,"Up",29129000,-22787000,-19177000,-3610000,6342000,6342000,-696000,5646000,-2124000,3522000,3522000,3522000,3522000,71180000,26425000,44755000,25796000,25796000,2263000,2263000,99239000,4027000,61186000,22864000,27144000,65213000,164452000,23413000,5758000,9221000,32722000,2719000,2719000,2719000,35441000,147823000,-43631000,28204000,129011000,129011000,164452000,3522000,748000,3769000,9186000,17225000,-378000,-378000,-5724000,-4145000,-14280000,2567000,2567000,3685000,7090000,0,18022000,0.21772,0.12091,0.0273,0.02142,5.11698,3.03279,0.27471,0,0.44795,0.43767,3.70483,16.4085,2.29216,0.72802,0.07019,0.13681,1.62521,-10.03949,-11.22359
"24","2016_Q3",35.13765625,"Down",31023000,-21680000,-18321000,-3359000,9343000,9343000,-831000,8512000,-2851000,5661000,5661000,5661000,5661000,73924000,29124000,44800000,21376000,21376000,2159000,2159000,97459000,3908000,60661000,22374000,27144000,64569000,162028000,21332000,5924000,12299000,21332000,3080000,3080000,3080000,24412000,155623000,-43641000,28862000,137616000,137616000,162028000,5661000,726000,3928000,3070000,13385000,-616000,-616000,-4558000,-9.31322574615479e-10,-10130000,2639000,2639000,2699000,10069000,0,15374000,0.30116,0.18248,0.04114,0.03494,2.71577,4.56868,0.17739,0,0.70761,0.69265,3.87777,17.20154,1.9217,0.56973,0.07263,0.10927,0.80516,-7.34174,-7.91223
"25","2016_Q4",38.3952380952381,"Up",31777000,-21969000,-18192000,-3777000,9808000,9808000,-755000,9053000,-3166000,5887000,5887000,5887000,5887000,80541000,30692000,49849000,22810000,22810000,2355000,2355000,105706000,4014000,59978000,21884000,27144000,63992000,169698000,25483000,6146000,16855000,25483000,3363000,3363000,3363000,28846000,159714000,-44863000,29682000,140852000,140852000,169698000,5887000,728000,4015000,-2243000,8387000,-686000,-686000,-4545000,-14000,-5767000,1934000,1934000,1568000,10536000,0,10773000,0.30865,0.18526,0.0418,0.03469,1.82996,4.1481,0.2048,0,0.73627,0.71969,3.97427,17.61601,1.34735,0.56843,0.07234,0.0747,0.77204,-7.64436,-8.21177
"26","2017_Q1",39.188064516129,"Up",31092000,-19782000,-17171000,-2611000,11310000,11310000,-511000,10799000,-3222000,7577000,7577000,7577000,7577000,90164000,33679000,56485000,23429000,23429000,2364000,2364000,115957000,4280000,59441000,21394000,27144000,63721000,179678000,29668000,6679000,19841000,29668000,3941000,3941000,3941000,33609000,162828000,-44353000,31881000,146069000,146069000,179678000,7577000,727000,3985000,-3894000,8395000,-130000,-130000,-4615000,-147000,-4767000,3498000,3498000,2987000,12037000,0,11235000,0.36376,0.2437,0.05187,0.04217,1.48278,3.90849,0.23009,0,0.9484,0.9171,3.89174,18.28326,1.40627,0.57765,0.08127,0.0749,0.60908,-7.49057,-7.97206
"27","2017_Q2",38.3504761904762,"Down",32623000,-23990000,-20738000,-3252000,8633000,8633000,-863000,7770000,-1706000,6064000,6064000,6064000,6064000,75412000,30626000,44786000,25208000,25208000,2386000,2386000,103006000,4190000,58908000,20904000,27144000,63098000,166104000,18077000,6328000,7742000,18077000,3191000,3191000,3191000,21268000,168028000,-50868000,31756000,144836000,144836000,166104000,6064000,730000,3613000,-466000,9941000,-150000,-150000,-6564000,-6515000,-13079000,-3288000,-3288000,-3053000,9363000,0,10453000,0.26463,0.18588,0.04187,0.03651,1.72378,5.69818,0.14684,0,0.75181,0.7296,4.0446,17.95675,1.29596,0.8138,0.08531,0.07062,1.08245,-8.05426,-8.73532
"28","2017_Q3",41.9034920634921,"Up",33756000,-22264000,-19063000,-3201000,11492000,11492000,-909000,10583000,-3687000,6896000,6896000,6896000,6896000,88808000,43143000,45665000,23061000,23061000,1914000,1914000,113783000,4100000,58049000,20414000,27144000,62149000,175932000,21227000,6491000,12747000,21227000,3381000,3381000,3381000,24608000,172196000,-50868000,33142000,151324000,151324000,175932000,6896000,729000,4511000,4745000,16881000,-95000,-95000,-5110000,0,-5110000,11676000,11676000,12517000,12221000,0,20558000,0.34044,0.20429,0.04557,0.0392,2.98115,5.3603,0.16262,0,0.84435,0.82919,4.13308,18.52808,2.51712,0.62567,0.07761,0.13289,0.74101,-7.26684,-7.72781
"29","2017_Q4",47.0187301587302,"Up",33492000,-22754000,-19218000,-3536000,10738000,10738000,-4986000,5752000,-1620000,4132000,4132000,4132000,4132000,99529000,51436000,48093000,22163000,22163000,9005000,6261000,130697000,4103000,56562000,19945000,27144000,60665000,191362000,24365000,6666000,16977000,32383000,3550000,3550000,3550000,35933000,176429000,-50910000,31759000,155429000,155429000,191362000,4132000,712000,5116000,2665000,12625000,-292000,-292000,-5113000,-42000,-5155000,7178000,7178000,8293000,11450000,0,15443000,0.32061,0.12337,0.02658,0.02159,3.73742,4.03598,0.23119,0,0.50564,0.49069,4.09848,19.02015,1.88979,0.62569,0.05815,0.09714,1.23742,-8.69249,-9.26886
"30","2018_Q1",43.5554098360656,"Down",33914000,-21342000,-17630000,-3712000,12572000,12572000,-2784000,9788000,-6891000,2897000,2897000,2897000,2897000,105573000,54249000,51324000,21660000,21660000,10881000,6612000,138114000,4190000,50355000,19804000,27144000,54545000,192659000,31531000,7357000,22576000,31531000,4732000,3715000,4732000,36263000,179341000,-49788000,28607000,156396000,156396000,192659000,2897000,745000,10115000,-5195000,8562000,-630000,-630000,-5136000,-97000.0000000005,-5233000,2699000,2699000,2813000,13317000,0,14383000,0.3707,0.08542,0.01852,0.01504,4.96479,4.38026,0.23187,0,0.35389,0.33877,4.1429,19.10517,1.75701,0.62741,0.04985,0.08926,1.77287,-7.92769,-8.39747
