"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",22.423125,"Up",322006000,-212117000,109889000,-87379000,-87379000,22510000,2474000,50000,2424000,24984000,24984000,-8286000,16698000,17163000,-99000,17064000,17064000,111981000,111981000,163224000,163224000,159060000,60295000,37699000,494560000,120222000,97429000,18010000,29926000,49493000,217651000,712211000,146482000,50369000,96113000,146809000,79287000,79287000,86589000,233398000,289572000,52390000,237182000,213596000,-31156000,472012000,6801000,478813000,712211000,17163000,5872000,-2690000,15566000,35911000,-9656000,2135000,-7496000,-117000,-1205000,-1205000,384000,-3057000,25358000,25358000,15000,25373000,28382000,7629000,42578000,0.34126,0.06991,0.05299,0.03564,0.02396,2.49519,3.36873,0.48745,0.01071,0.32544,0.32036,6.14129,9.00219,0.81205,0.03391,0.07526,-3.6767,-4.63581
"12","2014_Q1",23.7511475409836,"Up",328029000,-208504000,119525000,-92470000,-89990000,27055000,644000,-49000,693000,27699000,27548000,-8608000,18940000,18492000,-184000,18308000,18308000,131085000,131085000,160005000,160005000,146343000,63447000,42807000,500880000,118060000,101431000,17675000,30572000,53184000,219491000,720371000,149650000,50542000,99108000,150163000,70664000,70664000,78240000,228403000,294280000,52392000,241888000,226044000,-35496000,484828000,7140000,491968000,720371000,18492000,6029000,-13765000,24232000,34988000,-1149000,-7232000,-11269000,-139000,-5116000,-5116000,2819000,-4553000,19166000,19166000,-62000,19104000,33084000,8089000,64775000,0.36437,0.08248,0.05581,0.03721,0.02541,3.53807,3.33558,0.46426,0.01123,0.34924,0.33205,6.25735,9.24838,1.23562,0.03579,0.1135,-3.71769,-4.54615
"13","2014_Q2",21.5446031746032,"Down",305502000,-203949000,101553000,-86788000,-86701000,14765000,581000,44000,537000,15346000,15346000,-5445000,9901000,9935000,-345000,9590000,9590000,139500000,139500000,139186000,139186000,158031000,60232000,39818000,496949000,113254000,103803000,17675000,29759000,56369000,217057000,714006000,136855000,52449000,84406000,144419000,74608000,74608000,75001000,219420000,300227000,52489000,247738000,223333000,-35745000,487815000,6771000,494586000,714006000,9935000,5847000,2735000,-5497000,13020000,-1138000,2126000,982000,-132000,-7071000,-7071000,4040000,-5273000,8729000,8729000,-314000,8415000,20612000,7957000,19422000,0.33241,0.04833,0.03139,0.01939,0.01343,2.02523,3.44102,0.44364,0.01114,0.18321,0.18077,5.83654,9.31958,0.37105,0.02027,0.03365,-6.38186,-8.90911
"14","2014_Q3",18.9515625,"Down",352271000,-229727000,122544000,-96426000,-96568000,26118000,-236000,43000,-279000,25882000,25882000,-8425000,17457000,17017000,-273000,16744000,16744000,136245000,136245000,159509000,159509000,158582000,62661000,44344000,516997000,121924000,110579000,18464000,32423000,59692000,232503000,749500000,153656000,56463000,97193000,161260000,77420000,77420000,77906000,239166000,304694000,52567000,252127000,233210000,-34977000,502927000,7407000,510334000,749500000,17017000,5814000,495999.999999998,-3934000,19393000,-10944000,-7110000,-17928000,-131000,-6610000,-6610000,4171000,-4674000,-3209000,-3209000,-46000.0000000001,-3255000,31932000,8090000,25479000,0.34787,0.07414,0.04753,0.03281,0.02234,1.52168,3.20598,0.46865,0.01079,0.31871,0.31414,6.7052,9.57282,0.48497,0.03163,0.04276,-4.01337,-4.90677
"15","2014_Q4",20.69671875,"Up",346525000,-224786000,121739000,-95855000,-95915000,25884000,890000,41000,849000,26774000,26774000,-8916000,17858000,16871000,-388000,16483000,16483000,140112000,140112000,151917000,151917000,159586000,68460000,49286000,520075000,122422000,121704000,19854000,33927000,67923000,244126000,764201000,153655000,53814000,99841000,163882000,80652000,80652000,80997000,244879000,306822000,52419000,254403000,240628000,-35512000,511938000,7384000,519322000,764201000,16871000,5868000,-249000,7886000,30376000,-8748000,-7838000,-17387000,-171000,-6595000,-6595000,1120000,-8807000,4182000,4182000,-315000,3867000,31752000,7919000,39806000,0.35131,0.0747,0.04757,0.03174,0.02157,2.41497,3.17347,0.47154,0.01036,0.31387,0.30646,6.59859,9.74841,0.75799,0.03231,0.06548,-4.1633,-5.10713
"16","2015_Q1",23.3477049180328,"Up",353020000,-229563000,123457000,-100928000,-95974000,22529000,1028000,85000,943000,23557000,23557000,-8597000,14960000,12557000,-318000,12239000,12239000,149661000,149661000,152614000,152614000,147009000,73389000,58352000,522673000,127535000,121087000,18467000,32430000,70190000,248622000,771295000,159053000,56177000,102876000,167382000,73918000,73918000,74195000,241577000,314882000,51981000,262901000,238384000,-31380000,521886000,7832000,529718000,771295000,12557000,5653000,12426000,-2593000,28043000,-10667000,-6854000,-10683000,-145000,-11821000,-11821000,7169000,-7936000,9424000,9424000,125000,9549000,28182000,7774000,23519000,0.34972,0.06382,0.03467,0.0231,0.01587,1.92164,3.12264,0.45605,0.01008,0.23469,0.22181,6.76945,10.00759,0.451,0.02515,0.03847,-5.03467,-6.29797
"17","2015_Q2",23.7671428571429,"Up",326980000,-215474000,111506000,-95015000,-95015000,16491000,-188000,70000,-258000,16303000,16303000,-5755000,10548000,13045000,36000,13081000,13081000,116309000,116309000,139760000,139760000,161318000,66400000,50843000,483787000,144815000,126523000,18467000,32790000,75266000,271338000,755125000,150600000,58354000,92246000,151706000,76119000,76119000,76326000,228032000,317448000,52529000,264919000,231951000,-30215000,519184000,7909000,527093000,755125000,13045000,5379000,1050000,-20696000,-1222000,-18058000,-5519000,-16288000,-7212000,-6062000,-6062000,380000,-16013000,-33523000,-33523000,171000,-33352000,21870000,583000,-11129000,0.34102,0.05043,0.04001,0.02482,0.01732,-0.85078,3.18898,0.43262,0.00077,0.25064,0.24856,6.26506,9.94777,-0.21324,0.02683,-0.01843,-5.29154,-7.01752
"18","2015_Q3",23.46140625,"Down",365601000,-235706000,129895000,-99703000,-99703000,30192000,240000,88000,152000,30432000,30432000,-10743000,19689000,19974000,-445000,19529000,19529000,115325000,115325000,156403000,156403000,158326000,65375000,49809000,495429000,158596000,116701000,18467000,33227000,65007000,275297000,770726000,158617000,55419000,103198000,159412000,79303000,79303000,79388000,238800000,318851000,51892000,266959000,235400000,-30544000,523707000,8219000,531926000,770726000,19974000,5617000,752999.999999998,6646000.00000001,32990000,-15988000,-878000,-16868000,-146000,-13592000,-13592000,33000,-16860000,-738000,-738000,-246000,-983999.999999993,35809000,438000,37210000,0.35529,0.08258,0.05342,0.03671,0.02534,1.90537,3.10785,0.44893,0.00057,0.37355,0.37059,6.99327,10.01754,0.71176,0.03709,0.06083,-3.20833,-3.80521
"19","2015_Q4",23.79015625,"Up",357876000,-228317000,129559000,-102631000,-102631000,26928000,906000,101000,805000,27834000,27834000,-9477000,18357000,18472000,-524000,17948000,17948000,98410000,98410000,149090000,149090000,160133000,67436000,51654000,475069000,170880000,120864000,20258000,35077000,65529000,291744000,766813000,152740000,49490000,103250000,153071000,82732000,82732000,82783000,235854000,319254000,51266000,267988000,234069000,-31057000,522266000,8693000,530959000,766813000,18472000,5301000,-2862000,2385000,23296000,-13526000,-160000,-19812000,-219000,-16098000,-16098000,317000,-20142000,-16658000,-16658000,-257000,-16915000,32229000,382000,30565000,0.36202,0.07524,0.05015,0.0338,0.02341,1.70298,3.10359,0.4442,5e-04,0.348,0.3432,6.93894,10.12634,0.59263,0.03597,0.04977,-3.04161,-3.64037
"20","2016_Q1",20.8308196721311,"Down",374938000,-241406000,133532000,-103978000,-103978000,29554000,1505000,248000,1257000,31059000,31059000,-10979000,20080000,20480000,-265000,20215000,20215000,98302000,98302000,158548000,158548000,156789000,62812000,51557000,476451000,174036000,124117000,20622000,35072000,68423000,298153000,774604000,154494000,46168000,108326000,154891000,86180000,86180000,86613000,241504000,320779000,50747000,270032000,235506000,-32139000,524146000,8954000,533100000,774604000,20480000,5986000,5866000,-645000,31687000,-13686000,-19999.9999999998,-13705000,-202000,-16101000,-16101000,2259000,-18141000,-158999.999999993,-158999.999999993,51000,-108000,35540000,830000,32188000,0.35614,0.07882,0.05392,0.03792,0.0261,1.59228,3.07604,0.45302,0.00107,0.39619,0.39052,7.34841,10.27274,0.63085,0.03921,0.05191,-2.7426,-3.2981
"21","2016_Q2",23.406875,"Up",341423000,-217191000,124232000,-104266000,-104266000,19966000,2061000,93000,1968000,22027000,22027000,-7904000,14123000,14123000,-447000,13676000,13676000,87519000,87519000,135700000,135700000,178948000,64172000,52943000,466339000,173700000,121558000,20622000,34942000,65994000,295258000,761597000,144752000,48189000,96563000,145184000,83167000,83167000,83829000,229013000,323747000,50562000,273185000,234406000,-34339000,523814000,8770000,532584000,761597000,14123000,6271000,2820000,-21684000,1530000,-6227000,7561000,1334000,-122000,-9171000,-9171000,508000,-12840000,-9976000,-9976000,-807000,-10783000,26237000,1094000,6230000,0.36387,0.05848,0.04006,0.02568,0.01796,0.45554,3.21206,0.43,0.00144,0.27037,0.26793,6.74976,10.35553,0.12316,0.02874,0.0101,-3.29401,-4.32861
"22","2016_Q3",25.24578125,"Up",382891000,-237085000,145806000,-112412000,-112412000,33394000,543000,31000,512000,33937000,33937000,-12278000,21659000,21659000,-707000,20952000,20952000,74566000,74566000,152857000,152857000,181625000,64864000,53241000,473912000,173138000,138974000,41381000,34136000,63457000,312112000,786024000,157963000,45040000,112923000,162307000,79724000,79724000,80346000,242653000,325590000,50289000,275301000,242392000,-33929000,534053000,9318000,543371000,786024000,21659000,6408000,-4985000,-2889000,20193000,-5231000,154999.999999999,-23648000,3839000,-9290000,-9290000,137000,-9371000,-12826000,-12826000,-127000,-12953000,39802000,4966000,43960000,0.3808,0.08722,0.05472,0.03856,0.02666,2.09813,2.91985,0.44657,0.00632,0.41495,0.40995,7.58305,10.57677,0.87062,0.03982,0.06999,-1.74866,-2.08421
"23","2016_Q4",24.3719047619048,"Down",384014000,-236024000,147990000,-113206000,-113206000,34784000,93000,84000,9000,34877000,34877000,-12643000,22234000,22234000,-328000,21906000,21906000,97698000,97698000,142802000,142802000,183245000,57206000,47353000,480951000,173103000,133148000,41381000,31594000,60173000,306251000,787202000,154700000,46017000,108683000,1.55e+08,80442000,80442000,80997000,235997000,327319000,49891000,277428000,249036000,-34664000,541691000,9514000,551205000,787202000,22234000,6629000,6358000,12770000,47991000,-5861000,364000,-5497000,-4132000,-10635000,-10635000,382000,-19410000,23084000,23084000,48000,23132000,41413000,855000,60965000,0.38538,0.09058,0.05704,0.03974,0.02783,2.78303,3.10291,0.42815,0.00109,0.4378,0.43389,7.6746,10.82581,1.2184,0.04258,0.09639,-2.33847,-2.78412
"24","2017_Q1",25.6322580645161,"Up",417070000,-250120000,166950000,-129763000,-129763000,37187000,-2985000,133000,-3118000,34202000,34202000,-11255000,22947000,22947000,-229000,22718000,22718000,112358000,112358000,146545000,146545000,175589000,47480000,47480000,481972000,171590000,146467000,45751000,41683000,59033000,318057000,800029000,157137000,44661000,112476000,157427000,84877000,84877000,85390000,242817000,328670000,49331000,279339000,252472000,-3.4e+07,547142000,10070000,557212000,800029000,22947000,7209000,968000.000000002,13671000,44795000,-4311000,-368000,-9418000,-93000,-14986000,-14986000,-1491000,-21574000,13803000,13803000,198000,14001000,44396000,803000,65011000,0.40029,0.08916,0.05447,0.04077,0.0284,2.86165,3.06156,0.43577,0.001,0.45744,0.45058,8.398,11.0171,1.30904,0.04312,0.10112,-2.51273,-2.99984
"25","2017_Q2",25.4749206349206,"Down",340783000,-206562000,134221000,-111763000,-111763000,22458000,-673000,89000,-762000,21785000,21785000,-7777000,14008000,14008000,-202000,13806000,13806000,117159000,117159000,128959000,128959000,176190000,48065000,48065000,470373000,170835000,156861000,50160000,42612000,64089000,327696000,798069000,151577000,45064000,106513000,151843000,87550000,87550000,87998000,239841000,333149000,49169000,283980000,248636000,-33801000,547984000,10244000,558228000,798069000,14008000,6800000,2176000,12769000,35753000,-5174000,-4025000,-14480000,-89000,-13567000,-13567000,1997000,-16582000,4691000,4691000,116000,4807000,29258000,714000,44630000,0.39386,0.0659,0.04051,0.02473,0.0173,3.23265,3.09776,0.42965,0.00089,0.28115,0.27838,6.93988,11.15943,0.90887,0.02897,0.06903,-3.97994,-5.18501
"26","2017_Q3",26.5488888888889,"Up",376579000,-227195000,149384000,-115526000,-115526000,33858000,-852000,117000,-969000,33006000,33006000,-11901000,21105000,21105000,-272000,20833000,20833000,105571000,105571000,144575000,144575000,186710000,48800000,48800000,485656000,170620000,166768000,59124000,40140000,67504000,337388000,823044000,163373000,46875000,116498000,163627000,86848000,86848000,87240000,250867000,336318000,49028000,287290000,258906000,-33490000,561734000,10443000,572177000,823044000,21105000,7199000,2413000,-12367000,18350000,-4909000,-4032000,-19657000,-67000,-6199000,-6199000,1200000,-10012000,-11319000,-11319000,-265000,-11584000,41057000,646000,35682000,0.39669,0.08991,0.05532,0.03641,0.02531,1.71276,2.96807,0.43844,0.00078,0.42384,0.42075,7.66136,11.42827,0.72594,0.03908,0.05409,-2.55559,-3.09897
"27","2017_Q4",26.391746031746,"Down",389992000,-233185000,156807000,-123235000,-123235000,33572000,-1e+05,-321000,221000,33472000,33472000,-9830000,23642000,23642000,-356000,23286000,23286000,110320000,110320000,143208000,143208000,193695000,50885000,50885000,498108000,169128000,197364000,92558000,37960000,66846000,366492000,864600000,189850000,50998000,138852000,190093000,87237000,87237000,87581000,277674000,337392000,48860000,288532000,272578000,-33785000,576185000,10741000,586926000,864600000,23642000,7312000,3729000,4228000,38911000,-5173000,1178000,-23876000,-61000,-5296000,-5296000,466000,-10292000,4743000,4743000,10000,4753000,40884000,587000,49769000,0.40208,0.08608,0.05971,0.03967,0.02693,2.13729,2.62034,0.4731,0.00068,0.47607,0.47054,7.97318,11.77979,1.0175,0.04252,0.07376,-2.68401,-3.26859
"28","2018_Q1",28.1811475409836,"Up",412706000,-243815000,168891000,-125437000,-125437000,43454000,-977000,23000,-1e+06,42477000,42477000,-14248000,28229000,28229000,-232000,27997000,27997000,141860000,141860000,150846000,150846000,175114000,49602000,49602000,517422000,169132000,202301000,92734000,40131000,69436000,371433000,888855000,198457000,51282000,147175000,198676000,88778000,88778000,89074000,287750000,338104000,48472000,289632000,284698000,-32883000,589919000,11186000,601105000,888855000,28229000,7820000,-2171000,21098000,54976000,-4287000,-2930000,-7217000,-71000,-10895000,-10895000,-177000,-16528000,31231000,31231000,317000,31548000,51274000,515000,82333000,0.40923,0.10529,0.06784,0.04658,0.0315,2.94078,2.60435,0.4787,0.00058,0.57511,0.56807,8.47776,12.11805,1.69128,0.04835,0.11925,-2.75666,-3.25275
"29","2018_Q2",28.3309375,"Up",357079000,-217976000,139103000,-122805000,-122805000,16298000,1935000,186000,1749000,18233000,18233000,-6489000,11744000,11744000,-93000,11651000,11651000,119628000,119628000,134904000,134904000,178508000,55845000,55845000,488885000,171078000,208558000,93204000,38372000,76982000,379636000,868521000,174300000,47352000,126948000,174506000,90777000,90777000,91019000,265525000,341309000,48268000,293041000,280251000,-30248000,591312000,11684000,602996000,868521000,11744000,7758000,4880000,-4874000,19508000,-8687000,-4994000,-29110000,-66000,-11491000,-11491000,377000,-16517000,-26119000,-26119000,851000,-25268000,24056000,448000,16984000,0.38956,0.04564,0.03263,0.01932,0.01341,1.45773,2.80154,0.44034,0.00052,0.24094,0.23853,7.38423,12.22805,0.35122,0.02447,0.02446,-4.95427,-7.31255
