"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","accounts_notes_receivable","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","goodwill","other_intangible_assets","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","provision_for_loan_losses_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q3",42.7661904761905,"Up",29621000,27816000,34193000,-6377000,1805000,320000,1485000,-631000,28990000,-19235000,-567000,-18668000,9755000,9755000,9130000,-1574000,7556000,7556000,7556000,7556000,200645000,342114000,12413000,2334844000,-23831000,2358675000,19049000,39389000,2883000,15089000,2966426000,2313786000,1563999000,749787000,48779000,283973000,2646538000,234006000,90089000,-4207000,319888000,319888000,2966426000,7556000,629000,631000,723000,-2702000,6837000,-370000,154326000,-73402000,80554000,71984000,548000,72532000,159923000,159923000,159923000,10384000,48779000,8886000,0.32933,0.25509,0.02362,0.00255,1.17602,8.27333,0.01644,0.56701,0.5542,2.2228,24.0048,0.66682,0.00255,0.003,-14.625,-15.56802
"12","2018_Q4",35.9253968253968,"Down",29964000,28036000,35336000,-7300000,1928000,352000,1576000,0,29964000,-18968000,-303000,-18665000,10996000,10996000,10800000,-1921000,8879000,8879000,8879000,8879000,191468000,336605000,11609000,2417340000,-23586000,2440926000,18970000,39389000,2688000,17470000,3035539000,2433791000,1644086000,789705000,48839000,224778000,2707408000,235159000,98968000,-5996000,328131000,328131000,3035539000,8879000,685000,0,815000,3859000,14238000,-411000,-151635000,-77513000,-229559000,56005000,773000,56778000,-158543000,-158543000,-158543000,11681000,48839000,17050000,0.36697,0.29632,0.02706,0.00293,1.92026,8.251,0.01609,0.664,0.651,2.2408,24.53866,1.27505,0.00293,0.00562,-12.21034,-12.97099
"13","2019_Q1",34.9027868852459,"Down",48172000,45838000,56303000,-10465000,2334000,553000,1781000,-2964000,45208000,-28206000,-670000,-27536000,17002000,17002000,16162000,-2999000,13163000,13163000,13163000,13163000,268947000,375344000,17010000,3681975000,-26331000,3708306000,41717000,223125000,26587000,20544000,4655249000,3662536000,2453236000,1209300000,48899000,240830000,3952265000,593741000,112131000,-2888000,702984000,702984000,4655249000,13163000,2031000,2964000,-1080000,-3477000,13601000,-1562000,8435000,-94222000,143067000,-171330000,-671000,-79189000,77479000,77479000,77479000,19033000,48899000,16993000,0.35294,0.27325,0.01872,0.00283,1.29097,5.62213,0.0105,0.59886,0.59088,2.19163,31.98289,0.77311,0.00283,0.00365,-11.56139,-12.94248
"14","2019_Q2",33.4180952380952,"Down",47892000,44603000,57149000,-12546000,3289000,487000,2802000,-1002000,46890000,-29942000,-599000,-29343000,16948000,16948000,15775000,-3097000,12678000,12678000,12678000,12678000,258843000,387872000,16194000,3779038000,-27123000,3806161000,60327000,223642000,25409000,17477000,4768802000,3780061000,2598141000,1181920000,48959000,236005000,4065025000,577668000,123094000,3015000,703777000,703777000,4768802000,12678000,1931000,1002000,-1735000,5749000,19625000,-415000,-3609000,-54723000,-91614000,78565000,-16680000,61884999.9999999,-10104000,-10104000,-10104000,18879000,48959000,27310000,0.35388,0.26472,0.01801,0.00266,2.15413,5.77601,0.01027,0.58335,0.57523,2.20365,32.38287,1.25661,0.00266,0.00573,-11.11733,-12.384
"15","2019_Q3",31.9246875,"Down",49416000,45571000,58946000,-13375000,3845000,504000,2495000,-1407000,48009000,-29927000,-527000,-29400000,18082000,18082000,17929000,-3681000,14248000,14248000,14248000,14248000,232607000,390127000,16508000,3830023000,-27940000,3857963000,59690000,223642000,24231000,17383000,4794211000,3860640000,2687217000,1173423000,49019000,179851000,4089510000,563126000,137342000,4233000,704701000,704701000,4794211000,14248000,1933000,1407000,-1982000,-1453000,14153000,-650000,-649000,-49249000,-50548000,25582000,-15423000,10159000,-26236000,-26236000,-26236000,20015000,49019000,21593000,0.36591,0.28833,0.02022,0.00297,1.51551,5.80318,0.01022,0.67034,0.66208,2.32491,33.1546,1.0159,0.00297,0.0045,-9.17252,-10.15308
"16","2019_Q4",33.97875,"Up",47726000,44837000,58665000,-13828000,2889000,547000,2342000,-2597000,45129000,-30009000,-667000,-29342000,15120000,15120000,15120000,-3073000,12047000,12047000,12047000,12047000,300619000,402418000,15201000,3856196000,-29808000,3886004000,67175000,223642000,23053000,17536000,4905840000,3897485000,2669646000,1227839000,107771000,194276000,4199532000,550425000,149389000,6494000,706308000,706308000,4905840000,12047000,2001000,2597000,-1110000,5450000,20985000,-11214000,-2219000,-34090000,-47523000,108040000,-13490000,94550000,68012000,68012000,68012000,17121000,107771000,14430000,0.31681,0.25242,0.01706,0.00246,1.19781,5.94575,0.02197,0.57435,0.56791,2.27538,33.6738,0.68796,0.00246,0.00294,-11.26383,-12.7545
"17","2020_Q1",32.461935483871,"Down",47926000,44526000,58147000,-13621000,3400000,2576000,211000,-933000,46993000,-29431000,-540000,-28891000,17562000,17562000,17562000,-3576000,13986000,13986000,13986000,13986000,346248000,405891000,15468000,3885872000,-29438000,3915310000,66790000,223642000,21876000,26867000,4992654000,4068101000,2815869000,1252232000,107799000,106889000,4282789000,541590000,163375000,4900000,709865000,709865000,4992654000,13986000,2038000,933000,-146000,-4707000,12104000,765000,-21774000,-22820000,-43829000,57960000,-9658000,77354000,45629000,45629000,45629000,19600000,107799000,19234000,0.36644,0.29182,0.0197,0.0028,1.37523,6.03324,0.02159,0.67745,0.66845,2.32143,34.38435,0.93165,0.0028,0.00385,-12.16577,-13.57755
"18","2020_Q2",23.7680952380952,"Down",47750000,45025000,57452000,-12427000,2725000,625999.999999999,1905000,-10990000,36760000,-32401000,-573000,-31828000,4359000,4359000,4359000,-843000,3516000,3516000,3516000,3516000,174889000,560920000,17203000,3918035000,-37511000,3955546000,66798000,223642000,20886000,20056000,5002429000,3953574000,2736042000,1217532000,107930000,234332000,4295836000,534249000,164858000,7486000,706593000,706593000,5002429000,3516000,1856000,10990000,-219000,-5733000,10410000,-1025000,-115612000,-49052000,-172174000,582999.999999985,-8145000,-9595000.00000003,-171359000,-171359000,-171359000,6215000,107930000,3e+05,0.09129,0.07363,0.00498,7e-04,0.0853200000000001,6.07965,0.02158,0.17226,0.16994,2.33942,34.61825,0.0147,0.00111,6.00000000000002e-05,-10.77377,-15.36109
"19","2020_Q3",23.7690625,"Up",52409000,50847000,60452000,-9605000,1562000,1397000,72000,-10669000,41740000,-29779000,-8e+05,-28979000,11961000,11961000,11961000,-2054000,9907000,9907000,9907000,9907000,266400000,672840000,32795000,4536014000,-47642000,4583656000,67229000,223642000,19896000,18065000,5836881000,4700711000,2946583000,1754128000,108061000,291966000,5100738000,535476000,172723000,27944000,736143000,736143000,5836881000,9907000,1875000,10669000,-1151000,-8577000,12723000,879000,-100685000,-638402000,-731723000,310344000,313000,810511000,91511000,91511000,91511000,13836000,108061000,8192000,0.22822,0.18903,0.01346,0.0017,0.82689,6.929,0.01851,0.48528,0.48436,2.56718,36.05893,0.40127,0.00205,0.0014,-11.44399,-13.23794
"20","2020_Q4",29.6275,"Up",53759000,51909000,60811000,-8902000,1850000,974000,876000,-1347000,52412000,-32565000,-756000,-31809000,19847000,19847000,19847000,-3677000,16170000,16170000,16170000,16170000,347148000,709435000,36996000,4543664000,-48698000,4592362000,69887000,223642000,18907000,18072000,5967751000,4917366000,3144666000,1772700000,108191000,189141000,5214698000,536596000,186866000,29591000,753053000,753053000,5967751000,16170000,1935000,1347000,2251000,-7210000,14493000,-1347000,-44055000,-3310000.00000012,-48712000.0000001,98164999.9999999,257000,114967000,80748000,80748000,80748000,21782000,108191000,16902000,0.36918,0.30079,0.02147,0.00271,1.04527,6.92474,0.01813,0.79121,0.78843,2.63047,36.84753,0.82703,0.00305,0.00283,-10.97039,-12.03996
"21","2021_Q1",37.3785245901639,"Up",56921000,54902000,63047000,-8145000,2019000,1142000,877000,-4368000,52553000,-32749000,-999000,-31750000,19804000,19804000,19804000,-3863000,15941000,15941000,15941000,15941000,422766000,808332000,40053000,4438591000,-53173000,4491764000,70685000,223642000,17954000,28105000,6050128000,4988482000,3283915000,1704567000,108322000,39140000,5291459000,529002000,195236000,34431000,758669000,758669000,6050128000,15941000,1972000,4368000,-422000,1578000,23437000,-1662000,-104804000,97971000,-8495000,139310000,-8438000,60676000,75618000,75618000,75618000,21776000,263837000,25555000,0.34792,0.28005,0.02101,0.00263,1.6031,6.97466,0.04361,0.78154,0.77644,2.79066,37.19513,1.25288,0.00298,0.00422,-7.29836,-8.0251
"22","2021_Q2",39.5987301587302,"Up",57434000,55698000,62828000,-7130000,1736000,1101000,586000,-638999.999999999,56795000,-34919000,-789000,-34130000,21876000,21876000,21876000,-3866000,18010000,18010000,18010000,18010000,624330000,823116000,38632000,4606411000,-52758000,4659169000,66115000,223642000,17130000,31614000,6430990000,5374189000,3460068000,1914121000,108453000,187811000,5670453000,525490000,210834000,24213000,760537000,760537000,6430990000,18010000,1858000,638999.999999999,1300000,-561000,21246000,7128000,-30578000,-167253000,-190703000,168211000,-4332000,371021000,201564000,201564000,201564000,23734000,108453000,34167000,0.38089,0.31358,0.02368,0.0028,1.89711,7.45585,0.01686,0.89424,0.88536,2.85174,37.76251,1.69647,0.00318,0.00531,-21.73578,-23.58187
"23","2021_Q3",36.1221875,"Down",58869000,56596000,62832000,-6236000,2273000,1237000,1036000,2679000,61548000,-33595000,-608000,-32987000,27953000,27953000,27953000,-5028000,22925000,22925000,22925000,22925000,711285000,1013492000,37075000,4411157000,-49586000,4460743000,65442000,223642000,16306000,30268000,6508667000,5433358000,3460316000,1973042000,108584000,177575000,5719517000,527023000,231333000,30794000,789150000,789150000,6508667000,22925000,1881000,-2679000,3824000,-3220000,22731000,-8714000,-182372000,205601000,14515000,-7280000,494000,49709000,86955000,86955000,86955000,29834000,108584000,22928000,0.47483,0.38942,0.02905,0.00352,1.00013,7.24769,0.01668,1.13828,1.12698,2.92299,39.18322,1.13843,0.00389,0.00352,-20.20182,-21.56123
"24","2021_Q4",40.35515625,"Up",60265000,58166000,63893000,-5727000,2099000,1327000,772000,-2295000,57970000,-34296000,-1223000,-33073000,23674000,23674000,23674000,-4614000,19060000,19060000,19060000,19060000,903761000,1247903000,33523000,4238978000,-50491000,4289469000,65140000,223642000,15482000,31332000,6759761000,5666878000,3580195000,2086683000,108715000,185576000,5961169000,528166000,247966000,22460000,798592000,798592000,6759761000,19060000,1884000,2295000,3790000,10650000,37679000,-540999.999999998,-246760000,170871000,-76430000,119902000,111000,231227000,192476000,192476000,192476000,25558000,108715000,40281000,0.39283,0.31627,0.02387,0.00282,2.11338,7.4646,0.01608,0.94077,0.93326,2.97458,39.41718,1.9882,0.00318,0.00596,-31.10752,-33.58309
"25","2022_Q1",43.3867741935484,"Up",60558000,58104000,63631000,-5527000,2454000,1466000,988000,2577000,63135000,-34733000,-405000,-34328000,28402000,28402000,26391000,-4833000,21558000,21558000,21558000,21558000,757509000,1811363000,33392000,4172546000,-47940000,4220486000,63708000,223642000,14658000,28136000,7104954000,6047639000,3804554000,2243085000,108847000,42044000,6288486000,531134000,267092000,18242000,816468000,816468000,7104954000,21558000,1927000,-2577000,5417000,-6e+05,25725000,933000,-569826000,66687000,-502206000,174379000,1880000,330229000,-146252000,-146252000,-146252000,30329000,198803000,35495000,0.469,0.35599,0.0264,0.00303,1.64649,7.70206,0.02798,1.06407,1.05557,2.98904,40.29951,1.75197,0.00338,0.005,-18.42151,-19.67136
"26","2022_Q2",39.9853225806452,"Down",59190000,55172000,60303000,-5131000,4018000,1462000,2556000,-1814000,57376000,-34066000,-138000,-33928000,23310000,23310000,22859000,-4202000,18657000,18657000,18657000,18657000,699384000,1828457000,31505000,4234299000,-49215000,4283514000,62168000,223642000,13907000,56001000,7149363000,6162327000,3808723000,2353604000,108978000,36159000,6397423000,532662000,282896000,-63618000,751940000,751940000,7149363000,18657000,1784000,1814000,3439000,-9638000,16056000,-184000,-123149000,-63268000,-186601000,4185000,569000,112420000,-58125000,-58125000,-58125000,25094000,198937000,19474000,0.39382,0.31521,0.02481,0.00261,1.04379,8.50789,0.02783,0.92088,0.91353,2.92152,37.11451,0.9612,0.00301,0.00272,-19.94289,-21.4692
"27","2022_Q3",42.626875,"Up",60186000,57482000,62840000,-5358000,2704000,1566000,1155000,-2143000,58043000,-36237000,-662000,-35575000,21806000,21806000,20139000,-3702000,16437000,16437000,16437000,16437000,292837000,1741569000,29882000,4298591000,-50242000,4348833000,58482000,223642000,13156000,73605000,6731764000,5880632000,3485913000,2394719000,109109000,36694000,6026435000,524319000,296477000,-115467000,705329000,705329000,6731764000,16437000,1763000,2143000,3153000,1306000,24802000,-211000,13185000,-60513000,-47539000,-412795000,-9274000,-383810000,-406547000,-406547000,-406547000,23569000,109109000,28366000,0.36231,0.2731,0.0233,0.00244,1.72574,8.54415,0.01621,0.8072,0.80079,2.95565,34.63777,1.39302,0.00287,0.00421,-7.79532,-8.42557
