"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q4",35.9784375,"Down",241256000,-149697000,91559000,-31025000,-18600000,-12425000,60534000,-4830000,-4950000,120000,55704000,55704000,-14427000,41277000,41277000,41277000,41277000,196863000,121708000,129755000,129755000,64642000,32234000,8710000,423494000,536721000,106874000,14991000,68910000,22973000,643595000,1067089000,96925000,67550000,3490000,127265000,365345000,183336000,32727000,65711000,15417000,548681000,675946000,188712000,206066000,-3597000,391143000,391143000,1067089000,41277000,12425000,3141000,-5078000,51765000,-33552000,-131869000,-1069000,102914000,95838000,15734000,15734000,15734000,72959000,368835000,48756000,0.37951,0.25091,0.17109,0.10553,0.03868,1.18119,3.32765,1.72813,0.34565,0.76722,0.75887,4.48423,7.27018,0.90623,0.05089,0.05169,2.3571,2.84092
"12","2015_Q1",26.7498360655738,"Down",249589000,-157700000,91889000,-48323000,-35659000,-12664000,43566000,-5052000,-5431000,379000,38514000,38514000,-5276000,33238000,33238000,33238000,33238000,338209000,263066000,120881000,120881000,66712000,32308000,9267000,558110000,565755000,102862000,14914000,68647000,19301000,668617000,1226727000,110557000,85781000,3329000,140657000,491757000,190497000,59932000,49749000,16094000,682254000,822911000,191625000,232551000,-19818000,403816000,403816000,1226727000,33238000,12664000,3607000,14915000,64424000,-41026000,-41026000,233387000,-103660000,122619000,146017000,146017000,146017000,56230000,495086000,35395000,0.36816,0.17455,0.13317,0.08231,0.02709,1.0649,3.96788,2.03784,0.40358,0.61738,0.61015,4.63601,7.50072,0.65745,0.0367,0.03249,2.78992,3.6009
"13","2015_Q2",31.0471428571429,"Up",203958000,-138653000,65305000,-40204000,-26961000,-13243000,25101000,-6825000,-6836000,11000,18276000,18276000,-3453000,14823000,14823000,14823000,14823000,327808000,252555000,96355000,96355000,65035000,34551000,10775000,523749000,565337000,104267000,14914000,68647000,20706000,669604000,1193353000,89172000,56699000,3321000,119264000,490873000,185168000,61554000,47918000,16472000,676041000,795305000,193680000,240683000,-20159000,398048000,398048000,1193353000,14823000,13243000,2030000,-10312000,19784000,-13305000,-13305000,-1275000,-501000,-23746000,-17267000,-17267000,-17267000,38344000,494194000,18180000,0.32019,0.12307,0.07268,0.03724,0.01242,1.22647,4.39151,1.99801,0.41412,0.2775,0.27517,3.81829,7.45185,0.34035,0.02003,0.01687,4.3393,6.62866
"14","2015_Q3",19.6765625,"Down",147511000,-117200000,30311000,-20270000,-6575000,-13695000,10041000,-6430000,-6928000,498000,3611000,3611000,6342000,9953000,9953000,9953000,9953000,322228000,251488000,77777000,77777000,64183000,35109000,9658000,499297000,567197000,108176000,14914000,68647000,24615000,675373000,1174670000,78891000,53815000,3324000,108986000,490041000,171644000,53765000,44648000,17725000,661685000,770671000,191581000,243934000,-15579000,403999000,403999000,1174670000,9953000,13695000,-14738000,9763000,18673000,-13746000,-9153000,-1275000.00000003,-21000,-7662000,1858000.00000003,1858000.00000003,1858000.00000003,23736000,493365000,13411000,0.20548,0.06807,0.06747,0.02464,0.00847,1.34743,4.58129,1.90761,0.42,0.18672,0.1848,2.76741,7.57929,0.2516,0.01556,0.01255,7.21002,17.04382
"15","2015_Q4",17.38671875,"Down",155408000,-122599000,32809000,-28717000,-13559000,-15158000,4092000,-6375000,-6684000,309000,-2283000,-2283000,4695000,2412000,2412000,2412000,2412000,299772000,253765000,85605000,85605000,70671000,27701000,12516000,483749000,563262000,109582000,14914000,68647000,26021000,672844000,1156593000,81272000,57982000,3327000,98621000,489208000,171097000,60099000,28124000,18115000,660305000,758926000,193454000,239655000,-19482000,397667000,397667000,1156593000,2412000,15158000,305000,-19916000,-2041000,-11039000,13756000,-1276000,-64000,-8012000,3703000,3703000,3703000,19250000,492535000,-16400000,0.21112,0.02633,0.01552,0.00607,0.00209,-6.79934,4.90513,1.90845,0.42585,0.04524,0.04488,2.91457,7.45798,-0.30757,0.00856,-0.01545,10.01366,47.10728
"16","2016_Q1",17.2975409836066,"Down",136112000,-116614000,19498000,-32060000,-15682000,-16378000,-12562000,-6925000,-6835000,-89999.9999999999,-19487000,-19487000,4167000,-15320000,-15320000,-15320000,-15320000,298926000,277077000,58706000,58706000,65004000,16504000,9921000,439140000,561196000,108283000,14474000,68647000,25162000,669479000,1108619000,64850000,49631000,3330000,83918000,488375000,152159000,55893000,19513000,17077000,640534000,724452000,195209000,220974000,-16171000,384167000,384167000,1108619000,-15320000,16378000,2406000,21612000,25076000,-15429000,8751000,-1267000,-271999.999999999,-8110000.00000001,25717000,25717000,25717000,3816000,491705000,5832000.00000001,0.14325,-0.09229,-0.11255,-0.03988,-0.01382,-0.38068,5.23297,1.88577,0.44353,-0.28724,-0.28941,2.55197,7.20277,0.10934,-0.0084,0.00567,50.51861,-15.3462
"17","2016_Q2",25.88296875,"Up",122510000,-106751000,15759000,-30059000,-15503000,-14556000,-14300000,-4853000,-6643000,1790000,-19153000,-19153000,8150000,-11003000,-11003000,-11003000,-11003000,470235000,463395000,59078000,59078000,67091000,11314000,10375000,607718000,553005000,107577000,14474000,68647000,24456000,660582000,1268300000,60337000,45394000,3333000,70886000,487540000,154881000,60600000,9770000,17563000,642421000,713307000,379975000,207040000,-18699000,554993000,554993000,1268300000,-11003000,14556000,-5059000,-2248000,-3754000,-6010000,9010000,-15073000,-499000,181062000,186318000,186318000,186318000,256000,490873000,-16152000,0.12863,-0.11673,-0.08981,-0.01983,-0.00868,1.46796,8.57317,1.28525,0.38703,-0.202,-0.202,2.24913,10.18897,-0.29653,-0.00634,-0.01345,80.61719,-1.44322
"18","2016_Q3",36.485,"Up",116994000,-102707000,14287000,-29794000,-14585000,-15209000,-15507000,-6039000,-6647000,608000,-21546000,-21546000,9774000,-11772000,-11772000,-11772000,-11772000,454208000,454208000,54293000,54293000,67158000,10044000,8899000,585703000,555487000,107963000,14474000,68647000,23528000,663450000,1249153000,63892000,48217000,3336000,71850000,486705000,149252000,63887000,3.72529029846191e-09,17828000,635957000,707807000,381988000,190964000,-20756000,541346000,541346000,1249153000,-11772000,15209000,-5432000,7070000,5075000,-17312000,-10460000,-1275000,-460000,-3802000.00000003,-9187000.00000003,-9187000.00000003,-9187000.00000003,-298000,490041000,-20314000,0.12212,-0.13255,-0.10062,-0.02175,-0.00942,1.72562,8.15175,1.30749,0.3923,-0.18563,-0.18563,1.84484,8.53629,-0.32032,-0.00714,-0.01721,-120.24497,-2.31076
"19","2016_Q4",46.3169841269841,"Up",137748000,-119426000,18322000,-35647000,-18472000,-17175000,-17325000,-6191000,-6684000,493000,-23516000,-23516000,12178000,-11338000,-11338000,-11338000,-11338000,264060000,264060000,70725000,70725000,77429000,22109000,14092000,434323000,790565000,395945000,90018000,233196000,72731000,1186510000,1620833000,86116000,68692000,7881000,103128000,501167000,205743000,63715000,57330000,18668000,706910000,810038000,661156000,175210000,-20466000,810795000,810795000,1620833000,-11338000,17175000,-6250000,-838000,-1251000,-9609000,-186056000,-1878000,-23000,-2841000,-190148000,-190148000,-190148000,-150000,509048000,-22775000,0.13301,-0.12577,-0.08231,-0.01398,-0.007,2.00873,4.21149,0.99907,0.31407,-0.17005,-0.17005,2.06593,12.16022,-0.34158,-0.00483,-0.01493,-1633.25333,-14.14072
"20","2017_Q1",50.2346774193548,"Up",182373000,-147926000,34447000,-39806000,-18612000,-21194000,-5359000,-8171000,-7998000,-173000,-13530000,-13530000,6587000,-6943000,-6943000,-6943000,-6943000,711225000,711225000,89006000,89006000,78709000,14005000,12323000,892945000,783313000,396962000,140478000,240975000,15509000,1180275000,2073220000,89202000,70778000,7058000,109960000,509134000,180836000,56746000,50075000,15925000,689970000,799930000,1129862000,163173000,-15876000,1273290000,1273290000,2073220000,-6943000,21194000,-1654000,-12286000,311000,-13981000,-14151000,-13250000,-609000,461005000,447165000,447165000,447165000,15835000,516192000,-17019000,0.18888,-0.02938,-0.03807,-0.00545,-0.00335,2.45125,8.12063,0.62824,0.24898,-0.09186,-0.09186,2.41282,16.8458,-0.22516,-0.00128,-0.00864,-12.3165799999997,36.39354
"21","2017_Q2",37.0069841269841,"Down",244797000,-187475000,57322000,-43940000,-22341000,-21599000,13382000,-12574000,-7646000,-4928000,808000,808000,1714000,2522000,2522000,2522000,2522000,660903000,660903000,139970000,139970000,69458000,13798000,12401000,884129000,806288000,396823000,89842000,242301000,64680000,1203111000,2087240000,90445000,71951000,7224000,116595000,507909000,188840000,56363000,49643000,16474000,696749000,813344000,1132065000,160600000,-15347000,1273896000,1273896000,2087240000,2522000,21599000,6079000,-49718000,-19518000,-21129000,-21129000,-1723000,-3377000,-9675000,-50322000,-50322000,-50322000,34981000,515133000,-37580000,0.23416,0.05467,0.0103,0.00198,0.00121,-14.90087,7.58291,0.63847,0.2468,0.03114,0.03066,3.02282,15.73041,-0.46405,0.00385,-0.019,-4.16712,-10.89299
"22","2017_Q3",27.3030158730159,"Down",290465000,-196677000,93788000,-49263000,-25637000,-23626000,44525000,-7956000,-8105000,149000,36569000,36569000,-7110000,29459000,29459000,29459000,29459000,598535000,598535000,159110000,159110000,74278000,10254000,10254000,842177000,919840000,412154000,98452000,246181000,67521000,1331994000,2174171000,125155000,102376000,6793000,157350000,506433000,208180000,59411000,52328000,16633000,714613000,871963000,1135057000,184959000,-17317000,1302208000,1302208000,2174171000,29459000,23626000,10911000,32983000,96979000,-132919000,-151555000,-2178000,-549000,-7791999.99999994,-62368000.0000001,-62368000.0000001,-62368000.0000001,68151000,513226000,-24675000,0.32289,0.15329,0.10142,0.02262,0.01355,-0.8376,5.35225,0.6696,0.23606,0.3633,0.3595,3.58214,16.05939,-0.3043,0.01708,-0.01219,-1.25175999999992,-1.91598
"23","2017_Q4",30.0784126984127,"Up",345023000,-228136000,116887000,-54248000,-29575000,-24673000,62639000,-6659000,-8347000,1688000,55980000,55980000,-14707000,41273000,41273000,41273000,41273000,463650000,463650000,206099000,206099000,86174000,15124000,15124000,771047000,1049805000,466054000,97904000,301744000,66406000,1515859000,2286906000,171377000,140188000,5825000,210291000,506737000,221083000,52472000,60735000,18503000,727820000,938111000,1141366000,221132000,-13703000,1348795000,1348795000,2286906000,41273000,24673000,18439000,-985000,83400000,-109783000,-210866000,-2553000,-19000,-7419000,-134885000,-134885000,-134885000,87312000,512562000,-8749000,0.33878,0.18155,0.11962,0.0306,0.01805,-0.21198,3.66657,0.69552,0.22413,0.50878,0.50466,4.25319,16.62695,-0.10785,0.02227,-0.0042,0.5602,0.78086
"24","2018_Q1",28.9952459016393,"Down",360566000,-254532000,106034000,-56838000,-29503000,-27335000,49196000,-6027000,-7244000,1217000,43169000,43169000,28783000,71952000,71952000,71952000,71952000,384567000,384567000,212586000,212586000,92376000,13715000,13715000,703244000,1169155000,434884000,150007000,272079000,12798000,1604039000,2307283000,172607000,171041000,6867000,215602000,505075000,190100000,52867000,29856000,25091000,695175000,910777000,1147896000,287992000,-13926000,1396506000,1396506000,2307283000,71952000,27335000,-13353000,-24782000,61152000,-107897000,-107979000,-1708000.00000001,-434000,-32256000,-79083000,-79083000,-79083000,76531000,511942000,-84931000,0.29408,0.13644,0.19955,0.05152,0.03118,-1.18038,3.26177,0.65218,0.22188,0.88815,0.87888,4.45072,17.23805,-1.04836,0.03671,-0.04047,1.66436,2.58913
"25","2018_Q2",27.75875,"Down",369313000,-260910000,108403000,-63183000,-34591000,-28592000,45220000,-6405000,-7070000,665000,38815000,38815000,-7521000,31294000,31294000,31294000,31294000,329512000,329512000,251275000,251275000,76579000,13023000,13023000,670389000,1195722000,440927000,148702000,274879000,17346000,1636649000,2307038000,154753000,154148000,4936000,211994000,506607000,235454000,50167000,38371000,77246000,742061000,954055000,1154150000,314405000,-11632000,1352983000,1352983000,2307038000,31294000,28592000,7440000,10283000,77609000,-47378000,-47378000,-1732000,-3485000,-85286000,-55055000,-55055000,-55055000,73812000,511543000,44238000,0.29353,0.12244,0.08474,0.02313,0.01356,1.41363,3.1623,0.70515,0.22173,0.39366,0.38967,4.64568,17.01951,0.55648,0.01732,0.02107,2.46614,4.02545
"26","2018_Q3",22.0387301587302,"Down",427433000,-292845000,134588000,-78795000,-42232000,-36563000,55793000,-19133000,-20214000,1081000,36660000,20476000,-2832000,17644000,17644000,17644000,17644000,322357000,322357000,280019000,280019000,167415000,17630000,14439000,787421000,1825653000,636271000,194795000,414257000,27219000,2461924000,3249345000,206994000,206994000,13969000,272984000,1253384000,364473000,47022000,172610000,85417000,1617857000,1890841000,1161050000,327173000,-9663000,1358504000,1358504000,3249345000,17644000,36563000,28186000,12941000,95334000,-89502000,-832343000,788336000,-37982000,729854000,-7155000,-7155000,-7155000,92356000,1267353000,18627000,0.31488,0.13053,0.04128,0.01299,0.00543,1.05571,2.8845,1.39186,0.39003,0.22683,0.22482,5.49513,17.46508,0.23947,0.00759,0.00622999999999999,10.2321,16.93754
"27","2018_Q4",13.8993650793651,"Down",423172000,-322336000,100836000,-75130000,-37980000,-37150000,25706000,-20937000,-21999000,1062000,4769000,4769000,1547000,6316000,6316000,6316000,6316000,345583000,345583000,247692000,247692000,170723000,21631000,18827000,785629000,1868382000,634644000,195498000,414741000,24405000,2503026000,3288655000,231302000,231302000,13479000,285536000,1251053000,382585000,46045000,169432000,88013000,1633638000,1919174000,1166476000,328624000,-8753000,1366269000,1369481000,3288655000,6316000,37150000,11156000,40125000,94747000,-64647000,-65131000,-4644000,3191000,-6390000,23226000,23226000,23226000,62856000,1264532000,36787000,0.23829,0.06075,0.01493,0.00461,0.00192,5.82441,2.75142,1.40139,0.38451,0.08164,0.08112,5.46981,17.66004,0.4755,0.00373,0.01219,14.61991,35.74842
"28","2019_Q1",13.7347540983607,"Down",357380000,-287038000,70342000,-78695000,-32168000,-46527000,-8353000,-19945000,-21281000,1336000,-28298000,-294013000,37938000,-256075000,-256075000,-256062000,-256062000,202498000,202498000,215486000,215486000,162087000,20166000,17966000,600237000,1826303000,474300000,194626000,261340000,18334000,2300603000,2900840000,216400000,216400000,13327000,261339000,1246428000,340769000,57194000,137239000,64629000,1587197000,1848536000,1170201000,67854000,-15020000,1044820000,1052304000,2900840000,-256075000,46527000,232976000,19588000,43016000,-122103000,-122027000,-3385000.00000012,2125000,-64074000.0000001,-143085000,-143085000,-143085000,38174000,1259755000,-102279000,0.19683,-0.02337,-0.7165,-0.24333,-0.08827,0.39943,2.29678,1.75666,0.43427,-3.59804,-3.70224,5.02171,14.68124,-1.43717,-0.0947,-0.03855,27.69574,-126.57213
"29","2019_Q2",13.121746031746,"Down",378750000,-297538000,81212000,-79256000,-34656000,-44600000,1956000,-23256000,-23978000,722000,-21300000,-21300000,1972000,-19328000,-19328000,-19324000,-19324000,161615000,161615000,258348000,258348000,143149000,15960000,14572000,579072000,1820102000,690266000,190584000,273524000,226158000,2510368000,3089440000,223611000,223611000,13112000,327144000,1245242000,482956000,56879000,131053000,208094000,1728198000,2055342000,1174079000,43920000,-15985000,1021889000,1034098000,3089440000,-19328000,44600000,41000,-14412000,10901000,-45683000,-45683000,-4063000,2524000,-6101000,-40883000,-40883000,-40883000,46556000,1258354000,-15511000,0.21442,0.00516,-0.05102,-0.01869,-0.00625,0.80268,1.77008,1.98757,0.40731,-0.26457,-0.26457,5.18551,13.99081,-0.21236,-0.00527,-0.00559,23.55741,560.70501
"30","2019_Q3",11.16390625,"Down",394854000,-294160000,100694000,-83558000,-38659000,-44899000,17136000,-8691000,-23765000,15074000,8445000,8445000,-2384000,6061000,6061000,6150000,6150000,189388000,189388000,237393000,237393000,148397000,14886000,12876000,590064000,1803203000,672247000,189207000,273524000,209516000,2475450000,3065514000,231260000,231260000,13093000,329993000,1229820000,473236000,60830000,130942000,199560000,1703056000,2033049000,1176878000,45224000,-21382000,1019945000,1032465000,3065514000,6061000,44899000,-5488999.99999997,26116000,71587000,-34680000,-34680000,-4202000,-250000,-9134000,27773000,27773000,27773000,62035000,1242913000,55855000,0.25502,0.0434,0.0155800000000001,0.00596000000000003,0.00200999999999999,9.08211,1.78811,1.96912,0.40545,0.0839099999999994,0.0839100000000003,5.38756,13.91656,0.76211,0.00394000000000001,0.02032,16.98275,61.48022
"31","2019_Q4",5.8825,"Down",361814000,-283633000,78181000,-87334000,-40208000,-47126000,-9153000,-21453000,-24733000,3280000,-30606000,-30736000,7671000,-23065000,-23065000,-23037000,-23037000,187289000,187289000,204591000,204591000,162122000,20121000,17525000,574123000,1776075000,658488000,187364000,273524000,197600000,2434563000,3008686000,245247000,245247000,19475000,339190000,1216752000,448345000,64428000,121931000,186816000,1665097000,2004287000,1180600000,17505000,-25421000,991851000,1004399000,3008686000,-23065000,47126000,-13491000,23323000,33893000,-19489000,-19489000,-11993000,-2000,-16503000,-2099000,-2099000,-2099000,37973000,1236227000,34136000,0.21608,-0.0253,-0.06367,-0.02294,-0.00766,-1.48179,1.69263,1.99551,0.41089,-0.31412,-0.31412,4.93345,13.5242,0.46545,-0.00689,0.01269,27.62326,-114.60046
