"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q1",10.2767213114754,"Up",33982000,-12484000,21498000,-29154000,-25410000,-2952000,-792000,-7656000,43000,43000,-7613000,-7613000,106000,-7507000,-7507000,-7507000,-7507000,10788000,10788000,21872000,21872000,41721000,2037000,2037000,76418000,22063000,35993000,35207000,786000,58056000,134474000,22950000,7385000,15565000,23157000,5664000,5664000,5664000,28821000,206979000,-103276000,1950000,105653000,105653000,134474000,-7507000,2687000,1698000,-1391000,-4513000,-1928000,-1928000,532999.999999998,532999.999999998,-25000,508000,-5933000,-5933000,32000,-5901000,-4969000,0,-8394000,0.63263,-0.2253,-0.22091,-0.07105,-0.05582,1.11816,3.3,0.27279,0,-0.5596,-0.5596,2.53313,7.87574,-0.62572,-0.06744,-0.07541,2.17106,1.40909
"12","2018_Q2",11.9759375,"Up",33175000,-12179000,20996000,-28048000,-24467000,-2789000,-792000,-7052000,20000,20000,-7032000,-7032000,-73000,-7105000,-7105000,-7105000,-7105000,12470000,12470000,20639000,20639000,43285000,1779000,1779000,78173000,21674000,34303000,33583000,720000,55977000,134150000,20548000,7700000,12848000,21445000,5080000,5080000,5080000,26525000,215816000,-110381000,2190000,107625000,107625000,134150000,-7105000,2643000,1996000,-2180000,-4646000,-1691000,-1691000,8514000,8514000,-551000,7963000,1626000,1626000,56000,1682000,-4409000,0,-8207000,0.63289,-0.21257,-0.21417,-0.06602,-0.05296,1.1551,3.64528,0.24646,-8.67361737988404e-19,-0.50444,-0.50444,2.35534,7.64111,-0.58268,-0.06304,-0.07282,2.82831,1.76829
"13","2018_Q3",14.1590476190476,"Up",36409000,-14560000,21849000,-29015000,-25432000,-2791000,-792000,-7166000,-157000,-157000,-7323000,-7323000,-38000,-7361000,-7361000,-7361000,-7361000,13263000,13263000,20894000,20894000,42449000,2397000,2397000,79003000,22791000,32717000,31960000,757000,55508000,134511000,23802000,10404000,13398000,24719000,4230000,4230000,8230000,32949000,217535000,-117742000,1769000,101562000,101562000,134511000,-7361000,2626000,1639000,957000,-2139000,-1711000,-1711000,796000,796000,-48000,4748000,898000,898000,-105000,793000,-4540000,4e+06,-5256000,0.6001,-0.19682,-0.20218,-0.07248,-0.05472,0.71403,3.19604,0.32442,0.02974,-0.50452,-0.50452,2.49548,6.96107,-0.36025,-0.06704,-0.04787,2.04031,1.29263
"14","2018_Q4",16.8844444444444,"Up",35834000,-14247000,21587000,-31036000,-27041000,-3203000,-792000,-9449000,-190000,-190000,-9639000,-9639000,107000,-9532000,-9532000,-9532000,-9532000,11782000,11782000,20673000,20673000,42942000,2654000,2654000,78051000,22949000,31369000,30336000,1033000,54318000,132369000,25988000,10626000,15362000,26781000,4112000,4112000,11374000,38155000,219776000,-127274000,1712000,94214000,94214000,132369000,-9532000,2681000,3260000,1775000,-1816000,-3163000,-3163000,636000,636000,-114000,3522000,-1457000,-1457000,-24000,-1481000,-6768000,7262000,-8263000,0.60242,-0.26369,-0.266,-0.10117,-0.07201,0.86687,2.91442,0.40498,0.05486,-0.64624,-0.64624,2.42942,6.38739,-0.5602,-0.09028,-0.07826,0.66785,0.47836
"15","2019_Q1",15.4516393442623,"Down",38025000,-14983000,23042000,-32514000,-28447000,-3275000,-792000,-9472000,71000,71000,-9401000,-9401000,-125000,-9526000,-9526000,-9526000,-9526000,54033000,24233000,20335000,20335000,42742000,2948000,2948000,120058000,22623000,29661000,28712000,949000,52284000,172342000,26417000,9214000,17203000,26546000,3711000,3711000,3711000,30257000,277283000,-136800000,1602000,142085000,142085000,172342000,-9526000,2745000,3117000,-293000,-3957000,-1783000,-31539000,55185000,55185000,-221000,47964000,12468000,12468000,-17000,12451000,-6727000,0,-8678000,0.60597,-0.2491,-0.25052,-0.06704,-0.05527,0.91098,4.52264,0.21295,0,-0.52902,-0.52902,2.11168,7.89054,-0.48192,-0.06534,-0.05952,8.03226,5.7045
"16","2019_Q2",14.0226984126984,"Down",36150000,-13579000,22571000,-31612000,-27308000,-3512000,-792000,-9041000,73000,73000,-8968000,-8968000,-21000,-8989000,-8989000,-8989000,-8989000,44955000,20052000,20744000,20744000,45180000,2096000,2096000,112975000,23657000,28004000,27088000,916000,51661000,164636000,27499000,13539000,13960000,28032000,3425000,3425000,3425000,31457000,277524000,-145789000,1444000,133179000,133179000,164636000,-8989000,2770000,3355000,-2309000,-5173000,-2208000,2792000,143000,143000,-1879000,-1736000,-4117000,-4117000,-64000,-4181000,-6271000,0,-10767000,0.62437,-0.2501,-0.24866,-0.0675,-0.0546,1.1978,4.03022,0.2362,0,-0.47631,-0.47631,1.91554,7.05696,-0.57053,-0.0658,-0.07882,7.16871,4.97235
"17","2019_Q3",12.07015625,"Down",39306000,-14317000,24989000,-36981000,-27608000,-3587000,-793000,-11992000,-25000,-25000,-12017000,-12017000,-19000,-12036000,-12036000,-12036000,-12036000,36436000,21463000,23077000,23077000,46905000,3057000,3057000,109475000,25963000,21475000,20588000,887000,47438000,156913000,29696000,13325000,16371000,30443000,2555000,2555000,2555000,32998000,280185000,-157825000,1555000,123915000,123915000,156913000,-12036000,2686000,7446000,-4686000,-6590000,-2692000,7308000,747000,747000,-85000,662000,1380000,1380000,31000,1411000,-9306000,0,-16665000,0.63576,-0.30509,-0.30621,-0.09713,-0.0767,1.3846,3.59606,0.2663,0,-0.63629,-0.63629,2.07792,6.5508,-0.881,-0.09517,-0.13177,3.91532,3.03836
"18","2019_Q4",12.20625,"Up",39888000,-14407000,25481000,-34822000,-30134000,-3896000,-792000,-9341000,-97000,-97000,-9438000,-9438000,-225000,-9663000,-9663000,-9663000,-9663000,27310000,22314000,23720000,23720000,48011000,3723000,3723000,102764000,26641000,20103000,19412000,691000,46744000,149508000,30499000,11559000,18940000,31210000,2546000,2546000,2546000,33756000,282021000,-167488000,1219000,115752000,115752000,149508000,-9663000,2473000,3751000,72000,-3367000,-5437000,4563000,11000,11000,-204000,-193000.000000004,1003000,1003000,-152000,851000,-6868000,-5.82076609134674e-11,-12008000,0.63881,-0.23418,-0.24225,-0.08348,-0.06463,1.24268,3.29266,0.29162,0,-0.50716,-0.50716,2.09353,6.07526,-0.63024,-0.08168,-0.10151,3.97641,2.92367
"19","2020_Q1",13.166935483871,"Up",43739000,-15676000,28063000,-31918000,-31989000,-4130000,-792000,-3855000,351000,351000,-3504000,-8497000,-91000,-8588000,-8588000,-8588000,-8588000,20199000,20199000,24902000,24902000,47155000,3906000,3906000,96162000,25751000,19805000,19173000,632000,45556000,141718000,28614000,7448000,21166000,30478000,1480000,1480000,1480000,31958000,284402000,-176076000,1434000,109760000,109760000,141718000,-8588000,2418000,4279000,-3256000,-5147000,-2497000,2503000,539000,539000,-101000,438000,-2206000,-2206000,91000,-2115000,-1437000,0,-7099000,0.6416,-0.08814,-0.19635,-0.07824,-0.0606,0.82662,3.15513,0.29116,0,-0.45041,-0.45041,2.29396,5.75654,-0.37232,-0.0772,-0.06382,14.05637,5.23969
"20","2020_Q2",10.2247619047619,"Down",36111000,-13812000,22299000,-33717000,-29030000,-3895000,-792000,-11418000,227000,227000,-11191000,-12516000,-35000,-12551000,-12551000,-12551000,-12551000,105206000,80006000,20005000,20005000,47682000,2966000,2966000,175859000,25792000,26076000,16761000,9315000,51868000,227727000,25734000,11046000,14688000,29788000,8050000,8050000,8050000,37838000,377056000,-188627000,1460000,189889000,189889000,227727000,-12551000,2608000,6002000,1231000,-2710000,-3046000,-28053000,92524000,92524000,-1888000,90636000,59873000,59873000,-66000,59807000,-8810000,0,-10590000,0.61751,-0.31619,-0.34757,-0.0661,-0.05511,0.84376,5.90369,0.19926,-8.67361737988404e-19,-0.47506,-0.47506,1.36681,7.18732,-0.40083,-0.06341,-0.0535,11.94166,9.21405
"21","2020_Q3",12.10921875,"Up",28589000,-11659000,16930000,-30624000,-25858000,-3974000,-792000,-13694000,14000,14000,-13680000,-13680000,-33000,-13713000,-13713000,-13713000,-13713000,100462000,75346000,20836000,20836000,50630000,1480000,1480000,173408000,27592000,24669000,15728000,8941000,52261000,225669000,28030000,11295000,16735000,38324000,7646000,7646000,7646000,45970000,380526000,-202340000,1513000,179699000,179699000,225669000,-13713000,2608000,4250000,-2384000,-9239000,-2267000,-2267000,743999.999999985,743999.999999985,7091000,6835000,-4671000,-4671000,11000,-4660000,-11086000,6173000,-15704000,0.59219,-0.479,-0.47966,-0.07631,-0.06077,1.14519,4.52479,0.25582,0.02735,-0.5026,-0.5026,1.04783,6.58624,-0.57558,-0.07086,-0.08115,8.50523,6.88542
"22","2020_Q4",15.228125,"Up",43209000,-14074000,29135000,-35781000,-31071000,-3917000,-793000,-6646000,136000,136000,-6510000,-6510000,-64000,-6574000,-6574000,-6574000,-6574000,93231000,78188000,23352000,23352000,51645000,2152000,2152000,170380000,28109000,23253000,14682000,8571000,51362000,221742000,27526000,8092000,19434000,35878000,7326000,7326000,7326000,43204000,385662000,-208914000,1790000,178538000,178538000,221742000,-6574000,2713000,4346000,-2568000,-2083000,-4258000,4892000,125000,125000,-208000,-82999.9999999851,2726000,2726000,116000,2842000.00000001,-3933000,6173000,-10695000,0.67428,-0.15381,-0.15214,-0.03682,-0.02965,1.62686,4.74887,0.24199,0.02784,-0.23869,-0.23869,1.56884,6.48239,-0.38832,-0.03423,-0.05569,22.13527,13.09931
"23","2021_Q1",17.9275409836066,"Up",46436000,-17296000,29140000,-39483000,-34219000,-4472000,-792000,-10343000,86000,86000,-10257000,-10257000,-86000,-10343000,-10343000,-10343000,-10343000,76813000,76813000,26154000,26154000,54041000,3884000,3884000,160892000,31422000,22087000,13883000,8204000,53509000,214401000,27364000,5006000,22358000,30727000,6897000,6897000,11956000,42683000,388851000,-219257000,2124000,171718000,171718000,214401000,-10343000,2796000,5880000,-8900000,-10567000,-6514000,8386000,861000,861000,-111000,750000,-1431000,-1431000,56000,-1375000,-7547000,6173000,-22875000,0.62753,-0.22274,-0.22274,-0.06023,-0.04824,2.21164,5.23618,0.24856,0.02879,-0.37418,-0.37418,1.67991,6.21221,-0.82755,-0.05597,-0.12379,9.36001,6.82974
"24","2021_Q2",20.5593650793651,"Up",41954000,-15366000,26588000,-39124000,-33826000,-4506000,-792000,-12536000,-159000,-159000,-12695000,-12695000,-25000,-12720000,-12720000,-12720000,-12720000,87749000,87749000,25030000,25030000,58182000,2729000,2729000,173690000,35779000,20947000,13373000,7574000,56726000,230416000,36376000,12086000,24290000,39928000,6440000,6440000,31221000,71149000,389477000,-231977000,1767000,159267000,159267000,230416000,-12720000,2747000,4561000,2454000,-2958000,-3750000,-4100000,496000,496000,-2437000,18059000,11001000,11001000,-65000,10936000,-9789000,26174000,-11060000,0.63374,-0.2988,-0.30319,-0.07987,-0.0552,0.8695,4.35008,0.44673,0.11359,-0.4557,-0.4557,1.50303,5.70584,-0.39623,-0.06629,-0.05764,6.29022,4.91185
"25","2021_Q3",17.11453125,"Down",47463000,-17482000,29981000,-41115000,-35422000,-4850000,-843000,-11134000,6079000,6079000,-5055000,-5055000,-158000,-5213000,-5213000,-5213000,-5213000,120697000,120697000,29677000,29677000,65515000,4273000,4273000,220162000,38905000,138145000,57015000,7285000,177050000,397212000,41403000,16721000,24682000,43577000,15474000,5979000,15474000,59051000,576654000,-237190000,-1303000,338161000,338161000,397212000,-5213000,3133000,-1500000,-3553000,-7133000,-7567000,-36348000,96654000,96654000,-130000,76524000,33043000,33043000,-95000,32948000,-8001000,0,-18963000,0.63167,-0.23458,-0.10983,-0.01542,-0.01312,3.63764,5.05225,0.17462,0,-0.18676,-0.18676,1.70039,12.11482,-0.67936,-0.01474,-0.05362,15.08524,10.8404
"26","2021_Q4",14.3646875,"Down",46445000,-18289000,28156000,-46424000,-39220000,-6262000,-942000,-18268000,-231000.000000001,-231000.000000001,-18499000,-18499000,872000,-17627000,-17627000,-17627000,-17627000,102433000,102433000,29075000,29075000,70931000,4741000,4741000,207180000,43087000,139733000,56343000,7807000,182820000,3.9e+08,44104000,17999000,26105000,47696000,15463000,6414000,15463000,63159000,579959000,-254817000,1699000,326841000,326841000,3.9e+08,-17627000,4400000,6542000,-5601000,-12286000,-5577000,-5938000,393000,393000,-292000,101000,-18123000,-18123000,-141000,-18264000,-13868000,0,-25918000,0.60622,-0.39333,-0.37952,-0.05393,-0.0452,1.47036,4.34376,0.19324,1.38777878078145e-17,-0.54008,-0.54008,1.42303,10.01412,-0.79411,-0.0515,-0.07572,7.38628,5.60724
"27","2022_Q1",12.1704838709677,"Down",55589000,-25727000,29862000,-48902000,-41775000,-6388000,-739000,-19040000,-157000,-157000,-19197000,-19197000,411000,-18786000,-18786000,-18786000,-18786000,83106000,83106000,36231000,36231000,72299000,4328000,4328000,195964000,46892000,134411000,42056000,7760000,181303000,377267000,49202000,20301000,28901000,52981000,11922000,7614000,11922000,64903000,584397000,-273603000,1570000,312364000,312364000,377267000,-18786000,3653000,4285000,-287000,-11135000,-9147000,-8972000,978999.999999985,978999.999999985,-118000,861000,-19246000,-19246000,-81000,-19327000,-15387000,0,-25232000,0.53719,-0.34251,-0.33794,-0.06014,-0.04979,1.34313,3.69876,0.20778,0,-0.39333,-0.39333,1.16388,6.54001,-0.52829,-0.05793,-0.07781,5.40105,4.36481
"28","2022_Q2",8.71677419354839,"Down",50693000,-20376000,30317000,-47151000,-40445000,-5850000,-856000,-16834000,2000,2000,-16832000,-16832000,228000,-16604000,-16604000,-16604000,-16604000,81435000,81435000,36073000,36073000,76534000,3998000,3998000,198040000,50395000,131975000,40213000,7167000,182370000,380410000,43350000,16482000,26868000,72951000,10638000,6716000,10638000,83589000,585633000,-290207000,1395000,296821000,296821000,380410000,-16604000,4202000,5873000,-8464000,-14993000,-9359000,-10059000,3000,3000,-1605000,23398000,-1654000,-1654000,-17000,-1671000,-12632000,2.5e+07,-30683000,0.59805,-0.33208,-0.32754,-0.05594,-0.04365,1.84793,2.7147,0.28161,0.06572,-0.45525,-0.45525,1.38992,8.13833,-0.84128,-0.04994,-0.09229,4.46762,3.35244
"29","2022_Q3",6.35234375,"Down",56318000,-19127000,37191000,-51726000,-45221000,-5649000,-856000,-14535000,-559000,-559000,-15094000,-15094000,1147000,-13947000,-13947000,-13947000,-13947000,66078000,66078000,34441000,34441000,85906000,3570000,3570000,189995000,54592000,140983000,38375000,18013000,195575000,385570000,49806000,19221000,30585000,54443000,19300000,16428000,44300000,98743000,590053000,-304154000,928000,286827000,286827000,385570000,-13947000,4295000,4354000,-2827000,-8125000,-7744000,-7744000,992000.000000002,992000.000000002,-278000,714000,-15155000,-15155000,-202000,-15357000,-10240000,2.5e+07,-21958000,0.66038,-0.25809,-0.24765,-0.04863,-0.03617,1.57439,3.4898,0.34426,0.06484,-0.37933,-0.37933,1.53175,7.80121,-0.59722,-0.04212,-0.06631,4.01152,2.82614
