"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q4",37.2333333333333,"Down",70570000,-27209000,43361000,-37160000,-30401000,-17681000,-12720000,-6759000,6201000,-83000,-83000,6118000,6118000,43000,6161000,6161000,6161000,6161000,89707000,89707000,1725000,1725000,1430422000,7059000,1422976000,1521854000,24934000,27839000,10799000,6003000,856000,52773000,1574627000,25815000,851000,24964000,1422976000,1422976000,1448791000,5242000,5242000,1454033000,167176000,-46582000,120594000,120594000,1574627000,6161000,3720000,4830000,3542000,18253000,-4881000,-4881000,-4881000,-541871000,-547052000,539839000,539482000,10683000,10683000,10683000,9921000,0,8539000,0.61444,0.08787,0.0873,0.05109,0.00391,1.38598,1.05043,12.05726,0,0.1209,0.10503,1.38478,2.3664,0.16756,0.04896,0.06786,-9.04213,-14.46654
"12","2017_Q1",34.7575806451613,"Down",59839000,-26581000,33258000,-38298000,-30549000,-17361000,-13188000,-7749000,-5040000,-338000,-338000,-5378000,-5378000,-34000,-5412000,-5412000,-5412000,-5412000,86496000,86496000,1681000,1681000,1247031000,7409000,1239622000,1335208000,26787000,28694000,10419000,6003000,845000,55481000,1390689000,26600000,1621000,24979000,1239622000,1239622000,1266222000,4895000,4895000,1271117000,171566000,-51994000,119572000,119572000,1390689000,-5412000,3998000,4868000,472000,3926000,-4337000,-4337000,-4337000,180770000,176433000,-183354000,-183570000,-3211000,-3211000,-3211000,-1042000,6.93889390390723e-18,-4873000,0.55579,-0.08423,-0.09044,-0.04526,-0.00389,0.90041,1.05448,10.63056,0,-0.106,-0.12482,1.172,2.34193,-0.09544,-0.04348,-0.03915,83.0096,17.1619
"13","2017_Q2",43.6065079365079,"Up",65022000,-28359000,36663000,-39170000,-31869000,-18011000,-13858000,-7301000,-2507000,39000,39000,-2468000,-2468000,-1e+05,-2568000,-2568000,-2568000,-2568000,77998000,77998000,1757000,1757000,777380000,6432000,770948000,857135000,28681000,29626000,10038000,6003000,533000,58307000,915442000,21044000,2784000,18260000,770948000,770948000,791992000,4803000,4803000,796795000,173209000,-54562000,118647000,118647000,915442000,-2568000,4268000,5916000,-5733000,1883000,-2952000,-2952000,-2952000,465787000,462835000,-468674000,-473216000,-8498000,-8498000,-8498000,1761000,0,-6824000,0.56386,-0.03856,-0.03949,-0.02164,-0.00281,2.65732,1.08225,6.71568,0,-0.05013,-0.05013,1.26919,2.31592,-0.1332,-0.0208,-0.05528,-44.29188,31.11209
"14","2017_Q3",46.4098412698413,"Up",68654000,-30383000,38271000,-39914000,-32692000,-17735000,-14957000,-7222000,-1643000,4000,4000,-1639000,-1639000,-32000,-1671000,-1671000,-1671000,-1671000,82257000,82257000,2067000,2067000,1103762000,11291000,1092471000,1188086000,33633000,31222000,9657000,6003000,618000,64855000,1252941000,25230000,3134000,22096000,1092471000,1092471000,1117701000,9899000,9899000,1127600000,181574000,-56233000,125341000,125341000,1252941000,-1671000,4835000,6791000,3552000,13507000,-7086000,-7086000,-7086000,-324915000,-332001000,321523000,322753000,4259000,4259000,4259000,3192000,-1.11022302462516e-16,-309999.999999999,0.55745,-0.02393,-0.02434,-0.01333,-0.00133,0.18552,1.06297,8.99626,0,-0.03252,-0.03252,1.33607,2.43925,-0.00603000000000001,-0.01236,-0.00229,-25.76974,50.06512
"15","2017_Q4",48.4968253968254,"Up",90273000,-32082000,58191000,-43311000,-36342000,-21242000,-15100000,-6969000,14880000,-47000,-47000,14833000,14833000,-32000,14801000,14801000,14801000,14801000,101450000,101450000,2177000,2177000,1183435000,13094000,1170341000,1287062000,34297000,33577000,9277000,6003000,1592000,67874000,1354936000,28769000,1633000,27136000,1170341000,1170341000,1199110000,9977000,9977000,1209087000,187281000,-41432000,145849000,145849000,1354936000,14801000,5582000,6387000,1175000,27945000,-3878000,-3878000,-3878000,-81664000,-85542000,77870000,76790000,19193000,19193000,19193000,20462000,0,17791000,0.64461,0.16483,0.16396,0.10148,0.01092,1.20201,1.07335,8.28999,0,0.28772,0.24941,1.75482,2.83516,0.34584,0.09498,0.11417,-4.95797,-6.81788
"16","2018_Q1",49.524262295082,"Up",76061000,-33163000,42898000,-46332000,-38726000,-20518000,-18208000,-7606000,-3434000,77000,77000,-3357000,-3357000,-487000,-3844000,-3844000,-3844000,-3844000,103468000,103468000,2040000,2040000,957338000,14879000,942459000,1062846000,40756000,33839000,8907000,6003000,1535000,74595000,1137441000,32347000,2046000,30301000,942459000,942459000,974806000,15022000,15022000,989828000,192889000,-45276000,147613000,147613000,1137441000,-3844000,6342000,8158000,7989000,18645000,-7422000,-7422000,-7422000,-75693999.9999999,-83116000,-227435000,-230674000,-295145000,-295145000,-295145000,2908000,1.77635683940025e-15,3962000,0.56399,-0.04515,-0.05054,-0.02604,-0.00338,-1.0307,1.09032,6.70556,0,-0.07449,-0.0708299999999999,1.47402,2.86066,0.07678,-0.02364,0.02436,-35.58047,30.13046
"17","2018_Q2",57.30328125,"Up",81500000,-34959000,46541000,-46026000,-37131000,-21180000,-15951000,-8895000,515000,109000,109000,624000,624000,-81000,543000,543000,543000,543000,97399000,97399000,2565000,2565000,955483000,13494000,941989000,1055447000,44968000,33853000,8548000,6003000,1323000,78821000,1134268000,28592000,1864000,26728000,941989000,941989000,970581000,14967000,14967000,985548000,193458000,-44733000,148720000,148720000,1134268000,543000,6673000,6570000,-5583000,8203000,-2693000,-2693000,-2693000,53784000,-7332000,-470000,-6940000,-6069000,-6069000,-6069000,7188000,0,-1007000,0.57106,0.00632,0.00666,0.00365,0.00048,-1.85451,1.08744,6.62687,0,0.01046,0.00994,1.57054,2.8659,-0.01941,0.00332,-0.00615,-13.55022,-189.12427
"18","2018_Q3",70.8430158730159,"Up",86004000,-36840000,49164000,-49031000,-39757000,-21598000,-18159000,-9274000,133000,141000,141000,274000.000000002,274000.000000002,157000.000000001,431000,431000,431000,431000,111027000,111027000,2739000,2739000,1353158000,7456000,1345702000,1466924000,48354000,34050000,8189000,6003000,1072000,82404000,1549328000,30922000,1794000,29128000,1345702000,1345702000,1376624000,14551000,14551000,1391175000,202565000,-44302000,158153000,158153000,1549328000,431000,6765000,7804000,10965000,25965000,-5305000,-5305000,-5305000,-397960000,-416868000,403713000,404531000,13628000,13628000,13628000,6898000,0,12401000,0.57165,0.00155000000000002,0.00501000000000006,0.00273,0.000279999999999997,28.77262,1.0656,8.79639,0,0.00820999999999994,0.00788,1.63814,3.01238,0.23621,0.0025,0.0718,-16.09553,-834.78947
"19","2018_Q4",64.1173015873016,"Down",113407000,-38652000,74755000,-54290000,-45232000,-26004000,-19228000,-9058000,20465000,215000,215000,20680000,20680000,18497000,39177000,39177000,39177000,39177000,129530000,129530000,3384000,3384000,1364443000,16921000,1347522000,1497357000,50380000,63141000,13457000,9754000,1022000,113521000,1610878000,37845000,2371000,35474000,1347522000,1347522000,1385367000,20963000,20963000,1406330000,209844000,-5125000,204548000,204548000,1610878000,39177000,7202000,-11009000,-195000,35175000,-1376000,-1376000,-1376000,318990000,314867000,132000,-1231000,348811000,348811000,348811000,27667000,0,7599000,0.65917,0.18046,0.34545,0.19153,0.02432,0.19397,1.08084,6.87531,0,0.7447,0.71396,2.1557,3.88815,0.14445,0.17373,0.0337,-4.68175,-6.32934
"20","2019_Q1",77.6972131147541,"Up",96616000,-38746000,57870000,-63034000,-52616000,-26702000,-25914000,-10418000,-5164000.00000001,337000,337000,-4827000.00000001,-4827000.00000001,3274000,-1553000.00000001,-1553000.00000001,-1553000.00000001,-1553000,137925000,137193000,3453000,3453000,1236862000,11248000,1225614000,1378240000,62029000,67330000,13002000,9590000,1504000,129359000,1507599000,45231000,2990000,42241000,1225614000,1225614000,1270845000,23930000,23930000,1294775000,219641000,-6678000,212824000,212824000,1507599000,-1553000.00000001,9562000,5201000,15313000,28523000,-12302000,-12302000,-12302000,-2205999.99999988,-69946000.0000001,-121908000,-121143000,-162566000,-162566000,-162566000,4398000.00000001,2.27373675443232e-13,4135000,0.59897,-0.05345,-0.0160699999999999,-0.00730000000000003,-0.00103,-2.66259,1.08451,6.08378,0,-0.02947,-0.02803,1.83339,4.03856,0.07847,-0.00656000000000001,0.01747,-31.36085,26.70895
"21","2019_Q2",94.9463492063492,"Up",100504000,-35942000,64562000,-60786000,-49386000,-26418000,-22968000,-11400000,3776000,269000,269000,4045000,4045000,5807000,9852000,9852000,9852000,9852000,84887000,63662000,2992000,2992000,1198591000,14220000,1184371000,1286470000,61823000,115810000,12439000,9590000,62193000,177633000,1464103000,39237000,3559000,35678000,1168156000,1168156000,1207393000,24084000,24084000,1231477000,176904000,55846000,232626000,232626000,1464103000,9852000,8232000,3480000,-14220000,7344000,-2428000,-2428000,-2428000,-5001000,-26790000,-57458000,-109932000,-129378000,-129378000,-129378000,12008000,0,-10447000,0.64238,0.03757,0.09803,0.04235,0.00673,-1.06039,1.06549,5.29381,0,0.18636,0.17756,1.90114,4.40038,-0.19762,0.03838,-0.0407,-7.0692,-22.48067
"22","2019_Q3",102.38203125,"Up",107204000,-38070000,69134000,-62107000,-49309000,-26570000,-22739000,-12798000,7027000,346000,346000,7373000,7373000,-1669000,5704000,5704000,5704000,5704000,104048000,84114000,4267000,4267000,1288991000,12553000,1276438000,1397306000,62662000,120384000,11876000,9590000,67864000,183046000,1580352000,46705000,3498000,43207000,1258773000,1258773000,1305478000,23937000,23937000,1329415000,189526000,61550000,250937000,250937000,1580352000,5704000,8569000,11481000,1198000,26952000,-5104000,-5104000,-5104000,-4675000,-18592000,90617000,92131000,100491000,100491000,100491000,15596000,3.63797880709171e-12,13359000,0.64488,0.06555,0.05321,0.02273,0.00361,2.34204,1.07034,5.2978,1.6940658945086e-21,0.10795,0.10375,2.0288,4.74891,0.25282,0.02075,0.0486,-6.67145,-14.80689
"23","2019_Q4",109.5203125,"Up",139552000,-39745000,99807000,-63595000,-50907000,-27699000,-23208000,-12688000,36212000,540000,540000,36752000,36752000,-8726000,28026000,28026000,28026000,28026000,139015000,90856000,5137000,5137000,1763996000,21922000,1742074000,1908148000,64893000,121955000,11314000,9590000,76467000,186848000,2094996000,53740000,5344000,48396000,1722309000,1722309000,1776049000,32722000,32722000,1808771000,196627000,89576000,286225000,286225000,2094996000,28026000,8412000,17472000,-9047000,44863000,-2089000,-2089000,-2089000,-5814000,-28797000,463536000,460665000,476731000,476731000,476731000,44624000,0,42214000,0.7152,0.25949,0.20083,0.09792,0.01338,1.50624,1.07438,6.3194,0,0.52945,0.5061,2.63634,5.40721,0.79748,0.08787,0.13235,-3.11525,-3.83892
"24","2020_Q1",125.561612903226,"Up",120373000,-40094000,80279000,-71070000,-57627000,-31912000,-25715000,-13443000,9209000,667000,667000,9876000,9876000,365000,10241000,10241000,10241000,10241000,161790000,132476000,4358000,4358000,1430041000,13895000,1416146000,1596189000,70056000,137696000,10751000,9590000,83397000,207752000,1803941000,61579000,3954000,57625000,1394469000,1394469000,1456048000,39929000,39929000,1495977000,208035000,99817000,307964000,307964000,1803941000,10241000,9351000,8973000,7308000,35873000,-1659000,-1659000,-1659000,-12132000,30835000,-353047000,-328140000,-261432000,-261432000,-261432000,18560000,5.82076609134674e-11,23844000,0.66692,0.0765000000000001,0.08508,0.03325,0.00568,2.32829,1.09625,4.85764,0,0.19317,0.18348,2.2705,5.80889,0.44975,0.02944,0.06854,-8.71713,-17.56868
"25","2020_Q2",116.343174603175,"Down",126720000,-42630000,84090000,-78090000,-63696000,-36957000,-26739000,-14394000,6e+06,474000,474000,6474000,6474000,7432000,13906000,13906000,13906000,13906000,129659000,100529000,3906000,3906000,1192171000,13941000,1178230000,1325736000,72584000,200154000,10188000,9590000,143628000,272738000,1598474000,56557000,5061000,51496000,1154527000,1154527000,1211084000,77931000,77931000,1289015000,195620000,113723000,309459000,309459000,1598474000,13906000,8933000,4264000,-18838000,8265000,-8033000,-8033000,-8033000,-6714000,-33214000,-240611000,-265360000,-290309000,-290309000,-290309000,14933000,0,-19370000,0.66359,0.04735,0.10974,0.04494,0.0087,-1.39292,1.09467,4.16538,0,0.26096,0.2496,2.37807,5.8074,-0.3635,0.0359,-0.05,-8.68272,-21.60983
"26","2020_Q3",140.8053125,"Up",132374000,-45424000,86950000,-80836000,-65426000,-37293000,-28133000,-15410000,6114000,285000,285000,6399000,6399000,-932000,5467000,5467000,5467000,5467000,145749000,75900000,4348000,4348000,1884320000,12876000,1871444000,2034417000,71090000,217925000,9626000,9590000,159332000,289015000,2323432000,66567000,3714000,62853000,1845294000,1845294000,1911861000,80007000,80007000,1991868000,212294000,119190000,331564000,331564000,2323432000,5467000,9328000,13402000,-384000,27813000,-4365000,-4365000,-4365000,-5425000,-120493000,664807000,693517000,600837000,600837000,600837000,15442000,9.31322574615479e-10,11625000,0.65685,0.04619,0.0413,0.01649,0.00235,2.12639,1.0641,6.00749,0,0.1021,0.0982,2.47229,6.19248,0.21712,0.01328,0.02825,-9.43848,-23.83857
"27","2020_Q4",192.3928125,"Up",171646000,-48081000,123565000,-75824000,-60212000,-37801000,-22411000,-15612000,47741000,435000,435000,48176000,48176000,-8044000,40132000,40132000,40132000,40132000,180633000,114325000,5761000,5761000,1771599000,13337000,1758262000,1957993000,68698000,230237000,9063000,9590000,170288000,298935000,2256928000,67628000,3626000,64002000,1729176000,1729176000,1796804000,85749000,85749000,1882553000,215155000,159322000,374375000,374375000,2256928000,40132000,9571000,17229000,-16215000,50717000,-2180000,-2180000,-2180000,-7074000,-29636000,-123300000,-123300000,-102219000,-102219000,-102219000,57312000,0,46961000,0.71988,0.27814,0.23381,0.1072,0.01778,1.17016,1.08971,5.02852,0,0.74834,0.71798,3.20068,6.98096,0.87568,0.08722,0.10206,-3.15175,-3.7836
"28","2021_Q1",190.602786885246,"Down",130589000,-45875000,84714000,-78398000,-61048000,-33083000,-27965000,-17350000,6316000,-247000,-247000,6068999.99999999,6068999.99999999,-1119000,4949999.99999999,4949999.99999999,4949999.99999999,4950000,285407000,250851000,4923000,4923000,1372824000,13188000,1359636000,1663154000,66737000,255757000,13360000,21655000,215787000,322494000,1985648000,81636000,1755000,79881000,1327304000,1327304000,1408940000,83800000,183800000,1592740000,227961000,164272000,392908000,392908000,1985648000,4949999.99999999,10081000,14374000,-3545000,25860000,-2e+06,-2e+06,-2e+06,-6502000,134586000,-407705000,-302765000,-142319000,-142319000,-142319000,16397000,1e+08,11971000,0.64871,0.04837,0.03791,0.0126,0.00249,2.41838,1.18043,4.05372,0.05036,0.0921300000000003,0.08848,2.43047,7.31264,0.2228,0.00857999999999999,0.02076,-11.30737,-29.35513
"29","2021_Q2",179.928571428571,"Down",135794000,-49380000,86414000,-82965000,-64318000,-37674000,-26644000,-18647000,3449000,-257000,-257000,3192000,3192000,9268000,12460000,12460000,12460000,12460000,240068000,221514000,4672000,4672000,1428301000,15202000,1413099000,1673041000,66068000,265742000,12516000,21655000,186424000,331810000,2004851000,65552000,3209000,62343000,1378975000,1378975000,1444527000,73504000,173504000,1618031000,209636000,176732000,386820000,386820000,2004851000,12460000,10235000,5266000,-29528000,-1567000,-2045000,-2045000,-2045000,-7884000,27564000,18260000,18260000,44257000,44257000,44257000,13684000,1e+08,-27157000,0.63636,0.0254,0.09176,0.03221,0.00621,-2.17953,1.15819,4.1829,0.04988,0.23068,0.2223,2.51401,7.16134,-0.50277,0.02224,-0.04847,-10.2359,-40.61119
"30","2021_Q3",240.25484375,"Up",146329000,-53542000,92787000,-86436000,-67098000,-37775000,-29323000,-19338000,6351000,-379000,-379000,5972000,5972000,3670000,9642000,9642000,9642000,9642000,232333000,218696000,6118000,6118000,2257366000,15633000,2241733000,2495817000,64066000,291080000,15083000,33184000,233297000,355146000,2850963000,66975000,2771000,64204000,2204286000,2204286000,2271261000,71484000,171484000,2442745000,221579000,186374000,408218000,408218000,2850963000,9642000,10836000,13681000,-12920000,21239000,-4e+06,-4e+06,-4e+06,-6948000,-4437000,813956000,820056000,836858000,836858000,836858000,17187000,1e+08,-3403000,0.6341,0.0434,0.06589,0.02362,0.00338,-0.35294,1.09887,5.98392,0.03508,0.17755,0.17158,2.69458,7.51713,-0.0626600000000001,0.01663,-0.00587,-7.6996,-20.83656
