"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","income_loss_from_affiliates","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",7.36983870967742,"Up",74054000,-15750000,-1399000,-14351000,35572000,-11663000,-12540000,-12540000,877000,23909000,23909000,-137000,23772000,23772000,-582000,23190000,23336000,1993000,1993000,6527000,6527000,40618000,4313000,36305000,49138000,943604000,387031000,256498000,25179000,105354000,1330635000,1379773000,18849000,5662000,2506000,10681000,11769000,9280000,2489000,30618000,874434000,7574000,7574000,882008000,912626000,373152000,367266000,467147000,1379773000,23772000,14351000,2655000,2655000,-2656000,38122000,-10274000,-10274000,1748000,-8526000,78000,-31897000,-31819000,-2223000,-2223000,-2223000,49923000,874434000,37130000,0.48035,0.31512,0.04995,0.01691,1.5911,1.60487,1.95362,0.63375,0.20651,0.20651,0.65535,3.25014,0.32858,0.0173,0.02752,17.47573,24.52606
"12","2013_Q1",16.0145,"Up",81431000,-105571000,-1669000,-14660000,40974000,-12041000,-12913000,-12913000,862000,28933000,28933000,-84000,28849000,28849000,-1811000,27038000,27039000,5237000,5237000,7126000,7126000,35213000,3619000,31594000,47576000,960535000,385999000,256498000,25041000,104460000,1346534000,1394110000,24944000,7045000,10226000,7673000,10806000,8901000,1905000,35750000,864674000,26927000,15433000,891601000,927351000,370835000,366556000,466759000,1394110000,28849000,14660000,5285000,5285000,4467000,53261000,-6213000,-6213000,-16486000,-22699000,-12335000,-14983000,-27318000,3244000,3244000,3244000,55634000,864674000,53972000,0.50317,0.33205,0.05793,0.0194,1.99608,1.3308,1.98679,0.62023,0.48547,0.48547,1.46206,6.58137,0.96905,0.01991,0.03973,15.44805,20.97518
"13","2013_Q2",17.60421875,"Up",74298000,-43251000,-3232000,-14154000,31047000,-11724000,-12381000,-12484000,657000,19323000,21345000,-56000,21289000,21289000,-2890000,18399000,18399000,18193000,18193000,6073000,6073000,34530000,3475000,31055000,58796000,955920000,383470000,256498000,25011000,101961000,1339390000,1398186000,17433000,7429000,2366000,7638000,9048000,6627000,2421000,26481000,811913000,30192000,14723000,842105000,868586000,430890000,428022000,529600000,1398186000,21289000,14154000,480000,480000,-5074000,30849000,-4164000,-6645000,30000,-4134000,-5.3e+07,-34203000,-13759000,12956000,12956000,12956000,45201000,811913000,36019000,0.41787,0.24764,0.03474,0.01316,1.95766,2.22031,1.64008,0.58069,0.32279,0.32279,1.30347,7.50916,0.63191,0.01341,0.02626,17.55979,25.56511
"14","2013_Q3",17.02875,"Down",75285000,-42765000,-3100000,-15127000,32520000,-10879000,-11625000,-11629000,746000,21641000,21641000,-344000,21297000,21297000,-1130000,20167000,20167000,8716000,8716000,4550000,4550000,35885000,4314000,31571000,49151000,954132000,383428000,256498000,24882000,102048000,1337560000,1386711000,27683000,9358000,10314000,8011000,10643000,8601000,2042000,38326000,799152000,31106000,13525000,830258000,868584000,418416000,418961000,518127000,1386711000,21297000,15127000,1288000,1288000,13482000,51194000,-10579000,-10579000,129000,-10450000,-1.3e+07,-37221000,-50221000,-9477000,-9477000,-9477000,47647000,799152000,50894000,0.43196,0.26788,0.03892,0.01454,2.52363,1.28245,1.67639,0.57629,0.34356,0.34356,1.28254,7.13733,0.86702,0.01496,0.03774,16.58942,24.30615
"15","2013_Q4",15.069375,"Down",77723000,-43550000,-2415000,-19449000,34173000,-10917000,-11813000,-11816000,835000,23256000,23097000,-40000,23057000,23057000,-1172000,21885000,21885000,11220000,11220000,5185000,5185000,35030000,4339000,30691000,51435000,950564000,380373000,256498000,24966000,98909000,1330937000,1382372000,20490000,8839000,2280000,9371000,14835000,12427000,2408000,35325000,809391000,33474000,13639000,842865000,878190000,406590000,406038000,504182000,1382372000,23057000,19449000,1451000,1451000,1613000,45570000,-16315000,-16315000,-84000,-16399000,1e+07,-36667000,-26667000,2504000,2504000,2504000,53622000,809391000,38960000,0.43968,0.28158,0.04341,0.01583,1.78021,1.45605,1.74181,0.58551,0.37283,0.37283,1.32407,6.91717,0.66371,0.01625,0.02892,14.88514,23.35677
"16","2014_Q1",15.8886885245902,"Up",77876000,-47050000,-3002000,-16693000,30826000,-10442000,-11030000,-11081000,588000,20384000,20331000,107000,20438000,20438000,-1440000,18998000,18998000,6352000,6352000,5061000,5061000,33549000,3874000,29675000,44962000,957814000,379732000,256498000,24741000,98493000,1337546000,1382508000,35740000,14414000,10239000,11087000,15826000,13981000,1845000,51566000,807630000,36254000,14585000,843884000,895450000,389714000,389570000,487058000,1382508000,20438000,16693000,1516000,1516000,16820000,55467000,-22824000,-23074000,225000,-22599000,-2e+06,-35736000,-37736000,-4868000,-4868000,-4868000,47519000,807630000,41408000,0.39583,0.24395,0.03901,0.01374,2.1796,0.87193,1.83849,0.58418,0.32429,0.32429,1.3293,6.64977,0.70681,0.01427,0.03111,16.86227,25.99358
"17","2014_Q2",16.3984126984127,"Up",87004000,-41551000,-3151000,-15588000,45453000,-9921000,-10451000,-10454000,522000,35532000,27855000,-75000,27780000,27780000,-3637000,24143000,24143000,4879000,4879000,5365000,5365000,32559000,3499000,29060000,42803000,958749000,377179000,256498000,24701000,95980000,1335928000,1378731000,20857000,11163000,1776000,7918000,9003000,6854000,2149000,29860000,833790000,37756000,13817000,871546000,901406000,378623000,378574000,477325000,1378731000,27780000,15588000,9008000,9008000,-13360000,39016000,-20604000,-20604000,40000.0000000005,-20564000,18512000,-38437000,-19925000,-1473000,-1473000,-1473000,61041000,833790000,27152000,0.52242,0.27749,0.05058,0.01751,1.12463,1.43346,1.88845,0.60475,0.41129,0.41129,1.48218,6.4493,0.46256,0.0179,0.02013,13.57958,18.23666
"18","2014_Q3",17.33734375,"Up",74998000,-42965000,-2516000,-15882000,32033000,-7555000,-8329000,-8329000,748000,24478000,24478000,-28000,24450000,24450000,-1416000,23034000,23034000,6066000,6066000,6507000,6507000,31598000,3746000,27852000,44171000,966464000,374109000,256498000,24637000,92974000,1340573000,1384744000,28908000,13717000,6688000,8503000,15325000,12327000,2998000,44233000,839253000,38946000,13306000,878199000,922432000,365842000,365047000,462312000,1384744000,24450000,15882000,1274000,1274000,11741000,53347000,-17970000,-17970000,65000,-17905000,5300000,-39555000,-34255000,1187000,1187000,1187000,47915000,839253000,41714000,0.42712,0.30713,0.04982,0.01663,1.81098,0.9986,1.99526,0.60607,0.3924,0.3924,1.27765,6.21886,0.71063,0.01718,0.03112,17.38886,26.01027
"19","2014_Q4",16.6090625,"Down",82130000,-43205000,-2266000,-15483000,38925000,-7694000,-8585000,-8585000,880000,31231000,31231000,-42000,31189000,31189000,-1509000,29680000,29680000,1667000,1667000,5761000,5761000,34630000,4419000,30211000,42058000,971560000,372551000,256498000,24579000,91474000,1344111000,1386169000,23377000,10792000,1823000,10762000,17133000,14271000,2862000,40510000,851416000,39806000,13374000,891222000,931732000,358281000,358595000,454437000,1386169000,31189000,15483000,1272000,1272000,-3654000,44290000,-19739000,-19739000,58000.0000000037,-19681000,1.2e+07,-41008000,-29008000,-4399000,-4399000,-4399000,54408000,851416000,31057000,0.47394,0.36138,0.06531,0.02141,1.04639,1.03821,2.0503,0.61422,0.50562,0.50562,1.39915,6.10894,0.52908,0.02206,0.02308,15.61809,21.83042
"20","2015_Q1",16.5149180327869,"Down",88413000,-51817000,-2891000,-15576000,36596000,-7941000,-8733000,-8733000,837000,28655000,28737000,-90000,28647000,28647000,-1726000,26921000,28668000,2830000,2830000,6737000,6737000,37775000,4383000,33392000,47342000,1018598000,373141000,256498000,24478000,92165000,1391739000,1439081000,30941000,16384000,6615000,7942000,17003000,12432000,4571000,47944000,866986000,47537000,18145000,914523000,962467000,381578000,381532000,476614000,1439081000,28647000,15576000,1482000,1482000,2898000,48603000,-21646000,-21646000,-118627000,-20162000,1.6e+07,-43278000,-27278000,1163000,1163000,1163000,52172000,866986000,33514000,0.41392,0.32425,0.06015,0.01992,1.16904,0.98744,2.01938,0.60246,0.48982,0.48982,1.51061,6.51879,0.57261,0.02061,0.02409,16.5636,23.6134
"21","2015_Q2",17.3403174603175,"Up",89756000,-46153000,-3290000,-14798000,43603000,-8034000,-8768000,-8768000,734000,35569000,35728000,-101000,35627000,35627000,-4027000,31600000,31600000,5802000,5802000,11837000,11837000,32407000,4389000,28018000,50046000,1003988000,370565000,256498000,24462000,89605000,1374553000,1424599000,33041000,12689000,1804000,18548000,12221000,7819000,4402000,45262000,890742000,52742000,22093000,943484000,988746000,340529000,339734000,435853000,1424599000,35627000,14798000,1173000,1173000,9194000,60792000,-24009000,-24227000,-27012000,-51021000,2.3e+07,-29799000,-6799000,2972000,2972000,2972000,58401000,890742000,43687000,0.48579,0.35207,0.0725,0.02218,1.3825,1.1057,2.26853,0.62526,0.53833,0.53833,1.52906,5.78763,0.74424,0.02291,0.03167,15.15282,20.29539
"22","2015_Q3",16.5571875,"Down",83479000,-43275000,-2696000,-15179000,40204000,-8401000,-9053000,-9056000,631000,31803000,31853000,64000,31917000,31917000,-1743000,30174000,30174000,10424000,10424000,11286000,11286000,33496000,4738000,28758000,55206000,1000808000,369229000,256498000,24280000,88451000,1370037000,1425243000,27246000,8317000,6783000,12146000,14766000,9940000,4826000,42012000,900905000,56616000,21132000,957521000,999533000,331818000,331245000,425710000,1425243000,31917000,15179000,1310000,1310000,1056000,49462000,-17369000,-18116000,432000,-16937000,1e+07,-37903000,-27903000,4622000,4622000,4622000,55383000,900905000,39006000,0.48161,0.36146,0.07088,0.02117,1.2927,1.31405,2.34792,0.63211,0.51404,0.51404,1.42213,5.64302,0.6645,0.02181,0.0282,16.0786,22.14906
"23","2015_Q4",17.42703125,"Up",88389000,-44313000,-3673000,-16444000,44076000,-7857000,-9105000,-9486000,1269000,36219000,36416000,-69000,36347000,36347000,-2081000,34266000,34266000,10856000,10856000,7867000,7867000,30674000,4573000,26101000,49397000,990567000,426065000,256498000,79378000,90189000,1416632000,1466029000,19564000,7522000,1851000,10191000,15976000,11674000,4302000,35540000,951067000,58774000,21532000,1009841000,1045381000,326738000,325904000,420648000,1466029000,36347000,16444000,1198000,1198000,1352000,55341000,-13190000,-13469000,61999.9999999925,-67769000,5e+07,-37140000,12860000,432000,432000,432000,60520000,951067000,48751000,0.49866,0.38767,0.08146,0.02337,1.42272,1.3899,2.48517,0.64874,0.58375,0.58375,1.50578,5.55203,0.83051,0.02395,0.03408,15.53554,21.33159
"24","2016_Q1",15.6450819672131,"Down",97251000,-47677000,-2897000,-16885000,49574000,-7797000,-9966000,-10108000,2169000,41777000,41857000,-122000,41735000,41735000,-3269000,38466000,41168000,15013000,15013000,8593000,8593000,37536000,5054000,32482000,61142000,1293060000,423444000,256498000,79438000,87508000,1716504000,1777646000,33099000,10948000,6752000,15399000,15825000,12016000,3809000,48924000,1008752000,59807000,20744000,1068559000,1117483000,565544000,565734000,660163000,1777646000,41735000,16885000,1930000,1930000,5297000,65847000,16454000,16419000,-127016000,17523000,-4e+06,-75213000,-79213000,4157000,4157000,4157000,66459000,1008752000,88332000,0.50975,0.42332,0.06236,0.02316,2.14565,1.24973,1.69274,0.56747,0.70339,0.70339,1.66161,9.66604,1.50923,0.02381,0.0511,14.95266,20.04557
"25","2016_Q2",18.95015625,"Up",102010000,-47497000,-3091000,-16551000,54513000,-7658000,-10423000,-10535000,2765000,46855000,46847000,-95000,46752000,46752000,-4927000,41825000,42975000,9034000,9034000,7936000,7936000,38301000,5181000,33120000,55271000,1052772000,464518000,256498000,124134000,83886000,1517290000,1572561000,24559000,12305000,1972000,10282000,9995000,7050000,2945000,34554000,1061944000,55838000,16397000,1117782000,1152336000,324248000,323985000,420225000,1572561000,46752000,16551000,879000,879000,-16813000,47369000,-17861000,-17873000,-24212000,-16730000,13500000,-50118000,-36618000,-5979000,-5979000,-5979000,71064000,1061944000,36485000,0.53439,0.42128,0.10227,0.02733,0.84898,1.59955,2.74219,0.6753,0.73211,0.73211,1.73782,5.51934,0.62155,0.02794,0.02372,14.81636,19.31484
"26","2016_Q3",19.35515625,"Up",94897000,-47787000,-2863000,-15712000,47110000,-7541000,-11164000,-11276000,3623000,39569000,39569000,-54000,39515000,39515000,-2355000,37160000,39120000,4882000,4882000,7288000,7288000,47483000,4638000,42845000,59653000,1054162000,503514000,256498000,165362000,81654000,1557676000,1617329000,33262000,12245000,6661000,14356000,12851000,9553000,3298000,46113000,1083136000,59664000,17190000,1142800000,1188913000,333374000,332969000,428416000,1617329000,39515000,15712000,1281000,1281000,7425000,63933000,-14788000,-14794000,-17010000,-53934000,19755000,-47596000,-14151000,-4152000,-4152000,-4152000,62822000,1083136000,55513000,0.49643,0.41224,0.09131,0.02419,1.41904,1.29363,2.77514,0.66971,0.66418,0.66418,1.61115,5.65312,0.9425,0.0249,0.03533,17.16364,22.88801
"27","2016_Q4",18.8330158730159,"Down",92610000,-53685000,-2664000,-18920000,38925000,-10572000,-14339000,-14447000,3767000,28353000,28465000,-61000,28404000,28404000,-1166000,27238000,34785000,7208000,7208000,7072000,7072000,33749000,4238000,29511000,48029000,1054158000,502310000,256498000,166531000,79281000,1556468000,1604497000,32408000,12374000,7193000,12841000,14718000,11927000,2791000,47126000,1070615000,62182000,16742000,1132797000,1179923000,330002000,329893000,424574000,1604497000,28404000,18920000,508000,508000,18840000,66672000,-15365000,-15557000,-5335000,-11430000,-1.2e+07,-50017000,-52916000,2326000,2326000,2326000,57845000,1070615000,61381000,0.42031,0.37561,0.08193,0.02168,1.76458,1.01916,2.77908,0.66726,0.58758,0.58758,1.56436,5.57252,1.03684,0.02234,0.03941,18.38373,27.31938
"28","2017_Q1",20.8362903225806,"Up",112526000,-57977000,-3914000,-19245000,54549000,-12128000,-16186000,-16294000,4058000,42421000,42994000,-75000,42919000,42919000,-1558000,41361000,41361000,3657000,3657000,7846000,7846000,45450000,2888000,42562000,56953000,1328395000,498889000,256498000,165609000,9926000,1827284000,1884237000,50408000,10518000,18069000,21821000,14327000,11102000,3225000,64735000,1243912000,63480000,16445000,1307392000,1372127000,418462000,418553000,512110000,1884237000,42919000,19245000,1916000,1916000,1494000,65574000,-11263000,-11480000,49550000,-9673999.99999999,-1.05e+08,-57530000,-59451000,-3551000,-3551000,-3551000,73794000,1243912000,64100000,0.48477,0.36757,0.08077,0.02195,1.54977,0.87979,2.67936,0.66017,0.65979,0.65979,1.79502,6.67676,1.02252,0.02273,0.03523,16.80699,22.73653
"29","2017_Q2",20.4250793650794,"Down",105634000,-53900000,-2634000,-18777000,51734000,-11597000,-13437000,-13539000,1840000,40137000,27985000,-106000,27879000,27879000,-2316000,25563000,25563000,7007000,7007000,10111000,10111000,38804000,3170000,35634000,55922000,1320981000,493232000,256498000,162319000,74415000,1814213000,1870135000,27865000,11459000,4518000,11888000,14586000,11807000,2779000,42451000,1240565000,63402000,16521000,1303967000,1346418000,430372000,430526000,523717000,1870135000,27879000,18777000,13643000,13643000,-16664000,43635000,-7841000,-8265000,3016000,-4825000,-15853000,-57170000,-35460000,3350000,3350000,3350000,70511000,1240565000,46112000,0.48975,0.242,0.04881,0.01367,1.80386,1.31733,2.57089,0.66336,0.40512,0.40512,1.67407,6.82292,0.73078,0.01399,0.02523,17.49455,23.84424
"30","2017_Q3",20.3611111111111,"Down",109143000,-56657000,-2615000,-19945000,52486000,-9592000,-13645000,-13748000,4053000,42894000,42983000,-127000,42856000,42856000,-1521000,41335000,41335000,16339000,16339000,8131000,8131000,39729000,3122000,36607000,64199000,1311766000,491926000,256498000,163360000,72068000,1803692000,1867891000,30874000,8632000,10550000,11692000,16734000,13545000,3189000,47608000,1236739000,61962000,15717000,1298701000,1346309000,428989000,429052000,521582000,1867891000,42856000,19945000,1656000,1656000,5509000,69966000,-12048000,-12259000,-1362000,-13410000,-3999999.99999999,-58295000,-47224000,9332000,9332000,9332000,72431000,1236739000,66019000,0.48089,0.37872,0.07925,0.02213,1.59717,1.34849,2.5812,0.6621,0.64485,0.64485,1.7027,6.69348,1.02994,0.02271,0.03627,16.84914,23.25191
