"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q2",62.1938095238095,"Up",304516000,-184351000,120165000,-87490000,-87490000,32675000,-2858000,-2942000,84000,29817000,17768000,-3376000,14392000,14392000,14392000,14392000,12130000,12130000,206021000,206021000,288382000,33014000,12174000,539547000,115806000,805208000,453241000,338230000,2435000,11302000,921014000,1460561000,210600000,86534000,124066000,21900000,270863000,164935000,80441000,56900000,23541000,245376000,516239000,171770000,774836000,-2284000,944322000,944322000,1460561000,14392000,8447000,15234000,8760000,46833000,-1.7e+07,-1.7e+07,-32165000,1447000,2758000,-30545000,-712000,-712000,-712000,41122000,186835000,36258000,0.39461,0.1073,0.04726,0.01524,0.00985,2.51932,1.99196,0.54668,0.12792,0.45105,0.44723,9.54356,29.59515,1.13633,0.01188,0.02993,4.24846,5.34675
"12","2014_Q3",56.10125,"Down",319387000,-196133000,123254000,-92899000,-92899000,30355000,-2136000,-2192000,56000,28219000,28219000,-4902000,23317000,23317000,23317000,23317000,10097000,10097000,231309000,231309000,306854000,39643000,13715000,587903000,130450000,799818000,453241000,332918000,2726000,10933000,930268000,1518171000,240049000,109067000,130982000,96900000,360673000,107247000,79528000,55889000,23639000,186775000,547448000,174467000,798099000,-1843000,970723000,970723000,1518171000,23317000,7991000,-1150000,-19851000,10307000,-17578000,-17578000,2812000,1753000,1753000,5238000,-2033000,-2033000,-2033000,38346000,204147000,5819000,0.38591,0.09504,0.07301,0.02402,0.01536,0.24956,1.63002,0.56396,0.13447,0.72882,0.72251,9.98303,30.34173,0.18188,0.01859,0.00464,5.0605,6.39269
"13","2014_Q4",61.548125,"Up",380730000,-233029000,147701000,-98308000,-98308000,49393000,-2500000,-2513000,13000,46893000,46893000,-9369000,37524000,37524000,37524000,37524000,28775000,28775000,279699000,279699000,289890000,35635000,10321000,633999000,130577000,794444000,453241000,327604000,2780000,10819000,925021000,1559020000,253119000,93322000,158536000,96900000,355162000,113609000,80427000,55880000,24547000,194036000,549198000,175971000,835577000,-1726000,1009822000,1009822000,1559020000,37524000,8746000,1524000,-13822000,33972000,-3985000,-3985000,-12238000,508000,508000,-11309000,18678000,18678000,18678000,58139000,210509000,49701000,0.38794,0.12973,0.09856,0.03716,0.02407,1.32451,1.7851,0.54386,0.13503,1.17098,1.15526,11.8811,31.51262,1.55098,0.02885,0.03821,3.12585,3.67935
"14","2015_Q1",76.2934426229508,"Up",440498000,-232059000,208439000,-150143000,-150143000,58296000,-7011000,-7375000,364000,51285000,54334000,1597000,55931000,55931000,55931000,55931000,70027000,70027000,213054000,213054000,289255000,43140000,10097000,615476000,129117000,788709000,453241000,322309000,2523000,10636000,917826000,1533302000,232273000,75585000,156688000,96900000,329354000,95707000,78754000,56988000,21766000,174461000,503815000,184088000,846490000,-1091000,1029487000,1029487000,1533302000,55931000,14469000,-270000,18022000,88152000,32042000,-163901000,282191000,-269686000,2602000,2084000,-73665000,-73665000,-73665000,72765000,192607000,121232000,0.47319,0.13234,0.12697,0.05433,0.03648,2.16753,1.86874,0.48938,0.12562,1.74338,1.7151,13.73038,32.08924,3.77882,0.043,0.09319,1.6846,2.10272
"15","2015_Q2",87.9695238095238,"Up",311778000,-192258000,119520000,-87397000,-87397000,32123000,-3367000,-3417000,50000,28756000,19756000,-3358000,16398000,16398000,16398000,16398000,29170000,29170000,217415000,217415000,298450000,41259000,8501000,586294000,127586000,773775000,453241000,308161000,2343000,10030000,901361000,1487655000,209389000,84818000,124571000,96900000,541471000,93807000,72574000,54069000,18505000,166381000,707852000,172923000,607170000,-290000,779803000,779803000,1487655000,16398000,8500000,11992000,-33919000,2971000,-1822000,-1822000,233100000,-270663000,2935000,-42006000,-40857000,-40857000,-40857000,40623000,190707000,8240000,0.38335,0.10303,0.0526,0.02103,0.01102,0.5025,1.08278,0.90773,0.12819,0.56341,0.55369,10.71218,26.79275,0.28311,0.01572,0.0079,3.97649,5.0287
"16","2015_Q3",89.6071875,"Up",319949000,-186205000,133744000,-109141000,-109141000,24603000,-3901000,-3998000,97000,20702000,20702000,-1863000,18839000,18839000,18839000,18839000,24726000,24726000,217066000,217066000,351823000,41466000,11286000,635081000,131311000,974593000,549827000,411524000,1646000,11596000,1105904000,1740985000,258038000,114704000,143334000,21900000,769021000,93807000,76347000,53891000,22456000,170154000,939175000,175744000,626010000,56000,801810000,801810000,1740985000,18839000,9993000,1428000,-15236000,15024000,-1866000,-197809000,178900000,1592000,1593000,178341000,-4444000,-4444000,-4444000,34596000,115707000,19357000,0.41802,0.0769,0.05888,0.0235,0.01082,1.0275,0.82583,1.17132,0.06646,0.66402,0.65486,11.27733,28.26161,0.682279999999999,0.01896,0.01948,2.62981,3.69796
"17","2015_Q4",99.9965625,"Up",528250000,-307666000,220584000,-159702000,-159702000,60882000,-634000,-720000,86000,60248000,66248000,-9845000,56403000,56403000,56403000,56403000,21056000,21056000,289449000,289449000,318823000,39228000,9118000,668556000,128588000,966552000,549829000,404871000,917000,10935000,1095140000,1763696000,269844000,101435000,164097000,21900000,731942000,93807000,78957000,53299000,25658000,172764000,904706000,177476000,681386000,128000,858990000,858990000,1763696000,56403000,13453000,-6671000,-7432000,55753000,-8723000,144470000,-370500000,229849000,6250000,-146076000,54147000,54147000,54147000,74335000,115707000,68025000,0.41758,0.11525,0.10677,0.06566,0.03198,1.20605,0.9134,1.05322,0.0656,1.98504,1.95667,18.59119,30.23122,2.39407,0.05353,0.06456,1.2733,1.55466
"18","2016_Q1",93.3508196721312,"Down",232598000,-180712000,51886000,-47200000,-47200000,4686000,-2380000,-2446000,66000,2306000,-694000.000000007,2045000,1350999.99999999,9588000,9588000,9588000,225800000,225800000,217543000,217543000,301609000,10136000,9780000,755088000,130465000,963341000,583005000,375751000,2484000,2101000,1093806000,1848894000,244958000,103713000,141245000,22644000,267602000,597270000,53979000,27364000,26615000,651249000,918851000,200851000,728527000,665000,930043000,930043000,1848894000,1350999.99999999,2943000,22430000,69789000,112795000,-4258000,-8585000,149200000,-48753000,1247000,100447000,204657000,204657000,204657000,7629000,619914000,71115000,0.22307,0.02015,0.04122,0.01031,0.00519,7.41708,2.82168,0.98797,0.33529,0.3373,0.33142,8.18258,32.71804,2.50176,0.00597999999999999,0.04434,51.65998,84.10457
"19","2016_Q2",100.9265625,"Up",347938000,-195511000,152427000,-122129000,-122129000,30298000,-3502000,-3651000,149000,26796000,19396000,-370000,19026000,19026000,19026000,19026000,15262000,15262000,210001000,210001000,299300000,41180000,11111000,565743000,125329000,996066000,582479000,398523000,2461000,12603000,1121395000,1687138000,244456000,113384000,131072000,23800000,268442000,415007000,71552000,51080000,20472000,486559000,755001000,189852000,742268000,17000,932137000,932137000,1687138000,19026000,10956000,10213000,1541000,41736000,-5152000,-214410000,-32700000,3127000,3127000,-30011000,-202685000,-202685000,-202685000,41254000,438807000,38013000,0.43809,0.08708,0.05468,0.02041,0.01128,1.99795,2.10751,0.80997,0.26009,0.66711,0.65408,12.19979,32.68363,1.33285,0.01319,0.02635,10.26676,13.97931
"20","2016_Q3",93.7353125,"Down",368170000,-205202000,162968000,-125481000,-125481000,37487000,-3778000,-3866000,88000,33709000,33709000,-5354000,28355000,28355000,28355000,28355000,19405000,19405000,227147000,227147000,348463000,38914000,11428000,633929000,124659000,988398000,582602000,391548000,1766000,12482000,1113057000,1746986000,287080000,143102000,142151000,23800000,311066000,455507000,69147000,48179000,20968000,524654000,835720000,191618000,719327000,321000,911266000,911266000,1746986000,28355000,11142000,1488000,2960000,43945000,-5031000,-5031000,-39200000,3002000,3002000,-36220000,2694000.00000006,2694000.00000006,2694000.00000006,48629000,479307000,51912000,0.44264,0.10182,0.07702,0.03112,0.01623,1.83079,2.03792,0.9171,0.27436,0.99715,0.97823,12.94732,32.04621,1.82557,0.01942,0.03556,9.45736,12.26831
"21","2016_Q4",83.6498412698413,"Down",444414000,-250199000,194215000,-130896000,-130896000,63319000,-3519000,-3625000,106000,59800000,59800000,-2188000,57612000,57612000,57612000,57612000,16780000,16780000,289943000,289943000,301088000,12251000,12251000,620062000,133879000,1135136000,698938000,430902000,2713000,2583000,1269015000,1889077000,302975000,134935000,165423000,24528000,327503000,540374000,41322000,19484000,21838000,581696000,909199000,215469000,762322000,2087000,979878000,979878000,1889077000,57612000,11225000,1123000,-16501000,53459000,-4774000,-4774000,16100000,-73678000,1322000,-57714000,-9029000,-9029000,-9029000,74544000,564902000,55457000,0.43701,0.14248,0.12964,0.0588,0.0305,0.96259,1.8933,0.92787,0.29904,2.04828,2.01194,15.80026,34.83763,1.97166,0.03632,0.03496,7.353,8.65652
"22","2017_Q1",94.3451612903226,"Up",246154000,-173207000,72947000,-31487000,-31487000,41460000,-3148000,-3219000,71000,38312000,42812000,-3495000,39317000,35696000,35696000,35696000,23848000,23848000,229416000,229416000,280877000,21937000,9668000,556078000,126502000,1130516000,602320000,336004000,1955000,1110000,1257018000,1813096000,253750000,105652000,148098000,24404000,289367000,461211000,41752000,20091000,17342000,502963000,792330000,221463000,798130000,1173000,1020766000,1020766000,1813096000,39317000,2852000,-382000,31564000,89361000,-518000,-5639000,-77400000,2282999.99999999,2283000,-77415000,6306999.99999999,6306999.99999999,6306999.99999999,44312000,485615000,78853000,0.29635,0.16843,0.14501,0.03497,0.01969,2.20902,1.9217,0.77621,0.26784,1.27445,1.26192,8.78839,36.44421,2.81527,0.02306,0.05093,10.42081,11.13765
"23","2017_Q2",93.0714285714286,"Down",325491000,-193921000,131570000,-96987000,-96987000,34583000,-3559000,-3725000,166000,31024000,27024000,284000,27308000,5868000,5868000,5868000,16508000,16508000,207795000,207795000,312025000,14816000,11874000,551144000,135599000,1087940000,672929000,411002000,2046000,1963000,1223539000,1774683000,270197000,136426000,133771000,20601000,290798000,433240000,26206000,7637000,18569000,459446000,750244000,221446000,803997000,-1004000,1024439000,1024439000,1774683000,27308000,8341000,6602000,-2415000,41743000,-4069000,-13014000,-32100000,3580000,3580000,-35308000,-6579000,-6579000,-6579000,42924000,453841000,36156000,0.40422,0.10625,0.01803,0.00573,0.00331,6.16155,1.89528,0.73235,0.25573,0.21128,0.20848,11.71969,36.88615,1.30184,0.0039,0.02403,10.18854,12.6459
"24","2017_Q3",96.1698412698413,"Up",344949000,-201472000,143477000,-103770000,-103770000,39707000,-3673000,-3754000,81000,36034000,36034000,-1462000,34572000,8933000,8933000,8933000,13720000,13720000,238421000,238421000,325562000,14999000,14999000,592702000,134672000,1071113000,672929000,386856000,8809000,2519000,1205785000,1798487000,291992000,136225000,147283000,20789000,312781000,423477000,24890000,7030000,17860000,448367000,761148000,227415000,812871000,-2947000,1037339000,1037339000,1798487000,34572000,8415000,4980000,-28399000,8256000,-3523000,-3787000,-9900000,2656000,2656000,-7257000,-2788000,-2788000,-2788000,48122000,444266000,17662000,0.41594,0.11511,0.0259,0.00861,0.00497,1.97716,1.89494,0.73375,0.24702,0.32081,0.31651,12.38818,37.25405,0.6343,0.00593,0.01172,8.94697,10.84308
"25","2017_Q4",92.0928571428571,"Down",420841000,-242703000,178138000,-109633000,-109633000,68505000,-3471000,-3505000,34000,65034000,63869000,-5245000,58624000,-30436000,-30436000,-30436000,21157000,21157000,302390000,302390000,285594000,13505000,13505000,622646000,132989000,1019260000,602320000,369201000,44590000,3149000,1152249000,1774895000,338266000,109196000,174532000,20860000,359126000,405331000,26028000,8153000,17875000,431359000,790485000,230839000,754909000,-1338000,984410000,984410000,1774895000,58624000,8383000,-48651000,25153000,57630000,-2770000,-3040000,-18400000,-28724000,434000,-47153000,7437000,7437000,7437000,76888000,426191000,104516000,0.42329,0.16278,-0.07232,-0.03092,-0.01715,-3.43396,1.73378,0.803,0.24012,-1.1796,-1.21501,16.3104,38.15247,4.05069,-0.02119,0.07275,5.26784,5.91247
"26","2018_Q1",90.9819672131148,"Down",398466000,-229550000,168916000,-125345000,-125345000,43571000,-2921000,-2967000,46000,40650000,28511000,-20133000,8378000.00000001,60081000,60081000,60081000,20738000,20738000,275565000,275565000,251511000,9894000,9545000,557708000,123503000,942506000,602320000,302915000,16654000,20617000,1066009000,1623717000,297602000,129341000,168261000,1884000,306582000,287985000,14691000,7622813.17917963,14691000,302676000,609258000,233334000,780494000,631000,1014459000,1014459000,1623717000,8378000.00000001,8591000,91118000,7609000.00000001,116578000,-3230000,55475000,-136600000,-35649000,988000,-172472000,-418999.999999998,-418999.999999998,-418999.999999998,52162000,289869000,76674000,0.42392,0.10935,0.15078,0.05922,0.037,1.27618,1.81912,0.60057,0.17852,2.23449,2.17716,14.81947,37.72906,2.85161,0.04555,0.05813,5.15952,6.17684
"27","2018_Q2",91.178125,"Up",354679000,-208121000,146558000,-101506000,-101506000,45052000,-2612000,-2687000,75000,42440000,40715000,-2542000,38173000,37792000,37792000,37792000,16929000,16929000,255674000,255674000,256268000,15097000,13831000,543968000,123619000,935387000,602320000,298915000,13476000,20676000,1059006000,1602974000,256979000,125805000,131174000,1884000,258863000,298239000,22175000,7561000,14614000,320414000,579277000,236412000,783217000,4068000,1023697000,1023697000,1602974000,38173000,7982000,10078000,-27322000,28530000,-4182000,-4182000,1e+07,-33676000,3391000,-28157000,-3809000,-3809000,-3809000,53034000,300123000,24072000,0.41321,0.12702,0.10655,0.03692,0.02358,0.63696,2.10137,0.56587,0.18723,1.42498,1.42,13.37352,38.59949,0.90766,0.02808,0.01788,5.33986,6.28594
"28","2018_Q3",117.796349206349,"Up",393548000,-238375000,155173000,-103654000,-103654000,51519000,-2670000,-2755000,85000,48849000,47990000,-3973000,44017000,44017000,44017000,44017000,19915000,19915000,313615000,313615000,284828000,18009000,17884000,636367000,128271000,929950000,602320000,295865000,11696000,20069000,1058221000,1694588000,296123000,151208000,144915000,1884000,298007000,299192000,21649000,8449000,13200000,320841000,618848000,244268000,826825000,4647000,1075740000,1075740000,1694588000,44017000,7313000,7738000,-50668000,8400000,-8879000,-8879000.00000001,7e+05,2834999.99999999,2835000,3465000.00000001,2986000,2986000,2986000,58832000,301076000,3258000,0.39429,0.13091,0.11185,0.04092,0.02598,0.07402,2.13541,0.57528,0.17767,1.6699,1.65745,14.93031,40.81111,0.1236,0.03148,0.00233,4.77905,5.45742
"29","2018_Q4",131.226349206349,"Up",431081000,-249236000,181845000,-120524000,-120524000,61321000,-2956000,-2971000,15000,58365000,58340000,-4020000,54320000,49470000,49470000,49470000,19136000,19136000,339124000,339124000,300648000,14437000,14437000,673345000,130940000,921084000,602320000,294565000,9942000,14257000,1052024000,1725369000,333453000,146035000,187418000,1884000,340492000,337846000,13773000,6857755.33817406,13773000,351619000,692111000,247422000,780629000,5207000,1033258000,1033258000,1725369000,54320000,7195000,4223000,6446000,67334000,-7980000,-7980000,38400000,-98424000,1576000,-60133000,-779000,-779000,-779000,68516000,339730000,71002000,0.42183,0.14225,0.11476,0.04788,0.02867,1.43525,1.97756,0.66983,0.1969,1.89853,1.87628,16.54377,39.65376,2.72487,0.03567,0.0512,4.67911,5.22813
"30","2019_Q1",115.294426229508,"Down",384843000,-227313000,157530000,-112457000,-112457000,45073000,-3141000,-3306000,165000,41932000,40955000,-3241000,37714000,37266000,37266000,37266000,11871000,11871000,280280000,280280000,302339000,10369000,10369000,604859000,130338000,914338000,602320000,291526000,7991000,12501000,1044676000,1649535000,310147000,143560000,165160000,1884000,312031000,318900000,21967000,5748000,16219000,340867000,652898000,249080000,746366000,1191000,996637000,996637000,1649535000,37714000,7437000,9222000,36700000,91039000,-4206000,-4206000,-19200000,-79558000,868000,-94098000,-7265000,-7265000,-7265000,52510000,320784000,88245000,0.40934,0.11712,0.09683,0.03739,0.02259,2.36798,1.93846,0.6551,0.19447,1.46977,1.45145,15.17819,39.30732,3.48038,0.02782,0.06588,5.88294,6.85362
