"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",37.8959677419355,"Down",286442000,-211395000,75047000,-73781000,-62209000,-7612000,-3960000,1266000,-10634000,-10634000,-9368000,-35869000,15255000,-20614000,-20614000,-162000,-20776000,-20776000,112667000,112667000,237551000,237551000,126437000,56877000,533532000,895535000,319868000,51069000,83561000,185238000,1215403000,1748935000,216477000,76930000,139547000,217504000,585327000,58039000,58039000,643366000,860870000,695912000,219115000,1832000,883599000,4466000,888065000,1748935000,-20614000,40324000,8625000,-21284000,7051000,-52059000,-52059000,-45530000,-52059000,28418000,-303000,5457000,-5760000,21574000,-23434000,-23434000,-17000,-23451000,41590000,586354000,-47008000,0.262,0.00442,-0.07253,-0.02339,-0.01188,2.26261,2.45298,0.96938,0.33526,-0.47017,-0.47017,6.48235,19.99636,-1.06382,5,-0.01356,-0.03067,11.38944,374.16035
"12","2013_Q1",43.629,"Up",308663000,-232345000,76318000,-83298000,-68070000,-11709000,-3519000,-6980000,-10192000,-10192000,-17172000,-17172000,19447000,2275000,2275000,-344000,1931000,1931000,105738000,105738000,266970000,266970000,106281000,65884000,544873000,913781000,335418000,47170000,8.3e+07,205248000,1249199000,1794072000,244918000,83009000,161909000,247148000,586449000,52640000,52640000,639089000,886237000,715119000,221046000,606000,903001000,4834000,907835000,1794072000,2275000,40454000,-6022000,5953000,42660000,-62503000,-62503000,-56113000,-62503000,0,19391000,11489000,7902000,12929000,-6913999.99999999,-6913999.99999999,-15000,-6929000,33474000,588679000,-42523000,0.24725,-0.02261,0.00626,0.00213000000000001,0.00108,-22.02123,2.20464,0.97621,0.32812,0.04316,0.04316,6.89935,20.18421,-0.95049,7,0.00125,-0.02745,14.42735,-69.1892600000002
"13","2013_Q2",59.57890625,"Up",321102000,-235307000,85795000,-82371000,-64781000,-14089000,-3501000,3424000,-10142000,-10142000,-6718000,-6718000,5231000,-1487000,-1487000,-347000,-1834000,-1834000,79682000,79682000,260701000,260701000,125692000,64244000,530319000,958457000,348495000,46123000,82632000,219740000,1306952000,1837271000,266679000,121309000,145370000,268589000,586173000,52548000,52548000,638721000,907310000,738970000,219212000,641000,924780000,5181000,929961000,1837271000,-1487000,42115000,8838000,4356000,53822000,-84806000,-84806000,-73030000,-87206000,6124105.18449843,8006000,8279000,-273000,7432000,-25952000,-25952000,-104000,-26056000,45539000,588083000,-40142000,0.26719,0.01066,-0.00571,-0.00197,-0.001,21.88768,1.97446,0.97564,0.32009,-0.04066,-0.04066,7.1182,20.50055,-0.88987,5,-0.00117,-0.02556,11.16408,148.4816
"14","2013_Q3",66.839375,"Up",353881000,-262084000,91797000,-92307000,-73593000,-14918000,-3796000,-510000,-9865000,-9865000,-10375000,-10375000,12656000,2281000,2281000,-384000,1897000,1897000,67103000,67103000,273231000,273231000,128159000,62045000,530538000,1001584000,367431000,42608000,83139000,241684000,1369015000,1899553000,281749000,125795000,155954000,283336000,620350000,51669000,51669000,672019000,955355000,750024000,221109000,1949000,938633000,5565000,944198000,1899553000,2281000,47136000,5625000,-6110000,48932000,-97534000,-97534000,-87752000,-97534000,3.5e+07,2236000,2642000,-405999.999999999,35859000,-12743000,-12743000,164000,-12579000,46626000,621937000,-69674000,0.2594,-0.00144,0.00536,0.00201,0.000999999999999999,-36.72852,1.87247,1.01182,0.32741,0.04169,0.03896,7.77795,20.6302,-1.53136,6,0.00117,-0.04307,11.89967,-1087.9098
"15","2013_Q4",62.9796875,"Down",332555000,-243136000,89419000,-87895000,-69100000,-15143000,-3652000,1524000,-9166000,-9166000,-7642000,-7642000,1682000,-5960000,-5960000,-33000,-5993000,-5993000,41362000,41362000,282594000,282594000,126491000,69311000,519758000,1031301000,378349000,39042000,83299000,256008000,1409650000,1929408000,268151000,112238000,155913000,269669000,670065000,51542000,51542000,721607000,991276000,763915000,215116000,2102000,932534000,5598000,938132000,1929408000,-5960000,46500000,18462000,-26850000,32152000,-95733000,-95733000,-84081000,-95733000,5e+07,-9295000,4855000,-14150000,37869000,-25712000,-25712000,-29000,-25741000,48024000,671583000,-76241000,0.26888,0.00458,-0.01802,-0.00639,-0.00311,12.72168,1.92739,1.05665,0.34808,-0.12994,-0.13959,7.21065,20.21973,-1.6531,6,-0.00361,-0.04589,13.12304,413.53084
"16","2014_Q1",64.9839344262295,"Up",343924000,-250753000,93171000,-94310000,-74059000,-16586000,-3665000,-1139000,-8730000,-8730000,-9869000,-9869000,6378000,-3491000,-3491000,-25000,-3516000,-3516000,58347000,58347000,271891000,271891000,119601000,81782000,531621000,1052502000,375992000,35397000,83627000,256968000,1428494000,1960115000,274826000,98852000,175974000,274826000,689761000,48893000,48893000,738654000,1013480000,776457000,211600000,2313000,941012000,5623000,946635000,1960115000,-3491000,49313000,13437000,10975000,70234000,-74013000,-74013000,-62762000,-74013000,2e+07,2082000,2841000,-759000,20667000,16888000,16888000,97000,16985000,48174000,689761000,-21242000,0.27091,-0.00331,-0.01022,-0.00371,-0.00179,6.04152,1.93439,1.07061,0.3519,-0.07602,-0.07602,7.43652,20.34709,-0.45931,4,-0.00209,-0.0126,13.10695,-554.35821
"17","2014_Q2",60.395873015873,"Down",319471000,-237735000,81736000,-82905000,-69096000,-9780000,-4029000,-1169000,-8603000,-8603000,-9772000,-9772000,3451000,-6321000,-6321000,377000,-5944000,-5944000,58140000,58140000,279148000,279148000,128567000,75163000,541018000,1073715000,441547000,56106000,117930000,267511000,1515262000,2056280000,253044000,86379000,166665000,253044000,789399000,46178000,46178000,835577000,1088621000,753845000,205656000,2912000,962413000,5246000,967659000,2056280000,-6321000,51607000,16236000,-14611000,46911000,-97751000,-97751000,-85513000,-154296000,1e+08,7791000,7791000,-783879.356269628,107031000,-354000,-354000,147000,-207000,50438000,789399000,-65375000,0.25585,-0.00366,-0.01861,-0.00614,-0.00289,10.99849,2.13804,1.125,0.3839,-0.12775,-0.12775,6.86621,20.6846,-1.40507,3,-0.0033,-0.03625,14.49818,-625.54234
"18","2014_Q3",57.1340625,"Down",358758000,-241693000,117065000,-70609000,-54404000,-11547000,-4658000,46456000,-7991000,-7991000,38465000,38465000,-14473000,23992000,23992000,-45000,23947000,23947000,41929000,41929000,279732000,279732000,126817000,77264000,525742000,1064978000,424044000,51270000,117617000,255157000,1489022000,2014764000,245266000,74436000,170830000,245266000,724111000,43586000,43586000,767697000,1012963000,765669000,229603000,1653000,996510000,5291000,1001801000,2014764000,23992000,54262000,33417000,-88000,111583000,-63610000,-63610000,-52105000,-63610000,-6.5e+07,2535000,2535000,-12255775.7902114,-63900000,-15927000,-15927000,-284000,-16211000,100718000,724111000,51493000,0.32631,0.12949,0.06675,0.0239,0.01189,2.15029,2.14356,1.01114,0.3594,0.51103,0.48604,7.65595,21.26569,1.09887,6,0.01353,0.0291,6.77319,14.6844800000001
"19","2014_Q4",61.24984375,"Up",339553000,-233912000,105641000,-87463000,-70962000,-11850000,-4651000,18178000,-6783000,-6783000,11395000,11395000,3389000,14784000,14784000,27000,14811000,14811000,97644000,97644000,268102000,268102000,129187000,82212000,577145000,1143767000,432412000,46529000,117276000,268607000,1576179000,2153324000,269333000,82330000,187003000,269333000,818818000,40975000,40975000,859793000,1129126000,773600000,244414000,920000,1018934000,5264000,1024198000,2153324000,14784000,57543000,14828000,25784000,112939000,-148649000,-148649000,-135316000,-148649000,9.5e+07,-2919000,11463000,-14382000,91616000,55906000,55906000,-191000,55715000,75721000,818818000,-50533000,0.31112,0.05354,0.04362,0.01446,0.00688,-3.41186,2.14287,1.10245,0.38026,0.31265,0.30543,7.1678,21.5092,-1.06673,6,0.00786,-0.02682,9.5241,39.6729
"20","2015_Q1",60.6980327868852,"Down",364753000,-250574000,114179000,-94500000,-76379000,-13493000,-4628000,19679000,-6049000,-6049000,13630000,13630000,-6194000,7436000,7436000,113000,7549000,7549000,52263000,52263000,266339000,266339000,128367000,44702000,491671000,1180243000,486464000,42340000,117241000,326883000,1666707000,2158378000,268257000,76931000,191326000,268257000,806393000,39995000,39995000,846388000,1114645000,786472000,251963000,147000,1038582000,5151000,1043733000,2158378000,7436000,58021000,24067000,-11441000,78083000,-109168000,-109168000,-93558000,-109999000,-11086000,1007000,1413000,-406000,-13283000,-45199000,-45199000,-182000,-45381000,77700000,806393000,-36715000,0.31303,0.05395,0.0207,0.00723,0.0035,-4.86356,1.83284,1.06794,0.37361,0.15794,0.15454,7.63145,21.72948,-0.76816,5,0.00399,-0.01942,9.70566,38.32156
"21","2015_Q2",62.1039682539683,"Up",344378000,-243439000,100939000,-91525000,-71107000,-15608000,-4810000,9414000,-5888000,-5888000,3526000,3526000,-1007000,2519000,2519000,89000,2608000,2608000,42494000,42494000,294522000,294522000,127278000,105312000,569606000,1194438000,438952000,45231000,117700000,276021000,1633390000,2202996000,227344000,73412000,153932000,227344000,861483000,39214000,39214000,900697000,1128041000,814194000,254571000,1128000,1069893000,5062000,1074955000,2202996000,2519000,57311000,23861000,-65705000,17986000,-83099000,-83099000,-65954000,-86712000,55295000,4639000,5170000,-531000,58759000,-9967000,-9967000,198000,-9769000,66725000,861483000,-81072000,0.29311,0.02734,0.00757,0.00243,0.00118,-31.08589,2.50548,1.04938,0.39105,0.05443,0.0534,7.18682,22.32758,-1.69189,6,0.00132,-0.04104,12.2741,86.99692
"22","2015_Q3",61.0334375,"Down",353330000,-240774000,112556000,-98730000,-73351000,-20792000,-4587000,13826000,-6098000,-6098000,7728000,7728000,-2808000,4920000,4920000,16000,4936000,4936000,46406000,46406000,304517000,304517000,123342000,109853000,584118000,1226710000,434971000,40690000,117375000,276906000,1661681000,2245799000,252377000,80407000,171970000,252377000,859096000,37227000,37227000,896323000,1148700000,832119000,259507000,427000,1092053000,5046000,1097099000,2245799000,4920000,61118000,23795000,-321000,89512000,-86901000,-86901000,-71563000,-86901000,-3445000.00000001,5444000,6252000,-808000,1484999.99999999,4096000,4096000,-184000,3911999.99999999,74944000,859096000,-9470000,0.31856,0.03913,0.01397,0.0045,0.0022,-1.91856,2.31447,1.04703,0.38253,0.10244,0.10043,7.33263,22.66328,-0.19653,5,0.00248,-0.00475,10.84396,58.77984
"23","2015_Q4",63.56953125,"Up",347759000,-237593000,110166000,-99781000,-76351000,-19169000,-4261000,10385000,-5546000,-5546000,4839000,4839000,5105000,9944000,9944000,-197000,9747000,9747000,63864000,63864000,259754000,259754000,141261000,115829000,580708000,1337487000,417863000,36410000,117186000,264267000,1755350000,2336058000,248944000,82113000,166831000,248944000,936959000,36008000,36008000,972967000,1221911000,839546000,269254000,104000,1108904000,5243000,1114147000,2336058000,9944000,63733000,17035000,21280000,111992000,-165697000,-165697000,-145685000,-165992000,77546000,-5821000,8896000,-14717000,71469000,17469000,17469000,-11000,17458000,74118000,936959000,-75404000,0.31679,0.02986,0.02803,0.00875,0.00417,-7.73612,2.33269,1.09672,0.40109,0.20006,0.19612,7.13776,22.76029,-1.54767,5,0.00467,-0.03613,11.7798,84.0727
"24","2016_Q1",66.4977049180328,"Up",371964000,-262539000,109425000,-101931000,-77536000,-21615000,-2780000,7494000,-5990000,-5990000,1504000,1504000,2883000,4387000,4387000,63000.0000000001,4450000,4450000,42088000,42088000,286724000,286724000,145161000,47583000,521556000,1385107000,490649000,33604000,117040000,340005000,1875756000,2397312000,279989000,95645000,184344000,279989000,945528000,37371000,37371000,982899000,1262888000,855392000,273704000,7000,1129103000,5321000,1134424000,2397312000,4387000,59914000,20733000,-7587000,77447000,-114928000,-114928000,-94692000,-116680000,16438000,1650000,1991000,-341000,17409000,-21824000,-21824000,48000,-21776000,67408000,945528000,-57990000,0.29418,0.02015,0.01196,0.00392,0.00186,-13.03146,1.86277,1.11324,0.39441,0.09076,0.08884,7.5863,23.02835,-1.18272,4,0.0021,-0.02739,13.40256,120.55511
"25","2016_Q2",72.815,"Up",363130000,-248262000,114868000,-107090000,-79400000,-25177000,-2513000,7778000,-4811000,-4811000,2967000,2967000,-810000,2157000,2157000,-302000,1855000,1855000,47252000,47252000,262670000,262670000,155511000,53453000,518886000,1462897000,509466000,31039000,116560000,361867000,1972363000,2491249000,251307000,94413000,156894000,251307000,1034060000,37928000,37928000,1071988000,1323295000,887642000,275559000,-857000,1162344000,5610000,1167954000,2491249000,2157000,59998000,23427000,-23464000,62118000,-141580000,-141580000,-120577000,-142084000,87236000,4772000,6709000,-1937000,85310000,5344000,5344000,-180000,5164000,67776000,1034060000,-96458000,0.31633,0.02142,0.00511,0.00159,0.00074,-51.99892,2.06475,1.133,0.41508,0.03775,0.03697,7.39076,23.65709,-1.9632,4,0.00083,-0.04306,14.55984,126.87169
"26","2016_Q3",74.02375,"Up",399158000,-271066000,128092000,-109678000,-77224000,-30177000,-2277000,18414000,-4079000,-4079000,14335000,14335000,-3596000,10739000,10739000,280000,11019000,11019000,51275000,51275000,276497000,276497000,151631000,49302000,528705000,1539588000,514942000,28742000,116404000,369796000,2054530000,2583235000,284190000,97783000,186407000,284190000,1060476000,38602000,38602000,1099078000,1383268000,909072000,286578000,-1011000,1194639000,5328000,1199967000,2583235000,10739000,61822000,28128000,28820000,129509000,-156883000,-156883000,-139456000,-157028000,2.5e+07,7211000,7778000,-567000,31565000,4045999.99999999,4045999.99999999,-23000,4023000,80236000,1060476000,-44231000,0.32091,0.04613,0.02761,0.00918,0.00427,-4.01407,1.86039,1.15276,0.41052,0.22258,0.2177,8.06298,24.13168,-0.89347,5,0.00479,-0.01924,12.57791,54.80618
"27","2016_Q4",71.6757142857143,"Down",380630000,-255546000,125084000,-117493000,-80282000,-34436000,-2775000,7591000,-2119000,-2119000,5472000,5472000,-850000,4622000,4622000,-379000,4243000,4243000,284943000,284943000,254759000,254759000,158460000,53562000,751724000,1586837000,544519000,44552000,119625000,380342000,2131356000,2883080000,278555000,79485000,199070000,278555000,847144000,40739000,40739000,887883000,1166438000,1422581000,290821000,-2466000,1710936000,5706000,1716642000,2883080000,4622000,61578000,25523000,29329000,121052000,-147773000,-147773000,-130190000,-164301000,-214767000,-10730000,7916000,-18646000,277085000,233836000,233836000,-168000,233668000,69169000,847144000,-48425000,0.32862,0.01994,0.01115,0.00247,0.00147,-11.41292,2.69866,0.67949,0.29383,0.08007,0.07835,7.18332,32.28912,-0.91389,6,0.00163,-0.01859,8.12793,74.06152
"28","2017_Q1",65.5991935483871,"Down",416419000,-274101000,142318000,-139642000,-96562000,-39857000,-3223000,2676000,-66000.0000000002,-65999.9999999998,2610000,2610000,1639000,4249000,4249000,2401000,6650000,6650000,130098000,130098000,263721000,263721000,163201000,57836000,614856000,1648878000,690919000,41677000,119876000,529366000,2339797000,2954653000,325229000,100270000,224959000,325517000,848483000,42722000,42722000,891205000,1216722000,1439651000,297471000,-2504000,1734618000,3313000,1737931000,2954653000,4249000,62524000,23928000,7918000,98619000,-111863000,-139422000,-124469000,-251592000,-2.98023223876953e-08,-520000.000000002,-1.86264514923096e-09,-520000,-1175999.99999994,-154149000,-154149000,-696000,-154845000,65200000,848771000,-40384000,0.34177,0.00643,0.01597,0.00383,0.00225,-6.07278,1.88886,0.7001,0.28727,0.11536,0.1134,7.22373,30.09086,-0.70055,7,0.00253,-0.01536,11.02259,268.56241
"29","2017_Q2",65.7653968253968,"Up",380044000,-260496000,119548000,-137498000,-89173000,-45065000,-3260000,-17950000,37000,37000,-17913000,-17913000,9180000,-9246000,-9246000,207000,-9039000,-9039000,160556000,160556000,215053000,215053000,177943000,66194000,619746000,1693524000,765444000,39497000,120419000,605528000,2458968000,3078714000,288245000,84014000,204231000,307545000,830843000,109890000,109890000,940733000,1248278000,1479774000,346443000,1113000,1827330000,3106000,1830436000,3078714000,-9246000,63935000,18119000,80846000,153654000,-128073000,-128073000,-109820000,-128073000,198087696.58528,5314000,7245000,-1931000,4942000,30523000,30523000,-65000,30458000,45985000,850143000,-10422000,0.31456,-0.04723,-0.02378,-0.00494,-0.00294,1.153,2.01514,0.68196,0.27614,-0.15627,-0.15627,6.57038,31.59175,-0.18018,3,-0.00324,-0.00373,14.99591,-38.4171
