"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",17.6393548387097,"Up",272681000,-234281000,38400000,-20789000,-20789000,17611000,962000,962000,18573000,18573000,-7056000,11517000,11517000,11517000,11517000,74530000,53176000,21354000,137369000,27409000,9787000,9787000,249095000,10264000,50592000,16955000,10740000,17151000,63741000,312836000,54348000,25677000,25475000,54980000,17586000,17586000,0,33339000,88319000,112017000,-13142000,125471000,171000,224517000,224517000,312836000,11517000,1245000,-255000,-4470000,8037000,-834000,-77000,-911000,-11063000,1246000,1246000,268000,-9549000,-2423000,-2423000,-2423000,18856000,15753000,20608000,0.14082,0.06458,0.04224,0.0513,0.03681,1.78935,4.53065,0.39337,0.05036,0.17023,0.16779,4.03052,3.31861,0.30461,0.16352,0.08757,0.07992,0.96058,-3.11715,-3.33752
"12","2013_Q1",18.4961666666667,"Up",277039000,-238832000,38207000,-18982000,-18982000,19225000,4e+05,4e+05,19625000,19625000,-6827000,12798000,12798000,12798000,12798000,90271000,68949000,21322000,140218000,28675000,8682000,8682000,267846000,10272000,51242000,16955000,11215000,17869000,63337000,331183000,67089000,22810000,42373000,67664000,18237000,18237000,-6.61744490042422e-24,33949000,101613000,114195000,-11794000,127042000,127000,229570000,229570000,331183000,12798000,1343000,745000,10071000,24957000,-809000,-2e+05,-1009000,-11227000,1663000,1663000,1389000,-8175000,15773000,15773000,15773000,20568000,15712000,36657000,0.13791,0.06939,0.0462,0.05575,0.03864,2.86428,3.95847,0.44262,0.04744,0.18817,0.1855,4.07338,3.37543,0.53898,0.16507,0.09117,0.13911,0.87725,-3.625,-3.87823
"13","2013_Q2",17.6459375,"Down",273904000,-235191000,38713000,-20790000,-20790000,17923000,1034000,1034000,18957000,18957000,-4003000,14954000,14954000,14954000,14954000,77286000,54727000,22559000,149146000,28596000,11492000,9864000,266520000,10269000,52447000,16955000,11539000,19292000,65856000,332376000,55748000,30641000,25107000,56968000,19393000,19393000,0,35200000,92168000,120807000,-11330000,130581000,150000,240208000,240208000,332376000,14954000,1352000,703000,-22036000,-5027000,-804000,-1352000,-2156000,-11415000,3640000,3640000,736000,-7039000,-14222000,-14222000,-14222000,19275000,15807000,438000,0.14134,0.06544,0.0546,0.06225,0.04499,0.02929,4.67842,0.3837,0.04756,0.21842,0.2156,4.00076,3.50858,0.0064,0.16673,0.09575,0.00159000000000004,0.76334,-3.18957,-3.43017
"14","2013_Q3",19.31109375,"Up",273604000,-234602000,39002000,-19363000,-19363000,19639000,219000,219000,19858000,19858000,-6925000,12933000,12933000,12933000,12933000,85186000,63160000,22026000,165700000,28648000,9767000,9767000,289301000,10203000,53404000,16955000,12535000,19795000,66109000,355410000,74731000,31238000,39014000,75268000,20033000,20033000,-1.05879118406788e-22,36622000,111890000,122852000,-11374000,131998000,44000,243520000,243520000,355410000,12933000,1355000,-618000,5337000,19007000,-748000,205000,-543000,-11516000,1040000,1040000,445000,-10031000,8433000,8433000,8433000,20994000,16589000,32508000,0.14255,0.07178,0.04727,0.05311,0.03639,2.51357,3.84361,0.45947,0.04668,0.18853,0.18643,3.98845,3.54991,0.47388,0.16787,0.08727,0.11604,0.89044,-3.26746,-3.4929
"15","2013_Q4",21.2521875,"Up",298549000,-255964000,42585000,-22576000,-22576000,20009000,1184000,1184000,21193000,21193000,-7403000,13790000,13790000,13790000,13790000,62121000,50559000,11562000,184637000,30579000,10318000,10318000,287655000,11242000,98736000,40183000,13156000,21277000,112559000,400214000,72326000,36647000,29409000,72474000,21668000,21668000,0,38869000,111343000,166292000,-11423000,133959000,43000,288871000,288871000,400214000,13790000,1784000,-928000,-20754000,-6108000,-1025000,10318000,4293000,-11829000,789000,789000,254000,-10786000,-12601000,-12601000,-12601000,21793000,17201000,7417000,0.14264,0.06702,0.04619,0.04774,0.03446,0.53785,3.96908,0.38544,0.04298,0.1978,0.19549,4.28236,4.14354,0.10639,0.16967,0.07817,0.02263,0.8578,-2.06121,-2.24499
"16","2014_Q1",21.395737704918,"Up",303833000,-269347000,34486000,-29269000,-29269000,5217000,1264000,1264000,6481000,6481000,-1029000,5452000,5452000,5452000,5452000,75600000,64155000,11445000,189107000,32447000,12038000,9699000,309192000,11304000,99067000,40183000,13274000,22238000,116150000,425342000,99103000,43682000,53543000,99103000,22771000,22771000,0,41096000,140199000,169048000,-11418000,127464000,49000,285143000,285143000,425342000,5452000,1713000,-4380000,21501000,24286000,-1027000,38000,-989000,-11947000,959000,959000,1287000,-9701000,13596000,13596000,13596000,6930000,18325000,28433000,0.1135,0.01717,0.01794,0.01912,0.01282,5.21515,3.11991,0.49168,0.04308,0.07783,0.07689,4.33762,4.0708,0.40592,0.17056,0.05333,0.08715,2.19131,-8.26479,-10.97853
"17","2014_Q2",23.1692063492063,"Up",312165000,-267371000,44794000,-22046000,-22046000,22748000,381000,381000,23129000,23129000,-8490000,14639000,14639000,14639000,14639000,83339000,71692000,11647000,195146000,32756000,12812000,11805000,324053000,11827000,99412000,40183000,13649000,23036000,117086000,441139000,104683000,47985000,56698000,105794000,23211000,23211000,0,41554000,147348000,174794000,-11079000,130026000,50000,293791000,293791000,441139000,14639000,1757000,4411000,-2487000,18320000,-1453000,-289000,-1742000,-12077000,2559000,2559000,477000,-9041000,7537000,7537000,7537000,24505000,18343000,29055000,0.14349,0.07287,0.0469,0.04983,0.03318,1.98477,3.06306,0.50154,0.04158,0.20817,0.20597,4.43914,4.17786,0.41318,0.17174,0.07967,0.08664,0.82499,-2.65236,-2.85722
"18","2014_Q3",21.98125,"Down",319295000,-275815000,43480000,-22240000,-22240000,21240000,803000,803000,22043000,22043000,-8122000,13921000,13921000,13921000,13921000,68373000,57269000,11104000,205172000,32919000,13566000,13566000,320030000,11484000,104842000,44438000,14376000,24041000,121187000,441217000,95886000,47278000,43227000,96140000,24387000,24387000,1.35525271560688e-20,43230000,139370000,181162000,-11132000,131761000,56000,301847000,301847000,441217000,13921000,1824000,-558000,-18680000,-3493000,-922000,467000,-455000,-12186000,1275000,1275000,436000,-10475000,-14423000,-14423000,-14423000,23064000,18843000,11584000,0.13618,0.06652,0.0436,0.04612,0.03155,0.83212,3.32879,0.46172,0.04271,0.19763,0.1955,4.5328,4.2851,0.16445,0.173,0.07566,0.03357,0.87537,-2.1475,-2.33192
"19","2014_Q4",23.55,"Up",320099000,-315757000,4342000,-39375000,-39375000,-35033000,-50000,-50000,-35083000,-35083000,12901000,-22182000,-22182000,-22182000,-22182000,64751000,52876000,11875000,199988000,32809000,14935000,12457000,312483000,11474000,114894000,44438000,25054000,24242000,129723000,442206000,105243000,48353000,56234000,105243000,24705000,24705000,0,68086000,173329000,182756000,-11175000,97244000,52000,268877000,268877000,442206000,-22182000,1725000,-10207000,39488000,8824000,-888000,-866000,-1754000,-12335000,688000,688000,184000,-11463000,-4393000,-4393000,-4393000,-33308000,43381000,-7609000,0.01356,-0.10944,-0.0693,-0.0825,-0.05016,0.34303,2.96916,0.64464,0.0981,-0.31386,-0.31085,4.52917,3.80441,-0.10766,0.17453,-0.02922,-0.02258,-0.55608,0.64159,0.61
"20","2015_Q1",25.8252459016393,"Up",341624000,-296350000,45274000,-24149000,-24149000,21125000,494000,494000,21619000,21619000,-6147000,15472000,15472000,15472000,15472000,87079000,75280000,11799000,198128000,35462000,14159000,9792000,334828000,12772000,116800000,44438000,27233000,24780000,134751000,469579000,117959000,43554000,74405000,117959000,25276000,25276000,2.16840434497101e-19,75790000,193749000,186751000,-11183000,100237000,25000,275830000,275830000,469579000,15472000,1963000,-4643000,21287000,34079000,-2449000,-60000.0000000005,-2509000,-12479000,1674000,1674000,1639000,-9166000,22404000,22404000,22404000,23088000,50514000,48073000,0.13253,0.06184,0.04529,0.05609,0.03295,3.1071,2.83851,0.70242,0.10757,0.21783,0.21571,4.80978,3.88345,0.67683,0.17569,0.07949,0.13672,0.80655,-1.58372,-1.73089
"21","2015_Q2",25.3061904761905,"Down",355246000,-303936000,51310000,-26763000,-26763000,24547000,507000,507000,25054000,25054000,-9538000,15516000,15516000,15516000,15516000,70147000,58292000,11855000,211412000,35418000,13274000,11028000,330251000,13064000,116220000,44438000,27914000,24329000,1.32e+08,462251000,99969000,42644000,51146000,99969000,24492000,24492000,0,77210000,177179000,192800000,-10854000,103098000,28000,285072000,285072000,462251000,15516000,1911000,1563000,-25194000,-6204000,-1395000,-143000,-1538000,-12655000,2884000,2884000,525000,-9246000,-16988000,-16988000,-16988000,26458000,52718000,9407000,0.14444,0.0691,0.04368,0.05443,0.03357,0.60628,3.30353,0.62152,0.11405,0.2171,0.21503,4.97063,3.98875,0.13162,0.17707,0.07776,0.02597,0.81561,-0.658740000000001,-0.710030000000001
"22","2015_Q3",27.31953125,"Up",355356000,-304217000,51139000,-25124000,-25124000,26015000,242000,242000,26257000,26257000,-9969000,16288000,16288000,16288000,16288000,97699000,85900000,11799000,205048000,35393000,14112000,11990000,352252000,12785000,118234000,44438000,30042000,25025000,134482000,486734000,113895000,35635000,66659000,113895000,25252000,25252000,-3.46944695195361e-18,81960000,195855000,195149000,-10904000,106626000,8000,290879000,290879000,486734000,16288000,1920000,-734999.999999998,22244000,39717000,-827000,-69000,-896000.000000002,-12760000,1201000,1201000,346000,-11213000,27608000,27608000,27608000,27935000,56708000,59321000,0.14391,0.07321,0.04584,0.056,0.03346,3.64201,3.09278,0.67332,0.11651,0.22731,0.22532,4.95912,4.05932,0.82785,0.17807,0.07791,0.15911,0.7834,-1.46737,-1.57567
"23","2015_Q4",29.53046875,"Up",360165000,-308645000,51520000,-23445000,-23445000,28075000,-1334000,-1334000,26741000,26741000,-9655000,17086000,17086000,17086000,17086000,103568000,44369000,59199000,209626000,35887000,12895000,11809000,361976000,13251000,96945000,44438000,10642000,23947000,112822000,474798000,92022000,37982000,54040000,92843000,24306000,24306000,0,84837000,177680000,197070000,-10947000,110789000,206000,297118000,297118000,474798000,17086000,1847000,24922000,-24863000,18992000,-1505000,-47221000,-48726000,-12923000,852000,852000,274000,-11797000,-41531000,-41531000,-41531000,29922000,60531000,13209000,0.14305,0.07795,0.04744,0.05751,0.03599,0.77309,3.8988,0.59801,0.12749,0.23725,0.23503,5.00118,4.12572,0.18342,0.17945,0.07857,0.03458,0.75635,-1.43831,-1.53293
"24","2016_Q1",28.3673770491803,"Down",366082000,-319310000,46772000,-36357000,-36357000,10415000,1297000,1297000,11712000,11712000,-2578000,9134000,9134000,9134000,9134000,102685000,33189000,69496000,214854000,36308000,11495000,11495000,365342000,13086000,99549000,44438000,12567000,25436000,115607000,480949000,96065000,41472000,51381000,96065000,25918000,25918000,-5.55111512312578e-17,88428000,184493000,200032000,-11005000,106886000,543000,296456000,296456000,480949000,9134000,1982000,-1200000,940000.000000007,10856000,-1004000,-10150000,-11154000,-13037000,1314000,1314000,841000,-10882000,-11180000,-11180000,-11180000,12397000,62510000,14911000,0.12776,0.02845,0.02495,0.03081,0.01899,1.63247,3.80307,0.62233,0.12997,0.12658,0.12529,5.07306,4.1082,0.20663,0.18066,0.0576,0.03874,1.4273,-3.2407,-3.85742
"25","2016_Q2",31.49359375,"Up",384807000,-330044000,54763000,-25346000,-25346000,29417000,187000,187000,29604000,29604000,-10978000,18626000,18626000,18626000,18626000,101478000,29120000,72358000,236412000,37927000,15688000,14773000,391505000,13275000,95102000,44438000,8664000,25703000,111590000,503095000,102596000,39773000,62823000,102596000,25761000,25761000,0,87544000,190140000,210190000,-10687000,112354000,1098000,312955000,312955000,503095000,18626000,1965000,5700000,-16602000,9689000,-1345000,-2326000,-3671000,-13158000,2534000,2534000,537000,-10087000,-4069000,-4069000,-4069000,31382000,61783000,24413000,0.14231,0.07645,0.0484,0.05952,0.03702,1.31069,3.81599,0.60756,0.12281,0.25739,0.2551,5.31766,4.32473,0.33736,0.18183,0.07936,0.06096,0.70643,-1.2649,-1.34939
"26","2016_Q3",32.3196875,"Up",386556000,-332211000,54345000,-25664000,-25664000,28681000,1002000,1002000,29683000,29683000,-10923000,18760000,18760000,18760000,18760000,100638000,21719000,78919000,255776000,37603000,16284000,16284000,410301000,13485000,95673000,44438000,9206000,26406000,112248000,522549000,108863000,44863000,54797000,108863000,26796000,26796000,0,90952000,199815000,213975000,-10738000,117821000,1676000,322734000,322734000,522549000,18760000,1947000,556000,-10741000,10522000,-1482000,-6018000,-7500000,-13293000,2243000,2243000,627000,-10423000,-7401000,-7401000,-7401000,30628000,64156000,29328000,0.14059,0.0742,0.04853,0.05813,0.0359,1.56333,3.76897,0.61913,0.12278,0.25852,0.25588,5.32681,4.44733,0.40415,0.18318,0.07748,0.07089,0.70858,-1.19113,-1.27199
"27","2016_Q4",31.6638095238095,"Down",392734000,-336340000,56394000,-27182000,-27182000,29212000,1359000,1359000,30571000,30571000,-10860000,19711000,19711000,19711000,19711000,104950000,24327000,80623000,265533000,37603000,16382000,16382000,424468000,13275000,95032000,44438000,9198000,26380000,112355000,536823000,115669000,39529000,66808000,115669000,26837000,26837000,0,90050000,205719000,216273000,-10611000,124134000,1308000,331104000,331104000,536823000,19711000,1720000,1067000,-4811000,17687000,-904000,-2270000,-3174000,-13398000,823000,823000,670000,-11905000,2608000,2608000,2608000,30932000,63213000,36077000,0.14359,0.07438,0.05019,0.05953,0.03672,1.8303,3.66968,0.62131,0.11775,0.2692,0.26645,5.36361,4.52192,0.49271,0.18298,0.07861,0.08566,0.67972,-1.34931,-1.42876
"28","2017_Q1",34.2317741935484,"Up",398565000,-340897000,57668000,-27225000,-27225000,30443000,86000,85999.9999999998,30529000,30529000,-10230000,20299000,20299000,20299000,20299000,91583000,23853000,67730000,271276000,37800000,13965000,13965000,414624000,13455000,92836000,44438000,9822000,24167000,113822000,528446000,100871000,42912000,50273000,100871000,24653000,24653000,0,88733000,189604000,218406000,-10185000,130940000,-319000,338842000,338842000,528446000,20299000,1864000,1841000,-20502000,3502000,-1436000,9329000,7893000,-13493000,368000,368000,1256000,-11869000,-474000,-474000,-474000,32307000,64080000,20599000,0.14469,0.07638,0.05093,0.05991,0.03841,1.01478,4.11044,0.55956,0.12126,0.2786,0.27584,5.47014,4.65046,0.28271,0.18519,0.07903,0.04818,0.66471,-0.8513,-0.90343
"29","2017_Q2",38.6247619047619,"Up",404490000,-345570000,58920000,-28210000,-28210000,30710000,1569000,1569000,32279000,32279000,-10262000,22017000,22017000,22017000,22017000,116490000,48230000,68260000,281113000,37294000,16824000,16824000,451721000,13397000,92934000,44438000,9564000,25130000,113387000,565108000,117664000,47952000,61309000,117664000,26386000,26386000,0,90967000,208631000,226819000,-9835000,139333000,160000,356477000,356477000,565108000,22017000,1886000,629000,10114000,34646000,-1221000,-135000,-1356000,-13624000,4687000,4687000,24000,-8913000,24377000,24377000,24377000,32596000,64581000,51751000,0.14566,0.07592,0.05443,0.06176,0.03896,2.3505,3.83908,0.58526,0.11428,0.3013,0.29774,5.53535,4.8783,0.7082,0.18644,0.07965,0.11566,0.61879,-1.5925,-1.6903
"30","2017_Q3",43.1519047619048,"Up",470876000,-407322000,63554000,-31991000,-31991000,31563000,1515000,1515000,33078000,33078000,-10527000,22551000,22551000,22551000,22551000,77140000,7058000,70082000,338368000,40621000,20054000,20054000,476183000,13399000,118638000,50473000,9240000,27595000,139563000,615746000,130753000,69204000,49078000,146935000,26657000,26657000,0,92734000,239669000,237021000,-9840000,148134000,762000,376077000,376077000,615746000,22551000,2353000,51000,-66162000,-41207000,-1284000,-1123000,-4991000,-13750000,2570000,2570000,24000,5026000,-41172000,-41172000,-41172000,33916000,66077000,-23003000,0.13497,0.06703,0.04789,0.05996,0.03662,-1.02004,3.24077,0.63729,0.10731,0.30775,0.30364,6.42588,5.1322,-0.31391,0.18764,0.07743,-0.04907,0.60973,-0.32619,-0.35051
"31","2017_Q4",44.1409523809524,"Up",491355000,-426924000,64431000,-32940000,-32940000,31491000,1439000,1439000,32930000,32930000,-9458000,23472000,23472000,23472000,23472000,81389000,11005000,70384000,367009000,41516000,25628000,25628000,515542000,13499000,121006000,51084000,9196000,28651000,1.46e+08,661542000,150382000,62323000,77278000,175382000,27886000,27886000,0,95704000,271086000,241756000,-9822000,157678000,844000,390456000,390456000,661542000,23472000,2103000,266000,-16158000,9683000,-1193000,-537000,-3730000,-13928000,3081000,3081000,23000,-2006000,3947000,3947000,3947000,33594000,67818000,25701000,0.13113,0.06409,0.04777,0.06011,0.03548,1.09496,2.93954,0.69428,0.10252,0.3195,0.31489,6.68838,5.31493,0.34984,0.18959,0.07693,0.05287,0.59339,-0.403969999999997,-0.43095
