"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",7.70258064516129,"Up",16038000,-9553000,6485000,-5283000,-4387000,-896000,1202000,46000,46000,1248000,1248000,-499000,749000,1307000,1307000,1307000,22963172,14789337,11804104,11804104,14487300,3694176,805653,52948752,10699326,3288867,2336721,952146,13988193,66936945,5391886,2181561,2798981,2137935,581568,1556367,7529821,2649758,1811097,838661,2649758,10179579,38954895,-11736237,29491905,46803,56757366,56757366,66936945,1307000,306000,141000,172000,1926000,-209000,2981000,20000,-1268000,3639000,3639000,3639000,1508000,0,1970000,0.40435,0.07495,0.08149,0.02303,0.01953,1.50727,7.03187,0.17935,0,0.17714,0.17469,2.17361,7.69226,0.26699,0.03072,0.03316,-15.22757,-19.10414
"12","2013_Q1",8.78433333333333,"Up",16186000,-9999000,6187000,-5455000,-4405000,-1050000,732000,15000,-40000,747000,747000,-305000,442000,7636000,7636000,7636000,39508000,30999000,9376000,9376000,11179000,10059000,696000,70122000,7788000,2003000,795000,852000,9791000,79913000,9283000,1938000,3176000,4242000,271000,3164000,13525000,2551000,111000,1289000,2551000,16076000,39238000,-11666000,36092000,173000,63837000,63837000,79913000,-2526000,338000,-445000,3465000,832000,16478000,16144000,171000,-766000,16210000,16210000,16210000,1070000,-1.13686837721616e-13,21318000,0.38224,0.04522,0.47177,0.11962,0.09555,2.79178,5.18462,0.25183,0,1.04016,1.02192,2.20482,8.69574,2.90389,0.13063,0.32111,-36.92336,-53.97268
"13","2013_Q2",9.15984375,"Up",15485000,-10380000,5105000,-5827000,-4714000,-1113000,-722000,-36000,-36000,-758000,-758000,319000,-439000,-449000,-449000,-449000,32291000,12191000,8399000,8399000,11755000,12886000,1829000,65331000,7570000,1880000,795000,729000,9450000,74781000,4155000,2182000,1937000,4807000,399000,3634000,8962000,2551000,132000,1268000,2551000,11513000,39793000,-11666000,35123000,18000,63268000,63268000,74781000,-449000,310000,182000,-7016000,-6973000,-113000,-11705000,391000,-130000,-18808000,-18808000,-18808000,-412000,0,-7860000,0.32967,-0.04663,-0.029,-0.0071,-0.00599999999999999,17.50557,7.28978,0.18197,6.7762635780344e-21,-0.06066,-0.06066,2.09215,8.54804,-1.06195,0.00108999999999995,-0.11942,78.37621,44.72438
"14","2013_Q3",10.09953125,"Up",17194000,-10272000,6922000,-6035000,-4761000,-1274000,887000,-26000,-26000,861000,861000,-330000,531000,696000,696000,696000,32583000,12183000,9674000,9674000,12505000,11712000,1323000,66474000,7490000,1462000,795000,667000,8952000,75426000,4500000,2289000,2211000,5737000,413000,3768000,10237000,1579000,268000,1311000,1579000,11816000,40054000,-11720000,35292000,-16000,63610000,63610000,75426000,696000,326000,150000,-385999.999999998,786000,-261000,-366000,98000,-428000,-8000,-8000,-8000,1213000,1.81898940354586e-12,895999.999999996,0.40258,0.05159,0.04048,0.01094,0.00923,1.28736,6.4935,0.18576,0,0.09333,0.08886,2.30574,8.53019,0.12015,0.01875,0.01374,-26.8615,-36.73393
"15","2013_Q4",11.32515625,"Up",18179000,-10816000,7363000,-6180000,-4950000,-1230000,1183000,-2000,-2000,1181000,1181000,-435000,746000,1108000,1108000,1108000,32628000,12974000,10970000,10970000,11916000,13069000,1682000,68583000,7723000,1462000,795000,667000,9185000,77768000,5420000,2750000,2649000,6279000,499000,3641000,11699000,1514000,178000,1336000,1514000,13213000,40890000,-12348000,35878000,135000,64555000,64555000,77768000,1108000,315000,266000,-496000,1193000,-536000,45000,75000,-447000,791000,791000,791000,1498000,0,901000,0.40503,0.06508,0.06095,0.01716,0.01425,0.81318,5.8623,0.20468,-1.0842021724855e-19,0.14795,0.1436,2.42735,8.61969,0.12031,0.02467,0.01364,-21.78104,-27.58073
"16","2014_Q1",12.0418032786885,"Up",17734000,-10141000,7593000,-7408000,-5953000,-1455000,185000,-57000,-129000,128000,128000,271000,399000,1857000,1857000,1857000,27107000,8341000,11366000,11366000,15178000,11383000,1383000,65034000,7592000,5338000,991000,634000,12930000,77964000,6292000,2374000,3130000,3600000,454000,2310000,9892000,1208000,77000,1131000,1458000,11350000,41700000,-12463000,37201000,176000,66614000,66614000,77964000,57000,328000,-830000,977000,532000,-218000,-5691000,380000,4000,-5155000,-5155000,-4633000,513000,250000,1001000,0.42816,0.01043,0.10471,0.02788,0.02382,0.53904,6.5744,0.17038,0.00321,0.24654,0.23692,2.35441,8.84384,0.1329,0.03512,0.01471,-52.35283,-145.17297
"17","2014_Q2",11.7101587301587,"Down",20774000,-12139000,8635000,-6936000,-5565000,-1371000,1699000,-121000,-121000,1578000,1578000,-449000,1129000,1129000,1129000,1129000,28595000,10140000,12844000,12844000,16181000,7976000,3709000,65596000,7563000,5120000,991000,635000,12683000,78279000,4683000,2480000,2191000,4236000,445000,3791000,8919000,1105000,97000,1008000,1272000,10191000,43117000,-13091000,37797000,265000,68088000,68088000,78279000,1129000,512000,190000,-4326000,-2495000,-292000,4169000,658000,125000,1799000,1799000,1708000,2211000,167000,-1958000,0.41566,0.08178,0.05435,0.01658,0.01442,-1.73428,7.35464,0.14967,0.00213,0.14853,0.14385,2.73306,8.95777,-0.2576,0.02396,-0.02823,-12.85753,-16.7322
"18","2014_Q3",12.0159375,"Up",22366000,-12776000,9590000,-7426000,-5947000,-1479000,2164000,83000,83000,2247000,2247000,-812000,1435000,1435000,1435000,1435000,28007000,13199000,14075000,14075000,16023000,8452000,4205000,66557000,7783000,4718000,991000,408000,12501000,79058000,5667000,2754000,2784000,2950000,469000,2481000,8617000,1116000,88000,1028000,1220000,9837000,43490000,-13091000,38689000,133000,69221000,69221000,79058000,1435000,526000,120000,-2241000,-160000,-582000,3232000,245000,-298000,2774000,2774000,3150000,2690000,104000,679000,0.42878,0.09675,0.06416,0.02073,0.01815,0.47317,7.72392,0.14211,0.00132,0.18629,0.18124,2.90354,8.98624,0.08815,0.02808,0.00964,-10.37286,-12.89418
"19","2014_Q4",12.5840625,"Up",23137000,-12986000,10151000,-7576000,-6012000,-1564000,2575000,-47000,-47000,2528000,2528000,-974000,1554000,1554000,1554000,1554000,30903000,13272000,13766000,13766000,16424000,7917000,3666000,69010000,8265000,4478000,991000,344000,12743000,81753000,7824000,4432000,3279000,2745000,492000,2253000,10569000,1046000,39000,1007000,1088000,11657000,43667000,-13091000,39700000,-180000,70096000,70096000,81753000,1554000,503000,48000,2553000,4658000,-845000,-3594000,56000,-487000,577000,577000,73000,3078000,42000,5760000,0.43873,0.11129,0.06717,0.02217,0.01901,3.70656,6.52947,0.1663,0.00051,0.20105,0.19609,2.99343,9.06892,0.74522,0.02946,0.08092,-10.02632,-11.98485
"20","2015_Q1",13.0613114754098,"Up",22070000,-13469000,8601000,-7808000,-6420000,-1388000,793000,-214000,-295000,579000,579000,-35000,544000,544000,544000,544000,23132000,7958000,14107000,14107000,15582000,6468000,4140000,59289000,8379000,6662000,991000,344000,15041000,74330000,6605000,3155000,3302000,2964000,621000,2343000,9569000,1250000,83000,1167000,1250000,10819000,44077000,-19602000,39735000,-699000,63511000,63511000,74330000,544000,522000,-131000,-1447000,-512000,-528000,1938000,-89000,-6741000,-5315000,-5315000,-5314000,1315000,0,-625000,0.38971,0.03593,0.02465,0.00857,0.00732,-1.1489,6.19595,0.17035,0,0.07337,0.07116,2.9765,8.5655,-0.08429,0.01626,-0.00965,-17.59087,-29.17024
"21","2015_Q2",12.958253968254,"Down",22206000,-13176000,9030000,-7582000,-5786000,-1796000,1448000,234000,234000,1682000,1682000,-471000,1211000,1211000,1211000,1211000,24652000,8815000,14012000,14012000,14488000,9212000,3652000,62364000,8678000,3835000,991000,235000,12513000,74877000,6550000,4065000,2426000,2689000,546000,2143000,9239000,1157000,105000,1052000,1157000,10396000,44347000,-19591000,40434000,-709000,64481000,64481000,74877000,1211000,455000,153000,1153000,2972000,-654000,-1821000,137000,-373000,778000,778000,857000,1903000,0,2873000,0.40665,0.06521,0.05453,0.01878,0.01617,2.37242,6.75008,0.16123,0,0.16635,0.16246,3.05027,8.85728,0.39464,0.02622,0.04377,-12.95428,-17.02486
"22","2015_Q3",12.63390625,"Down",23938000,-14092000,9846000,-8012000,-6447000,-1565000,1834000,20000,20000,1854000,1854000,-687000,1167000,1167000,1167000,1167000,18330000,5056000,15223000,15223000,13937000,8023000,3087000,55513000,8905000,10978000,4522000,172000,19883000,75396000,5990000,3369000,2522000,2883000,419000,2464000,8873000,1144000,72000,1072000,1144000,10017000,44717000,-19602000,41091000,-827000,65379000,65379000,75396000,1167000,491000,273000,-744000,1187000,-637000,-4746000,60000,-451999.999999999,-4011000,-4011000,-3759000,2325000,-4.54747350886464e-13,1631000,0.41131,0.07661,0.04875,0.01785,0.01548,1.3976,6.2564,0.15321,0,0.16079,0.15635,3.29815,9.00785,0.22472,0.02524,0.02452,-7.88387,-9.99455
"23","2015_Q4",12.38171875,"Down",24753000,-14601000,10152000,-8293000,-6454000,-1839000,1859000,333000,333000,2192000,2192000,-873000,1319000,1319000,1319000,1319000,22455000,11296000,14913000,14913000,15124000,7293000,3465000,59785000,9416000,10746000,4522000,92000,20162000,79947000,9343000,5375000,2912000,2860000,481000,2379000,12203000,1135000,65000,1070000,1135000,13338000,45198000,-19658000,41897000,-828000,66609000,66609000,79947000,1319000,521000,-406000,2652000,4086000,-882000,3003000,34000,-478000,6611000,6611000,6240000,2380000,0,5023000,0.41013,0.0751,0.05329,0.0198,0.0165,3.80819,4.89921,0.20024,0,0.18083,0.17659,3.39358,9.13194,0.68864,0.02703,0.07415,-9.43487,-12.07907
"24","2016_Q1",13.2234426229508,"Up",23761000,-14631000,9130000,-8337000,-6592000,-1745000,793000,388000,316000,1181000,1181000,-353000,828000,828000,828000,828000,20419000,10043000,15325000,15325000,14890000,3880000,3880000,54514000,9807000,13642000,4521000,92000,23449000,77963000,6810000,3192000,3436000,2738000,529000,2209000,9548000,1042000,78000,964000,1042000,10590000,46158000,-20022000,42212000,-975000,67373000,67373000,77963000,828000,598000,832000,-2776000,-517999.999999999,-888000,22000.0000000009,156000,-293000,-788999.999999998,-788999.999999998,-1253000,1391000,1.81898940354586e-12,-1920000,0.38424,0.03337,0.03485,0.01229,0.01062,-2.31884,5.70947,0.15718,0,0.11312,0.11045,3.24607,9.20405,-0.2623,0.01962,-0.02806,-14.67937,-25.74905
"25","2016_Q2",13.54734375,"Up",24110000,-14637000,9473000,-7926000,-6482000,-1444000,1547000,-52000,-52000,1495000,1495000,-476000,1019000,1019000,1019000,1019000,23308000,14534000,15011000,15011000,16559000,2794000,2644000,57672000,9594000,13471000,4521000,93000,23065000,80737000,8768000,6365000,2237000,2407000,490000,1917000,11175000,1088000,156000,932000,1088000,12263000,46607000,-20197000,42714000,-650000,68474000,68474000,80737000,1019000,625000,383000,887000,2914000,-195000,1591000,-40000,-556000,3949000,3949000,4491000,2172000,0,3340000,0.39291,0.06416,0.04226,0.01488,0.01262,3.27772,5.16081,0.17909,-5.42101086242752e-20,0.13849,0.13543,3.27671,9.30606,0.45393,0.02207,0.04801,-10.73112,-15.06658
"26","2016_Q3",14.52796875,"Up",25339000,-15034000,10305000,-8557000,-6802000,-1755000,1748000,40000,40000,1788000,1788000,-496000,1292000,1292000,1292000,1292000,23764000,14900000,15228000,15228000,17566000,1967000,1827000,58525000,9303000,13034000,4521000,93000,22337000,80862000,8072000,5362000,2445000,2412000,490000,1922000,10484000,1050000,99000,951000,1050000,11534000,47312000,-20637000,43487000,-834000,69328000,69328000,80862000,1292000,630000,433000,-886000,1469000,-182000,-259000,33000,-487000,723000,723000,366000,2378000,0,1806000,0.40669,0.06898,0.05099,0.01864,0.01598,1.39783,5.58232,0.16637,0,0.17417,0.17009,3.41577,9.34561,0.24345,0.02575,0.02566,-9.99327,-13.59497
"27","2016_Q4",13.2760317460317,"Down",23342000,-13702000,9640000,-7807000,-6468000,-1339000,1833000,-60000,-60000,1773000,1773000,-623000,1150000,1150000,1150000,1150000,25368000,18124000,14698000,14698000,19119000,1381000,1266000,60566000,9415000,12862000,4521000,93000,22277000,82843000,9037000,6490000,2283000,2663000,467000,2196000,11700000,1141000,169000,972000,1141000,12841000,47665000,-20781000,44114000,-996000,70002000,70002000,82843000,1150000,574000,250000,978000,2952000,-520000,1114000,23000,-5e+05,3566000,3566000,3224000,2407000,0,3488000,0.41299,0.07853,0.04927,0.01643,0.01388,3.03304,5.17658,0.18344,8.67361737988404e-19,0.15447,0.15142,3.13539,9.40295,0.46852,0.02352,0.04903,-10.53926,-13.83961
"28","2017_Q1",13.0717741935484,"Down",25657000,-15586000,10071000,-8918000,-7142000,-1776000,1153000,396000,318000,1549000,1549000,-782000,767000,767000,767000,767000,24821000,18098000,15702000,15702000,19506000,1394000,1394000,61423000,9280000,12962000,4521000,366000,22242000,83665000,9342000,4957000,2936000,2643000,472000,2171000,11985000,1143000,11000,1132000,1143000,13128000,48016000,-20781000,44358000,-1056000,70537000,70537000,83665000,767000,602000,-292000,-1459000,-382000,133000,675000,63000.0000000005,-459999.999999999,-167000,-167000,-26000,1755000,0,1211000,0.39252,0.04494,0.02989,0.01087,0.00917,1.57888,5.12499,0.18612,0,0.10277,0.10128,3.43786,9.45147,0.16227,0.018,0.01689,-14.14302,-21.52732
"29","2017_Q2",13.5315873015873,"Up",24458000,-15152000,9306000,-8599000,-7094000,-1505000,707000,-48000,-48000,659000,659000,-147000,512000,512000,512000,512000,23822000,18637000,16053000,16053000,20336000,1566000,1566000,61777000,9234000,23129000,11958000,117000,32363000,94140000,8916000,5120000,2201000,2324000,370000,1954000,12344000,3115000,677000,2438000,11056000,23400000,48702000,-20990000,44341000,-1313000,70740000,70740000,94140000,512000,715000,183000,-2181000,-771000,-359000,-7802000,9351000,8824000,251000,251000,539000,1422000,9045000,-971000,0.38049,0.02891,0.02093,0.00724,0.00544,-1.89648,5.00462,0.33079,0.09608,0.06845,0.06723,3.26977,9.45717,-0.12981,0.01253,-0.01171,-10.3917,-20.90099
"30","2017_Q3",12.8830158730159,"Down",27483000,-17224000,10259000,-9317000,-7515000,-1802000,942000,15000,15000,957000,957000,-231000,726000,726000,726000,726000,13960000,8829000,17044000,17044000,20269000,1560000,1560000,52833000,9451000,23658000,12542000,119000,33109000,85942000,9812000,6428000,2024000,2344000,335000,2009000,13720000,4208000,879000,3329000,11410000,25130000,49388000,-32386000,44597000,-787000,60812000,60812000,85942000,726000,746000,415000,563000,2450000,-624000.000000001,-527000,-157999.999999998,-11866000,-9943000,-9943000,-9808000,1688000,8766000,1858000,0.37329,0.03428,0.02642,0.01194,0.00845,2.55923,3.8508,0.41324,0.102,0.10813,0.10643,4.09319,9.05705,0.27672,0.01621,0.02518,-3.07701,-5.5138
"31","2017_Q4",12.6607936507937,"Down",28760000,-16966000,11794000,-10162000,-8129000,-2033000,1632000,-12000,-12000,1620000,1620000,-201000,1419000,1419000,1419000,1419000,11750000,8466000,17861000,17861000,23658000,2054000,2054000,55323000,9757000,45240000,12441000,169000,54997000,110320000,9818000,7198000,2215000,5427000,411000,5016000,16901000,3784000,845000,2939000,31179000,48080000,49989000,-32397000,45543000,-895000,62240000,62240000,110320000,1419000,933000,535000,-2589000,298000,-15609000,-13740000,-229000,13421000,-21000,-21000,-363000,2565000,29051000,-15432000,0.41008,0.05675,0.04934,0.0228,0.01286,-10.87526,3.27336,0.77249,0.26333,0.21146,0.20877,4.28583,9.27503,-2.29968,0.0199,-0.16231,6.74503,10.6011
"32","2018_Q1",13.3086885245902,"Up",32700000,-20057000,12643000,-10512000,-8399000,-2113000,2131000,-210000,24000,1921000,1921000,-1292000,629000,629000,629000,629000,11688000,10177000,22400000,22400000,27609000,1251000,1251000,62948000,9752000,49613000,13004000,1147000,59365000,122313000,15393000,11808000,2901000,5021000,367000,4654000,25912000,3346000,698000,2648000,32754000,58666000,50516000,-32397000,45700000,-172000,63647000,63647000,122313000,629000,1600000,1228000,-1710000,1747000,-484999.999999996,1288000,14713000,-1322000,1713000,1713000,1711000,3731000,34906000,2828000,0.38664,0.06517,0.01924,0.00988,0.00514,4.49603,2.4293,0.92174,0.28538,0.09334,0.09214,4.85225,9.44437,0.41964,0.01082,0.02775,6.223,10.89535
