"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q3",74.221746031746,"Up",1122856000,-853390000,269466000,-307018000,-267893000,-39125000,-37552000,-1099000,-1550000,451000,-38651000,-38651000,-224000,-38875000,-38875000,-38875000,-38875000,255869000,203810000,52059000,23890000,23890000,14612000,122875000,122875000,417246000,295368000,12066000,8398000,334232000,751478000,460458000,371407000,138089000,48951000,598547000,58266000,58266000,140991000,739538000,447053000,-434066000,-1047000,11940000,11940000,751478000,-38875000,19323000,15947000,21706000,18101000,-33596000,16030000,-26675000,108000,-552000,-9126000,-9126000,528000,-8598000,-18229000,82725000,-29895000,0.23998,-0.03344,-0.03462,-3.25586,-0.05173,0.769,0.6971,61.93786,0.11008,-0.44831,-0.44831,12.94896,0.13769,-0.34475,-0.2542,-0.19548,9.49827,4.61078
"12","2017_Q4",70.2650793650794,"Down",1198198000,-917889000,280309000,-354266000,-311317000,-42949000,-73957000,-2235000,-2008000,-227000,-76192000,-76192000,-237000,-76429000,-76429000,-76429000,-76429000,610420000,553721000,56699000,27521000,27521000,18613000,120041000,120041000,776595000,318873000,12863000,9477000,361545000,1138140000,502879000,381661000,147370000,61151000,650249000,74187000,74187000,484862000,1135111000,515467000,-510495000,-1943000,3029000,3029000,1138140000,-76429000,22913000,19197000,59071000,24752000,-30980000,2270000,-51015000,51000,376315000,350052000,350052000,-141000,349911000,-51044000,410675000,-22716000,0.23394,-0.06172,-0.06379,-25.23242,-0.06715,0.29722,1.1943,374.74777,0.36083,-0.87565,-0.87565,13.72774,0.0347,-0.26026,-0.15665,-0.04656,3.91319,2.70083
"13","2018_Q1",83.9995081967213,"Up",1439016000,-1106851000,332165000,-399903000,-347519000,-52384000,-67738000,-5218000,-5576000,358000,-72956000,-72956000,185000,-72771000,-72771000,-72771000,-72771000,619992000,558960000,61032000,37948000,37948000,28042000,130838000,130838000,816820000,361141000,13881000,10776000,396583000,1213403000,560613000,440366000,179142000,85026000,739755000,106492000,106492000,521977000,1261732000,537300000,-583266000,-2363000,-48329000,-48329000,1213403000,-72771000,24432000,26341000,58877000,36879000,-23923000,-988000,-31823000,31000,-254000,4802000,4802000,437000,5239000,-43306000,415485000,-8537000,0.23083,-0.04707,-0.05057,1.50574,-0.05997,0.11731,1.10418,-26.10714,0.34241,-0.82789,-0.82789,16.37124,-0.54982,-0.09712,-0.15364,-0.01802,4.72237,3.01909
"14","2018_Q2",86.80546875,"Up",1404269000,-1080445000,323824000,-426893000,-373009000,-53884000,-103069000,-4466000,-5407000,941000,-107535000,-107535000,-240000,-107775000,-107775000,-107775000,-107775000,582058000,522026000,60032000,31977000,31977000,34550000,148295000,148295000,796880000,404309000,14295000,11077000,429566000,1226446000,600148000,485631000,199504000,89430000,799652000,134232000,134232000,553998000,1353650000,562438000,-686384000,-3258000,-127204000,-127204000,1226446000,-107775000,25962000,28792000,39944000,-13077000,-21363000,-2031000,-23394000,29000,-362000,-36833000,-36833000,-101000,-36934000,-77107000,419766000,-58286000,0.2306,-0.0734,-0.07675,0.847260000000003,-0.08788,0.54081,0.99653,-10.6415699999999,0.34226,-1.21825,-1.21825,15.87337,-1.43787,-0.65884,-0.25252,-0.13657,2.10476,1.5746
"15","2018_Q3",127.204285714286,"Up",1655256000,-1270249000,385007000,-480346000,-418554000,-61792000,-95339000,-5130000,-5796000,666000,-100469000,-100469000,-265000,-100734000,-100734000,-100734000,-100734000,575386000,529452000,45934000,34823000,34823000,30710000,153042000,153042000,793961000,468422000,15118000,12200000,493307000,1287268000,673054000,543596000,217244000,95626000,890298000,109142000,109142000,592448000,1482746000,593549000,-787118000,-1909000,-195478000,-195478000,1287268000,-100734000,28920000,34907000,84511000,47604000,-39730000,-163000,-39893000,45000,-199000,7512000,7512000,-86000,7426000,-66419000,483306000,-21373000,0.2326,-0.0576,-0.06086,0.51532,-0.07825,0.21217,0.89179,-7.58523,0.37545,-1.12984,-1.12984,18.56542,-2.19249,-0.23972,-0.25376,-0.05384,1.38635,0.96582
"16","2018_Q4",105.225873015873,"Down",1705645000,-1312875000,392770000,-538036000,-471372000,-66664000,-145266000,-6012000,-7066000,1054000,-151278000,-151278000,-448000,-151726000,-151726000,-151726000,-151726000,518692000,488636000,30056000,41013000,41013000,35723000,167754000,167754000,763182000,509661000,20274000,17550000,536456000,1299638000,759676000,591931000,242635000,109212000,1002311000,78852000,78852000,609548000,1611859000,628690000,-938844000,-2067000,-312221000,-312221000,1299638000,-151726000,32544000,38325000,88661000,7803999.99999999,-49411000,1981000,-47430000,30000,-432000.000000015,-40058000,-40058000,-758000,-40816000,-112722000,530696000,-73024000,0.23028,-0.08517,-0.08896,0.48596,-0.11674,0.48129,0.76142,-5.16256,0.40834,-1.68975,-1.68975,18.99551,-3.47716,-0.81326,-0.5103,-0.2456,-0.10649,-0.0826300000000001
"17","2019_Q1",130.452786885246,"Up",2014004000,-1528882000,485122000,-614727000,-537021000,-77706000,-129605000,-13156000,-10291000,-2865000,-142761000,-142761000,-1084000,-143845000,-143845000,-143845000,-143845000,963739000,849461000,114278000,50603000,50603000,46164000,195430000,195430000,1255936000,606977000,21411000,18826000,634914000,1890850000,863171000,650174000,276052000,127995000,1139223000,160388000,160388000,1082348000,2221571000,753748000,-1082689000,-1780000,-330721000,-330721000,1890850000,-143845000,36116000,48069000,102190000,42530000,-48701000,-1867000,-149570000,-104000,468456000,361416000,361416000,-591000,360825000,-93489000,921960000,-38916000,0.24087,-0.06435,-0.07142,0.43494,-0.07607,0.27054,1.10245,-6.71736,0.48759,-1.58996,-1.58996,22.26132,-3.65555,-0.43015,-0.19138,-0.05178,0.44689,0.32236
"18","2019_Q2",150.38619047619,"Up",1944829000,-1474373000,470456000,-664090000,-587617000,-76473000,-193634000,-6160000,-9238000,3078000,-199794000,-199794000,-595000,-200389000,-200389000,-200389000,-200389000,805662000,722360000,83302000,60596000,60596000,43643000,207931000,207931000,1117832000,430548000,565485000,564785000,996033000,2113865000,913180000,705974000,316633000,170173000,1229813000,613043000,613043000,1363199000,2593012000,803065000,-1281228000,-984000,-479147000,-479147000,2113865000,-200389000,39583000,58142000,21316000,-81348000,-60626000,15931000,-44695000,67000,-889000.00000006,-126932000,-126932000,-169000,-127101000,-154051000,750156000,-192766000,0.2419,-0.09956,-0.10304,0.41822,-0.0948,0.96196,0.90894,-5.41173,0.35487,-2.19956,-2.19956,21.34735,-5.25934,-2.11589,-0.22667,-0.21805,0.36031,0.28665
"19","2019_Q3",127.9578125,"Down",2343251000,-1783651000,559600000,-730777000,-642275000,-88502000,-171177000,-9930000,-10252000,322000,-181107000,-181107000,-831000,-181938000,-181938000,-181938000,-181938000,714453000,675111000,39342000,77295000,77295000,45611000,219541000,219541000,1056900000,480492000,644708000,644148000,1125200000,2182100000,998545000,779938000,334966000,179155000,1333511000,692342000,692342000,1453946000,2787457000,859185000,-1463166000,-1376000,-605357000,-605357000,2182100000,-181938000,44339000,63525000,71340000,-2734000,-54714000,10140000,-44574000,13000,-246000,-47554000,-47554000,305000,-47249000,-126838000,761604000,-109381000,0.23881,-0.07305,-0.07764,0.30055,-0.08338,0.6012,0.79257,-4.60465,0.34902,-1.98177,-1.98177,25.52394,-6.59387,-1.19144,-0.2144,-0.1289,-0.37174,-0.27545
"20","2019_Q4",93.29484375,"Down",2305487000,-1765566000,539921000,-799630000,-708375000,-91255000,-259709000,-12250000,-14432000,2182000,-271959000,-271959000,-76000,-272035000,-272035000,-272035000,-272035000,1301434000,1295385000,6049000.00000001,75677000,75677000,68622000,224968000,224968000,1670701000,547056000,789878000,770667000,1336934000,3007635000,1081790000,814439000,351869000,200502000,1433659000,820478000,820478000,2256405000,3690064000,1054228000,-1735201000,-1456000,-682429000,-682429000,3007635000,-272035000,50250000,79425000,65919000,-76441000,-68628000,-21277000,-89905000,-79999.9999999981,788342000,621996000,621996000,-1722000,620274000,-209459000,1435927000,-212092000,0.23419,-0.11265,-0.11799,0.39863,-0.09045,0.77965,1.16534,-5.40725,0.47743,-2.93933,-2.93933,24.91072,-7.37363,-2.29165,-0.17283,-0.13475,-0.6421,-0.51786
"21","2020_Q1",76.5312903225806,"Down",2533433000,-1956410000,577023000,-882503000,-781733000,-100770000,-305480000,-23660000,-21078000,-2582000,-329140000,-329140000,-1498000,-330638000,-330638000,-330638000,-330638000,987005000,582753000,404252000,99720000,99720000,61692000,228721000,228721000,1377138000,624544000,795676000,795676000,1575910000,2953048000,908097000,908097000,703422000,703422000,1611519000,829542000,829542000,2285737000,3897256000,1122642000,-2065423000,-1427000,-944208000,-944208000,2953048000,-330638000,57828000,85908000,150425000,-36477000,-88032000,-33794000,-675826000,-103211651.830845,-207000,-712510000,-712510000,-414000,-712924000,-247652000,1456195000,-183761000,0.22776,-0.12058,-0.13051,0.35017,-0.11196,0.55578,0.85456,-4.12754,0.49312,-3.5423,-3.5423,27.14199,-10.11579,-1.96873,-0.24646,-0.13698,-1.89455,-1.53591
"22","2020_Q2",149.568571428571,"Up",2330063000,-1750940000,579123000,-841191000,-751728000,-89463000,-262068000,-22464000,-22218000,-246000,-284532000,-284532000,-1333000,-285865000,-285865000,-285865000,-285865000,890978000,624481000,266497000,110259000,110259000,56574000,220400000,220400000,1278211000,661216000,811994000,793586000,1473210000,2751421000,1093647000,838300000,400280000,236158000,1493927000,851826000,851826000,2428895000,3922822000,1184768000,-2356811000,642000,-1171401000,-1171401000,2751421000,-285865000,66843000,78343000,-115611000,-256290000,-59964000,256317000,196353000,-254242159.702288,100125000,40188000,40188000,1540000,41728000,-195225000,1577069000,-369467000,0.24854,-0.11247,-0.12269,0.24404,-0.1039,1.29245,0.8556,-3.34883,0.57318,-3.03824,-3.03824,24.76446,-12.44993,-3.92678,-0.22733,-0.29381,-3.51436,-2.61799
"23","2020_Q3",273.63125,"Up",4304672000,-2983642000,1321030000,-1021032000,-877259000,-143773000,299998000,-25829000,-28939000,3110000,274169000,274169000,-292000,273877000,273877000,273877000,273877000,2374217000,2181471000,192746000,118984000,118984000,42841000,342985000,342985000,2879027000,667456000,833013000,815006000,1500469000,4379496000,1570209000,1270495000,713212000,379431000,2283421000,895254000,895254000,2883467000,5166888000,1296066000,-2082934000,-524000,-787392000,-787392000,4379496000,273877000,69114000,94695000,697565000,1135251000,-44846000,36697000,-8149000,-348230587.722587,427518000,1554620000,1554620000,2370000,1556990000,369112000,1988213000,1022123000,0.30688,0.06969,0.06362,-0.34783,0.06254,3.73205,1.26084,-6.56203,0.45398,2.88799,2.88799,45.39213,-8.30293,10.77814,0.13066,0.48764,-1.04576,-1.28669
"24","2020_Q4",265.47109375,"Down",3839570000,-2692142000,1147428000,-925574000,-785985000,-139589000,221854000,-49899000,-36315000,-13584000,171955000,171955000,1211000,173166000,173166000,173166000,173166000,2556924000,2442939000,113985000,109652000,109652000,54241000,322649000,322649000,3043466000,682057000,832917000,815312000,1514974000,4558440000,1565589000,1236895000,651764000,333589000,2217353000,938538000,938538000,3800673000,6018026000,452207000,-1909768000,-2025000,-1459586000,-1459586000,4558440000,173166000,72575000,114451000,-29165000.0000001,331027000,-41493000,63494000,2006999.99999994,-280236000,-75114000.0000001,257920000,257920000,3548000,261468000,294429000,2862135000,222560000,0.29884,0.05778,0.0451,-0.11864,0.03799,1.28524,1.37257,-4.1231,0.62788,1.81556,1.64699,40.25593,-15.30301,2.33343,0.0739699999999999,0.0950700000000001,1.03662,1.37573
"25","2021_Q1",295.076721311475,"Up",3670695000,-2606276000,1064419000,-964203000,-827028000,-137175000,100216000,-56808000,-58528000,1720000,43408000,43408000,-19586000,23822000,23822000,23822000,23822000,2.592e+09,2.13e+09,4.62e+08,1.1e+08,1.1e+08,5.2e+07,2.92e+08,2.92e+08,3.046e+09,6.84e+08,8.4e+08,8.4e+08,1.524e+09,4.57e+09,1.157e+09,1.157e+09,1.009e+09,1.009e+09,2.166e+09,9.37e+08,9.37e+08,3.596e+09,5.762e+09,6.99e+08,-1.886e+09,-5e+06,-1.192e+09,-1.192e+09,4.57e+09,23822000,77468000,135511000,-29789000,207012000,-39697000,74492000,-426211000,-99764000,-99529000,-318728000,-318728000,5542000,-313186000,177684000,2.659e+09,127784000,0.28998,0.0273,0.00649,-0.01998,0.00521,5.36412,1.40628,-4.83389,0.58184,0.24063,0.23064,37.0781,-12.04053,1.29076,0.00991,0.05315,0.37707,0.66856
"26","2021_Q2",313.243968253968,"Up",3.478e+09,-2.475e+09,1.003e+09,-9.65e+08,-8.18e+08,-1.47e+08,3.8e+07,-1e+07,-7e+06,-3e+06,2.8e+07,1.6e+07,2e+06,1.8e+07,1.8e+07,1.8e+07,1.8e+07,2695008000,2086484000,608524000,107043000,107043000,59613000,355211000,355211000,3216875000,665177000,892881000,892881000,1558058000,4774933000,1174208000,1174208000,1045814000,1045814000,2220022000,964529000,964529000,4024620000,6244642000,331617000,-1799437000,-1889000,-1469709000,-1469709000,4774933000,1.8e+07,8.1e+07,8.7e+07,-9e+06,1.77e+08,-2.4e+07,1.52e+08,-2.12e+08,-233481180.354127,-240480559.649632,-3.5e+07,-3.5e+07,-8e+06,-4.3e+07,1.19e+08,3060091000,8.4e+07,0.28838,0.01093,0.00518,-0.01225,0.00377,4.66667,1.44903,-4.2489,0.64087,0.17503,0.16873,33.81953,-14.29122,0.8168,0.00705,0.03288,3.06792,9.60745
"27","2021_Q3",282.0378125,"Down",3.857e+09,-2.729e+09,1.128e+09,-9.82e+08,-8.37e+08,-1.45e+08,1.46e+08,-1.1e+07,-9e+06,-2e+06,1.35e+08,1.35e+08,-4e+06,1.31e+08,1.31e+08,1.31e+08,1.31e+08,2601841000,2078451000,523390000,129410000,129410000,59914000,342695000,342695000,3133860000,663987000,883377000,883377000,1547364000,4681224000,1262395000,1262395000,963235000,963235000,2225630000,949489000,949489000,3997472000,6223102000,131810000,-1669009000,-4679000,-1541878000,-1541878000,4681224000,1.31e+08,7.7e+07,8.3e+07,-1.6e+07,2.75e+08,-2.5e+07,3.14e+08,1.6e+07,-3e+08,-3e+08,-9e+06,-9e+06,1e+06,-8e+06,2.23e+08,3047983000,1.86e+08,0.29246,0.03785,0.03396,-0.08496,0.02798,1.41985,1.40808,-4.03605,0.65111,1.27382,1.22795,37.50486,-14.99298,1.80863,0.05335,0.07575,2.00064,3.05577
"28","2021_Q4",235.99546875,"Down",3.121e+09,-2.238e+09,8.83e+08,-9.53e+08,-8.13e+08,-1.4e+08,-7e+07,-4e+06,-8e+06,4e+06,-7.4e+07,-7.4e+07,-4e+06,-7.8e+07,-7.8e+07,-7.8e+07,-7.8e+07,2393213000,1864821000,528392000,166497000,166497000,66621000,328862000,328862000,2955193000,653673000,857351000,857351000,1511024000,4466217000,1072529000,1072529000,957963000,957963000,2030492000,916331000,916331000,3965806000,5996298000,221811000,-1747030000,-4888000,-1530081000,-1530081000,4466217000,-7.8e+07,8.2e+07,8.7e+07,-2.22e+08,-1.31e+08,-2.9e+07,1.11e+08,-8e+07,0,-2e+06,-2.13e+08,-2.13e+08,-1.86264514923096e-09,-2.13e+08,1.2e+07,3049475000,-2.35e+08,0.28292,-0.02243,-0.02499,0.05098,-0.01746,3.01282,1.45541,-3.91894,0.68279,-0.75305,-0.73171,30.13159,-14.77237,-2.2688,-0.03202,-0.09648,54.6885,-9.37517
"29","2022_Q1",140.757580645161,"Down",3.252e+09,-2.371e+09,8.81e+08,-1.077e+09,-9.25e+08,-1.52e+08,-1.96e+08,-1.1e+07,-8e+06,-3e+06,-2.07e+08,-2.07e+08,5e+06,-2.02e+08,-2.02e+08,-2.02e+08,-2.02e+08,2.399e+09,1.706e+09,6.93e+08,2.26e+08,2.26e+08,6.9e+07,3.18e+08,3.18e+08,3.012e+09,6.74e+08,8.84e+08,8.84e+08,1.558e+09,4.57e+09,1.166e+09,1.166e+09,1.051e+09,1.051e+09,2.217e+09,9.2e+08,9.2e+08,3.972e+09,6.189e+09,3.37e+08,-1.949e+09,-7e+06,-1.619e+09,-1.619e+09,4.57e+09,-2.02e+08,8.2e+07,1.12e+08,9.7e+07,8.9e+07,-2.3e+07,-2e+06,-2.39e+08,0,-1e+06,-1.51e+08,-1.51e+08,-9e+06,-1.6e+08,-1.14e+08,3.052e+09,-4.5e+07,0.27091,-0.06027,-0.06212,0.12477,-0.0442,0.22277,1.35859,-3.82273,0.66783,-1.91507,-2.09509,30.83078,-15.34903,-0.42663,-0.08585,-0.01912,-5.72807,-3.33163
