"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",21.885,"Up",2095138000,-1983900000,111238000,-20682000,-20682000,90556000,622000,-13178000,12281000,1519000,91178000,91178000,-21323000,69855000,69855000,-442000,69413000,69413000,286263000,286263000,2483269000,2483269000,277394000,145157000,112131000,3046926000,326045000,2490669000,101933000,2109741000,74507000,84237000,120251000,2816714000,5863640000,1521933000,738803000,783130000,119645000,363573000,363573000,2005151000,950622000,396057000,396057000,1346679000,3351830000,1732602000,893311000,-170163000,2455750000,56060000,2511810000,5863640000,69855000,26085000,-2459000,108484000,201965000,-15600000,-35600000,-50003000,-189588000,-26621000,4876000,-31497000,-1149000,-217358000,-65396000,-65396000,-1872000,-67268000,116641000,1070267000,230848000,0.05309,0.04322,0.03313,0.02763,0.01184,3.32572,1.51955,1.33443,0.18253,0.62988,0.62647,19.01214,22.28448,2.09481,0.01745,0.05803,6.72151,8.65767
"12","2013_Q1",28.3911666666667,"Up",2082911000,-1938753000,144158000,-17753000,-17753000,126405000,1473000,-10999000,10509000,1963000,127878000,-208122000,-16746000,-224868000,-224868000,-36999.9999999999,-224905000,-224905000,456983000,456983000,2395881000,2395881000,294429000,140764000,136793000,3147293000,325917000,2191358000,96973000,1775352000,126948000,91049000,101036000,2517275000,5664568000,1595515000,761211000,834304000,162591000,320296000,320296000,2078402000,907141000,454537000,454537000,1361678000,3440080000,1742548000,606089000,-179173000,2169464000,55024000,2224488000,5664568000,-224868000,26081000,323148000,102028000,226389000,-15069000,30049000,17627000,-3025000.00000003,-56765000,2963000,-59728000,4320000,-55470000,188546000,188546000,6836000,195382000,152486000,1069732000,256191000,0.06921,0.06069,-0.10798,-0.1011,-0.0397,-1.13911,1.51429,1.54646,0.18885,-2.04645,-2.08632,18.95278,19.74035,2.33113,-0.05999,0.06834,4.0184,4.84751
"13","2013_Q2",29.91671875,"Up",2017272000,-1939154000,78118000,-22102000,-22102000,56016000,-4335000,-10921000,5915000,671000,51681000,51681000,-12703000,38978000,38978000,-869000,38109000,38109000,459276000,459276000,2481834000,2481834000,317422000,156613000,132020000,3258532000,322714000,2226779000,100659000,1816965000,117263000,86323000,105569000,2549493000,5808025000,1625826000,698765000,927061000,211466000,395832000,395832000,2233124000,1021772000,443003000,443003000,1464775000,3697899000,1760890000,471199000,-182621000,2049468000,60658000,2110126000,5808025000,38978000,23902000,10951000,-6742000,67089000,-12925000,38581441.5172164,-52168000,161670000,-162364000,4691000,-167055000,-16192000,-16886000,-1965000,-1965000,-515000,-2480000,79918000,1233238000,72954000,0.03872,0.02777,0.01889,0.01806,0.00656,1.91435,1.45918,1.75245,0.21233,0.36364,0.36122,19.24878,19.55599,0.69613,0.01006,0.01927,9.68445,13.8168
"14","2013_Q3",30.97484375,"Up",1989646000,-1889803000,99843000,-27253000,-27253000,72590000,-3853000,-11855000,7846000,156000,68737000,68737000,-13961000,54776000,54776000,-965000,53811000,53811000,491146000,491146000,2331265000,2331265000,339398000,157675000,136586000,3161809000,312702000,2210633000,94112000,1807943000,117183000,87321000,104074000,2523335000,5685144000,1522935000,682605000,840330000,167617000,340406000,340406000,2030958000,1123456000,438139000,438139000,1561595000,3592553000,1784389000,460197000,-208607000,2035979000,56612000,2092591000,5685144000,54776000,23937000,-2014000,8546000.00000001,85245000,-11707000,1746000.00000003,-29849000,57747000,-68755000,11805000,-80560000,-3497000,-14505000,40891000,40891000,-4455000,36436000,96527000,1291073000,107327000,0.05018,0.03648,0.02705,0.02572,0.00947,1.99452,1.55681,1.7168,0.2271,0.53597,0.5286,19.81719,20.27868,1.06899,0.01408,0.02808,8.28708,11.0198
"15","2013_Q4",29.91234375,"Down",2067490000,-1935676000,131814000,-24010000,-24010000,107804000,-6410000,-11719000,4094000,1215000,101394000,101394000,-30179000,71215000,71215000,-460000,70755000,70755000,351651000,351651000,2341146000,2341146000,356887000,169231000,155940000,3049684000,270344000,2219340000,87394000,1797314000,118135000,83843000,132654000,2489684000,5539368000,1607119000,711220000,895899000,13493000,320944000,320944000,1941556000,1135226000,420721000,420721000,1555947000,3497503000,1799311000,457249000,-270830000,1985730000,56135000,2041865000,5539368000,71215000,23532000,-7306000,8676000,96117000,-12435000,-19660000,-30402000,-120060000,-60715000,5814000,-66529000,2611000,-178164000,-112449000,-112449000,-7692000,-120141000,131336000,1148719000,157756000,0.06376,0.05214,0.03422,0.03465,0.01277,2.22961,1.57074,1.7129,0.20737,0.71254,0.70193,20.82064,19.99728,1.58868,0.01959,0.04368,6.06892,7.39368
"16","2014_Q1",30.1667213114754,"Up",2079087000,-1938874000,140213000,-23953000,-23953000,116260000,-2298000,-10242000,6464000,1480000,113962000,113962000,-35735000,78227000,78227000,-1659000,76568000,76568000,450328000,450328000,2342262000,2342262000,339012000,168714000,150349000,3131602000,270672000,2263349000,83149000,1811754000,143478000,106422000,118546000,2534021000,5665623000,1646798000,725389000,921409000,84265000,322486000,322486000,2053549000,1089060000,448920000,448920000,1537980000,3591529000,1810587000,472155000,-261299000,2021443000,52651000,2074094000,5665623000,78227000,23035000,14616000,44269000,160147000,-15050000,-30178000,-27071000,-5507000,-67873000,6084000,-73957000,28562000,-44818000,88258000,88258000,4828000,93086000,139295000,1173325000,204249000,0.06744,0.05592,0.03683,0.03692,0.01351,2.66755,1.52497,1.73161,0.2071,0.78153,0.76823,21.22124,20.63286,2.08477,0.02071,0.05526,5.1904,6.21879
"17","2014_Q2",31.9377777777778,"Up",1953875000,-1875677000,78198000,-23845000,-23845000,54353000,25673000,-10427000,36083000,17000,80026000,80026000,-23485000,56541000,56541000,-145000,56396000,56396000,510696000,510696000,2410041000,2410041000,328110000,126907000,171047000,3248847000,275897000,2312677000,98353000,1884760000,111084000,53469000,165011000,2588574000,5837421000,1708306000,803843000,904463000,90633000,360731000,360731000,2159670000,1113452000,441340000,441340000,1554792000,3714462000,1819779000,503724000,-287237000,2036266000,86693000,2122959000,5837421000,56541000,22198000,-24701000,83349000,137387000,-20771000,881000,-20549000,15934000,-30281000,3440000,-33721000,-18920000,-33267000,83571000,83571000,-2505000,81066000,76551000,1204085000,162614000,0.04002,0.02782,0.02886,0.02656,0.00966,2.88343,1.50433,1.74966,0.20627,0.58563,0.57783,20.28946,21.14503,1.68862,0.01497,0.04315,9.05787,12.75714
"18","2014_Q3",35.1409375,"Up",1872224000,-1784817000,87407000,-26449000,-26449000,60958000,-3257000,-10498000,7436000,-195000,57701000,57701000,-15205000,42496000,42496000,-2304000,40192000,40192000,402959000,402959000,2341025000,2341025000,279917000,154262000,99584000,3023901000,277934000,2343443000,92121000,1887447000,116495000,124359000,123021000,2621377000,5645278000,1577445000,753682000,823763000,82286000,341954000,341954000,2001685000,1008891000,444265000,444265000,1453156000,3454841000,1840539000,543916000,-284266000,2100189000,90248000,2190437000,5645278000,42496000,23944000,11933000,-109764000,-31391000,-12396000,-20867000,-33263000,-116437000,9984000,10442000,-458000,-5147999.99999999,-111601000,-176255000,-176255000,-2945000,-179200000,84902000,1091177000,-22053000,0.04669,0.03256,0.02147,0.01835,0.00712,-0.54869,1.51068,1.57724,0.19329,0.41435,0.40887,19.30128,21.65143,-0.22735,0.01079,-0.00592,8.10603,11.29004
"19","2014_Q4",30.88046875,"Down",1968155000,-1859615000,108540000,-15067000,-15067000,93473000,-2867000,-9797000,5896000,1034000,90606000,82769000,-13677000,69092000,69092000,148000,69240000,69240000,419248000,419248000,2431517000,2431517000,271045000,150842000,90899000,3121810000,278780000,2353152000,86717000,1896371000,117090000,133766000,119208000,2631932000,5753742000,1635674000,704981000,930693000,66462000,351724000,351724000,2053860000,976963000,439446000,439446000,1416409000,3470269000,1849308000,613155000,-264951000,2197512000,85961000,2283473000,5753742000,69092000,24328000,11680000,-25387000,79713000,-16411000,-8583000,-24994000,-29679000,4590000,4988000,-398000,-22932000,-48021000,6698000,6698000,906000,7604000,117801000,1043425000,89680000,0.05515,0.04749,0.03518,0.03032,0.01203,1.29521,1.51997,1.51973,0.18135,0.71015,0.69939,20.18621,22.53858,0.91979,0.01838,0.02381,5.29857,6.67762
"20","2015_Q1",28.2329508196721,"Down",2562529000,-2433498000,129031000,-15547000,-15547000,113484000,280999.999999996,-10120000,8509000,1892000,113765000,94292000,-29657000,64635000,64635000,-608999.999999999,64026000,64026000,521784000,521784000,2654976000,2654976000,257353000,177536000,52404000,3434113000,281979000,2407285000,90238000,1937338000,118038000,142901000,118770000,2689264000,6123377000,2011782000,1047155000,964627000,64413000,379574000,379574000,2455769000,939565000,455563000,233977000,1395128000,3850897000,1865938000,677181000,-356602000,2186517000,85963000,2272480000,6123377000,64635000,24924000,8514000,76843000,174916000,-13274000,-59998000,-63989999.9999999,-45050000,8086000,8433000,-346999.999999999,-3904000,-40868000,70058000,70058000,-6017000,64041000,138408000,1003978000,231634000,0.05035,0.04429,0.02499,0.02817,0.01046,3.61781,1.39839,1.69458,0.16396,0.65263,0.64201,26.12054,22.28775,2.36111,0.01716,0.06207,3.48386,4.249
"21","2015_Q2",32.6620634920635,"Up",4186035000,-4021812000,164223000,-34338000,-34338000,129885000,-92195000,-118698000,23924000,2579000,37690000,-100773000,20443000,-80330000,-80330000,-23173000,-103503000,-103503000,583884000,583884000,4873911000,4873911000,642990000,371358000,150764000,6100785000,862640000,7289844000,858860000,5671767000,72035000,348671000,338511000,8152484000,14253269000,3623520000,1741934000,1881586000,202428000,587129000,587129000,4413077000,4775396000,1225484000,332473000,6000880000,10413957000,3452233000,573678000,-475691000,3550220000,289092000,3839312000,14253269000,-80330000,102122000,103930000,156920000,282642000,-29733000,-17183000,-3319364000,3243151000,-4929000,6028000,-10957000,-32148000,3206074000,169352000,169352000,-8892000,160460000,232007000,4977824000,338751000,0.03923,0.03103,-0.02473,-0.02696,-0.00726,-3.27286,1.38243,2.71245,0.34924,-0.72941,-0.72941,29.49989,25.01917,2.38725,-0.01031,0.03373,18.93883,33.82946
"22","2015_Q3",28.73203125,"Down",4530630000,-4456811000,73819000,-29797000,-29797000,44022000,-37073000,-60663000,24628000,-1038000,6948999.99999999,-84650000,67517000,-17133000,-17133000,-18073000,-35206000,-35206000,461155000,461155000,4785335000,4785335000,738693000,383870000,151442000,5985183000,792558000,7238264000,854493000,5665369000,80097000,336221000,302084000,8030822000,14016005000,3611627000,1682113000,1929514000,176326000,673151000,673151000,4461104000,4691571000,1142485000,311595000,5834056000,10295160000,3473988000,538472000,-582893000,3429567000,291278000,3720845000,14016005000,-17133000,214322000,1565999.99999999,-148795000,49960000,-25854000,-41520000,-29646999.9999995,-95478000,6581000,7159000,-578000,-43327000,-132224000,-111911000,-111911000,-10140000,-122051000,258344000,4867897000,16178000,0.01629,0.00972,-0.00777000000000001,-0.00945999999999999,-0.00251,-0.45952,1.34164,2.76689,0.34731,-0.233,-0.23041,29.98432,22.69733,0.10707,-0.00362,0.00166,17.05765,100.10318
"23","2015_Q4",29.74890625,"Up",4549578000,-4423060000,126518000,-24418000,-24418000,102100000,-22316000,-60220000,27776000,10128000,79784000,-8711000,8464000,-247000,-247000,-16945000,-17192000,-17192000,543016000,543016000,4841450000,4841450000,861619000,388982000,140877000,6246085000,699322000,7068891000,659438000,5820692000,109712395.577236,321625000,267136000,7768213000,14014298000,4021764000,1853993000,2167771000,160411000,653877000,653877000,4836052000,4446527000,1100776000,305485000,5547303000,10383355000,3520512000,522336000,-635100000,3407748000,223195000,3630943000,14014298000,-247000,134700000,47130000,-27781000,153802000,-3669000,-37246000,-26034000,-97021000,-2942000,8340000,-11282000,-33360000,-133323000,-5555000,-5555000,-1142000,-6697000,236800000,4606938000,196886000,0.02781,0.02244,-0.00378,-0.00473,-0.00123,-11.45219,1.29157,2.85969,0.32873,-0.11333,-0.11333,29.99063,22.46373,1.29786,-0.00184,0.02108,17.16183,39.80335
"24","2016_Q1",27.4614754098361,"Down",4723637000,-4553009000,170628000,-25422000,-25422000,145206000,-22659000,-60046000,29917000,7470000,122547000,42664000,-16187000,26477000,26477000,-25421000,1056000,1056000,543016000,543016000,4841450000,4841450000,861619000,388982000,140877000,6246085000,699322000,7068891000,659438000,5820692000,134934734.107609,321625000,267136000,7768213000,14014298000,4021764000,1853993000,2167771000,160411000,653877000,653877000,4836052000,4446527000,1100776000,305485000,5547303000,10383355000,3520512000,522336000,-635100000,3407748000,223195000,3630943000,14014298000,26477000,148121000,-45323000,148754000,278029000,-10170000,-28566000,29316999.9999999,-172409000,14811000,15107000,-295999.999999996,-63165000,-220763000,86583000,86583000,-8590000,77993000,293327000,4606938000,448098000,0.03612,0.03074,0.000219999999999999,0.00029,7.99999999999998e-05,424.33523,1.29157,2.85969,0.32873,0.00687,0.00695,30.72884,22.16854,2.91503,0.00011,0.04798,13.85458,27.98729
"25","2016_Q2",31.2978125,"Up",4297651000,-4156793000,140858000,-28639000,-28639000,112219000,-31213000,-59518000,25263000,3042000,81006000,-1085000,682000,-403000,-403000,-19964000,-20367000,-20367000,538886005.085147,538886005.085147,4845142548.86557,4845142548.86557,868266127.046651,551430729.524315,144824096.090744,6252294680.99737,644942060.745378,7079311261.4727,614446788.998185,5764218976.34448,144425455.584177,334483440.103061,288177001.994812,7724253322.21808,13976548003.2154,4111304056.87943,1858797129.43044,2252506927.44897,249710328.597203,651442299.276792,651442299.276792,5012456684.75343,4315209238.56655,1041297486.10684,341400388.451538,5356506724.6734,10368963409.4268,3529166379.72295,517415858.003951,-655378141.461192,3391204096.26589,216380497.522741,3607584593.78863,13976548003.2154,-403000,111018000,-26955000,-5605000,78055000,-843000,-7938000,39987000,-83397000,-7436000,9907000,-17343000,-47411000,-138244000,-20202000,-20202000,-5647000,-25849000,223237000,0,216107000,0.03278,0.02611,-0.00474,0.00454833606248931,0.00115743024794546,-10.61064,1.24987374119328,2.8705894004998,0.326182243678128,-0.1326,-0.1326,27.9795,21.9583517151446,1.40695,0.00174913498232216,0.0392910551289673,13.4687018715913,28.897191975152
