"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",12.2390625,"Down",46648000,-33620000,13028000,-3443000,-3443000,9585000,155000,155000,9740000,10860000,-3920000,6940000,6940000,6410000,6410000,169387000,169387000,19392000,19392000,8253000,1062000,197032000,7399000,21155000,18476000,28554000,225586000,37549000,28474000,9075000,61485000,61485000,99034000,8000,0,8000,99042000,97536000,30260000,127763000,-1219000,126544000,225586000,6940000,6940000,190000,-302000,-10381000,-3553000,-684000,-2081000,-707928.334344719,-707928.334344719,-121000,-5755000,-5755000,-5755000,9775000,0,2630000,0.27928,0.20548,0.13741,0.05065,0.02841,0.4103,1.98954,0.78267,0,0.45871,0.45374,3.3382,9.14291,0.18821,0.05065,0.02078,-17.32859,-17.67209
"12","2013_Q3",13.0953125,"Up",57864000,-36607000,21257000,-1601000,-1601000,19656000,411000,411000,20067000,21391000,-7468000,13923000,13923000,12623000,12623000,152917000,152917000,15101000,15101000,13564000,10200000,181582000,4188000,20978000,18476000,25166000,206748000,25536000,17510000,8026000,40075000,40075000,65611000,6000,0,6000,65617000,98201000,42884000,141052000,79000,141131000,206748000,13923000,13923000,196000,-169000,-29808000,-15858000,-167000,-483000,149000,149000,-129000,-16470000,-16470000,-16470000,19852000,0,-2655000,0.36736,0.33969,0.21815,0.08944,0.06106,-0.21033,2.76755,0.46494,0,0.90177,0.89291,4.13373,10.07658,-0.18967,0.08944,-0.01881,-7.70285,-7.77966
"13","2013_Q4",18.04125,"Up",63452000,-39576000,23876000,-3545000,-3545000,20331000,261000,261000,20592000,20592000,-8143000,12449000,12449000,11928000,11928000,206350000,206350000,26044000,20609000,3305000,276000,235699000,4124000,20625000,18476000,24749000,260448000,39210000,18978000,9592000,75215000,75215000,114425000,208000,0,208000,114633000,101076000,44171000,145214000,601000,145815000,260448000,12449000,12449000,203000,661000,34156000,47469000,-74000,3607000,2357000,2357000,2357000,53433000,53433000,53433000,20534000,0,62759000,0.37628,0.32042,0.18798,0.0818,0.0458,5.26149,2.05986,0.78615,0,0.84632,0.81464,4.50206,10.30325,4.45289,0.08169,0.42979,-10.04919,-10.14953
"14","2014_Q1",22.2759016393443,"Up",59491000,-38804000,20687000,-4329000,-4329000,16358000,134000,134000,16492000,16492000,-6460000,10032000,10032000,9164000,9164000,272209000,272209000,23891000,23687000,2459000,526999.999999999,298559000,4183000,20564000,18476000,24747000,323306000,30501000,22589000,7912000,134736000,134736000,165237000,292000,0,292000,165529000,103006000,53335000,156308000,1469000,157777000,323306000,10032000,10032000,203000,603000,59511000,70349000,-211000,4286000,1288000,1288000,-8776000,65859000,65859000,65859000,16561000,0,82321000,0.34773,0.27497,0.15404,0.05808,0.02834,8.98309,1.80685,1.04913,0,0.64435,0.61911,4.18303,10.99058,5.78829,0.12529,0.52079,-16.43675,-16.64073
"15","2014_Q2",23.2285714285714,"Up",51191000,-41140000,10051000,-3379000,-3379000,6672000,22000,22000,6694000,6694000,-1894000,4800000,4800000,3475000,3475000,313761000,313761000,28684000,28684000,5261000,2512000,347706000,4107000,20504000,18476000,24611000,372317000,29307000,25677000,3630000,177517000,177517000,206824000,1191000,819000,1191000,208015000,104731000,56810000,161508000,2794000,164302000,372317000,4800000,4800000,202000,1419000,34115000,40536000,-46000,-366000,1128000,1128000,1382000,41552000,41552000,41552000,6874000,0,42837000,0.19634,0.13034,0.06788,0.02115,0.00933,12.32719,1.68117,1.26605,0,0.24302,0.23667,3.58004,11.29506,2.9958,0.021,0.25884,-45.6446,-47.02653
"16","2014_Q3",28.390625,"Up",102030000,-80467000,21563000,-4480000,-4480000,17083000,41000,41000,17124000,17124000,-5103000,12021000,12021000,8550000,8550000,345158000,345158000,34217000,34217000,4430000,1514000,383805000,4052000,20443000,18476000,24495000,408300000,47908000,39937000,7971000,181584000,181584000,229492000,330000,1.16415321826935e-10,330000,229822000,106886000,65360000,172213000,6265000,178478000,408300000,12021000,12021000,202000,-576000,18373000,30020000,-153000,-153000,1154000,1154000,1530000,31397000,31397000,31397000,17285000,0,40608000,0.21134,0.16743,0.0838,0.04791,0.02094,4.74947,1.67241,1.28768,0,0.59371,0.58566,7.08492,11.95841,2.8198,0.04782,0.2271,-19.96864,-20.20476
"17","2014_Q4",25.8496875,"Down",127564000,-97251000,30313000,-5473000,-5473000,24840000,99000,99000,24939000,24939000,-8180000,16759000,16759000,12422000,12422000,361021000,361021000,24616000,22905000,2808000,314000,388445000,5551000,20382000,18476000,25933000,414378000,70335000,44941000,15228000,156159000,156159000,226494000,295000,0,295000,226789000,109403000,67616000,176986000,10603000,187589000,414378000,16759000,16759000,201000,310000,-1467000,15803000,-1643000,-1937000,1602000,1602000,1997000,15863000,15863000,15863000,25041000,0,30111000,0.23763,0.19473,0.09738,0.06622,0.02998,2.42401,1.71503,1.20897,0,0.85847,0.82808,8.81576,12.23124,2.08093,0.06612,0.16026,-14.4172,-14.53386
"18","2015_Q1",25.8029508196721,"Down",102325000,-80649000,21676000,-6138000,-6138000,15538000,72000,72000,15610000,15610000,-5735000,9875000,9875000,5998000,5998000,333691000,333691000,29116000,27330000,1547000,455000,364354000,6518000,20321000,18476000,26839000,391193000,53667000,37691000,15976000,161564000,161564000,215231000,1010000,201000,1010000,216241000,111858000,73614000,185472000,-10520000,174952000,391193000,9875000,9875000,189000,1760000,-4854000,6970000,-1094000,-1094000,1505000,1505000,-33206000,-27330000,-27330000,-27330000,15727000,0,15514000,0.21183,0.15185,0.05862,0.03428,0.01533,2.58653,1.69285,1.236,0,0.41189,0.39963,7.02685,12.73671,1.06538,0.09186,0.08817,-21.21771,-21.4758
"19","2015_Q2",28.354126984127,"Up",85488000,-64321000,21167000,-5540000,-5540000,15627000,85000,85000,15712000,15712000,-4861000,10851000,10851000,7503000,7503000,330545000,274528000,36525000,34500000,4935000,595000,372005000,7606000,20261000,18476000,27867000,399872000,48975000,29914000,19061000,162973000,162973000,211948000,881000,462000,881000,212829000,113131000,81117000,194215000,-7172000,187043000,399872000,10851000,10851000,179000,594000,-13914000,-2290000,-1207000,-57593000,434000,434000,720000,-59163000,-59163000,-59163000,15806000,0,5546000,0.2476,0.1828,0.08777,0.04011,0.01876,0.73917,1.75517,1.13786,0,0.51261,0.50478,5.84054,13.26877,0.3789,0.03993,0.02951,-20.91263,-21.15217
"20","2015_Q3",30.4503125,"Up",97433000,-68940000,28493000,-4847000,-4847000,23646000,127000,127000,23773000,23773000,-7939000,15834000,15834000,11307000,11307000,299200000,182136000,45120000,38839000,5799000,2943000,350119000,5189000,24750000,22887000,29939000,380058000,56414000,32392000,24022000,114587000,114587000,171001000,1477000,656000,1477000,172478000,117840000,92418000,210225000,-2645000,207580000,380058000,15834000,15834000,243000,384000,-43257000,-26796000,-1296000,-66725000,566000,566000,636000,-92885000,-92885000,-92392000,23889000,0,-12725000,0.29244,0.24269,0.11605,0.05447,0.02975,-1.12541,2.04747,0.8309,0,0.76663,0.7518,6.60607,14.25351,-0.86277,0.05409,-0.06087,-12.52459,-12.6533
"21","2015_Q4",28.98484375,"Down",113967000,-87705000,26262000,-5590000,-5590000,20672000,732000,732000,21404000,21404000,-7045000,14359000,14359000,10807000,10807000,280935000,176838000,47978000,41137000,6543000,3565000,335456000,5177000,24630000,22525000,29807000,365263000,65830000,35089000,20362000,85034000,85034000,150864000,2190000,559000,2190000,153054000,118893000,92853000,211302000,907000,212209000,365263000,14359000,14359000,305000,1369000,-33335000,-17302000,-168000,12506000,670000,670000,402000,-4394000,-4394000,-5298000,20977000,0,-5481000,0.23044,0.18139,0.09483,0.05093,0.02959,-0.50717,2.22357,0.72124,0,0.72971,0.71532,7.69527,14.26752,-0.37009,0.05041,-0.02556,-13.39253,-13.59012
"22","2016_Q1",25.3396721311475,"Down",116387000,-92844000,23543000,-9083000,-9083000,14460000,157000,157000,14617000,14617000,-5457000,9160000,9160000,6728000,6728000,275007000,160909000,64185000,64185000,11420000,4078000,350612000,12308000,46871000,37405000,59179000,409791000,81849000,46395000,35454000,105863000,105863000,187712000,224000,0,224000,187936000,119500000,99581000,218516000,3339000,221855000,409791000,9160000,9160000,583000,3304000,309000,13356000,-447000,-18727000,62000,62000,-10404000,-15775000,-15775000,-15929000,15043000,0,20362000,0.20228,0.12424,0.05781,0.03033,0.01642,3.02646,1.86782,0.84711,0,0.45361,0.44604,7.84702,14.73274,1.37284,0.07703,0.09169,-18.28139,-19.01846
"23","2016_Q2",28.98015625,"Up",130348000,-102046000,28302000,-7047000,-7047000,21255000,37000,37000,21292000,21292000,-7172000,14120000,14120000,12230000,12230000,319655000,191430000,70903000,70903000,10576000,4077000,401134000,12184000,45948000,36813000,58132000,459266000,83732000,50804000,32928000,134621000,134621000,218353000,3139000,0,3139000,221492000,120654000,111811000,232545000,5229000,237774000,459266000,14120000,14120000,755000,2428000,26423000,43726000,-245000,-14245000,495000,495000,495000,29976000,29976000,30521000,22010000,0,55360000,0.21713,0.16306,0.09383,0.05144,0.02663,4.52657,1.83709,0.93152,0,0.82401,0.81235,8.78237,15.66804,3.72996,0.05077,0.22979,-14.52317,-15.03905
"24","2016_Q3",39.58265625,"Up",162495000,-118483000,44012000,-7534000,-7534000,36478000,556000,556000,37034000,35055000,-11756000,23299000,23299000,19674000,19674000,383152000,162855000,32706000,32706000,8056000,3052000,423914000,13122000,44058000,34780000,57180000,481094000,102569000,60207000,42362000,121130000,121130000,223699000,9.31322574615479e-10,0,0,223699000,124987000,131485000,256041000,1354000,257395000,481094000,23299000,23299000,684000,608000,44390000,68981000,-1367000,-93367000,3722000,3722000,-3778000,-28164000,-28164000,-28575000,37162000,0,91941000,0.27085,0.22449,0.12107,0.07644,0.04089,4.67322,1.89502,0.86909,0,1.31546,1.27695,10.86487,17.11962,6.14743,0.07644,0.3572,-10.31032,-10.50365
"25","2016_Q4",51.1625396825397,"Up",175444000,-138866000,36578000,-9848000,-9848000,26730000,690000,690000,27420000,27420000,-8194000,19226000,19226000,18073000,18073000,446320000,170775000,42886000,42886000,10764000,4642000,499970000,13435000,45438000,34913000,58873000,558843000,129548000,91487000,38061000,160985000,160985000,290533000,0,0,0,290533000,132262000,134298000,265803000,2507000,268310000,558843000,19226000,19226000,757000,-1095000,53716000,72604000,-869000,-55869000,6771000,6771000,-8489000,8246000,8246000,7920000,27487000,0,88528000,0.20849,0.15236,0.10301,0.06736,0.03234,4.89836,1.72087,1.08283,0,1.19499,1.129,11.60037,17.57491,5.85348,0.12423,0.32995,-16.23749,-16.69734
"26","2017_Q1",57.5398387096774,"Up",206760000,-168941000,37819000,-8049000,-8049000,29770000,995000,995000,30765000,30765000,-9984000,20781000,20781000,20351000,20351000,522994000,167198000,54836000,54836000,10119000,3192000,587949000,13112000,43427000,34913000,56539000,644488000,141483000,101944000,39539000,209241000,209241000,350724000,1195000,0,1195000,351919000,137745000,154649000,291632000,937000,292569000,644488000,20781000,20781000,1010000,4834000,47108000,73733000,-330000,-80330000,4913000,4913000,2913000,-3684000.00000001,-3684000.00000001,-3577000,30780000,0,87542000,0.18291,0.14398,0.09843,0.06956,0.03158,4.30161,1.67639,1.20286,0,1.32649,1.26956,13.47673,19.00873,5.70604,0.06928,0.298,-16.99136,-17.56782
"27","2017_Q2",53.0960317460317,"Down",230489000,-190393000,40096000,-9489000,-9489000,30607000,1218000,1218000,31825000,31825000,-11076000,20749000,20749000,20625000,20625000,563439000,167347000,71331000,71331000,8901000,4357000,643671000,14434000,51821000,34913000,66255000,709926000,150335000,118077000,32258000,234344000,234344000,384679000,9846000,0,9846000,394525000,139724000,175274000,314340000,1061000,315401000,709926000,20749000,20749000,755000,1289000,18171000,40964000,-1863000,-41863000,867000,867000,867000,-32000,-32000,149000,31362000,0,58746000,0.17396,0.13279,0.08948,0.06539,0.02905,2.84829,1.67327,1.25087,0,1.33348,1.30778,14.90198,20.32327,3.79815,0.06341,0.18062,-17.96566,-18.40883
"28","2017_Q3",51.602380952381,"Down",259803000,-208396000,51407000,-10800000,-10800000,40607000,1311000,1311000,41918000,41918000,-14600000,27318000,27318000,27139000,27139000,557150000,153225000,72517000,72517000,12960000,8194000,642627000,14821000,43524000,34913000,58345000,700972000,164117000,131001000,33116000,190581000,190581000,354698000,1206000,0,1206000,355904000,142513000,202413000,345057000,11000,345068000,700972000,27318000,27318000,973000,1424000,-36103000,-6388000,-939000,-8638999.99999999,1586000,1586000,357000,-14670000,-14670000,-14122000,41580000,0,19138000,0.19787,0.1563,0.10446,0.07865,0.03872,0.70518,1.81176,1.0314,0,1.74921,1.71711,16.74528,22.24022,1.23352,0.07837,0.05527,-13.39947,-13.72054
"29","2017_Q4",50.0793650793651,"Down",232945000,-195227000,37718000,-10119000,-10119000,27599000,1692000,1692000,29291000,29291000,-12062000,17229000,17229000,17229000,17229000,483681000,149708000,83681000,83681000,16433000,10197000,583795000,15257000,43249000,34913000,58506000,642301000,145453000,114448000,31005000,146863000,146863000,292316000,1788000,0,1788000,294104000,144099000,204095000,348186000,11000,348197000,642301000,17229000,17229000,984000,1695000,-77223000,-57315000,-1204000,68796000,328000,328000,-15220000,-3739000,-3739000,-3517000,28583000,0,-37782000,0.16192,0.11848,0.07396,0.04948,0.02682,-2.19293,1.99714,0.84465,0,1.10833,1.08962,14.9852,22.39858,-2.43049,0.09365,-0.10795,-16.92198,-17.52531
"30","2018_Q1",35.6409836065574,"Down",169578000,-149474000,20104000,-11356000,-11356000,8748000,1427000,1427000,10175000,9591000,-2541000,7050000,7050000,7018000,7018000,434015000,122107000,26287000,26287000,24725000,24725000,485027000,15299000,42343000,34329000,57642000,542669000,135598000,100238000,35360000,47664000,47664000,183262000,1279000,0,1279000,184541000,145551000,211112000,358085000,43000,358128000,542669000,7050000,7050000,1099000,627000,-58830000,-50054000,-820000,20380000,374000,374000,374000.000000004,-29300000,-29300000,-27601000,9847000,0,-47262000,0.11855,0.05159,0.04139,0.0196,0.01293,-6.7344,2.64663,0.51529,0,0.451,0.4461,10.89763,23.0117,-3.03721,0.01953,-0.1315,-44.07586,-49.61305
"31","2018_Q2",33.17875,"Down",141366000,-125914000,15452000,-9637000,-9637000,5815000,764000,764000,6579000,6579000,-1737000,4842000,4842000,4837000,4837000,365581000,151523000,35623000,35623000,64428000,50579000,465632000,18175000,42071000,34329000,60246000,525878000,134850000,97453000,37397000,30463000,30463000,165313000,1460000,0,1460000,166773000,146119000,212095000,359057000,48000,359105000,525878000,4842000,4842000,1024000,468000,-67269000,-60935000,-3691000,94534000,279243.817022001,279243.898367104,-3892000,29707000,29707000,29416000,6839000,0,-62384000,0.1093,0.04113,0.03422,0.01347,0.0092,-12.89725,2.81667,0.46441,0,0.3107,0.30896,9.08055,23.06378,-4.00719,0.02421,-0.17302,-53.45533,-62.86862
"32","2018_Q3",34.6887301587302,"Up",136670000,-105962000,30708000,-10378000,-10378000,20330000,2928000,2928000,23258000,23258000,-6314000,16944000,16944000,16972000,16972000,361742000,165766000,46137000,46137000,45334000,34792000,453213000,18882000,41708000,34329000,60590000,513803000,115457000,84239000,31218000,24385000,24385000,139842000,2146000,9.09494701772928e-13,2146000,141988000,146471000,225174000,371795000,20000,371815000,513803000,16944000,16944000,1049000,-850000,-14740000,2403000,-1674000,15826000,14000.0000000002,14000,-3878000,14351000,14351000,14243000,21379000,0,11279000,0.22469,0.14875,0.12418,0.04565,0.03303,0.664570000000001,3.24089,0.38188,0,1.09018,1.08171,8.77891,23.882,0.7245,0.05579,0.03016,-16.92044,-17.79351
"33","2018_Q4",36.4336507936508,"Up",116459000,-86927000,29532000,-11147000,-11147000,18385000,1429000,1429000,19814000,19814000,12560000,32374000,32374000,32434000,32434000,314787000,155791000,43612000,43612000,81093000,81093000,439492000,19866000,41411000,34329000,61277000,500769000,90098000,64987000,25111000,9778000,9778000,99876000,1388000,0,1388000,101264000,146843000,253716000,399617000,-112000,399505000,500769000,32374000,32374000,1151000,193000,-74292000,-40574000,-2001000,34499000,34000,34000,-3931000,-10006000,-10006000,-9975000,19536000,0,-69317000,0.25358,0.15787,0.2785,0.08119,0.06477,-2.13717,4.40038,0.25347,0,2.08338,2.06468,7.48067,25.66913,-4.45253,0.09062,-0.17291,-16.11318,-17.12195
"34","2019_Q1",39.0477049180328,"Up",87658000,-80912000,6746000,-9548000,-9548000,-2802000,1860000,1860000,-942000,-2433000,141999.999999996,-2291000,-2291000,-2207000,-2207000,296531000,164318000,36174000,36174000,83643000,83643000,416348000,19778000,40522000,32838000,60300000,476648000,73927000,44427000,29500000,8349000,8349000,82276000,0,-7.27595761418343e-12,0,82276000,147298000,247616000,394568000,-196000,394372000,476648000,-2291000,-2291000,198000,1897000,-13020000,-13216000,-1233000,25767000,54000.0000000001,54000,-3839000,8712000,8712000,8526999.99999999,-2604000,0,-16999000,0.07696,-0.03197,-0.02518,-0.00559999999999999,-0.00463000000000001,7.70231,5.06038,0.20863,0,-0.14173,-0.14042,5.62921,25.3383,-1.09164,0.00428000000000001,-0.0431,113.87519,105.82834
