"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","inventories","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",12.185,"Up",1.3806e+10,-1.0319e+10,3.487e+09,-3.514e+09,-7.7e+08,-5.4e+08,-2.3e+08,-2.744e+09,-2.7e+07,5e+06,-1.3e+07,-2.3e+07,1e+07,1.8e+07,-2.2e+07,-2.2e+07,-8.3e+07,-1.69e+08,-2.74e+08,-2.74e+08,-2.74e+08,-2.74e+08,5.248e+09,2.98e+09,2.268e+09,5.065e+09,1.3156e+10,5.662e+09,4.016e+09,2.54e+09,1.476e+09,9.678e+09,2.2834e+10,1.2605e+10,8.369e+09,4.236e+09,1.2605e+10,2.676e+09,2.676e+09,2.676e+09,1.5281e+10,7.868e+09,5e+06,7.863e+09,-1.837e+09,1.818e+09,-2.96e+08,7.553e+09,7.553e+09,2.2834e+10,-2.74e+08,5.55e+08,-6.6e+07,7.28e+08,-4.16e+08,-6.47e+08,1.222e+09,5.69e+08,9.43e+08,-7.16e+08,-7.16e+08,3.85e+08,7.42e+08,-3.57e+08,-3.8e+07,-3.69e+08,-3.4e+07,-3.4e+07,-1.44e+08,1.1e+08,3.1e+07,6.05e+08,6.05e+08,4e+07,6.45e+08,5.28e+08,0,6.23e+08,0.25257,-0.00196,-0.01985,-0.03628,-0.012,-2.27372,1.04371,2.02317,0,-0.03031,-0.03031,1.52721,0.83551,0.06892,4,-0.02679,0.06091,-9.93939,194.37037
"12","2013_Q1",13.3018333333333,"Up",2.1268e+10,-1.6137e+10,5.131e+09,-4.726e+09,-1.085e+09,-8.51e+08,-2.34e+08,-3.641e+09,4.05e+08,-6.8e+07,-1.9e+07,-2.7e+07,8e+06,-4.9e+07,3.37e+08,3.37e+08,-1.94e+08,-4.5e+07,9.8e+07,9.8e+07,9.8e+07,9.8e+07,1.1448e+10,8.084e+09,3.364e+09,6.031e+09,2.1296e+10,7.06e+09,4.199e+09,2.552e+09,1.647e+09,1.1259e+10,3.2555e+10,1.821e+10,1.3318e+10,4.892e+09,1.9002e+10,2.277e+09,2.277e+09,5.361e+09,2.4363e+10,8.352e+09,5e+06,8.347e+09,-1.837e+09,1.916e+09,-2.39e+08,8.192e+09,8.192e+09,3.2555e+10,9.8e+07,6.62e+08,-5.62e+08,4.883e+09,-1.025e+09,-9.74e+08,4.926e+09,1.956e+09,5.081e+09,-2.026e+09,-2.026e+09,-1.022e+09,5.06e+08,-1.528e+09,-3.4e+07,-3.082e+09,2.927e+09,2.927e+09,-1.51e+08,3.078e+09,3.166e+09,5.165e+09,5.165e+09,-6.1e+07,5.104e+09,1.067e+09,3.084e+09,4.118e+09,0.24125,0.01904,0.00461,0.01196,0.00301,42.02041,1.12072,2.974,0.09473,0.01075,0.01109,2.33202,0.89825,0.45154,5,0.00723,0.30384,-7.8388,-20.65185
"13","2013_Q2",13.32015625,"Up",1.607e+10,-1.1801e+10,4.269e+09,-4.088e+09,-8.78e+08,-6.32e+08,-2.46e+08,-3.21e+09,1.81e+08,-1e+08,-2.3e+07,-3.3e+07,1e+07,-7.7e+07,8.1e+07,8.1e+07,1.8e+07,-1.7e+07,8.2e+07,8.2e+07,8.2e+07,8.2e+07,7.895e+09,4.481e+09,3.414e+09,5.395e+09,1.6436e+10,7.674e+09,4.267e+09,2.535e+09,1.732e+09,1.1941e+10,2.8377e+10,1.4332e+10,8.916e+09,5.416e+09,1.4332e+10,2.573e+09,2.573e+09,5.613e+09,1.9945e+10,8.59e+09,5e+06,8.585e+09,-1.837e+09,1.998e+09,-3.19e+08,8.432e+09,8.432e+09,2.8377e+10,8.2e+07,7e+08,-2.12e+08,-2.942e+09,7.29e+08,5.35e+08,-4.187e+09,-1.9e+07,-2.372e+09,-6.7e+08,-6.7e+08,-1.77e+08,5.99e+08,-7.76e+08,-1.03e+08,-9.5e+08,-1.57e+08,-1.57e+08,-1.82e+08,2.5e+07,-1.57e+08,-3.479e+09,-3.479e+09,-1.24e+08,-3.603e+09,8.81e+08,3.04e+09,-2.749e+09,0.26565,0.01126,0.0051,0.00972,0.00289,-33.52439,1.1468,2.36539,0.10713,0.00901,0.00886,1.76593,0.92659,-0.30209,2,0.00584,-0.19573,-5.51078,-26.8232
"14","2013_Q3",14.904375,"Up",1.5704e+10,-1.1209e+10,4.495e+09,-4.416e+09,-9.6e+08,-6.75e+08,-2.85e+08,-3.456e+09,7.9e+07,-6.2e+07,-2.4e+07,-3.3e+07,9e+06,-3.8e+07,1.7e+07,1.7e+07,-1.2e+07,-1.2e+07,-7e+06,-7e+06,-7e+06,-7e+06,7.463e+09,3.704e+09,3.759e+09,5.42e+09,1.6413e+10,8.789e+09,4.421e+09,2.614e+09,1.807e+09,1.321e+10,2.9623e+10,1.4735e+10,8.99e+09,5.745e+09,1.4735e+10,3.113e+09,3.113e+09,6.155e+09,2.089e+10,8.898e+09,5e+06,8.893e+09,-1.837e+09,1.991e+09,-3.19e+08,8.733e+09,8.733e+09,2.9623e+10,-7e+06,7.57e+08,-67999999.9999999,198000000.000002,-2.11e+08,-3e+07,0,4.39e+08,8.8e+08,-8.56e+08,-8.56e+08,-4.15e+08,6.97e+08,-1.112e+09,-1.48e+08,-1.419e+09,-2.09e+08,-2.09e+08,-2.91e+08,8.2e+07,-2.09e+08,-747999999.999999,-747999999.999999,-2.9e+07,-777000000.000001,8.36e+08,3.042e+09,1.9e+08,0.28623,0.00503,-0.00045,-8e-04,-0.000240000000000001,-27.14286,1.11388,2.39208,0.10269,-0.00077,-0.00077,1.72193,0.95757,0.0208300000000001,5,-0.000469999999999999,0.0127600000000001,-5.28828,-55.96203
"15","2013_Q4",17.98125,"Up",1.7091e+10,-1.2365e+10,4.726e+09,-4.751e+09,-9.73e+08,-6.94e+08,-2.79e+08,-3.778e+09,-2.5e+07,-1.9e+07,-2.7e+07,-3.6e+07,9e+06,8e+06,-4.4e+07,-4.4e+07,1.2e+07,-9e+06,-4.1e+07,-4.1e+07,-4.1e+07,-4.1e+07,7.689e+09,3.872e+09,3.817e+09,6.068e+09,1.7462e+10,9.991e+09,4.408e+09,2.635e+09,1.773e+09,1.4399e+10,3.1861e+10,1.6135e+10,1.0037e+10,6.098e+09,1.6135e+10,3.596e+09,3.596e+09,6.639e+09,2.2774e+10,9.18e+09,5e+06,9.175e+09,-1.837e+09,1.95e+09,-2.06e+08,9.087e+09,9.087e+09,3.1861e+10,-4.1e+07,8.34e+08,-2.4e+08,8.36e+08,-1.25e+08,-5.85e+08,9.47e+08,5.99e+08,1.389e+09,-1.039e+09,-1.039e+09,-2.3e+07,4.95e+08,-5.18e+08,-1e+06,-1.063e+09,-2.3e+08,-2.3e+08,-2.55e+08,2.5e+07,-2.3e+08,9.6e+07,9.6e+07,7.2e+07,1.68e+08,8.09e+08,3.043e+09,5.94e+08,0.27652,-0.00146,-0.0024,-0.00451,-0.00129,-14.4878,1.08224,2.50622,0.09551,-0.00449,-0.00449,1.86991,0.9942,0.06499,5,-0.00261,0.03777,-5.74289,185.84
"16","2014_Q1",18.5572131147541,"Up",2.5587e+10,-1.8806e+10,6.781e+09,-6.271e+09,-1.451e+09,-1.132e+09,-3.19e+08,-4.82e+09,5.1e+08,-5.8e+07,-2.9e+07,-3.9e+07,1e+07,-2.9e+07,4.52e+08,4.52e+08,-1.79e+08,-3.3e+07,2.4e+08,2.4e+08,2.4e+08,2.4e+08,1.2447e+10,8.658e+09,3.789e+09,7.411e+09,2.4625e+10,1.0949e+10,4.585e+09,2.655e+09,1.93e+09,1.5534e+10,4.0159e+10,2.1821e+10,1.5133e+10,6.688e+09,2.298e+10,4.242e+09,4.242e+09,7.433e+09,3.0413e+10,9.578e+09,5e+06,9.573e+09,-1.837e+09,2.19e+09,-1.85e+08,9.746e+09,9.746e+09,4.0159e+10,2.4e+08,9.62e+08,-5.91e+08,4.967e+09,-1.239e+09,-1.33e+09,5.128e+09,2.408e+09,5.578e+09,-8.79e+08,-8.79e+08,9.5e+07,5.15e+08,-4.2e+08,-6e+07,-8.44e+08,-21000000.0000001,-2.1e+07,-2.83e+08,2.62e+08,57000000.0000001,4.791e+09,4.791e+09,-4999999.99999999,4.786e+09,1.472e+09,3.191e+09,5.739e+09,0.26502,0.01993,0.00938,0.02463,0.00598,23.9125,1.07158,3.12056,0.07946,0.02609,0.02479,2.7812,1.05935,0.6238,6,0.01397,0.33407,-6.28804,-18.14902
"17","2014_Q2",15.8196825396825,"Down",1.9741e+10,-1.4055e+10,5.686e+09,-5.54e+09,-1.197e+09,-8.7e+08,-3.27e+08,-4.343e+09,1.46e+08,-2.6e+07,-3.1e+07,-4.2e+07,1.1e+07,5e+06,1.2e+08,1.2e+08,-7.3e+07,6.1e+07,1.08e+08,1.08e+08,1.08e+08,1.08e+08,8.666e+09,5.074e+09,3.592e+09,6.716e+09,1.9327e+10,1.2267e+10,4.77e+09,2.653e+09,2.117e+09,1.7037e+10,3.6364e+10,1.6841e+10,1.059e+10,6.251e+09,1.8357e+10,4.532e+09,4.532e+09,7.679e+09,2.6036e+10,1.0024e+10,5e+06,1.0019e+10,-1.837e+09,2.298e+09,-1.57e+08,1.0328e+10,1.0328e+10,3.6364e+10,1.08e+08,1.01e+09,-7.32e+08,-2.888e+09,7.27e+08,6.99e+08,-4.675e+09,3.61e+08,-2.502e+09,-1.08e+09,-1.08e+09,1.56e+08,5.93e+08,-4.37e+08,167796857.611033,-9.24e+08,-2.96e+08,-2.96e+08,-3.61e+08,6.5e+07,-1.75e+08,-3.601e+09,-3.601e+09,1.7e+07,-3.584e+09,1.156e+09,3.147e+09,-2.739e+09,0.28803,0.0074,0.00547,0.01046,0.00297,-25.36111,1.05284,2.52091,0.08654,0.01174,0.01154,2.14576,1.12261,-0.29772,4,0.006,-0.15211,-4.77422,-37.80137
"18","2014_Q3",16.63234375,"Up",1.934e+10,-1.3398e+10,5.942e+09,-5.956e+09,-1.32e+09,-9.43e+08,-3.77e+08,-4.636e+09,-14000000.0000001,-1.3e+07,-3.5e+07,-4.5e+07,1e+07,2.2e+07,-27000000.0000001,-27000000.0000001,-94000000.0000001,-5e+06,-1.26e+08,-1.26e+08,-1.26e+08,-1.26e+08,7.986e+09,5.057e+09,2.929e+09,6.644e+09,1.8755e+10,1.4089e+10,5.054e+09,2.677e+09,2.377e+09,1.9143e+10,3.7898e+10,1.7145e+10,1.0457e+10,6.688e+09,1.8751e+10,5.426e+09,5.426e+09,8.545e+09,2.7296e+10,1.041e+10,5e+06,1.0405e+10,-1.837e+09,2.172e+09,-1.43e+08,1.0602e+10,1.0602e+10,3.7898e+10,-1.26e+08,1.109e+09,-4.5e+08,3.29e+08,-2.99e+08,92000000.0000002,-342999999.999998,8.79e+08,861999999.999999,-1.29e+09,-1.29e+09,6.26e+08,9.62e+08,-3.36e+08,-65999999.9999999,-7.3e+08,-1.89e+08,-1.89e+08,-4.75e+08,2.86e+08,-1.89e+08,-5.7e+07,-5.7e+07,4e+07,-1.7e+07,1.095e+09,3.119e+09,2.28e+08,0.30724,-0.000720000000000002,-0.00651,-0.01188,-0.00332,-1.80952,1.00021,2.57461,0.0823,-0.01367,-0.01367,2.09761,1.14989,0.0247299999999998,4,-0.00658,0.01191,-4.44475,347.64286
"19","2014_Q4",15.57953125,"Down",2.0578e+10,-1.4627e+10,5.951e+09,-6.495e+09,-1.399e+09,-9.93e+08,-4.06e+08,-5.096e+09,-5.44e+08,-8.9e+07,-3.9e+07,-4.9e+07,1e+07,-5e+07,-6.33e+08,-6.33e+08,2.05e+08,-9e+06,-4.37e+08,-4.37e+08,-4.37e+08,-4.37e+08,6.883e+09,5.258e+09,1.625e+09,7.316e+09,1.8572e+10,1.5702e+10,6.145e+09,3.332e+09,2.813e+09,2.1847e+10,4.0419e+10,1.9028e+10,1.1811e+10,7.217e+09,2.0842e+10,6.142e+09,6.142e+09,9.241e+09,3.0083e+10,1.0832e+10,5e+06,1.0827e+10,-1.837e+09,1.735e+09,-3.94e+08,1.0336e+10,1.0336e+10,4.0419e+10,-4.37e+08,1.247e+09,-6.33e+08,1.59e+09,-3.62e+08,-8.45e+08,1.724e+09,1.073e+09,1.767e+09,-1.378e+09,-1.378e+09,1.292e+09,1.439e+09,-1.47e+08,-8.6e+08,-9.46e+08,-4.13e+08,-4.13e+08,-4.41e+08,2.8e+07,-4.13e+08,4.08e+08,4.08e+08,-2.07e+08,2.01e+08,7.03e+08,3.099e+09,7.1e+08,0.28919,-0.02644,-0.02124,-0.04228,-0.01081,-1.62471,0.89109,2.91051,0.07667,-0.04719,-0.04719,2.22225,1.1162,0.07667,4,-0.02232,0.03627,-5.38265,6.95588
"20","2015_Q1",17.5834426229508,"Up",2.9329e+10,-2.0672e+10,8.657e+09,-8.067e+09,-1.968e+09,-1.526e+09,-4.42e+08,-6.099e+09,5.9e+08,-1.61e+08,-6.6e+07,-7.4e+07,8e+06,-9.5e+07,4.29e+08,4.29e+08,-2.05e+08,-1e+07,2.14e+08,2.14e+08,2.14e+08,2.14e+08,1.7416e+10,1.4557e+10,2.859e+09,8.299e+09,3.1327e+10,1.6967e+10,6.211e+09,3.319e+09,2.892e+09,2.3178e+10,5.4505e+10,2.6266e+10,1.6459e+10,9.807e+09,2.8089e+10,7.41e+09,7.41e+09,1.5675e+10,4.3764e+10,1.114e+10,5e+06,1.1135e+10,-1.837e+09,1.949e+09,-5.11e+08,1.0741e+10,1.0741e+10,5.4505e+10,2.14e+08,1.38e+09,-5.14e+08,5.635e+09,-1.105e+09,-1.139e+09,5.053e+09,2.826e+09,6.715e+09,-1.145e+09,-1.145e+09,-1.267e+09,3.55e+08,-1.622e+09,-5.3e+07,-2.465e+09,5.324e+09,5.324e+09,-6.56e+08,5.98e+09,5.209e+09,9.459e+09,9.459e+09,-1.6e+08,9.299e+09,1.97e+09,8.265e+09,6.665e+09,0.29517,0.02012,0.0073,0.01992,0.00393,31.14486,1.11528,4.07448,0.15164,0.02306,0.02346,3.16045,1.15744,0.71821,6,0.0081,0.25231,-4.64518,-15.51017
"21","2015_Q2",20.8996825396825,"Up",2.2717e+10,-1.5395e+10,7.322e+09,-7.067e+09,-1.51e+09,-1.083e+09,-4.27e+08,-5.557e+09,2.55e+08,-2.34e+08,-1.04e+08,-1.15e+08,1.1e+07,-1.3e+08,2.1e+07,2.1e+07,-7.1e+07,-7e+06,-5.7e+07,-5.7e+07,-5.7e+07,-5.7e+07,1.3781e+10,1.0237e+10,3.544e+09,7.369e+09,2.5922e+10,1.7736e+10,6.417e+09,3.491e+09,2.926e+09,2.4153e+10,5.0075e+10,2.0757e+10,1.1917e+10,8.84e+09,2.3177e+10,7.768e+09,7.768e+09,1.6025e+10,3.9202e+10,1.157e+10,5e+06,1.1565e+10,-1.837e+09,1.892e+09,-7.52e+08,1.0873e+10,1.0873e+10,5.0075e+10,-5.7e+07,1.426e+09,-6.44e+08,-2.224e+09,4.41e+08,7.21e+08,-4.249e+09,8.63e+08,-1.499e+09,-8.71e+08,-8.71e+08,-6.11e+08,3.75e+08,-9.86e+08,-3.65e+08,-1.847e+09,-6.74e+08,-6.74e+08,-8.57e+08,1.83e+08,-6.52e+08,-3.998e+09,-3.998e+09,-3.22e+08,-4.32e+09,1.681e+09,8.257e+09,-1.343e+09,0.32231,0.01123,-0.00251,-0.00524,-0.00114,23.5614,1.11844,3.60544,0.16489,-0.00613,-0.00613,2.44269,1.16914,-0.14441,3,-0.00212,-0.04993,-3.28614,-21.66275
"22","2015_Q3",25.28046875,"Up",2.3184e+10,-1.516e+10,8.024e+09,-7.56e+09,-1.617e+09,-1.15e+09,-4.67e+08,-5.943e+09,4.64e+08,-1.02e+08,-1.01e+08,-1.13e+08,1.2e+07,-1e+06,3.62e+08,3.62e+08,-2.66e+08,-4e+06,9.2e+07,9.2e+07,9.2e+07,9.2e+07,1.4001e+10,1.0269e+10,3.732e+09,7.47e+09,2.6391e+10,1.9479e+10,6.57e+09,3.523e+09,3.047e+09,2.6049e+10,5.244e+10,2.135e+10,1.2391e+10,8.959e+09,2.3912e+10,8.51e+09,8.51e+09,1.676e+10,4.0672e+10,1.2238e+10,5e+06,1.2233e+10,-1.837e+09,1.984e+09,-6.17e+08,1.1768e+10,1.1768e+10,5.244e+10,9.2e+07,1.504e+09,-7.83e+08,1.184e+09,-4.3e+08,-28000000.0000002,3.73e+08,1.269e+09,1.997e+09,-1.213e+09,-1.213e+09,-1.54e+08,4.7e+08,-6.24e+08,-9e+06,-1.376e+09,-7.87e+08,-7.87e+08,-8.3e+08,4.3e+07,-6.92e+08,-7.1e+07,-7.1e+07,1.03e+08,3.2e+07,1.968e+09,8.25e+09,2.205e+09,0.3461,0.02001,0.00397,0.00782,0.00175,23.96739,1.10367,3.45615,0.15732,0.00985,0.00966,2.48223,1.25996,0.23608,6,0.00322,0.07729,-2.92226,-12.3944
"23","2015_Q4",31.52078125,"Up",2.5358e+10,-1.6755e+10,8.603e+09,-8.198e+09,-1.726e+09,-1.263e+09,-4.63e+08,-6.472e+09,4.05e+08,-1.58e+08,-1.02e+08,-1.16e+08,1.4e+07,-5.6e+07,2.47e+08,2.47e+08,-1.61e+08,-7e+06,7.9e+07,7.9e+07,7.9e+07,7.9e+07,1.4428e+10,1.0709e+10,3.719e+09,8.981e+09,2.8849e+10,2.0636e+10,6.745e+09,3.529e+09,3.216e+09,2.7381e+10,5.623e+10,2.3594e+10,1.4437e+10,9.157e+09,2.6657e+10,8.9e+09,8.9e+09,1.7143e+10,4.38e+10,1.2879e+10,5e+06,1.2874e+10,-1.837e+09,2.063e+09,-6.75e+08,1.243e+10,1.243e+10,5.623e+10,7.9e+07,1.599e+09,-8.95e+08,1.827e+09,-5.88e+08,-1.537e+09,2.03e+09,1.922e+09,2.61e+09,-1.196e+09,-1.196e+09,-7.7e+07,1.045e+09,-1.122e+09,-1.04e+08,-1.377e+09,-8.24e+08,-8.24e+08,-8.58e+08,3.4e+07,-7.29e+08,5.04e+08,5.04e+08,-6.4e+07,4.4e+08,2.004e+09,8.243e+09,2.796e+09,0.33926,0.01597,0.00312,0.00636,0.0014,35.39241,1.08223,3.52373,0.14659,0.00844,0.00826,2.70919,1.32799,0.29872,6,0.00267,0.09455,-3.08633,-15.2716
"24","2016_Q1",28.3804918032787,"Down",3.5747e+10,-2.4341e+10,1.1406e+10,-1.0297e+10,-2.148e+09,-1.758e+09,-3.9e+08,-8.149e+09,1.109e+09,-1.71e+08,-1.02e+08,-1.15e+08,1.3e+07,-6.9e+07,9.38e+08,9.38e+08,-4.52e+08,-4e+06,4.82e+08,4.82e+08,4.82e+08,4.82e+08,1.9808e+10,1.589e+10,3.918e+09,1.0243e+10,3.5705e+10,2.1838e+10,7.204e+09,3.759e+09,3.445e+09,2.9042e+10,6.4747e+10,3.0769e+10,2.0397e+10,1.0372e+10,3.3887e+10,9.249e+09,9.249e+09,1.7476e+10,5.1363e+10,1.3399e+10,5e+06,1.3394e+10,-1.837e+09,2.545e+09,-7.23e+08,1.3384e+10,1.3384e+10,6.4747e+10,4.82e+08,1.752e+09,4.927e+09,1.77e+09,-1.178e+09,-1.343e+09,6.14e+09,-1.849e+09,8.931e+09,-1.309e+09,-2.107e+09,-2.24e+08,1.135e+09,-1.359e+09,-3.17e+08,-1.85e+09,-1.597e+09,-1.597e+09,-1.69e+09,93000000.0000001,-1.809e+09,5.272e+09,5.272e+09,-9.1e+07,5.181e+09,2.861e+09,8.227e+09,3.774e+09,0.31908,0.03102,0.01348,0.03601,0.00744,7.82988,1.05365,3.83764,0.12706,0.0515,0.04928,3.81912,1.42991,0.40321,6,0.01562,0.12229,-4.04789,-10.44274
"25","2016_Q2",33.82296875,"Up",2.9128e+10,-1.8866e+10,1.0262e+10,-9.191e+09,-1.933e+09,-1.436e+09,-4.97e+08,-7.258e+09,1.071e+09,-1.5e+07,-9.6e+07,-1.17e+08,2.1e+07,8.1e+07,1.056e+09,1.056e+09,-4.75e+08,-6.8e+07,5.13e+08,5.13e+08,5.13e+08,5.13e+08,1.5859e+10,1.247e+10,3.389e+09,9.582e+09,3.0513e+10,2.3308e+10,7.307e+09,3.785e+09,3.522e+09,3.0615e+10,6.1128e+10,2.4421e+10,1.499e+10,9.431e+09,2.8187e+10,9.966e+09,9.966e+09,1.8185e+10,4.6372e+10,1.4149e+10,5e+06,1.4144e+10,-1.837e+09,3.058e+09,-6.14e+08,1.4756e+10,1.4756e+10,6.1128e+10,5.13e+08,1.827e+09,-1.562e+09,-2.731e+09,4.12e+08,7.69e+08,-5.77e+09,1.858e+09,-1.953e+09,-1.179e+09,-1.179e+09,5.02e+08,1.138e+09,-6.36e+08,-1.6e+07,-6.93e+08,-9.96e+08,-9.96e+08,-1.005e+09,9e+06,-9.96e+08,-3.642e+09,-3.642e+09,2.22e+08,-3.42e+09,2.898e+09,8.219e+09,-5.37e+08,0.35231,0.03677,0.01761,0.03477,0.00839,-1.04678,1.08252,3.14259,0.13446,0.05446,0.05333,3.09214,1.56645,-0.05701,4,0.01557,-0.0163,-2.6363,-7.13352
"26","2016_Q3",38.27234375,"Up",3.0404e+10,-1.9181e+10,1.1223e+10,-9.938e+09,-2.126e+09,-1.546e+09,-5.8e+08,-7.812e+09,1.285e+09,-1.07e+08,-9.2e+07,-1.16e+08,2.4e+07,-1.5e+07,1.178e+09,1.178e+09,-3.07e+08,-1.4e+07,8.57e+08,8.57e+08,8.57e+08,8.57e+08,1.654e+10,1.2521e+10,4.019e+09,9.588e+09,3.222e+10,2.519e+10,7.666e+09,3.774e+09,3.892e+09,3.2856e+10,6.5076e+10,2.5736e+10,1.6123e+10,9.613e+09,2.9587e+10,1.0739e+10,1.0739e+10,1.8951e+10,4.8538e+10,1.5031e+10,5e+06,1.5026e+10,-1.837e+09,3.915e+09,-5.71e+08,1.6538e+10,1.6538e+10,6.5076e+10,8.57e+08,1.909e+09,-1.248e+09,2.06e+09,-1.184e+09,-5.7e+07,976999999.999998,2.324e+09,3.578e+09,-1.711e+09,-1.711e+09,-7.14e+08,9.31e+08,-1.645e+09,-1.4e+07,-2.439e+09,-1.152e+09,-1.152e+09,-1.218e+09,6.6e+07,-1.152e+09,-13000000.000001,-13000000.000001,64000000.0000001,51000000.000001,3.194e+09,8.212e+09,3.85e+09,0.36913,0.04226,0.02819,0.05182,0.01317,4.49242,1.08899,2.93494,0.12619,0.09059,0.08872,3.21395,1.7482,0.40698,7,0.02415,0.10848,-2.60739,-6.48093
"27","2016_Q4",39.1853968253968,"Up",3.2714e+10,-2.1259e+10,1.1455e+10,-1.088e+10,-2.376e+09,-1.738e+09,-6.38e+08,-8.504e+09,5.75e+08,-8.3e+07,-9.2e+07,-1.18e+08,2.6e+07,9e+06,4.92e+08,4.92e+08,-2.3e+08,-1e+07,2.52e+08,2.52e+08,2.52e+08,2.52e+08,1.8347e+10,1.3656e+10,4.691e+09,1.0696e+10,3.5609e+10,2.7177e+10,8.111e+09,3.815e+09,4.296e+09,3.5288e+10,7.0897e+10,2.9298e+10,1.8801e+10,1.0497e+10,3.3498e+10,1.1412e+10,1.1412e+10,1.9617e+10,5.3115e+10,1.5973e+10,5e+06,1.5968e+10,-1.837e+09,4.167e+09,-5.21e+08,1.7782e+10,1.7782e+10,7.0897e+10,2.52e+08,2.083e+09,-1.694e+09,4.018e+09,-6.71e+08,-1.095e+09,2.541e+09,3.243e+09,4.659e+09,-1.841e+09,-1.841e+09,-6.46e+08,1.431e+09,-2.077e+09,-8.3e+07,-2.57e+09,-1e+09,-1e+09,-1.008e+09,8e+06,-1e+09,1.089e+09,1.089e+09,4.6e+07,1.135e+09,2.658e+09,8.205e+09,5.065e+09,0.35016,0.01758,0.0077,0.01417,0.00355,20.09921,1.06302,2.98701,0.11573,0.02658,0.02598,3.45084,1.87574,0.53428,6,0.00674,0.13543,-3.81565,-17.63826
"28","2017_Q1",41.6748387096774,"Up",4.3741e+10,-2.8959e+10,1.4782e+10,-1.3527e+10,-3.23e+09,-2.513e+09,-7.17e+08,-1.0297e+10,1.255e+09,-8.9e+07,-1.04e+08,-1.33e+08,2.9e+07,1.5e+07,1.166e+09,1.166e+09,-4.13e+08,-4e+06,7.49e+08,7.49e+08,7.49e+08,7.49e+08,2.5981e+10,1.9334e+10,6.647e+09,1.1461e+10,4.5781e+10,2.9114e+10,8.507e+09,3.784e+09,4.723e+09,3.7621e+10,8.3402e+10,3.9048e+10,2.5309e+10,1.3739e+10,4.3816e+10,1.2607e+10,1.2607e+10,2.0301e+10,6.4117e+10,1.7191e+10,5e+06,1.7186e+10,-1.837e+09,4.916e+09,-9.85e+08,1.9285e+10,1.9285e+10,8.3402e+10,7.49e+08,2.297e+09,7.373e+09,5e+08,-1.993e+09,-1.043e+09,7.282e+09,-3.746e+09,1.0919e+10,-2.006e+09,-3.073e+09,-1.805e+09,1.077e+09,-2.882e+09,-2999999.99999994,-3.814e+09,-5.68e+08,-5.68e+08,-1.103e+09,5.35e+08,-5.68e+08,6.537e+09,6.537e+09,-5.44e+08,5.993e+09,3.552e+09,7.694e+09,2.459e+09,0.33794,0.02869,0.01712,0.03884,0.00898,3.28304,1.04485,3.32471,0.09225,0.07835,0.0769,4.57542,2.01726,0.25722,7,0.01892,0.06212,-5.14837,-14.57131
