"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","derivative_hedging_assets_short_term","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q4",26.50640625,"Down",119304000,-18468000,100836000,-60796000,-6876000,-46519000,-7401000,40040000,15264000,-8736000,-248000,55304000,55304000,-942000,54362000,54362000,54362000,54362000,11387000,11387000,62300000,62300000,27491000,18214000,101178000,1099144000,11458000,7147000,1110602000,1211780000,118975000,118975000,4308000,4308000,123283000,562445000,9394000,8359000,571839000,695122000,199890000,316688000,80000,516658000,516658000,1211780000,54362000,46519000,-25858000,14828000,89851000,-115606000,-121562000,30400000,-98000,30302000,-1409000,-1409000,-1409000,86559000,562445000,-13277000,0.8452,0.33561,0.45566,0.10522,0.04486,-0.24423,0.8207,1.34542,0.46415,3.59751,3.58896,7.89518,34.19085,-0.87863,0.04994,-0.0122,6.36627,13.76269
"12","2020_Q1",16.5559677419355,"Down",123917000,-16114000,107803000,-57578000,-5311000,-44882000,-7385000,50225000,21606000,-8541000,-18999.9999999999,71831000,3700000,-401000,3299000,3299000,3299000,3299000,7798000,7798000,70716000,70716000,9825000,4131000.00000001,88339000,1120425000,9474000,6724000,1129899000,1218238000,105824000,105824000,23450000,23450000,129274000,555028000,13191000,8382000,568219000,697493000,200817000,319987000,-59000,520745000,520745000,1218238000,3299000.00000001,44882000,40477000,-11631000,77027000,-71010000,-71570000,-8e+06,-1046000,-9046000.00000001,-3589000,-3589000,-3589000,95107000,555028000,12867000,0.86996,0.40531,0.0266199999999999,0.00634,0.00270999999999999,3.90027,0.68335,1.33941,0.4556,0.21812,0.2198,8.19286,34.42942,0.85071,0.00302999999999999,0.01182,5.75384,10.89557
"13","2020_Q2",7.70111111111111,"Down",91379000,-15976000,75403000,-54102000,-7230000,-40718000,-6154000,21301000,-8188000,-8180000,-8000,13113000,164232000,-1138000,163094000,163094000,163094000,163094000,55331000,55331000,34652000,34652000,240678000,233442000,330661000,1160559000,17727000,6764000,1178286000,1508947000,105863000,105863000,103092000,103092000,208955000,592624000,23049000,8616000,615673000,824628000,201374000,483005000,-60000,684319000,684319000,1508947000,163094000,40718000,-147387000,16048000,72473000,-61940000,-61940000,3.7e+07,-3016673.98643463,3.7e+07,47533000,47533000,47533000,62019000,592624000,17265000,0.82517,0.23311,1.78481,0.23833,0.10808,0.10586,1.58245,1.20503,0.39274,10.76386,10.75818,6.03082,45.16361,1.13945,0.12546,0.01328,8.66336,25.22384
"14","2020_Q3",10.565625,"Up",45482000,-14687000,30795000,-47751000,-7986000,-37135000,-2630000,-16956000,-8591000,-8536000,-55000,-25547000,-95405000,690000,-94715000,-94715000,-94715000,-94715000,21945000,21945000,42833000,42833000,121510000,117369000,186288000,1099838000,9590000,5537000,1109428000,1295716000,55924000,55924000,74583000,74583000,130507000,553234000,21436000,9578000,574670000,705177000,202310000,388290000,-61000,590539000,590539000,1295716000,-94715000,37135000,130881000,-16879000,56422000,-50804000,-50804000,-4e+07,996000,-39004000,-33386000,-33386000,-33386000,20179000,553234000,-48194000,0.67708,-0.37281,-2.08247,-0.16039,-0.0731,0.50883,1.42742,1.19412,0.42697,-6.24522,-6.15992,2.99895,38.93835,-3.17777,-0.08129,-0.04136,26.32881,-31.33339
"15","2020_Q4",9.3965625,"Down",69411000,-14035000,55376000,-49991000,-8585000,-37038000,-4368000,5385000,-7476000,-7497000,21000,-2091000,-244971000,1558000,-243413000,-243413000,-243413000,-243413000,20516000,20516000,26030000,26030000,63250000,50414000,109796000,835500000,7878000,5259000,843378000,953174000,48345000,48345000,22861000,22861000,71206000,518858000,15378000,8443000,534236000,605442000,202918000,144877000,-63000,347732000,347732000,953174000,-243413000,37038000,249316000,17887000,60828000,-26183000,-26183000,-3.5e+07,-1074000,-36074000,-1429000,-1429000,-1429000,42423000,518858000,32569000,0.7978,0.07758,-3.50684,-0.7,-0.25537,-0.1338,1.54195,1.74112,0.54435,-16.02878,-16.26223,4.57072,22.8982,2.14467,-0.27599,0.03693,11.74698,92.54262
"16","2021_Q1",13.6890163934426,"Up",66996000,-14815000,52181000,-39237000,-9988000,-25782000,-3467000,12944000,-7852000,-7044000,-808000,5092000,-136716000,1193000,-135523000,-135523000,-135523000,-135523000,13020000,13020000,45849000,45849000,94551000,75506000,153420000,723549000,30357000,4908000,753906000,907326000,63089000,63089000,85106000,85106000,148195000,509497000,36796000,8362000,546293000,694488000,203615000,9354000,-131000,212838000,212838000,907326000,-135523000,25782000,154727000,-12444000,32542000,-29551000,-29551000,-9999999.99999999,-487000.000000004,-10487000,-7496000,-7496000,-7496000,38726000,509497000,-4462000.00000003,0.77887,0.19321,-2.02285,-0.63674,-0.14937,0.03292,1.03526,3.26299,0.56154,-8.91599,-8.91599,4.40763,14.0025,-0.293550000000001,-0.17852,-0.00587999999999999,12.82025,38.35576
"17","2021_Q2",18.1663492063492,"Up",88555000,-13499000,75056000,-42574000,-13177000,-23884000,-5513000,32482000,-5403000,-5397000,-6000,27079000,-20331000,310000,-20021000,-20021000,-13572000,-13572000,11868000,11868000,66371000,66371000,32640000,13093000,110879000,792077000,10175000,4906000,802252000,913131000,99950000,99950000,44328000,44328000,151778000,363562000,23648000,8337000,387210000,538988000,155317000,-4218000,-130000,150971000,374143000,913131000,24347000,23884000,-1578000,-13966000,32687000,-34754000,-34754000,-138640000,139555000,915000,-1152000,-1152000,-1152000,56366000,371062000,7336000,0.84756,0.3668,-0.15326,-0.03627,-0.01486,-0.54052,0.73053,1.44059,0.40636,-0.88921,-0.88921,5.80194,9.89117,0.48064,-0.01765,0.00954,6.37253,11.05825
"18","2021_Q3",19.5909375,"Up",124699000,-14901000,109798000,-42501000,-6985000,-28795000,-6721000,67297000,-5303000,-5303000,1.16415321826935e-10,61994000,7767000,-171000,7596000.00000001,7596000.00000001,3045000,3045000,49694000,49694000,79605000,79605000,18785000,6025000,148084000,833723000,8071000,5378000.00000001,841794000,989878000,133151000,133151000,64346000,64346000,204997000,372049000,30169000,8286000,402218000,607215000,156239000,-1173000,-129000,154939000,382663000,989878000,61823000,28795000,-15036000,14956000,90538000,-60799000,-66342000,8125000,5505000,13630000,37826000,37826000,37826000,96092000,379549000,50420000,0.8805,0.53968,0.0244199999999999,0.00795999999999994,0.00307999999999999,16.55829,0.72237,1.58681,0.38343,0.19888,0.19888,8.14441,10.11933,3.29306,0.00384,0.06363,3.4327,4.90148
"19","2021_Q4",29.26375,"Up",140133000,-10647000,129486000,-48513000,-10932000,-30975000,-6606000,80973000,-10589000,-10582000,-7000,70384000,43612000,-549000,43063000,43063000,17387000,17387000,35258000,35258000,87773000,87773000,28880000,4909000,151911000,864878000,402528000,400376000,1267406000,1419317000,152330000,152330000,63089000,63089000,222919000,739328000,30480000,8227000,769808000,992727000,157103000,16214000,-130000,173189000,426590000,1419317000,64147000,30975000,-20321000,6681000,81482000,-50928000,-45385000,368197000,-7219000,360978000,397075000,397075000,397075000,111948000,746828000,68250000,0.92402,0.57783,0.12407,0.04076,0.01225,3.92535,0.68146,2.32712,0.52619,1.13737,1.13737,9.16681,11.32904,4.46458,0.01444,0.05669,6.35625,8.78774
"20","2022_Q1",32.5604838709677,"Up",226104000,-30002000,196102000,-95639000,-35435000,-48003000,-12201000,100463000,-11772000,-11879000,107000,88691000,69430000,-1150000,68280000,68280000,33369000,33369000,23681000,23681000,118594000,118594000,43876000,11478000,186151000,1383348000,7109000,5017000.00000012,1390457000,1576608000,214381000,214381000,50372000,50372000,268882000,601252000,36966000,10358000,638218000,907100000,274060000,49583000,-111000,323532000,669508000,1576608000,-51399000,48003000,73722000,13992000,84318000,-109702000,-98693000,-397710000,-11003000,-408713000,-423088000,-423088000,-423088000,148466000,605381000,53906000,0.86731,0.44432,0.14758,0.04984,0.02117,1.61545,0.69231,1.35488,0.38398,2.18284,2.18284,14.79061,21.16386,3.52626,0.02544,0.04109,3.91807,5.79019
"21","2022_Q2",37.513064516129,"Up",256455000,-27142000,229313000,-73812000,-9779000,-50893000,-13140000,155501000,-10621000,-10697000,76000,144880000,-20850000,189000,-20661000,-20661000,-9985000,-9985000,6358000,6358000,154179000,154179000,37020000,9631000,197557000,1417715000,7548000,4636000,1425263000,1622820000,246189000,246189000,149008000,149008000,397122000,521780000,54593000,9900000,576373000,973495000,274536000,39598000,-111000,314025000,649325000,1622820000,147226000,50893000,-30744000,-33540000,133835000,-70517000,-70517000,-80083000,-558000,-80641000,-17323000,-17323000,-17323000,206394000,523705000,102148000,0.89416,0.60635,-0.03893,-0.01538,-0.00615,-10.23015,0.49747,1.49924,0.32271,-0.5058,-0.49088,12.99098,15.90715,5.17441,-0.00813,0.08321,2.5066,3.32697
"22","2022_Q3",35.12765625,"Down",314491000,-27546000,286945000,-81699000,-10635000,-54290000,-16774000,205246000,-10956000,-11038000,82000,194290000,149348000,-1308000,148040000,148040000,71184000,71184000,34450000,34450000,201357000,201357000,39907000,15006000,275714000,1534492000,16332000,10735000,1550824000,1826538000,299221000,299221000,144541000,144541000,445659000,565329000,41399000,9858000,606728000,1052387000,257822000,110782000,-111000,368493000,774151000,1826538000,192982000,54290000,-70734000,-11489000,165049000,-155492000,-155492000,42908000,-246000,18535000,28092000,28092000,28092000,259536000,567226000,93863000,0.91241,0.65263,0.22635,0.09195,0.03897,1.3186,0.61867,1.35941,0.31055,3.6059,3.49953,15.93085,18.66638,4.75472,0.05148,0.06788,2.0528,2.59579
