"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"15","2013_Q4",22.4734375,"Up",277035000,-126162000,150873000,-81147000,-68639000,-12508000,69726000,3975000,-4450000,8425000,73701000,73701000,-17600000,56101000,56101000,56101000,56101000,439564000,17267000,194859000,194859000,132745000,27607000,8315000,794775000,149586000,387539000,181543000,143713000,39456000,22827000,537125000,1331900000,83587000,32930000,15422000,35235000,9463000,70742000,70742000,163792000,404315000,162499000,140735000,566814000,730606000,395239000,282254000,-76199000,601294000,601294000,1331900000,56101000,9111000,816000,14846000,80874000,-5795000,0,3023000,-2772000,-15330000,-60038000,-14481000,7623000,-22104000,1800000,-88049000,-9947000,-9947000,-355000,-10302000,78837000,413778000,105488000,0.5446,0.25169,0.20251,0.0933,0.04212,1.88032,4.85234,1.21506,0.31067,0.29685,0.29685,1.46589,3.18165,0.55817,0.08112,0.06066,0.08958,0.27326,-0.32708,-0.36982
"16","2014_Q1",22.0603278688525,"Down",271923000,-124724000,147199000,-83870000,-69838000,-14032000,63329000,-27239000,-4310000,-22929000,36090000,62548000,-17800000,44748000,44748000,44748000,44748000,442053000,19756000,183293000,183293000,133787000,33460000,14633000,792593000,151717000,382918000,189967000,147940000,20366000,24645000,534635000,1327228000,90102000,34282000,16881000,38939000,9584000,69167000,69167000,168853000,408370000,115640000,94705000,524010000,692863000,408061000,272653000,-46349000,634365000,634365000,1327228000,44748000,9568000,6278000,1426000,62020000,-8101000,-11560000,-1705000,-21366000,-15305000,3963000,-31323000,8066000,-39389000,3247000,-39418000,1236000,1236000,1253000,2489000,72897000,417954000,84022000,0.54133,0.23289,0.16456,0.07054,0.03372,1.87767,4.69398,1.09222,0.31491,0.23708,0.23708,1.44067,3.36091,0.44515,0.08109,0.05142,0.07194,0.34203,-0.33059,-0.38054
"17","2014_Q2",21.857619047619,"Down",289962000,-130650000,159312000,-84607000,-71448000,-13159000,74705000,-4835000,-4588000,-247000,69870000,73545000,-22800000,50745000,50745000,50745000,50745000,446379000,24082000,210102000,210102000,147373000,31515000,10371000,835369000,156006000,439202000,227204000,166655000,20891000,24452000,595208000,1430577000,83890000,43695000,16720000,23475000,11049000,73954000,73954000,168893000,503010000,116020000,94990000,619030000,787923000,424798000,263531000,-45675000,642654000,642654000,1430577000,50745000,9262000,-343000,-31422000,28242000,-6879000,-65150000,3000,-72026000,-16813000,95781000,-32267000,15275000,-47542000,1500000,48201000,4417000,4417000,-91000,4326000,83967000,514059000,68466000,0.54942,0.25764,0.17501,0.07896,0.03547,1.34922,4.94614,1.22605,0.35934,0.27091,0.27091,1.548,3.43089,0.36551,0.08976,0.05308,0.05379,0.33132,0.80603,0.90596
"18","2014_Q3",22.4975,"Up",322549000,-145699000,176850000,-91002000,-77597000,-13405000,85848000,-4474000,-4676000,202000,81374000,91936000,-25700000,66236000,66236000,66236000,66236000,451335000,29568000,229224000,229224000,147060000,31841000,10745000,859460000,159053000,438364000,226537000,162898000,22632000,26297000,597417000,1456877000,89528000,42740000,16583000,30205000,12599000,63039000,63039000,165166000,522760000,115639000,94863000,638399000,803565000,429046000,271060000,-46794000,653312000,653312000,1456877000,66236000,9065000,2151000,-21665000,55787000,-10183000,-69000,-72000,-10324000,-16672000,21268000,-43761000,2517000,-46278000,-90000,-39255000,6208000,6208000,-722000,5486000,94913000,535359000,88765000,0.54829,0.26615,0.20535,0.10138,0.04546,1.34013,5.20361,1.22999,0.36747,0.35595,0.35595,1.73335,3.51084,0.47702,0.08959,0.06356,0.06806,0.25171,0.88527,0.97875
"19","2014_Q4",22.92640625,"Up",302614000,-136800000,165814000,-86907000,-73122000,-13785000,78907000,-4876000,-4566000,-310000,74031000,82551000,-2.3e+07,59551000,59551000,59551000,59551000,450504000,28737000,214670000,214670000,149023000,30314000,8976000,844511000,159595000,423712000,221737000,153206000,22787000,25982000,583307000,1427818000,90183000,37612000,16500000,36071000,6161000,63569000,63569000,159913000,508750000,113114000,93480000,621864000,781777000,434300000,270450000,-58709000,646041000,646041000,1427818000,59551000,9294000,1223000,16307000,86375000,-8222000,0,-392000,-8614000,-16522000,-20280000,-43842000,4195000,-48037000,1400000,-79244000,-1483000,-1483000,652000,-831000,88201000,514911000,119286000,0.54794,0.26075,0.19679,0.09218,0.04171,2.00309,5.28107,1.2101,0.36063,0.32255,0.32255,1.63906,3.49919,0.6461,0.08949,0.05971,0.09363,0.27744,0.73023,0.81624
"20","2015_Q1",22.3231147540984,"Down",306005000,-141245000,164760000,-95295000,-81398000,-13897000,69465000,-5618000,-4903000,-715000,63847000,67041000,-1.8e+07,49041000,49041000,49041000,49041000,445423000,23656000,214944000,214944000,159797000,19374000,19374000,839538000,161230000,544010000,292574000,176278000,48951000,26207000,705240000,1544778000,97871000,39306000,17790000,40775000,5016000,69850000,69850000,172737000,6.15e+08,161009000,136812000,776009000,948746000,443903000,252865000,-100736000,596032000,596032000,1544778000,49041000,7894000,7913000,6003000,70851000,-5352000.00000001,-120243000,-172000,-125767000,-16355000,105402000,-45257000,8212000,-53469000,2934000,46724000,-8192000,-8192000,3111000,-5081000,77359000,620016000,96010000,0.53842,0.22701,0.16026,0.08228,0.03175,1.95775,4.86021,1.59177,0.40136,0.26811,0.26811,1.67293,3.2585,0.52489,0.08941,0.04749,0.06972,0.3335,2.25692,2.5134
"21","2015_Q2",21.6860317460317,"Down",306453000,-144324000,162129000,-96898000,-81608000,-15290000,65231000,-6013000,-5303000,-710000,59218000,88741000,-19900000,68841000,68841000,68841000,68841000,449445000,27678000,243228000,243228000,182485000,30146000,9174000,905304000,168121000,694380000,393448000,242665000,32205000,26062000,862501000,1767805000,88337000,45930000,17700000,24707000,52013000,78327000,78327000,218677000,767040000,165152000,136722000,932192000,1150869000,457059000,262088000,-102211000,616936000,616936000,1767805000,68841000,10810000,689000,-33119000,47221000,-9796000,-182904000,38000,-192662000,-17730000,199645000,-34189000,12746000,-46935000,3e+05,148026000,2585000,2585000,1437000,4022000,76041000,819053000,53026000,0.52905,0.21286,0.22464,0.11159,0.03894,0.77027,4.13991,1.86546,0.46332,0.37951,0.37951,1.68942,3.40106,0.29232,0.09774,0.05407,0.03312,0.25755,4.86064,5.66614
"22","2015_Q3",20.815,"Down",335489000,-154866000,180623000,-96732000,-81825000,-14907000,83891000,-3687000,-4125000,438000,80204000,239037000,-66400000,172637000,172637000,172637000,172637000,44258000,44258000,262722000,262722000,194568000,33594000,12277000,535142000,171399000,712367000,403529000,244234000,38357000,26247000,883766000,1418908000,101134000,45145000,17400000,38589000,10354000,122284000,122284000,233772000,300410000,172371000,138042000,472781000,706553000,457316000,343666000,-88627000,712355000,712355000,1418908000,172637000,11159000,-148984000,14631000,49443000,579718000,-4949000,-288000,574481000,-17609000,-508899000,-81935000,1765000,-83700000,4e+05,-608043000,15881000,15881000,699000,16580000,95050000,310764000,755799000,0.53839,0.25006,0.51458,0.24235,0.12167,4.37797,2.28916,0.99186,0.21902,0.96518,0.96518,1.87564,3.98262,4.2255,0.09845,0.15914,0.63221,0.102,2.80385,3.17681
"23","2015_Q4",21.8790625,"Up",318986000,-148790000,170196000,-93269000,-78486000,-14783000,76927000,-5414000,-4025000,-1389000,71513000,73901000,-23210000,50691000,50691000,50691000,50691000,51913000,51913000,229504000,229504000,197215000,41248000,19797000,519880000,172225000,695294000,397322000,233858000,39435000,24679000,867519000,1387399000,110943000,50231000,17100000,43612000,9242999.99999999,84161000,84161000,204347000,3.75e+08,171560000,137987000,546560000,750907000,452378000,284613000,-100499000,636492000,636492000,1387399000,50691000,11317000,-143000,-23297000,38568000,11380000,0,-8373000,3007000,-17319000,73519000,-91838000,2257000,-94095000,5e+05,-35138000,6437000,6437000,1218000,7655000,88244000,384243000,99537000,0.53355,0.24116,0.15891,0.07964,0.03654,1.9636,2.5441,1.17976,0.27695,0.28803,0.28803,1.8125,3.6166,0.56558,0.09841,0.05704,0.08348,0.34166,3.76604,4.32007
"24","2016_Q1",22.7418032786885,"Up",325557000,-153805000,171752000,-95676000,-82097000,-13579000,76076000,-3933000,-4190000,257000,72143000,73034000,-19490000,53544000,53544000,53544000,53544000,52295000,52295000,225509000,225509000,202136000,29077000,29077000,509017000,178437000,703898000,394488000,227987000,56976000,24447000,882335000,1391352000,103625000,40505000,18447000,44673000,15901000,75090000,75090000,194616000,392695000,168490000,137457000,561185000,755801000,454540000,285508000,-104497000,635551000,635551000,1391352000,53544000,11321000,6183000,-14866000,56182000,-12888999.9999999,-1164000.00000001,-834000,-14887000,-16771000,24646000,-46376000,3397000,-49773000,-2530000,-41031000,264000,264000,118000,382000,87397000,408596000,79132000,0.52756,0.23368,0.16447,0.08425,0.03848,1.47789,2.61549,1.18921,0.29367,0.31161,0.31161,1.89463,3.6987,0.46052,0.0976,0.05799,0.06526,0.31322,4.07681,4.68349
"25","2016_Q2",24.59484375,"Up",304912000,-143116000,161796000,-100847000,-86161000,-14686000,60949000,-3347000,-4493000,1146000,57602000,57602000,-18050000,39552000,39552000,39552000,39552000,36490000,36490000,226030000,226030000,212331000,20993000,20993000,495844000,184211000,750943000,419447000,248827000,58674000,23995000,935154000,1430998000,86365000,40329000,18150000,27886000,14508000,60884000,60884000,161757000,457670000,174663000,137356000,632333000,794090000,478002000,264901000,-105995000,636908000,636908000,1430998000,39552000,12010000,3405000,-26089000,28878000,-13121000,-48881000,1196000,-60806000,-18332000,63514000,-27939000,20111000,-48050000,-4288255.70956209,17243000,-14685000,-14685000,-1120000,-15805000,72959000,472178000,51799000,0.53063,0.19989,0.12972,0.0621,0.02764,1.30964,3.06536,1.24679,0.32996,0.23249,0.23249,1.79226,3.74372,0.30447,0.10775,0.04509,0.04035,0.46349,5.97168,7.1484
"26","2016_Q3",22.99046875,"Down",348126000,-162985000,185141000,-106799000,-91192000,-15607000,78342000,-4935000,-4543000,-392000,73407000,73407000,-22460000,50947000,50947000,50947000,50947000,43864000,43864000,244047000,244047000,205344000,24971000,24971000,518226000,189669000,742994000,416188000,240407000,62029000,24370000,932663000,1450889000,91032000,40030000,18150000,32852000,13306000,65478000,65478000,169816000,429495000,175446000,139225000,604941000,774757000,491125000,297495000,-112488000,676132000,676132000,1450889000,50947000,12490000,1934000,-742000,64629000,-12840000,-229000.000000015,-408000,-13477000,-18353000,-29330000,7532000,7532000,0,-3165000,-43316000,7836000,7836000,-462000,7374000,90832000,442801000,99710000,0.53182,0.22504,0.14635,0.07535,0.03511,1.95713,3.05169,1.14587,0.30519,0.29773,0.29773,2.0344,3.95122,0.58269,0.10725,0.05354,0.07703,0.36024,4.39203,5.09225
"27","2016_Q4",24.2673015873016,"Up",327192000,-150594000,176598000,-95134000,-80463000,-14671000,81464000,-4848000,-4432000,-416000,76616000,76616000,-22228000,54388000,54388000,54388000,54388000,53322000,53322000,223257000,223257000,201553000,20111000,20111000,498243000,190523000,732436000,411594000,233947000,62019000,24876000,922959000,1421202000,97013000,40951000,18381000,37681000,8380000,71829000,71829000,177222000,355780000,176435000,141094000,532215000,709437000,496529000,333278000,-118042000,711765000,711765000,1421202000,54388000,12346000,2334000,45145000,114213000,-8386000,467000,-768000,-8687000,-18373000,-78448000,1086000,1086000,0,0,-95735000,9791000,9791000,-333000,9458000,93810000,364160000,152797000,0.53974,0.24898,0.16623,0.07641,0.03827,2.80939,2.81141,0.99673,0.25623,0.31823,0.31823,1.91444,4.16463,0.89404,0.1075,0.0581,0.12201,0.33781,3.31348,3.81565
