"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","total_realized_investment_gains","other_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","long_term_debt","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q2",5.971875,"Up",24878000,23800000,802000,276000,-136000,-136000,412000,-13328000,-6513000,-4187000,850000,-619000,-619000,231000,231000,-18000,213000,213000,213000,213000,146641000,14406000,19895000,12050000,36662000,229654000,139176000,10011000,29043000,178230000,86430000,-32318000,-2688000,51424000,51424000,229654000,213000,88000,-2805000,-1404000,-3908000,6446000,6446000,0,0,2538000,2538000,2538000,938000,29043000,0.03417,0.00856,0.00414,0.00093,3.46589,0.12646,0.025,0.025,2.91984,6.03545,0.00097,15.60448,17.22
"12","2018_Q3",6.31730158730159,"Up",25356000,23939000,837000,580000,41000,41000,539000,-15068000,-6472000,-4302000,-486000,-617000,-617000,-1103000,-1103000,-10000,-1113000,-1113000,-1113000,-1113000,140571000,17016000,22129000,12021000,35597000,227334000,136052000,12054000,29060000,177166000,86659000,-33431000,-3060000,50168000,50168000,227334000,-1113000,87000,-1034000,-1153000,-3213000,5823000,5823000,0,-4.65661287307739e-10,2610000,2610000,2610000,-399000,29060000,-0.01917,-0.04389,-0.02219,-0.0049,3.53145,0.12783,-0.13063,-0.13063,2.97594,5.88804,-0.00517,-30.18546,-24.78189
"13","2018_Q4",5.11365079365079,"Down",24864000,23449000,786000,629000,131000,131000,498000,-16554000,-6452000,-4787000,-2929000,-598000,-598000,-3527000,-3527000,-24000,-3551000,-3551000,-3551000,-3551000,141733000,16455000,22415000,11843000,40551000,232997000,142747000,13961000,29750000,186458000,86915000,-36982000,-3394000,46539000,46539000,232997000,-3551000,79000,-359000,3441000,-390000,-845000,-845000,-2e+07,674000,-561000,-561000,-561000,-2850000,29750000,-0.1178,-0.14282,-0.0763,-0.01524,4.00649,0.12768,-0.41515,-0.41515,2.90684,5.44086,-0.01621,-4.66491,-4.53909
"14","2019_Q1",4.4172131147541,"Down",24103000,22623000,911000,569000,146000,146000,423000,-17565000,-6097000,-4407000,-3966000,-810000,-810000,-4776000,-4776000,0,-4776000,-4776000,-4776000,-4776000,140102000,10792000,21247000,12011000,48600000,232752000,145659000,5677000,33502000,190589000,86533000,-41758000,-2612000,42163000,42163000,232752000,-4776000,132000,1101000,-5954000,-9497000,798000,798000,25800000,3036000,-5663000,-5663000,-5663000,-3834000,33502000,-0.16454,-0.19815,-0.11327,-0.02052,4.52029,0.14394,-0.55656,-0.55656,2.8088,4.9134,-0.02103,-5.92331999999998,-5.72617
"15","2019_Q2",4.26714285714286,"Down",24409000,21687000,910000,1812000,1284000,1284000,528000,-14456000,-5589000,-4323000,41000,-710000,-710000,-669000,-669000,-11000,-680000,-680000,-680000,-680000,144164000,10411000,18684000,12153000,52736000,238148000,145485000,3394000,34583000,195233000,86268000,-42438000,-915000,42915000,42915000,238148000,-680000,39000,-2438000,879000,-2200000,1329000,1329000,39517214.9252979,490000,-381000,-381000,-381000,80000,34583000,0.00168,-0.02786,-0.01585,-0.00286,4.5493,0.14522,-0.08044,-0.08044,2.88742,5.07655,-0.0029,302.15,589.56098
"16","2019_Q3",3.6390625,"Down",22773000,21349000,1051000,373000,-2e+05,-2e+05,573000,-14382000,-6210000,-4340000,-2159000,-725000,-725000,-2884000,-2884000,2.91038304567337e-11,-2884000,-2884000,-2884000,-2884000,140594000,20415000,23125000,12302000,46960000,243396000,149587000,12642000,34658000,196887000,91410000,-45322000,421000,46509000,46509000,243396000,-2884000,194000,424000,4243000,1977000,3130000,3130000,17996487.3687203,4897000,10004000,10004000,10004000,-1965000,34658000,-0.09481,-0.12664,-0.06201,-0.01185,4.23331,0.14239,-0.34456,-0.34456,2.72076,5.55656,-0.0125,-7.24835000000002,-6.59704000000011
"17","2019_Q4",3.8415625,"Up",23995000,22775000,1210000,10000,-675000,-675000,685000,-14857000,-6153000,-4297000,-1312000,-720000,-720000,-2032000,-2032000,802000,-1230000,-1230000,-1230000,-1230000,136212000,30854000,18735000,12879000,39810000,238490000,150058000,9207000,33743000,193008000,91578000,-46552000,456000,45482000,45482000,238490000,-1230000,109000,629000,8059000,7567000,3933000,3933000,-1000000.00000001,-1061000,10439000,10439000,10439000,-1203000,33743000,-0.05468,-0.05126,-0.02704,-0.00516,4.24361,0.14149,-0.1352,-0.1352,2.63752,4.99936,-0.00536,-2.4015,-2.20198
"18","2020_Q1",3.54709677419355,"Down",24821000,23278000,860000,683000,360000,360000,323000,-16049000,-6959000,-4622000,-2809000,-341000,-727000,-3150000,-3150000,122000,-3028000,-3028000,-3028000,-3028000,169732000,7464000.00000001,20168000,11906000,37995000,247265000,158749000,9967000,35824000,204540000,91816000,-49580000,489000,42725000,42725000,247265000,-3028000,111000,933000,10001000,8017000,-8453000,-33405000,3e+06,1998000,-23390000,-23390000,-23390000,-2698000,35824000,-0.11317,-0.12199,-0.07087,-0.01225,4.78736,0.14488,-0.31544,-0.31544,2.58574,4.45089,-0.01276,-10.51149,-10.09612
"19","2020_Q2",3.0752380952381,"Down",21521000,22017000,954000,-1450000,-2158000,-2158000,708000,-14269000,-6303000,-5045000,-4096000,-731000,-731000,-4827000,-4712000,-13000,-4725000,-4725000,-4725000,-4725000,174237000,8100000,18804000,11508000,36363000,249012000,160191000,15614000,36669000,212474000,92053000,-54305000,-1210000,36538000,36538000,249012000,-4725000,42000,4885000,3813000,4015000,-105091000,-4133000,-244000.000000002,754000,636000,636000,636000,-4054000,36669000,-0.19033,-0.21955,-0.12932,-0.01897,5.81515,0.14726,-0.49256,-0.49256,2.24346,3.80891,-0.02024,-7.04711,-6.97485
"20","2020_Q3",2.66484375,"Down",25334000,21758000,863000,2713000,1821000,1821000,892000,-11945000,-6395000,-4859000,2135000,-731000,-731000,1404000,1549000,-44000,1505000,1505000,1505000,1505000,170616000,4812000,22275000,11693000,40617000,250013000,158854000,9037000,38842000,206733000,92275000,-52800000,3805000,43280000,43280000,250013000,1505000,213000,-4001000,-6333000,-8616000,105043000,3272000,3070000,2056000,-3288000,-3288000,-3288000,2348000,38842000,0.08427,0.05941,0.03477,0.00602,4.77664,0.15536,0.15684,0.15684,2.64015,4.51037,0.00625,14.49319,15.93911
"21","2020_Q4",2.57109375,"Down",26793000,22227000,776000,3790000,2960000,2960000,830000,-14553000,-6483000,-4537000,1220000,-723000,-723000,497000,497000,44000,541000,541000,541000,541000,180252000,7550000,20137000,12277000,39677000,259893000,158773000,17614000,40920000,217307000,92417000,-52259000,2428000,42586000,42586000,259893000,541000,75000,-3080000,4070000,1606000,-14000,-1143000,2294000,2275000,2738000,2738000,2738000,1295000,40920000,0.04553,0.02019,0.0127,0.00208,5.10278,0.15745,0.05617,0.05617,2.78199,4.42182,0.00223,25.76834,27.35246
"22","2021_Q1",3.53147540983607,"Up",29580000,23101000,563000,5916000,5731000,5731000,185000,-15461000,-6924000,-4027000,3168000,99000,-740000,3267000,3267000,7000,3274000,3274000,3274000,3274000,183207000,8193000,20170000,12243000,37784000,261597000,167494000,8693000,40997000,217184000,92486000,-48985000,912000,44413000,44413000,261597000,3274000,107000,-5898000,8494000,5977000,-15999.9999999851,-5333000,0,-1000,643000.000000001,643000.000000001,643000.000000001,3275000,40997000,0.1071,0.11068,0.07372,0.01252,4.8901,0.15672,0.33819,0.33819,3.05549,4.58768,0.01295,10.01649,10.3548
"23","2021_Q2",3.09142857142857,"Down",26307000,22835000,532000,2940000,2384000,2384000,556000,-19362000,-6750000,-4349000,-4154000,-473000,-721000,-4627000,-4627000,-9000,-4636000,-4636000,-4636000,-4636000,179977000,4429000,19328000,12459000,43494000,259687000,177026000,6610000,39075000,222711000,92552000,-53621000,-1955000,36976000,36976000,259687000,-4636000,109000,-2662000,3696000,-3493000,-20000,1729000,-2e+06,-2e+06,-3764000,-3764000,-3764000,-4045000,39075000,-0.1579,-0.17623,-0.12538,-0.01785,6.02312,0.15047,-0.47884,-0.47884,2.71718,3.81915,-0.01832,-8.56514,-8.34039
"24","2021_Q3",2.98984375,"Down",26542000,24838000,503000,1201000,535000,535000,666000,-17926000,-6896000,-4342000,-2622000,-552000,-732000,-3174000,5736000,-184000,5552000,5552000,5552000,5552000,180617000,4668000,31889000,13121000,39440000,269735000,180955000,7743000,37153000,225851000,92612000,-48069000,-659000,43884000,43884000,269735000,5552000,108000,-9190000,2563000,-967000,1900000,3213000,-2e+06,-2007000,239000,239000,239000,-2514000,37153000,-0.09879,0.20918,0.12652,0.02058,5.14655,0.13774,0.57345,0.57345,2.74145,4.53266,0.02119,-12.92164,-12.3894
"25","2021_Q4",2.524375,"Down",23937000,24941000,514000,-1518000,-2270000,308767.548351305,752000,-16159000,-7173000,-4077000,-3472000,-517000,-701000,-3989000,-1211000,2000,-1209000,-1209000,-1209000,-1209000,176539000,7507000,31192000,13611000,40086000,268935000,184890000,7451000,34486000,226827000,92659000,-49278000,-1273000,42108000,42108000,268935000,-1209000,103000,-509000,4087000,2472000,-531000,371000,2.3283064365387e-10,-4000,2839000,2839000,2839000,-3369000,34486000,-0.14505,-0.05051,-0.02871,-0.0045,5.38679,0.12823,-0.12474,-0.12474,2.46973,4.34455,-0.00462,-8.00801,-7.77045
"26","2022_Q1",2.34951612903226,"Down",27513000,26188000,419000,906000,209000,439006.621678103,697000,-16414000,-7632000,-3741000,-274000,-486000,-698000,-760000,-784000.000000001,-17000,-801000,-801000,-801000,-801000,182727000,9913000,21197000,12267000,64300000,290404000,204354000,11983000,33564000,249901000,92692000,-50079000,-2110000,40503000,40503000,290404000,-801000,103000,-218000,8259000,7343000,2580000,-3936000,-1e+06,-1001000,2406000,2406000,2406000,-171000,33564000,-0.00996000000000002,-0.02911,-0.01978,-0.00276,6.16994,0.11558,-0.08264,-0.08264,2.83869,4.17895,-0.00288,-138.30994,-86.31752
"27","2022_Q2",1.88951612903226,"Down",25371000,23955000,507000,909000,211000,211000,698000,-18018000,-5464000,-4160000,-2271000,-635000,-711000,-2906000,-2911000,41000,-2870000,-2870000,-2870000,-2870000,173124000,7837000,26539000,10124000,67307000,284931000,206406000,9499000,38642000,254547000,92730000,-52949000,-9397000,30384000,30384000,284931000,-2870000,102000,2010000,-7769000,-8527000,6586014.13492199,1451000,5e+06,5e+06,-2076000,-2076000,-2076000,-2169000,38642000,-0.08951,-0.11312,-0.09446,-0.01007,8.37767,0.13562,-0.29612,-0.29612,2.61769,3.13491,-0.01042,-14.2024,-13.56451
"28","2022_Q3",1.74390625,"Down",24684000,24576000,564000,-456000,-1119000,-1119000,663000,-22251000,-5725000,-4470000,-7762000,-634000,-727000,-8396000,-8397000,-2000,-8399000,-8399000,-8399000,-8399000,148198000,13148000,24701000,10747000,78261000,275055000,210100000,14258000,33720000,258078000,92799000,-61348000,-14474000,16977000,16977000,275055000,-8399000,103000,-958000,2307000,-6947000,5e+06,17247000,-5e+06,-4989000,5311000,5311000,5311000,-7659000,33720000,-0.31445,-0.34026,-0.49473,-0.03054,15.20163,0.12259,-0.86475,-0.86475,2.54144,1.74794,-0.03221,-2.68598999999999,-2.65035
