"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",31.8211290322581,"Up",683026000,-235152000,447874000,-235403000,-99873000,-135530000,212471000,-3002000,-2953000,-49000,209469000,209469000,-39701000,169768000,169768000,169768000,169768000,3765045000,462149000,345795000,345795000,312079000,138366000,45061000,4561285000,490581000,2211464000,-1720883000,1816000,402940000,28827000,279363000,31480000,63270000,895337000,5456622000,247368000,113391000,6249000,127728000,508542000,842540000,76934000,1524000,47611000,919474000,1428016000,362306000,49819000,312487000,3701054000,-34754000,4028606000,4028606000,5456622000,169768000,27163000,7610000,-66835000,137706000,-39239000,-39239000,-39239000,-243276000,-282515000,-89511000,5985000,299000,-86852000,-231661000,-231661000,-1256000,-232917000,239634000,857040000,173261000,0.65572,0.31107,0.24855,0.04214,0.03111,1.02058,8.96934,0.35447,0.15706,0.56884,0.55596,2.28862,13.49865,0.58055,0.29992,5,0.05225,0.03491,0.52725,-12.13519,-13.6866
"12","2013_Q1",35.6071666666667,"Up",694964000,-251682000,443282000,-228003000,-97609000,-130394000,215279000,-2755000,-2764000,8999.99999999977,212524000,212524000,-33337000,179187000,179187000,179187000,179187000,3900378000,528833000,339881000,339881000,313723000,142203000,43244000,4696185000,500867000,2228151000,-1727284000,1816000,421479000,28772000,283833000,43531000,65343000,924162000,5620347000,272038000,117034000,6097000,148907000,525079000,807098000,122811000,1130000,93255000,929909000,1454988000,440884000,50233000,390651000,3788869000,-64394000,4165359000,4165359000,5620347000,179187000,27538000,4486000,24836000,236047000,-37511000,-37511000,-37511000,-68950000,-106461000,-91372000,59697000,1553000,-63747000,65839000,65839000,845000,66684000,242817000,821598000,263479000,0.63785,0.30977,0.25784,0.04302,0.03188,1.47041,8.94377,0.34931,0.14618,0.59594,0.58186,2.3113,13.85308,0.87627,0.30388,5,0.05295,0.05156,0.50993,-12.67943,-14.30135
"13","2013_Q2",36.15296875,"Up",622134000,-231850000,390284000,-236795000,-97560000,-139235000,153489000,-3380000,-3181000,-199000,150109000,150109000,-18887000,131222000,131222000,131222000,131222000,3986979000,795797000,329578000,329578000,307263000,190115000,56188000,4813935000,491431000,2244231000,-1752800000,3816000,407626000,28717000,284367000,27556000,66986000,902873000,5716808000,265139000,113879000,28199000,123061000,508535000,759672000,124804000,1129000,94771000,884476000,1393011000,558080000,50998000,507082000,3829412000,-63695000,4323797000,4323797000,5716808000,131222000,27810000,-3911000,2848000,157969000,-18269000,-18269000,-18269000,178670000,160401000,-90679000,96769000,1196000,-52822000,265548000,265548000,1416000,266964000,181299000,759672000,184765000,0.62733,0.24671,0.21092,0.03035,0.02295,1.40803,9.46628,0.32217,0.13288,0.43239,0.42292,2.04997,14.2472,0.60881,0.29879,5,0.04261,0.03548,0.69104,-17.80102,-21.02631
"14","2013_Q3",38.69390625,"Up",659250000,-237055000,422195000,-230813000,-102703000,-128110000,191382000,-3721000,-3313000,-407999.999999999,187661000,187661000,-23189000,164472000,164472000,164472000,164472000,4172141000,595631000,333924000,333924000,298967000,158180000,43205000,4963212000,490047000,2257568000,-1767521000,3816000,383961000,28662000,282925000,20372000,52002000,877824000,5841036000,264960000,118261000,12487000,134212000,509162000,757855000,113429000,4498000,94069000,871284000,1380446000,638153000,51362000,586791000,3889469000,-67032000,4460590000,4460590000,5841036000,164472000,27533000,14336000,45845000,252186000,-26179000,-26179000,-26179000,-385955000,-412134000,-104415000,57736000,7017000,-39662000,-199610000,-199610000,-556000,-200166000,218915000,757855000,261770000,0.64042,0.2903,0.24948,0.03687,0.02816,1.59158,9.74781,0.30948,0.12975,0.53497,0.52485,2.14429,14.50863,0.85144,0.33962,5,0.05043,0.0491,0.63485,-15.5964,-17.84016
"15","2013_Q4",39.67890625,"Up",674172000,-239110000,435062000,-226720000,-97773000,-128947000,208342000,-13301000,-4547000,-8754000,195041000,195041000,-18802000,176239000,176239000,176239000,176239000,4450293000,460068000,345437000,345437000,284342000,164418000,49730000,5244490000,492421000,2258282000,-1765861000,3816000,397899000,28607000,280591000,30614000,58087000,894136000,6138626000,232806000,113350000,6927000,112529000,491809000,872104000,131477000,19460000,95777000,1003581000,1495390000,746360000,51783000,694577000,3960785000,-63909000,4643236000,4643236000,6138626000,176239000,27503000,16258000,25000,220025000,-30068000,-30068000,-30068000,-415248000,-447791000,-104923000,89653000,-4378000,92394000,-135372000,-135372000,-191000,-135563000,235845000,872104000,224604000,0.64533,0.30903,0.26142,0.03796,0.02871,1.27443,10.66367,0.32206,0.14207,0.57014,0.55894,2.18096,15.02097,0.7266,0.33943,5,0.04979,0.03978,0.59534,-15.17178,-17.17459
"16","2014_Q1",41.3781967213115,"Up",678133000,-233263000,444870000,-245008000,-98197000,-146811000,199862000,82650000,-3308000,85958000,282512000,282512000,-80958000,201554000,201554000,201554000,201554000,4682912000,392089000,325144000,325144000,283337000,181032000,42342000,5472425000,508171000,2292894000,-1784723000,3816000,397338000,28552000,284112000,26226000,58448000,909325000,6381750000,323084000,119994000,45490000,157600000,570512000,872241000,199421000,6037000,176020000,1071662000,1642174000,763721000,51842000,711879000,4056401000,-80546000,4739576000,4739576000,6381750000,201554000,27570000,-79091000,132132000,282165000,-48558000,-48558000,-48558000,-301844000,-250402000,-105938000,1590000,3881000,-100467000,-68704000,-68704000,725000,-67979000,227432000,872241000,391964000,0.65602,0.29472,0.29722,0.04253,0.03158,1.94471,9.59213,0.34648,0.13668,0.64807,0.63539,2.18044,15.23945,1.26031,0.34063,6,0.05291,0.06745,0.52561,-16.75521,-19.06651
"17","2014_Q2",43.7379365079365,"Up",628238000,-219120000,409118000,-229509000,-98178000,-131331000,179609000,-3718000,-3287000,-431000,175891000,175891000,-23305000,152586000,152586000,152586000,152586000,4701109000,417227000,328787000,328787000,289935000,151128000,36659000,5470959000,529010000,2329536000,-1800526000,5316000,394183000,28497000,283167000,22229000,60290000,928509000,6399468000,274258000,124619000,10678000,138961000,519494000,872378000,211961000,17506000,176408000,1084339000,1603833000,775609000,52089000,723520000,4102963000,-82937000,4795635000,4795635000,6399468000,152586000,27390000,2227000,-24730000,157473000,-48123000,-48123000,-48123000,3800000,-44323000,-106024000,-9363000,28079000,-87308000,25842000,25842000,-704000,25138000,206999000,872378000,157451000,0.65121,0.28589,0.24288,0.03182,0.02384,1.03188,10.53132,0.33444,0.13632,0.48861,0.4798,2.01174,15.35655,0.50419,0.33951,6,0.04398,0.02678,0.69485,-18.49637,-21.31703
"18","2014_Q3",42.64265625,"Down",694536000,-235793000,458743000,-238343000,-102085000,-136258000,220400000,-3032000.00000001,-3473000,441000,217368000,217368000,-29935000,187433000,187433000,187433000,187433000,4807225000,402790000,360847000,360847000,298432000,171528000,46614000,5638032000,545485000,2367300000,-1821815000,11213000,400221000,28442000,287341000,22954000,61484000,956919000,6594951000,303269000,132194000,27191000,143884000,571202000,872515000,219711000,21203000,179641000,1092226000,1663428000,833370000,52359000,781011000,4174601000,-76448000,4931523000,4931523000,6594951000,187433000,27514000,8587000,14890000,238424000,-44058000,-44058000,-44058000,-125958000,-170016000,-115795000,40322000,-6861000.00000001,-82333999.9999999,-13926000,-13926000,-511000,-14437000,247914000,872515000,248681000,0.6605,0.31733,0.26987,0.03801,0.02842,1.32677,9.87047,0.33731,0.1323,0.5979,0.58877,2.21551,15.73114,0.79327,0.36938,6,0.05034,0.04128,0.61779,-15.87127,-17.85259
"19","2014_Q4",42.79546875,"Up",727752000,-251462000,476290000,-273744000,-132989000,-140755000,202546000,-5158000,-4736000,-422000,197388000,197388000,-16782000,180606000,180606000,180606000,180606000,4932259000,2585441000,394762000,394762000,415098000,181765000,43683000,5923884000,609937000,2453469000,-1843532000,12019000,2427625000,695832000,1631890000,29554000,70349000,3049581000,8973465000,341296000,142653000,40664000,157979000,2622526000,872652000,471090000,276234000,174853000,1343742000,3966268000,845341000,52370000,792971000,4239109000,-77253000,5007197000,5007197000,8973465000,180606000,29963000,-1226000,4099000,213442000,-42315000,-42315000,-42315000,2084785000,98766000,-116098000,-21349000,12925000,1870876000,2183084000,2183084000,-433000,2182651000,232509000,2868050000,211075000,0.65447,0.27832,0.24817,0.03607,0.02013,1.1687,2.25885,0.79211,0.31961,0.57483,0.56638,2.31628,15.93684,0.67181,0.36952,5,0.03555,0.02529,0.64282,-8.87797,-10.19131
"20","2015_Q1",47.885737704918,"Up",814247000,-328210000,486037000,-336108000,-121424000,-214684000,149929000,-11231000,-11115000,-116000,138698000,138698000,-30003000,108695000,108695000,108695000,108695000,2866468000,569233000,396605000,396605000,367927000,180886000,45319000,3811886000,622422000,2478348000,-1855926000,13397000,2411985000,671402000,1642438000,27249000,70896000,3047804000,6859690000,430621000,138967000,62770000,228884000,709056000,872789000,519948000,235791000,263047000,1392737000,2101793000,694927000,51869000,643058000,4231496000,-168526000,4757897000,4757897000,6859690000,108695000,57103000,-54295000,150760000,262263000,-43417000,-43417000,-43417000,46422000,822000,-116308000,-165842000,-296000.000000004,-2277844000,-2014759000,-2014759000,-1449000,-2016208000,207032000,872789000,344378000,0.59692,0.18413,0.13349,0.02285,0.01585,3.1683,5.376,0.44175,0.12723,0.34747,0.34303,2.60296,15.20989,1.1009,0.37181,6,0.03658,0.05599,1.07004,-9.62981,-13.29749
"21","2015_Q2",55.0909523809524,"Up",771986000,-268379000,503607000,-295673000,-120171000,-175502000,207934000,-7164000,-4612000,-2552000,200770000,200770000,-22013000,178757000,178757000,178757000,178757000,2873281000,650202000,402350000,402350000,367238000,160168000,46853000,3803037000,612472000,2497484000,-1885012000,13703000,2391944000,646400000,1641793000,34365000,69386000,3018119000,6821156000,354681000,123456000,17683000,213542000,632909000,872926000,509111000,241367000,246458000,1382037000,2014946000,703462000,51939000,651523000,4295169000,-192421000,4806210000,4806210000,6821156000,178757000,56512000,16564000,-83180000,168653000,-23760000,-23760000,-23760000,70149000,46271000,-115084000,-16843000,647000,-131280000,83644000,83644000,-2675000,80969000,264446000,872926000,179519000,0.65235,0.26935,0.23155,0.03719,0.02621,1.00426,6.00882,0.41924,0.12797,0.57428,0.56625,2.48009,15.44045,0.57672,0.36972,7,0.04748,0.02901,0.6438,-7.56432,-9.62014
"22","2015_Q3",49.7109375,"Down",821019000,-276197000,544822000,-295814000,-117371000,-178443000,249008000,-3819000,-4871000,1052000,245189000,245189000,-39851000,205338000,205338000,205338000,205338000,3074778000,636216000,408510000,408510000,394494000,167979000,49217000,4045761000,629665000,2536043000,-1906378000,17524000,2355525000,621277000,1643614000,26263000,64371000,3002714000,7048475000,398127000,156300000,32626000,209201000,1068219000,498399000,517649000,246866000,248620000,1016048000,2084267000,759438000,52258000,707180000,4375625000,-170855000,4964208000,4964208000,7048475000,205338000,57190000,309999.999999993,81193000,344031000,-49229000,-49229000,-49229000,-219332000,-268561000,-124882000,27815000,7579000,-89488000,-14018000,-14018000,32000,-13986000,306198000,873063000,378013000,0.66359,0.30329,0.2501,0.04136,0.02913,1.84093,3.78739,0.41986,0.12387,0.65675,0.64766,2.62592,15.87734,1.20902,0.39942,8,0.05196,0.05948,0.60818,-7.19049,-8.84194
"23","2015_Q4",50.6440625,"Up",863365000,-294328000,569037000,-303768000,-120030000,-183738000,265269000,-5791000,-4526000,-1265000,259478000,259478000,-4.3e+07,216478000,216478000,216478000,216478000,3099961000,557497000,451511000,451511000,424475000,173945000,45277000,4149892000,631269000,2566386000,-1935117000,16249000,2337291000,601882000,1640381000,30656000,64372000,2984809000,7134701000,375753000,152683000,35154000,187916000,1057770000,498448000,513322000,243263000,245984000,1011770000,2069540000,771330000,52280000,719050000,4466592000,-172761000,5065161000,5065161000,7134701000,216478000,57548000,-3350000,-73537000,197139000,-35164000,-35164000,-35164000,-105308000,-147419000,-125511000,-11352000,8933000,-127930000,-78210000,-78210000,-509000,-78719000,322817000,873200000,257116000,0.65909,0.30725,0.25074,0.04274,0.03034,1.18772,3.92325,0.40858,0.12239,0.68969,0.68035,2.75065,16.13741,0.81916,0.39987,8,0.05301,0.03985,0.57979,-6.89791,-8.39435
"24","2016_Q1",46.3188524590164,"Down",978722000,-336926000,641796000,-533166000,-345072000,-188094000,108630000,-3953000,-4396000,443000,104677000,104677000,-8372000,96305000,96305000,96305000,96305000,3028928000,884353000,466527000,466527000,412314000,171779000,40597000,4079548000,644110000,2602095000,-1957985000,17482000,2317637000,583517000,1636526000,33280000,64314000,2979229000,7058777000,438904000,174247000,15062000,249595000,1113585000,495341000,376892000,227376000,125763000,872233000,1985818000,686495000,52011000,634484000,4437315000,-50851000,5072959000,5072959000,7058777000,96305000,50990000,-14890000,65570000,197975000,-45807000,-45807000,-45807000,398391000,352584000,-125582000,-103942000,6619000,-222905000,327654000,327654000,-798000,326856000,159620000,869935000,187755000,0.65575,0.11099,0.0984,0.01898,0.01364,1.94959,3.66344,0.39145,0.12324,0.30785,0.30421,3.12862,16.2164,0.60018,0.40144,7,0.03511,0.02971,1.304,-13.52583,-19.87474
"25","2016_Q2",50.05875,"Up",769429000,-292136000,477293000,-282248000,-107462000,-174786000,195045000,-12868000,-9863000,-3005000,182177000,182177000,-17673000,164504000,164504000,164504000,164504000,3789468000,1470442000,375087000,375087000,404852000,74727000,41515000,4644134000,633362000,2613106000,-1979744000,22992000,2297593000,564839000,1631233000,36918000,64603000,2953947000,7598081000,295833000,138302000,8122000,149409000,594105000,1730948000,278166000,128572000,126265000,2009114000,2603219000,577508000,51671000,525837000,4477161000,-59807000,4994862000,4994862000,7598081000,164504000,51556000,10940000,-7295000,219705000,-23128000,-23128000,-23128000,-181237000,-204365000,-124658000,-125748000,-34988000,571781000,587121000,587121000,-1032000,586089000,246601000,1730948000,233851000,0.62032,0.25349,0.2138,0.03293,0.02165,1.42155,7.81703,0.52118,0.22781,0.52867,0.52258,2.47273,16.05208,0.75153,0.40062,5,0.04129,0.03339,0.75778,-8.34757,-10.55408
"26","2016_Q3",54.5865625,"Up",778766000,-267863000,510903000,-303524000,-112186000,-191338000,207379000,-12469000,-13212000,743000,194910000,194910000,-24337000,170573000,170573000,170573000,170573000,3754081000,1119662000,398979000,398979000,399459000,75355000,52618000,4627874000,626162000,2633373000,-2007211000,26068000,2290188000,548374000,1639165000,35912000,66737000,2942418000,7570292000,367310000,165790000,5627000,195893000,684600000,1731336000,280655000,125196000,130847000,2011991000,2696591000,399617000,51226000,348391000,4517809000,-43725000,4873701000,4873701000,7570292000,170573000,51923000,13786000,83921000,320203000,-25517000,-25517000,-25517000,-317492000,-345212000,-129925000,-197170000,425999.999999993,-326669000,-351678000,-351678000,898000,-350780000,259302000,1731336000,342043000,0.65604,0.26629,0.21903,0.035,0.02253,2.00526,6.75997,0.55329,0.2287,0.55239,0.54627,2.52199,15.78322,1.10769,0.42076,5,0.04364,0.04967,0.7617,-7.80073,-9.75386
