"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",44.8667741935484,"Up",1.918e+09,-8.54e+08,-7.96e+08,-5.8e+07,1.064e+09,2e+06,-4e+06,9e+06,-3e+06,1.066e+09,1.066e+09,-2.94e+08,7.72e+08,7.72e+08,7.72e+08,7.72e+08,5.639e+09,3.045e+09,2.594e+09,9.12e+08,9.12e+08,2.521e+09,5.75e+08,1.59e+09,9.072e+09,4.65e+08,2.583e+09,1.087e+09,6.76e+08,1.01e+08,7.19e+08,3.048e+09,1.212e+10,2.729e+09,3.19e+08,2.41e+09,1.819e+09,1.819e+09,4.548e+09,6.48e+08,1.03e+08,5.45e+08,6.48e+08,5.196e+09,3.619e+09,-3.527e+09,6.786e+09,3.4e+07,6.912e+09,1.2e+07,6.924e+09,1.212e+10,7.72e+08,5.8e+07,3.5e+07,1.49e+08,1.014e+09,-2.8e+07,-7.88e+08,-3e+07,-9.22e+08,-3.7e+07,-2.06e+08,1.4e+07,-2.29e+08,-1.37e+08,-1.37e+08,2.9e+07,-1.08e+08,1.122e+09,0,1.537e+09,0.55474,0.4025,0.1115,0.0637,1.99093,1.99472,0.75043,0,0.63279,0.63123,1.57213,5.66557,1.25984,0.03033,0.10684,0.20298,0.04793,-5.02585,-5.29981
"12","2013_Q1",49.2325,"Up",1.895e+09,-9.96e+08,-9.34e+08,-6.2e+07,8.99e+08,-5e+06,-7e+06,1e+07,-8e+06,8.94e+08,8.94e+08,-2.89e+08,6.05e+08,6.05e+08,6.05e+08,6.05e+08,5.003e+09,2.052e+09,2.951e+09,9.25e+08,9.25e+08,3.429e+09,6.81e+08,2.62e+09,9.357e+09,4.72e+08,2.633e+09,1.092e+09,6.72e+08,6e+07,8.09e+08,3.105e+09,1.2462e+10,2.831e+09,3.57e+08,2.474e+09,2.075e+09,2.075e+09,4.906e+09,6.27e+08,1.04e+08,5.23e+08,6.27e+08,5.533e+09,3.641e+09,-4.139e+09,7.354e+09,6.1e+07,6.917e+09,1.2e+07,6.929e+09,1.2462e+10,6.05e+08,6.2e+07,8.39e+08,-1.366e+09,1.4e+08,-2.8e+07,-3.48e+08,-1.5e+08,-5.01e+08,-3.8e+07,-6.1e+08,1e+06,-6.47e+08,-1.008e+09,-1.008e+09,1.5e+07,-9.93e+08,9.61e+08,0,-1.44e+08,0.47441,0.31926,0.08731,0.04855,-0.23802,1.90726,0.79853,-1.35525271560688e-20,0.4959,0.49469,1.55328,5.66967,-0.11803,0.03115,0.0851,-0.01906,0.06281,-5.20604,-5.56507
"13","2013_Q2",52.5428125,"Up",1.906e+09,-7.99e+08,-7.37e+08,-6.2e+07,1.107e+09,-5e+06,-5e+06,8e+06,-8e+06,1.102e+09,1.102e+09,-3.36e+08,7.66e+08,7.66e+08,7.66e+08,7.66e+08,5.02e+09,1.984e+09,3.036e+09,9.41e+08,9.41e+08,2.822e+09,4.88e+08,2.206e+09,8.783e+09,4.68e+08,2.558e+09,1.042e+09,6.37e+08,5.9e+07,8.2e+08,3.026e+09,1.1809e+10,2.689e+09,2.62e+08,2.427e+09,1.725e+09,1.725e+09,4.414e+09,6.39e+08,9.9e+07,5.4e+08,6.39e+08,5.053e+09,3.648e+09,-4.902e+09,8.047e+09,-5e+07,6.743e+09,1.3e+07,6.756e+09,1.1809e+10,7.66e+08,6.2e+07,-1.2e+07,5.8e+07,8.74e+08,-2e+07,-6.5e+07,-2.4e+07,-1.09e+08,-3.7e+07,-7.61e+08,1.5e+07,-7.83e+08,-1.8e+07,-1.8e+07,-5e+07,-6.8e+07,1.169e+09,0,1.543e+09,0.5808,0.40189,0.11338,0.06487,2.01436,1.98981,0.74793,0,0.62787,0.62633,1.5623,5.52705,1.26475,0.03033,0.10859,0.20865,0.0483,-4.29427,-4.53478
"14","2013_Q3",59.43953125,"Up",2.096e+09,-8.68e+08,-8.07e+08,-6.1e+07,1.228e+09,5e+06,-5e+06,1.1e+07,-1e+06,1.233e+09,1.233e+09,-3.85e+08,8.48e+08,8.48e+08,8.48e+08,8.48e+08,5.09e+09,2.348e+09,2.742e+09,9.49e+08,9.49e+08,2.923e+09,5.65e+08,2.232e+09,8.962e+09,4.71e+08,2.588e+09,1.05e+09,6.37e+08,8.5e+07,8.16e+08,3.059e+09,1.2021e+10,2.599e+09,2.59e+08,2.34e+09,1.728e+09,1.728e+09,4.327e+09,6.65e+08,9.8e+07,5.67e+08,6.65e+08,4.992e+09,3.692e+09,-5.482e+09,8.823e+09,-1.5e+07,7.018e+09,1.1e+07,7.029e+09,1.2021e+10,8.48e+08,6.1e+07,8e+06,-1.75e+08,7.42e+08,-2.8e+07,2.89e+08,-3.6e+07,2.25e+08,-7.3e+07,-5.7e+08,5e+06,-6.38e+08,3.29e+08,3.29e+08,3.5e+07,3.64e+08,1.289e+09,3.72529029846191e-09,1.471e+09,0.58588,0.40458,0.12064,0.07054,1.73467,2.07118,0.7102,2.16840434497101e-19,0.69508,0.69338,1.71803,5.75246,1.20574,0.05984,0.1197,0.19119,0.08608,-3.9488,-4.14495
"15","2013_Q4",70.38125,"Up",2.218e+09,-9.7e+08,-9.06e+08,-6.4e+07,1.248e+09,6e+06,3e+06,1.1e+07,-8e+06,1.254e+09,1.254e+09,-3.75e+08,8.79e+08,8.79e+08,8.79e+08,8.79e+08,6.007e+09,3.413e+09,2.594e+09,9.9e+08,9.9e+08,3.562e+09,5.02e+08,2.938e+09,1.0559e+10,4.74e+08,2.697e+09,1.101e+09,6.55e+08,8.9e+07,8.52e+08,3.171e+09,1.373e+10,3.011e+09,2.8e+08,2.731e+09,2.409e+09,2.409e+09,5.42e+09,6.42e+08,9.3e+07,5.49e+08,6.42e+08,6.062e+09,3.733e+09,-5.826e+09,9.63e+09,1.2e+08,7.657e+09,1.1e+07,7.668e+09,1.373e+10,8.79e+08,6.4e+07,4.5e+07,3.31e+08,1.319e+09,-1.7e+07,1.84e+08,-4.7e+07,1.2e+08,-7.2e+07,-3.39e+08,-5e+06,-4.16e+08,1.023e+09,1.023e+09,4.2e+07,1.065e+09,1.312e+09,0,2.001e+09,0.56267,0.3963,0.11463,0.06402,2.27645,1.94815,0.79056,0,0.72049,0.71872,1.81803,6.27623,1.64016,0.05902,0.11444,0.24079,0.08191,-4.57851,-4.8133
"16","2014_Q1",74.1340983606557,"Up",2.092e+09,-1.077e+09,-1.006e+09,-7.1e+07,1.015e+09,-9e+06,-7e+06,8e+06,-1e+07,1.006e+09,9.11e+08,-2.88e+08,6.23e+08,6.23e+08,6.23e+08,6.23e+08,6.295e+09,3.599e+09,2.696e+09,9.66e+08,9.66e+08,3.689e+09,4.71e+08,2.985e+09,1.095e+10,5.26e+08,2.766e+09,1.122e+09,6.72e+08,7e+07,9.02e+08,3.292e+09,1.4242e+10,3.325e+09,3.38e+08,2.987e+09,2.707e+09,2.707e+09,6.032e+09,7.15e+08,1.17e+08,5.98e+08,7.15e+08,6.747e+09,3.762e+09,-6.577e+09,1.0121e+10,1.78e+08,7.484e+09,1.1e+07,7.495e+09,1.4242e+10,6.23e+08,7.1e+07,5.73e+08,-6.4e+07,1.203e+09,-9e+07,-8.9e+07,-6.4e+07,-2.43e+08,-7.3e+07,-7.47e+08,-7e+06,-7.92e+08,1.68e+08,1.68e+08,1.8e+07,1.86e+08,1.086e+09,-5.96046447753906e-08,1.22e+09,0.48518,0.2978,0.08312,0.04374,1.95827,1.81532,0.9002,-3.46944695195361e-18,0.53021,0.52841,1.78043,6.36936,1.0383,0.06213,0.08477,0.1486,0.11717,-5.7965,-6.20197
"17","2014_Q2",70.5944444444444,"Down",2.172e+09,-8.87e+08,-8.14e+08,-7.3e+07,1.285e+09,-4e+06,-6e+06,7e+06,-5e+06,1.281e+09,1.281e+09,-4.11e+08,8.7e+08,8.7e+08,8.7e+08,8.7e+08,6.562e+09,4.019e+09,2.543e+09,9.95e+08,9.95e+08,3.785e+09,5.52e+08,2.929e+09,1.1342e+10,5.28e+08,2.932e+09,1.286e+09,7.23e+08,6.5e+07,8.58e+08,3.46e+09,1.4802e+10,3.284e+09,2.97e+08,2.987e+09,2.71e+09,2.71e+09,5.994e+09,7.36e+08,1.17e+08,6.19e+08,2.23e+09,8.224e+09,3.769e+09,-8.243e+09,1.0861e+10,1.8e+08,6.567e+09,1.1e+07,6.578e+09,1.4802e+10,8.7e+08,7.3e+07,2.5e+07,-2.17e+08,7.51e+08,-2.5e+07,1.47e+08,-2.9e+07,-5.3e+07,-1.31e+08,-1.661e+09,2.6e+07,-2.79e+08,4.19e+08,4.19e+08,1e+06,4.2e+08,1.358e+09,1.494e+09,1.527e+09,0.59162,0.40055,0.13226,0.05878,1.75517,1.89223,1.25023,0.10093,0.74043,0.73791,1.84851,5.58894,1.29957,0.11149,0.11365,0.17337,0.15057,-3.73196,-3.94397
"18","2014_Q3",72.4725,"Up",2.368e+09,-9.85e+08,-9.04e+08,-8.1e+07,1.383e+09,-1e+07,-1.5e+07,6e+06,-1e+06,1.373e+09,1.373e+09,-4.42e+08,9.31e+08,9.31e+08,9.31e+08,9.31e+08,5.714e+09,2.878e+09,2.836e+09,1.134e+09,1.134e+09,3.729e+09,6.41e+08,2.801e+09,1.0577e+10,5.39e+08,3.259e+09,1.527e+09,7.59e+08,8.6e+07,8.87e+08,3.798e+09,1.4375e+10,3.122e+09,4.2e+08,2.702e+09,2.668e+09,2.668e+09,5.79e+09,7.77e+08,1.25e+08,6.52e+08,2.271e+09,8.061e+09,3.811e+09,-9.399e+09,1.1666e+10,1.88e+08,6.266e+09,4.8e+07,6.314e+09,1.4375e+10,9.31e+08,8.1e+07,1.99e+08,-4.82e+08,7.29e+08,-1.4e+07,-3.07e+08,-4.6e+07,-5.62e+08,-1.29e+08,-1.15e+09,-2.7e+07,-1.306e+09,-1.139e+09,-1.139e+09,-1999999.99999999,-1.141e+09,1.464e+09,1.494e+09,1.41e+09,0.58404,0.39316,0.14745,0.06477,1.5145,1.82677,1.27669,0.10393,0.79234,0.78965,2.01532,5.33277,1.2,0.10979,0.12347,0.16424,0.13856,-2.88251,-3.05134
"19","2014_Q4",77.799375,"Up",2.49e+09,-1.07e+09,-9.87e+08,-8.3e+07,1.42e+09,-2e+06,-1.1e+07,8e+06,1e+06,1.418e+09,1.418e+09,-4.03e+08,1.015e+09,1.015e+09,1.015e+09,1.015e+09,6.319e+09,4.462e+09,1.857e+09,1.071e+09,1.071e+09,3.566e+09,6.02e+08,2.681e+09,1.0956e+10,5.53e+08,3.15e+09,1.456e+09,7.05e+08,1.02e+08,8.87e+08,3.703e+09,1.4659e+10,3.206e+09,3.19e+08,2.887e+09,2.643e+09,2.643e+09,5.849e+09,7.68e+08,1.19e+08,6.49e+08,2.262e+09,8.111e+09,3.843e+09,-9.803e+09,1.2553e+10,-9.2e+07,6.501e+09,4.7e+07,6.548e+09,1.4659e+10,1.015e+09,8.3e+07,1.9e+08,9.8e+07,1.386e+09,-5.8e+07,9.49e+08,-1.7e+07,8.79e+08,-1.28e+08,-3.97e+08,1.5e+07,-5.1e+08,1.755e+09,1.755e+09,-1.71e+08,1.584e+09,1.503e+09,1.494e+09,1.946e+09,0.57028,0.40763,0.15501,0.06924,1.91724,1.87314,1.2387,0.10192,0.87727,0.87651,2.15212,5.61884,1.68194,0.11063,0.12974,0.22089,0.12611,-3.21025,-3.39789
"20","2015_Q1",82.8391803278688,"Up",2.411e+09,-1.393e+09,-1.309e+09,-8.4e+07,1.018e+09,-1.1e+07,-1.6e+07,7e+06,-2e+06,1.007e+09,1.007e+09,-2.06e+08,8.01e+08,8.01e+08,8.01e+08,8.01e+08,6.375e+09,5.137e+09,1.238e+09,1.109e+09,1.109e+09,3.513e+09,6.71e+08,2.542e+09,1.0997e+10,6.15e+08,3.717e+09,1.522e+09,7.14e+08,9.6e+07,1.385e+09,4.332e+09,1.5329e+10,3.629e+09,4.19e+08,3.21e+09,2.593e+09,2.593e+09,6.222e+09,7.89e+08,1.15e+08,6.74e+08,2.283e+09,8.505e+09,3.876e+09,-9.995e+09,1.3169e+10,-2.6e+08,6.79e+09,3.4e+07,6.824e+09,1.5329e+10,8.01e+08,8.4e+07,2.23e+08,-3.84e+08,7.24e+08,-7.8e+07,6.61e+08,-1.51e+08,2.43e+08,-1.27e+08,-1.5e+08,-1e+07,-2.44e+08,7.23e+08,7.23e+08,-4.8e+07,6.75e+08,1.102e+09,1.494e+09,8.46e+08,0.42223,0.33223,0.11738,0.05225,1.05618,1.76744,1.24634,0.09746,0.69774,0.69531,2.10017,5.91463,0.73693,0.11063,0.1019,0.0929,0.15855,-4.42922,-4.7947
"21","2015_Q2",87.7866666666667,"Up",2.23e+09,-8.79e+08,-7.92e+08,-8.7e+07,1.351e+09,-1.1e+07,-1.7e+07,9e+06,-3e+06,1.34e+09,1.34e+09,-3.2e+08,1.02e+09,1.02e+09,1.02e+09,1.02e+09,5.796e+09,4.207e+09,1.589e+09,1.072e+09,1.072e+09,3.48e+09,6.44e+08,2.563e+09,1.0348e+10,6.02e+08,3.683e+09,1.469e+09,6.48e+08,7.6e+07,1.49e+09,4.285e+09,1.4633e+10,3.306e+09,4.06e+08,2.9e+09,2.631e+09,2.631e+09,5.937e+09,8.67e+08,1.02e+08,7.65e+08,2.362e+09,8.299e+09,3.883e+09,-1.0949e+10,1.4006e+10,-6.39e+08,6.301e+09,3.3e+07,6.334e+09,1.4633e+10,1.02e+09,8.7e+07,1.31e+08,-3.27e+08,9.11e+08,-3.1e+07,-4.41e+08,-3.5e+07,-5.19e+08,-1.84e+08,-9.37e+08,2.1e+07,-1.1e+09,-7.08e+08,-7.08e+08,-2.22e+08,-9.3e+08,1.438e+09,1.495e+09,1.4e+09,0.60583,0.4574,0.16104,0.06971,1.37255,1.74297,1.31023,0.10217,0.8885,0.88542,1.94251,5.48868,1.21951,0.16028,0.13845,0.16099,0.18039,-2.99096,-3.18357
"22","2015_Q3",90.02734375,"Up",2.39e+09,-1.078e+09,-9.86e+08,-9.2e+07,1.312e+09,-1e+07,-1.7e+07,6e+06,1e+06,1.302e+09,1.241e+09,-3.2e+08,9.21e+08,9.21e+08,9.21e+08,9.21e+08,5.077e+09,3.361e+09,1.716e+09,1.128e+09,1.128e+09,4.012e+09,9.03e+08,2.815e+09,1.0217e+10,6.32e+08,4.423e+09,1.94e+09,8.62e+08,3.2e+07,1.589e+09,5.055e+09,1.5272e+10,3.588e+09,4.81e+08,3.107e+09,2.888e+09,2.888e+09,6.476e+09,8.65e+08,1.01e+08,7.64e+08,2.36e+09,8.836e+09,3.936e+09,-1.1785e+10,1.4746e+10,-4.93e+08,6.404e+09,3.2e+07,6.436e+09,1.5272e+10,9.21e+08,9.2e+07,1.82e+08,-3.75e+08,8.2e+08,-2.5e+07,6.9e+08,-7.95e+08,-7.02e+08,-1.83e+08,-8.37e+08,4e+06,-1.016e+09,-8.98e+08,-8.98e+08,52000000.0000001,-8.46e+08,1.404e+09,1.495e+09,1.324e+09,0.54895,0.38536,0.1431,0.06031,1.43757,1.57767,1.3729,0.09789,0.80931,0.80789,2.10018,5.62742,1.16344,0.16081,0.12551,0.15052,0.1987,-2.55128,-2.73018
"23","2015_Q4",93.9896875,"Up",2.53e+09,-1.161e+09,-1.067e+09,-9.4e+07,1.369e+09,-1.7e+07,-1.5e+07,5e+06,-7e+06,1.352e+09,1.352e+09,-3.75e+08,9.77e+08,9.77e+08,9.77e+08,9.77e+08,5.109e+09,3.877e+09,1.232e+09,1.081e+09,1.081e+09,3.435e+09,8.43e+08,2.324e+09,9.625e+09,6.41e+08,4.368e+09,1.907e+09,8.2e+08,2.2e+07,1.619e+09,5.009e+09,1.4634e+10,3.604e+09,3.81e+08,3.223e+09,2.339e+09,2.339e+09,5.943e+09,8.98e+08,9.5e+07,8.03e+08,2.393e+09,8.336e+09,3.973e+09,-1.2713e+10,1.5543e+10,-5.36e+08,6.267e+09,3.1e+07,6.298e+09,1.4634e+10,9.77e+08,9.4e+07,2.99e+08,-9.8e+07,1.272e+09,-6.9e+07,6.07e+08,-1.69e+08,3.69e+08,-1.81e+08,-9.26e+08,7e+06,-1.1e+09,5.41e+08,5.41e+08,-2.5e+07,5.16e+08,1.463e+09,1.495e+09,1.671e+09,0.54111,0.38617,0.15513,0.06676,1.71034,1.61955,1.32359,0.10216,0.87077,0.86844,2.2549,5.58556,1.4893,0.16132,0.13324,0.19227,0.18526,-2.47027,-2.63988
"24","2016_Q1",85.0480327868852,"Down",2.517e+09,-1.41e+09,-1.317e+09,-9.3e+07,1.107e+09,-8.2e+07,-1.2e+07,5e+06,-7.5e+07,1.025e+09,1.025e+09,-1.35e+08,8.9e+08,8.9e+08,8.9e+08,8.9e+08,6.738e+09,5.747e+09,9.91e+08,1.079e+09,1.079e+09,3.167e+09,6.63e+08,2.504e+09,1.0984e+10,6.75e+08,4.591e+09,1.891e+09,8.03e+08,3.17e+08,1.58e+09,5.266e+09,1.625e+10,3.944e+09,4.72e+08,3.472e+09,2.325e+09,2.325e+09,6.269e+09,6.51e+08,7.9e+07,5.72e+08,3.919e+09,1.0188e+10,4.004e+09,-1.3522e+10,1.6222e+10,-6.76e+08,6.028e+09,3.4e+07,6.062e+09,1.625e+10,8.9e+08,9.3e+07,7.7e+07,-2e+07,1.04e+09,-5.2e+07,2.72e+08,-83000000.0000001,1.37e+08,-1.79e+08,-7.91e+08,-7e+06,7.58e+08,1.935e+09,1.935e+09,-6.5e+07,1.87e+09,1.2e+09,3.268e+09,1.263e+09,0.43981,0.3536,0.14682,0.05477,1.4191,1.75211,1.68063,0.20111,0.80252,0.80036,2.26961,5.43553,1.13886,0.16141,0.1071,0.12654,0.20112,-2.89167,-3.1346
"25","2016_Q2",92.0196875,"Up",2.446e+09,-1.098e+09,-1.003e+09,-9.5e+07,1.348e+09,-1.1e+07,-2e+07,1e+07,-1e+06,1.337e+09,1.337e+09,-3.78e+08,9.59e+08,9.59e+08,9.59e+08,9.59e+08,6.208e+09,4.894e+09,1.314e+09,1.186e+09,1.186e+09,3.212e+09,7.13e+08,2.499e+09,1.0606e+10,6.69e+08,4.63e+09,1.886e+09,7.88e+08,3.53e+08,1.603e+09,5.299e+09,1.5905e+10,3.995e+09,4.09e+08,3.586e+09,2.445e+09,2.445e+09,6.44e+09,6.21e+08,7.6e+07,5.45e+08,3.954e+09,1.0394e+10,4.009e+09,-1.4882e+10,1.6972e+10,-6.2e+08,5.479e+09,3.2e+07,5.511e+09,1.5905e+10,9.59e+08,9.5e+07,1.29e+08,-1.75e+08,1.008e+09,-3.7e+07,-2.42e+08,-1.06e+08,-3.85e+08,-2.12e+08,-1.353e+09,2e+07,-1.545e+09,-9.22e+08,-9.22e+08,6.9e+07,-8.53e+08,1.443e+09,3.333e+09,1.609e+09,0.5511,0.39207,0.17402,0.0603,1.67779,1.64689,1.88605,0.20956,0.86474,0.86241,2.20559,4.94049,1.45086,0.19116,0.12372,0.16999,0.22106,-1.99238,-2.13279
"26","2016_Q3",92.61328125,"Up",2.694e+09,-1.207e+09,-1.114e+09,-9.3e+07,1.487e+09,-1.5e+07,-2.2e+07,1e+07,-3e+06,1.472e+09,1.365e+09,-3.82e+08,9.83e+08,9.83e+08,9.83e+08,9.83e+08,6.447e+09,5.176e+09,1.271e+09,1.203e+09,1.203e+09,3.348e+09,8.65e+08,2.483e+09,1.0998e+10,6.8e+08,4.604e+09,1.834e+09,7.62e+08,3.37e+08,1.671e+09,5.284e+09,1.6282e+10,4.015e+09,4.52e+08,3.563e+09,2.447e+09,2.447e+09,6.462e+09,6.45e+08,8.3e+07,5.62e+08,3.951e+09,1.0413e+10,4.072e+09,-1.5284e+10,1.7746e+10,-6.97e+08,5.837e+09,3.2e+07,5.869e+09,1.6282e+10,9.83e+08,9.3e+07,2.2e+08,-2.37e+08,1.059e+09,-6.4e+07,8e+07,-1.26e+08,-1.1e+08,-2.09e+08,-4.5e+08,1e+07,-6.49e+08,3e+08,3e+08,-1.8e+07,2.82e+08,1.58e+09,3.306e+09,1.661e+09,0.55197,0.36488,0.16749,0.06037,1.68973,1.70195,1.77424,0.20305,0.88638,0.88399,2.42922,5.2633,1.49775,0.18846,0.12138,0.16914,0.21261,-1.98797,-2.11231
"27","2016_Q4",100.183968253968,"Up",2.88e+09,-1.21e+09,-1.117e+09,-9.3e+07,1.67e+09,-3.7e+07,-2.3e+07,1.2e+07,-2.6e+07,1.633e+09,1.633e+09,-4.49e+08,1.184e+09,1.184e+09,1.184e+09,1.184e+09,6.979e+09,5.205e+09,1.774e+09,1.298e+09,1.298e+09,3.499e+09,8.22e+08,2.677e+09,1.1776e+10,6.98e+08,4.849e+09,1.814e+09,7.47e+08,3.27e+08,1.961e+09,5.547e+09,1.7323e+10,4.367e+09,4.37e+08,3.93e+09,2.754e+09,2.754e+09,7.121e+09,6.27e+08,8.2e+07,5.45e+08,3.953e+09,1.1074e+10,4.135e+09,-1.5921e+10,1.8722e+10,-7.17e+08,6.219e+09,3e+07,6.249e+09,1.7323e+10,1.184e+09,9.3e+07,2.7e+08,-1.22e+08,1.425e+09,-5.5e+07,6.2e+07,-6.37e+08,-6.3e+08,-2.09e+08,-5.76e+08,1.1e+07,-7.74e+08,2.1e+07,2.1e+07,8e+06,2.9e+07,1.763e+09,3.326e+09,2.035e+09,0.57986,0.41111,0.18947,0.06835,1.71875,1.6537,1.77212,0.192,1.07832,1.07539,2.62295,5.66393,1.85337,0.19035,0.13654,0.19947,0.17652,-2.07204,-2.18743
"28","2017_Q1",106.292419354839,"Up",2.756e+09,-1.383e+09,-1.291e+09,-9.2e+07,1.373e+09,-5.2e+07,-3e+07,1.1e+07,-3.3e+07,1.321e+09,1.311e+09,-3.78e+08,9.33e+08,9.33e+08,9.33e+08,9.33e+08,8.335e+09,6.721e+09,1.614e+09,1.416e+09,1.416e+09,3.477e+09,8.5e+08,2.627e+09,1.3228e+10,7.33e+08,4.714e+09,1.756e+09,7.22e+08,3.07e+08,1.929e+09,5.447e+09,1.8675e+10,4.649e+09,6.09e+08,4.04e+09,2.557e+09,2.557e+09,7.206e+09,6.05e+08,8.1e+07,5.24e+08,5.785e+09,1.2991e+10,4.183e+09,-1.7021e+10,1.9418e+10,-9.24e+08,5.656e+09,2.8e+07,5.684e+09,1.8675e+10,9.33e+08,9.2e+07,3e+08,-2.31e+08,1.094e+09,-5.9e+07,2.15e+08,-1.94e+08,-38000000.0000002,-2.07e+08,-1.095e+09,5e+06,6.75e+08,1.731e+09,1.731e+09,-1.09e+08,1.622e+09,1.465e+09,5.18e+09,1.553e+09,0.49819,0.33853,0.16414,0.04996,1.66452,1.83569,2.28554,0.27738,0.84973,0.84741,2.51002,5.15118,1.41439,0.18852,0.0994,0.13541,0.22186,-2.15358,-2.29789
"29","2017_Q2",115.259841269841,"Up",2.734e+09,-1.213e+09,-1.121e+09,-9.2e+07,1.521e+09,-2.8e+07,-3.9e+07,1.5e+07,-4e+06,1.493e+09,1.478e+09,-3.97e+08,1.081e+09,1.081e+09,1.081e+09,1.081e+09,7.66e+09,6.006e+09,1.654e+09,1.553e+09,1.553e+09,3.672e+09,1.06e+09,2.612e+09,1.2885e+10,7.48e+08,4.937e+09,1.775e+09,7.02e+08,3.13e+08,2.147e+09,5.685e+09,1.857e+10,4.572e+09,6.8e+08,3.892e+09,2.523e+09,2.523e+09,7.095e+09,6.21e+08,8.3e+07,5.38e+08,5.837e+09,1.2932e+10,4.191e+09,-1.798e+10,2.0263e+10,-8.63e+08,5.611e+09,2.7e+07,5.638e+09,1.857e+10,1.081e+09,9.2e+07,2.76e+08,-7.68e+08,6.81e+08,-6.4e+07,3.55e+08,-4.14e+08,-1.23e+08,-2.38e+08,-9.43e+08,-1e+07,-1.191e+09,-6.33e+08,-6.33e+08,3.5e+07,-5.98e+08,1.613e+09,5.216e+09,1.178e+09,0.55633,0.39539,0.19173,0.05821,1.08973,1.81607,2.29372,0.28088,1.00278,0.99908,2.53618,5.20501,1.09276,0.22078,0.11495,0.10266,0.22017,-1.51519,-1.60684
"30","2017_Q3",128.812063492063,"Up",3.053e+09,-1.4e+09,-1.289e+09,-1.11e+08,1.653e+09,-2.5e+07,-3.9e+07,1.4e+07,3.72529029846191e-09,1.628e+09,1.628e+09,-4.51e+08,1.177e+09,1.177e+09,1.177e+09,1.177e+09,6.959e+09,5.177e+09,1.782e+09,1.708e+09,1.708e+09,3.875e+09,1.067e+09,2.808e+09,1.2542e+10,8.45e+08,6.452e+09,2.759e+09,1.126e+09,3.75e+08,2.192e+09,7.297e+09,1.9839e+10,4.696e+09,6.54e+08,4.042e+09,2.887e+09,2.887e+09,7.583e+09,9.82e+08,1.4e+08,8.42e+08,6.308e+09,1.3891e+10,4.257e+09,-1.8911e+10,2.1205e+10,-6.99e+08,5.852e+09,9.6e+07,5.948e+09,1.9839e+10,1.177e+09,1.11e+08,2.74e+08,-2.37e+08,1.325e+09,-5e+07,1.37e+08,-2.58e+08,-1.122e+09,-2.36e+08,-9.14e+08,-1e+06,-1.215e+09,-1.012e+09,-1.012e+09,8.8e+07,-9.24e+08,1.764e+09,5.326e+09,1.928e+09,0.54143,0.38552,0.19788,0.05933,1.63806,1.65396,2.33541,0.26846,1.1,1.09488,2.85327,5.46916,1.80187,0.22056,0.11529,0.15731,0.20051,-0.92574,-0.9879
