"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"17","2014_Q4",28.3575,"Up",14000,-25009000,-8056000,-16953000,-24995000,209000,209000,-24786000,-24786000,-24786000,-24786000,-24786000,-24786000,337799000,36369000,301430000,3266000,2127000,341065000,520000,178000,178000,698000,341763000,11238000,1110000,10128000,11253000,21000,21000,21000,11274000,800189000,-469777000,77000,330489000,330489000,341763000,-24786000,60000,4257000,2985000,-17484000,-80000,38953000,38873000,1282000,1282000,1282000,22671000,22671000,22671000,-24935000,0,-1785.35714,-1770.42857,-0.075,-0.07252,30.30881,0.03411,0,-0.24899,-0.24899,0.00014,3.31996,-0.07499,13.54718,13.51466
"18","2015_Q1",34.3727868852459,"Up",48000,-28602000,-10420000,-18182000,-28554000,188000,188000,-28366000,-28366000,-28366000,-28366000,-28366000,-28366000,322486000,61854000,260632000,2132000,1168000,324618000,553000,287000,287000,840000,325458000,15834000,2016000,13818000,15834000,135000,135000,135000,15969000,807641000,-498143000,-9000,309489000,309489000,325458000,-28366000,61000,4784000,5720000,-17801000,-94000,40570000,40476000,2807000,2807000,2807000.00000001,25482000,25482000,25485000,-28493000,6.93889390390723e-18,-594.875,-590.95833,-0.09165,-0.08716,20.50133,0.0516,0,-0.29135,-0.29135,0.00049,3.17875,-0.09161,11.31808,11.2939
"19","2015_Q2",38.7042857142857,"Up",4000,-40556000,-24261000,-16295000,-40552000,177000,177000,-40375000,-40375000,-40375000,-40375000,-40375000,-40375000,297893000,76424000,221469000,2006000,1260000,299899000,1786000,278000,278000,2064000,301963000,16651000,2518000,14133000,16651000,218000,218000,218000,16869000,823608000,-538518000,4000,285094000,285094000,301963000,-40375000,122000,14239000,668000,-25346000,-988000,39461000,38473000,1439000,1439000,1439000,14566000,14566000,14570000,-40430000,0,-10138,-10093.75,-0.14162,-0.13371,18.01087,0.05917,0,-0.40296,-0.40296,4e-05,2.84533,-0.14151,7.36812,7.34595
"20","2015_Q3",41.60671875,"Up",1000,-39498000,-21119000,-18379000,-39497000,119000,119000,-39378000,-39378000,-39378000,-39378000,-39378000,-39378000,270777000,93212000,177565000,2616000,1108000,273393000,1813000,333000,333000,2146000,275539000,19378000,2916000,16462000,19378000,340000,340000,340000,19718000,833706000,-577896000,11000,255821000,255821000,275539000,-39378000,280000,6673000,2551000,-29874000,-674000,44738000,44064000,2599000,2599000,2599000,16789000,16789000,16788000,-39217000,-4.33680868994202e-19,-39497,-39378,-0.15393,-0.14291,14.10842,0.07708,0,-0.39241,-0.39241,9.99999999999998e-06,2.54931,-0.15372,6.90458,6.85563
"21","2015_Q4",35.2325,"Down",39000,-39037000,-20308000,-18729000,-38998000,92000,92000,-38906000,-38906000,-38906000,-38906000,-38906000,-38906000,240691000,70799000,169892000,2156000,1950000,242847000,2068000,405000,405000,2473000,245320000,17735000,2204000,15531000,17735000,239000,239000,239000,17974000,844103000,-616802000,45000,227346000,227346000,245320000,-38906000,117000,8478000,-1542000,-31853000,-186000,8494000,8308000,1132000,1132000,1132000,-22413000,-22413000,-22413000,-38881000,0,-999.94872,-997.58974,-0.17113,-0.15859,13.69309,0.07906,0,-0.38614,-0.38614,0.00039,2.2564,-0.17095,6.19045,6.17188
"22","2016_Q1",21.8380327868852,"Down",17000,-45582000,-22616000,-20466000,-45565000,111000,111000,-45454000,-45454000,-45784000,-45784000,-45784000,-45784000,215132000,102138000,112994000,3857000,2219000,218989000,2203000,704000,704000,2907000,221896000,21902000,1672000,20230000,21902000,232000,232000,232000,22134000,862337000,-662586000,11000,199762000,199762000,221896000,-45784000,128000,8497000,2437000,-34722000,-293000,57018000,56725000,9377000,9377000,9332000,31335000,31335000,31339000,-45437000,0,-2680.29412000001,-2693.17647,-0.22919,-0.20633,9.99858,0.1108,0,-0.45233,-0.45233,0.00017,1.97358,-0.22893,4.73473,4.72143
"23","2016_Q2",33.4653125,"Up",4000,-50266000,-27491000,-22775000,-50262000,5e+05,5e+05,-49762000,-49762000,-49762000,-49762000,-49762000,-49762000,457243000,175220000,282023000,5109000,4326000,462352000,2623000,1615000,1615000,4238000,466590000,21122000,1307000,19815000,21122000,217000,217000,217000,21339000,1157283000,-712348000,316000,445251000,445251000,466590000,-49762000,138000,11726000,-3314000,-41212000,-207000,-168489000,-168696000,282991000,282991000,282991000,73083000,73083000,73082000,-50124000,0,-12565.5,-12440.5,-0.11176,-0.10665,21.88959,0.04793,0,-0.44691,-0.44691,4e-05,3.99881,-0.11171,9.12224,9.09719
"24","2016_Q3",33.90453125,"Up",97000,-71494000,-50768000,-20478000,-71923000,601000,601000,-71322000,-71322000,-71322000,-71322000,-71322000,-71322000,412555000,131774000,280781000,8182000,6842000,423897000,2897000,11240000,3486000,14137000,438034000,28509000,1024000,27485000,29022000,197000,197000,197000,29219000,1192279000,-783670000,206000,408815000,408815000,438034000,-71322000,450000,13894000,233000,-56745000,-8580000,1120000,-7460000,6438000,6438000,20758000,-43447000,-43447000,-43446000,-71473000,0,-741.474230000002,-735.278350000002,-0.17446,-0.16282,14.60606,0.07147,0,-0.62945,-0.62945,0.000859999999999999,3.608,-0.17438,5.77218,5.73606
"25","2016_Q4",26.4561904761905,"Down",5268000,-76822000,-50534000,-25813000,-72399000,786000,786000,-71613000,-71613000,-71613000,-71613000,-71613000,-71613000,588859000,153679000,435180000,6491000,5106000,603490000,3159000,10735000,3350000,13894000,617384000,37273000,2828000,34445000,39149000,177000,177000,177000,39326000,1432808000,-855283000,533000,578058000,578058000,617384000,-71613000,610000,14377000,7364000,-49262000,-470000,-154438000,-154908000,226077000,226077000,226077000,21907000,21907000,21905000,-71789000,0,-13.74317,-13.59396,-0.12389,-0.11599,15.41521,0.06803,0,-0.60949,-0.60949,0.04484,4.91977,-0.12385,8.20264,8.13352
"26","2017_Q1",35.2990322580645,"Up",11962000,-88489000,-57663000,-30218000,-78231000,876000,876000,-77355000,-77355000,-78696000,-78696000,-78696000,-78696000,529036000,163620000,365416000,8783000,7546000,547897000,3081000,10175000,3160000,13256000,561153000,39941000,3912000,36029000,42585000,157000,157000,157000,42742000,1452284000,-933979000,106000,518411000,518411000,561153000,-78696000,630000,14766000,2111000,-61189000,-249000,69389000,69140000,3390000,3390000,3985999.99999994,11937000,11937000,11941000,-77601000,-4.2351647362715e-22,-6.5399600000001,-6.57882999999977,-0.1518,-0.14024,12.86596,0.08245,6.3108872417681e-30,-0.64887,-0.64887,0.09863,4.27446,-0.15176,6.81739,6.76249
"27","2017_Q2",29.801746031746,"Down",15286000,-101744000,-65660000,-35409000,-88721000,963000,963000,-87758000,-87758000,-87843000,-87843000,-87843000,-87843000,469481000,157383000,312098000,8731000,6872000,489753000,3471000,9789000,3143000,13260000,503013000,41133000,2166000,38967000,45265000,224000,224000,224000,45489000,1479542000,-1022112000,94000,457524000,457524000,503013000,-87843000,639000,15458000,1185000,-70561000,-485000,53420000,52935000,11490000,11490000,11490000,-6136000,-6136000,-6137000,-88082000,0,-5.80407,-5.74663,-0.192,-0.17463,10.81968,0.09942,0,-0.72209,-0.72209,0.12565,3.76096,-0.1919,5.33004,5.29166
"28","2017_Q3",32.5320634920635,"Up",30475000,-96287000,-61125000,-34180000,-68036000,993000,993000,-67043000,-67043000,-67441000,-67441000,-67441000,-67441000,417320000,143789000,273531000,8828000,8044000,443745000,3296000,9274000,2997000,12570000,456315000,40913000,3588000,37325000,40913000,262000,262000,262000,41175000,1504790000,-1089553000,-97000,415140000,415140000,456315000,-67441000,676000,18060000,-10195000,-58900000,-264000,38563000,38299000,7009999.99999999,7009999.99999999,7009999.99999999,-13591000,-13591000,-13594000,-67360000,-2.64697796016969e-23,-2.23252,-2.21299000000001,-0.16245,-0.14779,10.84606,0.09918,-3.94430452610506e-31,-0.55224,-0.55224,0.24955,3.39939,-0.16235,6.19537,6.13381
"29","2017_Q4",31.978253968254,"Down",35578000,-99087000,-61588000,-36421000,-65644000,1063000,1063000,-64581000,-64581000,-65248000,-65248000,-65248000,-65248000,366625000,112616000,254009000,15590000,14557000,401972000,2991000,8751000,2844000,11742000,413714000,36143000,2962000,33181000,36143000,245000,245000,245000,36388000,1532200000,-1154801000,-73000,377326000,377326000,413714000,-65248000,697000,19857000,-13707000,-58401000,-56000,19388000,19332000,7897000,7897000,7897000,-31172000,-31172000,-31173000,-64947000,0,-1.84507,-1.83394,-0.17292,-0.15771,11.12171,0.09644,0,-0.53271,-0.53271,0.29047,3.08061,-0.17281,5.64499,5.58505
"30","2018_Q1",27.6859016393443,"Down",43562000,-111116000,-66689000,-43179000,-70009000,1107000,1107000,-68902000,-68902000,-68871000,-68871000,-68871000,-68871000,341342000,69418000,271924000,9544000,8457000,373477000,2662000,8367000,2829000,11029000,384506000,49030000,8786000,40244000,49030000,191000,191000,191000,49221000,1559355000,-1223671000,-399000,335285000,335285000,384506000,-68871000,701000,21870000,16405000,-29895000,-7000,-18086000,-18093000,4791000,4791000,4791000,-43197000,-43197000,-43198000,-69308000,8.27180612553028e-25,-1.60711,-1.58099,-0.20541,-0.17912,7.61732,0.1468,2.46519032881566e-32,-0.55477,-0.55477,0.3509,2.7008,-0.20529,4.925,4.87569
"31","2018_Q2",17.83046875,"Down",48868000,-101534000,-60926000,-39276000,-54819000,1170000,1170000,-53649000,-53649000,-54296000,-54296000,-54296000,-54296000,298063000,116328000,181735000,13923000,13020000,340014000,2709000,8317000,3148000,11026000,351040000,46089000,2996000,43093000,46089000,782000,782000,782000,46871000,1582835000,-1277967000,-699000,304169000,304169000,351040000,-54296000,761000,20276000,-11977000,-45236000,-448000,90066000,89618000,2880000,2880000,2880000,47262000,47262000,47260000,-54058000,0,-1.12178,-1.11107,-0.17851,-0.15467,7.37734,0.1541,0,-0.43532,-0.43532,0.3918,2.43868,-0.17805,5.51376,5.43722
"32","2018_Q3",15.7333333333333,"Down",57063000,-117580000,-69472000,-46592000,-64079000,1032000,1279000,-63047000,-63047000,-63266000,-63266000,-63266000,-63266000,256855000,74182000,182673000,13808000,12822000,301096000,2760000,11104000,6304000,13864000,314960000,49214000,3333000,45881000,49214000,1026000,1026000,1026000,50240000,1606453000,-1341233000,-5e+05,264720000,264720000,314960000,-63266000,711000,20756000,923999.999999993,-40875000,-115000,-3826999.99999999,-3942000,2953000,2953000,2953000,-41864000,-41864000,-41860000,-63368000,0,-1.12295,-1.1087,-0.23899,-0.20087,6.1181,0.18979,0,-0.50649,-0.50649,0.45683,2.11929,-0.23807,4.05339,4.00841
"33","2018_Q4",19.4180952380952,"Up",58305000,-115737000,-61089000,-53112000,-61271000,-491000,1229000,-61762000,-61762000,-62138000,-62138000,-62138000,-62138000,214136000,63897000,150239000,15675000,14951000,254116000,3372000,8968000,4537000,12340000,266456000,41807000,2955000,38852000,41807000,1209000,1209000,1209000,43016000,1627125000,-1403371000,-314000,223440000,223440000,266456000,-62138000,751000,21710000,-2603000,-42280000,-1010000,32794000,31784000,211000,211000,211000,-10285000,-10285000,-10285000,-60520000,0,-1.05087,-1.06574,-0.2781,-0.2332,6.07831,0.19252,0,-0.49707,-0.49707,0.46641,1.78739,-0.2766,3.53827,3.4949
"34","2019_Q1",23.3537704918033,"Up",59571000,-124023000,-74271000,-48183000,-67275000,1797000,1670000,-65478000,-65478000,-65492000,-65492000,-65492000,-65492000,473520000,134758000,338762000,22426000,20727000,526106000,3309000,10787000,6725000,14096000,540202000,59565000,3167000,56398000,59565000,1558000,1558000,1558000,61123000,1948314000,-1468863000,-372000,479079000,479079000,540202000,-65492000,782000,20172000,5459000,-39079000,-531000,-188418000,-188949000,300603000,300603000,300603000,72575000,72575000,72576000,-66493000,-6.46234853557053e-27,-1.12932,-1.09939,-0.1367,-0.12124,8.83247,0.12758,0,-0.49733,-0.49733,0.45237,3.63804,-0.13626,7.12135,7.03857
"35","2019_Q2",25.5447619047619,"Up",62959000,-147643000,-93090000,-52923000,-87634000,2705000,2934000,-84929000,-84929000,-85304000,-85304000,-85304000,-85304000,414324000,97557000,316767000,27554000,23742000,476406000,3737000,20962000,17270000,24699000,501105000,74983000,3275000,71708000,74983000,7766000,7766000,7766000,82749000,1972316000,-1554167000,207000,418356000,418356000,501105000,-85304000,785000,19106000,1238000,-64175000,-822000,23580000,22758000,4176000,4176000,4176000,-37241000,-37241000,-37240000,-86849000,0,-1.39192,-1.35491,-0.2039,-0.17023,6.35352,0.1978,0,-0.59247,-0.59247,0.43727,2.90563,-0.20019,4.77062,4.72789
"36","2019_Q3",30.3228125,"Up",83205000,-137338000,-67981000,-67320000,-57091000,2515000,2527000,-54576000,-54576000,-54941000,-54941000,-54941000,-54941000,381887000,74432000,307455000,19448000,18507000,436940000,3427000,20516000,17193000,23943000,460883000,63814000,4650000,59164000,63814000,8155000,8155000,8155000,71969000,1997468000,-1609108000,554000,388914000,388914000,460883000,-54941000,695000,19445000,-3596000,-38397000,-20000,10647000,10627000,4646000,4646000,4646000.00000006,-23124000,-23124000,-23125000,-56396000,-4.03896783473158e-28,-0.68615,-0.66031,-0.14127,-0.11921,6.84709,0.18505,-1.20370621524202e-35,-0.3807,-0.3807,0.57655,2.6949,-0.13837,6.77153,6.68909
"37","2019_Q4",43.50359375,"Up",94586000,-137591000,-72696000,-62622000,-45421000,3179000,2432000,-42242000,-42242000,-41978000,-41978000,-41978000,-41978000,683847000,385474000,298373000,22833000,21368000,742330000,3249000,20007000,17053000,23256000,765586000,67744000,3444000,64300000,67744000,8553000,8553000,8553000,76297000,2339955000,-1651086000,420000,689289000,689289000,765586000,-41978000,651000,20393000,2083000,-18851000,-79999.9999999998,10003000,9923000,319967000,319967000,319967000,311039000,311039000,311042000,-44770000,0,-0.48021,-0.44381,-0.0609,-0.05483,10.95787,0.11069,0,-0.28766,-0.28766,0.64817,4.72352,-0.06015,15.27467,15.05575
"38","2020_Q1",41.2035483870968,"Down",98326000,-151705000,-91871000,-57520000,-56399000,3763000,3272000,-52636000,-52636000,-53036000,-53036000,-53036000,-53036000,697429000,189680000,507749000,20699000,18606000,760250000,3180000,19753000,17168000,22933000,783183000,74826000,7222000,67604000,74826000,9222000,9222000,9222000,84048000,2402960000,-1704122000,297000,699135000,699135000,783183000,-53036000,635000,18714000,3980000,-29707000,-207000,-208937000,-209144000,43057999.9999999,43057999.9999999,43058000,-195793000,-195793000,-195794000,-55764000,0,-0.57359,-0.53939,-0.07586,-0.06772,10.16024,0.12022,0,-0.34311,-0.34311,0.63611,4.52301,-0.07487,12.5068,12.36598
