"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",82.1132258064516,"Down",202311000,-68879000,133432000,-64939000,-64939000,68493000,483000,483000,68976000,68976000,-20996000,47980000,47980000,47980000,47980000,242096000,228530000,66568000,66568000,20031000,328695000,77173000,288651000,38298000,221757000,6252000,365824000,694519000,76289000,28416000,13893000,33980000,29901000,29901000,106190000,27943000,2536000,25407000,27943000,134133000,126178000,455000,125723000,-60558999.9999999,524903000,-30136000,560386000,560386000,694519000,47980000,8354000,-3377000,23480000,76437000,-6219000,0,-6219000,-12001000,-13684000,5468000,-20217000,50001000,50001000,-6469000,43532000,76847000,0,115104000,0.65954,0.33855,0.23716,0.08562,0.06908,2.399,3.09535,0.23936,-3.30872245021211e-24,1.0712,1.04906,4.51678,12.51113,2.5698,0.26793,0.10195,0.19565,0.25013,-3.15036,-3.53461
"12","2013_Q1",84.3175,"Up",207663000,-72294000,135369000,-64742000,-64742000,70627000,459000,459000,71086000,71086000,-22547000,48539000,48539000,48539000,48539000,202963000,189044000,74251000,74251000,21911000,299125000,76530000,318488000,43371000,245791000,6213000,395018000,694143000,82681000,27680000,13727000,41274000,30495000,30495000,113176000,28703000,2593000,26110000,28703000,141879000,138025000,456000,137569000,-122749000,559714000,-22726000,552264000,552264000,694143000,48539000,8733000,3580000,-3783000.00000001,57069000,-5657000,-1.39698386192322e-09,-26986000,-13800000,-60258000,718000,-73340000,-43257000,-43257000,3771000,-39486000,79360000,0,92467000,0.65187,0.3401,0.23374,0.08789,0.06993,1.905,2.64301,0.2569,0,1.09426,1.06226,4.68152,12.45016,2.08456,0.31111,0.1073,0.15916,0.28431,-2.5575,-2.87373
"13","2013_Q2",86.34,"Up",211085000,-73586000,137499000,-66414000,-66414000,71085000,428000,428000,71513000,71513000,-21744000,49769000,49769000,49769000,49769000,225239000,210712000,78895000,78895000,15912000,320046000,75521000,316289000,41854000,246734000,5637000,391810000,711856000,64440000,28538000,13746000,14934000,30893000,30893000,95333000,30010000,2582000,27428000,30010000,125343000,160132000,460000,159672000,-150990000,595736000,-18365000,586513000,586513000,711856000,49769000,8917000,2935000,-10985000,50636000,-6097000,-7795000,-6392000,-13631000,-15139000,4032000,-24738000,19506000,19506000,2162000,21668000,80002000,0,84664000,0.65139,0.33676,0.23578,0.08486,0.06991,1.70114,3.35714,0.21371,0,1.12305,1.10637,4.76318,13.23479,1.91046,0.30759,0.10283,0.13732,0.27389,-2.81542,-3.16859
"14","2013_Q3",97.47578125,"Up",213082000,-75841000,137241000,-81078000,-81078000,56163000,357000,357000,56520000,56520000,-11982000,44538000,44538000,44538000,44538000,166141000,151314000,85763000,85763000,32657000,284561000,71083000,314334000,39145000,243638000,4706000,385417000,669978000,62414000,29699000,13510000,19205000,32399000,32399000,94813000,27985000,2501000,25484000,27985000,122798000,205185000,464000,204721000,-261759000,626766000,-23012000,547180000,547180000,669978000,44538000,9093000,11172000,-18401000,46402000,-2987000,-303000,-3995000,-13649000,-92565000,5838000,-100376000,-57969000,-57969000,-1429000,-59398000,65256000,1.13686837721616e-13,55850000,0.64408,0.26357,0.20902,0.0814,0.06648,1.25399,3.00129,0.22442,0,1.01655,1.00187,4.86344,12.48899,1.27474,0.31153,0.10117,0.0971,0.30646,-2.54599,-2.95819
"15","2013_Q4",100.5275,"Up",214612000,-76721000,137891000,-66254000,-66254000,71637000,361000,361000,71998000,71998000,-18631000,53367000,53367000,53367000,53367000,257418000,242839000,69143000,69143000,33527000,360088000,67707000,307535000,37371000,243080000,4226000,375242000,735330000,71824000,26892000,15413000,29519000,33322000,33322000,105146000,26895000,2431000,24464000,26895000,132041000,275424000,474000,274950000,-310815000,664719000,-26039000,603289000,603289000,735330000,53367000,8931000,4866000,29425000,96589000,-4204000,-308000,-4512000,-13413000,10649000,4988000,2224000,94301000,94301000,-2776000,91525000,80568000,0,124420000,0.64251,0.3338,0.24867,0.08846,0.07258,2.3314,3.42465,0.21887,4.2351647362715e-22,1.21416,1.19966,4.88265,13.72546,2.83069,0.30516,0.10597,0.19743,0.25134,-3.19504,-3.59337
"16","2014_Q1",96.0795081967213,"Down",219333000,-80231000,139102000,-68568000,-68568000,70534000,345000,345000,70879000,70879000,-19916000,50963000,50963000,50963000,50963000,209352000,196627000,73290000,73290000,35392000,318034000,65371000,306792000,36223000,244573000,3973000,372163000,690197000,88934000,29864000,15164000,40137000,29319000,29319000,118253000,30165000,2396000,27769000,30165000,148418000,327350000,481000,326869000,-454917000,700519000,-31173000,541779000,541779000,690197000,50963000,8838000,-1098000,17479000,76182000,-5229000,-7207000,-5513000,-15309000,-110576000,10367000,-115518000,-44849000,-44849000,-1363000,-46212000,79372000,9.09494701772928e-13,111538000,0.6342,0.32158,0.23235,0.09407,0.07384,2.18861,2.68944,0.27395,0,1.17218,1.14339,5.04481,12.46128,2.56545,0.35212,0.11587,0.19502,0.30039,-2.63761,-2.9681
"17","2014_Q2",98.9703174603175,"Up",222975000,-83250000,139725000,-64985000,-64985000,74740000,341000,341000,75081000,75081000,-22903000,52178000,52178000,52178000,52178000,187777000,174021000,76348000,76348000,16844000,280969000,64284000,325905000,40216000,259345000,3862000,390189000,671158000,67556000,29711000,15046000,17687000,30157000,30157000,97713000,26823000,2399000,24424000,26823000,124536000,344076000,483000,343593000,-514979000,737651000,-20126000,546622000,546622000,671158000,52178000,8763000,2270000,-5072000,58139000,-5438000,-7172000,-21027000,-15064000,-50578000,2144000,-63498000,-26386000,-26386000,3780000,-22606000,83503000,0,95896000,0.62664,0.33519,0.23401,0.09546,0.07774,1.83786,2.87545,0.22783,-1.35525271560688e-20,1.20967,1.19201,5.16936,12.67265,2.22321,0.34924,0.11726,0.16723,0.2887,-2.24875,-2.5124
"18","2014_Q3",112.99171875,"Up",226934000,-87254000,139680000,-64625000,-64625000,75055000,344000,344000,75399000,75399000,-22973000,52426000,52426000,52426000,52426000,102975000,88790000,97564000,97564000,31497000,232036000,60627000,361302000,47390000,287545000,4496000,421929000,653965000,73873000,27821000,14827000,24649000,35417000,35417000,109290000,27021000,2723000,24298000,27021000,136311000,359738000,485000,359253000,-601101000,775251000,-16234000,517654000,517654000,653965000,52426000,8679000,2141000,-22658000,40588000,-2594000,-315000,-34791000,-14947000,-78725000,2840000,-90832000,-85035000,-85035000,-196000,-85231000,83734000,-1.45519152283669e-11,81455000,0.61551,0.33073,0.23102,0.10128,0.08017,1.55371,2.12312,0.26332,0,1.23219,1.21618,5.33373,12.16664,1.91447,0.35131,0.12369,0.14955,0.28511,-1.22979,-1.37199
"19","2014_Q4",121.84453125,"Up",231762000,-90661000,141101000,-68063000,-68063000,73038000,333000,333000,73371000,73371000,-21839000,51532000,51532000,51532000,51532000,134075000,118858000,86069000,86069000,19959000,240103000,58045000,361488000,44603000,287287000,6011000,419533000,659636000,81539000,27295000,16386000,33290000,37658000,37658000,119197000,25171000,3092000,22079000,25171000,144368000,378292000,487000,377805000,-660071000,810396000,-13349000,515268000,515268000,659636000,51532000,8410000,4099000,30954000,94995000,-3672000,-331000,-3706000,-14725000,-49052000,1831000,-61946000,29343000,29343000,725000,30068000,81448000,0,130569000,0.60882,0.31514,0.22235,0.10001,0.07812,2.53375,2.01434,0.28018,0,1.22212,1.20925,5.49642,12.21999,3.09655,0.34922,0.1226,0.2416,0.28574,-1.64614,-1.83569
"20","2015_Q1",137.917704918033,"Up",238664000,-92521000,146143000,-66757000,-66757000,79386000,227000,227000,79613000,79613000,-24206000,55407000,55407000,55407000,55407000,136386000,116378000,90354000,90354000,23035000,249775000,57641000,355796000,41855000,285608000,5956000,413437000,663212000,90787000,26971000,16299000,42481000,36504000,36504000,127291000,24839000,2921000,21918000,24839000,152130000,414245000,491000,413754000,-734746000,849504000,-17921000,511082000,511082000,663212000,55407000,8583000,1336000,5975000,71301000,-6039000,-12597000,-11184000,-16271000,-49322000,5140000,-60453000,-336000,-336000,-2144000,-2479999.99999999,87969000,-2.3283064365387e-10,112111000,0.61234,0.33263,0.23215,0.10841,0.08354,2.02341,1.96224,0.29766,0,1.32246,1.30723,5.69645,12.19853,2.67587,0.38836,0.13375,0.20919,0.29366,-1.55039,-1.71801
"21","2015_Q2",149.881428571429,"Up",242676000,-97543000,145133000,-64873000,-64873000,80260000,430000,430000,80690000,80690000,-24830000,55860000,55860000,55860000,55860000,139962000,115235000,88453000,88453000,17317000,245732000,55908000,344839000,38075000,279421000,5629000,400747000,646479000,85828000,30996000,16216000,18989000,34529000,34529000,120357000,24489000,2743000,21746000,24489000,144846000,429358000,493000,428865000,-785286000,889149000,-31588000,501633000,501633000,646479000,55860000,8216000,3184000,3908000,71168000,-4814000,-12437000,-9716000,-16184000,-43158000,2458000,-56884000,4568000,4568000,-5711000,-1143000,88476000,0,112400000,0.59805,0.33073,0.23018,0.11136,0.08641,2.01217,2.04169,0.28875,-1.73472347597681e-18,1.34011,1.31932,5.82194,12.03447,2.69654,0.38826,0.13693,0.21364,0.28972,-1.58192,-1.74386
"22","2015_Q3",151.32640625,"Up",247792000,-99516000,148276000,-67628000,-67628000,80648000,534000,534000,81182000,81182000,-19584000,61598000,61598000,61598000,61598000,147405000,122070000,100038000,100038000,34482000,281925000,56693000,370954000,43313000,305893000,4966000,427647000,709572000,80073000,30290000,16234000,28959000,40577000,40577000,120650000,24838000,3144000,21694000,59838000,180488000,472302000,497000,471805000,-838972000,934510000,-38756000,529084000,529084000,709572000,61598000,8006000,-1197000,-18835000,49572000,-6950000,0,-37083000,-16102000,-28766000,9253000,-615000.000000007,11874000,11874000,-5039000,6835000,88654000,3.5e+07,82453000,0.59839,0.32547,0.24859,0.11642,0.08681,1.33857,2.33672,0.34113,0.04933,1.47965,1.45601,5.95225,12.7092,1.98061,0.38679,0.13194,0.14001,0.2614,-1.26791,-1.39377
"23","2015_Q4",155.723125,"Up",254522000,-100686000,153836000,-68479000,-68479000,85357000,481000,481000,85838000,85838000,-24429000,61409000,61409000,61409000,61409000,182915000,157895000,91860000,91860000,29439000,304214000,54458000,369404000,41561000,307231000,4081000,423862000,728076000,89458000,31445000,18274000,36780000,44323000,44323000,133781000,26920000,2782000,24138000,61920000,195701000,508903000,501000,508402000,-910210000,977645000,-43963000,532375000,532375000,728076000,61409000,8007000,-5777000,38463000,102102000,-3627000,0,-7050000,-16118000,-53780000,12183000,-57715000,37337000,37337000,-1512000,35825000,93364000,3.5e+07,152629000,0.60441,0.33536,0.24127,0.11535,0.08434,2.48545,2.27397,0.3676,0.04807,1.47518,1.45185,6.1142,12.78887,3.6665,0.38719,0.13045,0.25682,0.26247,-1.58428,-1.7329
"24","2016_Q1",138.729344262295,"Down",261778000,-107594000,154184000,-68531000,-68531000,85653000,391000,391000,86044000,86044000,-23860000,62184000,62184000,62184000,62184000,182411000,158914000,95064000,95064000,26699000,304174000,59264000,373233000,40052000,308287000,4295000,432497000,736671000,100730000,33880000,18179000,44916000,38488000,38488000,139218000,30869000,2259000,28610000,65869000,205087000,542858000,503000,542355000,-988873000,1021651000,-44052000,531584000,531584000,736671000,62184000,7120000,210000,14086000,83600000,-10291000,-11827000,-11028000,-18147000,-58987000,5022000,-72112000,460000.000000007,460000.000000007,559000,1019000,92773000,3.5e+07,120428000,0.58899,0.3272,0.23754,0.11698,0.08441,1.93664,2.18488,0.3858,0.04751,1.50395,1.48068,6.33125,12.85665,2.91262,0.4389,0.13446,0.20157,0.29183,-1.58894,-1.72103
"25","2016_Q2",144.2178125,"Up",270504000,-114736000,155768000,-68460000,-68460000,87308000,93000,93000,87401000,87401000,-27436000,59965000,59965000,59965000,59965000,203293000,180148000,98630000,98630000,18925000,320848000,69717000,627122000,111934000,498636000,4923000,696839000,1017687000,87423000,36525000,18208000,22379000,40801000,40801000,128224000,31694000,1990000,29704000,331694000,459918000,578428000,507000,577921000,-1033211000,1063406000,-50854000,557769000,557769000,1017687000,59965000,8437000,-233000,2918000,71087000,-14385000,-12131000,-278180000,-18053000,-24314000,9071000,231704000,24611000,24611000,-3377000,21234000,95745000,3e+08,111714000,0.57584,0.32276,0.22168,0.10751,0.05892,1.86299,2.50225,0.82457,0.29479,1.44888,1.4256,6.53597,13.47691,2.69925,0.4362,0.08771,0.1256,0.30106,1.01005,1.10765
"26","2016_Q3",161.23484375,"Up",281796000,-123911000,157885000,-72541000,-72541000,85344000,-424000.000000001,-424000.000000001,84920000,84920000,-17158000,67762000,67762000,67762000,67762000,198101000,175170000,105928000,105928000,23312000,327341000,75667000,618697000,106753000,489340000,4860000,694364000,1021705000,95678000,39210000,18044000,35079000,44038000,44038000,139716000,40931000,1790000,39141000,340931000,480647000,595537000,507000,595030000,-1104567000,1113126000,-63038000,541058000,541058000,1021705000,67762000,9823000,5188000,10366000,93139000,-12053000,-399000,-12452000,-18079000,-64533000,1721000,-80890999.9999999,-204000,-204000,-4774000,-4978000,95167000,3e+08,110638000,0.56028,0.30286,0.24046,0.12524,0.06632,1.63274,2.3429,0.88835,0.29363,1.64803,1.6314,6.85352,13.15899,2.69081,0.4397,0.09733,0.12544,0.2668,1.07074,1.19398
"27","2016_Q4",149.653015873016,"Down",287501000,-124602000,162899000,-73609000,-73609000,89290000,-434000,-434000,88856000,88856000,-22075000,66781000,66781000,66781000,66781000,211156000,187436000,104666000,104666000,67197000,383019000,78082000,577874000,97978000,460393000,5246000,655956000,1038975000,106087000,38033000,20328000,43393000,48186000,34076000,154273000,41045000,1968000,39077000,341045000,495318000,617463000,509000,616954000,-1181695000,1159579000,-51690000,543657000,543657000,1038975000,66781000,9962000,7168000,12967000,96878000,-8233000,-404000,-8637000,-17910000,-65131000,2523000,-80518000,7723000,7723000,4543000,12266000,99252000,3e+08,126061000,0.5666,0.31057,0.23228,0.12284,0.06428,1.88768,2.48274,0.91109,0.28875,1.63763,1.62133,7.05022,13.33179,3.09132,0.4392,0.09573,0.14249,0.26819,0.89514,0.99501
"28","2017_Q1",164.566129032258,"Up",287291000,-124160000,163131000,-75397000,-75397000,87734000,112082000,112082000,199816000,199816000,-55509000,144307000,144307000,144307000,144307000,252624000,228407000,97797000,97797000,18855000,369276000,84622000,565263000,93161000,452915000,5781000,649885000,1019161000,124672000,45836000,20019000,51036000,33247000,33247000,157919000,43861000,1999000,41862000,343861000,501780000,623707000,512000,623195000,-1321700000,1283927000,-68553000,517381000,517381000,1019161000,144307000,9830000,-108452000,24351000,70036000,-13069000,-5203000,140861000,-20176000,-145999000,4878000,-161297000,49600000,49600000,-8629000,40971000,97564000,3e+08,164355000,0.56782,0.30538,0.5023,0.27892,0.14159,1.13893,2.33839,0.96985,0.29436,3.58643,3.54807,7.13997,12.85834,4.08467,0.50143,0.19098,0.19083,0.13981,0.48559,0.54
