"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"19","2017_Q1",26.798064516129,"Up",62374000,-42306000,-29054000,-13252000,16296000,-554000,-539000,15742000,15552000,14319000,14319000,14319000,14319000,90121000,66398000,23723000,2955000,2955000,151404000,4344000,78410000,36350000,331000,158164000,309568000,77432000,69370000,3310000,80742000,32906000,31291000,37071000,117813000,276177000,-84288000,-134000,191755000,191755000,309568000,14319000,671000,2022000,7926000,24938000,-301000,-301000,-301000,-6744000,-13642000,797000,797000,797000,12093000,12093000,12093000,16967000,4165000,0.26126,0.22957,0.07467,0.04625,1.87516,0.61439,0.01345,0.28809,0.27542,1.25491,3.85795,0.06258,-5.06607,-5.27467
"20","2017_Q2",35.591746031746,"Up",57576000,-37839000,-28238000,-9601000,16788000,-518000,-518000,16270000,16223000,10297000,10297000,10297000,10297000,87132000,59599000,27533000,4573000,4573000,149757000,4342000,78994000,29450000,11681000,172499000,322256000,77071000,70340000,4932000,82003000,30879000,29491000,34189000,116192000,279842000,-73810000,32000,206064000,206064000,322256000,10297000,741000,5628999.99999999,-3309000,13358000,-3e+05,-3e+05,-3e+05,-17053000,-20761000,604000,604000,604000,-6799000,-6799000,-6799000,17529000,3310000,0.29158,0.17884,0.04997,0.03195,1.82624,0.56386,0.01027,0.20529,0.19515,1.14788,4.10825,0.04286,-4.7819,-4.99297
"21","2017_Q3",43.2769841269841,"Up",75829000,-45902000,-35078000,-10824000,26067000,439000,439000,26506000,26425000,17368000,17368000,17368000,17368000,92966000,61737000,31229000,4746000,4746000,165492000,4572000,71674000,28989000,12236000,180878000,346370000,80240000,71055000,5284000,85524000,29977000,28684000,31449000,116973000,285623000,-56442000,216000,229397000,229397000,346370000,17368000,1343000,8772000,-1541000,25942000,-552000,-552000,-552000,-18996000,-25364000,1560000,1560000,1560000,2138000,2138000,2138000,27410000,1472000,0.34376,0.22904,0.07571,0.05014,1.93504,0.50992,0.00425,0.3437,0.32593,1.50058,4.53955,0.06658,-3.33798,-3.50996
"22","2017_Q4",39.5150793650794,"Down",80398000,-53805000,-40825000,-12980000,22342000,659000,659000,23001000,22910000,15961000,15961000,15961000,15961000,114550000,81924000,32626000,5667000,5667000,191330000,4688000,66337000,37162000,367999.999999998,194148000,385478000,99415000,86664000,5541000,104956000,28859000,27638000,28859000,133815000,291892000,-40481000,252000,251663000,251663000,385478000,15961000,4378000,2853000,15813000,39005000,-421000,-421000,-421000,-19837000,-21164000,2346000,2346000,2346000,20187000,20187000,20187000,26720000,0,0.27789,0.19852,0.06342,0.04141,1.82295,0.53172,6.93889390390723e-18,0.3126,0.29762,1.57459,4.92882,0.0569,-4.28705,-5.12711
"23","2018_Q1",41.7308196721311,"Up",88435000,-49936000,-33764000,-16172000,34344000,716000,716000,35060000,35060000,13658000,13658000,13658000,13658000,140040000,100304000,39736000,6521000,6521000,228451000,5124000,57251000,36019000,389000,196013000,424464000,118430000,95648000,4570000,1.23e+08,33984000,32835000,33984000,156984000,295050000,-26823000,-747000,267480000,267480000,424464000,13658000,1670000,8260000,12747000,36335000,-756000,-756000,-756000,-17346000,-19126000,1171000,1171000,1171000,18380000,18380000,18380000,36014000,0,0.38835,0.15444,0.05106,0.03218,1.85733,0.5869,0,0.26637,0.25518,1.72471,5.21655,0.04531,-3.88849,-4.07757
"24","2018_Q2",51.80390625,"Up",90429000,-55757000,-36849000,-18908000,31394000,-212000,-212000,31182000,31182000,26352000,26352000,26352000,26352000,489725000,444140000,45585000,6582000,6582000,583246000,5003000,61847000,34858000,735000,241914000,825160000,117656000,98058000,1432000,119088000,35978000,35978000,354203000,473291000,352309000,1851000,-2291000,351869000,351869000,825160000,26352000,1707000,1617000,-2543000,27133000,-253000,-253000,-253000,-50414000,-51010000,68545000,68545000,367713000,343836000,343836000,343836000,33101000,318225000,0.34717,0.29141,0.07489,0.03194,4.89761,1.34508,0.38565,0.51133,0.48992,1.75466,6.82757,0.03732,-5.18111,-5.46283
"25","2018_Q3",49.3822222222222,"Down",99538000,-60135000,-40097000,-20038000,35720000,-1864000,-1864000,33856000,33856000,30737000,30737000,30737000,30737000,174413000,35205000,139208000,14581000,14581000,284516000,4897000,60074000,33794000,752000,568283000,852799000,102275000,99332000,1659000,103934000,36453000,36453000,358373000,462307000,362023000,32588000,-4119000,390492000,390492000,852799000,30737000,1780000,5288000,-31249000,6556000,-304000,-304000,-304000,-421775000,-422137000,6646000,6646000,6646000,-408935000,-408935000,-408935000,37500000,321920000,0.35886,0.3088,0.07871,0.03604,2.73747,1.18391,0.37749,0.59198,0.56652,1.91707,7.52074,0.04104,3.93352,4.12954
"26","2018_Q4",43.0015873015873,"Down",102996000,-61314000,-40892000,-20422000,37475000,-1104000,-1104000,36371000,36371000,28011000,28011000,28011000,28011000,280225000,123818000,156407000,9299000,9299000,390557000,6930000,64721000,32572000,782000,531955000,922512000,136454000,118068000,1892000,138346000,36564000,36564000,362230000,500576000,365448000,60599000,-4111000,421936000,421936000,922512000,28011000,1884000,185000,32368000,62448000,-191000,-191000,-191000,25806000,25337000,828000,828000,828000,88613000,88613000,88613000,39359000,325666000,0.36385,0.27196,0.06639,0.03036,2.82305,1.18638,0.35302,0.53627,0.51632,1.97185,8.07792,0.03572,1.15453,1.21257
"27","2019_Q1",37.2080327868852,"Down",115934000,-71891000,-36860000,-29841000,39855000,-1088000,-14931000,38767000,38767000,25893000,25893000,25893000,25893000,356018000,192248000,163770000,8888000,8888000,493487000,4095000,61431000,31368000,380000,484324000,977811000,159170000,143598000,2183000,161353000,33973000,22575000,363435000,524788000,369689000,86492000,-3158000,453023000,453023000,977811000,25893000,1692000,8574000,-3310000,32849000,-96000,-96000,-96000,34556000,34330000,-64437000,-64437000,1251000,68430000,68430000,68430000,41547000,329462000,0.34377,0.22334,0.05716,0.02648,3.05843,1.15841,0.33694,0.49539,0.47861,2.21809,8.66738,0.03171,-0.63918,-0.66632
"28","2019_Q2",34.2625396825397,"Down",85474000,-56362000,-40968000,-15394000,25428000,-1189000,-10797191.4733029,24239000,24239000,18340000,18340000,18340000,18340000,292943000,122778000,170165000,20556000,20556000,419967000,4226000,78704000,30063000,20674000,605481000,1025448000,149280000,124807000,2426000,151706000,60414000,60414000,393724000,545430000,373759000,104832000,1427000,480018000,480018000,1025448000,18340000,1679000,7052000,5921999.99999999,32993000,-221000,-221000,-221000,-103024000,-103246000,783000.000000015,783000.000000015,783000,-69470000,-69470000,-69470000,27107000,333310000,0.29749,0.21457,0.03821,0.01788,2.7683,1.13627,0.32504,0.35043,0.33972,1.63316,9.17177,0.02099,1.48917,1.5875
"29","2019_Q3",29.62984375,"Down",104695000,-58053000,-41083000,-16970000,42598000,148000,1946672.57274248,42746000,42746000,32727000,32727000,32727000,32727000,258566000,87344000,171222000,21757000,21757000,390911000,4028000,74982000,28787000,20220000,672764000,1063675000,141303000,134548000,2668000,143971000,59590000,48635000,396800000,540771000,379421000,137559000,5924000,522904000,522904000,1063675000,32727000,1676000,7861000,-13577000,28687000,-24000,-24000,-24000,-65737000,-65761000,1640000,1640000,1640000,-35434000,-35434000,-35434000,44274000,337210000,0.40688,0.31259,0.06259,0.03077,2.71521,1.03417,0.31702,0.62473,0.60706,1.99854,9.98178,0.03558,1.7763,1.84619
"30","2019_Q4",24.28625,"Down",102140000,-57592000,-36731000,-16943000,39729000,-139000,-1233999.99999999,39590000,39590000,28860000,28860000,28860000,28860000,296697000,116889000,179808000,18182000,18182000,427082000,9977000,73408000,26101000,19354000,679827000,1106909000,146758000,138850000,2959000,149717000,58772000,58772000,399935000,549652000,383577000,166419000,7261000,557257000,557257000,1106909000,28860000,1674000,5036000,2088000,37658000,-462000,-462000,-462000,-7893000,-8355000,241999.999999998,241999.999999998,242000,29545000,29545000,29545000,41403000,341163000,0.38897,0.28255,0.05179,0.02607,2.8526,0.98635,0.30821,0.55019,0.53643,1.94722,10.62365,0.03015,1.07398,1.11923
"31","2020_Q1",21.0143548387097,"Down",100446000,-55517000,-34464000,-19792000,40816000,96000,-21473000,40912000,40912000,33129000,33129000,33129000,33129000,347073000,181381000,165692000,11611000,11611000,472644000,17068000,78797000,24840000,21894000,687638000,1160282000,157343000,107629000,3244000,160587000,59097000,59097000,404267000,564854000,388463000,199548000,7417000,595428000,595428000,1160282000,33129000,1630000,2664000,6368000,43791000,-680000,-680000,-680000,20117000,19438000,1263000,1263000,1263000,64492000,64492000,64492000,42446000,345170000,0.40635,0.32982,0.05564,0.02855,2.94323,0.94865,0.29749,0.63136,0.61841,1.91428,11.34753,0.03314,-0.04483,-0.04662
"32","2020_Q2",22.0939682539683,"Up",94976000,-61812000,-41614000,-18937000,29012000,22000.0000000002,-5755000.00000001,29034000,29034000,21518000,21518000,21518000,21518000,400871000,225767000,175104000,12564000,12564000,557048000,18011000,80095000,23579000,22449000,632818000,1189866000,164677000,152456000,3658000,168335000,58916000,58916000,408148000,576483000,392483000,221066000,-166000,613383000,613383000,1189866000,21518000,1732000,8926000,-23260000,8916000,-2537000,-2537000,-2537000,37975000,35438000,32000,32000,31999.9999999995,44386000,44386000,44386000,30744000,349232000,0.30547,0.22656,0.03508,0.01808,3.30916,0.93984,0.29351,0.4096,0.4016,1.80787,11.67575,0.02106,-1.67964,-1.77992
"33","2020_Q3",22.69546875,"Up",126729000,-72795000,-48103000,-22247000,45548000,1662000,-5815000,47210000,47210000,34667000,34667000,34667000,34667000,374814000,210975000,163839000,20442000,20442000,557153000,17941000,557253000,408272000,60886000,933867000,1491020000,233490000,202923000,35786000,269276000,202421000,166705000,555770000,825046000,398882000,255733000,11359000,665974000,665974000,1491020000,34667000,3046000,3168000,51070000,91951000,-535000,-535000,-535000,204579000,-108180000,1437000,1437000,1437000,-14792000,-14792000,-14792000,48594000,353349000,0.35941,0.27355,0.05205,0.02325,2.06908,1.23886,0.23698,0.65961,0.64627,2.41127,12.67145,0.02838,-0.44172,-0.47126
"34","2020_Q4",21.52328125,"Down",155135000,-77407000,-54460000,-16839000,56340000,-3429000,-6088000,52911000,52711000,39997000,39997000,39997000,39997000,351950000,204293000,147657000,24493000,24493000,552015000,17395000,552427000,402265000,61019000,958007000,1510022000,204455000,193262000,95151000,299606000,144016000,106075000,501537000,801143000,403449000,295730000,9700000,708879000,708879000,1510022000,39997000,7843000,7558000,-49799000,5599000,-303000,-303000,-303000,-11023000,-11302000,76999.9999999998,76999.9999999998,-979000,-6682000,-6682000,-6682000,64183000,357521000,0.36317,0.25782,0.05642,0.02649,1.84247,1.13015,0.23677,0.75953,0.7439,2.94598,13.46147,0.03304,0.0867999999999999,0.0988799999999999
"35","2021_Q1",27.9673770491803,"Up",143557000,-80326000,-56500000,-17938000,44698000,-3305000,-6096000,41393000,39693000,30768000,30768000,30768000,30768000,422533000,288640000,133893000,18682000,18682000,630417000,37824000,485502000,364342000,43249000,873685000,1504102000,205126000,126192000,39982000,245108000,152385000,117170000,514136000,759244000,409385000,326498000,8975000,744858000,744858000,1504102000,30768000,5520000,10171000,-14526000,31933000,-315000,-315000,-315000,51001000,49345000,2815000,2815000,3069000,84347000,84347000,84347000,50218000,361751000,0.31136,0.21433,0.04131,0.02046,2.572,1.01931,0.24051,0.58373,0.57222,2.72356,14.13141,0.02444,-1.21036,-1.35984
"36","2021_Q2",30.6574603174603,"Up",130932000,-101744000,-61457000,-34280000,14234000,-2285000,-6097000,11949000,10929000,5694000,5694000,5694000,5694000,391101000,255642000,135459000,17631000,17631000,586023000,37950000,466904000,358736000,30257000,921420000,1507443000,198835000,128736000,41977000,240812000,146149000,74732000,512187000,752999000,416003000,332192000,6249000,754444000,754444000,1507443000,5694000,6592000,18989000,4924999.99999999,36200000,-1961000,-1961000,-1961000,-69484000,-71445000,2247000,2247000,2247000,-32998000,-32998000,-32998000,20826000,366038000,0.10871,0.04349,0.00754999999999999,0.00378,2.43353,0.99808,0.24282,0.10758,0.10506,2.4738,14.2543,0.0045,-1.20345,-1.76078
"37","2021_Q3",26.84078125,"Down",141329000,-90938000,-69535000,-15455000,25363000,-2878000,-5467000,22485000,31235000,23726000,23726000,23726000,23726000,409841000,223771000,186070000,33737000,33737000,639244000,17065000,471278000,352628000,40687000,933816000,1573060000,253591000,173598000,29856000,283447000,133651000,81573000,504034000,787481000,424228000,355918000,5433000,785579000,785579000,1573060000,23726000,6621000,1473000,14454000,46274000,0,0,0,-79944000,-80894000,2749000,2749000,2749000,-31871000,-31871000,-31871000,31984000,370383000,0.17946,0.16788,0.0302,0.01508,2.25525,1.00242,0.23545,0.44729,0.43133,2.6644,14.8101,0.0184,-1.23368,-1.55573
