"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2014_Q2",6.3931746031746,"Up",-7643220,-3233352,-4409868,-7605125,-117439,-212866,95427,-7722564,-7547249,-7547249,-7547249,-7547249,-7547249,53498110,49596327,2790004,2790004,56288114,8177,875806,799391,1885841,58173955,1836364,1639114,197250,152381,1988745,1638101,6,1753655,3742400,101617144,-46951252,54431555,54431555,58173955,-7547249,706,4202291,-4984639,-8328891,-3165,9.31322574615479e-10,-3164.99999999907,17442917,9110861.00000001,9110861.00000001,9110861.00000001,-7604419,115554,-0.13866,-0.12974,28.30333,0.06875,0.00199,-0.25081,-0.25081,1.8089,-0.13433,7.01994,7.01929
"13","2014_Q3",9.27296875,"Up",-11993592,-5145460,-6848132,-11955497,-222060,-222060,0,-12177557,-11986430,-11986430,-11986430,-11986430,-11986430,45037629,37077977,4249279,4249279,49286908,7326,897756,799391,7015391,56302299,2294889,1899389,395500,152381,2606484,1600006,6,1600006,4206490,111267828,-58937682,52095809,52095809,56302299,-11986430,852,9045444,-632981,-3573115,0,-9218008,-9218008,272773,-12518350,-12518350,-12518350,-11954645,159214,-0.23008,-0.21289,18.90935,0.08075,0.00283,-0.36339,-0.36339,1.57937,-0.22257,3.75406,3.75379
"14","2014_Q4",13.021875,"Up",-17477442,-3785869,-13691573,-17439346,-222680,-222680,0,-17662026,-17451169,-17451169,-17451169,-17451169,-17451169,67235443,53225799,9430405,9430405,76665848,7763,870642,799391,878405,77544253,8566631,7967548,599083,152381,8902156,1561911,6,1561911,10464067,143703374,-76388851,67080186,67080186,77544253,-17451169,896,8319663,1079635,-8050975,-1333,1.86264514923096e-09,-1333,24200130,16147822,16147822,16147822,-17438450,183144,-0.26015,-0.22505,8.61205,0.15599,0.00236,-0.51045,-0.51045,1.96209,-0.25356,3.84508,3.84489
"15","2015_Q1",15.1406557377049,"Up",-18759219,-3622445,-15136774,-18721124,501994,712655,-210661,-18219130,-18796429,-18796429,-18796429,-18796429,-18796429,78775818,55713784,6439211,6439211,85215029,20357,1511504,799391,1531861,86746890,4693625,3991625,702000,152381,5121196,1523816,6,1523816,6645012,175521495,-95185280,80101878,80101878,86746890,-18796429,1477,5196803,-1508789,-15106938,-14072,-9118711,-9132783,26727706,2487985,2487985,2487985,-18719647,275190,-0.23466,-0.21668,16.63967,0.08296,0.00317,-0.48182,-0.48182,2.05329,-0.2295,4.19349,4.19316
"16","2015_Q2",15.8344444444444,"Up",-14640946,-5023607,-9617339,-14602851,-215525,-215525,-261566.951748352,-14818376,-14577735,-14577735,-14577735,-14577735,-14577735,105135882,86004445,10602459,10602459,115738341,24821,1506089,799391,1530910,117269251,9128438,8880438,248000,152381,9553025,1485720,6,1485720,11038745,216227858,-109763015,106230506,106230506,117269251,-14577735,2419,5434641,258322,-8882353,-6883,3850000,3843117,35329897,30290661,30290661,30290661,-14600432,272206,-0.13723,-0.12431,12.11536,0.10391,0.00232,-0.35479,-0.35479,2.58539,-0.13499,7.18223,7.18104
"17","2015_Q3",14.9,"Down",-17149675,-5888015,-11261660,-17111580,-214975,-214975,-143011.210201034,-17326555,-17103183,-17103183,-17103183,-17103183,-17103183,92065996,60300086,11661047,11661047,103727043,34833,1532065,799391,19878238,123605281,8760189,8254189,506000,152381,9207930,1447625,6,1447625,10655555,240050261,-126866198,112949726,112949726,123605281,-17103183,3386,6390952,-1539681,-12248526,-13397,-31070625,-31084022,17628189,-25704359,-25704359,-25704359,-17108194,295360,-0.15142,-0.13837,11.26497,0.09434,0.00239,-0.37719,-0.37719,2.49095,-0.14912,5.36413,5.36307
"18","2015_Q4",12.6303125,"Down",-13863680,-2289678,-11574002,-13825584,-190550,-190550,-5.82076609134674e-11,-14016134,-13655916,-13655916,-13655916,-13655916,-13655916,94163149,65461940,10567338,10567338,104730487,69225,1519234,799391,22676651,127407138,9351753,8583003,768750,152381,9685802,1409530,6,1409530,11095332,257068257,-140522114,116311806,116311806,127407138,-13655916,4521,1298703,1693960,-10658732,-38914,115488,76573.9999999925,15744012,5161854,5161854,5161854,-13821063,181668,-0.11741,-0.10718,10.81278,0.09539,0.00143,-0.28451,-0.28451,2.42325,-0.11582,6.79987,6.79765
"19","2016_Q1",8.75016393442623,"Down",-17678096,-2423874,-15254222,-17640001,852420,795703,56717,-16787581,-17611812,-17611812,-17611812,-17611812,-17611812,77227841,55061329,9645490,9645490,86873331,47122,1549716,799391,26599870,113473201,10164540,9346068,818472,152381,10528470,1371435,6,1371435,11899905,259941559,-158133926,101573296,101573296,113473201,-17611812,5126,3052221,1653804,-12900661,16977,2461485,2478462,21588,-10400611,-10400611,-10400611,-17634875,211549,-0.17339,-0.15521,8.25128,0.11716,0.00186,-0.36573,-0.36573,2.10932,-0.17073,4.36727,4.366
"20","2016_Q2",8.1290625,"Down",-14030251,-2412911,-11617340,-13992156,143494,84861.9999999998,58632,-13848662,-13848662,-13848662,-13848662,-13848662,-13848662,58702678,36478420,11874066,11874066,70576744,323003,2704546,799391,29485775,100062519,8588566,8139440,449126,152381,8893864,1722893,389560,1722893,10616757,261662687,-171982588,89445762,89445762,100062519,-13848662,6380,1768662,-4599921,-16673541,-282261,-1641270,-1923531,14163,-18582909,-18582909,-18582909,-13985776,152917,-0.15483,-0.1384,7.93544,0.11869,0.00153,-0.28316,-0.28316,1.82885,-0.15165,4.18638,4.18447
"21","2016_Q3",6.43203125,"Down",-16061538,-2527807,-13533731,-16023443,124381,92629,31752,-15899062,-15899062,-15899062,-15899062,-15899062,-15899062,54258151,28577832,15293529,15293529,69551680,2302593,1508252,799391,25245860,94797540,13876552,13080176,796376,152381,14119497,1976964,681726,1976964,16096461,266817066,-187881650,78701079,78701079,94797540,-15899062,16939,1742448,1289154,-12850521,-27795,1441348,1413553,3536380,-7900588,-7900588,-7900588,-16006504,90564,-0.20202,-0.16772,4.92593,0.20453,0.00096,-0.32601,-0.32601,1.61375,-0.19685,3.3841,3.38052
"22","2016_Q4",5.86444444444444,"Down",-24963567,-3165811,-21797756,-24925471,94444,87965,6479.00000000001,-24831027,-24831027,-24831027,-24831027,-24831027,-24831027,60602137,29156521,10730237,10730237,71332374,2845445,1509275,799391,4354720,75687094,16611755,15550129,1061626,152381,16881262,2051117,793974,2051117,18932379,269701729,-212712677,56754715,56754715,75687094,-24831027,19145,2941099,6828582,-15042201,-12959,-2410781,15576260,44630,578688.999999998,578688.999999998,578688.999999998,-24906326,117126,-0.43751,-0.32807,4.22554,0.33358,0.00155,-0.50462,-0.50462,1.15338,-0.42142,2.4285,2.42663
"23","2017_Q1",7.17822580645161,"Up",-24066153,-1782806,-22283347,-24028058,353915,57576,296339,-23674143,-23674143,-23674143,-23674143,-23674143,-23674143,44885140,25031280,5979004,5979004,50864144,2370429,1546974,799391,3917403,54781547,16657184,15267668,1389516,152381,16878440,2035305,816257,2035305,18913745,272488959,-236386820,35867802,35867802,54781547,-23674143,20496,1374520,5254060,-17025067,-20970,16910781,11479030,1420796,-4125241,-4125241,-4125241,-24007562,68875,-0.66004,-0.43216,3.01356,0.52732,0.00126,-0.48039,-0.48039,0.72783,-0.62346,1.86676,1.86516
"24","2017_Q2",11.1928571428571,"Up",-27704000,-5022000,-22682000,-27666000,-61000,45000,-106000,-27727000,-27727000,-27727000,-27727000,-27727000,-27727000,109460904,95637572,9502914,9502914,118963818,2798943,1493671,799391,4292614,123256432,19399619,18916064,483555,152381,19726657,2488016,1307063,2488016,22214673,365390425,-264114329,101041759,101041759,123256432,-27727000,20000,6132000,-726000,-22301000,0,6e+06,6e+06,86909000,70608000,70608000,70608000,-27646000,174657,-0.27441,-0.22495,6.03061,0.21986,0.00142,-0.5216,-0.5216,1.90079,-0.26737,3.95306,3.9502
"25","2017_Q3",11.3904761904762,"Up",-28464000,-1758000,-26706000,-28426000,72000,50000,22000,-28354000,-28354000,-28354000,-28354000,-28354000,-28354000,86411293,77602363,10633184,10633184,97044477,2768654,1384620,799391,4153274,101197751,20453747,19556942,896805,152381,20758696,2464037,1321180,2464037,23222733,370676768,-292467413,77975018,77975018,101197751,-28354000,21000,1482000,22000,-26829000,-2000,5e+06,4998000,3796000,-18035000,-18035000,-18035000,-28405000,152568,-0.36363,-0.28018,4.67488,0.29782,0.00151,-0.44762,-0.44762,1.23097,-0.35182,3.03674,3.0345
"26","2017_Q4",8.73698412698413,"Down",-31623000,-4474000,-27149000,-31585000,50000,79000,-29000,-31535000,-31535000,-31535000,-31535000,-31535000,-31535000,91842167,91842167,5819129,5819129,97661296,2734568,1385650,799391,4120218,101781514,19455077,18179772,1275305,152381,19789614,2446134,1341372,2446134,22235748,403783168,-324003065,79545766,79545766,101781514,-31535000,21000,4928000,3811000,-22775000,0,8800000,8800000,28216000,14241000,14241000,14241000,-31564000,182156,-0.39644,-0.30983,4.93498,0.27953,0.00179,-0.48401,-0.48401,1.22089,-0.38376,2.90394,2.90201
"27","2018_Q1",12.7791803278689,"Up",-31073132,-5077282,-25995850,-31034751,174739,120478,54261,-30860012,-30860012,-30860012,-30860012,-30860012,-30860012,84717000,56718000,8601000,8601000,93318000,2677000,1386000,799000,4063000,97381000,27677000,25877000,1800000,152000,27957000,2431000,1364000,2431000,30388000,422090000,-354863000,66993000,66993000,97381000,-30860012,20355,3523343,5457752,-21858562,-227,-28006270,-28006497,14737626,-35127433,-35127433,-35127433,-31014396,128000,-0.46065,-0.3169,3.33791,0.4536,0.00131,-0.46321,-0.46321,1.00557,-0.4437,2.72741,2.72562
"28","2018_Q2",13.75265625,"Up",-41615000,-6597000,-35018000,-41577000,48000,144000,-96000,-41529000,-41529000,-41529000,-41529000,-41529000,-41529000,109077000,82896000,7881000,7881000,116958000,2649000,1387000,799000,4036000,120994000,32969000,32513000,456000,152000,33345000,2417000,1388000,2417000,35762000,481858000,-396392000,85232000,85232000,120994000,-41529000,20000,7435000,6031000,-28043000,-24000,1816000.00000001,1792000,52430000,26179000,26179000,26179000,-41557000,224000,-0.48725,-0.34323,3.50751,0.41958,0.00185,-0.58792,-0.58792,1.20662,-0.4726,2.61937,2.61811
"29","2018_Q3",11.425873015873,"Down",-44383000,-5683000,-38700000,-44345000,203000,189000,14000,-44142000,-44142000,-44142000,-44142000,-44142000,-44142000,126245000,105672000,9793000,9793000,136038000,2641000,2036000,799000,4677000,140715000,36576000,35394000,1182000,152000,36938000,2401000,1411000,2401000,39339000,542144000,-440534000,101376000,101376000,140715000,-44142000,21000,8239000,1699000,-34183000,-34000,5619000,5585000,52023000,23425000,23425000,23425000,-44324000,210000,-0.43543,-0.3137,3.68287,0.38805,0.00149,-0.59429,-0.59429,1.36485,-0.4245,2.84349,2.84215
"30","2018_Q4",4.96952380952381,"Down",-34366000,-969000,-33397000,-34328000,377000,258000,119000,-33951000,-33951000,-33951000,-33951000,-33951000,-33951000,97742000,70718000,11995000,11995000,109737000,2599000,2038000,799000,4637000,114374000,39999000,37917000,2082000,152000,40242000,2388000,1436000,2388000,42630000,546463000,-474485000,71744000,71744000,114374000,-33951000,23000,-334000,1253000,-33009000,-26000,-6409000,-6435000,4492000.00000001,-34952000,-34952000,-34952000,-34305000,91000.0000000005,-0.47322,-0.29684,2.72693,0.5942,8e-04,-0.43369,-0.43369,0.91645,-0.45742,2.84655,2.84465
