"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",41.63609375,"Up",73558000,-4758000,68800000,-75809000,-23536000,-52273000,-7009000,110000,110000,-6899000,-6899000,-6899000,-6899000,-6899000,-6899000,338089000,27632000,310457000,47669000,47669000,38661000,6956000,6343000,431375000,29684000,5532000,5532000,35216000,466591000,49577000,49577000,90348000,139128000,5673000,139128000,229476000,928060000,-690945000,0,237115000,237115000,466591000,-6899000,2114000,7086000,-9719000,-7418000,-2137000,-1742000,-3879000,3995000,3995000,3995000,-7302000,-7302000,-7302000,-4895000,0,0.93532,-0.09529,-0.09379,-0.0291,-0.01479,4.77459,0.96778,0,-0.05687,-0.05687,0.60631,1.95444,-0.01834,69.06823,48.23641
"12","2013_Q4",40.808125,"Down",70969000,-5455000,65514000,-89298000,-21451000,-67847000,-23784000,98000,98000,-23686000,-23686000,-23686000,-23686000,-23686000,-23686000,373848000,119529000,254319000,29208000,29208000,26004000,5920000,5700000,434980000,37229000,5421000,5421000,42650000,477630000,56611000,56611000,99637000,143613000,5521000,143613000,243250000,948964000,-714631000,47000,234380000,234380000,477630000,-23686000,2216000,8376000,42832000,29738000,-6402000,55888000,49486000,12673000,12673000,12673000,91897000,91897000,91897000,-21568000,0,0.92314,-0.33513,-0.33375,-0.10106,-0.04959,4.36565,1.03784,0,-0.19414,-0.19414,0.58169,1.92108,-0.06266,17.33346,15.71847
"13","2014_Q1",47.8247540983607,"Up",67409000,-6837000,60572000,-76253000,-25481000,-50772000,-15681000,10000,10000,-15671000,-15671000,-15671000,-15671000,-15671000,-15671000,374267000,64116000,310151000,29508000,29508000,27073000,6408000,6408000,437256000,40787000,5855000,5855000,46642000,483898000,59348000,59348000,99198000,154515000,5324000,154515000,253713000,960498000,-730302000,-11000,230185000,230185000,483898000,-15671000,2558000,9945000,9610000,6442000,-7361000,-56239000,-63600000,1745000,1745000,1745000,-55413000,-55413000,-55413000,-13123000,0,0.89857,-0.23262,-0.23248,-0.06808,-0.03238,4.40791,1.10221,0,-0.12791,-0.12791,0.55019,1.87875,-0.04074,28.51993,23.86755
"14","2014_Q2",37.8080952380952,"Down",68271000,-6128000,62143000,-78514000,-24018000,-54496000,-16371000,70000,70000,-16301000,-16301000,-16301000,-16301000,-16301000,-16301000,355358000,44812000,310546000,37896000,37896000,29044000,7052000,7052000,429350000,41047000,5675000,5675000,46722000,476072000,58593000,58593000,99029000,146049000,5129000,146049000,245078000,977588000,-746603000,9000,230994000,230994000,476072000,-16301000,2837000,9441000,-19219000,-23242000,-3141000,-707000,-3848000,7786000,7786000,7786000,-19304000,-19304000,-19304000,-13534000,0,0.91024,-0.23979,-0.23877,-0.07057,-0.03424,4.3356,1.06097,0,-0.13264,-0.13264,0.55552,1.87959,-0.04323,26.25669,21.70655
"15","2014_Q3",39.3240625,"Up",68308000,-6732000,61576000,-79219000,-25525000,-53694000,-17643000,53000,53000,-17590000,-17590000,-17590000,-17590000,-17590000,-17590000,349209000,38831000,310378000,34905000,34905000,30491000,8410000,8410000,423015000,41256000,5344000,5344000,46600000,469615000,61580000,61580000,103841000,139944000,4988000,139944000,243785000,989267000,-764193000,756000,225830000,225830000,469615000,-17590000,3062000,9486000,859000,-4183000,-3999000,-43000,-4042000,2244000,2244000,2244000,-5981000,-5981000,-5981000,-14581000,0,0.90145,-0.25829,-0.25751,-0.07789,-0.03746,4.07368,1.07951,0,-0.14276,-0.14276,0.5544,1.83289,-0.04809,23.94959,19.79306
"16","2014_Q4",34.8646875,"Down",75853000,-7626000,68227000,-83852000,-25342000,-58510000,-15625000,59000.0000000001,59000.0000000001,-15566000,-15566000,-15566000,-15566000,-15566000,-15566000,339561000,50168000,289393000,43817000,43817000,37541000,8269000,8269000,429188000,43958000,5102000,5102000,49060000,478248000,71323000,71323000,119129000,133933000,4695000,133933000,253062000,1004444000,-779759000,501000,225186000,225186000,478248000,-15566000,3209000,10127000,-9561000,-11791000,-2641000,20871000,18230000,4898000,4898000,4898000,11337000,11337000,11337000,-12416000,0,0.89946,-0.20599,-0.20521,-0.06913,-0.03255,3.60272,1.12379,0,-0.12594,-0.12594,0.61372,1.82195,-0.04334,27.34866,21.7319
"17","2015_Q1",34.1103278688525,"Down",74326000,-8572000,65754000,-93478000,-29435000,-64043000,-27724000,1040000,1040000,-26684000,-26684000,-26684000,-26684000,-26684000,-26684000,313413000,56927000,256486000,39248000,39248000,43451000,11874000,11874000,407986000,46129000,4850000,4850000,50979000,458965000,77681000,77681000,125893000,122238000,4590000,122238000,248131000,1017306000,-806443000,-29000,210834000,210834000,458965000,-26684000,3382000,10681000,-8162000,-20783000,-7395000,33677000,26282000,1260000,1260000,1260000,6759000,6759000,6759000,-24342000,0,0.88467,-0.37301,-0.35901,-0.12656,-0.05814,3.24074,1.1769,0,-0.21532,-0.21532,0.59974,1.70123,-0.08011,12.8754,11.30475
"18","2015_Q2",41.2657142857143,"Up",82157000,-8384000,73773000,-95516000,-32121000,-63395000,-21743000,53000.0000000002,53000.0000000002,-21690000,-21690000,-21690000,-21690000,-21690000,-21690000,296013000,62571000,233442000,49587000,49587000,43069000,8247000,8247000,396916000,44922000,4635000,4635000,49557000,446473000,80454000,80454000,128152000,109032000,4396000,109032000,237184000,1037433000,-828133000,-11000,209289000,209289000,446473000,-21690000,3423000,7849000,-16713000,-27131000,-2371000,22754000,20383000,12392000,12392000,12392000,5644000,5644000,5644000.00000001,-18320000,0,0.89795,-0.26465,-0.26401,-0.10364,-0.04858,3.09723,1.13328,0,-0.17448,-0.17448,0.66089,1.68358,-0.06814,16.15791,13.61417
"19","2015_Q3",45.0246875,"Up",77096000,-8579000,68517000,-116080000,-30343000,-85737000,-47563000,61000,61000,-47502000,-47502000,-47502000,-47502000,-47502000,-47502000,249536000,79013000,170523000,45250000,45250000,47489000,11847000,11847000,354122000,43637000,10056000,10056000,53693000,407815000,86015000,86015000,133760000,94437000,4219000,94437000,228197000,1055241000,-875635000,12000,179618000,179618000,407815000,-47502000,3612000,9988000,-12655000,-46557000,-2586000,62614000,55028000,7971000,7971000,7971000,16442000,16442000,16442000,-43951000,0,0.88872,-0.61693,-0.61614,-0.26446,-0.11648,2.64744,1.27046,0,-0.37981,-0.37981,0.61643,1.43616,-0.17333,5.6776,5.24643
"20","2015_Q4",41.62296875,"Down",84072000,-10098000,73974000,-100474000,-29684000,-70790000,-26500000,62000,62000,-26438000,-26438000,-26438000,-26438000,-26438000,-26438000,736454000,614074000,122380000,63498000,63498000,44515000,8303000,8303000,852770000,44679000,9891000,9891000,54570000,907340000,76756000,76756000,128261000,82841000,3863000,82841000,211102000,1598305000,-902073000,6000.00000000003,696238000,696238000,907340000,-26438000,3725000,11165000,-29011000,-40559000,-4069000,47773000,43704000,531916000,531916000,531916000,535061000,535061000,535061000,-22775000,0,0.87989,-0.31521,-0.31447,-0.03797,-0.02914,6.64871,0.3032,0,-0.20703,-0.20703,0.65836,5.45218,-0.03393,32.33607,27.79072
"21","2016_Q1",33.5850819672131,"Down",93477000,-10379000,83098000,-108242000,-33635000,-74607000,-25144000,288000,288000,-24856000,-24856000,-24856000,-24856000,-24856000,-24856000,649651000,102255000,547396000,52930000,52930000,56963000,11515000,11515000,771059000,49598000,11378000,11378000,124036000,895095000,88031000,88031000,134266000,74918000,3669000,74918000,209184000,1613523000,-926929000,-683000,685911000,685911000,895095000,-24856000,3745000,14759000,-12604000,-18956000,-4366000,-490599000,-494965000,2102000,2102000,2102000,-511819000,-511819000,-511819000,-21399000,0,0.88897,-0.26899,-0.2659,-0.03624,-0.02777,5.74277,0.30497,0,-0.17798,-0.17798,0.66933,4.9114,-0.03267,30.35894,25.83722
"22","2016_Q2",38.0384375,"Up",111155000,-9559000,101596000,-122618000,-29747000,-92871000,-21022000,544000,544000,-20478000,-20478000,-20478000,-20478000,-20478000,-20478000,609490000,119547000,489943000,52392000,52392000,60050000,14211000,14211000,736143000,49882000,11170000,11170000,143243000,879386000,83381000,83381000,122710000,72570000,3445000,72570000,195280000,1631403000,-947407000,110000,684106000,684106000,879386000,-20478000,4230000,14301000,-15890000,-17837000,-7333000,36764000,29431000,5698000.00000006,5698000.00000006,5698000.00000006,17292000,17292000,17291999.9999999,-16792000,0,0.914,-0.18912,-0.18423,-0.02993,-0.02329,5.99905,0.28545,0,-0.14639,-0.14639,0.79459,4.89031,-0.02706,36.29645,28.99296
"23","2016_Q3",47.4190625,"Up",95402000,-10008000,85394000,-118836000,-33282000,-85554000,-33442000,699000,699000,-32743000,-32743000,-32743000,-32743000,-32743000,-32743000,608945000,192088000,416857000,57742000,57742000,71675000,12220000,12220000,750582000,51052000,11111000,11111000,112704000,863286000,93574000,93574000,127714000,67048000,3210000,67048000,194762000,1648306000,-980150000,368000,668524000,668524000,863286000,-32743000,4416000,13272000,-17436000,-32491000,-3351000,103583000,100232000,4800000,4800000,4800000,72541000,72541000,72541000,-29026000,0,0.8951,-0.35054,-0.34321,-0.04898,-0.03793,5.87705,0.29133,0,-0.23341,-0.23341,0.68007,4.76557,-0.04451,20.97929,18.20899
"24","2016_Q4",60.1211111111111,"Up",106315000,-11175000,95140000,-127552000,-34841000,-92711000,-32412000,660000,660000,-31752000,-31752000,-31752000,-31752000,-31752000,-31752000,591795000,131029000,460766000,65121000,65121000,71645000,15743000,15743000,744304000,54715000,10799000,10799000,105608000,849912000,95321000,95321000,125808000,61814000,2814000,61814000,187622000,1673977000,-1011902000,215000,662290000,662290000,849912000,-31752000,4624000,12935000,-17396000,-31589000,-8201000,-34180000,-42381000,12911000,12911000,12911000,-61059000,-61059000,-61059000,-27788000,0,0.89489,-0.30487,-0.29866,-0.04794,-0.03736,5.91619,0.28329,0,-0.2253,-0.2253,0.75435,4.69926,-0.04385,21.29678,18.25852
"25","2017_Q1",62.411935483871,"Up",105275000,-11575000,93700000,-149549000,-41377000,-108172000,-55849000,711000,711000,-55138000,-55138000,-55138000,-55138000,-55138000,-55138000,588986000,108673000,480313000,61928000,61928000,68124000,15610000,15610000,734648000,62870000,10890000,10890000,103748000,838396000,120669000,120669000,148516000,55793000,2787000,55793000,204309000,1701190000,-1067040000,-63000,634087000,634087000,838396000,-55138000,4764000,15827000,19493000,-15054000,-8950000,-10139000,-19089000,11787000,11787000,11787000,-22356000,-22356000,-22356000,-51085000,0,0.89005,-0.53051,-0.52375,-0.08696,-0.06577,4.94659,0.32221,0,-0.38863,-0.38863,0.74202,4.46927,-0.07992,11.52953,10.54604
"26","2017_Q2",63.5611111111111,"Up",109131000,-11861000,97270000,-156588000,-38404000,-118184000,-59318000,-672000,-672000,-59990000,-59990000,-59990000,-59990000,-59990000,-59990000,506404000,75767000,430637000,73687000,73687000,60723000,15417000,15417000,656231000,67980000,29857000,29857000,127817000,784048000,99213000,99213000,128895000,51776000,2673000,51776000,180671000,1726490000,-1127030000,3917000,603377000,603377000,784048000,-59990000,4784000,16187000,-24525000,-63544000,-14583000,34386000,19803000,10835000,10835000,10835000,-32906000,-32906000,-32906000,-54534000,0,0.89131,-0.54355,-0.54971,-0.09942,-0.07651,5.09121,0.29943,0,-0.42111,-0.42111,0.76606,4.23547,-0.09157,9.28602,8.53711
"27","2017_Q3",51.1973015873016,"Down",108223000,-12379000,95844000,-155118000,-40712000,-114406000,-59274000,2914000,2914000,-56360000,-56360000,-56360000,-56360000,-56360000,-56360000,452411000,197104000,255307000,71940000,71940000,69247000,22411000,22411000,616009000,85170000,35720000,35720000,141462000,757471000,106665000,106665000,137779000,46160000,2601000,46160000,183939000,1748566000,-1183390000,8356000,573532000,573532000,757471000,-56360000,5431000,15585000,-9387000,-44731000,-22973000,184493000,161520000,4548000,4548000,4548000,121337000,121337000,121337000,-53843000,0,0.88562,-0.5477,-0.52078,-0.09827,-0.07441,4.47099,0.32071,0,-0.39467,-0.39467,0.75784,4.01622,-0.09095,8.40241,7.63254
"28","2017_Q4",58.4133333333333,"Up",135291000,-14215000,121076000,-153273000,-39667000,-113606000,-32197000,82218000,82218000,50021000,50021000,50021000,50021000,50021000,50021000,450398000,128140000,322258000,90432000,90432000,60837000,18905000,18905000,620572000,82769000,129775000,129775000,232511000,853083000,119978000,119978000,152789000,40586000,2685000,40586000,193375000,1775080000,-1133369000,17997000,659708000,659708000,853083000,50021000,6178000,-71108000,6678000,-8231000,-5059000,-66281999.9999999,-71341000,10608000,10608000,10608000,-68964000,-68964000,-68964000,-26019000,0,0.89493,-0.23798,0.36973,0.07582,0.05864,4.06163,0.29312,0,0.3489,0.3489,0.94368,4.60157,0.07143,17.31035,13.98882
"29","2018_Q1",54.4932786885246,"Down",129605000,-15663000,113942000,-158954000,-48450000,-110504000,-45012000,-47546000,-47546000,-92558000,-92558000,-59201000,-59201000,-59201000,-59201000,413171000,160945000,252226000,84774000,84774000,59978000,19138000,19138000,577061000,103756000,197132000,197132000,300888000,877949000,132672000,105299000,167129000,33251000,2633000,33251000,200380000,1806303000,-1192570000,63836000,677569000,677569000,877949000,-59201000,7876000,36347000,12584000,-2394000,-27764000,47643000,19879000,15320000,15320000,15320000,32805000,32805000,32805000,-37136000,0,0.87915,-0.3473,-0.45678,-0.08737,-0.06743,3.45279,0.29573,0,-0.41092,-0.41092,0.89961,4.70312,-0.08329,11.12589,9.17913
"30","2018_Q2",57.2840625,"Up",140590000,-15735000,124855000,-218684000,-66182000,-152502000,-93829000,-17886000,-17886000,-111715000,-111715000,-111715000,-111715000,-111715000,-111715000,399916000,186890000,213026000,118579000,118579000,71915000,44126000,44126000,634536000,103489000,735602000,184585000,839091000,1473627000,132246000,132246000,168022000,26268000,2881000,26268000,194290000,2493211000,-1213610000,-264000.000000015,1279337000,1279337000,1473627000,-111715000,7010000,35765000,-78224000,-147164000,-4673000,105863000,-496961000,670070000,670070000,670070000,25945000,25945000,25945000,-86819000,0,0.88808,-0.66739,-0.79462,-0.08732,-0.07581,3.77651,0.15187,0,-0.73473,-0.73473,0.92464,8.41398,-0.08557,4.60632,4.26218
"31","2018_Q3",73.68,"Up",170173000,-19305000,150868000,-181152000,-58292000,-122860000,-30284000,106557000,106557000,76273000,76273000,76273000,76273000,76273000,76273000,447977000,159287000,288690000,149976000,149976000,70933000,36935000,36935000,705821000,100726000,764513000,213496000,875096000,1580917000,145189000,145189000,180847000,17631000,3055000,17631000,198478000,2519950000,-1137337000,-174000,1382439000,1382439000,1580917000,76273000,6823000,-90146000,-13921000,-20971000,-4817000,-13037000,-17854000,11222000,11222000,11222000,-27603000,-27603000,-27603000,-23461000,0,0.88656,-0.17796,0.44821,0.05517,0.04825,3.90286,0.14357,0,0.48158,0.46684,1.07445,8.72857,0.05448,19.09454,14.79253
"32","2018_Q4",62.7204761904762,"Down",169424000,-17668000,151756000,-197330000,-57155000,-140175000,-45574000,-21872000,-21872000,-67446000,-67446000,-67446000,-67446000,-67446000,-67446000,463076000,115457000,347619000,152520000,152520000,75172000,26180000,26180000,716948000,100966000,727296000,176279000,850897000,1567845000,157157000,157157000,193652000,9672000,3668000,9672000,203324000,2569609000,-1204783000,-305000,1364521000,1364521000,1567845000,-67446000,5212000,44318000,6799999.99999999,-11116000,-5451000,-56109000,-61560000,28846000,28846000,28846000,-43830000,-43830000,-43830000,-40362000,0,0.89572,-0.26899,-0.39809,-0.04943,-0.04302,3.70225,0.14901,0,-0.42338,-0.42338,1.06353,8.56552,-0.04908,11.47307,10.16097
"33","2019_Q1",71.1547540983607,"Up",174513000,-35585000,138928000,-229239000,-79467000,-149772000,-90311000,-53147000,-53147000,-143458000,-143458000,-119805000,-119805000,-119805000,-119805000,410672000,78186000,332486000,146281000,146281000,53239000,43403000,43403000,653595000,103820000,696720000,122049000,849734000,1503329000,191472000,147293000,225072000,4314000,4314000,4314000,229386000,2598571000,-1324588000,-40000,1273943000,1273943000,1503329000,-119805000,6263000,56129000,33128000,-24285000,-6278000,-9977000,-16255000,3269000,3269000,3269000,-37271000,-37271000,-37271000,-84048000,0,0.79609,-0.5175,-0.68651,-0.09404,-0.07969,2.90394,0.18006,0,-0.74466,-0.76855,1.0847,7.9183,-0.09373,4.88616,4.54731
"34","2019_Q2",70.0311111111111,"Down",195199000,-10300000,184899000,-238536000,-80271000,-158265000,-53637000,40308000,40308000,-13329000,-13329000,-13329000,-13329000,-13329000,-13329000,418295000,84270000,334025000,156955000,156955000,67236000,37306000,37306000,679792000,114604000,798208000,223537000,912812000,1592604000,180959000,142187000,207869000,71324000,71324000,71324000,279193000,2651112000,-1337917000,216000,1313411000,1313411000,1592604000,-13329000,4944000,-9989000,-38853000,-57227000,-12534000,49019000,36485000,26826000,26826000,26826000,6083999.99999999,6083999.99999999,6084000,-48693000,0,0.94723,-0.27478,-0.0682800000000001,-0.01015,-0.00837,3.27029,0.21257,0,-0.08297,-0.08297,1.215,8.17525,-0.00963,8.59045,7.79863
"35","2019_Q3",73.31203125,"Up",218447000,-10897000,207550000,-246260000,-82331000,-163929000,-38710000,-40528000,-40528000,-79238000,-79238000,-79238000,-79238000,-79238000,-79238000,376129000,64112000,312017000,182264000,182264000,73150000,40398000,40398000,671941000,130900000,764724000,190053000,895624000,1567565000,204950000,168073000,221952000,73787000,73787000,73787000,295739000,2688495000,-1417155000,486000,1271826000,1271826000,1567565000,-79238000,4961000,71262000,-30998000,-34013000,-20797000,23426000,2629000,11226000,11226000,11226000,-20158000,-20158000,-20158000,-33749000,0,0.95012,-0.17721,-0.36273,-0.0623,-0.05055,3.02742,0.23253,0,-0.49082,-0.49082,1.35311,7.87796,-0.05889,11.14489,9.71658
