"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_other_acquisitions","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",13.8238709677419,"Up",1.1588e+10,-4.419e+09,7.169e+09,-4.419e+09,-2.945e+09,-2.383e+09,-5.62e+08,-1.358e+09,-9.6e+07,2.75e+09,2.9e+07,1e+07,-1.51e+08,1.61e+08,1.9e+07,2.779e+09,2.779e+09,-6.14e+08,2.165e+09,2.165e+09,2.165e+09,2.165e+09,4.8412e+10,6.461e+09,4.1951e+10,3.98e+09,3.98e+09,1.497e+09,7.323e+09,5.219e+09,6.1212e+10,3.634e+09,2.6308e+10,2.134e+09,1.7006e+10,7.168e+09,2.9942e+10,9.1154e+10,3.982e+09,9.03e+08,4.53e+08,2.626e+09,8.3e+07,1.3059e+10,8.568e+09,4.491e+09,1.7124e+10,1.6286e+10,6.366e+09,4.08e+09,1.698e+09,5.88e+08,2.2652e+10,3.9776e+10,3.951e+10,1.0869e+10,9.78e+08,5.1357e+10,5.1378e+10,9.1154e+10,2.165e+09,6.31e+08,3.33e+08,3.37e+08,4.6e+07,-5e+07,-1.6e+08,-1.01e+08,8.1e+07,1.12e+08,-2.52e+08,2.969e+09,-2.81e+08,-2.81e+08,-2.81e+08,-3.757e+09,1.1191e+10,-1.4948e+10,-2.24e+08,-2.24e+08,1.03e+08,-4.159e+09,-5.22e+08,-5.22e+08,-3.6e+07,4.62e+08,-4.98e+08,8e+07,-9.1e+08,-2.1e+09,-2.1e+09,-2.1e+09,3.381e+09,1.6369e+10,3.554e+09,0.61866,0.23731,0.18683,0.04214,0.02375,1.64157,3.57463,0.77418,0.17958,0.40182,0.39754,2.15071,9.53174,0.65961,0.03504,0.04795,-9.47737,-11.652
"12","2013_Q1",15.6361666666667,"Up",1.169e+10,-4.605e+09,7.085e+09,-4.714e+09,-3.128e+09,-2.417e+09,-7.11e+08,-1.416e+09,-9.1e+07,2.371e+09,1.5e+07,2e+07,-1.47e+08,1.67e+08,-5e+06,2.386e+09,2.386e+09,-4.69e+08,1.917e+09,1.917e+09,1.917e+09,1.917e+09,4.8716e+10,9.799e+09,3.8917e+10,4.369e+09,4.369e+09,1.663e+09,7.185e+09,4.891e+09,6.1933e+10,3.402e+09,2.6424e+10,1.959e+09,1.6998e+10,7.467e+09,2.9826e+10,9.1759e+10,4.063e+09,8.59e+08,2.76e+08,2.928e+09,30999999.9999999,1.3637e+10,8.852e+09,4.785e+09,1.7731e+10,1.6297e+10,6.43e+09,4.028e+09,1.844e+09,5.58e+08,2.2727e+10,4.0458e+10,3.9271e+10,1.1354e+10,6.61e+08,5.1286e+10,5.1301e+10,9.1759e+10,1.917e+09,3.92e+08,3.83e+08,3.69e+08,-3.89e+08,4.03e+08,3.96e+08,-3.88e+08,-1.74e+08,-4.1e+07,9.99e+08,3.088e+09,-2.46e+08,-2.96e+08,-2.96e+08,2.746e+09,1.1919e+10,-9.173e+09,-42000000.0000002,-41999999.9999998,-2.9e+07,2.429e+09,-51999999.9999999,-52000000.0000001,-1.595e+09,2.57e+08,-1.852e+09,-1.07e+08,-2.179e+09,3.338e+09,3.338e+09,3.338e+09,2.763e+09,1.6328e+10,3.382e+09,0.60607,0.20282,0.16399,0.03737,0.02089,1.76421,3.49292,0.78864,0.17794,0.35966,0.35752,2.19325,9.62214,0.63452,0.03162,0.04567,-11.72204,-13.66006
"13","2013_Q2",16.88109375,"Up",1.1876e+10,-4.637e+09,7.239e+09,-4.588e+09,-2.976e+09,-2.416e+09,-5.6e+08,-1.431e+09,-1.22e+08,2.651e+09,-2e+07,1.3e+07,-1.48e+08,1.61e+08,-3.3e+07,2.631e+09,2.631e+09,-5.39e+08,2.092e+09,2.092e+09,2.092e+09,2.092e+09,4.5e+10,4.773e+09,4.0227e+10,3.942e+09,3.942e+09,1.709e+09,7.256e+09,5.003e+09,5.7907e+10,3.409e+09,3.1327e+10,3.449e+09,2.0443e+10,7.435e+09,3.4736e+10,9.2643e+10,3.799e+09,8.89e+08,2e+08,2.71e+09,5.5e+07,1.326e+10,8.721e+09,4.539e+09,1.7114e+10,1.6272e+10,6.556e+09,3.902e+09,1.577e+09,1.077e+09,2.2828e+10,3.9942e+10,3.929e+10,1.2563e+10,8.33e+08,5.2686e+10,5.2701e+10,9.2643e+10,2.092e+09,6.15e+08,4.45e+08,3.06e+08,1.35e+08,4e+06,-6.87e+08,6.15e+08,4.2e+07,-1.9e+07,-1.325e+09,2.465e+09,-2.41e+08,-2.65e+08,-2.65e+08,-1.387e+09,6.835e+09,-8.222e+09,-4.912e+09,-4.912e+09,1e+07,-6.53e+09,2.3e+07,2.3e+07,-6.6e+07,1.17e+08,-1.83e+08,-1.74e+08,-9.61e+08,-5.026e+09,-5.026e+09,-5.026e+09,3.266e+09,1.6327e+10,2.877e+09,0.60955,0.22322,0.17615,0.0397,0.02258,1.37524,3.3836,0.7579,0.17624,0.39464,0.3922,2.24033,9.93888,0.54273,0.03752,0.03806,-8.77924,-10.81592
"14","2013_Q3",18.760625,"Up",1.2098e+10,-4.755e+09,7.343e+09,-4.554e+09,-2.971e+09,-2.387e+09,-5.84e+08,-1.452e+09,-1.18e+08,2.789e+09,-9e+06,1.3e+07,-1.47e+08,1.6e+08,-2.2e+07,2.78e+09,2.78e+09,3.63e+08,3.143e+09,3.143e+09,3.143e+09,3.143e+09,4.6376e+10,6.847e+09,3.9529e+10,4.462e+09,4.462e+09,1.574e+09,8.313e+09,6.016e+09,6.0725e+10,3.403e+09,3.225e+10,3.542e+09,2.1361e+10,7.347e+09,3.5653e+10,9.6378e+10,3.898e+09,8.9e+08,8.7e+07,2.921e+09,3.7e+07,1.4015e+10,9.108e+09,4.907e+09,1.795e+10,1.6254e+10,6.649e+09,4.213e+09,1.34e+09,1.096e+09,2.2903e+10,4.0853e+10,3.997e+10,1.4647e+10,8.98e+08,5.5515e+10,5.5525e+10,9.6378e+10,3.143e+09,6.17e+08,2.74e+08,3.02e+08,13000000.0000001,-4.1e+07,-6.85e+08,-5.15e+08,1.52e+08,2e+06,-3.24e+08,3.349e+09,-2.77e+08,-2.87e+08,-2.87e+08,6.8e+08,6.808e+09,-6.128e+09,-1.123e+09,-1.123e+09,5.4e+07,-665999999.999998,-1.9e+07,-1.9e+07,72999999.9999998,5.35e+08,-4.62e+08,8e+07,-6.09e+08,2.074e+09,2.074e+09,2.074e+09,3.406e+09,1.6291e+10,2.081e+09,0.60696,0.23053,0.2598,0.05661,0.03261,0.66211,3.38301,0.73576,0.16903,0.59101,0.58671,2.27492,10.43907,0.39131,0.04953,0.02652,-8.83294,-10.78702
"15","2013_Q4",16.84234375,"Down",1.2216e+10,-4.705e+09,7.511e+09,-4.569e+09,-2.905e+09,-2.375e+09,-5.3e+08,-1.542e+09,-8.9e+07,2.942e+09,3e+06,1.7e+07,-1.45e+08,1.62e+08,-1.4e+07,2.945e+09,2.945e+09,-4.67e+08,2.478e+09,2.478e+09,2.478e+09,2.478e+09,4.7388e+10,5.122e+09,4.2266e+10,4.942e+09,4.942e+09,1.469e+09,7.618e+09,5.241e+09,6.1417e+10,3.33e+09,3.2337e+10,3.408e+09,2.164e+10,7.289e+09,3.5667e+10,9.7084e+10,3.967e+09,9.57e+08,0,3.01e+09,3.292e+09,1.3804e+10,9.055e+09,4.749e+09,2.1063e+10,1.2956e+10,6.267e+09,3.63e+09,1.503e+09,1.134e+09,1.9223e+10,4.0286e+10,4.0431e+10,1.5668e+10,6.89e+08,5.6788e+10,5.6798e+10,9.7084e+10,2.478e+09,6.19e+08,1.39e+08,2.72e+08,-1e+08,-3.3e+07,-1.42e+08,-5.39e+08,4.4e+07,1.08e+08,2.45e+08,3.094e+09,-2.68e+08,-2.91e+08,-2.91e+08,-2.889e+09,6.87e+09,-9.759e+09,-3.36e+08,-3.36e+08,3.6e+07,-3.457e+09,-2.4e+07,-2.4e+07,-3.68e+08,5.41e+08,-9.09e+08,-6.5e+07,-1.362e+09,-1.725e+09,-1.725e+09,-1.725e+09,3.561e+09,1.6248e+10,3.618e+09,0.61485,0.24083,0.20285,0.04363,0.02552,1.46005,2.91587,0.70929,0.16736,0.465,0.46,2.29236,10.65641,0.67893,0.04265,0.04562,-8.74473,-10.58464
"16","2014_Q1",16.9526229508197,"Up",1.2417e+10,-5.07e+09,7.347e+09,-4.533e+09,-2.95e+09,-2.36e+09,-5.9e+08,-1.517e+09,-6.6e+07,2.814e+09,5.7e+07,2.8e+07,-1.43e+08,1.71e+08,2.9e+07,2.871e+09,2.871e+09,-6.01e+08,2.27e+09,2.27e+09,2.27e+09,2.27e+09,5.061e+10,7.925e+09,4.2685e+10,5.47e+09,5.47e+09,1.476e+09,7.965e+09,5.349e+09,6.5521e+10,3.322e+09,3.2348e+10,3.403e+09,2.1919e+10,7.026e+09,3.567e+10,1.01191e+11,4.403e+09,1.029e+09,1.92e+08,3.182e+09,3.283e+09,1.431e+10,9.262e+09,5.048e+09,2.1996e+10,1.2928e+10,7.139e+09,4.161e+09,1.748e+09,1.23e+09,2.0067e+10,4.2063e+10,4.2297e+10,1.6215e+10,6.08e+08,5.912e+10,5.9128e+10,1.01191e+11,2.27e+09,6.09e+08,8.6e+07,2.4e+08,-8.5e+07,-6.9e+07,1.021e+09,-5.62e+08,-2e+07,7.3e+07,1.53e+09,3.986e+09,-2.33e+08,-3.17e+08,-3.17e+08,-5.29e+08,1.2195e+10,-1.2724e+10,-3.95e+08,-3.95e+08,4.2e+07,-1.115e+09,8e+06,0,9.26e+08,2.145e+09,-1.219e+09,-8.4e+07,-67999999.9999998,2.803e+09,2.803e+09,2.803e+09,3.423e+09,1.6211e+10,4.812e+09,0.59169,0.22662,0.18281,0.03839,0.02243,2.11982,2.97877,0.71139,0.1602,0.42288,0.41713,2.31315,11.01341,0.89642,0.03865,0.05834,-10.04937,-12.22424
"17","2014_Q2",18.4339682539683,"Up",1.2085e+10,-4.678e+09,7.407e+09,-4.952e+09,-2.926e+09,-2.411e+09,-5.15e+08,-1.724e+09,-6.5e+07,2.455e+09,8.5e+07,2.9e+07,-1.4e+08,1.69e+08,5.6e+07,2.54e+09,2.54e+09,-5.44e+08,1.996e+09,1.996e+09,1.996e+09,1.996e+09,4.8201e+10,5.254e+09,4.2947e+10,5.188e+09,5.188e+09,1.466e+09,7.941e+09,5.608e+09,6.2796e+10,3.273e+09,3.4672e+10,3.835e+09,2.3804e+10,7.033e+09,3.7945e+10,1.00741e+11,3.796e+09,1.025e+09,0,2.771e+09,3.279e+09,1.4653e+10,9.212e+09,5.441e+09,2.1728e+10,1.2947e+10,7.157e+09,3.995e+09,1.575e+09,1.587e+09,2.0104e+10,4.1832e+10,4.2166e+10,1.5959e+10,7.72e+08,5.8897e+10,5.8909e+10,1.00741e+11,1.996e+09,5.91e+08,2.99e+08,3.09e+08,1.3e+08,-1.4e+08,-2.37e+08,3.61e+08,2.2e+07,-2.9e+07,-5.91e+08,2.649e+09,-1.59e+08,-3.15e+08,-3.15e+08,-1.78e+08,8.791e+09,-8.969e+09,-2.447e+09,-2.447e+09,2.9e+07,-2.755e+09,2e+06,-2e+06,-1.454e+09,4.44e+08,-1.898e+09,-1.99e+08,-2.565e+09,-2.671e+09,-2.671e+09,-2.671e+09,3.046e+09,1.6226e+10,3.194e+09,0.61291,0.20314,0.16516,0.03388,0.01981,1.6002,2.8901,0.71011,0.16107,0.37114,0.36759,2.24712,10.95147,0.5939,0.03536,0.03881,-10.49737,-13.02444
"18","2014_Q3",19.603125,"Up",1.1155e+10,-5.204e+09,5.951e+09,-4.284e+09,-2.728e+09,-2.277e+09,-4.51e+08,-1.412e+09,-7.1e+07,1.667e+09,8.8e+07,3.3e+07,-1.36e+08,1.69e+08,5.5e+07,1.755e+09,1.755e+09,-3.26e+08,1.429e+09,1.429e+09,1.429e+09,1.429e+09,4.7065e+10,5.339e+09,4.1726e+10,4.378e+09,4.378e+09,1.548e+09,7.698e+09,5.279e+09,6.0689e+10,3.234e+09,3.4504e+10,3.693e+09,2.4086e+10,6.725e+09,3.7738e+10,9.8427e+10,3.297e+09,8.91e+08,2.98023223876953e-08,2.406e+09,4.762e+09,1.4885e+10,9.35e+09,5.535e+09,2.2944e+10,1.2385e+10,7.014e+09,3.894e+09,1.483e+09,1.637e+09,1.9399e+10,4.2343e+10,4.1438e+10,1.3928e+10,7.03e+08,5.6069e+10,5.6084e+10,9.8427e+10,1.429e+09,6.12e+08,1.51e+08,3.47e+08,-1.56e+08,-4e+07,6.81e+08,7.73e+08,-9.9e+07,-1.32e+08,1.39e+08,2.873e+09,-2.54e+08,-2.62e+08,-2.62e+08,1.11e+09,8.278e+09,-7.168e+09,-3.37e+08,-3.37e+08,4.6e+07,5.65e+08,9.78e+08,1e+09,-3.389e+09,3.93e+08,-3.782e+09,-4.6e+07,-3.353e+09,8.5e+07,8.5e+07,8.5e+07,2.279e+09,1.7147e+10,3.032e+09,0.53348,0.14944,0.1281,0.02548,0.01452,2.12176,2.64509,0.75499,0.17421,0.26993,0.26826,2.1071,10.59105,0.57272,0.02897,0.03778,-13.12769,-17.94721
"19","2014_Q4",20.271875,"Up",1.1545e+10,-4.539e+09,7.006e+09,-4.464e+09,-2.802e+09,-2.342e+09,-4.6e+08,-1.565e+09,-7.1e+07,2.542e+09,1e+08,2.4e+07,-1.46e+08,1.7e+08,7.6e+07,2.642e+09,2.642e+09,-4.61e+08,2.181e+09,2.181e+09,2.181e+09,2.181e+09,5.0469e+10,6.241e+09,4.4228e+10,4.443e+09,4.443e+09,1.528e+09,7.848e+09,5.344e+09,6.4288e+10,3.31e+09,3.4258e+10,3.461e+09,2.4076e+10,6.721e+09,3.7568e+10,1.01856e+11,3.864e+09,1.051e+09,0,2.813e+09,5.08e+08,1.4143e+10,9.198e+09,4.945e+09,1.8515e+10,2.0384e+10,7.161e+09,3.953e+09,1.53e+09,1.678e+09,2.7545e+10,4.606e+10,4.1241e+10,1.3849e+10,6.97e+08,5.5787e+10,5.5796e+10,1.01856e+11,2.181e+09,6.08e+08,1.14e+08,3.53e+08,-1.55e+08,-8.4e+07,2.95e+08,-7e+07,2.7e+07,1.59e+08,1.79e+08,3.198e+09,-3.69e+08,-3.73e+08,-3.73e+08,-2.593e+09,9.469e+09,-1.2062e+10,0,0,1.4e+07,-2.948e+09,3.745e+09,-1e+09,-2.069e+09,2.16e+08,-2.285e+09,-5e+07,6.52e+08,9.02e+08,9.02e+08,9.02e+08,3.15e+09,2.0892e+10,3.537e+09,0.60684,0.22018,0.18891,0.03909,0.02141,1.62173,3.47221,0.82551,0.20511,0.42407,0.42104,2.2448,10.84717,0.68773,0.03763,0.04218,-9.38952,-11.63533
"20","2015_Q1",22.257868852459,"Up",1.2357e+10,-4.952e+09,7.405e+09,-4.724e+09,-2.981e+09,-2.473e+09,-5.08e+08,-1.593e+09,-6.8e+07,2.681e+09,9.7e+07,4.1e+07,-1.42e+08,1.83e+08,5.6e+07,2.778e+09,2.778e+09,-5.31e+08,2.247e+09,2.247e+09,2.247e+09,2.247e+09,5.2074e+10,6.726e+09,4.5348e+10,5.157e+09,5.157e+09,1.591e+09,8.292e+09,5.484e+09,6.7114e+10,3.252e+09,3.4704e+10,3.28e+09,2.4239e+10,7.185e+09,3.7956e+10,1.0507e+11,4.372e+09,1.032e+09,1.59e+08,3.181e+09,5.08e+08,1.4929e+10,9.478e+09,5.451e+09,1.9809e+10,2.0337e+10,8.263e+09,4.664e+09,1.851e+09,1.748e+09,2.86e+10,4.8409e+10,4.1884e+10,1.4093e+10,6.77e+08,5.6654e+10,5.6661e+10,1.0507e+11,2.247e+09,6.28e+08,-2.32e+08,3.39e+08,-4.97e+08,-7.4e+07,9.69e+08,-7.24e+08,-5.9e+07,-21000000.0000001,1.773e+09,3.612e+09,-2.61e+08,-3.25e+08,-3.25e+08,-1.187e+09,7.315e+09,-8.502e+09,-2.05e+08,-2.05e+08,1.48e+08,-1.505e+09,-21999999.9999995,0,-5.94e+08,8.54e+08,-1.448e+09,-3.2e+07,-1.622e+09,4.85e+08,4.85e+08,4.85e+08,3.309e+09,2.0845e+10,4.548e+09,0.59926,0.21696,0.18184,0.03966,0.02139,2.02403,3.38806,0.85436,0.19839,0.43878,0.4332,2.41301,11.06307,0.88811,0.03755,0.05303,-9.43759,-11.64827
"21","2015_Q2",22.8484126984127,"Up",1.2245e+10,-4.912e+09,7.333e+09,-4.991e+09,-3.019e+09,-2.515e+09,-5.04e+08,-1.583e+09,-7.1e+07,2.342e+09,1.8e+07,4e+07,-1.39e+08,1.79e+08,-2.2e+07,2.36e+09,2.36e+09,-5.32e+08,1.828e+09,1.828e+09,1.828e+09,1.828e+09,5.2107e+10,4.387e+09,4.772e+10,4.375e+09,4.375e+09,1.676e+09,8.238e+09,5.549e+09,6.6396e+10,3.233e+09,3.4349e+10,3.066e+09,2.4364e+10,6.919e+09,3.7582e+10,1.03978e+11,3.754e+09,1.022e+09,9.4e+07,2.638e+09,1.357e+09,1.4945e+10,9.449e+09,5.496e+09,2.0056e+10,1.9615e+10,7.592e+09,4.295e+09,1.504e+09,1.793e+09,2.7207e+10,4.7263e+10,4.1984e+10,1.4273e+10,4.51e+08,5.6708e+10,5.6715e+10,1.03978e+11,1.828e+09,5.99e+08,6.06e+08,3.69e+08,2.36e+08,1e+06,-5.42e+08,7.23e+08,-1.07e+08,-5e+06,-1.153e+09,2.491e+09,-2.82e+08,-2.85e+08,-2.85e+08,-2.455e+09,7.356e+09,-9.811e+09,-1.84e+08,-1.84e+08,4.4e+07,-2.877e+09,-7e+06,-4e+06,-7.35e+08,3.53e+08,-1.088e+09,-2.38e+08,-1.953e+09,-2.339e+09,-2.339e+09,-2.339e+09,2.941e+09,2.0972e+10,2.649e+09,0.59886,0.19126,0.14929,0.03223,0.01758,1.44912,3.31053,0.83334,0.2017,0.35759,0.35454,2.39534,11.09311,0.51819,0.03285,0.03106,-10.58654,-13.29419
"22","2015_Q3",21.67765625,"Down",1.1936e+10,-4.846e+09,7.09e+09,-4.468e+09,-2.798e+09,-2.308e+09,-4.9e+08,-1.529e+09,-7.2e+07,2.622e+09,2.51e+08,5e+07,-1.39e+08,1.89e+08,2.01e+08,2.873e+09,2.873e+09,-4.76e+08,2.397e+09,2.397e+09,2.397e+09,2.397e+09,5.3022e+10,4.797e+09,4.8225e+10,4.541e+09,4.541e+09,1.89e+09,8.429e+09,5.775e+09,6.7882e+10,3.212e+09,3.3828e+10,2.755e+09,2.4382e+10,6.691e+09,3.704e+10,1.04922e+11,3.682e+09,9.88e+08,1.49011611938477e-08,2.694e+09,8.55e+08,1.5497e+10,9.369e+09,6.128e+09,2.0034e+10,1.9667e+10,7.488e+09,4.652e+09,1.433e+09,1.403e+09,2.7155e+10,4.7189e+10,4.2685e+10,1.4847e+10,1.86e+08,5.7718e+10,5.7733e+10,1.04922e+11,2.397e+09,6.3e+08,2.53e+08,3.08e+08,1.49e+08,-2.04e+08,-3.97e+08,-2.22e+08,-2.33e+08,-2.7e+07,8.5e+07,2.883e+09,-2.63e+08,-2.65e+08,-2.65e+08,-5.37e+08,9.804e+09,-1.0341e+10,-3.3e+07,-3.3e+07,7.4e+07,-7.59e+08,-5.03e+08,0,-2.99e+08,8.09e+08,-1.108e+09,6.2e+07,-1.714e+09,4.1e+08,4.1e+08,4.1e+08,3.252e+09,2.0522e+10,3.068e+09,0.594,0.21967,0.20082,0.04152,0.02285,1.27993,3.38834,0.81737,0.19559,0.46844,0.46453,2.33262,11.27966,0.59957,0.03932,0.03578,-9.99385,-12.39512
"23","2015_Q4",22.33171875,"Up",1.2137e+10,-4.612e+09,7.525e+09,-4.6e+09,-2.959e+09,-2.449e+09,-5.1e+08,-1.547e+09,-7e+07,2.925e+09,1.1e+08,5.1e+07,-1.39e+08,1.9e+08,5.9e+07,3.035e+09,3.035e+09,-5.98e+08,2.437e+09,2.437e+09,2.437e+09,2.437e+09,5.4419e+10,3.87e+09,5.0549e+10,4.889e+09,4.889e+09,1.76e+09,8.263e+09,5.724e+09,6.9331e+10,3.276e+09,3.3605e+10,2.626e+09,2.4398e+10,6.581e+09,3.6881e+10,1.06212e+11,3.924e+09,1.118e+09,8e+07,2.726e+09,4.418e+09,1.4903e+10,9.371e+09,5.532e+09,2.3245e+10,1.6586e+10,7.548e+09,4.81e+09,1.294e+09,1.444e+09,2.4134e+10,4.7379e+10,4.3133e+10,1.5503e+10,1.87e+08,5.8823e+10,5.8833e+10,1.06212e+11,2.437e+09,5.7e+08,3.72e+08,3.67e+08,5.3e+07,-4.8e+07,-3.39e+08,-4.04e+08,1.05e+08,1.33e+08,-1.73e+08,3.04e+09,-3.54e+08,-3.57e+08,-3.57e+08,-2.258e+09,8.362e+09,-1.062e+10,-2.1e+07,-2.1e+07,4.1e+07,-2.592e+09,4.99e+08,5e+08,-7.07e+08,4.22e+08,-1.129e+09,-9.7e+07,-1.375e+09,-9.27e+08,-9.27e+08,-9.27e+08,3.495e+09,2.1004e+10,3.4e+09,0.62,0.241,0.20079,0.04142,0.02294,1.39516,2.98262,0.80531,0.19776,0.47766,0.47339,2.37887,11.5294,0.66641,0.04013,0.03891,-9.5608,-11.42393
"24","2016_Q1",20.9859016393443,"Down",1.2843e+10,-5.11e+09,7.733e+09,-4.852e+09,-3.085e+09,-2.549e+09,-5.36e+08,-1.548e+09,-1.46e+08,2.881e+09,5.2e+07,6.2e+07,-1.49e+08,2.11e+08,-1e+07,2.933e+09,2.933e+09,-6.14e+08,2.319e+09,2.319e+09,2.319e+09,2.319e+09,6.0416e+10,6.877e+09,5.3539e+10,5.344e+09,5.344e+09,1.627e+09,5.981e+09,5.981e+09,7.3368e+10,3.332e+09,3.6673e+10,2.376e+09,2.4469e+10,5.374e+09,4.0005e+10,1.13373e+11,4.215e+09,1.104e+09,6.2e+07,3.049e+09,3.897e+09,1.53e+10,9.824e+09,5.476e+09,2.3412e+10,2.1457e+10,8.797e+09,5.359e+09,1.876e+09,1.562e+09,3.0254e+10,5.3666e+10,4.3592e+10,1.6045e+10,6.1e+07,5.9698e+10,5.9707e+10,1.13373e+11,2.319e+09,6.43e+08,-6.6e+07,3.96e+08,-4.61e+08,-999999.999999985,1.242e+09,-5.1e+08,1.19e+08,-1.4e+07,1.647e+09,4.138e+09,-3.06e+08,-3.2e+08,-3.2e+08,-3.417e+09,1.0008e+10,-1.3425e+10,-8.8e+07,-8.8e+07,-4.9e+07,-3.86e+09,4.48e+09,-5e+08,-5.67e+08,4.32e+08,-9.99e+08,-1.15e+08,2.729e+09,3.007e+09,3.007e+09,3.007e+09,3.524e+09,2.5354e+10,5.074e+09,0.60212,0.22432,0.18057,0.03884,0.02045,2.18801,3.13378,0.89882,0.22363,0.45605,0.45293,2.52566,11.74002,0.99784,0.0361,0.05406,-9.94949,-12.17008
"25","2016_Q2",23.1071875,"Up",1.2682e+10,-4.85e+09,7.832e+09,-4.753e+09,-2.982e+09,-2.443e+09,-5.39e+08,-1.56e+09,-6.9e+07,3.079e+09,5.8e+07,6.6e+07,-1.59e+08,2.25e+08,-8e+06,3.137e+09,3.137e+09,-7.07e+08,2.43e+09,2.43e+09,2.43e+09,2.43e+09,5.9107e+10,5.758e+09,5.3349e+10,4.712e+09,4.712e+09,1.482e+09,8.645e+09,5.939e+09,7.3946e+10,3.346e+09,3.4481e+10,2.292e+09,2.4882e+10,7.307e+09,3.7827e+10,1.11773e+11,3.852e+09,1.119e+09,1.22e+08,2.611e+09,3.027e+09,1.5221e+10,9.821e+09,5.4e+09,2.21e+10,2.1594e+10,8.094e+09,5.341e+09,1.49e+09,1.263e+09,2.9688e+10,5.1788e+10,4.3643e+10,1.6586e+10,-2.52e+08,5.9977e+10,5.9985e+10,1.11773e+11,2.43e+09,5.07e+08,4.99e+08,3.76e+08,1.93e+08,-7e+07,-6.7e+08,6.31e+08,1.3e+08,4e+06,-1.435e+09,2.766e+09,-2.56e+08,-2.62e+08,-2.62e+08,-9.3e+07,1.0808e+10,-1.0901e+10,-6.14e+08,-6.14e+08,1.3e+07,-9.5e+08,-8.56e+08,-4e+06,-8.25e+08,3.85e+08,-1.21e+09,-1.86e+08,-2.935e+09,-1.119e+09,-1.119e+09,-1.119e+09,3.586e+09,2.4621e+10,3.367e+09,0.61757,0.24279,0.19161,0.04051,0.02174,1.3856,3.34597,0.86335,0.22028,0.47835,0.47526,2.49646,11.8065,0.6628,0.03773,0.03632,-9.61684,-11.20039
