"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","other_payables_accruals","short_term_debt","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",31.2667741935484,"Up",4.417e+09,-2.89e+09,1.527e+09,-1.89e+08,-1.1e+08,-7.9e+07,1.338e+09,-5.7e+07,-4.2e+07,-1.5e+07,1.281e+09,7.3e+07,1.354e+09,-2.15e+08,1e+06,1.14e+09,1.14e+09,-3.16e+08,8.24e+08,8.24e+08,3.727e+09,3.727e+09,1.424e+09,1.424e+09,3.06e+09,1.969e+09,1.969e+09,1.018e+10,2.0294e+10,2.0294e+10,4.043e+09,3.722e+09,2.4337e+10,3.4517e+10,2.889e+09,5.9e+07,2.531e+09,2e+06,2e+06,2.59e+08,2.59e+08,3.15e+09,3.521e+09,3.521e+09,7.103e+09,3.378e+09,3.725e+09,1.0624e+10,1.3774e+10,1.9201e+10,-3.576e+09,1.953e+09,-4.39e+08,1.7139e+10,3.604e+09,2.0743e+10,3.4517e+10,1.14e+09,2.98e+08,-7.7e+07,-8.35e+08,5.26e+08,-9.71e+08,-1.5e+07,-9.86e+08,-1e+06,-2.3e+07,-3.21e+08,-7.81e+08,-7.81e+08,-7.81e+08,1.636e+09,3.523e+09,4.5e+07,0.34571,0.30292,0.18655,0.03972,0.02387,0.05461,3.23175,0.66403,0.10207,0.86828,0.86464,4.65437,18.06006,0.04742,0.03574,0.00143,-0.12469,-0.15247
"12","2013_Q1",28.5586666666667,"Down",4.513e+09,-3.063e+09,1.45e+09,-1.91e+08,-1.2e+08,-7.1e+07,1.259e+09,-3.4e+07,-3.8e+07,4e+06,1.225e+09,9.9e+07,1.324e+09,-3.82e+08,3e+06,9.45e+08,9.45e+08,-2.02e+08,7.43e+08,7.43e+08,3.705e+09,3.705e+09,9.27e+08,9.27e+08,3.176e+09,2.489e+09,2.053e+09,1.0297e+10,2.0999e+10,2.0999e+10,4.144e+09,4.144e+09,2.5143e+10,3.544e+10,2.716e+09,9.3e+07,2.324e+09,2e+06,2e+06,6.25e+08,2.41e+08,3.343e+09,3.525e+09,3.525e+09,7.261e+09,3.49e+09,3.771e+09,1.0786e+10,1.4129e+10,1.9226e+10,-3.576e+09,2.399e+09,-5.06e+08,1.7543e+10,3.768e+09,2.1311e+10,3.544e+10,9.45e+08,3.23e+08,2e+06,-5000000.00000012,1.265e+09,-9.76e+08,5e+07,-9.26e+08,-999999.999999762,-6.3e+07,-3.61e+08,-2.2e+07,-2.2e+07,-2.2e+07,1.582e+09,3.527e+09,9.83e+08,0.32129,0.27897,0.16464,0.03486,0.02097,1.32301,3.08017,0.66299,0.09952,0.78293,0.77801,4.75553,18.48577,1.03583,0.0324,0.03062,-0.11252,-0.14138
"13","2013_Q2",26.02859375,"Down",4.583e+09,-3.048e+09,1.535e+09,-1.65e+08,-1.13e+08,-5.2e+07,1.37e+09,-6e+07,-5.7e+07,-3e+06,1.31e+09,-6e+07,1.25e+09,-4.28e+08,2e+06,8.24e+08,8.24e+08,-1.76e+08,6.48e+08,6.48e+08,9.595e+09,9.595e+09,1.082e+09,1.082e+09,3.273e+09,2.633e+09,2.633e+09,1.6583e+10,2.1689e+10,2.1689e+10,4.316e+09,4.316e+09,2.6005e+10,4.2588e+10,3.017e+09,1.25e+08,2.892e+09,4e+06,4e+06,2.54e+08,2.54e+08,3.275e+09,1.0088e+10,1.0088e+10,7.376e+09,3.58e+09,3.796e+09,1.7464e+10,2.0739e+10,1.927e+10,-3.58e+09,2.75e+09,-5e+08,1.794e+10,3.909e+09,2.1849e+10,4.2588e+10,8.24e+08,3.29e+08,2e+08,-5.22e+08,8.31e+08,-8.05e+08,1.4e+07,-1.112e+09,6.576e+09,-1.08e+08,6.171e+09,5.89e+09,5.89e+09,5.89e+09,1.699e+09,1.0092e+10,8e+08,0.33493,0.29893,0.14139,0.02966,0.01522,1.23457,5.06351,0.9492,0.23697,0.68211,0.67996,4.82421,18.88421,0.84211,0.02404,0.02035,0.29253,0.36277
"14","2013_Q3",27.06984375,"Up",4.288e+09,-3.383e+09,9.05e+08,-2.5e+08,-1.86e+08,-6.4e+07,6.55e+08,-1.19e+08,-1.32e+08,1.3e+07,5.36e+08,1.12e+08,6.48e+08,-4e+07,2e+06,6.1e+08,6.1e+08,-1.25e+08,4.85e+08,4.82e+08,3.294e+09,3.294e+09,1.244e+09,1.244e+09,3.438e+09,2.602e+09,2.602e+09,1.0578e+10,4.6214e+10,4.6214e+10,6.365e+09,4.461e+09,5.2579e+10,6.3157e+10,5.253e+09,1.14e+08,3.771e+09,7.3e+07,7.3e+07,2.84e+08,2.84e+08,5.61e+09,2.1142e+10,2.1142e+10,1.1756e+10,6.84e+09,4.916e+09,3.2898e+10,3.8508e+10,2.2189e+10,-3.681e+09,1.865e+09,-4.95e+08,1.9878e+10,4.771e+09,2.4649e+10,6.3157e+10,6.1e+08,5.3e+08,-2.7e+08,1.64e+08,1.034e+09,-9.83e+08,-4.68e+08,-6.544e+09,-9.6e+07,-3.97e+08,-7.91e+08,-6.301e+09,-6.301e+09,-6.301e+09,1.185e+09,2.1215e+10,4.06e+08,0.21105,0.15275,0.11241,0.01955,0.00763,0.84232,1.88556,1.56225,0.33591,0.49184,0.49034,4.37551,20.28367,0.41429,0.01354,0.00705,15.12321,27.36031
"15","2013_Q4",31.701875,"Up",6.165e+09,-4.251e+09,1.914e+09,-2.15e+08,-1.58e+08,-5.7e+07,1.699e+09,-1.59e+08,-1.62e+08,3e+06,1.54e+09,8e+06,1.548e+09,-4.99e+08,-1e+06,1.048e+09,1.048e+09,-2.18e+08,8.3e+08,8.21e+08,2.219e+09,2.219e+09,1.749e+09,1.749e+09,3.506e+09,2.132e+09,2.132e+09,9.606e+09,4.6647e+10,4.6647e+10,6.345e+09,4.413e+09,5.2992e+10,6.2598e+10,4.171e+09,1.41e+08,3.698e+09,7e+07,7e+07,2.57e+08,2.57e+08,4.498e+09,2.1053e+10,2.1053e+10,1.1773e+10,6.922e+09,4.851e+09,3.2826e+10,3.7324e+10,2.2209e+10,-3.681e+09,2.361e+09,-4.84e+08,2.0405e+10,4.869e+09,2.5274e+10,6.2598e+10,1.048e+09,9.19e+08,2.92e+08,-3.81e+08,1.878e+09,-9.07e+08,-4.98e+08,-1.432e+09,-6.7e+07,-9.2e+07,-1.521e+09,-1.075e+09,-1.075e+09,-1.075e+09,2.618e+09,2.1123e+10,1.829e+09,0.31046,0.27559,0.13317,0.03248,0.01312,2.22777,2.13562,1.47677,0.33744,0.79171,0.78715,5.94503,19.67695,1.76374,0.03753,0.03144,7.22078,11.12655
"16","2014_Q1",30.0168852459016,"Down",5.885e+09,-3.955e+09,1.93e+09,-2.37e+08,-2e+08,-3.7e+07,1.693e+09,-1.93e+08,-1.67e+08,-2.6e+07,1.5e+09,-3.3e+07,1.467e+09,-5.08e+08,0,9.59e+08,9.59e+08,-2.42e+08,7.17e+08,7.07e+08,1.985e+09,1.985e+09,1.728e+09,1.728e+09,3.435e+09,2.824e+09,2.129e+09,9.972e+09,4.7401e+10,4.7401e+10,6.1e+09,4.184e+09,5.3501e+10,6.3473e+10,4.225e+09,1.84e+08,3.708e+09,3.12e+08,3.12e+08,2.36e+08,2.36e+08,4.773e+09,2.0394e+10,2.0394e+10,1.2359e+10,7.41e+09,4.949e+09,3.2753e+10,3.7526e+10,2.2278e+10,-3.681e+09,2.742e+09,-4.05e+08,2.0934e+10,5.013e+09,2.5947e+10,6.3473e+10,9.59e+08,1.019e+09,3.23e+08,95000000.0000001,2.396e+09,-1.155e+09,-6.65e+08,-1.82e+09,-3.88e+08,-9.8e+07,-8.1e+08,-233999999.999999,-233999999.999999,-233999999.999999,2.712e+09,2.0706e+10,2.16e+09,0.32795,0.28768,0.12014,0.02725,0.01114,3.05516,2.08925,1.44626,0.32622,0.67915,0.67656,5.65322,20.10951,2.07493,0.01747,0.0366,6.90302,11.05789
"17","2014_Q2",31.1688888888889,"Up",4.985e+09,-3.703e+09,1.282e+09,-1.65e+08,-1.35e+08,-3e+07,1.117e+09,-1.28e+08,-1.61e+08,3.3e+07,9.89e+08,-6e+06,9.83e+08,-3.57e+08,0,6.26e+08,6.26e+08,-1.06e+08,5.2e+08,5.1e+08,1.342e+09,1.342e+09,1.511e+09,1.511e+09,3.516e+09,3.061e+09,3.061e+09,9.43e+09,4.8066e+10,4.8066e+10,6.347e+09,4.431e+09,5.4413e+10,6.3843e+10,4.038e+09,1.62e+08,3.543e+09,1.091e+09,1.091e+09,2.54e+08,2.54e+08,5.383e+09,1.9759e+10,1.9759e+10,1.2475e+10,7.504e+09,4.971e+09,3.2234e+10,3.7617e+10,2.2309e+10,-3.683e+09,2.926e+09,-4.02e+08,2.115e+10,5.076e+09,2.6226e+10,6.3843e+10,6.26e+08,9.66e+08,6.2e+07,-4.53e+08,1.201e+09,-1.033e+09,-5.72e+08,-1.605e+09,1.62e+08,-7.5e+07,-2.39e+08,-6.43e+08,-6.43e+08,-6.43e+08,2.083e+09,2.085e+10,9.54e+08,0.25717,0.22407,0.10231,0.01945,0.00799,1.87059,1.75181,1.43434,0.32658,0.49133,0.48851,4.8025,20.37572,0.91908,0.01404,0.01602,9.36534,17.46464
"18","2014_Q3",33.3590625,"Up",5.522e+09,-4.095e+09,1.427e+09,-1.98e+08,-1.64e+08,-3.4e+07,1.229e+09,-1.72e+08,-1.64e+08,-7999999.99999999,1.057e+09,-7.1e+07,9.86e+08,-3.28e+08,2e+06,6.6e+08,6.6e+08,-1.68e+08,4.92e+08,4.82e+08,1.458e+09,1.458e+09,1.838e+09,1.838e+09,3.705e+09,3.253e+09,3.253e+09,1.0254e+10,4.7233e+10,4.7233e+10,6.522e+09,4.805e+09,5.3755e+10,6.4009e+10,4.524e+09,2.4e+08,3.95e+09,2.784e+09,2.784e+09,2.5e+08,2.5e+08,7.558e+09,1.7512e+10,1.7512e+10,1.2527e+10,7.451e+09,5.076e+09,3.0039e+10,3.7597e+10,2.2338e+10,-3.686e+09,3.081e+09,-4.01e+08,2.1332e+10,5.08e+09,2.6412e+10,6.4009e+10,6.6e+08,1.013e+09,7.1e+07,-3.58e+08,1.386e+09,-1.045e+09,-1.275e+09,-2.36e+08,-5.25e+08,-1.82e+08,-1.034e+09,1.16e+08,1.16e+08,1.16e+08,2.242e+09,2.0296e+10,1.167e+09,0.25842,0.22256,0.08729,0.01825,0.00753,2.42116,1.35671,1.42348,0.31708,0.46391,0.46124,5.31473,20.53128,1.1232,0.01366,0.0197,8.40232,15.32791
"19","2014_Q4",25.58921875,"Down",5.696e+09,-4.405e+09,1.291e+09,-1.87e+08,-1.58e+08,-2.9e+07,1.104e+09,-1.35e+08,-1.58e+08,2.3e+07,9.69e+08,8.6e+07,1.055e+09,-3.49e+08,-2e+06,7.04e+08,7.04e+08,-1.42e+08,5.62e+08,5.52e+08,6.58e+08,6.58e+08,1.514e+09,1.514e+09,3.91e+09,2.949e+09,2.949e+09,9.031e+09,4.8641e+10,4.8641e+10,6.304e+09,4.587e+09,5.4945e+10,6.3976e+10,4.271e+09,1.53e+08,3.784e+09,1.762e+09,1.762e+09,3.1e+08,3.1e+08,6.343e+09,1.7975e+10,1.7975e+10,1.2943e+10,7.559e+09,5.384e+09,3.0918e+10,3.7261e+10,2.2365e+10,-3.686e+09,3.306e+09,-3.94e+08,2.1591e+10,5.124e+09,2.6715e+10,6.3976e+10,7.04e+08,9.45e+08,2.01e+08,7.6e+07,1.926e+09,-9.45e+08,-3.24e+08,-1.803e+09,-4.87e+08,-1.1e+08,-9.23e+08,-8e+08,-8e+08,-8e+08,2.049e+09,1.9737e+10,1.529e+09,0.22665,0.19382,0.09691,0.02066,0.00863,2.76993,1.42377,1.39476,0.30851,0.53128,0.52772,5.48219,20.78056,1.47161,0.01478,0.02574,9.31137,17.2817
"20","2015_Q1",18.5985245901639,"Down",3.798e+09,-6.291e+09,-2.493e+09,-1.36e+08,-1.23e+08,-1.3e+07,-2.629e+09,-1.4e+08,-1.23e+08,-1.7e+07,-2.769e+09,-1.055e+09,-3.824e+09,8.09e+08,3e+06,-3.012e+09,-2.735e+09,-1.07e+08,-2.842e+09,-2.852e+09,4.64e+08,4.64e+08,9.53e+08,9.53e+08,3.8e+09,3.828e+09,2.506e+09,9.045e+09,4.5494e+10,4.5494e+10,4.135e+09,4.135e+09,4.9629e+10,5.8674e+10,4.398e+09,4.1e+08,3.653e+09,4.78e+08,4.78e+08,2.96e+08,2.96e+08,5.172e+09,1.8371e+10,1.8371e+10,1.1906e+10,6.398e+09,5.508e+09,3.0277e+10,3.5449e+10,2.2398e+10,-3.695e+09,1.28e+08,-5.44e+08,1.8287e+10,4.938e+09,2.3225e+10,5.8674e+10,-2.735e+09,9.39e+08,2.844e+09,7e+07,1.118e+09,-4.192e+09,7.011e+09,-1.57e+08,-7.46e+08,-8.3e+07,-1.155e+09,-1.94e+08,-1.94e+08,-1.94e+08,-1.69e+09,1.8849e+10,-6.621e+09,-0.6564,-0.69221,-0.75092,-0.1228,-0.04861,2.32153,1.74884,1.52633,0.32125,-2.74231,-2.79334,3.65192,17.58365,-6.36635,-0.0468,-0.12266,-10.8787,-6.99315
"21","2015_Q2",19.4987301587302,"Up",4.153e+09,-6.955e+09,-2.802e+09,-1.87e+08,-1.54e+08,-3.3e+07,-2.989e+09,-1.39e+08,-1.46e+08,7e+06,-3.128e+09,2.6e+07,-3.102e+09,6.95e+08,1e+06,-2.406e+09,-2.406e+09,-5.8e+07,-2.464e+09,-2.474e+09,5.49e+08,5.49e+08,9.95e+08,9.95e+08,3.796e+09,3.514e+09,3.514e+09,8.854e+09,4.2973e+10,4.2973e+10,4.238e+09,4.238e+09,4.7211e+10,5.6065e+10,3.535e+09,3.64e+08,3.111e+09,5.58e+08,5.58e+08,3.17e+08,3.17e+08,4.41e+09,1.9754e+10,1.9754e+10,1.1115e+10,5.625e+09,5.49e+09,3.0869e+10,3.5279e+10,2.2424e+10,-3.701e+09,-2.398e+09,-5.32e+08,1.5793e+10,4.993e+09,2.0786e+10,5.6065e+10,-2.406e+09,9.39e+08,2.299e+09,-1.15e+08,7.17e+08,-8.49e+08,-8.91e+08,-1.74e+09,1.471e+09,-3.6e+07,1.108e+09,8.5e+07,8.5e+07,8.5e+07,-2.05e+09,2.0312e+10,-3.709e+09,-0.67469,-0.71972,-0.59571,-0.11902,-0.04413,1.49919,2.00771,1.69725,0.36229,-2.37885,-2.37885,3.99327,15.18558,-3.56635,-0.04112,-0.07104,-9.64049,-6.61191
"22","2015_Q3",11.42265625,"Down",3.556e+09,-5.864e+09,-2.308e+09,-1.69e+08,-1.45e+08,-2.4e+07,-2.477e+09,-9.9e+07,-1.35e+08,3.6e+07,-2.576e+09,-1.1e+07,-2.587e+09,7.18e+08,2.3283064365387e-10,-1.869e+09,-1.799e+09,-4.2e+07,-1.841e+09,-1.851e+09,4.66e+08,4.66e+08,9.49e+08,9.49e+08,3.947e+09,3.335e+09,3.335e+09,8.697e+09,4.1056e+10,4.1056e+10,4.255e+09,4.255e+09,4.5311e+10,5.4008e+10,3.618e+09,6.7e+07,3.376e+09,7.91e+08,7.91e+08,3.3e+08,3.3e+08,4.739e+09,2.0111e+10,2.0111e+10,1.0346e+10,4.87e+09,5.476e+09,3.0457e+10,3.5196e+10,2.2447e+10,-3.702e+09,-4.417e+09,-5.23e+08,1.3805e+10,5.007e+09,1.8812e+10,5.4008e+10,-1.799e+09,8.9e+08,2.048e+09,-7e+07,1.069e+09,-8.84e+08,-768000000.000001,-1.652e+09,5.91e+08,-3.8e+07,5e+08,-8.3e+07,-8.3e+07,-8.3e+07,-1.587e+09,2.0902e+10,-3.259e+09,-0.64904,-0.69657,-0.52053,-0.09839,-0.03427,1.76067,1.8352,1.87093,0.38702,-1.77981,-1.77981,3.41923,13.27404,-3.13365,-0.03592,-0.0651,-12.87713,-8.2503
"23","2015_Q4",9.1140625,"Down",3.382e+09,-7.161e+09,-3.779e+09,-1.48e+08,-1.22e+08,-2.6e+07,-3.927e+09,-1.98e+08,-1.57e+08,-4.1e+07,-4.125e+09,-3.7e+07,-4.162e+09,3.49e+08,-2e+06,-3.815e+09,-3.79e+09,-2.9e+07,-3.819e+09,-3.83e+09,3.38e+08,3.38e+08,6.26e+08,6.26e+08,3.966e+09,3.225e+09,3.225e+09,8.155e+09,3.7925e+10,3.7925e+10,4.303e+09,4.303e+09,4.2228e+10,5.0383e+10,3.585e+09,7.5e+07,3.445e+09,9.06e+08,9.06e+08,3.36e+08,3.36e+08,4.827e+09,1.9792e+10,1.9792e+10,9.798e+09,4.363e+09,5.435e+09,2.959e+10,3.4417e+10,2.3462e+10,-3.702e+09,-8.305e+09,-5.09e+08,1.0946e+10,5.02e+09,1.5966e+10,5.0383e+10,-3.79e+09,8.88e+08,3.206e+09,5.18e+08,8.22e+08,-8.92e+08,-6.57e+08,-1.549e+09,-2.03e+08,-3e+07,5.99e+08,-1.28e+08,-1.28e+08,-1.28e+08,-3.039e+09,2.0698e+10,-3.762e+09,-1.11739,-1.16115,-1.13247,-0.23988,-0.07602,0.98225,1.68946,2.15564,0.41081,-3.5761,-3.5761,3.1578,10.22035,-3.51261,-0.07884,-0.08097,-6.69957,-5.18462
"24","2016_Q1",6.72524590163934,"Down",3.516e+09,-7.435e+09,-3.919e+09,-1.61e+08,-1.37e+08,-2.4e+07,-4.08e+09,-1.8e+08,-1.79e+08,-1000000.00000001,-4.26e+09,-1.7e+07,-4.277e+09,1.89e+08,-2e+06,-4.09e+09,-4.094e+09,2.3e+07,-4.071e+09,-4.081e+09,1.77e+08,1.77e+08,6.45e+08,6.45e+08,3.114e+09,3.526e+09,1.274e+09,7.462e+09,3.1079e+10,3.1079e+10,8.036e+09,8.036e+09,3.9115e+10,4.6577e+10,3.255e+09,2.3e+07,3.232e+09,6.49e+08,6.49e+08,4.03e+08,4.03e+08,4.307e+09,1.9675e+10,1.9675e+10,9.787e+09,3.567e+09,6.22e+09,2.9462e+10,3.3769e+10,2.442e+10,-3.702e+09,-1.2387e+10,-5.03e+08,7.828e+09,4.98e+09,1.2808e+10,4.6577e+10,-4.094e+09,7.8e+08,3.855e+09,7.1e+07,6.12e+08,-3.728e+09,2.423e+09,-1.305e+09,-2.64e+08,-3.6e+07,5.79e+08,-1.14e+08,-1.14e+08,-1.14e+08,-3.3e+09,2.0324e+10,-7.146e+09,-1.11462,-1.16041,-1.16069,-0.31863,-0.08762,1.75104,1.73253,2.63656,0.43635,-3.46729,-3.46729,2.98726,6.65081,-6.07137,-0.09373,-0.1665,-6.10515,-4.93799
"25","2016_Q2",10.6046875,"Up",3.242e+09,-6.948e+09,-3.706e+09,-1.56e+08,-1.38e+08,-1.8e+07,-3.862e+09,-1.55e+08,-1.91e+08,3.6e+07,-4.017e+09,-1e+07,-4.027e+09,-7.7e+07,7e+06,-4.097e+09,-4.101e+09,-7.2e+07,-4.173e+09,-4.184e+09,3.31e+08,3.31e+08,8.37e+08,8.37e+08,3.358e+09,2.707e+09,1.525e+09,7.233e+09,3.0819e+10,3.0819e+10,4.612e+09,4.612e+09,3.5431e+10,4.2664e+10,3.017e+09,3e+07,2.987e+09,1.139e+09,1.139e+09,2.7e+08,2.7e+08,4.426e+09,1.9638e+10,1.9638e+10,9.863e+09,4.442e+09,5.421e+09,2.9501e+10,3.3927e+10,2.4471e+10,-3.706e+09,-1.657e+10,-5.03e+08,3.692e+09,5.045e+09,8.737e+09,4.2664e+10,-4.101e+09,7.22e+08,3.927e+09,1.92e+08,7.4e+08,-4.13e+08,-5.66e+08,-9.79e+08,3.54e+08,-3.5e+07,3.47e+08,1.08e+08,1.08e+08,1.08e+08,-3.14e+09,2.0777e+10,-3.284e+09,-1.14312,-1.19124,-1.29056,-0.47888,-0.09807,0.78489,1.63421,3.88314,0.48699,-3.34452,-3.34452,2.59153,2.95124,-2.6251,-0.10615,-0.0834,-6.51146,-5.29415
"26","2016_Q3",11.010625,"Up",3.334e+09,-3.879e+09,-5.45e+08,-1.75e+08,-1.6e+08,-1.5e+07,-7.2e+08,-1.68e+08,-1.96e+08,2.8e+07,-8.88e+08,7.74e+08,-1.14e+08,-1.16e+08,1e+06,-2.29e+08,-4.1e+08,-5.9e+07,-4.69e+08,-4.79e+08,3.52e+08,3.52e+08,6.94e+08,6.94e+08,2.686e+09,6.968e+09,1.386e+09,1.07e+10,2.6646e+10,2.6646e+10,3.95e+09,3.95e+09,3.0596e+10,4.1296e+10,2.624e+09,5.5e+07,2.569e+09,7.7e+08,7.7e+08,1.146e+09,1.146e+09,4.54e+09,1.8549e+10,1.8549e+10,9.117e+09,3.758e+09,5.359e+09,2.7666e+10,3.2206e+10,2.525e+10,-3.71e+09,-1.7049e+10,-4.88e+08,4.003e+09,5.087e+09,9.09e+09,4.1296e+10,-4.1e+08,6.52e+08,3.5e+08,2.82e+08,8.74e+08,-4.09e+08,-1.42e+08,4.45e+08,-1.192e+09,-2.7e+07,-1.22e+09,9.9e+07,9.9e+07,9.9e+07,-6.8e+07,1.9319e+10,-7.9e+07,-0.16347,-0.21596,-0.14367,-0.0527,-0.0116,0.16493,2.35683,3.54301,0.46782,-0.37746,-0.37746,2.62727,3.15445,-0.0622500000000001,-0.01274,-0.00211,-278.92647,-26.34306
"27","2016_Q4",12.2484126984127,"Up",3.877e+09,-3.411e+09,4.66e+08,-1.23e+08,-1.1e+08,-1.3e+07,3.43e+08,-1.97e+08,-1.87e+08,-1e+07,1.46e+08,3.1e+07,1.77e+08,1.14e+08,1e+06,2.92e+08,2.86e+08,-5.9e+07,2.27e+08,2.17e+08,1.108e+09,1.108e+09,7.88e+08,7.88e+08,2.66e+09,6.949e+09,1.421e+09,1.1505e+10,2.6038e+10,2.6038e+10,3.857e+09,3.857e+09,2.9895e+10,4.14e+10,2.508e+09,1.61e+08,2.347e+09,8.02e+08,8.02e+08,1.178e+09,1.178e+09,4.488e+09,1.818e+10,1.818e+10,8.892e+09,3.549e+09,5.343e+09,2.7072e+10,3.156e+10,2.575e+10,-3.71e+09,-1.6832e+10,-4.76e+08,4.732e+09,5.108e+09,9.84e+09,4.14e+10,2.86e+08,6.43e+08,-2.3e+07,7.4e+07,9.8e+08,-3.05e+08,9.41e+08,-3.6e+08,-2.38e+08,-4.7e+07,1.25e+08,7.45e+08,7.45e+08,7.45e+08,9.86e+08,1.8982e+10,6.41e+08,0.1202,0.08847,0.05597,0.02205,0.00524,2.95392,2.5635,3.20732,0.4585,0.16122,0.16062,2.88039,3.5156,0.47623,0.00575,0.017,18.12779,52.11079
"28","2017_Q1",13.7564516129032,"Up",4.377e+09,-3.296e+09,1.081e+09,-2.06e+08,-1.89e+08,-1.7e+07,8.75e+08,-2.49e+08,-1.81e+08,-6.8e+07,6.26e+08,-1.34e+08,4.92e+08,-2.92e+08,2e+06,2.02e+08,2e+08,-1e+08,1e+08,2.92e+08,4.245e+09,4.245e+09,1.126e+09,1.126e+09,2.644e+09,2.42e+09,1.197e+09,1.0435e+10,2.3293e+10,2.3293e+10,3.589e+09,3.589e+09,2.6882e+10,3.7317e+10,2.459e+09,6.6e+07,2.393e+09,1.232e+09,1.232e+09,5.74e+08,5.74e+08,4.265e+09,1.4795e+10,1.4795e+10,9e+09,3.768e+09,5.232e+09,2.3795e+10,2.806e+10,2.6847e+10,-3.708e+09,-1.654e+10,-5.48e+08,6.051e+09,3.206e+09,9.257e+09,3.7317e+10,2e+08,5.93e+08,6.1e+08,-2.6e+08,1.143e+09,-1.686e+09,2.01e+08,4.447e+09,-2.868e+09,-6.22e+08,-2.418e+09,3.172e+09,3.172e+09,3.172e+09,1.468e+09,1.6027e+10,-1.86e+08,0.24697,0.19991,0.06671,0.03154,0.00782,-0.636990000000001,2.44666,3.03122,0.42948,0.20768,0.20842,3.11309,4.3037,-0.13229,0.00855,-0.00543,8.02589,13.46514
"29","2017_Q2",11.6192063492063,"Down",3.341e+09,-2.589e+09,7.52e+08,-1.68e+08,-1.53e+08,-1.5e+07,5.84e+08,-1.42e+08,-1.67e+08,2.5e+07,4.42e+08,-4e+06,4.38e+08,-1.74e+08,4e+06,2.68e+08,3.06e+08,-7.8e+07,2.28e+08,2.28e+08,4.001e+09,4.001e+09,7.34e+08,7.34e+08,2.63e+09,2.402e+09,1.329e+09,9.767e+09,2.3174e+10,2.3174e+10,3.635e+09,3.635e+09,2.6809e+10,3.6576e+10,1.97e+09,1.9e+08,1.78e+09,2.228e+09,2.228e+09,6.44e+08,6.44e+08,4.842e+09,1.3135e+10,1.3135e+10,9.012e+09,3.786e+09,5.226e+09,2.2147e+10,2.6989e+10,2.6883e+10,-3.717e+09,-1.6311e+10,-5.37e+08,6.318e+09,3.269e+09,9.587e+09,3.6576e+10,3.06e+08,3.89e+08,-1.6e+08,2.57e+08,7.92e+08,-3.44e+08,-2.1e+07,-3.65e+08,-6.58e+08,-2e+07,-6.79e+08,-2.52e+08,-2.52e+08,-2.52e+08,9.73e+08,1.5363e+10,1.06e+09,0.22508,0.1748,0.06824,0.02378,0.00623,4.64912,2.01714,2.81517,0.42003,0.15768,0.15681,2.31051,4.36929,0.73306,0.00674,0.03121,11.67729,19.45548
