"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",33.096935483871,"Down",198941000,-81464000,117477000,-71539000,-5061000,-66478000,45938000,-22225000,17248000,23713000,21969000,45682000,934000,46616000,47275000,-3382000,43893000,43893000,76553000,76553000,132538000,132538000,428566000,428566000,637657000,5942141000,5942141000,6972199000,7609856000,352952000,74754000,278198000,3385273000,181684000,181684000,3919909000,404239000,404239000,4324148000,3672714000,1363000,3671351000,-734684000,2938030000,347678000,3285708000,7609856000,47275000,77567000,-29316000,16055000,111581000,-46222000,129898000,83775000,-79496000,-277026000,-28178000,-208600000,-13244000,-13244000,-13244000,123505000,3789512000,92404000,0.59051,0.23091,0.22063,0.01336,0.00577,2.10521,0.16267,1.31605,0.49797,0.32699,0.32676,1.48206,21.88754,0.68839,0.59222,0.01744,0.01306,1.81113,30.06323,80.82544
"12","2013_Q1",35.2476666666667,"Up",204619000,-85248000,119371000,-75621000,-5177000,-70444000,43750000,-30502000,8596000,13248000,188752000,2.02e+08,2e+06,2.04e+08,186295000,-12048000,174247000,174247000,65793000,65793000,127411000,127411000,660856000,660856000,854060000,7479546000,7479546000,8457149000,9311209000,388425000,70251000,318174000,4437343000,245163000,245163000,5070931000,824027000,824027000,5894958000,3717270000,1375000,3715895000,-639741000,3077529000,338722000,3416251000,9311209000,186295000,88310000,-169984000,-9504000,95117000,-1093645000,38204000,-1054851000,-85550000,1053947000,-18134000,948974000,-10760000,-10760000,-10760000,132060000,5261370000,-973089000,0.58338,0.21381,0.85157,0.05101,0.01871,-5.58454,0.16842,1.72556,0.56506,1.27192,1.2715,1.49362,22.46454,-7.1031,0.62448,0.02994,-0.11214,0.490969999999999,39.34255,118.75605
"13","2013_Q2",38.60671875,"Up",243304000,-101753000,141551000,-93042000,-6024000,-87018000,48509000,-33606000,16074000,14903000,4828000.00000003,19731000,243000,19974000,22530000,-4438000,18092000,18092000,68814000,68814000,123379000,123379000,688627000,688627000,880820000,7932563000,7932563000,8881864000,9762684000,415332000,89237000,326095000,4910655000,282968000,282968000,5608955000,797138000,797138000,6406093000,3718467000,1376000,3717091000,-701447000,3017020000,339571000,3356591000,9762684000,22530000,95465000,-13783000,3331000,107543000,-511583000,54868000,-456616000,-86207000,448820000,-10519000,352094000,3021000,3021000,3021000,143974000,5707793000,-364521000,0.58179,0.19938,0.07436,0.00539000000000001,0.00185,-20.14819,0.15704,1.90851,0.58465,0.13154,0.13147,1.76899,21.9359,-2.65033,0.62679,0.01151,-0.04021,4.76492,39.16665,116.24604
"14","2013_Q3",35.4840625,"Down",245879000,-101502000,144377000,-95271000,-6693000,-88578000,49106000,39686000,90063000,88792000,1145000,89937000,1478000,91415000,234815000,-15818000,218997000,218997000,46943000,46943000,119450000,119450000,652236000,652236000,818629000,7778785000,7778785000,8731260000,9549889000,391842000,71641000,320201000,4624213000,289211000,289211000,5305266000,566854000,566854000,5872120000,3897902000,1407000,3896495000,-562995000,3334907000,342862000,3677769000,9549889000,234815000,95966000,-233932000,-21605000,75244000,236034000,99513000,336137000,-87210000,-511952000,-5723000,-433252000,-21871000,-21871000,-21871000,145072000,5191067000,358023000,0.58719,0.19972,0.89067,0.05955,0.02293,1.63483,0.1543,1.59665,0.54357,1.5712,1.56935,1.76407,23.92638,2.56865,0.62569,0.03453,0.04037,0.39822,35.45911,104.75551
"15","2013_Q4",34.76703125,"Down",258152000,-106383000,151769000,-94391000,-5955000,-88436000,57378000,-16495000,33108000,40883000,8244000,49127000,542000,49669000,40825000,-2702000,38123000,38123000,62108000,62108000,94719000,94719000,605585000,605585000,762412000,7733929000,7733929000,8443115000,9205527000,445802000,85394000,360408000,4480615000,341403000,341403000,5267820000,282937000,282937000,5550757000,3903083000,1407000,3901676000,-606464000,3296619000,358151000,3654770000,9205527000,40825000,94502000,-32921000,43663000,146069000,-70403000,402260000,354937000,-87725000,-391960000,-6202000,-485841000,15165000,15165000,15165000,151880000,4763552000,124598000,0.58791,0.22226,0.14768,0.01043,0.00413999999999999,3.26832,0.14473,1.51877,0.51747,0.27088,0.27076,1.83429,23.42397,0.88533,0.62333,0.01495,0.0148,2.3011,30.95499,81.93809
"16","2014_Q1",35.8911475409836,"Up",282140000,-113618000,168522000,-102233000,-9100000,-93133000,66289000,-28116000,19471000,38173000,-39637000,-1463999.99999999,-571000,-2035000,150789000,-5911000,144878000,144878000,69715000,69715000,99497000,99497000,580033000,580033000,749245000,7621766000,7621766000,8326005000,9075250000,440099000,76941000,363158000,4415190000,333707000,333707000,5188996000,167537000,167537000,5356533000,3907555000,1407000,3906148000,-548806000,3358749000,359968000,3718717000,9075250000,150789000,97069000,-125406000,-29273000,93179000,35425000,1984000,37409000,-94364000,-23216000,-7921000,-122981000,7607000,7607000,7607000,163358000,4582727000,170081000,0.5973,0.23495,0.5135,0.03896,0.01596,1.17396,0.14439,1.44043,0.50497,1.02944,1.02926,2.00476,23.86577,1.20852,0.67051,0.02882,0.02049,0.65133,27.62651,68.08086
"17","2014_Q2",39.8619047619048,"Up",264512000,-113148000,151364000,-95534000,-6877000,-88657000,55830000,-34389000,11949000,21441000,-1969000.00000001,19472000,172000,19644000,19644000,-1825000,17819000,17819000,64926000,64926000,100838000,100838000,560644000,560644000,726408000,7553979000,7553979000,8281983000,9008391000,401334000,89146000,312188000,4.384e+09,332805000,332805000,5118139000,227132000,227132000,5345271000,3922113000,1409000,3920704000,-618277000,3303836000,359284000,3663120000,9008391000,19644000,90569000,2385000,-14687000,97911000,-9856000,-12395000,-22251000,-95342000,29757000,-14864000,-80449000,-4789000,-4789000,-4789000,146399000,4611132000,121684000,0.57224,0.21107,0.06737,0.00486,0.00198,6.82889,0.14193,1.45921,0.51187,0.12659,0.12654,1.87908,23.47025,0.86444,0.6773,0.01368,0.01471,5.35058,31.05353,81.42945
"18","2014_Q3",40.50875,"Up",254333000,-102754000,151579000,-92929000,-5129000,-87800000,58650000,-34109000,11691000,24541000,-9454000,15087000,2898000,17985000,17985000,-1897000,16088000,16088000,56500000,56500000,97900000,97900000,551393000,551393000,705793000,7556064000,7556064000,8356470000,9062263000,373551000,66652000,306899000,4373389000,337927000,337927000,5084867000,386718000,386718000,5471585000,3927122000,1409000,3925713000,-689497000,3237625000,353053000,3590678000,9062263000,17985000,89805000,-1747000,-13382000,92661000,-77017000,-75531000,-152548000,-95858000,150327000,-3653000,51461000,-8426000,-8426000,-8426000,148455000,4760107000,55158000,0.59599,0.2306,0.0632599999999999,0.00448,0.00178,3.42852,0.1388,1.52383,0.52527,0.11419,0.11407,1.80514,22.97915,0.39149,0.68036,0.01341,0.00661,5.95835,31.68372,80.1979
"19","2014_Q4",45.8065625,"Up",263493000,-106866000,156627000,-95075000,-5333000,-89742000,61552000,-33011000,14792000,28541000,9514000.00000006,38055000,689000,38744000,38744000,-2830000,35914000,35914000,58479000,58479000,107968000,107968000,538240000,538240000,704687000,7570636000,7570636000,8501421000,9206108000,407174000,89659000,317515000,4384238000,329342000,329342000,5120754000,546301000,546301000,5667055000,3931726000,1409000,3930317000,-740906000,3190820000,348233000,3539053000,9206108000,38744000,93391000,-25591000,-210000,106334000,-39135000,-128465000,-167600000,-95006000,171784000,-13533000,63245000,1979000,1979000,1979000,154943000,4930539000,114909000,0.59443,0.2336,0.1363,0.01015,0.0039,3.19956,0.13761,1.60129,0.53557,0.25486,0.2546,1.86986,22.64342,0.81544,0.6742,0.01546,0.01357,2.64538,31.44421,79.15356
"20","2015_Q1",54.8573770491803,"Up",322909000,-119161000,203748000,-124590000,-12073000,-112517000,79158000,-38044000,12704000,41114000,1488934000,1530048000,510000,1530558000,1530558000,-101337000,1429221000,1429221000,84907000,84907000,132026000,132026000,852823000,852823000,1069756000,11067890000,11067890000,12052022000,13121778000,684122000,115406000,568716000,5404521000,105407000,105407000,6194050000,887879000,887879000,7081929000,5043379000,1582000,5041797000,596741000,5640120000,399729000,6039849000,13121778000,1530558000,114020000,-1514479000,-26299000,103800000,178768000,-92160000,86608000,-99519000,-2000,-65045000,-163980000,26428000,26428000,26428000,193178000,6292400000,345137000,0.63098,0.24514,4.42608,0.23663,0.10892,0.24149,0.17271,1.17253,0.47954,9.5282,9.51222,2.15274,37.60105,2.30093,0.66346,0.12396,0.02799,0.0696300000000001,32.13354,78.41902
"21","2015_Q2",51.2850793650794,"Down",318335000,-128132000,190203000,-129040000,-8422000,-120618000,61163000,-47142000,6144000,14021000,11711000,25732000,935000,26667000,26667000,-2056000,24611000,24611000,118161000,118161000,113505000,113505000,847508000,847508000,1079174000,11110841000,11110841000,12117493000,13196667000,647161000,114991000,532170000,5486902000,101587000,101587000,6235650000,987452000,987452000,7223102000,5066031000,1585000,5064446000,510506000,5576537000,397028000,5973565000,13196667000,26667000,122418000,-28519000,41564000,162130000,-118822000,-31198000,-150020000,-111462000,141102000,-8496000,21144000,33254000,33254000,33254000,183581000,6474354000,105388000,0.59749,0.19213,0.07731,0.00412000000000007,0.00186,4.28215,0.17307,1.20918,0.49061,0.15544,0.15523,2.0105,35.21964,0.6656,0.70396,0.01093,0.00847,4.52895,34.62337,103.92219
"22","2015_Q3",49.31015625,"Down",322794000,-114116000,208678000,-126883000,-7550000,-119333000,81795000,-48615000,6281000,33180000,-17717000,15463000,283000,15746000,15745999.9999998,-1350999.99999999,14395000,14395000,110326000,110326000,118398000,118398000,821869000,821869000,1050593000,11046427000,11046427000,12309783000,13360376000,637803000,109396000,528407000,5837192000,98718000,98718000,6573713000,902016000,902016000,7475729000,5078311000,1585000,5076726000,415017000,5493328000,391319000,5884647000,13360376000,15745999.9999998,121108000,-5579000,-20526000,110749000,-55051000.0000001,-253049000,-308100000,-110449000,304482000,-5262000,189516000,-7835000,-7835000,-7835000,202903000,6739208000,127043000,0.64647,0.2534,0.0445999999999998,0.00245,0.00108,8.82549,0.15982,1.27038,0.50442,0.0908200000000012,0.0907399999999998,2.03654,34.658,0.80153,0.69683,0.00989,0.01006,7.67273,32.6702,81.04263
"23","2015_Q4",52.38625,"Up",326262000,-115962000,210300000,-124174000,-6688000,-117486000,86126000,-47093000,7863000,39033000,-3578000,35455000,859000,36314000,36314000,-2717000,33597000,33597000,93009000,93009000,123067000,123067000,824413000,824413000,1040489000,11031476000,11031476000,12309692000,13350181000,616262000,92207000,524055000,5689583000,93545000,93545000,6399390000,1136575000,1136575000,7535965000,5089283000,1585000,5087698000,338693000,5427976000,386240000,5814216000,13350181000,36314000,119155000,-10100000,-4597000,140772000,-83748000,-9891000,-93639000,-110491000,92459000,-46418000,-64450000,-17317000,-17317000,-17317000,205281000,6826158000,116077000,0.64457,0.26398,0.10298,0.00578,0.00252,3.45498,0.16259,1.29613,0.51132,0.21195,0.21179,2.05821,34.24223,0.73227,0.69703,0.0114,0.00918,3.28872,32.79967,78.17789
"24","2016_Q1",52.033606557377,"Down",320758000,-113945000,206813000,-114245000,-7210000,-107035000,92568000,-35733000,13072000,56835000,386204000,443039000,1146000,444185000,444185000,-29226000,414959000,414959000,86510000,86510000,130002000,130002000,689608000,689608000,906120000,8796912000,8796912000,10329464000,11235584000,815382000,74398000,403281000,4608587000,88213000,88213000,5512182000,652163000,652163000,6164345000,4928174000,1544000,4926630000,-212760000,4715414000,355825000,5071239000,11235584000,444185000,108639000,-415116000,-10982000,126726000,540100000,-89365000,450735000,-454707000,258415000,11709000,-583960000,-6499000,-6499000,-6499000,201207000,5260750000,729179000,0.64476,0.28859,1.29368,0.08183,0.03693,1.75723,0.16438,1.21555,0.46822,2.65472,2.6527,2.05206,30.16707,4.66495,2.90901,0.08417,0.07057,1.09579,25.716,55.89664
"25","2016_Q2",52.5515625,"Up",2.56e+08,-107224000,148776000,-95560000,-8629000,-86931000,53216000,-31405000,8371000,21811000,430881000,452692000,-1317000,451375000,451375000,-30460000,420915000,420915000,106505000,106505000,113188000,113188000,620484000,620484000,840177000,7526652000,7526652000,9371168000,10211345000,439572000,64549000,375023000,3912049000,82935000,82935000,4434556000,746919000,746919000,5181475000,4842786000,1495000,4841291000,-175775000,4667011000,362859000,5029870000,10211345000,451375000,88176000,-422144000,2462000,119869000,534459000,-176044000,358415000,-452225000,413044000,-19090000,-458289000,19995000,19995000,19995000,141392000,4658968000,679630000,0.58116,0.20788,1.6442,0.08368,0.04122,1.61465,0.18946,1.03014,0.45625,2.76947,2.7673,1.68439,30.70725,4.47172,2.97548,0.09012,0.07015,1.07439,32.19746,85.54688
"26","2016_Q3",57.1425,"Up",259904000,-98209000,161695000,-92871000,-7681000,-85190000,68824000,-29791000,11404000,39033000,10915000,49948000,-514000,49434000,49433999.9999999,-4212000,45222000,45222000,73138000,73138000,110670000,110670000,604553000,604553000,788361000,7442988000,7442988000,9209318000,9997679000,425790000,52836000,372954000,3897189000,82276000,82276000,4405255000,1015323000,1015323000,5420578000,4614561000,1447000,4613114000,-378389000,4236172000,340929000,4577101000,9997679000,49433999.9999999,86914000,-17558000,-18950000,99840000,39433000,86936000,126369000,-109386000,253125000,-4149000,-259576000,-33367000,-33367000,-33367000,155738000,4912512000,176735000,0.62213,0.26481,0.174,0.00988,0.00452,3.90816,0.17896,1.18428,0.49137,0.30838,0.30812,1.77235,28.88746,1.2052,0.74593,0.01629,0.01862,2.41887,31.07382,70.31521
"27","2016_Q4",48.7963492063492,"Down",253367000,-99595000,153772000,-93906000,-6930000,-86976000,59866000,-31728000,8255000,28138000,-14037000,14101000,-905000,13196000,13196000,534000,13730000,13730000,84181000,84181000,126811000,126811000,600481000,600481000,811473000,7376768000,7376768000,9130292000,9941765000,419668000,62018000,357650000,3845158000,137487000,137487000,4402313000,1048944000,1048944000,5451257000,4582979000,1439000,4581540000,-419777000,4163202000,327306000,4490508000,9941765000,13196000,88424000,6713000,3045000,111378000,-54945000,64287000,9342000,-106174000,25004000,-28507000,-109677000,11043000,11043000,11043000,148290000,4894102000,97295000,0.60691,0.23628,0.05419,0.00306000000000001,0.00138,7.08631,0.18433,1.21395,0.49228,0.0954,0.09532,1.76043,28.92659,0.67602,0.73771,0.01278,0.01037,7.73299,32.43591,80.34479
"28","2017_Q1",46.378064516129,"Down",2.72e+08,-100918000,171082000,-94368000,-4977000,-89391000,76714000,-27192000,15529000,49522000,-10702000,38820000,2014000,40834000,40834000,-3706000,37128000,37128000,94046000,94046000,136998000,136998000,596236000,596236000,827280000,7357310000,7357310000,9130868000,9958148000,427481000,61316000,366165000,4085418000,137599000,137599000,4650498000,880482000,880482000,5530980000,4594669000,1440000,4593229000,-488782000,4105887000,321281000,4427168000,9958148000,40834000,91844000,-16911000,-29348000,86419000,-54151000,3138000,-51013000,-111523000,72074000,13045000,-25541000,9865000,9865000,9865000,168558000,4965900000,83045000,0.62898,0.28204,0.1365,0.00839,0.00373,2.23672,0.17789,1.24933,0.49868,0.25811,0.25795,1.89092,28.54383,0.57732,0.7753,0.01583,0.00884,3.00374,28.90313,63.50671
"29","2017_Q2",42.347619047619,"Down",247045000,-104414000,142631000,-91536000,-8463000,-83073000,51095000,-29335000,11966000,21760000,49565000,71325000,3484000,74809000,74809000,-5566000,69243000,69243000,92296000,92296000,112520000,112520000,590033000,590033000,794849000,7206598000,7206598000,8917215000,9712064000,380610000,63398000,317212000,4006522000,155149000,155149000,4542281000,895886000,895886000,5438167000,4532050000,1419000,4530631000,-574597000,3957453000,316444000,4273897000,9712064000,74809000,84551000,-52509000,-4147000,102704000,130286000,76880000,207166000,-110621000,-63927000,-4459000,-311557000,-1687000,-1687000,-1687000,135646000,4902408000,258301000,0.57735,0.20682,0.28028,0.0162,0.00713,3.73036,0.17499,1.27241,0.50478,0.48221,0.48201,1.72042,27.55963,1.7988,0.77036,0.0196,0.02815,1.59758,35.46077,94.14056
