"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","net_fixed_assets","other_assets","total_assets","long_term_debt","other_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_loans_interbank","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2017_Q4",8.93873015873016,"Up",14226000,13754000,24529000,-10775000,472000,14226000,-6463000,7763000,7763000,7763000,-47000,7716000,7716000,-246000,7470000,7470000,43086000,13385000,1053285000,29263000,17319000,1157413000,360785000,4777000,861904000,0,250119000,183000,249936000,34875000,284824000,10685000,295509000,1157413000,7716000,24000,-7566000,4495000,4669000,3473000,6228000,-12102000,-2401000,-5475000,-27469000,50000,32718000,-176000,2092000,2092000,2092000,7787000,857127000,15802000,0.54569,0.52509,0.02528,0.00645,2.11539,2.91668,0.74055,0.41335,0.29588,0.78718,15.76047,0.87439,0.30295,0.01118,0.01365,0.73293,104.53846,104.86165
"12","2018_Q1",8.52622950819672,"Down",13797000,12985000,24367000,-11382000,812000,13797000,-6211000,7586000,7586000,6673000,-35000,6638000,6638000,-454000,6184000,6184000,53721000,13305000,1253541000,26231000,21899000,1395738000,378956000,5304000,1078300000,1.13686837721616e-13,255033000,186000,254847000,35556000,290356000,27082000,317438000,1395738000,6638000,24000,-8005000,-4503000,-5846000,5221000,-189105000,-23392000,-212391000,-5503000,-89898000,3915000,319584000,228098000,9861000,9861000,9861000,7610000,1072996000,8363000,0.54983,0.44821,0.01948,0.00443,1.35236,3.39688,0.76877,0.33905,0.23595,0.75644,15.91924,0.45851,0.30171,0.00837,0.00599,0.88988,133.9389,134.36264
"13","2018_Q2",8.71171875,"Up",14743000,13097000,25591000,-12494000,1646000,14743000,-6405000,8338000,8338000,8338000,-16000,8322000,8322000,-657000,7665000,7665000,47459000,14945000,1247213000,28997000,23945000,1362585000,375963000,4485000,1042942000,0,256699000,187000,256512000,37615000,293971000,25672000,319643000,1362585000,8322000,22000,-7801000,-3323000,-2780000,1344000,12534000,26758000,39564000,-5606000,-32431000,52000,-5336000,-43321000,-6537000,-6537000,-6537000,8360000,1038457000,6397000,0.56556,0.51991,0.02398,0.00563,0.83457,3.26283,0.76212,0.41414,0.29039,0.79657,15.88338,0.34563,0.30289,0.00974,0.00469,0.73138,118.54043,118.8532
"14","2018_Q3",9.04984126984127,"Up",14777000,13891000,26690000,-12799000,886000,14777000,-6562000,8215000,8215000,8215000,-2000,8213000,8213000,-692000,7521000,7521000,34710000,41750000,1231195000,28347000,23329000,1359356000,398616000,4928000,1036680000,-1.81898940354586e-12,258024000,188000,257836000,39620000,297097000,25579000,322676000,1359356000,8213000,32000,-7973000,4e+05,672000,3957000,23837000,-283000,1011000,-5626000,-30511000,33000,21670999.9999999,-14433000,-12750000,-12750000,-12750000,8247000,1031752000,12606000,0.55593,0.50897,0.02331,0.00553,1.67611,3.21276,0.759,0.40445,0.28406,0.79464,15.97659,0.6779,0.30254,0.00967,0.00927,0.74804,120.89754,121.36847
"15","2018_Q4",8.89904761904762,"Down",15115000,14419000,27416000,-12997000,696000,14750000,-6335000,8415000,8415000,7579000,-84000,7495000,7495000,-937000,6558000,6558000,59758000,60488000,1272644000,28543000,25516000,1492476000,523623000,5481000,1160311000,0,259043000,189000,258854000,40518000,299126000,33039000,332165000,1492476000,7495000,40000,-7302000,-1090000,-492000,1746000,-28855000,-31242000,-77710000,-5660000,-169490000,55000,297107000,122012000,43810000,43810000,43810000,8455000,1154830000,9195000,0.55673,0.43387,0.01974,0.00439,1.4021,3.49318,0.77377,0.35086,0.24661,0.80866,16.00341,0.49194,0.30281,0.00819,0.00616,0.86307,129.51768,130.13333
"16","2019_Q1",9.16114754098361,"Up",14693000,13439000,28484000,-15045000,1254000,13894000,-6625000,7269000,7269000,7269000,38000,7307000,7307000,-711000,6596000,6596000,55146000,177550000,1310873000,37037000,22241000,1602871000,651614000,6779000,1268592000,-1.45519152283669e-11,260616000,189000,260427000,41063000,300834000,33445000,334279000,1602871000,7307000,61000,-7878000,4508000,3633000,10585000,-30491000,-11997000,-153262000,-6051000,145329000,-38181000,-1583000,99514000,-50115000,-50115000,-50115000,7330000,1261813000,22385000,0.49473,0.44892,0.01973,0.00412,3.39372,3.79501,0.78722,0.35132,0.27648,0.78259,16.02324,1.19229,0.32229,0.00789,0.01397,0.91737,164.62033,166.00179
"17","2019_Q2",9.84857142857143,"Up",15338000,13767000,29452000,-15685000,1571000,15184000,-6992000,8192000,8192000,8192000,-71000,8121000,8121000,-791000,7330000,7330000,41542000,191796000,1313677000,37822000,31322000,1616182000,678242000,8144000,1279507000,0,261717000,190000,261527000,41372000,302601000,34074000,336675000,1616182000,8121000,106000,-9833000,-3592000,-5044000,2831000,3767000,247000,-5593000,-7021000,-17837000,72000,21818000,-2968000,-13605000,-13605000,-13605000,8298000,1271363000,7608000,0.5341,0.4779,0.02177,0.00454,1.03793,3.80042,0.78665,0.38965,0.26339,0.81534,16.08578,0.40443,0.37322,0.00888,0.00471,0.95784,148.20692,150.12463
"18","2019_Q3",10.6878125,"Up",13774000,12689000,28128000,-15439000,1085000,13689000,-6857000,6832000,6832000,13664000,-38000,13626000,13626000,-599000,13027000,13027000,55728000,206793000,1198140000,42218000,28329000,1531230000,672270000,6633000,1185644000,4.65661287307739e-10,273635000,197000,273438000,48301000,322116000,23470000,345586000,1531230000,13626000,123000,-18911000,-12000,-5089000,5179000,-56390000,-4357000,118121000,-6098000,-87436000,64000,-5377000.00000001,-98847000,14185000,14185000,14185000,6955000,1179011000,12160000,0.49601,0.94577,0.0377,0.00851,0.93345,3.43082,0.76998,0.67948,0.46642,0.71845,16.80145,0.63426,0.31807,0.01249,0.00794,0.4681,161.50726,164.41496
"19","2019_Q4",11.55953125,"Up",15210000,13406000,27723000,-14317000,1804000,15207000,-7066000,8141000,8141000,8250000,-27000,8223000,8223000,-532000,7691000,7691000,57905000,245564000,1164914000,54833000,30449000,1553686000,556852000,7642000,1195722000,0,283273000,204000,283069000,49649000,334069000,23895000,357964000,1553686000,8223000,138000,-9772000,804000,-846000,5313000,40027000,-17434000,-4578000,-6343000,-30380000,8361000,35962000,7600000,2176000,2176000,2176000,8279000,1188080000,14423000,0.53524,0.50565,0.02149,0.00495,1.87531,3.34034,0.76468,0.38923,0.27269,0.76976,16.90677,0.72993,0.32101,0.00903,0.00928,0.82473,136.51105,138.82508
"20","2020_Q1",10.0059677419355,"Down",20597000,13229000,27113000,-13884000,7368000,20839000,-6362000,14477000,14477000,7107000,12000,7119000,7119000,-462000,6657000,6657000,64343000,320100000,1151469000,15071000,25858000,1576841000,532898000,7112000,1192757000,-33675146.4744186,309617000,222000,309395000,49446000,359882000,24202000,384084000,1576841000,7119000,132000,-10917000,-353000,-4019000,-23411000,229842000,22859000,-7783000,-6860000,178433000,-418288000,264954000,18239000,6437000,6437000,6437000,14609000,1185645000,-9167000,0.70287,0.3232,0.01733,0.00422,-1.37705,3.10546,0.75191,0.31552,0.23171,0.97622,17.05698,-0.43448,0.32514,0.00857,-0.00581,1.03049,76.75419,77.45403
"21","2020_Q2",6.49730158730159,"Down",13453000,13818000,26888000,-13070000,-365000,8742000,-6452000,2290000,2290000,1177000,319000,1496000,1496000,-1096000,4e+05,4e+05,31179000,340103000,1098629000,12250000,55667000,1537847000,542511000,7124000,1180573000,1.49011611938477e-08,316992000,230000,316762000,42749000,332060000,25214000,357274000,1537847000,1496000,8000,-2769000,-29144000,-30409000,3017000,68851000,453000,11015000,-6368471.46567751,-30775000,-55440000,72444000,-13771000,-33165000,-33165000,-33165000,2298000,1173449000,-24148000,0.17022,0.02973,0.00112,0.00026,-60.37,3.30439,0.76305,0.01812,0.01803,0.60955,15.04552,-1.09414,0.287166939947561,0.00026,-0.0157,0.903248946934095,497.07137,498.80786
"22","2020_Q3",7.395625,"Up",10911000,10113000,23171000,-13058000,798000,15622000,-6139000,9483000,9483000,8938000,-120000,8818000,8818000,-735000,8083000,6242000,163422000,356353000,1080617000,8233000,31109000,1639924000,511808000,19434000,1141054000,115144000,317259000,230000,317029000,45084000,472987000,25883000,498870000,1639924000,8818000,7999.99999999999,-14122000,25473000,20177000,4302000,41485000,180999.999999996,45968000,-5748000,-21879000,21129000,72767000,66269000,132414000,132414000,132414000,9491000,1121620000,39386000,0.86912,0.57208,0.01251,0.00381,6.30984,2.28728,0.68395,0.27366,0.27222,0.47837,15.68872,1.72678,0.25201,0.00731,0.02402,0.92086,100.95859,101.04376
"23","2020_Q4",7.72359375,"Up",16742000,11790000,23517000,-11727000,4952000,16742000,-5847000,10895000,10895000,8876000,15999.9999999999,8892000,8892000,-1662000,7230000,5280000,135190000,399626000,1102360000,7208000,22401000,1666974000,525129000,21285000,1160628000,51100000,317526000,231000,317295000,46441000,478878000,27468000,506346000,1666974000,8892000,7000,-9780000,5058000,4177000,1782000,-688000,502000,-42836000,-5873000,2775000,-109341000,122865000,10426000,-28233000,-28233000,-28233000,10902000,1139343000,17726000,0.65076,0.31537,0.01043,0.00317,3.3572,2.29216,0.68348,0.2311,0.23356,0.73278,18.72348,0.77585,0.25706,0.00669,0.01063,1.11231,92.10723,92.16641
"24","2021_Q1",9.25196721311475,"Up",22505000,13923000,24760000,-10837000,8582000,22505000,-6296000,16209000,16209000,14492000,-90000,14402000,14402000,-1619000,12783000,10834000,107147000,394056000,1119372000,8526000,24631000,1653732000,1116592000,22649000,1139241000,115144000,317655000,231000,317424000,53346000,485361000,29130000,514491000,1653732000,14402000,6000,-12939000,-9303000,-7834000,1999000,-45752000,254000,10018000,-5878000,-29555000,-40023000,45228000,-30228000,-28044000,-28044000,-28044000,16215000,1116592000,9001000,0.72024,0.4814,0.02106,0.00655,0.83081,2.21431,0.6752,0.47434,0.47434,0.98533,16.20908,0.39409,0.25735,0.01011,0.00544,0.54255,62.25378,62.27682
"25","2021_Q2",10.4733333333333,"Up",14250000,13731000,24035000,-10304000,519000,19766000,-6235000,13531000,13531000,10676000,-34000,10642000,10642000,-1689000,8953000,7004000,137579000,388055000,1123530000,7098000,30711000,1686973000,1153099000,24339000,1177438000,115144000,314940000,231000,314709000,56500000,487106000,22429000,509535000,1686973000,10642000,3000,-6705000,-13314000,-9374000,1587000,7856000,485000,22863000,-5799000,163366000,-205644000,65018000,16941000,30430000,30430000,30430000,13534000,1153099000,1841000,0.94954,0.49151,0.01375,0.00415,0.262850000000001,2.31081,0.68353,0.30696,0.30696,0.62453,16.30198,0.08069,0.25415,0.00759,0.00109,0.82796,75.03473,75.05136
"26","2021_Q3",11.613125,"Up",19794000,14218000,23048000,-8830000,5576000,19794000,-3925000,15869000,15869000,11237000,-67000,11170000,11170000,1158000,12328000,10378000,88134000,590999000,955628000,6202515.32023029,41331000,1676092000,1151761000,26839000,1178600000,115144000,315362000,231000,315131000,62502000,493254000,4238000,497492000,1676092000,11170000,3000,-7636000,-17087000,-13550000,3388000,82101000,126451000,-11938000,-6326000,-92307000,-64638000,139314000,-23957000,-49445000,-49445000,-49445000,15872000,1151761000,2240000,0.80171,0.5243,0.02086,0.00619,0.21584,2.36908,0.68717,0.45484,0.45484,0.86751,16.57143,0.09817,0.27725,0.00997,0.00134,0.60956,67.01279,67.02546
"27","2021_Q4",11.98421875,"Up",18991000,14445000,23054000,-8609000,4546000,18991000,-3420000,15571000,15571000,10786000,-102000,10684000,10684000,578000,11262000,9313000,92843000,509574000,1007314000,6097000,32260000,1648088000,1115686000,29297000,1144983000,115144000,315843000,232000,315611000,66958000,499824000,3281000,503105000,1648088000,10684000,-6000,-8320000,5542000,7900000,860000,153910000,250746000,420227000,-6806000,-440577000,270547000,-244046000,-420882000,7245000,7245000,7245000,15565000,1115686000,22069000,0.81991,0.49039,0.01851,0.00565,2.3697,2.27583,0.67696,0.40735,0.30627,0.83066,16.82586,0.9653,0.29769,0.00978,0.01339,0.73081,65.71429,65.68897
"28","2022_Q1",10.8920967741935,"Down",24913000,14247000,23246000,-8999000,10666000,19397000,-11458000,7939000,7939000,9310000,-31000,9279000,9279000,32999.9999999999,9312000,7362000,84426000,521786000,1110006000,6063000,37399000,1759680000,678408000,34745000,1259207000,115144000,316395000,233000,316162000,66427000,497295000,3178000,500473000,1759680000,9279000,7000,-10254000,667999.999999996,-300000.000000004,731000,-206038000,-375904000,-481351000,-9843000,358779000,-435494000,560170000,473612000,-8039000,-8039000,-8039000,7946000,1224462000,9376000,0.31867,0.29551,0.01471,0.00418,1.27357,2.51603,0.69584,0.32201,0.24211,1.08969,16.71524,0.41011,0.43053,0.00978,0.00533,1.337,143.47294,143.59945
"29","2022_Q2",9.25096774193548,"Down",10993000,14606000,23212000,-8606000,-3613000,14971000,-6168000,8803000,8803000,5603000,28000,5631000,5631000,-96000,5535000,3586000,70722000,504625000,1063476000,6586000,40470000,1685879000,1163311000,35069000,1198380000,115144000,316560000,234000,316326000,63996000,485134000,2365000,487499000,1685879000,5631000,75797.4212432593,-2137000,-12655000,-9161000,121000,53447000,352000,69024000,-7966000,-39422000,-29371000,5097000,-71662000,-11799000,-11799000,-11799000,-11027202.0632886,1163311000,-91209077.6170736,0.80078,0.32621,0.00736,0.00213,-8.7998487793739,2.45822,0.69003,0.15656,0.11781,0.47993,16.15305,-3.98870883889432,0.34778,0.00685,-0.05683707372432,2.22142,372.042139957563,124.11553
"30","2022_Q3",9.18421875,"Down",8768000,11725000,20900000,-9175000,-2957000,8768000,-4060000,4708000,4708000,-4781000,-53448.3933756115,-4781000,-4781000,-16000,-4797000,-9181000,51572000,477891000,1023614000,7434000,24324000,1584835000,1117405000,31638000,1149043000,92999000,316992000,234000,316758000,48800000,433518000,2274000,435792000,1584835000,-1865252.31335964,231392.263729778,28343717.2401487,-9911344.5159596,16493224.1700546,-4638813.79835193,2073965546.62946,3283370942.7882,5153646331.85763,6921690.39769689,-4191503689.71716,3847278467.35157,-4727756755.56474,-5065055482.95211,105084073.075572,105084073.075572,105084073.075572,-46021606.1898659,1117405000,-331638232.851221,0.53695,-1.0471,-0.02107,-0.00579,-33.3014163381217,2.63668,0.70506,-0.40082,-0.30162,0.38279,14.86641,-14.503126516683,-0.30607302537063,-0.00579,-0.20502122117296,3.18102564947916,823.75559987269,226.38764
