"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",8.91921875,"Up",124625000,-81923000,42702000,-57644000,-14942000,-6000,-14948000,-14948000,-331000,-15279000,-15279000,-15279000,-15279000,161106000,98998000,112133000,112133000,130991000,13995000,10284000,418225000,77155000,6418000,5673000,92573000,510798000,97765000,52104000,45661000,31234000,31234000,128999000,29358000,3059000,25554000,29358000,158357000,942606000,-587645000,-2520000,352441000,352441000,510798000,-15279000,6334000,7958000,-20312000,-21299000,-4936000,11770000,4067000,5560000,4067000,-5462000,-5462000,-206000,-5668000,-8608000,0,-33525000,0.34264,-0.1199,-0.1226,-0.04335,-0.02991,2.19419,3.24208,0.44931,0,-0.13367,-0.13367,1.09026,3.08326,-0.29329,-0.04002,-0.08781,18.71585,10.78209
"12","2013_Q3",10.95171875,"Up",138385000,-86731000,51654000,-60262000,-8608000,-8e+05,-9408000,-9408000,-601000,-10009000,-10009000,-10009000,-10009000,301648000,181211000,96668000,96668000,121317000,16457000,14495000,536090000,78391000,9452000,9452000,120270000,656360000,87527000,35977000,51550000,31429000,31429000,118956000,32674000,2964000,29710000,138254000,257210000,1000224000,-597654000,-3420000,399150000,399150000,656360000,-10009000,6287000,8990000,12656000,17924000,-4495000,-86538000,6930000,6936000,151399000,82785000,82785000,-572000,82213000,-2321000,105580000,6441000,0.37326,-0.0622,-0.07233,-0.02508,-0.01525,-0.64352,4.50662,0.64439,0.16086,-0.08561,-0.08561,1.18368,3.41414,0.0550899999999999,-0.01862,0.01199,84.47566,22.77742
"13","2013_Q4",9.93875,"Down",142020000,-73649000,68371000,-61926000,6445000,-2790000,3655000,3655000,-308000,3347000,3347000,3347000,3347000,289450000,137629000,87180000,87180000,123505000,20784000,18924000,520919000,79062000,8981000,8981000,149914000,670833000,87983000,29218000,58765000,25202000,25202000,113185000,31563000,3097000,28466000,138913000,252098000,1016516000,-594307000,-3474000,418735000,418735000,670833000,3347000,5953000,9998000,-6528000,12770000,-4174000,-65262000,9013000,9055000,9013000,-43479000,-43479000,-103000,-43582000,12398000,107350000,2004000,0.48142,0.04538,0.02357,0.00799,0.00499,0.59875,4.60237,0.60205,0.16002,0.02819,0.02684,1.19606,3.52649,0.01688,0.006,0.00359,-14.68785,-28.25446
"14","2014_Q1",8.75573770491803,"Down",139092000,-83180000,55912000,-62993000,-7081000,-2683000,-9764000,-9764000,-414000,-10178000,-10178000,-10178000,-10178000,296990000,124330000,100643000,100643000,123685000,17752000,17752000,539070000,79668000,8769000,8769000,161856000,700926000,108547000,39843000,68704000,32402000,32402000,140949000,33003000,4888000,28115000,142167000,283116000,1025781000,-604485000,-3486000,417810000,417810000,700926000,-10178000,5988000,10709000,19266000,25785000,-7460000,-40770000,3175000,1634000,1631000.00000001,-13354000,-13354000,55000,-13299000,-1093000,109164000,11127000,0.40198,-0.05091,-0.07317,-0.02436,-0.01452,-1.09324,3.82457,0.67762,0.15574,-0.085,-0.08944,1.16161,3.48928,0.09293,-0.01818,0.01987,171.84446,26.52535
"15","2014_Q2",8.88079365079365,"Up",142815000,-84409000,58406000,-59462000,-1056000,-3070000,-4126000,-4126000,-248000,-4374000,-4374000,-4374000,-4374000,311954000,85249000,107405000,107405000,126465000,20537000,20537000,566361000,78801000,10168000,10168000,130725000,697086000,93815000,37843000,55972000,31496000,31496000,125311000,34483000,4886000,29597000,145507000,270818000,1038339000,-608859000,-3212000,426268000,426268000,697086000,-4374000,6314000,9500000,-26873000,-15433000,-5608000,-29247000,7054000,7054000,5435000,-39245000,-39245000,164000,-39081000,5258000,111024000,-26975000,0.40896,-0.00739,-0.03063,-0.01026,-0.00627,6.16712,4.51964,0.63532,0.15927,-0.03604,-0.03604,1.17687,3.51266,-0.22229,-0.00765,-0.04718,-38.21415,190.27462
"16","2014_Q3",9.7934375,"Up",165399000,-95146000,70253000,-62201000,8052000,-2655000,5397000,5397000,-617000,4780000,4780000,4780000,4780000,314001000,83307000,120686000,120686000,130853000,20167000,20167000,585707000,76886000,9975000,9975000,132947000,718654000,98310000,33162000,65148000,29657000,29657000,127967000,38448000,6187000,32261000,151380000,279347000,1046499000,-604079000,-3113000,439307000,439307000,718654000,4780000,6499000,9793000,-10820000,10252000,-4377000,-13611000,1347000,1347000,1347000,-2012000,-2012000,70000,-1942000,14551000,112932000,-28999.9999999925,0.42475,0.04868,0.0289,0.01088,0.00665,-0.00607000000000113,4.57702,0.63588,0.15714,0.03882,0.03771,1.34331,3.56789,-0.00023999999999999,0.00809,-5.00000000000014e-05,-13.81823,-24.97131
"17","2014_Q4",13.23640625,"Up",173559000,-98257000,75302000,-67822000,7480000,-2432000,5048000,5048000,-205000,4843000,4843000,4843000,4843000,317577000,110864000,136085000,136085000,130833000,21714000,21714000,606209000,74964000,9533000,9533000,154883000,761092000,117417000,51456000,65961000,24386000,24386000,141803000,42444000,8633000,33811000,157332000,299135000,1064848000,-599236000,-3655000,461957000,461957000,761092000,4843000,6527000,10506000,542000,22418000,-4379000,-5585000,11282000,11282000,11055000,27888000,27888000,-331000,27557000,14007000,114888000,10375000,0.43387,0.0431,0.0279,0.01048,0.00636,2.14227,4.27501,0.64754,0.15095,0.03894,0.03755,1.39542,3.71414,0.08342,0.00782,0.01675,-14.47055,-27.09746
"18","2015_Q1",16.8050819672131,"Up",186306000,-101963000,84343000,-71477000,12866000,-2773000,10093000,10093000,-1683000,8410000,8410000,8410000,8410000,326123000,86495000,154596000,154596000,146500000,24636000,24636000,651855000,81566000,10862000,10501000,166161000,818016000,139010000,61533000,77477000,35321000,35321000,174331000,44884000,10758000,31994000,161778000,336109000,1077351000,-590826000,-4618000,481907000,481907000,818016000,8410000,6577000,10750000,-7011000,18726000,-8758000,-47616000,5024000,5024000,5024000,-23866000,-23866000,-503000,-24369000,19443000,116894000,5357000,0.45271,0.06906,0.04514,0.01745,0.01028,0.636979999999999,3.73918,0.69746,0.1429,0.06684,0.0613,1.48062,3.82983,0.04257,0.01307,0.00832,-10.76115,-16.26216
"19","2015_Q2",20.3277777777778,"Up",186862000,-98750000,88112000,-72955000,15157000,-2175000,12982000,12982000,-616000,12366000,12366000,12366000,12366000,333703000,118623000,131224000,131224000,157195000,23112000,23112000,645234000,82661000,10800000,10800000,177796000,823030000,114103000,50183000,63920000,36757000,36757000,150860000,45384000,12119000,33265000,164335000,315195000,1090805000,-578460000,-4510000,507835000,507835000,823030000,12366000,6586000,10377000,-9487000,19842000,-7367000,6244000,10131000,10131000,6181000,32267000,32267000,-139000,32128000,21743000,118951000,5505000,0.47154,0.08111,0.06618,0.02435,0.01502,0.44517,4.27704,0.62066,0.14453,0.09673,0.09006,1.46169,3.97243,0.04306,0.0184,0.00819,-9.87683,-14.1685
"20","2015_Q3",21.7971875,"Up",207346000,-110550000,96796000,-80266000,16530000,2384000,18914000,18914000,-1008000,17906000,17906000,17906000,17906000,397222000,198018000,109448000,109448000,157181000,29368000,29368000,693219000,86981000,11321000,11321000,170321000,863540000,115353000,38807000,76546000,37261000,37261000,152614000,50077000,13035000,37042000,171136000,323750000,1104803000,-560554000,-4459000,539790000,539790000,863540000,17906000,6264000,6576000,24282000,55028000,-8731000,18489000,6357000,6357000,5746000,79263000,79263000,132000,79395000,22794000,121059000,39353000,0.46683,0.07972,0.08636,0.03317,0.02074,2.19775,4.5423,0.59977,0.14019,0.13737,0.12732,1.5907,4.14111,0.3019,0.02519,0.05535,-12.1156,-16.70678
"21","2015_Q4",19.91359375,"Down",232472000,-129667000,102805000,-88545000,14260000,-5901000,8359000,8359000,151000,8510000,8510000,8510000,8510000,287321000,161103000,141586000,141586000,169875000,31780000,31780000,630562000,98720000,364387000,12186000,529029000,1159591000,164075000,69983000,94092000,31411000,31411000,195486000,87968000,15368000,33226000,211190000,406676000,1289227000,-552044000,360000,737543000,752915000,1159591000,8510000,9244000,15745000,-1009000,32490000,-10612000,-75628000,6945000,6945000,6463000,-36675000,-36675000,-240000,-36915000,23504000,123222000,11732000,0.44223,0.06134,0.03661,0.0113,0.00734,1.37861,3.22561,0.54014,0.10626,0.06311,0.05857,1.72413,5.47001,0.08701,0.00883,0.01217,-6.98175,-11.50764
"22","2016_Q1",15.3332786885246,"Down",260034000,-144270000,115764000,-101975000,13789000,-2013000,11776000,11776000,392000,12168000,12168000,12631000,12631000,274662000,149101000,186243000,186243000,174699000,29511000,29511000,665115000,110861000,357198000,9319000,559066000,1224181000,194066000,92554000,101512000,42977000,42977000,237043000,86750000,13881000,37138000,210077000,447120000,1300441000,-539413000,1123000,762151000,777061000,1224181000,12168000,13683000,11638000,-11673000,25816000,-15308000,-40580000,1918000,1918000,2593000,-12171000,-12171000,169000,-12002000,27472000,123327000,98999.9999999981,0.44519,0.05303,0.04857,0.01625,0.01032,0.00784000000000007,2.80588,0.5754,0.10074,0.09021,0.08452,1.85721,5.44343,0.000710000000000044,0.0128,9.99999999999959e-05,-5.5087,-10.97505
"23","2016_Q2",13.07546875,"Down",244818000,-128480000,116338000,-101467000,14871000,-2847000,12024000,12024000,-216000,11808000,11808000,12015000,12015000,275090000,179974000,184309000,184309000,189744000,29689000,29689000,678832000,115372000,354172000,9363000,564532000,1243364000,168589000,83035000,85554000,48285000,48285000,216874000,94691000,18391000,40864000,220487000,437361000,1313924000,-527398000,4774000,791300000,806003000,1243364000,11808000,14666000,10937000,-27432000,9979000,-10844000,15492000,7787000,7787000,5343000,30814000,30814000,59000,30873000,29537000,125796000,-8523000,0.4752,0.06074,0.04908,0.01491,0.00966,-0.70936,3.13008,0.54263,0.10117,0.08533,0.0818,1.7387,5.61983,-0.06053,0.0117,-0.0083,-5.05447,-10.03927
"24","2016_Q3",9.66796875,"Down",258822000,-135076000,123746000,-107664000,16082000,-3295000,12787000,12787000,-1475000,11312000,11312000,11483000,11483000,257750000,138380000,193414000,193414000,202280000,54152000,29210000,707596000,120095000,341639000,9549000,564178000,1271774000,179539000,83875000,95664000,47277000,47277000,226816000,94369000,19671000,41434000,222697000,449513000,1325381000,-515915000,-1737000,807729000,822261000,1271774000,11312000,15225000,13861000,-12177000,28221000,-12434000,-69109000,799000,799000.000000002,161000,-40727000,-40727000,-867000,-41594000,31307000,128328000,8171000,0.47811,0.06214,0.04437,0.01397,0.00903,0.71157,3.11969,0.54668,0.1009,0.08064,0.07871,1.81762,5.67241,0.05738,0.01099,0.00782,-4.13396,-8.04763
"25","2016_Q4",8.56761904761905,"Down",185452000,-100850000,84602000,-95461000,-10859000,-2854000,-13713000,-13713000,2416000,-11297000,-11297000,-11172000,-11172000,267639000,130996000,152467000,152467000,231528000,40220000,30520000,691854000,120137000,332529000,10663000,544605000,1236459000,168463000,76789000,91674000,38063000,38063000,206526000,90695000,18369000,40907000,221619000,428145000,1341646000,-527322000,-6010000,808314000,808314000,1236459000,-11297000,15873000,13177000,-12549000,5204000,-9600000,-2595000,7900000,7900000,-9381000,-6772000,-6772000,-612000,-7384000,5014000,130924000,-19551000,0.45619,-0.05855,-0.06024,-0.01382,-0.00904,1.75,3.34996,0.52968,0.10589,-0.07766,-0.07766,1.2892,5.61914,-0.13591,-0.01085,-0.01898,-27.26665,12.59002
"26","2017_Q1",10.0233870967742,"Up",181043000,-112011000,69032000,-114900000,-45868000,5589000,-40279000,-40279000,4026000,-36253000,-36253000,-36253000,-36253000,304338000,162641000,150370000,150370000,232955000,42760000,34270000,730423000,124800000,295581000,10346000,468160000,1198583000,157633000,62486000,95147000,58900000,58900000,216533000,86136000,19362000,41447000,219722000,436255000,1354227000,-563575000,-28324000,762328000,762328000,1198583000,-36253000,15725000,16871000,-1370000,-5027000,-10457000,38011000,1162000,1162000,1097000,34081000,34081000,-2436000,31645000,-30143000,133586000,-45996000,0.3813,-0.25335,-0.20025,-0.04756,-0.03025,1.26875,3.37326,0.57227,0.11145,-0.25018,-0.26788,1.24939,5.26088,-0.31742,-0.03692,-0.04684,5.66473000000001,3.72268
"27","2017_Q2",10.2144444444444,"Up",175522000,-111466000,64056000,-101883000,-37827000,-2782000,-40609000,-40609000,158000,-40451000,-40451000,-40451000,-40451000,264771000,125658000,124325000,124325000,233858000,48041000,40133000,670995000,129007000,292458000,9115000,509368000,1180363000,139935000,59371000,80564000,66364000,66364000,206299000,88986000,24736000,39905000,225302000,431601000,1374977000,-604026000,-22189000,748762000,748762000,1180363000,-40451000,15951000,13919000,13611000,3030000,-14743000,-52486000,9808000,9808000,9186000,-40270000,-40270000,1337000,-38933000,-21876000,136316000,-23166000,0.36495,-0.21551,-0.23046,-0.05402,-0.03427,0.57269,3.25254,0.57642,0.11549,-0.27747,-0.27747,1.20397,5.13604,-0.1589,-0.04153,-0.02378,5.87196,3.39585
"28","2017_Q3",9.62714285714286,"Down",176821000,-111989000,64832000,-105337000,-40505000,-2846000,-43351000,-43351000,512000,-42839000,-42839000,-42839000,-42839000,257749000,119820000,123903000,123903000,245976000,44308000,42885000,671936000,142424000,302153000,9231000,520682000,1192618000,170405000,80684000,89721000,64723000,64723000,374243000,80788000,23723000,32880000,80788000,455031000,1388193000,-646865000,-3741000,737587000,737587000,1192618000,-42839000,16672000,15439000,7680000,-3048000,-24457000,-11567000,1307000,1307000,634999.999999998,-13980000,-13980000,1606000,-12374000,-23833000,139115000,-41122000,0.36665,-0.22907,-0.24227,-0.05808,-0.03592,0.95992,1.79545,0.61692,0.11665,-0.29036,-0.29036,1.19848,4.9993,-0.27872,-0.04474,-0.04295,4.97772,2.92887
"29","2017_Q4",7.61825396825397,"Down",192580000,-124754000,67826000,-102074000,-34248000,-2772000,-37020000,-37020000,-211000,-37231000,-37231000,-37231000,-37231000,256361000,122042000,137133000,137133000,242848000,51060000,50320000,687402000,143217000,305905000,8627000,503697000,1191099000,174206000,89310000,84896000,65328000,65328000,381519000,77642000,21794000,32464000,77642000,459161000,1407085000,-684096000,8949000,731938000,731938000,1191099000,-37231000,16768000,15087000,-15522000,-20898000,-11047000,14058000,6876000,6876000,6736000,-104000,-104000,912000,808000,-17480000,141985000,-43838000,0.3522,-0.17784,-0.19333,-0.05087,-0.03126,1.17746,1.80175,0.62732,0.11921,-0.25025,-0.25025,1.29442,4.9197,-0.29466,-0.03913,-0.04607,6.54325,3.33964
"30","2018_Q1",8.86491803278689,"Up",195816000,-148530000,47286000,-101687000,-54401000,-4449000,-58850000,-74956000,971000,-73985000,-73985000,-73985000,-73985000,263941000,116345000,126152000,126152000,214704000,43140000,43140000,647937000,135942000,297662000,9859000,469733000,1117670000,157327000,58124000,99203000,72421000,72421000,374676000,77629000,22502000,33518000,77629000,452305000,1417192000,-758081000,6254000,665365000,665365000,1117670000,-73985000,16606000,44499000,11871000,-1009000,-7794000,5038000,0,0,-71000,3958000,3958000,245000,4203000,-37795000,144928000,-34689000,0.24148,-0.27782,-0.37783,-0.11119,-0.0662,0.46887,1.72933,0.67978,0.12967,-0.49518,-0.49518,1.31059,4.45325,-0.23217,-0.08332,-0.03907,3.14891,2.1877
"31","2018_Q2",10.40171875,"Up",202681000,-120513000,82168000,-107009000,-24841000,-2280000,-27121000,-26958000,678000,-26280000,-26280000,-26280000,-26280000,264322000,151436000,161541000,161541000,215888000,44362000,44362000,686113000,135196000,287855000,11335000,446544000,1132657000,190664000,77776000,112888000,58460000,58460000,397070000,64378000,13181000,31799000,64378000,461448000,1438851000,-768955000,1313000,671209000,671209000,1132657000,-26280000,16976000,14004000,-18809000,-14109000,-8019000,39163000,10644000,10644000,10547000,35601000,35601000,-58000,35543000,-7865000,147946000,-35371000,0.40541,-0.12256,-0.12966,-0.03915,-0.0232,1.34593,1.72794,0.68749,0.13062,-0.17481,-0.17481,1.34821,4.46481,-0.23528,-0.02974,-0.04003,14.79669,4.68484
"32","2018_Q3",8.49793650793651,"Down",208227000,-123922000,84305000,-104244000,-19939000,-443000,-20382000,-22062000,124000,-21938000,-21938000,-21938000,-21938000,122168000,63308000,148026000,148026000,219343000,46102000,46102000,535639000,136769000,261986000,11026000,405341000,940980000,186547000,80345000,106202000,54556000,54556000,241103000,62465000,14932000,31286000,62465000,303568000,1450289000,-790893000,-21984000,637412000,637412000,940980000,-21938000,16274000,14181000,-1526000,6991000,-13484000,57574000,422000.000000002,422000,-150445000,-85880000,-85880000,-2160000,-88040000,-3665000,0,-18799000,0.40487,-0.09576,-0.10536,-0.03442,-0.02331,0.85691,2.22162,0.47625,0,-0.14408,-0.14408,1.36758,4.18637,-0.12347,-0.03135,-0.02686,33.3337,6.12709
