"","YQ","p","d","revenue","net_premiums_earned","investment_income_loss","other_operating_income","policy_charges_fees","total_realized_investment_gains","other_income","total_claims_losses","underwriting_expense_acquisition_cost","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_investments","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","deferred_policy_acquisition_costs","other_assets","total_assets","insurance_reserves","other_short_term_liabilities","long_term_debt","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","net_cash_from_operating_activities","net_change_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",56.6943548387097,"Up",6.512e+09,5.666e+09,7.22e+08,1.24e+08,9.2e+07,-2e+06,3.4e+07,-3.359e+09,-9.86e+08,-9.04e+08,1.263e+09,-9.3e+07,-9.3e+07,1.17e+09,1.17e+09,-3.06e+08,8.64e+08,8.64e+08,8.64e+08,8.64e+08,7.449e+10,2.2e+08,6.04e+09,1.86e+09,2.2835e+10,1.05445e+11,6.6768e+10,9.66e+08,6.35e+09,5.456e+09,7.954e+10,2.1085e+10,-1.8942e+10,2.1226e+10,2.536e+09,2.5905e+10,2.5905e+10,1.05445e+11,8.64e+08,2.06e+08,4.31e+08,1.501e+09,-5.98e+08,-4.79e+08,-1.077e+09,-1.78e+08,-2.72e+08,1.3e+07,-4.37e+08,-1.3e+07,-1.3e+07,3e+06,-1e+07,1.469e+09,6.35e+09,0.19395,0.13268,0.03335,0.00819,3.07045,0.06022,2.25,2.22738,16.95833,67.46094,0.46354,0.00997,0.20602,4.17291,4.85352
"12","2013_Q1",63.6266666666667,"Up",6.477e+09,5.639e+09,6.89e+08,1.49e+08,9e+07,3.9e+07,2e+07,-4.167e+09,-9.77e+08,-9.29e+08,4.04e+08,-9.3e+07,-9.3e+07,3.11e+08,3.11e+08,-7000000.00000006,3.04e+08,3.04e+08,3.04e+08,3.04e+08,7.3838e+10,3.3e+08,5.872e+09,1.792e+09,2.3106e+10,1.04938e+11,6.6969e+10,6.84e+08,6.35e+09,5.53e+09,7.9533e+10,2.1161e+10,-1.9344e+10,2.1352e+10,2.236e+09,2.5405e+10,2.5405e+10,1.04938e+11,3.04e+08,2.09e+08,-48999999.9999999,4.64e+08,1.13e+08,7.3e+07,1.86e+08,-1.75e+08,-3.7e+08,5e+06,-5.4e+08,1.1e+08,1.1e+08,-9.31322574615479e-10,1.1e+08,6.13e+08,6.35e+09,0.06237,0.04694,0.01197,0.0029,3.1306,0.06051,0.79832,0.79187,17.00893,66.71481,0.45956,0.00459,0.57566,9.82055,14.90099
"13","2013_Q2",67.85,"Up",6.328e+09,5.517e+09,6.7e+08,1.41e+08,9.7e+07,1e+07,3.4e+07,-3.153e+09,-9.48e+08,-9.15e+08,1.312e+09,-9.2e+07,-9.2e+07,1.22e+09,1.22e+09,-3.24e+08,8.96e+08,8.96e+08,8.96e+08,8.96e+08,7.3081e+10,2.43e+08,6.021e+09,1.795e+09,2.2757e+10,1.03897e+11,6.6248e+10,8.11e+08,5.851e+09,5.391e+09,7.8301e+10,2.13e+10,-1.9702e+10,2.2072e+10,1.926e+09,2.5596e+10,2.5596e+10,1.03897e+11,8.96e+08,2.19e+08,-5.85e+08,5.3e+08,5.4e+07,2.49e+08,3.03e+08,-1.75e+08,-2.02e+08,-3.7e+07,-9.14e+08,-8.1e+07,-8.1e+07,-6e+06,-8.7e+07,1.531e+09,5.851e+09,0.20733,0.14159,0.03501,0.00862,3.05911,0.05632,2.37225,2.34616,16.75404,67.76807,0.46333,0.01039,0.19531,3.66297,4.27439
"14","2013_Q3",67.15078125,"Down",6.674e+09,5.603e+09,6.87e+08,3.84e+08,8.2e+07,1.67e+08,1.35e+08,-3.53e+09,-9.5e+08,-9.31e+08,1.263e+09,-8.6e+07,-8.6e+07,1.177e+09,1.177e+09,-2.52e+08,9.25e+08,9.25e+08,9.25e+08,9.25e+08,7.1267e+10,3.08e+08,6.268e+09,1.802e+09,2.2255e+10,1.019e+11,6.5625e+10,3.95e+08,5.852e+09,5.138e+09,7.701e+10,2.1367e+10,-2.0003e+10,2.2806e+10,7.2e+08,2.489e+10,2.489e+10,1.019e+11,9.25e+08,2.16e+08,-4.19e+08,7.22e+08,-1.9e+07,-1.92e+08,-2.11e+08,-1.91e+08,-2.59e+08,7e+06,-4.43e+08,6.8e+07,6.8e+07,-3e+06,6.5e+07,1.479e+09,5.852e+09,0.18924,0.1386,0.03716,0.00908,3.09401,0.05743,2.46076,2.43485,17.75472,66.21442,0.50811,0.01099,0.20649,3.74848,4.38955
"15","2013_Q4",71.41625,"Up",6.452e+09,5.666e+09,6.57e+08,1.29e+08,1.07e+08,-2.2e+07,4.4e+07,-3.297e+09,-9.53e+08,-9.34e+08,1.268e+09,-9.1e+07,-9.1e+07,1.177e+09,1.177e+09,-3.13e+08,8.64e+08,8.64e+08,8.64e+08,8.64e+08,7.2531e+10,2.95e+08,6.113e+09,1.802e+09,2.1944e+10,1.02685e+11,6.5319e+10,4.38e+08,6.346e+09,5.771e+09,7.7874e+10,2.1425e+10,-2.0804e+10,2.3485e+10,7.05e+08,2.4811e+10,2.4811e+10,1.02685e+11,8.64e+08,2.07e+08,5.66e+08,1.637e+09,6.07e+08,-1.806e+09,-1.199e+09,-1.83e+08,-7.81e+08,1.3e+07,-4.57e+08,-1.9e+07,-1.9e+07,6e+06,-1.3e+07,1.475e+09,6.346e+09,0.19653,0.13391,0.03482,0.00841,3.13869,0.0618,2.3421,2.31698,17.48983,67.25671,0.49607,0.01024,0.21181,4.10237,4.77208
"16","2014_Q1",69.1040983606557,"Down",6.737e+09,5.851e+09,7.02e+08,1.84e+08,1.09e+08,1.1e+07,6.4e+07,-3.327e+09,-9.7e+08,-9.77e+08,1.463e+09,-9.2e+07,-9.2e+07,1.371e+09,1.371e+09,-3.83e+08,9.88e+08,9.88e+08,9.88e+08,9.88e+08,7.316e+10,2.94e+08,6.125e+09,1.804e+09,2.2429e+10,1.03812e+11,6.7073e+10,2.98e+08,6.346e+09,5.299e+09,7.9016e+10,2.15e+10,-2.1805e+10,2.4291e+10,8.1e+08,2.4796e+10,2.4796e+10,1.03812e+11,9.88e+08,2.25e+08,-2.86e+08,9.27e+08,-4.84e+08,6.81e+08,1.97e+08,-1.8e+08,-9.52e+08,7e+06,-1.125e+09,-1e+06,-1e+06,0,-1e+06,1.688e+09,6.346e+09,0.21716,0.14665,0.03985,0.00952,3.18664,0.06113,2.75439,2.72552,18.78171,69.1274,0.50181,0.01128,0.18219,3.58531,4.13671
"17","2014_Q2",75.404126984127,"Up",6.708e+09,5.823e+09,7.36e+08,1.49e+08,1.07e+08,1e+06,4.1e+07,-3.315e+09,-9.5e+08,-8.81e+08,1.562e+09,-9.2e+07,-9.2e+07,1.47e+09,1.47e+09,-4.18e+08,1.052e+09,1.052e+09,1.052e+09,1.052e+09,7.3718e+10,2.6e+08,6.302e+09,1.836e+09,2.2018e+10,1.04134e+11,6.6866e+10,4.24e+08,6.347e+09,5.11e+09,7.8747e+10,2.1603e+10,-2.251e+10,2.5167e+10,1.127e+09,2.5387e+10,2.5387e+10,1.04134e+11,1.052e+09,2.27e+08,-5.76e+08,7.03e+08,3.9e+07,3.6e+07,7.5e+07,-1.76e+08,-5.93e+08,-4.1e+07,-8.1e+08,-3.2e+07,-3.2e+07,-2e+06,-3.4e+07,1.789e+09,6.347e+09,0.23286,0.15683,0.04144,0.0101,3.10186,0.06095,2.99801,2.96672,19.11656,72.34825,0.50157,0.01184,0.1673,3.40246,3.89693
"18","2014_Q3",77.534375,"Up",6.785e+09,5.928e+09,6.95e+08,1.62e+08,1.12e+08,1.6e+07,3.4e+07,-3.826e+09,-9.65e+08,-1.001e+09,9.93e+08,-9.2e+07,-9.2e+07,9.01e+08,9.01e+08,-2.18e+08,6.83e+08,6.83e+08,6.83e+08,6.83e+08,7.3941e+10,3.11e+08,6.589e+09,1.879e+09,2.2091e+10,1.04811e+11,6.7316e+10,6.36e+08,6.347e+09,4.98e+09,7.9279e+10,2.1694e+10,-2.3386e+10,2.5662e+10,1.562e+09,2.5532e+10,2.5532e+10,1.04811e+11,6.83e+08,2.15e+08,-2.73e+08,6.25e+08,3.07e+08,1.05e+08,4.12e+08,-1.89e+08,-8.1e+08,1e+07,-9.89e+08,4.8e+07,4.8e+07,3e+06,5.1e+07,1.208e+09,6.347e+09,0.14635,0.10066,0.02675,0.00652,3.10508,0.06056,1.99125,1.97,19.78134,74.43732,0.55102,0.00837,0.27672,4.99669,6.07855
"19","2014_Q4",84.43296875,"Up",6.886e+09,5.983e+09,7.19e+08,1.84e+08,1.1e+08,4e+07,3.4e+07,-3.52e+09,-9.84e+08,-1.031e+09,1.351e+09,-9.3e+07,-9.3e+07,1.258e+09,1.258e+09,-3.39e+08,9.19e+08,9.19e+08,9.19e+08,9.19e+08,7.419e+10,3.67e+08,6.439e+09,1.89e+09,2.1636e+10,1.04522e+11,6.695e+10,6.13e+08,6.348e+09,5.29e+09,7.9201e+10,2.1764e+10,-2.4137e+10,2.6394e+10,1.3e+09,2.5321e+10,2.5321e+10,1.04522e+11,9.19e+08,2.11e+08,7.1e+08,1.84e+09,4.47e+08,-1.336e+09,-8.89e+08,-1.84e+08,-7.18e+08,1.3e+07,-8.89e+08,6.2e+07,6.2e+07,-6e+06,5.6e+07,1.562e+09,6.348e+09,0.1962,0.13346,0.03629,0.00879,3.12788,0.06073,2.74246,2.71171,20.54909,75.56252,0.54909,0.01062,0.20022,3.82907,4.42709
"20","2015_Q1",89.7983606557377,"Up",6.795e+09,5.979e+09,6.37e+08,1.79e+08,1.21e+08,2.2e+07,3.6e+07,-3.209e+09,-9.83e+08,-1.051e+09,1.552e+09,-9.2e+07,-9.2e+07,1.46e+09,1.46e+09,-4.22e+08,1.038e+09,1.038e+09,1.038e+09,1.038e+09,7.3261e+10,3.74e+08,6.298e+09,1.835e+09,2.131e+10,1.03078e+11,6.6051e+10,3.36e+08,6.349e+09,5.506e+09,7.8242e+10,2.1843e+10,-2.5138e+10,2.7251e+10,8.8e+08,2.4836e+10,2.4836e+10,1.03078e+11,1.038e+09,2.11e+08,-7.24e+08,5.25e+08,-1.7e+07,6.25e+08,6.08e+08,-1.8e+08,-9.59e+08,1.8e+07,-1.121e+09,1.2e+07,1.2e+07,-5e+06,7e+06,1.763e+09,6.349e+09,0.2284,0.15276,0.04179,0.01007,3.15035,0.06159,3.1821,3.14736,20.83078,76.13734,0.55181,0.01185,0.17341,3.38911,3.84987
"21","2015_Q2",86.5407936507936,"Down",6.629e+09,5.888e+09,5.92e+08,1.49e+08,1.14e+08,1e+07,2.5e+07,-3.431e+09,-9.63e+08,-9.95e+08,1.24e+09,-9.2e+07,-9.2e+07,1.148e+09,1.148e+09,-3.15e+08,8.33e+08,8.33e+08,8.33e+08,8.33e+08,7.2619e+10,3.08e+08,6.528e+09,1.847e+09,2.1389e+10,1.02691e+11,6.5344e+10,6.11e+08,6.349e+09,5.54e+09,7.7844e+10,2.1982e+10,-2.581e+10,2.7906e+10,7.69e+08,2.4847e+10,2.4847e+10,1.02691e+11,8.33e+08,2.25e+08,-8.59e+08,1.99e+08,4.22e+08,5.2e+07,4.74e+08,-1.77e+08,-5.1e+08,-4.4e+07,-7.31e+08,-5.8e+07,-5.8e+07,-8e+06,-6.6e+07,1.465e+09,6.349e+09,0.18706,0.12566,0.03353,0.00811,3.13293,0.06183,2.59663,2.56703,20.66397,77.45324,0.55175,0.00989,0.21248,4.12355,4.87177
"22","2015_Q3",86.97046875,"Up",6.71e+09,5.931e+09,6.32e+08,1.47e+08,1.15e+08,1e+07,2.2e+07,-3.547e+09,-9.63e+08,-1.032e+09,1.168e+09,-9.2e+07,-9.2e+07,1.076e+09,1.076e+09,-2.64e+08,8.12e+08,8.12e+08,8.12e+08,8.12e+08,7.123e+10,3.17e+08,6.764e+09,1.891e+09,2.1462e+10,1.01664e+11,6.5459e+10,4.28e+08,6.35e+09,5.306e+09,7.7543e+10,2.2039e+10,-2.6611e+10,2.8524e+10,1.69e+08,2.4121e+10,2.4121e+10,1.01664e+11,8.12e+08,2.04e+08,-3.4e+08,6.76e+08,-9.3e+07,3.84e+08,2.91e+08,-1.92e+08,-7.73e+08,3e+06,-9.62e+08,5e+06,5e+06,4e+06,9e+06,1.372e+09,6.35e+09,0.17407,0.12101,0.03366,0.00799,3.21475,0.06246,2.57942,2.55346,21.31512,76.62325,0.60991,0.00992,0.23645,4.39723,5.16524
"23","2015_Q4",95.04828125,"Up",6.798e+09,6.032e+09,6.14e+08,1.52e+08,1.16e+08,1.5e+07,2.1e+07,-3.382e+09,-9.87e+08,-1.028e+09,1.401e+09,-9.4e+07,-9.4e+07,1.307e+09,1.307e+09,-3.79e+08,9.28e+08,9.28e+08,9.28e+08,9.28e+08,7.2059e+10,3.44e+08,6.559e+09,1.904e+09,2.1244e+10,1.0211e+11,6.527e+10,4.39e+08,6.743e+09,5.625e+09,7.8077e+10,2.2099e+10,-2.7361e+10,2.9263e+10,3.2e+07,2.4033e+10,2.4033e+10,1.0211e+11,9.28e+08,1.91e+08,6.8e+08,1.799e+09,9.7e+07,-1.353e+09,-1.256e+09,-1.88e+08,-7.25e+08,1e+07,-5.11e+08,3.2e+07,3.2e+07,-5e+06,2.7e+07,1.592e+09,6.743e+09,0.20609,0.13651,0.03861,0.00909,3.24874,0.06604,3.01691,2.98392,22.10013,78.13069,0.61118,0.01098,0.20259,4.01947,4.56745
"24","2016_Q1",93.9067213114754,"Down",6.678e+09,6.023e+09,5.41e+08,1.14e+08,1.15e+08,-3.2e+07,3.1e+07,-3.363e+09,-9.72e+08,-1.039e+09,1.304e+09,-9.5e+07,-9.5e+07,1.209e+09,1.209e+09,-3.43e+08,8.66e+08,8.66e+08,8.66e+08,8.66e+08,7.047e+10,3.8e+08,6.437e+09,1.849e+09,2.1048e+10,1.00184e+11,6.464e+10,2.96e+08,6.344e+09,5.306e+09,7.6586e+10,2.2172e+10,-2.8362e+10,2.9945e+10,-1.57e+08,2.3598e+10,2.3598e+10,1.00184e+11,8.66e+08,1.98e+08,-3.04e+08,7.6e+08,6.09e+08,1.99e+08,8.08e+08,-1.82e+08,-9.59e+08,1.2e+07,-1.529e+09,3.9e+07,3.9e+07,-3e+06,3.6e+07,1.502e+09,6.344e+09,0.19527,0.12968,0.0367,0.00864,3.24544,0.06332,2.89439,2.8666,22.31952,78.87032,0.60829,0.01049,0.21016,3.97071,4.57362
"25","2016_Q2",97.8459375,"Up",6.686e+09,5.981e+09,5.44e+08,1.61e+08,1.17e+08,-9e+06,5.3e+07,-3.712e+09,-9.71e+08,-9.95e+08,1.008e+09,-9.1e+07,-9.1e+07,9.17e+08,9.17e+08,-2.26e+08,6.91e+08,6.91e+08,6.91e+08,6.91e+08,7.1678e+10,3.61e+08,6.845e+09,1.899e+09,2.0897e+10,1.0168e+11,6.539e+10,5.2e+08,6.344e+09,5.26e+09,7.7514e+10,2.2269e+10,-2.8971e+10,3.0454e+10,4.14e+08,2.4166e+10,2.4166e+10,1.0168e+11,6.91e+08,2.13e+08,-5.4e+07,8.5e+08,-5.17e+08,3.71e+08,-1.46e+08,-1.8e+08,-4.86e+08,-5.9e+07,-7.25e+08,-2.1e+07,-2.1e+07,2e+06,-1.9e+07,1.221e+09,6.344e+09,0.15076,0.10335,0.02859,0.0068,3.20756,0.06239,2.34874,2.31957,22.72604,82.1414,0.61183,0.00861,0.26049,4.90008,5.93552
