"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",378.09609375,"Up",86225000,-83462000,-4922000,-11889000,-66651000,2763000,-5565000,-5580000,-2802000,1000,-2801000,725000,-2076000,-2076000,-2076000,-2076000,17723000,17723000,7723000,7723000,26392000,2466000,19461000,51838000,529124000,48810000,37842000,578969000,630807000,25060000,2095000,22965000,17130000,7706000,9424000,43018000,377715000,358308000,419656000,462674000,139768000,29299000,168133000,168133000,630807000,-2076000,11889000,3016000,-7281000,5548000,-2135000,-8834000,1934000,-933000,2272000,-1014000,-1014000,-1014000,14652000,42769000,4511000,0.03204,-0.02408,-0.01235,-0.00329,-2.17293,1.20503,2.75183,0.0678,-1.12835,-1.12835,46.86516,91.38394,2.45183,-0.00353,0.00766,1.70939,9.06478
"12","2013_Q3",338.9953125,"Down",87219000,-84256000,-5081000,-10761000,-68414000,2963000,-5641000,-5677000,-2678000,-1999.99999999999,-2680000,610000,-2070000,-2070000,-2070000,-2070000,20314000,20314000,5603000,5603000,28187000,5763000,21530000,54104000,548325000,49994000,38226000,599384000,653488000,26005000,1828000,24177000,22752000,8421000,14331000,49586000,394117000,375293000,435850000,485436000,141757000,27229000,168052000,168052000,653488000,-2070000,10761000,-770000,1015000,8936000,-3007000,-28407000,21851000,-1278000,22062000,2591000,2591000,2591000,13724000,42562000,11122000,0.03397,-0.02373,-0.01232,-0.00317,-5.37295,1.09111,2.88861,0.06513,-1.11599,-1.11599,47.02187,90.60089,5.99614,-0.00342,0.01839,1.6211,7.50861
"13","2013_Q4",333.20625,"Down",87983000,-85083000,-5026000,-10533000,-69524000,2900000,-5873000,-5926000,-2973000,13000,-2960000,-7003000,-9963000,-9963000,-9963000,-9963000,18765000,18765000,4658000,4658000,30241000,5625000,24238000,53664000,565897000,41792000,36504000,608742000,662406000,31140000,2553000,28587000,22323000,9537000,12786000,54408000,407630000,389328000,449039000,503447000,142627000,17266000,158959000,158959000,662406000,-9963000,10533000,7057000,6191000,13818000,-4728000,-26273000,12620000,-1715000,10906000,-1549000,-1549000,-1549000,13433000,42354000,21899000,0.03296,-0.11324,-0.06268,-0.01504,-2.19803,0.98633,3.16715,0.06394,-5.35166,-5.35166,47.26042,85.38545,11.76313,-0.01636,0.03596,1.75605,8.13414
"14","2014_Q1",363.00737704918,"Up",88935000,-86311000,-5209000,-10055000,-71047000,2624000,-6370000,-6433000,-3746000,1442000,-2304000,-91000,-2395000,-2395000,-2395000,-2395000,13611000,13611000,3752000,3752000,34605000,6605000,22877000,51968000,651738000,40833000,39988000,693581000,745549000,33134000,3813000,29321000,24623000,11215000,13408000,58705000,487801000,468935000,528894000,587599000,144013000,14871000,157950000,157950000,745549000,-2395000,10055000,5726000,956000,14342000,-2232000,-98782000,80293000,-1409000,79286000,-5154000,-5154000,-5154000,12679000,42041000,11494000,0.0295,-0.02693,-0.01516,-0.00321,-4.79916,0.88524,3.72016,0.05639,-1.28441,-1.28441,47.69489,84.7069,6.16411,-0.00348,0.01671,2.24229,10.8346
"15","2014_Q2",362.27380952381,"Down",91857000,-89242000,-4971000,-10951000,-73320000,2615000,-7076000,-7125000,-4461000,4000,-4457000,-190000,-4647000,-4647000,-4647000,-4647000,11601000,11601000,5277000,5277000,28528000,4372000,19215000,45406000,659460000,38807000,38099000,699276000,744682000,29352000,3356000,25996000,23086000,11418000,11668000,53397000,495624000,477414000,536550000,589947000,145445000,10224000,154735000,154735000,744682000,-4647000,10951000,5542000,-2497000,9349000,-3102000,-17660000,6568000,-402000,6301000,-2010000,-2010000,-2010000,13566000,41885000,8157000,0.02847,-0.05059,-0.03003,-0.00624,-1.75533,0.85035,3.81263,0.05625,-2.47531,-2.47531,48.92938,82.42255,4.34498,-0.00671,0.01178,2.23235,11.58088
"16","2014_Q3",348.9046875,"Down",93425000,-90276000,-4651000,-10816000,-74809000,3149000,-7304000,-7377000,-4155000,-5474000,-9629000,-190000,-9819000,-9819000,-9819000,-9819000,27934000,27934000,4934000,4934000,30817000,4462000,20954000,63685000,732560000,44620000,44063000,777180000,840865000,27619000,1024000,26595000,24210000,12298000,11912000,52799000,599738000,582199000,640418000,693217000,148177000,405000,147648000,147648000,840865000,-9819000,10816000,7355000,-2461000,5891000,-4781000,-85769000,98637000,-2460000,96211000,16333000,16333000,16333000,13965000,41650000,6913000,0.03371,-0.1051,-0.0665,-0.01168,-0.70404,1.20618,4.69507,0.04953,-5.20218,-5.20218,49.4973,78.22508,3.66256,-0.01244,0.00876,0.98217,4.35567
"17","2014_Q4",352.7578125,"Up",98483000,-95804000,-5515000,-13840000,-76449000,2679000,-8238000,-8243000,-5559000,-1000,-5560000,-199000,-5759000,-5759000,-5759000,-5759000,27816000,27816000,5716000,5716000,30873000,3525000,22134000,64405000,774211000,41137000,40696000,815348000,879753000,36576000,4052000,32524000,52629000,13376000,39253000,90186000,605649000,588744000,646079000,736265000,149776000,-5354000,143488000,143488000,879753000,-5759000,13840000,739000,11025000,19845000,-5507000,-52882000,33927000,-1008000,32919000,-118000,-118000,-118000,16519000,41411000,22236000,0.0272,-0.05848,-0.04014,-0.00655,-3.86109,0.71414,5.1312,0.04707,-3.04331,-3.04331,52.04282,75.82547,11.7505,-0.00728,0.02813,0.82299,5.07465
"18","2015_Q1",367.750819672131,"Up",100160000,-94703000,-4485000,-13880000,-76338000,5457000,-8463000,-8464000,-3006000,-755000,-3761000,-140000,-3901000,-3901000,-3901000,-3901000,39209000,39209000,5903000,5903000,67002000,6797000,24444000,112114000,747613000,31643000,31183000,779256000,891370000,34913000,2540000,32373000,63494000,14603000,48891000,99461000,610719000,594310000,650735000,750196000,151363000,-9255000,141174000,141174000,891370000,-3901000,13880000,1277000,-29000.0000000037,11227000,-4556000,-19106000,20738000,-1467000,19272000,11393000,11393000,11393000,19337000,41070000,14892000,0.05448,-0.03895,-0.02763,-0.00438,-3.81748,1.12722,5.31398,0.04608,-2.06016,-2.06016,52.89546,74.55535,7.86461,-0.00492,0.01878,0.09624,0.34103
"19","2015_Q2",386.714285714286,"Up",98640000,-94922000,-5013000,-12795000,-77114000,3718000,-8341000,-8342000,-4623000,-977000,-5600000,-439000,-6039000,-6039000,-6039000,-6039000,51073000,51073000,6640000,6640000,25488000,4937000,20551000,83201000,787988000,37860000,37779000,825848000,909049000,32935000,3854000,29081000,38446000,14547000,23899000,72443000,659789000,644257000,699625000,772068000,153209000,-15294000,136981000,136981000,909049000,-6039000,12795000,7428000,-1399000,12785000,30169000,-17641000,17641000,-929000,16720000,11864000,11864000,11864000,16513000,40898000,45722000,0.03769,-0.06122,-0.04409,-0.00664,-7.57112,1.1485,5.63631,0.04499,-3.1696,-3.1696,51.77177,71.89526,23.99745,-0.00721,0.05458,-0.61618,-2.73669
"20","2015_Q3",329.68125,"Down",101588000,-97908000,-5718000,-13468000,-78722000,3680000,-8662000,-8662000,-4982000,-64999.9999999998,-5047000,-119000,-5166000,-5166000,-5166000,-5166000,39403000,39403000,7453000,7453000,28680000,5418000,22952000,75536000,811052000,35386000,35386000,846438000,921974000,31989000,2055000,29934000,38317000,13844000,24473000,71380000,676527000,661531000,716090000,787470000,155898000,-20460000,134504000,134504000,921974000,-5166000,13468000,1204000,-3972000,5534000,-7902000,-34802000,18376000,-812000,17598000,-11670000,-11670000,-11670000,17148000,40637000,5393000,0.03622,-0.05085,-0.03841,-0.0056,-1.04394,1.05822,5.85462,0.04408,-2.69818,-2.69818,53.059,70.25089,2.81674,-0.00607,0.00633,0.0719600000000001,0.33533
"21","2015_Q4",332.7890625,"Up",104420000,-98744000,-4751000,-12722000,-81271000,5676000,-8982000,-8982000,-3306000,6316000,3010000,-139000,2871000,2871000,2871000,2871000,34687000,34687000,8272000,8272000,30179000,4721000,25321000,73138000,848019000,38246000,38117000,886265000,959403000,35531000,694000,34837000,30229000,14224000,16005000,66905000,713636000,699013000,752864000,819769000,158157000,-17589000,139634000,139634000,959403000,2871000,12722000,-4721000,3284000,14156000,-2472000,-52222000,35312000,-1962000,33350000,-4716000,-4716000,-4716000,18398000,40373000,19349000,0.05436,0.02749,0.02056,0.00299,6.73946,1.09316,5.87084,0.04208,1.4981,1.49805,54.48689,72.86173,10.09641,0.00321,0.02165,0.30906,1.00176
"22","2016_Q1",260.513114754098,"Down",107529000,-101768000,-4869000,-14032000,-82867000,5761000,-9693000,-9693000,-3932000,-1815000,-5747000,-203000,-5950000,-5950000,-5950000,-5950000,56087000,56087000,9254000,9254000,31927000,4370000,27557000,97268000,890572000,31193000,31193000,921765000,1019033000,37773000,3362000,34411000,31512000,16059000,15453000,70542000,773910000,759918000,812745000,883287000,160219000,-23539000,135746000,135746000,1019033000,-5950000,14032000,4692000,3646000,16420000,-18762000,-56762000,63719000,-1977000,61742000,21400000,21400000,21400000,19793000,40092000,4880000,0.05358,-0.05533,-0.04383,-0.00584,-0.820169999999999,1.37887,6.50691,0.03934,-3.1028,-3.1029,56.07405,70.78861,2.54481,-0.00626,0.00514,-0.80811,-2.77643
"23","2016_Q2",281.55703125,"Up",109173000,-105020000,-6248000,-14531000,-84241000,4153000,-9969000,-9969000,-5816000,-31000,-5847000,-137000,-5984000,-5984000,-5984000,-5984000,31808000,31808000,10118000,10118000,26528000,3398000,23130000,68454000,953352000,31295000,31295000,984647000,1053101000,34826000,1575000,33251000,30896000,15628000,15268000,66923000,817791000,804146000,856394000,923317000,162737000,-29523000,129784000,129784000,1053101000,-5984000,14531000,8465000,-1272000,15740000,-13767000,-78517000,41843000,-854000,38498000,-24279000,-24279000,-24279000,18684000,39804000,3782000,0.03804,-0.05481,-0.04611,-0.00568,-0.63202,1.02288,7.11426,0.0378,-3.12042,-3.12042,56.92938,67.6772,1.97216,-0.00606,0.00383,0.42796,1.92536
"24","2016_Q3",264.71015625,"Down",111034000,-105241000,-4972000,-15172000,-85097000,5793000,-10093000,-10326000,-4300000,-6000,-4306000,-140000,-4446000,-4446000,-4446000,-4446000,44486000,44486000,10427000,10427000,30120000,5386000,24639000,85033000,958123000,28737000,28737000,986860000,1071893000,33707000,1148000,32559000,34574000,15794000,18780000,69495000,836241000,823076000,874536000,944031000,165261000,-33969000,127862000,127862000,1071893000,-4446000,15172000,4627000,-5785000,9568000,-15980000,-15980000,19866000,-837000,19090000,12678000,12678000,12678000,20965000,39509000,-659999.999999999,0.05217,-0.04004,-0.03477,-0.00415,0.14845,1.22358,7.3832,0.03686,-2.30447,-2.30447,57.55152,66.27386,-0.34209,-0.00443,-0.00066,-0.2374,-0.85914
"25","2016_Q4",236.659523809524,"Down",111436000,-107750000,-5749000,-14400000,-87601000,3686000,-10621000,-10621000,-6935000,-16000,-6951000,-126000,-7077000,-7077000,-7077000,-7077000,29834000,29834000,11065000,11065000,32983000,6482000,26501000,73882000,1005027000,29590000,29590000,1034617000,1108499000,34988000,2309000,32679000,35621000,16597000,19024000,71820000,875523000,862838000,913415000,985235000,167740000,-41046000,123264000,123264000,1108499000,-7077000,14400000,3460000,483000,11266000,-17532000,-62532000,37902000,-1288000,36614000,-14652000,-14652000,-14652000,18086000,39103000,1163000,0.03308,-0.06351,-0.05741,-0.00638,-0.16434,1.02871,7.99289,0.03528,-3.66387,-3.66387,57.69207,63.8156,0.6021,-0.00682,0.00112,0.5125,2.51465
"26","2017_Q1",237.491129032258,"Up",115805000,-115047000,-6702000,-16295000,-92050000,758000,-11224000,-11224000,-10466000,-11999.9999999991,-10478000,-32000,-10510000,-10510000,-10510000,-10510000,34026000,34026000,13675000,13675000,34327000,6365000,27962000,82028000,1032430000,31323000,31323000,1063753000,1145781000,44333000,5051000,39282000,35718000,16284000,19434000,81390000,910034000,897829000,947473000,1028863000,171904000,-51556000,116918000,116918000,1145781000,-10510000,16295000,4896000,5024000,15705000,-15020000,-44020000,33507000,-1001000,32507000,4192000,4192000,4192000,17053000,38778000,7089000,0.00655,-0.09076,-0.08989,-0.00917,-0.6745,1.00784,8.79987,0.03384,-5.4333,-5.4333,59.86714,60.44252,3.66477,-0.00986,0.00665,0.27866,6.26913
"27","2017_Q2",216.116666666667,"Down",115990000,-112742000,-6234000,-17213000,-89295000,3248000,-11984000,-11987000,-8736000,-12983000,-21719000,-123000,-21842000,-21842000,-21842000,-21842000,12612000,12612000,9389000,9389000,28809000,5268000,23541000,50810000,1117291000,23328000,23328000,1140619000,1191429000,38760000,7165000,31595000,33399000,15267000,18132000,74681000,968148000,956703000,1019739000,1094420000,174019000,-73580000,97009000,97009000,1191429000,-21842000,17213000,22256000,506000,18133000,-12701000,-97701000,59714000,-1556000,58158000,-21410000,-21410000,-21410000,20461000,54113000,8389000,0.028,-0.18831,-0.22515,-0.01833,-0.38408,0.68036,11.28163,0.04542,-11.1809,-11.1809,59.37519,49.65883,4.29432,-0.01951,0.0075,2.0283,12.7774
"28","2017_Q3",196.257142857143,"Down",116718000,-112027000,-6083000,-16746000,-89198000,4691000,-12388000,-12390000,-7697000,0,-7697000,-138000,-7835000,-7835000,-7835000,-7835000,16218000,16218000,10488000,10488000,28854000,4391000,24446000,55560000,1111903000,20337000,20337000,1132240000,1187800000,44152000,7995000,36157000,34025000,15174000,18851000,81062000,964889000,953914000,1015623000,1096685000,175960000,-81415000,91115000,91115000,1187800000,-7835000,16746000,2950000,4990000,16851000,-9228000,-9228000,-3432000,-519000,-3951000.00000001,3672000,3672000,3672000,21437000,53619000,17337000,0.04019,-0.06713,-0.08599,-0.0066,-2.21276,0.6854,12.03627,0.04514,-3.98461,-3.98461,59.35872,46.33792,8.817,-0.00706,0.01562,1.74469,7.97293
"29","2017_Q4",214.311904761905,"Up",117318000,-112805000,-5361000,-16903000,-90541000,4513000,-12511000,-12512000,-7998000,-1000,-7999000,-133000,-8132000,-8132000,-8132000,-8132000,9186000,9186000,8680000,8680000,30262000,3978000,26284000,48128000,1105270000,18233000,18233000,1123503000,1171631000,40748000,3975000,36773000,32155000,14245000,17910000,75709000,961122000,950618000,1010979000,1086688000,177920000,-89547000,84943000,84943000,1171631000,-8132000,16903000,1892000,-3366000,7297000,-8220000,-8220000,-5112000,-992000,-6104000,-7027000,-7027000,-7027000,21416000,52663000,9963000,0.03847,-0.06932,-0.09573,-0.00694,-1.22516,0.6357,12.79314,0.04495,-4.13117,-4.13117,59.59916,43.15222,5.06134,-0.0074,0.00907,2.03012,9.63372
"30","2018_Q1",177.624590163934,"Down",116971000,-108723000,-5896000,-15337000,-87490000,8248000,-12508000,-12509000,-4260000,3000,-4257000,-2102000,-6359000,-6359000,-6359000,-6359000,17646000,17646000,12307000,12307000,34096000,6332000,27764000,64049000,1099786000,18836000,18836000,1118622000,1182671000,48935000,7801000,41134000,34962000,13840000,21122000,87003000,966430000,954456000,1015235000,1102238000,179769000,-95906000,80433000,80433000,1182671000,-6359000,15337000,2958000,1377000,13313000,-9791000,-9791000,5928000,-1065000,4863000,8385000,8385000,8385000,23585000,51911000,17273000,0.07051,-0.05436,-0.07906,-0.00538,-2.71631,0.73617,13.7038,0.04389,-3.22827,-3.22827,59.38264,40.8334,8.76898,-0.00579,0.01572,1.45283,4.15434
"31","2018_Q2",164.934375,"Down",114643000,-109257000,-6022000,-15372000,-87863000,5386000,-12413000,-12414000,-7027000,3000,-7024000,-132000,-7156000,-7156000,-7156000,-7156000,9938000,9938000,13594000,13594000,28872000,6124000,22748000,52404000,1090067000,18079000,18079000,1108146000,1160550000,38163000,3544000,34619000,34094000,14237000,19857000,75133000,961919000,950415000,1010191000,1085324000,181718000,-103062000,75226000,75226000,1160550000,-7156000,15372000,7576000,-11350000,4442000,-5613000,-5613000,-5723000,-805000,-6528000,-7699000,-7699000,-7699000,20758000,51148000,3927000,0.04698,-0.06242,-0.09513,-0.00617,-0.54877,0.69748,14.42751,0.04407,-3.62124,-3.62124,58.01416,38.06751,1.98723,-0.00658,0.00361,1.98526,7.65132
"32","2018_Q3",135.695238095238,"Down",114627000,-110984000,-5712000,-15521000,-89751000,3643000,-12576000,-12577000,-8933000,-1.16415321826935e-10,-8933000,-127000,-9060000,-9060000,-9060000,-9060000,10870000,10870000,13933000,13933000,31137000,6626000,24511000,55940000,1079770000,17929000,17929000,1097699000,1153639000,45053000,6534000,38519000,34923000,14340000,20583000,82888000,954561000,943528000,1002026000,1084914000,184277000,-112122000,68725000,68725000,1153639000,-9060000,15521000,1798000,2407000,10666000,-5185000,-5185000,-3704000,-775000,-4479000,1002000,1002000,1002000,19164000,50377000,16513000,0.03178,-0.07904,-0.13183,-0.00785,-1.82263,0.67489,15.78631,0.04367,-4.55339,-4.55339,57.60939,34.5399,8.29913,-0.00844,0.01538,2.06152,10.84463
