"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",12.00203125,"Up",15460000,-4569000,10891000,-9980000,-7879000,-2101000,911000,157000,-99000,256000,1068000,1068000,-38000,1030000,1030000,1030000,1030000,16758000,16758000,10271000,10271000,784000,784000,27813000,2639000,10638000,4880000,5758000,13277000,41090000,8471000,1829000,6642000,21708000,16450000,5258000,30179000,4481000,4188000,293000,7148000,37327000,328110000,-323318000,-1029000,3763000,3763000,41090000,1030000,367000,863000,-3168000,-908000,-567000,-561000,271000,271000,-146000,-1615000,-1615000,-466000,-2081000,1278000,2667000,-2419000,0.70446,0.05893,0.06662,0.27372,0.02507,-2.34854,0.9216,9.91948,0.06491,0.04138,0.03906,0.62116,0.15119,-0.09719,0.0943999999999999,-0.2217,-11.02582,-15.46762
"12","2014_Q1",9.04081967213115,"Down",17969000,-4827000,13142000,-10996000,-8770000,-2226000,2146000,-110000,-107000,-3000,2036000,2036000,-139000,1897000,1897000,1897000,1897000,16206000,16206000,12307000,12307000,805000,805000,29318000,3544000,10674000,4880000,5794000,14218000,43536000,9400000,2583000,6817000,21243000,15679000,5564000,30643000,4905000,4057000,848000,6905000,37548000,328577000,-321421000,-1168000,5988000,5988000,43536000,1897000,316000,817000,-2030000,1e+06,-1275000,-1276000,198000,198000,-218000,-494000.000000001,-494000.000000001,-57999.9999999998,-552000.000000002,2462000,2e+06,-704000,0.73137,0.11943,0.10557,0.3168,0.04357,-0.37111,0.95676,6.27054,0.04594,0.07574,0.06931,0.71747,0.23909,-0.02811,0.14713,-0.0546,-5.77011,-6.61976
"13","2014_Q2",6.60809523809524,"Down",15682000,-5533000,10149000,-11707000,-9601000,-2106000,-1558000,-352000,-92000,-260000,-1910000,-1910000,-94000,-2004000,-2004000,-2004000,-2004000,14639000,14639000,9833000,9833000,566000,566000,25038000,4271000,9850000,4880000,4970000,14121000,39159000,9724000,2427000,7297000,19666000,17416000,2250000,29566000,2887000,2039000,848000,4824000,34390000,329243000,-323426000,-1048000,4769000,4769000,39159000,-2004000,463000,1173000,2659000,2291000,-608000,-608000,319000,319000,-3383000,-1700000,-1700000,133000,-1567000,-1095000,2113000,1050000,0.64718,-0.09935,-0.12779,-0.42021,-0.05118,-0.52395,0.84685,7.21116,0.05396,-0.07959,-0.07959,0.62285,0.18941,0.0417,-0.20514,0.10748,11.43927,8.03979
"14","2014_Q3",6.46625,"Down",17665000,-5836000,11829000,-12937000,-10547000,-2390000,-1108000,-55000,-37000,-18000,-1163000,-1163000,-54000,-1217000,-1217000,-1217000,-1217000,12491000,12491000,9372000,9372000,464000,464000,22327000,4323000,9768000,4880000,4888000,14091000,36418000,7884000,2304000,5580000,19878000,18045000,1833000,27938000,2683000,1966000,717000,4370000,32308000,329774000,-324644000,-1020000,4110000,4110000,36418000,-1217000,521000,1020000,-1438000,-1114000,-555000,-555000,138000,138000,-529000.000000001,-2198000,-2198000,50000,-2148000,-587000,1863000,-2526000,0.66963,-0.06272,-0.06889,-0.29611,-0.03342,2.0756,0.79916,7.86083,0.05116,-0.048,-0.048,0.69668,0.16209,-0.09962,-0.1406,-0.29182,18.10562,9.59206
"15","2014_Q4",4.97234375,"Down",18026000,-5982000,12044000,-12732000,-10064000,-2668000,-688000,-94000,-17000,-77000,-782000,-782000,-225000,-1007000,-1007000,-1007000,-1007000,7769000,7769000,9495000,9495000,366000,366000,17630000,4308000,9312000,4880000,4432000,13620000,31250000,7917000,2194000,5723000,16390000,14973000,1417000,24483000,1632000,871000,761000,3069000,27552000,330346000,-325651000,-997000,3698000,3698000,31250000,-1007000,553000,997000,-4235000,-3692000,-422000,-423000,1e+05,1e+05,-566000,-4681000,-4681000,-41000,-4722000,-135000,1613000,-4567000,0.66815,-0.03817,-0.05586,-0.27231,-0.03222,4.53525,0.72009,7.45051,0.05162,-0.03962,-0.03962,0.70929,0.14551,-0.1797,-0.14504,-0.65778,45.6,8.94767
"16","2015_Q1",4.05360655737705,"Down",18889000,-6111000,12778000,-13483000,-10684000,-2799000,-705000,-95000,-35000,-60000,-8e+05,-8e+05,-218000,-1018000,-1018000,-1018000,-1018000,8785000,8785000,11163000,11163000,367000,367000,20315000,4489000,7843000,4880000,2963000,12332000,32647000,9347000,2162000,7185000,14337000,12920000,1417000,24076000,1314000,793000,521000,5522000,29598000,330682000,-326663000,-970000,3049000,3049000,32647000,-1018000,571000,504000,-2199000,-2142000,-187000,-187000,21000,21000,3335000,1006000,1006000,12000,1018000,-134000,4600000,-2302000,0.67648,-0.03732,-0.05389,-0.33388,-0.03118,2.2613,0.84379,9.70745,0.1409,-0.03998,-0.03998,0.74179,0.11974,-0.0904,-0.11358,-0.25683,31.23134,5.93617
"17","2015_Q2",3.95825396825397,"Down",20704000,-6987000,13717000,-15188000,-11447000,-3741000,-1471000,-133000,-123000,-10000,-1604000,-1604000,-32000,-1636000,-1636000,-1636000,-1636000,5111000,5111000,15402000,15402000,2542000,2542000,23055000,4220000,25823000,13230000,2888000,30043000,53098000,13819000,2928000,10891000,14550000,13383000,1167000,28768000,3687000,1380000,2307000,14601000,43369000,338993000,-328300000,-964000,9729000,9729000,53098000,-1636000,668000,1433000,-6506000,-6041000,-71000,-3971000,34000,34000,6501000,-3511000,-3511000,-163000,-3674000,-803000,11313000,-7348000,0.66253,-0.07105,-0.07902,-0.16816,-0.03081,4.49144,0.80141,4.4577,0.21306,-0.06247,-0.06247,0.79062,0.37152,-0.2806,-0.06616,-0.29714,-7.72354,-4.21618
"18","2015_Q3",4.08734375,"Up",18903000,-8241000,10662000,-16332000,-12172000,-4160000,-5670000,18000,-145000,163000,-5652000,-5652000,191000,-5461000,-5461000,-5461000,-5461000,8296000,8296000,10736000,10736000,1550000,1550000,20582000,3941000,25478000,13230000,3238000,29419000,50001000,12608000,2555000,10053000,11973000,11473000,5e+05,25018000,3200000,1157000,2043000,20086000,45104000,339806000,-333753000,-1156000,4897000,4897000,50001000,-5461000,623000,1643000,1362000,-1833000,-357000,442000.000000001,69000,69000,4768000,3377000,3377000,-192000,3185000,-5047000,17323000,-4233000,0.56404,-0.29995,-0.2889,-1.11517,-0.10922,0.775129999999999,0.82269,9.21054,0.34645,-0.20486,-0.20486,0.70912,0.1837,-0.1588,-0.21483,-0.16652,-1.78859,-1.59206
"19","2015_Q4",4.41328125,"Up",19232000,-7550000,11682000,-13837000,-9695000,-4142000,-2155000,-295000,-310000,15000,-2450000,-2450000,51000,-2399000,-2399000,-2399000,-2399000,9190000,9190000,12220000,12220000,1310000,1310000,22720000,3435000,24837000,13230000,3292000,28272000,50992000,12183000,1909000,10274000,15131000,14569000,562000,27765000,3410000,1377000,2033000,20064000,47829000,340429000,-336153000,-1113000,3163000,3163000,50992000,-2399000,607000,1654000,1132000,994000,-84000,132000,102000,102000,-99000,1027000,1027000,-133000,894000,-1548000,17105000,-551000,0.60743,-0.11205,-0.12474,-0.75846,-0.04705,0.22968,0.8183,15.1214,0.33544,-0.08984,-0.08984,0.72019,0.11845,-0.02063,-0.10132,-0.02327,-5.11305,-3.67285
"20","2016_Q1",3.79262295081967,"Down",17074000,-6363000,10711000,-12701000,-8702000,-3999000,-1990000,-413000,-256000,-157000,-2403000,-2403000,-530000,-2933000,-2933000,-2933000,-2933000,8633000,8633000,13118000,13118000,2934000,2028000,24685000,3136000,21910000,13186000,1104000,25046000,49731000,11353000,1779000,9574000,14900000,14395000,505000,26724000,3354000,1417000,1937000,21908000,48632000,341356000,-339087000,-1170000,1099000,1099000,49731000,-2933000,605000,1108000,-2403000,-3623000,-229000,-28000.0000000002,134000,134000,2443000,-1208000,-1208000,651000,-557000,-1385000,19025000,-3487000,0.62733,-0.11655,-0.17178,-2.66879,-0.05898,1.18889,0.9237,44.25114,0.38256,-0.10908,-0.10908,0.635,0.04087,-0.12969,-0.12493,-0.14852,-7.50325,-5.22211
"21","2016_Q2",3.40578125,"Down",16476000,-6472000,10004000,-12814000,-8914000,-3900000,-2810000,-93000,-333000,240000,-2903000,-2903000,-334000,-3237000,-3237000,-3237000,-3237000,7264000,7264000,11160000,11160000,613000,613000,19037000,2732000,22692000,13186000,2582000,25424000,44461000,8531000,1747000,6784000,12741000,11992000,749000,21567000,2798000,1097000,1701000,24618000,46185000,341869000,-342324000,-1269000,-1724000,-1724000,44461000,-3237000,549000,1413000,-4290000,-5565000,-69000,578000,106238.841934213,106192.499855476,3546000,-1441000,-1441000,72000,-1369000,-2261000,22115000,-6286000,0.60719,-0.17055,-0.19647,1.87761,-0.07281,1.94192,0.88269,-26.78944,0.4974,-0.11979,-0.11979,0.60973,-0.0638,-0.23263,-0.13959,-0.27108,-6.56832999999997,-5.28505
"22","2016_Q3",2.825625,"Down",18986000,-5976000,13010000,-13526000,-9510000,-4016000,-516000,-750000,-676000,-74000,-1266000,-1266000,-113000,-1379000,-1379000,-1379000,-1379000,9792000,9792000,10830000,10830000,531000,531000,21153000,2542000,21985000,13186000,2570000,24527000,45680000,10252000,2170000,8082000,12317000,11510000,807000,22892000,3079000,1198000,1881000,25654000,48546000,342172000,-343703000,-1335000,-2866000,-2866000,45680000,-1379000,543000,1341000,1884000,2389000,-273000,-281000,74000,74000,483000,2591000,2591000,-62999.9999999999,2528000,27000,22898000,1751000,0.68524,-0.02718,-0.07263,0.48116,-0.03019,-1.26976,0.92403,-16.93859,0.50127,-0.05101,-0.05101,0.70225,-0.10601,0.06477,-0.05967,0.07576,485.40741,-25.39922
"23","2016_Q4",2.54666666666667,"Down",16291000,-5720000,10571000,-13227000,-9019000,-4208000,-2656000,-166000,-512000,346000,-2822000,-2822000,-178000,-3e+06,-3e+06,-3e+06,-3e+06,7541000,7541000,6639000,6639000,563000,563000,14743000,2142000,21883000,13186000,3163000,24025000,38768000,8933000,2110000,6823000,10774000,9948000,826000,20058000,6482000,4568000,1914000,24273000,44331000,342495000,-346706000,-1352000,-5563000,-5563000,38768000,-3e+06,506000,1374000,3970000,2850000,-98000,-103000,77000,77000,-4824000,-2077000,-2077000,-174000,-2251000,-2150000,18142000,1900000,0.64889,-0.16303,-0.18415,0.53928,-0.07738,-0.63333,0.73502,-7.9689,0.46796,-0.11082,-0.11082,0.60179,-0.2055,0.07019,-0.15739,0.09968,-4.93069999999989,-3.99134000000001
"24","2017_Q1",1.96854838709677,"Down",17622000,-5521000,12101000,-11992000,-8053000,-3939000,109000,-221000,-437000,216000,-112000,-112000,1488000,1376000,1376000,1376000,1376000,11780000,11780000,11876000,11876000,2698000,1218000,26354000,1688000,20021000,13186000,1996000,21709000,48063000,13411000,2099000,11312000,13500000,12672000,828000,27240000,4724000,3045000,1679000,25100000,52340000,342716000,-345330000,-1663000,-4277000,-4277000,48063000,1376000,459000,-295000,653000,2193000,-107000,-120000,21000,21000,2526000,4599000,4599000,-360000,4239000,568000,20705000,-374000,0.6867,0.00619000000000003,0.0780800000000001,-0.32172,0.02863,-0.2718,0.96747,-12.23755,0.43079,0.05078,0.05078,0.65038,-0.15785,-0.0138,0.06505,-0.01768,15.71303,81.88073
"25","2017_Q2",1.55904761904762,"Down",14745000,-5064000,9681000,-10946000,-7271000,-3675000,-1265000,-314000,-422000,108000,-1579000,-1579000,-832000,-2411000,-2411000,-2411000,-2411000,9469000,9469000,7275000,7275000,2496000,1328000,19240000,1379000,19496000,13186000,2050000,20875000,40115000,9711000,1907000,7804000,16304000,15473000,831000,26288000,4413000,2511000,1902000,20161000,46449000,342952000,-347741000,-1545000,-6334000,-6334000,40115000,-2411000,354000,1352000,3148000,2443000,-42000,-42000,-7990.49865426793,-4677.41708297521,-4720000,-2319000,-2319000,8000,-2311000,-911000,16021000,3027000,0.65656,-0.08579,-0.16351,0.38064,-0.0601,-1.2555,0.73189,-7.33328,0.39938,-0.08894,-0.08894,0.54394,-0.23366,0.11166,-0.17099,0.21468,-7.1921,-5.17945
"26","2017_Q3",1.9484126984127,"Up",14999000,-5063000,9936000,-10234000,-7003000,-3231000,-298000,-532000,-459000,-73000,-830000,-830000,-219000,-1049000,-1049000,-1049000,-1049000,9727000,9727000,8538000,8538000,1846000,1147000,20111000,1395000,18945000,13186000,2003000,20340000,40451000,7663000,1713000,5950000,14562000,13729000,833000,22552000,4942000,3179000,1763000,25062000,47614000,343171000,-348790000,-1544000,-7163000,-7163000,40451000,-1049000,320000,763000,-3803000,-3769000,-181000,-181000,-3000,2000,4269000,319000,319000,-61000,258000,22000,20447000,-3743000,0.66244,-0.01987,-0.06994,0.14645,-0.02593,3.56816,0.89176,-6.64721,0.50548,-0.0387,-0.0387,0.55335,-0.26426,-0.13809,-0.05756,-0.20537,487.27273,-35.97315
"27","2017_Q4",3.68444444444444,"Up",13850000,-5659000,8191000,-10022000,-6662000,-3360000,-1831000,-458000,-470000,12000,-2289000,-2289000,-226000,-2515000,-2515000,-2515000,-2515000,10345000,10345000,7745000,7745000,2419000,1157000,20509000,1240000,19088000,13186000,2650000,20328000,40837000,9525000,2624000,6901000,16598000,15811000,787000,26301000,5578000,3851000,1727000,24033000,50334000,343302000,-351305000,-1494000,-9497000,-9497000,40837000,-2515000,288000,1015000,3996000,2784000,-193000,-193000,0,0,-1922000,669000,669000,-51000,618000,-1543000,18633000,2486000,0.59141,-0.1322,-0.18159,0.26482,-0.06159,-0.98847,0.77978,-5.29999,0.45628,-0.09278,-0.09278,0.51094,-0.35035,0.09171,-0.17093,0.16895,-5.37135000000012,-4.52649
"28","2018_Q1",6.6327868852459,"Up",14621000,-5413000,9208000,-9539000,-6052000,-3487000,-331000,-458000,-379000,-79000,-789000,-789000,744000,-45000,-45000,-45000,-45000,10627000,10627000,7201000,7201000,2803000,1066000,20631000,1059000,18061000,13186000,2127000,19120000,39751000,9066000,2363000,6703000,19137000,18332000,805000,28311000,6217000,4887000,1330000,21061000,49372000,343394000,-351352000,-1663000,-9621000,-9621000,39751000,-45000,146000,1040000,2802000,3943000,-76000,-76000,14000,9000,-3596000,271000,271000,11000,282000,-185000,14952000,1797000,0.62978,-0.02264,-0.00308,0.00468,-0.00113,-39.93333,0.72873,-5.13169,0.37614,-0.00165999999999999,-0.00165999999999999,0.5393,-0.35487,0.06628,-0.0039,0.15561,-23.37838,-13.06647
"29","2018_Q2",10.77046875,"Up",14575000,-5426000,9149000,-9403000,-5972000,-3431000,-254000,-475000,-344000,-131000,-729000,-729000,161000,-568000,-568000,-568000,-568000,10724000,10724000,5498000,5498000,2339000,1033000,18561000,923000,17461000,13186000,2031000,18384000,36945000,8616000,2271000,6345000,21761000,20912000,849000,30473000,7366000,6047000,1319000,16283000,46756000,343825000,-351921000,-1715000,-9811000,-9811000,36945000,-568000,183000,1175000,5123000,5913000,-32000,-32000,112000,112000,-5846000,35000,35000,62000,97000,-71000,9013000,4859000,0.62772,-0.01743,-0.03897,0.05789,-0.01537,-8.55458,0.6091,-4.76567,0.24396,-0.02089,-0.02089,0.53614,-0.3609,0.17874,-0.08648,0.7398,24.09859,6.73622
"30","2018_Q3",12.6266666666667,"Up",15398000,-5589000,9809000,-10205000,-6497000,-3708000,-396000,-269000,-239000,-30000,-665000,-665000,-123000,-788000,-788000,-788000,-788000,10769000,10769000,6464000,6464000,2360000,1296000,19593000,818000,16981000,13186000,2054000,17799000,37392000,9558000,2043000,7515000,23709000,22842000,867000,33349000,7555000,6271000,1284000,13886000,47235000,344588000,-352709000,-1722000,-9843000,-9843000,37392000,-788000,164000,1434000,1753000,2563000,-59000,-59000,26000,26000,-2572000,-68000,-68000,113000,45000,-232000,6413000,1585000,0.63703,-0.02572,-0.05118,0.08006,-0.02107,-2.01142,0.58751,-4.79884,0.17151,-0.02893,-0.02893,0.56525,-0.36133,0.05818,-0.19103,0.38424,18.77586,11
