"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",27.6477419354839,"Up",300586000,-184773000,115813000,-56689000,-37844000,-26409000,-11435000,-6456000,-12389000,59124000,-17257000,-16933000,-16933000,6000,-330000,41867000,41867000,-16326000,25541000,25541000,25541000,25541000,57966000,57966000,129119000,129119000,187114000,26573000,5104000,400772000,91568000,1014833000,264486000,547893000,6165000,14694000,1106401000,1507173000,147818000,57996000,89822000,156818000,873865000,42952000,42952000,916817000,1073635000,678000,538851000,-92078000,-13913000,433538000,433538000,1507173000,25541000,14510000,20608000,8858000,69517000,-7918000,3000,3000,-7921000,-7921000,-7914000,-1.3e+07,-13944000,47659000,47659000,47659000,73634000,882865000,90900000,0.38529,0.1967,0.08497,0.05891,0.01695,3.55898,2.55565,2.47645,0.58578,0.37885,0.36622,4.45864,6.42068,1.34833,0.01879,0.06687,11.20269,13.95202
"12","2013_Q1",31.49,"Up",342022000,-215869000,126153000,-58373000,-43123000,-27791000,-15332000,-6285000,-8965000,67780000,-17036000,-16613000,-16613000,25000,-448000,50744000,49682000,-21395000,28287000,28287000,28287000,28287000,108023000,108023000,134978000,134978000,225817000,53735000,5048000,522553000,104718000,976576000,266956000,552943000,5783000,14140000,1081294000,1603847000,200059000,94543000,105516000,294859000,799018000,46342000,46342000,845360000,1140219000,683000,541233000,-63792000,-14496000,463628000,463628000,1603847000,28287000,11142000,28252000,38689000,106370000,-8895000,72000,72000,-8967000,-8967000,-53664000,-2232000,-2649000,50057000,50057000,50057000,78922000,893818000,130111000,0.36884,0.19817,0.08271,0.06101,0.01764,4.59967,1.77221,2.45934,0.5573,0.41897,0.40509,5.06577,6.85679,1.92711,0.02015,0.09269,9.9566,11.59332
"13","2013_Q2",32.94234375,"Up",399572000,-246110000,153462000,-56937000,-44107000,-31681000,-12426000,-6645000,-6185000,96525000,-15262000,-15675000,-15675000,17000,396000,81263000,79424000,-28750000,50674000,50674000,50674000,50674000,54337000,54337000,169388000,169388000,258821000,42649000,5111000,525195000,106474000,960057000,261145000,552943000,5409000,12677000,1066531000,1591726000,215599000,117134000,98465000,258131000,770702000,47299000,47299000,818001000,1076132000,686000,548063000,-13118000,-13494000,515594000,515594000,1591726000,50674000,8750000,27251000,-48409000,38266000,-4322000,67739.6788931059,67739.6788931059,-4322000,-4322000,-4322000,-82268000,-87640000,-53696000,-53696000,-53686000,105275000,813234000,81294000,0.38407,0.24157,0.12682,0.09828,0.03184,1.60425,2.03461,2.08717,0.51091,0.74669,0.72855,5.88779,7.5873,1.19789,0.03875,0.05907,7.20871,7.86218
"14","2013_Q3",41.48984375,"Up",346688000,-215735000,130953000,-54520000,-41111000,-27072000,-14039000,-7064000,-6345000,76433000,-16147000,-14263000,-14263000,25000,-1909000,60286000,46789000,-18535000,28254000,28254000,28254000,28254000,126598000,126598000,162711000,162711000,287258000,34502000,3664000,611069000,109481000,954817000,257401000,551242000,5009000,21305000,1064298000,1675367000,211480000,112155000,99325000,244527000,1177329000,47570000,47570000,1224899000,1469426000,686000,214068000,10202000,-12472000,205941000,205941000,1675367000,28254000,8906000,34605000,-35713000,36052000,-5694000,35000,35000,-5729000,-5729000,2838000,396015000,33410000,72300000,72300000,72261000,85339000,1210376000,62467000,0.37773,0.22047,0.0815,0.13719,0.01686,2.21091,2.49898,7.13518,0.72245,0.41464,0.40335,5.08774,3.01217,0.91672,0.25209,0.04267,12.69968,14.17945
"15","2013_Q4",48.879375,"Up",363269000,-223806000,139463000,-52174000,-37988000,-24295000,-13693000,-7183000,-7003000,87289000,-12185000,-12494000,-12494000,23000,286000,75104000,74045000,-26952000,47093000,47093000,47093000,47093000,116521000,116521000,164698000,164698000,296048000,38693000,4715000,615960000,120812000,996283000,280301000,589599000,4694000,20885000,1117095000,1733055000,210703000,101707000,108996000,240896000,1177671000,57148000,57148000,1234819000,1475715000,687000,217139000,57295000,-11229000,257340000,257340000,1733055000,47093000,9846000,27491000,-3535000,80895000,-4166000,40000,40000,-4206000,-4206000,-84405000,-6216000,-6543000,-10053000,-10053000,-10077000,97135000,1207864000,116386000,0.38391,0.24029,0.12964,0.183,0.02717,2.47141,2.55695,5.7345,0.69696,0.69179,0.67976,5.3364,3.77022,1.7097,0.03094,0.07645,11.23532,12.50264
"16","2014_Q1",54.6714754098361,"Up",376236000,-230554000,145682000,-54464000,-39799000,-24467000,-15332000,-8379000,-6286000,91218000,-12733000,-12003000,-12003000,26000,-756000,78485000,78458000,-29940000,48518000,48518000,48518000,48518000,150147000,150147000,164907000,164907000,300253000,38872000,5358000,654179000,146390000,997636000,278378000,608287000,4447000,21420000,1144026000,1798205000,228799000,109238000,119561000,250845000,1175349000,54940000,54940000,1230289000,1481134000,688000,219556000,105813000,-2415000,317071000,317071000,1798205000,48518000,9272000,29592000,17349000,104731000,-16508000,5000,5000,-16513000,-16513000,-58660000,-11690000.0000001,-12626000,33445000,33445000,33626000,100490000,1197395000,131271000,0.38721,0.24245,0.12896,0.15302,0.02698,2.70561,2.6079,4.6713,0.66588,0.71092,0.69522,5.51291,4.63589,1.92349,0.03092,0.08364,10.42142,11.48072
"17","2014_Q2",52.6039682539683,"Down",342008000,-222494000,119514000,-54208000,-41117000,-27969000,-13148000,-7746000,-5345000,65306000,-11082000,-11689000,-11689000,39000,568000,54224000,54224000,-19523000,34701000,34701000,34701000,34701000,173740000,173740000,182168000,182168000,292307000,38315000,6188000,686530000,148017000,978022000,273517000,607185000,3962000,19818000,1126039000,1812569000,213843000,113744000,100099000,233390000,1172368000,53767000,53767000,1226135000,1459525000,690000,222181000,140514000,-2844000,353044000,353044000,1812569000,34701000,8575000,17260000,-24183000,36353000,-4919000,6000,6000,-4925000,-4925000,-4919000,-5897000,-7859000,23575000,23575000,23593000,73881000,1191915000,64302000,0.34945,0.19095,0.10146,0.09829,0.01914,1.85303,2.94156,4.13412,0.65758,0.50716,0.49567,4.99852,5.14973,0.93979,0.02191,0.04022,13.78128,15.59083
"18","2014_Q3",44.78953125,"Down",362609000,-234597000,128012000,-54729000,-41618000,-29115000,-12503000,-8012000,-5099000,73283000,-11752000,-11428000,-11428000,42000,-366000,61531000,82422000,-28397000,54025000,54025000,54025000,54025000,197959000,197959000,203692000,203692000,287233000,28271000,5879000,717155000,153063000,958950000,267647000,607763000,3543000,18606000,1112013000,1829168000,207104000,116149000,90955000,214049000,1154316000,52241000,52241000,1206557000,1420606000,690000,225153000,194539000,-4139000,408562000,408562000,1829168000,54025000,8381000,-572000,-12902000,48932000,-8391000,1000,1000,-8392000,-8392000,-8819999.99999999,-15736000,-15958000,24154000,24154000,24219000,81664000,1161261000,88768000,0.35303,0.2021,0.14899,0.13223,0.02954,1.64309,3.35042,3.47709,0.63486,0.78821,0.76993,5.29035,5.95073,1.2951,0.03338,0.05473,11.79592,13.14496
"19","2014_Q4",43.71875,"Down",352305000,-222022000,130283000,-59489000,-46390000,-32961000,-13429000,-7822000,-5277000,70794000,-13700000,-12294000,-12294000,38000,-1444000,57094000,54862000,-18365000,36497000,36497000,36497000,36497000,173162000,173162000,199884000,199884000,327581000,31636000,6256000,732263000,159058000,942583000,264316000,607763000,3162000,17237000,1101641000,1833904000,223658000,131445000,92213000,229476000,1106293000,50218000,50218000,1156511000,1385987000,690000,229407000,231036000,-5164000,447917000,447917000,1833904000,36497000,8789000,14556000,-2616000,57226000,-9405000,0,0,-9405000,-9405000,-14285000,-67113000,-66705000,-23764000,-23764000,-24797000,79583000,1112111000,85927000,0.3698,0.20095,0.10359,0.08148,0.0199,2.35436,3.19102,3.09429,0.60642,0.53225,0.52156,5.13782,6.52211,1.25311,0.02282,0.05336,11.79836,13.26312
"20","2015_Q1",47.6534426229508,"Up",403997000,-265587000,138410000,-59295000,-46078000,-30363000,-15715000,-7914000,-5303000,79115000,-12013000,-11804000,-11804000,11000,-220000,67102000,66854000,-17464000,49390000,49390000,49390000,49390000,189761000,189761000,189107000,189107000,319385000,32225000,9384000,730478000,168821000,983243000,280580000,635565000,4298000,16291000,1152064000,1882542000,234606000,132248000,102358000,240522000,1082101000,70120000,56671000,1152221000,1392743000,691000,232790000,280426000,-15767000,489799000,489799000,1882542000,49390000,8985000,8302000,43798000,110475000,-11580000,387000,387000,-11967000,-11967000,-67467000,-25183000,-25501000,17507000,17507000,16599000,88100000,1088017000,137782000,0.3426,0.19583,0.12225,0.10084,0.02624,2.78967,3.03705,2.8435,0.57795,0.71977,0.70026,5.88756,7.1279,2.00793,0.03009,0.08361,10.19587,11.3538
"21","2015_Q2",43.2250793650794,"Down",311818000,-209215000,102603000,-57692000,-44334000,-30128000,-14206000,-8163000,-5195000,44911000,-12840000,-11268000,-11268000,37000,-1609000,32071000,30703000,-11018000,19685000,19685000,19685000,19685000,150085000,150085000,158190000,158190000,356929000,39324000,9001000,704528000,171384000,966460000,275881000,635565000,3848000,15073000,1137844000,1842372000,230988000,135099000,95889000,234597000,1033610000,71472000,56338000,1105082000,1339679000,694000,235922000,300111000,-22585000,502693000,502693000,1842372000,19685000,9034000,8772000,-12234000,25257000,-6499000,29000,29000,-6528000,-6528000,-6125000,-52631000,-56556000,-37424000,-37424000,-39676000,53945000,1037219000,46230000,0.32905,0.14403,0.06313,0.03916,0.01068,2.34849,3.00314,2.665,0.56298,0.28609,0.28086,4.53182,7.29583,0.67189,0.0131,0.02869,16.44516,19.75316
"22","2015_Q3",32.1059375,"Down",288360000,-192463000,95897000,-56430000,-42038000,-28474000,-13564000,-8412000,-5980000,39467000,-12568000,-10763000,-10763000,35000,-1840000,26899000,23472000,-8628000,14844000,14844000,14844000,14844000,155575000,155575000,160475000,160475000,385848000,45032000,12944000,746930000,174655000,949802000,262316000,639002000,4189000,13595000,1124457000,1871387000,242602000,149445000,93157000,246002000,1035237000,70338000,55529000,1105575000,1351577000,695000,237917000,314955000,-22256000,519810000,519810000,1871387000,14844000,10129000,13677000,-22328000,16322000,-7671000,59000.0000000001,59000.0000000001,-7730000,-7730000,-7812000,-187999.999999985,-3195999.99999999,5314000,5314000,5489999.99999997,49596000,1038637000,28225000,0.33256,0.13687,0.05148,0.02856,0.00793,1.90144,3.03628,2.60014,0.55501,0.21523,0.21172,4.18113,7.527,0.40925,0.00911,0.01733,17.80511,22.37469
"23","2015_Q4",29.96640625,"Down",359291000,-228965000,130326000,-62459000,-47842000,-34715000,-13127000,-8332000,-6285000,67867000,-12079000,-10210000,-10210000,39000,-1908000,55788000,53254000,-19218000,34036000,34036000,34036000,34036000,46454000,46454000,207205000,207205000,362268000,38441000,12467000,654368000,178120000,1005091000,309094000,668122000,2782000,14453000,1183211000,1837579000,220203000,123186000,97017000,224986000,1050127000,73194000,58180000,1123321000,1348307000,696000,239891000,348991000,-24393000,489272000,489272000,1837579000,34036000,10597000,23680000,-33033000,35280000,-5833000,17000,17000,-5850000,-5850000,-80543000,1346000,-63002000,-108265000,-108265000,-109121000,78464000,1054910000,58816000,0.36273,0.18889,0.09473,0.06956,0.01852,1.72805,2.90848,2.75574,0.57408,0.4994,0.49225,5.27175,7.1687,0.86299,0.02105,0.03637,12.85247,14.8593
"24","2016_Q1",32.2203278688525,"Up",357830000,-226706000,131124000,-63121000,-48975000,-36925000,-12050000,-8015000,-6131000,68003000,-10720000,-10602000,-10602000,12000,-130000,57283000,15554000,-6372000,9182000,9182000,9182000,9182000,115857000,115857000,182185000,182185000,325375000,8600000,8600000,632017000,184213000,962405000,254142000,669719000,2768000,964000,1146618000,1778635000,203973000,108332000,95641000,213224000,1037132000,62408000,57458000,1099540000,1312764000,696000,240993000,358173000,-22475000,465871000,465871000,1778635000,9182000,10573000,42899000,49106000,111760000,-10543000,0,0,-10543000,-10543000,-9848000,3882000,-31729000,70183000,70183000,69403000,78576000,1046383000,123511000,0.36644,0.19004,0.02566,0.01971,0.00516,13.45143,2.9641,2.81787,0.58831,0.13817,0.13612,5.3844,6.99966,1.85852,0.00584,0.07844,11.84237,13.6836
"25","2016_Q2",36.89671875,"Up",286535000,-188475000,98060000,-71096000,-55102000,-37269000,-17833000,-8197000,-7797000,26964000,-10616000,-11035000,-11035000,32000,387000,16348000,15931000,-5719000,10212000,10212000,10208000,10208000,69370000,69370000,230338000,230338000,374709000,11839000,11839000,686256000,197623000,1049618000,281270000,723443000,3733000,4459000,1247241000,1933497000,257440000,148357000,109083000,302470000,1047146000,74375000,61134000,1121521000,1423991000,701000,238770000,368381000,-21229000,474426000,509506000,1933497000,10212000,12793000,8691000,-9545000,22151000,-7086000,7000,7000,-7093000,-7093000,-68366000,4311000,-1106000,-47321000,-47321000,-46487000,39757000,1092176000,28845000,0.34223,0.0941,0.03563,0.02004,0.00528,2.82572,2.26884,2.79485,0.56487,0.15443,0.15327,4.33489,7.16682,0.43639,0.00614,0.01721,25.72644,37.93228
"26","2016_Q3",36.17484375,"Down",367376000,-243229000,124147000,-80065000,-61959000,-42366000,-19593000,-9889000,-8217000,44082000,-11218000,-11380000,-11380000,4000,158000,32864000,32864000,-11921000,20943000,20943000,20888000,20888000,75641000,75641000,243087000,243087000,366745000,13125000,13125000,698598000,206700000,1011237000,263844000,716845000,3179000,2948000,1217937000,1916535000,277495000,166693000,110802000,324041000,1034836000,71635000,62890000,1106471000,1430512000,701000,241717000,389269000,-34495000,450391000,486023000,1916535000,20943000,13650000,7935000,16556000,59084000,-6871000,40000,40000,-6911000,-6911000,-6477000,-11012000,-45617000,6989999.99999999,6989999.99999999,6271000,57732000,1081382000,79338000,0.33793,0.11999,0.05686,0.04298,0.0109,3.79826,2.15589,2.9433,0.56424,0.31739,0.3149,5.58228,6.83304,1.20554,0.01274,0.04841,17.42086,22.81523
"27","2016_Q4",39.5968253968254,"Up",373121000,-235349000,137772000,-81432000,-62495000,-44429000,-18066000,-9426000,-9511000,56340000,-11280000,-11299000,-11299000,0,19000,45060000,41526000,-15514000,26012000,26012000,26183000,26183000,54163000,54163000,244722000,244722000,359363000,13185000,13185000,671433000,207504000,989576000,261867000,711794000,3111000,3506000,1197080000,1868513000,259350000,145894000,113456000,333579000,1013671000,71136000,62330000,1084807000,1418386000,701000,244151000,415452000,-34031000,413915000,450127000,1868513000,26012000,14900000,20229000,-12863000,48278000,-5541000,1302000,1302000,-6843000,-6843000,-6041000,1598000,-63944000,-21707000,-21707000,-21478000,71240000,1087900000,68350000,0.36924,0.151,0.07017,0.05817,0.01401,2.61047,2.01282,3.15108,0.58223,0.40526,0.40254,5.77511,6.39566,1.05791,0.01627,0.04248,14.51063,18.34819
"28","2017_Q1",39.5135483870968,"Down",420711000,-268269000,152442000,-77076000,-59997000,-40796000,-19201000,-9651000,-7428000,75366000,-12410000,-10854000,-10854000,8000,-1564000,62956000,63376000,-23365000,40011000,40011000,39875000,39875000,67272000,67272000,241857000,241857000,349731000,24649000,24649000,683509000,212793000,965382000,252247000,704640000,2925000,2233000,1178175000,1861684000,295776000,181519000,114257000,341939000,1006758000,78737000,61459000,1085495000,1427434000,702000,246933000,456052000,-40163000,401122000,434250000,1861684000,40011000,13075000,18533000,39990000,111609000,-9609000,11000,11000,-9620000,-9620000,-12651000,-31567000,-85038000,13920000,13920000,13109000,88441000,1052921000,142187000,0.36234,0.17914,0.09478,0.09182,0.02142,3.56582,1.99892,3.28712,0.56557,0.6319,0.62741,6.66697,6.34542,2.25323,0.02546,0.0908,11.14471,13.07817
