"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",38.2583870967742,"Down",46701000,-31368000,-2453000,-15335000,-13580000,15333000,-8524000,-8426000,-98000,6809000,-45000,6764000,6764000,6897000,-126000,6771000,6771000,1027000,1027000,1027000,1225802000,2794000,69449000,69449000,1298045000,1299072000,34066000,34066000,16898000,16898000,664761000,176451000,176451000,841212000,697314000,-242221000,455093000,2767000,457860000,1299072000,6897000,15436000,1033000,8256000,31622000,-21886000,1112000,-20774000,-15318000,-4575000,10701000,10701000,-747000,-9939000,909000,909000,909000,30769000,790248000,0.32832,0.14499,0.01479,0.00521,0.00154,1.83727,0.60832,0.23419,0.23324,1.61528,15.74063,0.52981,0.0177,2.2623,25.64987,51.47205
"12","2013_Q1",41.5183333333333,"Up",46549000,-30197000,-2383000,-14835000,-12979000,16352000,-8316000,-8527000,211000,8036000,-124000,7912000,7912000,12385000,-147000,12238000,12238000,1258000,1258000,1258000,1271785000,2743000,78316000,78316000,1352844000,1354102000,28914000,28914000,20086000,20086000,656766000,206160000,206160000,862926000,731953000,-245641000,486312000,4864000,491176000,1354102000,12385000,15281000,-3715000,-5326000,18625000,-65835000,4336000,-61499000,-16262000,23683000,34685000,34685000,999000,43105000,231000,231000,231000,31633000,813926000,0.35129,0.26291,0.02492,0.00904,0.00192,1.75686,0.60108,0.41481,0.41318,1.57777,16.48348,0.5512,0.02184,1.32881,25.69051,49.69839
"13","2013_Q2",44.786875,"Up",48201000,-32468000,-3364000,-15562000,-13542000,15733000,-8397000,-8621000,224000,7336000,-29000,7307000,7307000,7308000,-154000,7154000,7154000,24000,24000,24000,1280942000,2834000,79855000,79855000,1363631000,1363655000,23939000,23939000,19027000,19027000,644621000,221595000,221595000,866216000,747108000,-254492000,492616000,4823000,497439000,1363655000,7308000,15615000,1272000,-6934000,17261000,-21831000,-1715000,-23546000,-15975000,9329000,13798000,13798000,-2101000,5051000,-1234000,-1234000,-1234000,31348000,823250000,0.3264,0.14842,0.01438,0.00525,4.00000000000003e-05,1.74135,0.60371,0.23999,0.23934,1.61699,16.52575,0.53591,0.01751,2.23302,26.26088,52.3248
"14","2013_Q3",44.3359375,"Down",49095000,-32740000,-2777000,-16301000,-13662000,16355000,-8462000,-8717000,255000,7893000,-138000,7755000,7755000,7790000,-147000,7643000,7643000,10000,10000,10000,1359478000,2760000,90327000,90327000,1452565000,1452575000,35350000,35350000,20067000,20067000,650877000,306933000,306933000,957810000,750765000,-260775000,489990000,4775000,494765000,1452575000,7790000,16328000,993000,10442000,35553000,-97787000,-1060000,-98847000,-15899000,79148000,199000,199000,-168000,63280000,-13999.9999999998,-13999.9999999998,-13999.9999999998,32683000,902393000,0.33313,0.15568,0.01545,0.00526,2e-05,1.93589,0.62124,0.25484,0.25395,1.63699,16.3379,0.53013,0.01685,2.0802,27.61016,55.17475
"15","2013_Q4",45.8559375,"Up",51178000,-34071000,-2589000,-16921000,-14561000,17107000,-8596000,-8845000,249000,8511000,-16000,8495000,8495000,8514000,-151000,8363000,8363000,207000,207000,207000,1373138000,2762000,89540000,89540000,1465440000,1465647000,42333000,42333000,22132000,22132000,620296000,341667000,341667000,961963000,769515000,-270568000,498947000,4737000,503684000,1465647000,8514000,16948000,844000,9479000,35785000,-30393000,-3203000,-33596000,-16378000,-4890000,19613000,19613000,-337000,-1992000,197000,197000,197000,34055000,897498000,0.33426,0.16341,0.0166,0.00571,0.00033,1.90985,0.61236,0.27618,0.2751,1.6901,16.47723,0.54087,0.01766,1.95839,26.34829,52.45169
"16","2014_Q1",46.0544262295082,"Up",53697000,-36120000,-2995000,-17005000,-16120000,17577000,-8788000,-9009000,221000,8789000,-8000.00000000006,8781000,8781000,9613000,-158000,9455000,9455000,8000,8000,8000,1377213000,2764000,93427000,93427000,1473404000,1473412000,37104000,37104000,23858000,23858000,560755000,393952000,393952000,954707000,790538000,-276540000,513998000,4707000,518705000,1473412000,9613000,17028000,220000,-5710000,21151000,-19433000,-689000,-20122000,-16546000,-3748000,19757000,19757000,-691000,-1228000,-199000,-199000,-199000,34605000,893745000,0.32734,0.17608,0.01823,0.00642,1e-05,1.84056,0.60658,0.30932,0.30808,1.7567,16.81545,0.5413,0.01841,1.74997,25.82682,50.84696
"17","2014_Q2",48.7755555555556,"Up",52812000,-35628000,-3448000,-17168000,-15012000,17184000,-8670000,-8986000,316000,8514000,-2221418.7098402,8514000,8514000,8514000,-142000,8372000,8372000,1880000,1880000,1880000,1385563000,2858000,90629000,90629000,1479050000,1480930000,28161000,28161000,25336000,25336000,547753000,404359000,404359000,952112000,810417000,-286259000,524158000,4660000,528818000,1480930000,8514000,17168000,1481000,-9523000,17640000,-25489000,4569000,-20920000,-17322000,4875000,19602000,19602000,-2003000,5152000,1872000,1872000,1872000,34352000,898615000,0.32538,0.15852,0.01583,0.00565,0.00343,1.80045,0.60679,0.27177,0.27106,1.71434,17.0148,0.56229,0.018,2.06904,26.1043,52.1843
"18","2014_Q3",49.26015625,"Up",53819000,-35737000,-2958000,-17154000,-15625000,18082000,-8775000,-8898000,123000,9307000,-65000.0000000019,9242000,9242000,9242000,-124000,9118000,9118000,19000,19000,444000,1448924000,2832000,96408000,96408000,1548164000,1548608000,45017000,45017000,26796000,26796000,560445000,447392000,447392000,1007837000,832064000,-295889000,536175000,4596000,540771000,1548608000,9242000,17154000,1168000,8602000,36166000,-82299000,6446000,-75853000,-16861000,37413000,17431000,17431000,-157000,37826000,-1861000,-1861000,-1861000,35236000,936024000,0.33598,0.16942,0.01686,0.00589,0.00079,1.8637,0.60443,0.29283,0.29183,1.72846,17.21987,0.54151,0.01759,1.8492,26.56388,51.76446
"19","2014_Q4",51.0253125,"Up",55957000,-37051000,-3373000,-17779000,-15899000,18906000,-8462000,-8781000,319000,10444000,7417000,17861000,17861000,17861000,-132000,17729000,17729000,323000,323000,323000,1457390000,2796000,102468000,102468000,1562654000,1562977000,52704000,52704000,26788000,26788000,536003000,464520000,464520000,1000523000,853201000,-295287000,557914000,4540000,562454000,1562977000,17861000,17779000,-6307000,11952000,41285000,-27642000,-1850000,-29492000,-18048000,-14988000,22077000,22077000,-530000,-11489000,304000,304000,304000,36685000,921031000,0.33787,0.31683,0.03152,0.01134,6e-04,1.77885,0.58928,0.56256,0.56026,1.77557,17.70313,0.57268,0.02412,1.01799,25.09767,48.69925
"20","2015_Q1",49.6391803278688,"Down",57241000,-37421000,-2947000,-18213000,-16261000,19820000,-8590000,-8821000,231000,11230000,1626000,12856000,12856000,12856000,-134000,12722000,12722000,11000,11000,11000,1474420000,7884000,93509000,93509000,1575813000,1575824000,39439000,39439000,27593000,27593000,520808000,479401000,479401000,1000209000,874338000,-303209000,571129000,4486000,575615000,1575824000,12856000,18213000,-509999.999999999,-9429000,21130000,-31595000,-1710000,-33305000,-18225000,9303000.00000001,19758000,19758000,1027000,11863000,-312000,-312000,-312000,38033000,933177000,0.34626,0.22225,0.0221,0.00807,2e-05,1.73764,0.59218,0.39873,0.39714,1.79405,17.90036,0.57121,0.02051,1.43256,24.53569,47.08204
"21","2015_Q2",46.2584126984127,"Down",57592000,-39093000,-4538000,-18142000,-16413000,18499000,-8438000,-8805000,367000,10061000,0,10061000,10061000,10061000,-131000,9930000,9930000,173000,173000,2156000,1479028000,7913000,92182000,92182000,1579123000,1581279000,26275000,26275000,30191000,30191000,447112000,569360000,569360000,1016472000,874755000,-314384000,560371000,4436000,564807000,1581279000,10061000,18142000,1880000,-8987000,21096000,-20826000,-5620000,-26446000,-18984000,26840000,52000,52000,-2396000,5512000,162000,162000,162000,36641000,960006000,0.32121,0.17242,0.01758,0.00628,0.00482,1.79968,0.60711,0.31,0.30926,1.79795,17.4941,0.59266,0.01896,1.91178,26.1956,51.88567
"22","2015_Q3",45.4415625,"Down",57844000,-37843000,-3812000,-17984000,-16047000,20001000,-8241000,-8483000,242000,11760000,2903000,14663000,14663000,14663000,-130000,14533000,14533000,13000,13000,13000,1503768000,8090000,91612000,91612000,1603470000,1603483000,35166000,35166000,27853000,27853000,448733000,588328000,588328000,1037061000,877184000,-315162000,562022000,4400000,566422000,1603483000,14663000,17984000,-1525000,6813000,37935000,-38993000,4946000,-34047000,-18270000,14045000,1.86264514923096e-09,1.86264514923096e-09,177000,-4048000,-160000,-160000,-160000,37985000,974042000,0.34577,0.25124,0.02566,0.00906,3e-05,1.8309,0.60745,0.45352,0.45219,1.80509,17.53852,0.57014,0.02129,1.25714,25.64246,48.69902
"23","2015_Q4",45.941875,"Up",58553000,-38206000,-3179000,-18232000,-16795000,20347000,-8250000,-8492000,242000,12097000,0,12097000,12097000,12097000,-129000,11968000,11968000,342000,342000,342000,1523010000,7947000,88609000,88609000,1619566000,1619908000,47872000,47872000,31310000,31310000,459897000,598146000,598146000,1058043000,885288000,-327786000,557502000,4363000,561865000,1619908000,12097000,18232000,1717000,11483000,43529000,-33702000,-257000,-33959000,-19295000,4829000,6181000,6181000,-956000,-9241000,329000,329000,329000,38579000,978861000,0.3475,0.2044,0.0213,0.00739,0.00074,1.88309,0.60427,0.37253,0.37112,1.8226,17.35361,0.6006,0.02029,1.61222,25.36403,48.09156
"24","2016_Q1",44.7501639344262,"Down",61019000,-40641000,-3562000,-18932000,-18147000,20378000,-8636000,-8886000,250000,11742000,-164000,11578000,11578000,11578000,-143000,11435000,11435000,48000,48000,48000,1561994000,8004000,91858000,91858000,1661856000,1661904000,44181000,44181000,30613000,30613000,425079000,677624000,677624000,1102703000,887210000,-332348000,554862000,4339000,559201000,1661904000,11578000,18932000,1478000,-4499000,27489000,-58147000,-3819000,-61966000,-19296000,53384000,9.31322574615479e-10,9.31322574615479e-10,94999.9999999998,34183000,-294000,-294000,-294000,39310000,1027909000,0.33396,0.1874,0.02045,0.00688,0.00011,1.97193,0.61851,0.35555,0.35416,1.8973,17.25264,0.59998,0.01936,1.68745,26.14757,50.43974
"25","2016_Q2",52.76578125,"Up",61589000,-42294000,-5312000,-19162000,-17820000,19295000,-8797000,-9065000,268000,10498000,11332000,21830000,21830000,21830000,-119000,21711000,21711000,12000,12000,733000,1560972000,8023000,89554000,89554000,1658549000,1659282000,26653000,26653000,36741000,36741000,408838000,694161000,694161000,1102999000,887638000,-335643000,551995000,4288000,556283000,1659282000,21830000,19162000,-8576000,-13763000,18653000,-22652000,15888000,-6764000,-20413000,11681000,0,0,-3193000,-11925000,-36000,-36000,-36000,38457000,1039605000,0.31329,0.35251,0.03903,0.01308,0.00179,1.9828,0.62654,0.67313,0.67202,1.9095,17.114,0.63288,0.0264,0.94021,27.03261,53.87888
"26","2016_Q3",60.679375,"Up",61917000,-40014000,-3023000,-19233000,-17758000,21903000,-8791000,-9172000,381000,13112000,30981000,44093000,44093000,44093000,-180000,43913000,43913000,10000,10000,3242000,1545699000,7807000,98100000,98100000,1651606000,1654848000,41559000,41559000,37303000,37303000,419592000,627767000,627767000,1047359000,918046000,-314855000,603191000,4298000,607489000,1654848000,44093000,19233000,-30371000,12812000,45767000,-26065000,46651000,20586000,-19706000,-70576000,24693000,24693000,-766000,-66355000,-1999.99999999994,-1999.99999999994,-1999.99999999994,41136000,968497000,0.35375,0.70922,0.07229,0.02654,0.00773,1.72408,0.58525,1.35634,1.35367,1.91244,18.63081,0.60866,0.04037,0.44875,23.54354,44.21709
"27","2016_Q4",58.6449206349206,"Down",63190000,-40241000,-2328000,-19361000,-18552000,22949000,-7988000,-8841000,853000,14961000,-161000,14800000,14800000,14800000,-139000,14661000,14661000,33000,33000,33000,1616552000,7707000,94151000,94151000,1718410000,1718443000,56045000,56045000,37972000,37972000,354927000,758486000,758486000,1113413000,918810000,-318007000,600803000,4227000,605030000,1718443000,14800000,19361000,138000,8233000,42532000,-88610000,10731000,-77879000,-20299000,50345000,4950000,4950000,374000,35370000,23000,23000,23000,42310000,1019396000,0.36317,0.23201,0.02423,0.00853,9.00000000000007e-05,1.84026,0.59321,0.44779,0.44667,1.93,18.35017,0.61999,0.02152,1.38456,24.09272,44.41862
"28","2017_Q1",62.1582258064516,"Up",66351000,-42965000,-2569000,-20179000,-20217000,23386000,-7872000,-8135000,263000,15514000,-143000,15371000,15371000,15371000,-147000,15224000,15224000,522000,522000,522000,1712731000,7681000,104830000,104830000,1825242000,1825764000,52701000,52701000,29864000,29864000,340070000,843828000,843828000,1183898000,949321000,-311660000,637661000,4205000,641866000,1825764000,15371000,20179000,791000,-4429000,31912000,-117915000,-4500000,-122415000,-20481000,81961000,29640000,29640000,-128000,90992000,489000,489000,489000,43565000,1101333000,0.35246,0.22945,0.02372,0.00834,0.00153,1.84446,0.60322,0.463,0.46215,2.01791,19.39299,0.62288,0.02048,1.34531,25.26824,47.07137
"29","2017_Q2",69.3574603174603,"Up",66154000,-44710000,-5478000,-20225000,-19007000,21444000,-8471000,-8686000,215000,12973000,0,12973000,12973000,12973000,-154000,12819000,12819000,44000,44000,44000,1741172000,7724000,107490000,107490000,1856386000,1856430000,43730000,43730000,31478000,31478000,329194000,852255000,852255000,1181449000,989012000,-318370000,670642000,4339000,674981000,1856430000,12973000,20225000,2661000,-12046000,23813000,-47039000,2672000,-44367000,-21515000,4690000,39456000,39456000,-2555000,20076000,-478000,-478000,-478000,41669000,1106241000,0.32415,0.19378,0.01899,0.00691,0.00013,1.75034,0.5959,0.38425,0.3837,1.98297,20.10257,0.64491,0.01928,1.67837,26.54724,51.58539
"30","2017_Q3",74.9303174603175,"Up",67894000,-44012000,-2903000,-20865000,-20244000,23882000,-8760000,-9015000,255000,15122000,21855000,36977000,36977000,36977000,-87000,36890000,36890000,78000,78000,78000,1754774000,7643000,108220000,108220000,1870637000,1870715000,48900000,48900000,30211000,30211000,329597000,820272000,820272000,1149869000,1020309000,-303795000,716514000,4332000,720846000,1870715000,36977000,20865000,-20735000,6275000,43382000,-48573000,32580000,-15993000,-21175000,-35770000,29649000,29649000,-59000,-27355000,33999.9999999999,33999.9999999999,33999.9999999999,44747000,1070758000,0.35175,0.54335,0.05118,0.01972,0.00024,1.59517,0.57238,1.08542,1.08373,1.99765,21.082,0.62303,0.03241,0.574,23.92741,44.83209
"31","2017_Q4",79.4336507936508,"Up",68746000,-44325000,-3205000,-21011000,-20109000,24421000,-8449000,-8704000,255000,15972000,0,15972000,15972000,15972000,-88000,15884000,15884000,10000,10000,9999.99999999997,1777648000,7836000,108499000,108499000,1893983000,1893993000,66830000,66830000,28990000,28990000,297998000,869821000,869821000,1167819000,1031595000,-309747000,721848000,4326000,726174000,1893993000,15972000,21011000,1290000,17238000,55511000,-40372000,-4025000,-44397000,-21933000,956000,9851000,9851000,-56000,-11182000,-68000,-68000,-68000,45432000,1071999000,0.35524,0.23105,0.02187,0.00839,2.99999999999999e-05,1.60818,0.566,0.46424,0.46323,2.00924,21.09741,0.64103,0.02103,1.38082,23.59546,43.8962
"32","2018_Q1",73.18,"Down",71356000,-45907000,-3386000,-21773000,-20748000,25449000,-7782000,-8370000,588000,17667000,-3.72529029846191e-09,17667000,17667000,17667000,-77000,17590000,17590000,16000,16000,16000,1829147000,8029000,116029000,116029000,1953205000,1953221000,64967000,64967000,28842000,28842000,293321000,908770000,908770000,1202091000,1061156000,-311684000,749472000,1658000,751130000,1953221000,17667000,21773000,1036000,-8168000,32308000,-71534000,-3134999.99999999,-74669000,-22102000,36234000,30251000,30251000,-2016000,42367000,5999.99999999997,5999.99999999997,5999.99999999997,47222000,1108282000,0.35665,0.24651,0.02342,0.00901,5e-05,1.60038,0.56741,0.51103,0.51061,2.07304,21.77368,0.64211,0.02135,1.25651,23.46927,43.54851
"33","2018_Q2",79.73828125,"Up",72203000,-45824000,-3463000,-21685000,-20676000,26379000,-7853000,-8607000,754000,18526000,10222000,28748000,28748000,28748000,-35000,28713000,28713000,37000,37000,37000,1841650000,7865000,113233000,113233000,1962748000,1962785000,46830000,46830000,29787000,29787000,273426000,914683000,914683000,1188109000,1074801000,-301753000,773048000,1628000,774676000,1962785000,28748000,21685000,-8648000,-20071000,21714000,-36370000,25153000,-11217000,-22736000,2986000,14466000,14466000,-5192000,-10476000,21000,21000,21000,48064000,1111492000,0.36534,0.39767,0.03706,0.01463,0.00014,1.53369,0.56628,0.82773,0.82661,2.08144,22.2851,0.65542,0.02728,0.79184,23.12448,42.13408
"34","2018_Q3",85.7315873015873,"Up",74885000,-48001000,-3740000,-22808000,-21453000,26884000,-8620000,-8842000,222000,18264000,0,18264000,18264000,18264000,-37000,18227000,18227000,252000,252000,252000,1890304000,7852000,123318000,123318000,2021474000,2021726000,56350000,56350000,30477000,30477000,280896000,900129000,900129000,1181025000,1144294000,-305215000,839079000,1622000,840701000,2021726000,18264000,22808000,841000.000000002,10107000,52020000,-68439000,-3369000,-71808000,-22713000,-15873000,60323000,60323000,-1734000,20003000,215000,215000,215000,49692000,1094198000,0.359,0.2434,0.02168,0.00902,9e-04,1.40481,0.54122,0.51787,0.51695,2.12766,23.84018,0.64533,0.02116,1.24612,22.01453,40.69134
"35","2018_Q4",86.6257142857143,"Up",75326000,-47748000,-3060000,-22970000,-21718000,27578000,-8588000,-8804000,216000,18990000,4051000,23041000,23041000,23041000,-31000,23010000,23010000,257000,257000,257000,1960370000,7686000,120852000,120852000,2088908000,2089165000,105869000,105869000,29512000,29512000,326673000,892561000,892561000,1219234000,1176038000,-307717000,868321000,1610000,869931000,2089165000,23041000,22970000,-2339000,24589000,68261000,-93393000,-1724000,-95117000,0,-10671000,37536000,37536000,-4000,26861000,5000,5000,5000,50548000,1083853000,0.36612,0.30547,0.02645,0.01101,0.00079,1.40153,0.5188,0.64425,0.64277,2.10903,24.31182,0,0.01178,0,21.43697,39.29204
