"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2020_Q1",6.98935483870968,"Up",42000,-16641000,-4211000,-12430000,-16599000,353000,353000,441000,-16246000,-16246000,-16246000,-16246000,-16246000,-16246000,99790000,62351000,1536000,1536000,101326000,2164000,4051000,4051000,6215000,107541000,16282000,7296000,8986000,7121000,4815000,2306000,24070000,952000,952000,5153000,29223000,270667000,-192374000,78318000,78318000,107541000,-16246000,282000,1165000,2223000,-12576000,0,0,0,16500000,260000,54000,231000,4155000,4155000,4155000,-16317000,4868000,-395.21429,-386.80952,-0.20744,-0.15107,4.20964,0.37313,0.04527,-0.33892,-0.33892,0.00088,1.63386,-0.19309,5.81737,5.71854
"12","2020_Q2",13.6590476190476,"Up",10999.9999999995,-17155000,-4936000,-12219000,-17144000,218000,218000,306000,-16926000,-16926000,-16926000,-16926000,-16926000,-16926000,78426000,60450000,1866000,1866000,80292000,1979000,13587000,13587000,15566000,95858000,10281000,4603000,5678000,6042000,4804000,1238000,17490000,11545000,11545000,15277000,32767000,272395000,-209300000,63091000,63091000,95858000,-16926000,248000,1580000,-6148000,-21246000,-65000,-65000,-65000,19435000,118999.999999993,118999.999999993,-90000,-1901000,-1901000,-1901000,-16896000,4899000,-1558.54545,-1538.72727,-0.26828,-0.17657,4.59074,0.51936,0.05111,-0.35271,-0.35271,0.000230000000000002,1.31471,-0.21281,4.35174,4.28879
"13","2020_Q3",20.2109375,"Up",796000,-20583000,-5170000,-15413000,-19787000,1000,1000,88000,-19786000,-19786000,-19786000,-19786000,-19786000,-19786000,291378000,288376000,3526000,3526000,294904000,1768000,13845000,13845000,15613000,310517000,15531000,7159000,8372000,5225000,4008000,1217000,22423000,11267000,11267000,14530000,36953000,502648000,-229086000,273564000,273564000,310517000,-19786000,246000,1673000,1932000,-15935000,-25000,-25000,-25000,14975000,165786000,165453000,228886000,227926000,227926000,227926000,-19541000,4930000,-24.85804,-24.85678,-0.07233,-0.06372,13.15185,0.13508,0.01588,-0.3257,-0.3257,0.0131,4.50324,-0.06828,14.65882,14.47658
"14","2020_Q4",22.24328125,"Up",10000.0000000001,-22429000,-5882000,-16547000,-22419000,-72000,-72000,20000,-22491000,-22491000,-22491000,-22491000,-22491000,-22491000,270936000,270936000,3998000,3998000,274934000,1698000,13496000,13496000,15194000,290128000,15701000,4528000,11173000,5369000,3998000,1371000,21070000,10806000,10806000,15750000,36820000,504883000,-251575000,253308000,253308000,290128000,-22491000,256000,1954000,84999.9999999991,-20196000,-195000,-195000,-195000,2805000,150000.00000003,150000,-49000,-17440000,-17440000,-17440000,-22163000,4944000,-2241.9,-2249.1,-0.08879,-0.07752,13.0486,0.14536,0.01704,-0.32823,-0.32823,0.000150000000000001,3.69675,-0.08359,12.00162,11.86458
"15","2021_Q1",19.4022950819672,"Down",11000,-28771000,-5914000,-22857000,-28760000,-82000,-82000,10000,-28842000,-28842000,-28842000,-28842000,-28842000,-28842000,255094000,255094000,3486000,3486000,258580000,1730000,13089000,13089000,14819000,273399000,24486000,8340000,16146000,5517000,3987000,1530000,30003000,10332000,10332000,15309000,45312000,508506000,-280419000,228087000,228087000,273399000,-28842000,260000,2027000,9236000,-17319000,-188000,-188000,-188000,-188000,1634000,1406000,1665000,-15842000,-15842000,-15842000,-28500000,4977000,-2614.54545,-2622,-0.12645,-0.10549,8.61847,0.19866,0.0182,-0.41993,-0.41993,0.00016,3.3209,-0.1185,8.77604,8.6967
"16","2021_Q2",15.1428571428571,"Down",11000,-34623000,-7208000,-27415000,-34612000,-81000,-81000,12000,-34693000,-34693000,-34693000,-34693000,-34693000,-34693000,228430000,228430000,3522000,3522000,231952000,1918000,14041000,14041000,15959000,247911000,29239000,11743000,17496000,5680000,3976000,1704000,34919000,10044000,10044000,15054000,49973000,513050000,-315112000,197938000,197938000,247911000,-34693000,226000,4077000,3368000,-27022000,-114000,-114000,-114000,-114000,764000,764000,471999.999999993,-26664000,-26664000,-26664000,-34386000,5010000,-3146.54545,-3153.90909,-0.17527,-0.13994,6.64257,0.25247,0.02021,-0.50289,-0.50289,0.00016,2.86917,-0.16288,6.49741,6.45499
"17","2021_Q3",11.685625,"Down",10000,-40837000,-8882000,-31955000,-40827000,-86000,-86000,9000,-40913000,-40913000,-40913000,-40913000,-40913000,-40913000,227388000,227388000,6043000,6043000,233431000,1901000,18353000,18353000,20254000,253685000,34030000,10647000,23383000,6268000,3966000,2302000,40471000,12831000,12831000,17701000,58172000,551538000,-356025000,195513000,195513000,253685000,-40913000,206000,4621000,1618000,-34468000,-333000,-333000,-333000,-333000,619000,202000,33916000,-885000,-885000,-885000,-40621000,5043000,-4082.7,-4091.3,-0.20926,-0.16127,5.76786,0.29754,0.01988,-0.59305,-0.59305,0.00014,2.83402,-0.19173,5.47365,5.44603
"18","2021_Q4",7.781875,"Down",11000,-45399000,-10124000,-35275000,-45388000,-83000,-83000,15000,-45471000,-45471000,-45471000,-45471000,-45471000,-45471000,191707000,191707000,7649000,7649000,199356000,2131000,16099000,16099000,18230000,217586000,37583000,5868000,31715000,6439000,3955000,2484000,44022000,12938000,12938000,18015000,62037000,557045000,-401496000,155549000,155549000,217586000,-45471000,212000,4970000,4191000,-36098000,-46000.0000000001,-387332.549756354,-387332.549756354,-46000,579000,579000,463000,-35681000,-35681000,-35681000,-45176000,5077000,-4126.18182,-4133.72727,-0.29233,-0.20898,4.52855,0.39883,0.02333,-0.63372,-0.63372,0.00015,2.16784,-0.26198,4.13118,4.11188
"19","2022_Q1",4.67258064516129,"Down",11000,-48042000,-10674000,-37368000,-48031000,-952000,-952000,29000,-48983000,-48983000,-48983000,-48983000,-48983000,-48983000,177947000,177947000,10951000,10951000,188898000,1968000,15245000,15245000,17213000,206111000,41037000,12321000,28716000,6486000,3944000,2542000,47523000,12221000,12221000,36847000,84370000,572220000,-450479000,121741000,121741000,206111000,-48983000,211000,5464000,908000,-42400000,-155000,-310875.258935861,-310875.258935861,-155000,515000,292000,28795000,-13760000,-13760000,-13760000,-47820000,24626000,-4366.45455,-4453,-0.40235,-0.23765,3.97488,0.69303,0.11948,-0.68266,-0.68266,0.00015,1.69667,-0.30887,3.20621,3.19213
"20","2022_Q2",3.76209677419355,"Down",2036000,-48588000,-12782000,-35806000,-46552000,-706000,-706000,18000,-47258000,-47258000,-47258000,-47258000,-47258000,-47258000,230057000,230057000,11413000,11413000,241470000,2549000,14248000,14248000,16797000,258267000,37250000,9775000,27475000,19213000,16578000,2635000,56463000,36576000,10956000,61278000,117741000,638263000,-497737000,140526000,140526000,258267000,-47258000,205000,5679000,33419000,-7955000,-329000,-329000,-329000,-328999.999999998,96000,96000,60394000,52110000,52110000,52110000,-46347000,24702000,-22.8644400000012,-23.2111999999997,-0.33629,-0.18298,4.27661,0.83786,0.09565,-0.65708,-0.65708,0.02831,1.95389,-0.23418,4.43082,4.4113
"21","2022_Q3",6.500625,"Up",4284000,-56034000,-14803000,-41231000,-51750000,-469000,-469000,291000,-52219000,-52219000,-52219000,-52219000,-52219000,-52219000,225128000,135338000,11951000,11951000,237079000,2854000,12418000,12418000,15272000,252351000,42414000,8158000,34256000,29056000,26230000,2826000,71470000,22070000,10386000,46847000,118317000,684116000,-549956000,134034000,134034000,252351000,-52219000,227000,5431000,1785000,-44776000,-657000,-657000,-657000,-90470000,606000,0,40527000,-94719000,-94719000,-94719000,-51523000,24777000,-12.07983,-12.18931,-0.3896,-0.20693,3.31718,0.88274,0.09818,-0.65332,-0.65332,0.0536,1.67692,-0.28869,3.88857,3.87152
