"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",7.92015625,"Up",101239000,-65921000,35318000,-7813000,-5621000,-2192000,27505000,-11248000,-11310000,16257000,763000,17020000,-7127000,9893000,9893000,9893000,9893000,6339000,6339000,72104000,72104000,7935000,5442000,86378000,46086000,777114000,39103000,738011000,823200000,909578000,17425000,250000,17175000,12653000,12653000,48105000,527533000,58443000,33949000,24494000,585976000,634081000,603369000,-327872000,275497000,275497000,909578000,9893000,2192000,8535000,-15167000,5453000,-1399000,-1399000,-3729000,-480000,76000,0,-4209000,-155000,-155000,-155000,29697000,545560000,20258000,0.34886,0.27168,0.09772,0.03591,0.01088,2.04771,1.79561,2.30159,0.59979,0.26492,0.25964,2.71098,7.37728,0.54247,0.01125,0.02303,18.15742,19.60447
"12","2013_Q4",8.06671875,"Up",98436000,-67104000,31332000,-8080000,-6039000,-2041000,23252000,-11038000,-11038000,12214000,34000,12248000,-5373000,6875000,6875000,6875000,6875000,6569000,6569000,71523000,71523000,7998000,5497000,86090000,45239000,775829000,39103000,736726000,821068000,907158000,15373000,428000,14945000,18765000,18765000,34169000,525591000,64132000,39306000,24826000,589723000,623892000,604263000,-320997000,283266000,283266000,907158000,6875000,2041000,7471000,4869000,21256000,-1030000,-1030000,-20008000,12000.0000000001,13000,0,-19996000,230000,230000,230000,25293000,525622000,34505000,0.3183,0.23621,0.06984,0.02427,0.00758,5.01890999999998,2.51954,2.2025,0.57942,0.18389,0.1802,2.63296,7.57679,0.92294,0.00787,0.03952,20.52161,22.32294
"13","2014_Q1",8.5927868852459,"Up",99583000,-61556000,38027000,-8482000,-6494000,-1988000,29545000,-10338000,-10410000,19207000,-304000,18903000,-9396000,9507000,9507000,9507000,9507000,12231000,12231000,71818000,71818000,7217000,4326000,91266000,44439000,776983000,38850000,738133000,821422000,912688000,13929000,2e+05,13729000,12723000,12723000,29652000,514124000,70519000,44272000,26247000,584643000,614295000,605106000,-306713000,298393000,298393000,912688000,9507000,1988000,12065000,-6689000,16871000,-1222000,-1222000,-8500000,-447000,26000,-1040000,-9987000,5662000,5662000,5662000,31533000,517124000,33018000,0.38186,0.29669,0.09547,0.03186,0.01042,3.47302,3.0779,2.05868,0.56659,0.25149,0.2388,2.63425,7.89332,0.87342,0.01073,0.03726,16.01158,17.08895
"14","2014_Q2",8.91650793650794,"Up",78235000,-57961000,20274000,-8390000,-6416000,-1974000,11884000,-9848000,-9903000,2036000,40000,2076000,-713000.000000002,1363000,1363000,1363000,1363000,5930000,5930000,60767000,60767000,9643000,6772000,76340000,43882000,775595000,38850000,736745000,819477000,895817000,13614000,302000,13312000,18448000,18448000,42786000,481973000,70958000,44964000,25994000,552931000,595717000,605450000,-305350000,300100000,300100000,895817000,1363000,1974000,3532000,14172000,21041000,-1978000,-1978000,-24500000,-864000,26000,0,-25364000,-6301000,-6301000,-6301000,13858000,492697000,26765000,0.25914,0.1519,0.01742,0.00454,0.00152,19.63683,1.78423,1.98506,0.55,0.03619,0.0353999999999999,2.0774,7.96867,0.7107,0.00158,0.03099,35.12534,40.95986
"15","2014_Q3",8.2840625,"Down",100201000,-68221000,31980000,-8226000,-6359000,-1867000,23754000,-9867000,-9812000,13887000,162000,14049000,-5912000,8137000,8137000,8137000,8137000,7099000,7099000,71934000,71934000,8455000,5579000,87488000,44968000,776139000,38850000,737289000,821107000,908595000,18230000,208000,18022000,13995000,13995000,38111000,483886000,77091000,50858000,26233000,560977000,599088000,606720000,-297213000,309507000,309507000,908595000,8137000,1867000,8666000,-11115000,7555000,-3370000,-3370000,-3e+06,-16000,2000,0,-3016000,1169000,1169000,1169000,25621000,489772000,17048000,0.31916,0.23706,0.08121,0.02629,0.00896,2.09512,2.29561,1.93562,0.53904,0.21591,0.21165,2.65877,8.21257,0.45236,0.00928,0.01945,18.83896,20.31965
"16","2014_Q4",8.64625,"Up",99840000,-69490000,30350000,-9275000,-7319000,-1956000,21075000,-9752000,-9752000,11323000,130000,11453000,-4980000,6473000,6473000,6473000,6473000,16045000,16045000,74363000,74363000,8039000,5155000,98447000,45566000,774875000,38850000,736025000,820441000,918888000,17479000,180000,17299000,20369000,20369000,40098000,479600000,81946000,55831000,26115000,561546000,601644000,607984000,-290740000,317244000,317244000,918888000,6473000,1956000,7764000,3366000.00000001,19559000,-2620000,-2620000,-8e+06,7000.00000000012,14000,0,-7993000,8946000,8946000,8946000,23031000,481850000,28757000,0.30399,0.21109,0.06483,0.0204,0.00704,4.44261,2.45516,1.89647,0.52438,0.17173,0.16821,2.64877,8.41652,0.76293,0.00735,0.03264,20.22513,22.10225
"17","2015_Q1",10.1918032786885,"Up",101513000,-63512000,38001000,-8475000,-6478000,-1997000,29526000,-9354000,-9354000,20172000,-1016000,19156000,-8306000,10850000,10850000,10850000,10850000,31540000,31540000,70249000,70249000,8215000,5937000,110004000,44662000,771949000,38850000,733099000,816611000,926615000,14262000,324000,13938000,13499000,13499000,30761000,476929000,89904000,63470000,26434000,566833000,597594000,608906000,-279885000,329021000,329021000,926615000,10850000,1997000,10688000,-6394000,17141000,913000,913000,-2e+06,-559000,40000,0,-2559000,15495000,15495000,15495000,31523000,479929000,34348000,0.37435,0.29086,0.10688,0.03298,0.01171,3.16571,3.57609,1.81628,0.51794,0.28543,0.27659,2.67045,8.65539,0.90358,0.01207,0.03821,14.22419,15.18624
"18","2015_Q2",10.2646031746032,"Up",78420000,-59367000,19053000,-8234000,-6279000,-1955000,10819000,-9279000,-9279000,1540000,-1566000,-25999.9999999963,-67000.0000000009,-93000,-93000.0000000019,-93000.0000000019,-93000,46580000,46580000,58779000,58779000,9701000,7423000,115060000,44955000,770876000,38850000,732026000,815831000,930891000,14427000,214000,14213000,18823000,18823000,64510000,448001000,89648000,63531000,26117000,537649000,602159000,608710000,-279978000,328732000,328732000,930891000,-93000.0000000019,1955000,2248000,15228000,19338000,-2241000,-2241000,-750000,-1307000,31000,0,-2057000,15040000,15040000,15040000,12774000,479261000,25828000,0.24296,0.13796,-0.00119,-0.00028,-1e-04,-277.72043,1.7836,1.83176,0.51484,-0.00245000000000001,-0.00244999999999995,2.06227,8.64493,0.67922,-1e-04,0.02877,33.87201,39.9927
"19","2015_Q3",9.03328125,"Down",100592000,-7e+07,30592000,-8356000,-6451000,-1905000,22236000,-9313000,-9313000,12923000,-1621000,11302000,-4555000,6747000,6747000,6747000,6747000,43663000,43663000,73767000,73767000,9223000,6930000,126653000,45896000,769593000,38850000,730743000,815489000,942142000,16926000,98000,16828000,15749000,15749000,62510000,448759000,94145000,68093000,26052000,542904000,605414000,609959000,-273231000,336728000,336728000,942142000,6747000,1905000,6863000,-14941000,574000,-2559000,-2559000,-750000,-182000,0,0,-932000,-2917000,-2917000,-2917000,24141000,478594000,11196000,0.30412,0.22105,0.06707,0.02004,0.00716,1.6594,2.02612,1.79793,0.50798,0.17721,0.17332,2.64201,8.84404,0.29406,0.00742,0.01231,18.01628,19.55977
"20","2015_Q4",9.55890625,"Up",114662000,-81241000,33421000,-9179000,-6960000,-2219000,24242000,-9731000,-9731000,14511000,-1083000,13428000,-4986000,8442000,8442000,8442000,8103000,9211000,9211000,88673000,88673000,9136000,6843000,107020000,59970000,860042000,33727000,815360000,920012000,1027032000,22646000,202000,22444000,26327000,26327000,69888000,484016000,126745000,73061000,53684000,610761000,680649000,611172000,-264789000,346383000,346383000,1027032000,8442000,2219000,7692000,4508000,22861000,-1681000,-83333000,26250000,-3000,4000,-227000,26020000,-34452000,-34452000,-34452000,26461000,504931000,34274000,0.29147,0.21142,0.07067,0.02339,0.00789,4.22979000000003,1.53131,1.96502,0.49164,0.21281,0.20823,3.0114,9.09715,0.90015,0.00828,0.03504,18.73399,20.44881
"21","2016_Q1",9.06918032786885,"Down",120807000,-80206000,40601000,-9129000,-6789000,-2340000,31472000,-9638000,-9638000,21834000,1083000,22917000,-8829000,14088000,14088000,14088000,13675000,9169000,9169000,87157000,87157000,9739000,6220000,106065000,57993000,851587000,32629000,818958000,909580000,1015645000,16845000,73000,16772000,19924000,19924000,68601000,448724000,136870000,81643000,55227000,585594000,654195000,612151000,-250701000,361450000,361450000,1015645000,14088000,2340000,10465000,-4876000,22017000,-1701000,-3611000,-1.8e+07,-35000,0,0,-18448000,-42000,-42000,-42000,33812000,480556000,36064000,0.33608,0.26051,0.1132,0.03783,0.01346,2.63722,1.54611,1.80992,0.47315,0.35836,0.33948,3.16582,9.47201,0.94508,0.01439,0.03684,13.94141,14.97798
"22","2016_Q2",10.33390625,"Up",96103000,-71715000,24388000,-10045000,-7598000,-2447000,14343000,-9392000,-9392000,4951000,402000,5353000,-940999.999999999,4412000,4412000,4412000,3999000,14634000,14634000,74507000,74507000,12341000,8683000,101482000,57104000,847635000,32629000,815006000,904739000,1006221000,16903000,303000,16600000,24113000,24113000,73226000,430816000,137388000,82449000,54939000,568204000,641430000,611080000,-246289000,364791000,364791000,1006221000,4412000,2447000,3274000,13521000,23654000,2688000,2688000.00000001,-18234000,-2139000,3000,-91000,-20877000,5465000,5465000,5465000,16790000,463026000,33940000,0.25377,0.14925,0.04161,0.01096,0.00397,8.48712,1.38587,1.75835,0.46016,0.10401,0.10186,2.49956,9.48791,0.88275,0.00457,0.03516,26.7059,31.26208
"23","2016_Q3",11.81171875,"Up",122477000,-84638000,37839000,-11010000,-8493000,-2517000,26829000,-9147000,-9147000,17682000,755000,18437000,-7603000,10834000,10834000,10834000,10422000,11071000,11071000,91312000,91312000,11978000,8408000,114361000,55875000,844585000,32629000,811956000,900460000,1014821000,15932000,105000,15827000,19945000,19945000,65027000,431119000,144997000,89883000,55114000,576116000,641143000,609133000,-235455000,373678000,373678000,1014821000,10834000,2517000,9634000,-22041000,944000,2237000,2237000,-3422000,-24000,27000,0,-6744000,-3563000,-3563000,-3563000,29346000,460269000,17145000,0.30895,0.21905,0.08509,0.02789,0.01027,1.64508,1.75867,1.71576,0.45355,0.27092,0.25339,3.18378,9.71374,0.44568,0.01402,0.01751,15.30696,16.743
"24","2016_Q4",12.4742857142857,"Up",121641000,-84089000,37552000,-11285000,-8797000,-2488000,26267000,-6715000,-9014000,19552000,-579000,18973000,-7553000,11420000,11420000,11420000,10894000,9908000,9908000,91417000,91417000,11689000,8225000,113014000,55380000,848497000,32718000,815779000,903877000,1016891000,16304000,55000,16249000,25935000,25935000,48879000,432271000,152394000,97583000,54811000,584665000,633544000,607382000,-224035000,383347000,383347000,1016891000,11420000,2488000,10170000,2309000.00000001,26387000,-2346000,-2438000,-22004000,191000,203000,-4.65661287307739e-10,-25112000,-1163000,-1163000,-1163000,28755000,438911000,36271000,0.30871,0.21594,0.08956,0.02842,0.01071,3.32945,2.31212,1.65266,0.43162,0.28307,0.26293,3.16074,9.96095,0.94247,0.01456,0.03721,14.91925,16.33239
"25","2017_Q1",12.858064516129,"Up",124550000,-82828000,41722000,-10781000,-8440000,-2341000,30941000,-9086000,-9086000,21855000,-11759000,10096000,1303000,11399000,11399000,11399000,10849000,46843000,46843000,92172000,92172000,7670000,7670000,146685000,63375000,865918000,32718000,833200000,929548000,1076233000,17362000,481000,16881000,45538000,45538000,67717000,467651000,147491000,92898000,54593000,615142000,682859000,606010000,-212636000,393374000,393374000,1076233000,11399000,2341000,12032000,-4727000,21045000,-2294000,-1992000,34996000,348000,411000,-14018000,17882000,36935000,36935000,36935000,33282000,472468000,24958000,0.33498,0.24842,0.08711,0.02758,0.01008,2.30049,2.16615,1.7359,0.439,0.28106,0.29765,3.22669,10.19104,0.64658,0.0141,0.02463,12.78844,13.75602
"26","2017_Q2",9.83507936507936,"Down",99001000,-77166000,21835000,-13212000,-10565000,-2647000,8623000,-5977000,-5977000,2646000,-23639000,-20993000,11662000,-9331000,-9331000,-9331000,-9881000,4702000,4702000,76350000,76350000,10557000,10557000,91609000,64002000,853669000,32761000,820908000,917671000,1009280000,18310000,152000,18158000,16694000,16694000,50944000,442055000,131403000,75937000,55466000,573458000,624402000,602267000,-217389000,384878000,384878000,1009280000,-9331000,2647000,4180000,8164000,5660000,-2680000,-26982000,-15005000,-2250000,186000,-98000,-20819000,-42141000,-42141000,-42141000,11270000,457995000,5092000,0.22055,0.0871,-0.09981,-0.02567,-0.00979,-0.51533,1.79823,1.62234,0.45378,-0.25394,-0.25394,2.54434,9.89141,0.13087,-0.00658,0.00523,40.22121,52.5679
"27","2017_Q3",9.10746031746032,"Down",124970000,-91004000,33966000,-11393000,-8876000,-2517000,22573000,-6133000,-6133000,16440000,-6194000,10246000,-3832000,6414000,6414000,6414000,5864000,8592000,8592000,90337000,90337000,8537000,8537000,107466000,65300000,856190000,32320000,823870000,921490000,1028956000,24637000,214000,24423000,18797000,18797000,57052000,447396000,135358000,79758000,55600000,582754000,639806000,600125000,-210975000,389150000,389150000,1028956000,6414000,2517000,6920000,-6586000,9265000,-4346000,-4346000,2497000,-49000,18000,-6000,-1029000,3890000,3890000,3890000,25090000,461014000,17990000,0.27179,0.18063,0.04692,0.01507,0.0057,3.06787,1.88365,1.64411,0.44804,0.15057,0.14787,3.20892,9.99239,0.46194,0.00947,0.01825,18.03196,20.04262
"28","2017_Q4",10.2826984126984,"Up",122299000,-87852000,34447000,-12239000,-9335000,-2904000,22208000,-6476000,-6476000,15732000,-8722000,7010000,-2908999.99999999,4101000.00000001,4101000,4101000,3438000.00000001,5386000,5386000,92343000,92343000,9504000,9504000,107233000,67432000,866811000,32054000,834757000,934243000,1041476000,23652000,491000,23161000,21223000,21223000,48493000,470923000,139003000,82652000,56351000,609926000,658419000,589931000,-206874000,383057000,383057000,1041476000,4101000,2904000,5247999.99999999,-1769000,10484000,-5675000,-15375000,12996000,-43000,1.45519152283669e-11,-5000,1685000,-3205999.99999999,-3205999.99999999,-3205999.99999999,25112000,474541000,20577000,0.28166,0.18159,0.0281099999999999,0.00898,0.0033,5.98517,2.21131,1.71885,0.45564,0.08826,0.08654,3.13951,9.83337,0.52823,0.01475,0.02065,18.6825,21.1255
"29","2018_Q1",9.45803278688525,"Down",246614000,-187490000,59124000,-26561000,-19083000,-7478000,32563000,-13935000,-13935000,18628000,-38963000,-20335000,252164000,231829000,232665000,232665000,232413000,34167000,34167000,341989000,341989000,24347000,24347000,400503000,346507000,3782236000,8.62e+08,2920236000,4138698000,4539201000,77163000,598000,76565000,107561000,107561000,198043000,1859442000,717356000,609789000,107567000,2576798000,2774841000,1738569000,25791000,1764360000,1764360000,4539201000,232665000,7478000,-247945000,11505000,3703000,52013000,64013000,30262000,-10041000,20000,-45486000,-38935000,28781000,28781000,28781000,40041000,1872761000,-148605000,0.23974,0.13204,0.94242,0.13173,0.0512,-0.6394,2.0223,1.57272,0.41258,2.61839,2.22578,2.77838,19.87746,-1.6742,0.05651,-0.03413,45.91778,56.46267
"30","2018_Q2",7.79078125,"Down",300560000,-255725000,44835000,-27140000,-18669000,-8471000,17695000,-23404000,-23404000,-5709000,-12006000,-17715000,3508999.99999997,-14206000,-13878000,-13878000,-13878000,34770000,34770000,272315000,272315000,28315000,28315000,335400000,347045000,3780038000,859051000,2920987000,4138288000,4473688000,75297000,1869000,73428000,114988000,114988000,203604000,1838690000,712201000,604537000,107664000,2550891000,2754495000,1707280000,11913000,1719193000,1719193000,4473688000,-13878000,8471000,2402000,68890000,65885000,-6530000.00000001,-7779999.99999999,-21325000,-23141000,334000,-595000,-57502000,603000,603000,603000,26166000,1852009000,85017000,0.14917,0.05887,-0.0461700000000003,-0.00807,-0.0031,-6.12603,1.64732,1.6022,0.41398,-0.0998899999999998,-0.0998899999999994,2.16325,12.3737,0.6119,-0.00034,0.01985,69.45039,102.69788
