"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","other_share_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q4",7.80125,"Up",529997000,-183050000,346947000,-118989000,-24307000,-120460000,25778000,227958000,-38405000,-38405000,189553000,3309000,192862000,-48902000,143960000,143960000,115539000,115539000,5484000,5484000,96997000,96997000,7527000,235718000,213072000,11462000,345726000,7530575000,10512298000,-2981723000,1409957000,796359000,98285000,498203000,8940532000,9286258000,549360000,308003000,241357000,72264000,621624000,2772148000,670668000,476968000,193700000,3442816000,4064440000,1870000,2197783000,2197783000,2243104000,779061000,5221818000,5221818000,9286258000,143960000,120460000,-107322000,-107322000,148321000,305419000,-327948000,8189000,8189000,-336137000,-336137000,-327948000,19393000,-7648000,49000,-16343000,-4598000,-27127000,-27127000,-27127000,348418000,2844412000,217693000,0.65462,0.43011,0.218,0.02213,0.01244,1.88415,0.55617,0.77836,0.3063,0.65996,0.65387,3.02736,29.81651,1.24347,0.01322,0.02492,8.14805,12.45373
"12","2020_Q1",6.64725806451613,"Down",508989000,-71070000,437919000,-279445000,-34534000,-133844000,-111067000,158474000,-37051000,-37051000,121423000,-411876000,-290453000,50397000,-240056000,-240056000,-271409000,-271409000,16283000,16283000,133480000,133480000,6984000,341354000,17456000,13679000,498101000,7136575000,10572006000,-3435431000,1426130000,796359000,96647000,202318000,8562705000,9060806000,418639000,202553000,216086000,7164000,528939000,2762149000,807409000,476108000,215439000,3569558000,4098497000,1870000,2199605000,2199605000,1971676000,789158000,4962309000,4962309000,9060806000,-240056000,133844000,324255000,324255000,-103575000,114468000,-198213000,29884000,29884000,-228097000,-228097000,-198213000,111723000,355000.000000015,355000,-17534000,94544000,10799000,10799000,10799000,292318000,2769313000,-59867000,0.86037,0.31135,-0.53323,-0.05469,-0.02995,0.22058,0.9417,0.82593,0.30564,-1.36474,-1.39739,2.55938,24.94283,-0.30103,-0.03178,-0.00701,9.41793,17.37212
"13","2020_Q2",10.0580952380952,"Up",416359000,-128323000,288036000,-185269000,-30238000,-129164000,-25867000,102767000,-48995000,-48995000,53772000,-511576000,-457804000,152582000,-305222000,-305222000,-329086000,-329086000,31833000,31833000,91477000,91477000,10266000,452477000,12775000,11692000,586053000,7069103000,10691516000,-3622413000,873794000,323314000,95009000,180811000,7942897000,8528950000,369020000,171890000,197130000,27651000,500351000,2646243000,737646000,376401000,197347000,3383889000,3884240000,1874000,2205941000,2205941000,1641009000,795886000,4644710000,4644710000,8528950000,-305222000,129164000,467936000,467936000,-24491000,267387000,-138074000,13975000,13975000,-152049000,-152049000,-138074000,-77172000,4000,4000,-30402000,-107570000,21743000,21743000,21743000,231931000,2673894000,-83216000,0.6918,0.24682,-0.79039,-0.07085,-0.03858,0.25287,1.17128,0.83627,0.31351,-1.76059,-1.76059,2.22749,24.83884,-0.4452,-0.04085,-0.01033,11.39158,25.70924
"14","2020_Q3",10.1953125,"Up",148841000,-78674000,70167000,-188636000,-23419000,-113545000,-51672000,-118469000,-46257000,-46257000,-164726000,5593000,-159133000,28646000,-130487000,-130487000,-145749000,-145749000,19607000,19607000,69174000,69174000,10317000,331624000,10973000,8407000,430722000,7083803000,10814035000,-3730232000,805159000,323314000,93371000,160658000,7888962000,8319684000,311162000,148345000,162817000,29725000,476524000,2544993000,731213000,370412000,182614000,3276206000,3752730000,1878000,2261729000,2261729000,1495197000,808150000,4566954000,4566954000,8319684000,-130487000,113545000,188186000,188186000,-27446000,143798000,-122701000,12151000,12151000,-134852000,-134852000,-122701000,-30452000,1650000,1650000,-4400000,-33202000,-12105000,-12105000,-12105000,-4924000,2574718000,-183717000,0.47142,-0.79594,-0.97923,-0.03191,-0.01752,1.2605,0.90388,0.82171,0.30947,-0.77809,-0.77809,0.7946,24.37093,-0.98078,-0.01851,-0.02334,-518.90963,-21.56776
"15","2020_Q4",10.07765625,"Down",66075000,-14419000,51656000,-267267000,-22693000,-114465000,-130109000,-215611000,-37921000,-37921000,-253532000,3460000,-250072000,61279000,-188793000,-188793000,-204698000,-204698000,150132000,150132000,75929000,75929000,10090000,96088000,12450000,5386000,332239000,7063138000,10904837000,-3841699000,733797000,323314000,91733000,142967000,7796935000,8129174000,281477000,117004000,164473000,29907000,507961000,2580296000,770741000,398878000,168154000,3351037000,3858998000,2249000,2989699000,2989699000,1290498000,-12270000,4270176000,4270176000,8129174000,-188793000,114465000,202341000,202341000,95149000,223162000,-102480000,5855000,5855000,-108335000,-108335000,-102480000,34019000,151000,151000,-24452000,9718000,130400000,130400000,130400000,-101146000,2610203000,-169756000,0.78178,-3.26313,-3.09796,-0.04794,-0.02518,0.8293,0.65406,0.90371,0.32109,-1.0296,-1.0296,0.33235,21.46713,-0.85385,-0.02675,-0.02219,-24.32198,-11.40977
"16","2021_Q1",13.4449180327869,"Up",626703000,-204359000,422344000,-119487000,-33025000,-144647000,58185000,302857000,-37633000,-37633000,265224000,-1045999.99999999,264178000,-68420000,195758000,195758000,195758000,195758000,15617000,15617000,145929000,145929000,9657000,102129000,12411000,4973000,273332000,7025545000,10963996000,-3938451000,742887000,323314000,90095000,141241000,7768432000,8041764000,316958000,118185000,198773000,82025000,441312000,2455719000,722296000,466253000,128753000,3178015000,3619327000,2208000,2959357000,2959357000,1476056000,-15183999.9999999,4422437000,4422437000,8041764000,195758000,144647000,-135636000,-31718000,-44045000,160724000,-75714000,3454091.53095773,3454091.53095773,-108162103.485728,-108162103.485728,-75714000,-136269000,-36995000,252000,-46468000,-219732000,-134722000,-134722000,-134722000,447504000,2537744000,396165000,0.67391,0.48325,0.31236,0.04426,0.02434,2.02375,0.61936,0.8184,0.31557,0.87449,0.87449,2.7996,19.74597,1.76974,0.02548,0.05157,5.63598999999999,8.32778
"17","2021_Q2",13.9857142857143,"Up",473073000,-79234000,393839000,-220570000,-28321000,-128944000,-63305000,173269000,-40738000,-36372000,132531000,2873000,135404000,-37379000,98025000,98025000,98025000,98025000,29610000,29610000,147714000,147714000,7249000,92873000,12170000,10452000,277446000,7019764000,11084358000,-4064594000,772027000,323314000,88457000,124561000,7791791000,8069237000,294451000,114535000,179916000,27194000,457907000,2347161000,753759000,503653000,166401000,3100920000,3558827000,2207000,2959934000,2959934000,1563318000,-15049000,4510410000,4510410000,8069237000,98025000,128944000,12685000,12685000,-20006000,219648000,-118424000,5005000,5005000,-123429000,-123429000,-118424000,-66952000,-19189000,4799000,-1320000,-87461000,13763000,13763000,13763000,302213000,2374355000,201162000,0.83251,0.36626,0.20721,0.02173,0.01215,2.05215,0.6059,0.78903,0.29425,0.44572,0.42867,2.15108,20.49895,0.91469,0.01283,0.02634,7.75858,13.5324
"18","2021_Q3",12.09484375,"Down",-127209000,-87045000,-214254000,-203898000,-23677000,-122607000,-57614000,-418152000,-35210000,-39576000,-453362000,7187000,-446175000,92116000,-354059000,-354059000,-354059000,-354059000,39365000,39365000,157667000,157667000,5698000,131246000,12126000,11495000,333976000,7008640000,11128496000,-4119856000,729494000,323314000,86819000,114902000,7738134000,8072110000,322719000,118574000,204145000,70702000,809195000,2589258000,536726000,411380000,125346000,3125984000,3935179000,2191000,2950083000,2950083000,1199570000,-14913000,4136931000,4136931000,8072110000,-354059000,122607000,437272000,437272000,33407000,239227000,-121994000,6964000,6964000,-128958000,-128958000,-121994000,-80487000,-22688000,2000.00000000093,-4536000,-107711000,9522000.00000003,9522000.00000003,9522000.00000003,-295545000,2659960000,-476248000,1.68427,3.28713,2.78329,-0.08558,-0.04386,1.34511,0.41273,0.95123,0.32952,-1.60992,-1.54834,-0.57842,18.8008,-2.16552,-0.04828,-0.06494,-8.86699,-6.26709
"19","2021_Q4",14.07,"Up",-880261000,-113077891.944952,-914462519.915003,-304858000,-24851000,-129734000,-150273000,-1185119000,-41121000,-37944000,-1226240000,-6207000,-1232447000,359526000,-872921000,-872921000,-872921000,-872921000,365000,365000,250406000,250406000,5486000,327567000,13077000,230620000,583824000,6960317000,11206740000,-4246423000,684012000,323314000,85181000,96341000,7644329000,8228153000,331118000,107266000,223852000,267631000,1767346000,2239613000,1034678000,51739000,124172000,3274291000,5041637000,2124000,2899731000,2899731000,299438000,-14777000,3186516000,3186516000,8228153000,-872922000,129733000,1030053000,962469777.048798,-72454000,214410000,-84498000,13027612.9694435,13027612.9694435,-125738160.091556,-125738160.091556,-84498000,124183000,-77557000,183000,-671000,45955000,175867000,175867000,175867000,-1055386000,2507244000,-1571864000,1.95575046871894,1.34633,0.99166,-0.27394,-0.10609,1.80069,0.33034,1.58218,0.30472,-4.18759,-4.01732,-4.2228,15.2762,-7.54056,-0.12974,-0.23361,-2.37532,-2.1153
"20","2022_Q1",16.6441935483871,"Up",1291189000,-104639613.055878,-1296750103.58227,-29208000,-35908000,-133833000,140533000,936172000,-34087000,-37264000,902085000,4620000,906705000,-276393000,630312000,630312000,630312000,630312000,3565000,3565000,330122000,330122000,6147000,119973000,15975000,8924000,459807000,6989483000,11362102000,-4372619000,651461000,323314000,83543000,112610000,7640944000,8100751000,409483000,121751000,287732000,23495000.0000001,954576000,2249011000,1196891000,328601000,180936000,3445902000,4400478000,2034704.30193238,2836902000,2795681700.26699,877894000,-14523000,3700273000,3700273000,8100751000,630313000,133834000,-498806000,1286613612.66742,-12269000,253072000,-95694000,19310544.6169186,19310544.6169186,-121098910.967354,-121098910.967354,-95694000,-241340000,-120722000,103000,-12502000,-374564000,-217186000,-217186000,-217186000,1070006000,2272506000,1238436000,1.62184093463933,0.72505,0.48816,0.17034,0.07781,1.9648,0.48169,1.18923,0.28053,3.02374,2.9008,6.1941,17.75099,5.94104,0.08791,0.17273,2.12049,2.42364
"21","2022_Q2",20.4793548387097,"Up",-913098000,-89975000,-1003073000,-232494000,-31560000,-118623000,-82311000,-1235567000,-26333000,-27069000,-1261900000,13395000,-1248505000,325564000,-922941000,-922941000,-922941000,-922941000,8570000,8570000,263126000,263126000,6469000,138711000,13739000,5134000,416876000,6996124000,11484450000,-4488326000,810524000,323314000,81904000,95567000,7806648000,8223524000,368689000,120513000,248176000,346689000,2127342000,1924434000,1602236000,2205389490.49329,180863000,3526670000,5654012000,1955000,2691950000,2691950000,-110005000,-14388000,2569512000,2569512000,8223524000,-922941000,118623000,1113823000,1113823000,26890000,336395000,-102893000,19423000,19423000,-122316000,-122316000,-102893000,-76536000,-151865000,608000,-96000,-228497000,5005000,5005000,5005000,-1116944000,2271123000,-1518511000,1.09854,1.35316,1.01078,-0.35919,-0.11223,1.6453,0.19596,2.20042,0.27617,-4.42754,-4.24752,-4.38032,12.31711,-7.28462,-0.14325,-0.23569,-2.02566,-1.83119
"22","2022_Q3",16.9415625,"Down",420418000,-93069000,327349000,-241896000,-30454000,-116180000,-95262000,85453000.0000005,-31788000,-31052000,53665000,-6742000,46922999.9999995,-13566999.9999999,33356000,33356000,33356000,33356000,238000,238000,447464000,447464000,14490000,156005000,12503000,6010000,618197000,7012724000,11606088000,-4593364000,1064969000,323314000,80266000,226991000,8077693000,8695890000,457048000,154449000,302599000,364210000,2031973000,2047844000,2079049000,6585975471.47988,179313000,4126893000,6158866000,1918000,2665440000,2665440000,-116081000,-14253000,2537024000,2537024000,8695890000,33356000,116180000,147913000,147913000,-105482000,191967000,-129561000,7107000,7107000,-136668000,-136668000,-129561000,-5794000,-59119000,375000,-5825000,-70738000.0000001,-8332000,-8332000,-8332000,201633000,2412054000,-19843000,0.77863,0.20326,0.07934,0.01315,0.00384000000000001,-0.59489,0.30423,2.42759,0.27738,0.1669,0.1669,2.10362,12.68477,-0.0992899999999999,0.00475,-0.00281999999999999,11.96142,28.22389
