"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",31.066875,"Up",479971000,-150263000,329708000,-232669000,-56197000,-172119000,-4353000,97039000,-77362000,-114641000,884000,36395000,19677000,321494000,341171000,-51866000,289305000,296932000,-12103000,284829000,-19413000,265416000,785359000,785359000,261996000,1187046000,18302862000,20595808000,-2292946000,4585391000,3635214000,950177000,22888253000,24075299000,589034000,589034000,719109000,719109000,1308143000,9074123000,9074123000,10382266000,582500000,16466110000,4624000,16461486000,-3561429000,-503786000,12983395000,709638000,13693033000,24075299000,296932000,177431000,-337168000,-8055000,129140000,-230592000,-258414000,3303588000,2814582000,-140528000,-2127583000,5202000,5202000,1044000,-2261865000,681857000,681857000,2692000,684549000,274470000,9074123000,87689000,0.68693,0.20218,0.55298,0.01938,0.01102,0.33038,0.90743,0.75822,0.37691,0.57516,0.55416,1.0401,26.87271,0.19002,0.30452,0.01783,0.00385,0.52946,30.19916,85.41683
"12","2013_Q3",29.0275,"Down",410693000,-134843000,275850000,-217337000,-54909000,-155657000,-6771000,58513000,-87044000,-92213000,-7744000,12913000,-28531000,28427000,-104000,-20488000,-20592000,-4985000.00000012,7284000,2299000,-3816000,-1517000,385424000,385424000,241608000,752012000,18475956000,20898865000,-2422909000,4809600000,3884766000,924834000,23285556000,24037568000,651081000,651081000,646675000,646675000,1297756000,8417310000,8417310000,9715066000,1e+08,17944815000,4986000,17939829000,-3704034000,-541355000,13799426000,523076000,14322502000,24037568000,-4985000,159412000,-16815000,-63184000,74428000,-450242000,-339957000,393469000,-396730000,-147662000,-669608000,1497140000,1497140000,-703782000,-23912000,-346214000,-346214000,-53721000,-399935000,217925000,8417310000,-275013000,0.67167,0.14247,-0.00368999999999997,-0.000109999999999999,-6.00000000000028e-05,181.28741,0.57947,0.67831,0.35017,-0.00312000000000001,-0.00314999999999988,0.8445,28.1698,-0.5655,0.30363,0.00643,-0.01209,-97.33817,36.85619,137.26669
"13","2013_Q4",29.83859375,"Up",423058000,-128834000,294224000,-216843000,-55034000,-155439000,-6370000,77381000,-45749000,-84642000,6875000,32018000,31632000,-68122000,-36490000,-12180000,-48670000,-7167000,1768000,-5399000,-2135000,-7534000,121693000,121693000,236109000,495681000,19059538000,21599908000,-2540370000,5234324000,4210305000,1024019000,24293862000,24789543000,692241000,692241000,714463000,714463000,1406704000,9119317000,9119317000,10526021000,1e+08,17957597000,4986000,17952611000,-3852846000,-451658000,13753093000,510429000,14263522000,24789543000,-7167000,159242000,16921000,-40316000,128680000,-319580000,-899862000,468258000,-751184000,-142898000,535879000,52000,52000,-36366000,356667000,-265837000,-265837000,2106000,-263731000,236623000,9119317000,-111093000,0.69547,0.18291,-0.01781,-0.00053,-3e-04,14.74555,0.35237,0.73797,0.36787,-0.01512,-0.01491,0.84911,27.40281,-0.22297,0.28681,0.00579,-0.00475,-18.96708,38.02515,116.27692
"14","2014_Q1",30.8326229508197,"Up",436764000,-127277000,309487000,-238008000,-63067000,-165453000,-9488000,71479000,-78637000,-87831000,-33648000,42842000,-7158000,38843000,31685000,-22199000,9485999.99999999,68269000,-7077000,61192000,-2135000,59057000,491129000,491129000,192042000,791126000,18255479000,20824477000,-2568998000,5525702000,4430239000,1095463000,23781181000,24572307000,563993000,563993000,820645000,820645000,1384638000,9011216000,9011216000,10395854000,1e+08,17979497000,4988000,17974509000,-3932664000,-435675000,13711158000,465295000,14176453000,24572307000,68269000,167922000,-109513000,26063000,152741000,-449889000,-401564000,1518707000,667254000,-142766000,-255513000,3396999.99999976,3397000,-41630000.0000001,-436512000,383483000,383483000,-14047000,369436000,239401000,9011216000,-162226000,0.70859,0.16366,0.13521,0.00417,0.0024,-2.74694,0.57136,0.73332,0.36672,0.11852,0.11789,0.87654,27.31612,-0.32557,0.28652,0.0087,-0.007,2.41742999999999,35.58919,119.19706
"15","2014_Q2",32.4207936507936,"Up",434682000,-134680000,300002000,-228536000,-63203000,-160280000,-5053000,71466000,-69911000,-85523000,-28184000,43796000,1555000,17328000,18883000,-6880000,12003000,12003000,-5202000,6801000,-2135000,4666000,188886000,188886000,201453000,505219000,18340747000,21038790000,-2698043000,5809182000,4687922000,1121260000,24149929000,24655148000,572754000,572754000,718516000,718516000,1291270000,8870635000,8870635000,10161905000,1e+08,18010318000,4997000,18005321000,-4094689000,-444594000,13571035000,922208000,14493243000,24655148000,12003000,160280000,15309000,-115349000,72243000,-329151000,-328321000,140345000,-517127000,-168241000,-152537000,7465000,7465000,445497000,132184000,-312700000,-312700000,10457000,-302243000,231746000,8870635000,-205874000,0.69016,0.16441,0.01073,0.00032,0.00019,-44.12216,0.39126,0.70115,0.35979,0.00936,0.00925,0.87164,27.01252,-0.41282,0.33736,0.0074,-0.00881,36.05679,37.46235,121.48083
"16","2014_Q3",32.17171875,"Down",460089000,-137413000,322676000,-227402000,-60375000,-161577000,-5450000,95274000,-43787000,-80184000,10130000,26267000,51487000,92025000,143512000,8918000,152430000,152430000,-71250000,81180000,-8465000,72715000,267427000,267427000,51428895.1206765,391388000,17133057000,19781923000,-2648866000,6607117000,5575423000,1031694000,23740174000,24131562000,615849000,615849000,709410000,709410000,1325259000,8529453000,8529453000,9854712000,78235000,18067368000,4998000,18062370000,-4188611000,-385248000,13571744000,705106000,14276850000,24131562000,152430000,161577000,-178057000,97673000,233623000,-317868000,-328031000,973412000,327513000,-168004000,-32210000,4036000,4036000.00000001,-286900000,-483078000,78058000,78058000,483000.000000004,78541000.0000002,256851000,8529453000,27737999.9999999,0.70133,0.20708,0.15805,0.00509,0.00301,0.381459999999997,0.29533,0.69026,0.35346,0.14569,0.14075,0.92182,27.03503,0.05557,0.33661,0.01055,0.00122,2.31044,32.16661,86.71858
"17","2014_Q4",32.87296875,"Up",415151000,-124766000,290385000,-212273000,-58203000,-149202000,-4868000,78112000,-19230000,-69086000,20792000,29064000,58882000,64981000,123863000,23264000,147127000,147127000,-9212000,137915000,-1670000,136245000,311879000,311879000,-96697070.1714633,444343000,16770837000,19466582000,-2695745000,6856923000,5814056000,1042867000,23627760000,24072103000,556965000,556965000,555437000,555437000,1112402000,8822952000,8822952000,9935354000,78235000,18086751000,5e+06,18081751000,-4214224000,-510661000,13440101000,696648000,14136749000,24072103000,147127000,149202000,-65158000,-86250000,144921000,-566951000,-668178000,821288000,-413841000,-166014000,500564000,3584000,3584000,-10382000,327752000,58832000,58832000,-14380000,44452000,227314000,8822952000,-449151000,0.69947,0.18815,0.32818,0.00964,0.00566,-3.29664,0.39944,0.7028,0.36652,0.27288,0.264,0.83148,26.76163,-0.89958,0.3325,0.01316,-0.01956,1.2185,37.44192,108.95987
"18","2015_Q1",35.394262295082,"Up",450865000,-148860000,302005000,-227049000,-47551000,-171402000,-8096000,74956000,-33742000,-74092000,-20579000,60929000,41214000,386156000,427370000,354000,427724000,427724000,-17437000,410287000,-1678000,408609000,350692000,350692000,43934000.0000001,394626000,19399364000,22190145000,-2790781000,5981011000,4824724000,1156287000,25380375000,25775001000,627999000,627999000,626426000,626426000,1254425000,9336977000,9336977000,10591402000,78235000,18472104000,5095000,18467009000,-3974493000,-600337000,13975509000,1208090000,15183599000,25775001000,427724000,171402000,-200889000,45449000,443686000,-541190000,-22276000,501660000,-61806000,-169931000,-459042000,363162000,363162000,-61854000,-327665000,54215000,54215000,-15402000,38813000,246358000,9336977000,-249737000,0.66983,0.16625,0.90628,0.02691,0.01585,-0.611190000000004,0.31459,0.69756,0.36225,0.81521,0.83648,0.89951,27.72623,-0.49825,0.33903,0.02359,-0.01018,0.41588,36.47653,119.88747
"19","2015_Q2",33.1563492063492,"Down",462847000,-152277000,310570000,-226689000,-51306000,-169808000,-5575000,83881000,7896000,-68761000,34566000,42091000,91777000,261426000,353203000,-1891000,351312000,351312000,-4436000,346876000,-1670000,345206000,192013000,192013000,534729000,726742000,18923021000,21800499000,-2877478000,5811058000,4559721000,1251337000,24734079000,25460821000,459845000,459845000,566748000,566748000,1026593000,8641421000,8641421000,9668014000,78235000,19057802000,5240000,19052562000,-3819351000,-701713000,14614973000,1177834000,15792807000,25460821000,351312000,169808000,-289932000,-149656000,81532000,-417862000,-123689000,341202000,-200349000,-190585000,101484000,82068000,82068000,-24920000,-31953000,-150770000,-150770000,-7909000,-158679000,253689000,8641421000,-311938000,0.671,0.18123,0.74583,0.02186,0.01356,-0.90363,0.70792,0.61218,0.3394,0.67158,0.65254,0.90044,28.28038,-0.60686,0.37077,0.02193,-0.01277,0.55209,33.30617,100.73089
"20","2015_Q3",32.1521875,"Down",510404000,-150767000,359637000,-272289000,-51974000,-190188000,-30127000,87348000,-50783000,-68902000,-25512000,43631000,36565000,108546000,145111000,-4851000,140260000,140260000,1658000,141918000,-1678000,140240000,351025000,351025000,712252000,1063277000,24387611000,27463049000,-3075438000,6151509000,4911505000,1240004000,30539120000,31602397000,537432000,537432000,589636000,589636000,1127068000,12121305000,12121305000,13248373000,78235000,19134589000,5241000,19129348000,-3870808000,-631265000,14710751000,3643273000,18354024000,31602397000,140260000,190188000,-95121000,39030000,274357000,-572300000,-5026651000,718680000,-4880271000,-190604000,2625030000,1293999.99999997,1294000,2327663000,4763383000,157469000,157469000,1543000,159012000,277536000,12121305000,-250883000,0.70461,0.17114,0.27476,0.00764,0.00444,-1.78895,0.9434,0.72182,0.38356,0.2679,0.26428,0.97503,27.9526,-0.47926,0.36411,0.01086,-0.00823,1.35913,42.40992,134.75157
"21","2015_Q4",35.05859375,"Up",580622000,-166816000,413806000,-310414000,-54178000,-247471000,-8765000,103392000,-50669000,-81035000,-9428000,39794000,52723000,268791000,321514000,-14328000,307186000,307186000,-46536000,260650000,-1671000,258979000,310433000,310433000,566882000,877315000,24112913000,27269358000,-3156445000,6429126000,4841225000,1587901000,30542039000,31419354000,697860000,697860000,602168000,602168000,1300028000,11934355000,11934355000,13234383000,78235000,19155578000,5242000,19150336000,-3825673000,-776570000,14631570000,3553401000,18184971000,31419354000,307186000,247471000,-168673000,14684000,400668000,-582779000,-98123000,792287000,111385000,-211606000,-200473000,750000,750000,-139120000,-550449000,-38396000,-38396000,-2196000,-40592000,350863000,11934355000,-202904000,0.71269,0.17807,0.44604,0.01424,0.00824,-0.78348,0.67484,0.72776,0.37984,0.49468,0.48674,1.10906,27.79858,-0.38757,0.40419,0.01562,-0.00674,0.81708,33.12952,112.42574
"22","2016_Q1",33.6798360655738,"Down",643201000,-182744000,460457000,-354906000,-59769000,-272906000,-22231000,105551000,-10595000,-82665000,12840000,59230000,94956000,33821000,128777000,-2020000,126757000,126757000,-6762000,119995000,-1632000,118363000,264080000,264080000,613473000,877553000,24247084000,27521368000,-3274284000,6270130000,4755620000,1514510000,30517214000,31394767000,712725000,712725000,634375000,634375000,1347100000,11626831000,11626831000,12973931000,78235000,19307612000,5245000,19302367000,-3926483000,-791429000,14667935000,3752901000,18420836000,31394767000,126757000,272906000,-37327000,-2566000,359770000,-740497000,-35456000,955956000,180003000,-211902000,-308443000,6146000,6146000,-70866000,-585065000,-45292000,-45292000,-1061000,-46353000,378457000,11626831000,-362586000,0.71588,0.1641,0.18402,0.00643,0.00377,-3.06334,0.65144,0.70431,0.37034,0.22591,0.21756,1.22763,27.84623,-0.69204,0.40444,0.01099,-0.01207,1.79027,30.02389,107.65176
"23","2016_Q2",39.83328125,"Up",606300000,-171874000,434426000,-305228000,-50543000,-2.5e+08,-4685000,129198000,-34121000,-80812000,-14211000,60902000,95077000,143265000,238342000,-15537000,222805000,222805000,-13075000,209730000,-1689000,208041000,369737000,369737000,468882000,838619000,24204537000,27628680000,-3424143000,6332592000,4866664000,1465928000,30537129000,31375748000,698678000,698678000,649275000,649275000,1347953000,11687171000,11687171000,13035124000,78235000,19307638000,5251000,19302387000,-3939312000,-813900000,14632661000,3707963000,18340624000,31375748000,222805000,2.5e+08,-120237000,-68692000,283876000,-422022000,-117017000,871328000,332289000,-222559000,-206829000,1192000,1192000,-88343000,-516539000,99626000,99626000,6031000,105657000,379198000,11687171000,-95979000,0.71652,0.21309,0.34313,0.01134,0.00663,-0.46135,0.62214,0.71072,0.37249,0.39687,0.38274,1.15661,27.76476,-0.18309,0.42456,0.01434,-0.0032,1.06978,29.84571,87.59759
"24","2016_Q3",45.0721875,"Up",602155000,-168591000,433564000,-291216000,-56934000,-230382000,-3900000,142348000,-43809000,-76455000,-10335000,42981000,98539000,202394000,300933000,-5142000,295791000,295791000,-18712000,277079000,-1696000,275383000,332221000,332221000,427234000,759455000,24035212000,27556410000,-3521198000,5951267000,4483804000,1467463000,29986479000,30745934000,627441000,627441000,696044000,696044000,1323485000,11139415000,11139415000,12462900000,78235000,19367052000,5265000,19361787000,-3885017000,-848079000,14712191000,3570843000,18283034000,30745934000,295791000,230382000,-182765000,6376000.00000001,349784000,-519726000,-28270000,1075490000,527494000,-222784000,-556952000,9162000,9162000,-150240000,-920814000,-43536000,-43536000,6020000,-37516000,372730000,11139415000,-135478000,0.72002,0.2364,0.45733,0.01506,0.00896,-0.49196,0.57383,0.68166,0.36231,0.5247,0.50493,1.14731,27.88259,-0.25813,0.42448,0.01693,-0.0046,0.809,28.9947,75.92094
"25","2016_Q4",43.784126984127,"Down",704565000,-185138000,519427000,-286803000,-58157000,-224867000,-3779000,232624000,-28251000,-75310000,-1731000,48790000,204373000,118788000,323161000,-15919000,307242000,307242000,-26316000,280926000,-1671000,279255000,375120000,375120000,484149000,859269000,23932016000,27570704000,-3638688000,6096924000,4580584000,1516340000,30028940000,30888209000,672111000,672111000,675831000,675831000,1347942000,11256997000,11256997000,12604939000,78235000,19438287000,5286000,19433001000,-3828132000,-889223000,14799167000,3484103000,18283270000,30888209000,307242000,224867000,-121152000,-47606000,363351000,-630960000,-83301000,584610000,-129651000,-224041000,96749000,27747000,27747000,-91765000,-191310000,42390000,42390000,509000,42899000,457491000,11256997000,-205156000,0.73723,0.33017,0.39635,0.01527,0.00904,-0.73465,0.63747,0.68942,0.36444,0.52961,0.51033,1.33621,27.9182,-0.38908,0.42489,0.01704,-0.00694,0.80228,23.78599,46.77882
