"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",3.71451612903226,"Down",19710000,-13509000,6201000,-5233000,-5233000,968000,32000,32000,1e+06,1e+06,-136000,864000,864000,425000,1289000,1289000,25082000,25082000,17499000,17499000,4166000,2830000,46747000,10798000,8180000,675000,3883000,3622000,18978000,65725000,12962000,1292000,2312000,9358000,602000,13670000,3258000,153000,153000,3411000,17081000,22993000,-4288000,31692000,286000,50683000,-2039000,48644000,65725000,863000,998000,69000,1003000,2933000,-1195000,-1195000,-1195000,1409000,-96000,8000,4350000,4350000,4350000,1966000,3860000,1910000,0.31461,0.04911,0.0654,0.0265,0.01961,1.48177,3.41968,0.35114,0.05873,0.0518,0.05004,0.79214,2.03693,0.07676,5,0.02448,0.03627,-10.79451,-21.92355
"12","2013_Q1",3.70116666666667,"Down",18977000,-13114000,5863000,-5370000,-5370000,493000,111000,111000,604000,99000,259000,358000,358000,306000,664000,664000,28516000,25425000,14317000,14317000,3665000,2561000,46498000,10656000,9027000,675000,4848000,3504000,19683000,66181000,12839000,1618000,2155000,9066000,818000,13714000,3374000,182000,182000,3556000,17270000,22404000,-4288000,32356000,36999.9999999999,50509000,-1598000,48911000,66181000,359000,1016000,193000,3077000,4645000,-1147000,-1147000,-1147000,-4238000,-64000,-64000,343000.000000001,343000.000000001,343000,1509000,4192000,3180000,0.30895,0.02598,0.03499,0.01358,0.01003,4.78916,3.39055,0.35309,0.06334,0.0264,0.0253,0.75437,2.00783,0.12641,4,0.01246,0.05968,-16.11928,-49.33874
"13","2013_Q2",3.21109375,"Down",16903000,-12791000,4112000,-4624000,-4624000,-512000,140000,140000,-372000,-372000,475000,103000,103000,213000,316000,316000,30739000,27147000,10240000,10240000,3813000,2572000,44792000,11527000,9663000,675000,5625000,3363000,21190000,65982000,12086000,2081000,2229000,7776000,643000,12770000,3625000,186000,186000,3811000,16581000,22397000,-4288000,32672000,46000,50827000,-1426000,49401000,65982000,103000,891000,-421000,2560000,3133000,-913000,-913000,-913000,-1414000,-128000,3000,1722000,1722000,1722000,379000,4268000,1551000,0.24327,-0.03029,0.01869,0.0064,0.00479,4.90823,3.5076,0.33564,0.06468,0.0127,0.01231,0.67938,2.04289,0.06234,5,0.00587,0.0288,-69.84433,51.70117
"14","2013_Q3",2.776875,"Down",16160000,-13419000,2741000,-4357000,-4357000,-1616000,117000,117000,-1499000,-1499000,1013000,-486000,-486000,365000,-121000,-121000,27152000,24379000,10898000,10898000,3608000,2094000,41658000,12069000,11123000,675000,7156000,3292000,23192000,64850000,12521000,1623000,1720000,9178000,538000,13059000,3677000,190000,190000,3867000,16926000,22608000,-4288000,32552000,-1157000,49715000,-1791000,47924000,64850000,-485000,1022000,-882000,-1118000,-1463000,-2058000,-2058000,-2058000,-1239000,-66000,-66000,-2768000,-2768000,-2768000,-594000,4215000,-4783000,0.16962,-0.1,-0.00748999999999998,-0.00252,-0.00186999999999999,39.52893,3.18998,0.35318,0.065,-0.00484000000000001,-0.00499999999999999,0.6465,1.98892,-0.19135,1,-0.00231,-0.0914,38.61448,14.19369
"15","2013_Q4",2.43671875,"Down",15746000,-11973000,3773000,-3992000,-3992000,-219000,57000,57000,-162000,-5686000,-7297000,-12983000,-12983000,1291000,-11692000,-11692000,26219000,25104000,10805000,10805000,2285000,2117000,39309000,6331000,4665000,675000,780000,3210000,10996000,50305000,11442000,1074000,1384000,8984000,317000,11759000,3794000,190000,190000,3984000,15743000,23019000,-4288000,20860000,-1714000,37877000,-3315000,34562000,50305000,-12983000,1017000,12905000,-1127000,-188000,-502000,-502000,-502000,1156000,-185000,-243000,725000,725000,725000,798000,4111000,6466000,0.23962,-0.01391,-0.74254,-0.33829,-0.23242,-0.55303,3.34289,0.4555,0.08172,-0.46665,-0.46665,0.62846,1.51175,0.25807,2,-0.30085,0.16638,-27.70426,100.94977
"16","2014_Q1",2.9627868852459,"Up",15440000,-10944000,4496000,-4322000,-4322000,174000,-1000,-1000,173000,173000,358000,531000,531000,334000,865000,865000,24752000,24752000,11876000,11876000,1952000,1907000,38580000,6083000,5334000,675000,1336000,3323000,11417000,49997000,9328000,898000,1003000,7427000,351000,9736000,3747000,190000,190000,3937000,13673000,23229000,-4288000,21724000,-692000,39973000,-3649000,36324000,49997000,530000,723000,-6999.99999999814,-2107000,-861000,-307000,-307000,-307000,808000,-298000,-299000,-352000,-352000,-352000,897000,4098000,-1875000,0.29119,0.01127,0.05602,0.0238099999999999,0.0173,-2.16763,3.96261,0.37642,0.08196,0.03452,0.0345199999999999,0.6162,1.59528,-0.07483,4,0.0212999999999999,-0.0461699999999999,-23.02564,-118.70115
"17","2014_Q2",3.03634920634921,"Up",14066000,-10291000,3775000,-3789000,-3789000,-14000,9000,9000,-5000,-5000,-101000,-106000,-106000,295000,189000,189000,29156000,29156000,8501000,8501000,2340000,2129000,39997000,6396000,5886000,675000,1240000,3971000,12282000,52279000,8671000,1066000,856000,6749000,1060000,9806000,5254000,190000,190000,5444000,15250000,23297000,-4288000,21913000,-42000,40880000,-3851000,37029000,52279000,-106000,712000,313000,3413000,4332000,-767000,-767000,-767000,-767000,839000,839000,4404000,4404000,4404000,698000,6314000,3445000,0.26838,-0.001,0.01344,0.0051,0.00362,18.22751,4.07883,0.41184,0.12078,0.00755,0.00746,0.56179,1.63272,0.13759,6,0.00434,0.07914,-32.72493,1631.57143
"18","2014_Q3",3.05828125,"Up",14314000,-11319000,2995000,-3862000,-3862000,-867000,22000,22000,-845000,-845000,-106000,-951000,-951000,288000,-663000,-663000,28103000,28103000,9372000,9372000,2493000,2158000,39968000,6536000,5573000,675000,1291000,3607000,12109000,52077000,8922000,1215000,959000,6748000,870000,9869000,5194000,190000,190000,5384000,15253000,23763000,-4288000,21250000,238000,40963000,-4139000,36824000,52077000,-951000,679000,445000,-108000,65000,-725000,-725000,-725000,-725000,-513000,-393000,-1053000,-1053000,-1053000,-188000,6064000,-915000,0.20924,-0.06057,-0.04632,-0.018,-0.01273,1.38009,4.04985,0.41421,0.11644,-0.02625,-0.02657,0.5668,1.62204,-0.03623,4,-0.01539,-0.02124,117.22872,25.41984
"19","2014_Q4",2.7934375,"Down",14804000,-10673000,4131000,-4284000,-4284000,-153000,33000,33000,-120000,-120000,-306000,-426000,-426000,207000,-219000,-219000,26032000,26032000,8583000,8583000,2948000,2593000,37563000,6353000,11542000,1700000,1313000,3243000,17895000,55458000,10382000,1587000,1126000,7669000,1556000,12013000,6314000,941000,941000,7255000,19268000,22738000,-4288000,21031000,-503000,38978000,-2788000,36190000,55458000,-426000,759000,359000,717000,1409000,-305000,-305000,-305000,-3530000,-119000,112000,-2009000,-2009000,-2071000,606000,7870000,1324000,0.27905,-0.01034,-0.01479,-0.00605,-0.00395,-6.04566,3.12686,0.53241,0.14191,-0.00866,-0.00866,0.58516,1.54069,0.05233,5,-0.00487,0.02942,-29.9703,118.70588
"20","2015_Q1",2.70901639344262,"Down",15892000,-11622000,4270000,-4477000,-4477000,-207000,31000,31000,-176000,-550000,107000,-443000,-443000,162000,-281000,-281000,24216000,24216000,10445000,10445000,3274000,3020000,37935000,5915000,11011000,1635000,1397000,2718000,16926000,54861000,10487000,1271000,1325000,7891000,1606000,12168000,5540000,879000,879000,6419000,18587000,23048000,-4288000,20750000,-287000,39223000,-2949000,36274000,54861000,-443000,896000,747000,-2393000,-1193000,-236000,-236000,-236000,-386000,-136000,-136000,-1715000,-1715000,-1816000,689000,7146000,-2047000,0.26869,-0.01303,-0.01768,-0.00775,-0.00512,7.2847,3.1176,0.51241,0.13026,-0.01109,-0.01109,0.62723,1.54805,-0.08079,0.999999999999999,-0.00634,-0.04621,-24.77504,82.4637699999999
