"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",74.49703125,"Down",76420000,-40859000,35561000,-9667000,-5899000,-3768000,25894000,-532000,185000,-714000,-3000,25362000,-338000,25024000,-8155000,16869000,16869000,16869000,16869000,22943000,12308000,34110000,34110000,111473000,35587000,10645000,18735000,204113000,78515000,10394000,923000,88909000,293022000,31233000,18923000,185000,185000,31418000,3411000,0,3411000,34829000,64946000,193333000,-86000,258193000,258193000,293022000,16869000,3883000,-1055000,-60140000,-40443000,-3338000,5549000,-32582000,-32582000,3999.99999999999,-32578000,29777000,0,-25546000,0.46534,0.33884,0.22074,0.06533,0.05757,-1.51438,6.49669,0.1349,0,1.30946,1.30207,5.93213,20.04231,-1.98302,0.06448,-0.09765,-0.77049,-0.88604
"12","2013_Q4",91.9540625,"Up",78148000,-44273000,33875000,-8937000,-5610000,-3327000,24938000,-50000.0000000001,174000,-235000,11000,24888000,53000,24941000,-7950000,16991000,16991000,16991000,16991000,9957000,9957000,33164000,33164000,137503000,46198000,3896000,35441000,226822000,79258000,9204000,499000,88462000,315284000,37385000,20561000,734000.000000002,734000,38119000,2584000,8.470329472543e-22,2584000,40703000,65032000,210324000,-775000,274581000,274581000,315284000,16991000,3453000,-4153000,-25138000,-8847000,-3972000,6495000,-2352000,-2352000,1000,-2351000,28391000,-2.91038304567337e-11,7231000,0.43347,0.31911,0.21742,0.06188,0.05389,0.42558,5.95037,0.14824,-1.0842021724855e-19,1.31598,1.30878,6.05268,21.26669,0.56005,0.0613,0.02609,-0.35071,-0.39927
"13","2014_Q1",76.6639344262295,"Down",68288000,-38508000,29780000,-10745000,-6511000,-4234000,19035000,274000,117000,195000,-38000,19309000,97000,19406000,-5722000,13684000,13684000,13684000,13684000,2726000,2726000,49756000,49756000,149548000,31073000,6327000,17690000,233103000,85388000,8734000,96000,94122000,327225000,33534000,16737000,1105000,1093000,34639000,2597000,0,3528000,38167000,66114000,224008000,-1064000,289058000,289058000,327225000,13684000,2839000,-1323000,-20959000,-5759000,-3347000,-3347000,-7231000,-7231000,0,-7231000,21874000,931000,3290000,0.43609,0.27875,0.20039,0.04734,0.04182,0.24043,6.7295,0.13204,0.00285,1.05882,1.0616,5.28387,22.36623,0.25457,0.04677,0.01124,-0.08206,-0.0943
"14","2014_Q2",56.2361904761905,"Down",101348000,-54257000,47091000,-11077000,-6702000,-4375000,36014000,-148000,-101000,-21000,-26000,35866000,-347000,35519000,-11343000,24176000,24176000,24176000,24176000,44393000,44393000,52721000,52721000,132115000,24551000,10481000,7141000,253780000,101047000,10575000,105000,111622000,365402000,42483000,15646000,5602000,5590000,48085000,2496000,-1.35525271560688e-20,2496000,50581000,67798000,248184000,-1161000,314821000,314821000,365402000,24176000,3474000,-3053000,28137000,52734000,-11007000,-11007000,41669000,41669000,-2000,41667000,39488000,2.3283064365387e-10,67961000,0.46465,0.35535,0.23854,0.07679,0.06616,2.81109,5.27774,0.16067,0,1.86728,1.85968,7.8278,24.31577,5.24909,0.07619,0.21417,-1.12421,-1.23266
"15","2014_Q3",41.90390625,"Down",68551000,-40647000,27904000,-11651000,-6554000,-5097000,16253000,11000,-78000,101000,-12000,16264000,-297000,15967000,-5151000,10816000,10816000,10816000,10816000,44340000,44340000,50939000,50939000,144419000,16196000,6503000,2808000,255894000,102987000,9313000,105000,112300000,368194000,33692000,14231000,6791000,6742000,40483000,1891000,0,1891000,42374000,68923000,2.59e+08,-2103000,325820000,325820000,368194000,10816000,5188000,1149000,-14084000,3069000,-3130000,-3130000,-61000,-61000,8000,-53000,21441000,0,9378000,0.40705,0.23709,0.15778,0.0332,0.02938,0.86705,6.32102,0.13005,0,0.83519,0.83185,5.29334,25.15904,0.72415,0.033,0.02862,-2.068,-2.72811
"16","2014_Q4",28.999375,"Down",40728000,-25352000,15376000,-9904000,-6237000,-3667000,5472000,-129000,-131000,52000,-50000,5343000,-14000,5329000,-1577000,3752000,3752000,3752000,3752000,58557000,52608000,25345000,25345000,146847000,17521000,6409000,3846000,248270000,104770000,8615000,111000,113385000,361655000,24204000,4697000,4088000,4066000,28292000,2088000,2.16840434497101e-19,2088000,30380000,70079000,262752000,-1556000,331275000,331275000,361655000,3752000,4463000,-3332000,10388000,15271000,-1193000,-7060000,8277000,8277000,-9000,8268000.00000001,9935000,2.91038304567337e-11,20707000,0.37753,0.13435,0.09212,0.01133,0.01037,5.51892,8.77527,0.09171,0,0.28969,0.28862,3.14457,25.57744,1.59877,0.01125,0.06212,-5.89401,-10.70121
"17","2015_Q1",20.7672131147541,"Down",26285000,-20197000,6088000,-9195000,-5798000,-3397000,-3107000,10000,-38000,50000,-2000,-3097000,-175000,-3272000,1439000,-1833000,-1833000,-1833000,-1833000,53218000,33357000,24602000,24602000,145890000,20298000,6698000,3786000,244008000,103078000,7900000,134000,110978000,354986000,19576000,4964000,3775000,3752000,23351000,2377000,0,2377000,25728000,70835000,260919000,-2496000,329258000,329258000,354986000,-1833000,-7533000,16759000,-10817000,-3424000,-1764000,-15507000,-19268000,-19268000,17000,-19251000,-10640000,0,-24660000,0.23161,-0.1182,-0.06974,-0.00557,-0.00516,13.45336,10.44957,0.07814,0,-0.1415,-0.14115,2.02904,25.41674,-1.9036,-0.00553,-0.07436,5.00169,17.12842
"18","2015_Q2",20.8779365079365,"Up",21166000,-21187000,-21000,-9170000,-5869000,-3301000,-9191000,1446000,-53000,1589000,-90000,-7745000,-697000,-8442000,2997000,-5445000,-5445000,-5445000,-5445000,49945000,30290000,13365000,13365000,147274000,21468000,10107000,4075000,232052000,103637000,7422000,129000,111059000,343111000,16521000,5724000,3604000,3544000,20125000,1658000,1.73472347597681e-18,1658000,21783000,71004000,255474000,-5150000,321328000,321328000,343111000,-5445000,3933000,1003000,-1951000,-2460000,-932000,-767000.000000004,-3227000,-3227000,160000,-3067000,-5258000,1.81898940354586e-12,-11138000,-0.000990000000000019,-0.43423,-0.25725,-0.01695,-0.01587,2.04555,11.53053,0.06779,6.7762635780344e-21,-0.41956,-0.41956,1.63092,24.75961,-0.85823,-0.01686,-0.03448,9.49886,5.43412
"19","2015_Q3",16.62015625,"Down",27942000,-26526000,1416000,-9644000,-5953000,-3691000,-8228000,584000,8000,599000,-23000,-7644000,-321000,-7965000,2783000,-5182000,-5182000,-5182000,-5182000,43471000,23513000,16783000,16783000,138365000,22452000,1872000,4404000,221071000,96251000,9046000,1630000,105297000,326368000,9857000,2865000,552000,529000,10409000,664000,0,664000,11073000,72097000,250292000,-7093000,315296000,315296000,326369000,-5182000,6163000,-636000,-8438000,-8093000,1285000,960000,-7133000,-7133000,356000,-6777000,-2065000,0,-12001000,0.05068,-0.29447,-0.18546,-0.01644,-0.01588,2.3159,21.23845,0.03512,0,-0.39854,-0.39854,2.14895,24.24866,-0.92297,-0.0164,-0.03798,21.05133,5.2833
"20","2015_Q4",14.2315625,"Down",19751000,-23057000,-3306000,-9033000,-5469000,-3564000,-12339000,-489000,102000,-567000,-24000,-12828000,-112000,-12940000,4376000,-8564000,-8564000,-8564000,-8564000,45216000,25606000,13339000,13339000,131387000,25241000,3018000,4504000,215183000,99234000,8734000,1174000,107968000,323151000,12673000,3114000,353000,312000,13026000,1102000,0,1102000,14128000,73204000,241728000,-5909000,309023000,309023000,323151000,-8564000,4681000,754000,6928000,3799000,-1636000,-1342000,2457000,2457000,-364000,2093000,-7658000,-2.27373675443232e-13,-6742000,-0.16738,-0.62473,-0.4336,-0.02771,-0.0265,0.78725,16.5195,0.04572,4.2351647362715e-22,-0.65862,-0.65862,1.51897,23.76567,-0.5185,-0.02761,-0.02174,5.90441,3.66448
"21","2016_Q1",11.0209836065574,"Down",16008000,-25297000,-9289000,-9518000,-5380000,-4138000,-18807000,1180000,141000,1001000,38000,-17627000,-2860000,-20487000,7037000,-13450000,-13450000,-13450000,-13450000,40426000,22314000,12693000,12693000,32422000,20668000,1295000,2004000,106209000,94745000,102638000,93989000,197383000,303592000,13759000,4077000,165000,165000,13924000,44000,0,44000,13968000,74291000,228278000,-12945000,289624000,289624000,303592000,-13450000,-9178000,20267000,-2254000,-4615000,-601000,861000,-3754000,-3754000,462000,-3292000,-27985000,0,-37877000,-0.58027,-1.17485,-0.8402,-0.04644,-0.0443,2.81613,7.62777,0.04823,0,-1.03427,-1.03427,1.23097,22.27125,-2.91263,-0.04643,-0.13076,1.44456,2.14952
"22","2016_Q2",16.29046875,"Up",13137000,-19539000,-6402000,-9179000,-5574000,-3605000,-15581000,73000,99000,-10000,-16000,-15508000,889000,-14619000,3577000,-11042000,-11042000,-11042000,-11042000,36987000,17425000,7083000,7083000,120250000,28545000,1997000,1296000,192865000,90925000,5809000,2089000,96734000,289599000,11836000,2093000,63000,63000,11899000,494000,-4.44089209850063e-16,494000,12393000,74163000,217236000,-14193000,277206000,277206000,289599000,-11042000,1380000,9674000,-2372000,-2360000,-779000,-2311000,-4671000,-4671000,-218000,-4889000,-14201000,0,-20929000,-0.48733,-1.18604,-0.84053,-0.03983,-0.03813,1.8954,16.2085,0.04471,0,-0.84778,-0.84778,1.00863,21.2833,-1.60688,-0.03976,-0.07537,2.60453,2.37385
"23","2016_Q3",17.27546875,"Up",14931000,-19525000,-4594000,-9127000,-5617000,-3510000,-13721000,719000,58000,679000,-18000,-13002000,-266000,-13268000,2303000,-10965000,-10965000,-10965000,-10965000,43336000,28438000,8947000,8947000,114131000,12175000,3876000,849000,178589000,88453000,7610000,2432000,96063000,274652000,7268000,1503000,42000,42000,7310000,38000,0,38000,7348000,75561000,206271000,-14528000,267304000,267304000,274652000,-10965000,1304000,6361000,10067000,6767000,-314000,4369000,11136000,11136000,-123000,11013000,-12417000,0,-4967000,-0.30768,-0.91896,-0.73438,-0.04102,-0.03992,0.45299,24.43078,0.02749,0,-0.84025,-0.84025,1.14416,20.48354,-0.38062,-0.04101,-0.01858,3.49005,3.15837
"24","2016_Q4",20.2398412698413,"Up",17678000,-20578000,-2900000,-8566000,-5125000,-3441000,-11466000,-617000,77000,-678000,-16000,-12083000,-549000,-12632000,978000,-11654000,-11654000,-11654000,-11654000,38780000,11526000,12010000,12010000,110122000,18426000,5736000,2179000,179338000,82442000,5129000.00000001,1929999.99999999,87571000,266909000,9725000,2221000,89000,89000,9814000,40000,0,40000,9854000,76835000,194617000,-14397000,257055000,257055000,266909000,-11654000,1333000,9728000,-4908000,-5501000,663000,-11609000,-17110000,-17110000,198000,-16912000,-10133000,-8.88178419700125e-16,-15356000,-0.16405,-0.6486,-0.65924,-0.04534,-0.04366,1.31766,18.27369,0.03833,0,-0.8929,-0.8929,1.35444,19.69481,-1.17653,-0.04533,-0.05973,3.8271,3.38217
"25","2017_Q1",18.9475806451613,"Down",16314000,-21781000,-5467000,-8512000,-5217000,-3295000,-13979000,2000,116000,-104000,-10000,-13977000,-837000,-14814000,2505000,-12309000,-12309000,-12309000,-12309000,37753000,10262000,15392000,15392000,30844000,16649000,1826000,1533000,100638000,75705000,78429000,75593000,154134000,254772000,10094000,2120000,174000,174000,10268000,37000,0,37000,10305000,78100000,182308000,-15941000,244467000,244467000,254772000,-12309000,1374000,10286000,48000,-601000,-355000,-657000,-1258000,-1258000,-6000,-1264000,-12605000,0,-15417000,-0.33511,-0.85687,-0.75451,-0.05035,-0.04831,1.2525,9.80113,0.04215,0,-0.94298,-0.94298,1.2498,18.72835,-1.18108,-0.05034,-0.06305,2.99508,2.70069
"26","2017_Q2",15.3709523809524,"Down",15285000,-18612000,-3327000,-8466000,-5094000,-3372000,-11793000,39999.9999999999,122000,-64999.9999999999,-17000,-11753000,482000,-11271000,-434000,-11705000,-11705000,-11705000,-11705000,37533000,12794000,13819000,13819000,101765000,16823000,1855000,1678000,169940000,70298000,3871000.00000003,1465000.00000001,74169000,244109000,9326000,1767000,945000,945000,10271000,33000,0,33000,10304000,79511000,170603000,-16309000,233805000,233805000,244109000,-11705000,1313000,7198000,1294000,-1900000,1809000,4483000,2633000,2633000,-101000,2532000,-10480000,-5.55111512312578e-17,-6943000,-0.21766,-0.77154,-0.76578,-0.05006,-0.04795,0.59317,16.54561,0.04407,0,-0.89387,-0.89387,1.16726,17.85479,-0.53021,-0.05006,-0.02969,3.58139,3.18265
"27","2017_Q3",15.208253968254,"Down",20558000,-23116000,-2558000,-8438000,-5026000,-3412000,-10996000,-102000,130000,-216000,-16000,-11098000,-64000,-11162000,-341000,-11503000,-11503000,-11503000,-11503000,48169000,19307000,16709000,16709000,92103000,4200000,1827000,1890000,161181000,68969000,2597000,507000,71566000,232747000,7419000,2109000,166000,166000,7585000,27000,0,27000,7612000,80980000,159100000,-14945000,225135000,225135000,232747000,-11503000,1283000,9017000,11383000,10180000,147000,-3964000,6216000,6216000,297000,6513000,-9713000,0,2158000,-0.12443,-0.53488,-0.55954,-0.05109,-0.04942,-0.1876,21.24997,0.03381,0,-0.875,-0.875,1.56378,17.12531,0.16415,-0.05109,0.00958,4.95923,4.38059
"28","2017_Q4",15.4465079365079,"Up",14195000,-19307000,-5112000,-8646000,-4972000,-3674000,-13758000,46000,177000,-120000,-11000,-13712000,-16000,-13728000,-648000,-14376000,-14376000,-14376000,-14376000,53538000,17077000,8327000,8327000,88024000,4941000,1854000,2614000,154830000,63983000,2960000,1229000,66943000,221773000,7710000,2041000,1386000,1386000,9096000,31000,-1.81898940354586e-12,31000,9127000,82425000,144724000,-14503000,212646000,212646000,221773000,-14376000,1334000,7013000,9756000,3727000,1581000,-6033000,-2306000,-2306000,76000,-2230000,-12424000,1.38777878078145e-17,-439000,-0.36013,-0.96921,-1.01275,-0.06761,-0.06482,0.03054,17.02177,0.04292,0,-1.09348,-1.09348,1.07971,16.17447,-0.0333899999999999,-0.0676,-0.00206,4.30924,3.89141
"29","2018_Q1",12.2609836065574,"Down",23683000,-33369000,-9686000,-8470000,-5146000,-3324000,-18156000,231000,185000,62000,-16000,-17925000,-22000,-17947000,-1260000,-19207000,-19207000,-19207000,-19207000,51229000,15092000,9435000,9435000,20752000,4951000,1623000,3055000,86367000,53861000,65468000,64759000,119329000,205696000,8937000,2599000,1568000,1568000,10505000,37000,0,37000,10542000,83867000,125517000,-14230000,195154000,195154000,205696000,-19207000,1306000,12441000,3544000,-1916000,-285000,56000,-1860000,-1860000,-125000,-1985000,-16850000,0,-12331000,-0.40899,-0.76663,-0.811,-0.09842,-0.09338,0.64201,8.22151,0.05402,0,-1.46082,-1.46082,1.80124,14.84272,-0.93785,-0.0984,-0.06317,3.0403,2.8216
"30","2018_Q2",11.5809375,"Down",14644000,-15612000,-968000,-8287000,-5129000,-3158000,-9255000,131000,199000,-43000,-25000,-9124000,-350000,-9474000,-6000,-9480000,-9480000,-9480000,-9480000,46008000,13923000,7011000,7011000,19994000,7995000,1939000,5793000,81008000,52017000,64196000,63835000,116213000,197221000,9838000,3322000,1461000,1461000,11299000,29000,0,29000,11328000,84693000,115686000,-14486000,185893000,185893000,197221000,-9480000,1095000,2249000,344000,-5792000,779000,4772000,-1020000,-1020000,-149000,-1169000,-8160000,2.22044604925031e-16,-7031000,-0.0661,-0.632,-0.64736,-0.051,-0.04807,0.74167,7.16948,0.06094,0,-0.71805,-0.71805,1.10919,14.08026,-0.53256,-0.05099,-0.03782,5.63824,4.97115
"31","2018_Q3",13.8039682539683,"Up",19247000,-17248000,1999000,-7215000,-4785000,-2430000,-5216000,-183000,152000,-306000,-29000,-5399000,-6000,-5405000,676000,-4729000,-4729000,-4729000,-4729000,40641000,14179000,12530000,12530000,21834000,7463000,1452000,5036000,82468000,55454000,55590000,55225000,111044000,193512000,10222000,4922000,533000,533000,10755000,46000,0,46000,10801000,85239000,110957000,-13485000,182711000,182711000,193512000,-4729000,1010000,3040000,-5904000,-6583000,1187000,6760000,196000,196000,60000,256000,-4206000,0,-9599000,0.10386,-0.271,-0.2457,-0.02588,-0.02444,2.02982,7.66788,0.05912,0,-0.35651,-0.35651,1.45099,13.77422,-0.72365,-0.02588,-0.05252,9.66262,7.7916
"32","2018_Q4",13.3752380952381,"Down",21270000,-16593000,4677000,-7088000,-4551000,-2537000,-2411000,393000,163000,264000,-34000,-2018000,-2725000,-4743000,-53000,-4796000,-4796000,-4796000,-4796000,39564000,12550000,11150000,11150000,18959000,8054000,3014000,5031000,77727000,68518000,41425000,41081000,109943000,187670000,9400000,4033000,982000,982000,10382000,45000,-2.3283064365387e-10,44999.9999999998,10427000,85729000,106161000,-14647000,177243000,177243000,187670000,-4796000,1e+06,6593000,-2495000,302000,-949000,-1735000,-1433000,-1433000,-196000,-1629000,-1411000,0,-4802000,0.21989,-0.11335,-0.22548,-0.02706,-0.02556,1.00125,7.48671,0.05883,-1.32348898008484e-23,-0.36152,-0.36152,1.60331,13.36038,-0.36197,-0.02705,-0.02709,28.03969,16.40979
