"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",6.25578125,"Up",319702000,-257355000,62347000,-61078000,-61078000,1269000,-12500000,-12500000,-11231000,-11290000,-315000,-11605000,-11808000,-11808000,-11808000,117666000,117666000,137443000,137443000,132830000,8338000,8338000,396277000,42387000,124827000,111193000,13634000,167214000,563491000,140321000,98869000,41452000,62000,140383000,361467000,24580000,24580000,386047000,526430000,365201000,-328140000,37061000,37061000,563491000,-11808000,2774000,3042000,-19197000,-25189000,-970000,12060000,-14000,-562000,474000,-1036000,-637000,-13766000,-13766000,-13766000,4043000,361529000,-15809000,0.19502,0.00397,-0.03693,-0.31861,-0.02096,1.33884,2.82283,14.20442,0.64159,-0.12301,-0.12301,3.33061,0.3861,-0.1647,-0.0279,-0.03736,60.31734,192.16942
"12","2013_Q3",5.97140625,"Down",398148000,-315916000,82232000,-69011000,-69011000,13221000,-61058000,-61058000,-47837000,-47889000,-4e+05,-48289000,-48206000,-48206000,-48206000,25511000,25511000,157877000,157877000,129172000,12677000,12677000,325237000,43562000,136708000,111193000,25515000,180270000,505507000,136866000,90575000,46291000,64000,136930000,353939000,23090000,23090000,377029000,513959000,367894000,-376346000,-8452000,-8452000,505507000,-48206000,2534000,11518000,-26525000,-60679000,-3008000,-3008000,-14732000,541000,541000,0,-28468000,-92155000,-92155000,-92155000,15755000,354003000,-13378000,0.20654,0.03321,-0.12108,5.7035,-0.09536,0.27752,2.37521,-60.80916,0.70029,-0.50033,-0.50033,4.13235,-0.08772,-0.13885,-0.13077,-0.03629,20.85002,24.8462299999999
"13","2013_Q4",6.78625,"Up",402931000,-310437000,92494000,-72343000,-72343000,20151000,-7525000,-7525000,12626000,12823000,129000,12952000,12794000,12794000,12794000,50356000,50356000,164049000,164049000,125291000,11690000,11690000,351386000,46404000,136080000,111193000,24887000,182484000,533870000,151411000,90867000,60544000,65000,151476000,353922000,23020000,23020000,376942000,528418000,369004000,-363552000,5452000,5452000,533870000,12794000,2033000,1906000,12963000,29696000,-3740000,-3740000,-17000,144000,144000,0,-1111000,24845000,24845000,24845000,22184000,353987000,31278000,0.22955,0.05001,0.03175,2.34666,0.02396,2.44474,2.31975,96.92186,0.66306,0.13159,0.12824,4.14414,0.05607,0.32169,0.03345,0.08178,13.68694,15.06779
"14","2014_Q1",8.1183606557377,"Up",369111000,-286264000,82847000,-69446000,-69446000,13401000,-8555000,-8555000,4846000,4760000,-183000,4576999.99999999,4529000,4529000,4529000,54696000,54696000,143036000,143036000,123636000,9793000,9793000,331161000,49392000,135286000,111193000,23266000,184678000,515839000,126356000,81046000,45310000,67000.0000000001,126423000,353904000,20144000,13474000,374048000,500471000,374391000,-359023000,15368000,15368000,515839000,4529000,1964000,2480000,-377000.000000004,8596000,-4741000,-4741000,-15000.0000000009,595000,595000,0,485000.000000004,4340000,4340000,4340000,15365000,353971000,10430000,0.22445,0.03631,0.01227,0.2947,0.00878,2.30294,2.61947,32.56579,0.6862,0.04706,0.0483399999999999,3.83576,0.1597,0.10839,0.01163,0.02678,19.47771,22.33229
"15","2014_Q2",7.78587301587302,"Down",345909000,-270994000,74915000,-69318000,-69318000,5597000,-8828000,-8828000,-3231000,-3394000,82000,-3312000,-3384000,-3384000,-3384000,62766000,62766000,147603000,147603000,136613000,8767000,8767000,355749000,52808000,134243000,111193000,23050000,187051000,542800000,154636000,102668000,51968000,69000,154705000,353886000,21615000,21615000,375501000,530206000,375001000,-362407000,12594000,12594000,542800000,-3384000,1982000,2679000,12483000,13760000,-5302000,-5302000,-16000,-372000,904000,-1276000,-388000,8070000,8070000,8070000,7579000,353955000,14678000,0.21657,0.01618,-0.00978,-0.2687,-0.00623,-4.33747,2.29953,42.09989,0.65209,-0.03467,-0.03467,3.54353,0.12901,0.15036,-0.00872,0.03781,38.4205,52.02591
"16","2014_Q3",6.514375,"Down",426543000,-332744000,93799000,-76417000,-76417000,17382000,-6504000,-6504000,10878000,10850000,-230000,10620000,10609000,10609000,10609000,34539000,34539000,166789000,166789000,140736000,8038000,8038000,350102000,59062000,137310000,115323000,21987000,196372000,546474000,147898000,100709000,47189000,70999.9999999981,147969000,353868000,20087000,20087000,373955000,521924000,376348000,-351798000,24550000,24550000,546474000,10609000,2040000,177000,-25894000,-13068000,-6803000,-15529000,-16999.9999999981,421000,451000,-29999.9999999998,370000,-28227000,-28227000,-28227000,19422000,353939000,-13045000,0.21991,0.04075,0.02487,0.43214,0.01941,-1.22962,2.36605,21.25963,0.64768,0.10822,0.10529,4.35106,0.25043,-0.13307,0.02662,-0.03273,16.44527,18.37533
"17","2014_Q4",5.97578125,"Down",434907000,-337260000,97647000,-82253000,-82253000,15394000,-6393000,-6393000,9001000,9192000,-453000,8739000,8504000,8504000,8504000,67770000,67770000,170824000,170824000,134192000,23552000,23552000,396338000,62390000,150617000,122033000,19812000,213007000,609345000,173670000,97231000,76439000,30072000,203742000,353849000,16518000,16518000,370367000,574109000,378530000,-343294000,35236000,35236000,609345000,8504000,2391000,1427000,17482000,29804000,-2297000,-26736000,29983000,180000,180000,0,30163000,33231000,33231000,33231000,17785000,383921000,33423000,0.22452,0.0354,0.01955,0.24134,0.01396,3.93027,1.94529,16.29325,0.63006,0.08668,0.08473,4.43312,0.35917,0.34069,0.01952,0.07672,17.77627,20.53729
"18","2015_Q1",6.24590163934426,"Up",396737000,-306101000,90636000,-79399000,-79399000,11237000,-8624000,-8624000,2613000,2613000,-510000,2103000,2421000,2421000,2421000,17773000,17773000,140064000,140064000,138156000,35547000,35547000,331540000,75679000,166846000,139774000,9844000,242525000,574065000,142093000,74427000,67666000,30074000,172167000,344829000,16869000,10428000,361698000,533865000,381073000,-340873000,40200000,40200000,574065000,2421000,3106000,3986000,-12516000,-3003000,-11101000,-47273000,-17000.0000000149,296000,296000,-5.82076609134674e-11,279000,-49997000,-49997000,-49997000,14343000,374903000,-8763999.99999999,0.22845,0.02832,0.0061,0.06022,0.00422,-3.61999,1.92569,13.28022,0.65307,0.02459,0.02342,4.02996,0.40834,-0.0890200000000001,0.0056,-0.02029,24.89925,31.78161
"19","2015_Q2",12.2030158730159,"Up",370986000,-287253000,83733000,-8.3e+07,-8.3e+07,733000,-7607000,-7607000,-6874000,-6874000,-196000,-7070000,-7070000,-7070000,-7070000,36837000,36837000,157221000,157221000,146824000,24215000,24215000,365097000,84734000,175625000,141090000,17878000,260359000,625456000,164820000,90737000,74083000,55076000,219896000,353810000,17774000,17774000,371584000,591480000,381919000,-347943000,33976000,33976000,625456000,-7070000,3152000,2413000,11368000,9863000,-9064000,-14861000,24982000,-920000,23000.0000000009,-943000,24062000,19064000,19064000,19064000,3885000,408886000,6385000,0.2257,0.00198,-0.01906,-0.20809,-0.0113,-0.90311,1.66032,17.40876,0.65374,-0.07199,-0.07169,3.77771,0.34597,0.06502,-0.01535,0.01386,95.76551,507.57026
"20","2015_Q3",14.2040625,"Up",461521000,-350907000,110614000,-94664000,-94664000,15950000,-12573000,-12573000,3377000,3377000,199000,3576000,3576000,3576000,3576000,40151000,40151000,184675000,184675000,146227000,26752000,26752000,397805000,86830000,177737000,141090000,20561000,264567000,662372000,190998000,110538000,80460000,55078000,246076000,353790000,14363000,14363000,368153000,614229000,392510000,-344367000,48143000,48143000,662372000,3576000,3630000,6826000,-6338000.00000001,7694000,-5087000,-5087000.00000006,-18000.0000000596,1051000,1094000,-43000,707000,3313999.99999999,3313999.99999999,3313999.99999999,19580000,408868000,7956000,0.23967,0.03456,0.00775,0.0742800000000001,0.0054,2.22483,1.61659,12.75843,0.61728,0.03606,0.03473,4.65417,0.48549,0.0802299999999999,0.00759,0.01688,18.83131,23.1170500000001
