"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2013_Q3",11.5834375,"Down",-18122000,-10102000,-8020000,-17852000,-368000,-316000,-316000,5000,-18220000,-18220000,-18220000,-18220000,-18011000,-18011000,28568000,28568000,2935000,2935000,35614000,6294000,7324000,7324000,13618000,49232000,21234000,11344000,9890000,876000,393000,22581000,19275000,19275000,27008000,49589000,1877099000,-1867455000,1691000,-357000,49232000,-18220000,406000,1985000,581000,-15248000,-331000,-152999.999999999,-187000,-15766000,-15766000,-15746000,-17446000,8204000,50.45098,-0.36584,1.57717,-138.90476,0.16664,-1.67191,-1.67191,0.15697,-0.66407,1.16726,1.14071
"13","2013_Q4",18.19921875,"Up",-15774000,-8529000,-7245000,-15425000,-199000,-316000,-316000,547000,-15624000,-15684000,-15684000,-15684000,-15544000,-22444000,27176000,27176000,2310000,2310000,33746000,5838000,7655000,7655000,13493000,47239000,18218000,10364000,7854000,1095000,393000,20529000,19197000,19197000,26323000,46852000,1900746000,-1889899000,2575000,387000,47239000,-15684000,390000,2293000,-2596000,-15597000,53000,14953000,14724000,-820000,-820000,-1392000,-15035000,8342000,-57.99483,-0.47512,1.64382,121.0646,0.17659,-2.02205,-2.02205,0.23199,-0.8037,1.25268,1.221
"14","2014_Q1",34.172131147541,"Up",-22673000,-12669000,-10004000,10178000,-363000,-346000,-346000,260000,9815000.00000001,9970000,9970000,9970000,10196000,10196000,71639000,71639000,3567000,3567000,80515000,5478000,7730000,7730000,13208000,93723000,14520000,5051000,9469000,2394000,1403000,20069000,20744000,20744000,30896000,50965000,1933305000,-1879703000,45173000,42758000,93723000,9970000,363000,2939000,-2909000,10363000,-284000,-14918000,34797000,44876000,44876000,44463000,10541000,13307000,0.238460000000018,0.10879,4.01191,1.19194000000003,0.14198,0.77619,0.77619,3.43887,0.13274,-5.53382,-5.73118
"15","2014_Q2",30.0492063492063,"Down",-28929000,-16750000,-12179000,-27663000,-1533000,-464000,-464000,-5000,-29196000,-29196000,-29196000,-29196000,-29002000,-29002000,50601000,50601000,3798000,3798000,59925000,5148000,8213000,8213000,13361000,73286000,14147000,4604000,9543000,1436000,1436000,18110000,21090000,21090000,31951000,50061000,1942989000,-1908705000,25834000,23225000,73286000,-29196000,360000,9392000,-1345000,-20789000,-35000,-133000,-206000,-21030000,-21030000,-21038000,-27303000,13388000,-1.24874,-0.39574,3.30895,2.15548,0.18268,-2.04041,-2.04041,1.81753,-0.50261,1.36296,1.34523
"16","2014_Q3",25.99453125,"Down",-27809000,-13792000,-14017000,-26668000,-811000,-467000,-467000,-160000,-27479000,-27479000,-27479000,-27479000,-27399000,-27399000,33184000,33184000,3433000,3433000,42250000,5e+06,8006000,8006000,13006000,55256000,18350000,6444000,11906000,1292000,1292000,23794000,15381000,15381000,24779000,48573000,1953916000,-1936104000,9372000,6683000,55256000,-27479000,256000,5451000,4152000,-17620000,-23000,84000,84000.0000000075,-17559000,-17559000,-17417000,-26412000,13550000,-4.09981,-0.49586,1.77566,7.26814,0.24522,-1.89674,-1.89674,0.64879,-0.76933,0.74337,0.73624
"17","2014_Q4",23.11875,"Down",-31810000,-12562000,-16529000,7472000,-3112000,-472000,-472000,-2456000,4360000,4360000,4360000,4360000,4603000,4603000,29910000,29910000,20309000,2635000,55938000,4841000,7815000,7815000,12656000,68594000,21647000,6297000,15350000,1299000,1299000,28811000,15890000,15890000,23736000,52547000,1957696000,-1931501000,18979000,16047000,68594000,4360000,259000,3929000,-13538000,-4990000,-2e+05,-57000,-57000,-5247000,-5247000,-3274000,7731000,13711000,0.28684,0.0671,1.94155,3.27457,0.19989,0.31715,0.31292,1.30765,0.10084,-2.09533,-2.16796
"18","2015_Q1",22.505737704918,"Down",-35008000,-13137000,-21871000,-17515000,-2540000,-544000,-544000,-1814000,-20055000,-41914000,-41914000,-41914000,-41569000,-44194000,70933000,70933000,3379000,3379000,80505000,4646000,7136000,7136000,11782000,92287000,26090000,6356000,19734000,1236000,1236000,36340000,9106000,9106000,17469000,53809000,2023949000,-1975695000,41755000,38478000,92287000,-41914000,225000,25124000,20414000,3849000,-283000,208000,36205000,39771000,39771000,41023000,-17290000,17377000,-1.14855,-0.47888,2.21533,1.39844,0.18829,-2.72146,-2.75469,2.57126,-0.68032,3.09751,3.05772
"19","2015_Q2",19.3,"Down",-30021000,-12297000,-17471000,-27483000,-1402000,-494000,-494000,-728000,-28885000,-28885000,-28885000,-28885000,-28597000,-28597000,44395000,44395000,4209000,4209000,53467000,4391000,5212000,5212000,9603000,63070000,24886000,10279000,14607000,1203000,1203000,35383000,7627000,7627000,13570000,48953000,2028975000,-2004291000,17683000,14117000,63070000,-28885000,261000,4423000,198000,-24003000,-24000,-740000,-3037000,-27064000,-27064000,-26538000,-27222000,15237000,-2.02571,-0.45342,1.51109,3.46766,0.24159,-1.64411,-1.64411,1.01664,-0.77329,1.07112,1.06095
"20","2015_Q3",17.27734375,"Down",-31944000,-12624000,-19320000,-31027000,-1739000,-597000,-597000,185000,-32766000,-32766000,-32766000,-32766000,-32596000,-32596000,54864000,54864000,4512000,4512000,63863000,4148000,5447000,5447000,9595000,73458000,28620000,11180000,17440000,1653000,1653000,33097000,7089000,7089000,55889000,88986000,2031982000,-2036888000,-11792000,-15528000,73458000,-32766000,251000,3998000,3592000,-24925000,0,-8999.99999999988,35539000,10614000,10614000,10469000,-30776000,51624000,2.09918,-0.44374,1.92957,-5.73068,0.70277,-1.85777,-1.85777,-0.67207,-0.7548,0.10528,0.10443
"21","2015_Q4",13.3484375,"Down",-32086000,-13682000,-18404000,-31953000,-1143000,-1288000,-1288000,-18000,-33096000,-33096000,-33096000,-33096000,-32592000,-32592000,46355000,46355000,3968000,3968000,53339000,3950000,5843000,5843000,9793000,63132000,30836000,13381000,17455000,1352000,1352000,36488000,6810000,6810000,54161000,90649000,2053087000,-2069480000,-23278000,-27517000,63132000,-33096000,245000,6629000,2029000,-24193000,-7000,25000,15685000,-8515000,-8515000,-8509000,-31708000,51651000,1.18443,-0.51625,1.46182,-3.29429,0.81814,-1.85178,-1.85178,-1.32258,-1.05326,-0.16702,-0.16574
"22","2016_Q1",7.99,"Down",-36791000,-15359000,-21432000,-26203000,187000,275000,275000,-142000,-26016000,-26016000,-26016000,-26016000,-25637000,-28837000,128182000,128182000,3666000,3666000,134975000,3718000,5504000,5504000,9222000,144197000,32717000,10584000,22133000,2321000,2321000,72409000,5251000,5251000,24375000,96784000,2157300000,-2098317000,52031000,47413000,144197000,-26016000,233000,2064000,1637000,-22082000,-47000,285000,103830000,81701000,81701000,81827000,-25970000,56495000,-0.60821,-0.19998,1.86406,2.0413,0.39179,-1.26433,-1.26433,2.28124,-0.26417,2.76038,2.73583
"23","2016_Q2",4.58875,"Down",-32158000,-11312000,-20846000,4127000,-1136000,-714000,-714000,198000,2991000,2991000,2991000,2991000,3312000,3312000,104641000,104641000,5724000,5724000,113942000,3617000,5882000,5882000,9499000,123441000,36666000,17712000,18954000,2403000,2403000,46354000,5030000,5030000,22344000,68698000,2161013000,-2095005000,59683000,54743000,123441000,2991000,232000,-27339000,1056000,-23060000,-29000,-249000,-249000,-23338000,-23338000,-23541000,4359000,24599000,0.0605,0.02683,2.45808,1.25492,0.19928,0.11917,0.11907,2.14741,0.03925,-18.36247,-19.39472
"24","2016_Q3",3.64046875,"Down",-26268000,-9571000,-16697000,-19067000,-955000,-677000,-677000,-236000,-20022000,-20022000,-20022000,-20022000,-19766000,-19766000,76707000,76707000,9006000,2438000,88904000,3412000,5315000,5315000,8727000,97631000,31015000,14031000,16984000,2239000,2239000,40752000,4749000,4749000,20124000,60876000,2163174000,-2114771000,41952000,36755000,97631000,-20022000,210000,2277000,-8291000,-25826000,-79000,-35000.0000000001,-2113000,-28018000,-28018000,-27934000,-18857000,22873000,-0.53778,-0.20246,2.18159,1.65626,0.23428,-0.70694,-0.70694,1.50043,-0.30704,2.85484999999999,2.82341
"25","2016_Q4",4.14873015873016,"Up",-32934000,-15218000,-17716000,-28664000,-697000,-634000,-634000,-69000,-29361000,-29361000,-29361000,-29361000,-29183000,-29183000,61595000,61595000,3100000,1771000,67915000,3220000,5351000,5351000,8571000,76486000,36494000,13662000,22832000,2088000,2088000,46299000,4292000,4292000,17670000,63969000,2168237000,-2143954000,17891000,12517000,76486000,-29361000,194000,6374000,9568000,-13225000,-29000,-6000,-1820000,-15074000,-15074000,-15112000,-28470000,21095000,-2.33147,-0.38155,1.46688,5.11057,0.2758,-1.04218,-1.04218,0.63892,-0.76992,1.42255,1.41292
"26","2017_Q1",4.61564516129032,"Up",-13830000,-9205000,-9702000,-5558000,-1003000,-589000,-589000,-377000,-6561000,-6561000,-6561000,-6561000,-6372000,-6372000,44002000,44002000,9919000,2141000,55824000,3023000,4996000,4996000,8019000,63843000,31992000,7227000,24765000,705000,705000,40646000,4129000,4129000,15440000,56086000,2170300000,-2150326000,13319000,7757000,63843000,-6561000,195000,2706000,-10909000,-14569000,0,-35000,-3184000,-17753000,-17753000,-17593000,-5363000,19260000,-0.82145,-0.09981,1.37342,7.23037,0.30168,-0.22727,-0.22746,0.47505,-0.20458,4.61346,4.4516
"27","2017_Q2",3.89174603174603,"Down",-19941000,-10688000,-9253000,-19320000,-615000,-534000,-534000,-43000,-19935000,-19935000,-19935000,-19935000,-19828000,-19828000,33283000,33283000,1674000,1554000,36770000,2830000,5060000,5060000,7890000,44660000,32781000,11878000,20903000,923000,923000,41874000,3966000,3966000,13159000,55033000,2172061000,-2170154000,-4704000,-10373000,44660000,-19935000,193000,1715000,9327000,-8700000,0,-38000,-1972000,-10672000,-10672000,-10719000,-19127000,17363000,1.9115,-0.44398,0.87811,-5.30541,0.38878,-0.70701,-0.70701,-0.16773,-1.80978,0.83233,0.82402
"28","2017_Q3",3.33984126984127,"Down",-16876000,-7962000,-8914000,5270999.99999999,102000,-488000,-488000,657000,5373000,5373000,5373000,5373000,5398000,1048000,74740000,74740000,1636000,1377000,78363000,2642000,5327000,5327000,7969000,86332000,26089000,4013000,22076000,1955000,1955000,36463000,3942000,3942000,10949000,47412000,2219067000,-2169106000,44614000,38920000,86332000,5373000,189000,1023000,-5927000,657999.999999998,11000,-41000,41015000,41684000,41684000,41457000,5460000,15426000,0.0269299999999999,0.0121399999999999,2.14911,1.21819,0.17868,0.03303,0.03285,1.37191,0.0179799999999999,-10.86337,-11.25289
"29","2017_Q4",2.93095238095238,"Down",-13403000,-5802000,-7601000,-11767000,-232000,-457000,-457000,161000,-11999000,-11999000,-11999000,-11999000,-11974000,-11974000,52800000,52800000,3919000,1429000,57500000,2534000,5498000,5498000,8032000,65532000,16991000,2020000,14971000,1445000,1445000,26202000,3895000,3895000,10918000,37120000,2220448000,-2181080000,34131000,28412000,65532000,-11999000,159000,1266000,-10178000,-20752000,0,-13000,-1050000,-21802000,-21802000,-21940000,-11608000,14789000,-0.42144,-0.18272,2.19449,1.30649,0.22568,-0.27926,-0.27926,0.77058,-0.25425,3.27455,3.23031
"30","2018_Q1",3.51688524590164,"Up",-14081000,-6983000,-7098000,-13703000,-567000,-393000,-393000,42000,-14270000,-14270000,-14270000,-14270000,-14266000,-14266000,27218000,27218000,19706000,2428000,46924000,2365000,5597000,5597000,7962000,54886000,16478000,2588000,13890000,2336000,2336000,19258000,5963000,5963000,19538000,38796000,2223431000,-2195346000,21813000,16090000,54886000,-14270000,176000,2986000,606000,-10502000,-49000.0000000005,5000,986000.000000007,-9565000.00000001,-9565000.00000001,-9582000,-13527000,14019000,-0.88664,-0.25992,2.4366,2.41119,0.25542,-0.33075,-0.33211,0.50573,-0.39549,0.975750000000002,0.963219999999997
"31","2018_Q2",4.37625,"Up",-14723000,-5409000,-9685000,-4336000,301000,-288000,-288000,723000,-4035000,-4035000,-4035000,-4035000,-4021000,-4101000,104633000,104633000,2558000,1783000,107755000,2233000,5734000,5734000,7967000,115722000,16968000,2194000,14774000,2014000,2014000,20240000,5555000,5555000,18435000,38675000,2289035000,-2199447000,82784000,77047000,115722000,-4035000,152000,932000,528000,-2423000,-33000,-3000,64585000,62129000,62129000,61415000,-4184000,14138000,-0.05323,-0.03544,5.32386,0.50197,0.12217,-0.08151,-0.08151,1.64541,-0.04239,21.62882,20.87062
"32","2018_Q3",2.47587301587302,"Down",-14026000,-4865000,-9124000,-14001000,2657000,-297000,-297000,-1575000,-11344000,-11344000,-11344000,-11344000,-11336000,-11336000,92824000,65374000,2231000,1535000,95055000,2084000,5447000,5447000,7531000,102586000,17958000,3715000,14243000,1689000,1689000,22237000,5028000,5028000,16701000,38938000,2290075000,-2210783000,69394000,63648000,102586000,-11344000,150000,-2716000,1228000,-12682000,-27443000,-73000,-491000.000000015,-40616000,-40616000,-39259000,-13851000,14263000,-0.1781,-0.1105,4.27463,0.61177,0.13903,-0.19565,-0.19565,1.19767,-0.13668,5.67186,5.6111
"33","2018_Q4",1.64285714285714,"Down",-15379000,-5649000,-9730000,-14770000,-48000,492000,-308000,-46000,-14818000,-14818000,-14818000,-14818000,-14809000,-14809000,80916000,52911000,1384000,1115000,82300000,1938000,5391000,5391000,7329000,89629000,17745000,2078000,15667000,1329000,1329000,22997000,4800000,4800000,15270000,38267000,2292618000,-2225592000,57116000,51362000,89629000,-14818000,146000,2410000,192000,-12070000,-469000,9000,9000,-12530000,-12530000,-12463000,-14624000,14393000,-0.28833,-0.16523,3.57873,0.74504,0.16058,-0.25549,-0.25549,0.98537,-0.20989,4.54889,4.50393
"34","2019_Q1",1.05311475409836,"Down",-13522000,-5260000,-7928000,867999.999999998,637000,103000,-316000,665000,1505000,845000,845000,845000,846000,846000,67038000,36439000,15454000,1775000,82492000,1793000,5547000,5547000,7340000,89832000,17350000,4498000,12852000,893000,893000,23055000,4571000,4571000,13838000,36893000,2294083000,-2224746000,58694000,52939000,89832000,845000,145000,1350000,-14989000,-12649000,-2545000,-122000,-612000,-15806000,-15806000,-16472000,1013000,14079000,0.01598,0.00941999999999998,3.57805,0.6969,0.15673,0.01457,0.01457,1.01066,0.01182,-52.27937,-61.01267
"35","2019_Q2",0.922857142857143,"Down",-10378000,-5206000,-5172000,-9738000,-282000,86000,-294000,-238000,-10020000,-10814000,-10814000,-10814000,-10814000,-10814000,62250000,40593000,3333000,2512000,65583000,1653000,8531000,8531000,10184000,75767000,9650000,1116000,8534000,1754000,1754000,16216000,6900000,6900000,14964000,31180000,2295333000,-2234357000,50342000,44587000,75767000,-10814000,140000,1472000,5746000,-3456000,9e+06,-45000,-1378000,4166000,4166000,4154000,-9598000,12876000,-0.24254,-0.14273,4.04434,0.69931,0.16994,-0.18654,-0.18654,0.86837,-0.16802,5.1442,5.07024
"36","2019_Q3",0.76375,"Down",-11409000,-5053000,-6356000,-10993000,16999.9999999999,78000,-269000,69000,-10976000,-10976000,-10976000,-10976000,-10971000,-10971000,53661000,35364000,2973000,2617000,56634000,1516000,8093000,8093000,9609000,66243000,11346000,1095000,10251000,1823000,1823000,17981000,6416000,6416000,13277000,31258000,2296695000,-2245328000,40745000,34985000,66243000,-10976000,136000,1201000,2354000,-7285000,3390000,-1.45519152283669e-11,-1333000,-5228000,-5228000,-5229000,-10857000,11673000,-0.31359,-0.16562,3.14966,0.89347,0.17621,-0.18924,-0.18924,0.70283,-0.20671,3.86737,3.81952000000001
"37","2019_Q4",0.94765625,"Up",-12001000,-4403000,-7598000,-9712000,56000,36000,-240000,-240000,-9656000,-10047000,-10047000,-10047000,-10047000,-10047000,46732000,34917000,2935000,2798000,49667000,1381000,7534000,7534000,8915000,58582000,14001000,2965000,11036000,3448000,3448000,27919000,4472000,4472000,4472000,32391000,2297989000,-2255375000,31951000,26191000,58582000,-10047000,136000,1415000,2901000,-5595000,6503000,0,-1333000,-425000,-425000,-447000,-9576000,10470000,-0.38361,-0.1715,1.77897,1.23672,0.17872,-0.1733,-0.1733,0.55114,-0.24426,3.78676,3.73373
"38","2020_Q1",1.14596774193548,"Up",-9474000,-4493000,-4981000,-9474000,98000,-30000,-199000,128000,-9376000,-8186000,-8186000,-8186000,-8188000,-8188000,33666000,31144000,1914000,1914000,35580000,1235000,9465000,9465000,10700000,46280000,11606000,2324567.84470449,11606000,2070000,2070000,18488000,5407000,5407000,9862000,28350000,2299244000,-2275556000,23688000,17930000,46280000,-8186000,134000,-195000,-3239000,-11486000,9239000,-230000,-1563000,-3810000,-3810000,-3773000,-9340000,9267000,-0.45666,-0.17692,1.92449,1.58115,0.20024,-0.14123,-0.14123,0.40858,-0.25113,2.61231,2.57536
"39","2020_Q2",1.05650793650794,"Down",-11931000,-4467000,-3264000,-11931000,-125000,-48000,-167000,-77000,-12056000,-12186000,-12186000,-12186000,-12186000,-12186000,81149000,81149000,1490000,1490000,82639000,1102000,4240000,4240000,5342000,87981000,7470000,905000,6565000,2123000,2123000,14405000,4295000,4295000,7547000,21952000,2315884000,-2275749000,71787000,66029000,87981000,-12186000,133000,5329000,-3718000,-10442000,2500000,-658107.672884364,57947000,50005000,50005000,50005000,-11798000,8064000,-0.18456,-0.13851,5.73683,0.33246,0.09166,-0.1951,-0.1951,0.45055,-0.15546,6.19469,6.12564
"40","2020_Q3",1.27671875,"Up",-9996000,-3797000,-6199000,-9996000,-1e+05,-94000,-137000,-6000.00000000003,-10096000,-1.4e+07,-1.4e+07,-1.4e+07,-1.4e+07,-1.4e+07,70110000,70110000,1417000,1417000,71527000,969000,3916000,3916000,4885000,76412000,6754000,658000,6096000,2179000,2179000,13745000,3755000,3755000,5804000,19549000,2358605000,-2301742000,56863000,56863000,76412000,-1.4e+07,133000,4728000,-428000,-9567000,0,-990151.064464952,-1472000,-11039000,-11039000,-11039000,-9863000,6861000,-0.24621,-0.18322,5.20386,0.34379,0.08979,-0.19,-0.19,0.7717,-0.20747,6.41275,6.32743
"41","2020_Q4",3.32609375,"Up",-11046000,-4052000,-6994000,-11046000,-86000,-90000,-115000,4000,-11132000,-11263000,-11263000,-11263000,-11263000,-11263000,57412000,45301000,1276000,1276000,58688000,835000,3568000,3568000,4403000,63091000,5185000,191000,4994000,3676000,3676000,14519000,1753000,1753000,1753000,16272000,2359821000,-2313005000,46819000,46819000,63091000,-11263000,133000,1180000,-1426000,-11376000,-12100000,-883000,-1333000,-24809000,-24809000,-24809000,-10913000,5658000,-0.24056,-0.17852,4.04215,0.34755,0.08968,-0.15271,-0.15271,0.63482,-0.20769,4.74242,4.68532
