"","YQ","p","d","revenue","sales_services_revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",15.04296875,"Up",66108000,66108000,-60438000,-26990000,-14304000,-15209000,5670000,-39935000,-40262000,327000,-34265000,-17468000,-51733000,-51733000,-51733000,-42487000,-42487000,456852000,456852000,2157000,272613000,272613000,732887000,3241990000,1734654000,1734654000,4976644000,5709531000,238346000,19947000,218399000,46196000,25329000,20867000,284542000,3668286000,22609000,-19869000,3690895000,3975437000,821292000,1734094000,1734094000,5709531000,-51733000,14304000,-8702000,48398000,2267000,-465044000,-2535000,-1462172000,37828000,37560000,37560000,37560000,19974000,3668286000,0.08577,-0.64269,-0.0245,-0.00744,2.57567,2.29252,0.64248,-0.93282,-0.93282,1.45142,38.07263,-0.00783,160.78071,566.39048
"12","2013_Q3",15.44890625,"Up",67639000,67639000,-88065000,-38572000,-14354000,-31209000,-20426000,-41583000,-42016000,433000,-62009000,14999000,-47010000,-47010000,-47010000,-37862000,-37862000,355304000,355304000,11146000,551854000,551854000,945700000,4831351000,2234547000,2152785000,7065898000,8011598000,477573000,19882000,457691000,75678000,27281000,48397000,553251000,5572008000,-330999.999999996,-19831000,5571677000,6124928000,844350000,1886670000,1886670000,8011598000,-47010000,14354000,64811000,-59107000,-26952000,-806786000,-319830000,-1659244000,245234000,-101548000,-101548000,-101548000,-6072000,5572008000,-0.30199,-0.55977,-0.02007,-0.00473,1.70935,3.24642,0.69549,-0.66333,-0.66333,1.18501,33.05366,-0.00508,-859.14097,-255.39528
"13","2013_Q4",16.17296875,"Up",67445000,67445000,-90803000,-44957000,-14492000,-29867000,-23358000,-52415000,-52528000,113000,-75773000,-22335000,-98108000,-98108000,-98108000,-98352000,-98352000,339895000,339895000,14158000,247952000,247952000,623219000,5642872000,1304627000,1240318000,6947499000,7570718000,146527000,4739000,141788000,87351000,26585000,60766000,233878000,5574195000,-1334000,-19834000,5572861000,5806739000,788855000,1763979000,1763979000,7570718000,-98108000,14492000,85471000,6739000,8594000,-1170131000,-712000,-23291000,-23291000,-15409000,-15409000,-15409000,-8866000,5574195000,-0.34633,-1.45825,-0.05576,-0.01299,2.66472,3.29184,0.73628,-1.72309,-1.72309,1.18161,30.90417,-0.01341,-590.37898,-224.09025
"14","2014_Q1",16.2429508196721,"Up",66999000,66999000,-60914000,-30887000,-14336000,-12319000,6085000,-43370000,-43594000,224000,-37285000,-23981000,-61266000,-61266000,-61266000,-61266000,-61266000,351032000,351032000,10430000,251626000,251626000,613128000,6383939000,1519716000,1421593000,7903655000,8516783000,180198000,10146000,170052000,85689000,26593000,45612000,265887000,6576273000,-3337000,-20837000,6572936000,6838823000,746886000,1677960000,1677960000,8516783000,-61266000,14336000,119472000,-20787000,51755000,-678682000,-5723000,-1034895000,-34895000,11137000,11137000,11137000,20421000,6576273000,0.09082,-0.91443,-0.03651,-0.00719,2.30597,4.07568,0.77215,-1.07043,-1.07043,1.17059,29.31703,-0.00743,304.84506,1023.047
"15","2014_Q2",18.7060317460317,"Up",67221000,67221000,-62135000,-30519000,-14318000,-13650000,5086000,-40138000,-40270000,132000,-35052000,-34681000,-69733000,-69733000,-69733000,-69733000,-69733000,325342000,325342000,4072000,200677000,200677000,530091000,7028192000,814826000,743656000,7843018000,8373109000,127832000,4836000,122996000,72810000,26722000,46088000,200642000,6578350000,10644000,-5876000,6588994000,6789636000,700471000,1583473000,1583473000,8373109000,-69733000,14318000,12341000,42618000,-456000,-751808000,-480000,-24754000,-24754000,-25690000,-25690000,-25690000,19404000,6578350000,0.07566,-1.03737,-0.04404,-0.00833,2.64197,4.28781,0.78565,-1.22169,-1.22169,1.17768,27.74178,-0.00853,322.25356,1229.45497
"16","2014_Q3",18.95109375,"Up",67328000,67328000,-75054000,-27206000,-14722000,-29092000,-7726000,-43985000,-43789000,-196000,-51711000,-174513000,-226224000,-226224000,-226224000,-226224000,-226224000,307487000,307487000,5800000,372915000,372915000,686202000,7815072000,2211166000,2190930000,10026238000,10712440000,309573000,27221000,282352000,71924000,26639000,45285000,381497000,8987850000,10598000,-4902000,8998448000,9379945000,605442000,1332495000,1332495000,10712440000,-226224000,14722000,264794000,-45902000,7390000.00000001,-553698000,-1540999.99999994,-2431204000,-23704000,-17855000,-17855000,-17855000,6996000,8987850000,-0.11475,-3.36003,-0.16977,-0.02112,1.79871,7.03938,0.83901,-3.96335,-3.96335,1.17956,23.34475,-0.0219,1240.76086,-1123.52615
"17","2014_Q4",17.99546875,"Down",67590000,67590000,-69710000,-26902000,-14781000,-26315000,-2120000,-46757000,-46884000,127000,-48877000,5637000,-43240000,-43240000,-43240000,-43240000,-43240000,252648000,252648000,13239000,417404000,417404000,702960000,8463022000,1507160000,1474999000,9970182000,10673142000,339253000,10401000,328852000,69084000,26639000,42445000,408337000,8989760000,10518000,-3982000,9000278000,9408615000,567282000,1264527000,1264527000,10673142000,-43240000,14781000,1064000,-2161000,-29556000,-662743000,-575000,-24708000,-24708000,-54839000,-54839000,-54839000,12661000,8989760000,-0.03137,-0.63974,-0.03419,-0.00405,1.72152,7.44042,0.84228,-0.75755,-0.75755,1.18415,22.15398,-0.00421,690.08072,-4121.27925
"18","2015_Q1",18.3570491803279,"Up",66559000,63601000,-61626000,-30549000,-14780000,-15219000,5275000,-45935000,-46089000,154000,-40660000,-30179000,-70839000,-70839000,-70839000,-70839000,-70839000,248830000,248830000,7786000,225920000,225920000,486520000,8978356000,922639000,910895000,9900995000,10387515000,145176000,8598000,136578000,69580000,27363000,18970000,214756000,8991333000,12481000,-1019000,9003814000,9218570000,520531000,1168945000,1168945000,10387515000,-70839000,14780000,-29004000,-29359000,-114422000,-677304000,-2681837000,2279900000,2279900000,-516359000,-516359000,-516359000,20055000,8991333000,0.07925,-1.0643,-0.0606,-0.00682,2.26545,7.88623,0.86559,-1.24107,-1.24107,1.16609,20.47942,-0.00696,435.92635,1657.34654
"19","2015_Q2",19.424126984127,"Up",67530000,67530000,-76659000,-25112000,-14879000,-35313000,-9822000,-42724000,-42845000,121000,-52546000,-126130000,-178676000,-178676000,-178676000,-178676000,-178676000,171464000,171464000,16281000,298490000,298490000,512432000,9534951000,2201570000,2201098000,11736521000,12248953000,212840000,8379000,204461000,51432000,26653000,17527000,264272000,10992229000,26937000,14437000,11019166000,11283438000,440272000,965515000,965515000,12248953000,-178676000,14879000,114611000,-3238000,-52424000,-542114000,-188000,-2024754000,-24754000,-77366000,-77366000,-77366000,5057000,10992229000,-0.14545,-2.64588,-0.18506,-0.01459,1.93903,11.68645,0.8974,-3.13027,-3.13027,1.18308,16.91512,-0.01491,2139.75974,-1101.68652
"20","2015_Q3",17.93109375,"Down",67689000,67689000,-71916000,-37553000,-15991000,-16799000,-4318000,-49913000,-50148000,235000,-54231000,-5812000,-60043000,-60043000,-60043000,-60043000,-60043000,194914000,194914000,12462000,414488000,414488000,624358000,10511970000,1172209000,1171783000,11684179000,12308537000,322819000,10527000,312292000,85489000,27379000,50271000,408308000,10993119000,26435000,14935000,11019554000,11427862000,396873000,880675000,880675000,12308537000,-60043000,15991000,17126000,81930000,55004000,-885489000,-6800000.00000024,-24754000.0000005,-24754000,23450000.0000001,23450000.0000001,23450000.0000001,11673000,10993119000,-0.06379,-0.88704,-0.06818,-0.00488,1.52913,12.97625,0.89313,-1.05191,-1.05191,1.18586,15.42878,-0.00505,925.05825,-2500.74224
"21","2015_Q4",16.27015625,"Down",67537000,64585000,-63390000,-29365000,-16687000,-17073000,35921000,-49181000,-49360000,179000,-13260000,-10872000,-24132000,-24132000,-24132000,-24132000,-24132000,170433000,170433000,7145000,462545000,462545000,642784000,11299725000,604823000,574166000,11904548000,12547332000,359553000,7096000,352457000,67867000,27361000,33118000,427420000,11244002000,44219000,24887000,11288221000,11715641000,364637000,831691000,831691000,12547332000,-24132000,16687000,129327000,-125409000,-3527000,-703356000,3799000,-274753000,-24753000,-24481000,-24481000,-24481000,52608000,11244002000,0.53187,-0.35732,-0.02902,-0.00192,1.50387,14.08653,0.89613,-0.42277,-0.42277,1.18318,14.57036,-0.00199,210.49211,308.27563
"22","2016_Q1",15.8218032786885,"Down",67244000,59196000,-86035000,-44970000,-18443000,-21815000,-18781000,-42182000,-42647000,465000,-60963000,4814000,-56149000,-56149000,-56149000,-56149000,-56149000,146221000,146221000,16667000,328575000,328575000,493475000,11931602000,408076000,377772000,12339678000,12833153000,240699000,16407000,224292000,148939000,27386000,115123000,2063017000,10018325000,1451000,-10933000,10019776000,12082793000,322325000,750360000,750360000,12833153000,-56149000,18443000,-169064000,36717000,-170053000,-782041000,-2971811000,2055261000,2665261000,-476603000,-476603000,-476603000,-337999.999999993,11691704000,-0.2793,-0.835,-0.07483,-0.00438,0.2392,16.10266,0.91105,-0.98233,-0.98233,1.17644,13.12759,-0.00451,-34158.23373,-614.742719999999
"23","2016_Q2",18.7821875,"Up",6.7e+07,6.5e+07,-7.3e+07,-2.5e+07,-1.9e+07,-2.9e+07,-1e+07,-4.3e+07,-4.3e+07,1153188.91067867,-5.3e+07,-2.2e+07,-7.5e+07,-7.5e+07,-7.5e+07,-7.5e+07,-7.5e+07,9815000,9815000,28543000,449314000,449314000,502216000,12713379000,435450000,407240000,13148829000,13651045000,349419000,17131000,332288000,117456000,27386000,78252000,2252193000,10734069000,15926000,-8784000,10749995000,13002188000,273753000,648857000,648857000,13651045000,-7.5e+07,1.9e+07,2.7e+07,2.3e+07,-6e+06,-7.15e+08,-7.49e+08,-7.3e+07,7.47e+08,-8e+06,-8e+06,-8e+06,9e+06,12519387000,-0.14925,-1.1194,-0.11559,-0.00549,0.22299,20.0386,0.9171,-1.31349,-1.31349,1.17338,11.36352,-0.00569,1389.95244,-1250.9572
"24","2016_Q3",18.13796875,"Down",1.51e+08,1.5e+08,-8.9e+07,-2.5e+07,-2.9e+07,-3.5e+07,1.3e+07,-7.1e+07,-7.2e+07,1e+06,-5.8e+07,-4.2e+07,-1e+08,-1e+08,-1e+08,-1e+08,-1e+08,12262000,12262000,48331000,513718000,513718000,645986000,13223191000,389673000,369201000,13612864000,14258850000,371897000,35581000,336316000,130772000,27426000,87403000,2164926000,11543524000,32553000,-1851000,11576077000,13741003000,216098000,517847000,517847000,14258850000,-1e+08,2.9e+07,5.6e+07,-7.7e+07,-9.2e+07,-5.09e+08,-5.14e+08,-47000000.0000002,6.56e+08,50000000.0000001,50000000.0000001,50000000.0000001,4.2e+07,13205781000,0.08609,-0.66225,-0.19311,-0.00701,0.29839,26.53487,0.92615,-1.75131,-1.75131,2.64448,9.06912,-0.00727,314.131400000001,1014.88608
"25","2016_Q4",18.8093650793651,"Up",3.31e+08,3.29e+08,-1.23e+08,-2.7e+07,-4.4e+07,-5.2e+07,4.8e+07,-1.14e+08,-1.14e+08,0,-6.6e+07,-1.6e+07,-8.2e+07,-8.2e+07,-8.2e+07,-8.2e+07,-8.2e+07,12469000,12469000,60520000,627658000,627658000,808392000,13788657000,345544000,334297000,14134201000,14942593000,407681000,20333000,387348000,141952000,27426000,101819000,2312337000,12195743000,43726000,20725000,12239469000,14551806000,159923000,390787000,390787000,14942593000,-8.2e+07,4.4e+07,3.1e+07,6.3e+07,5.6e+07,-6.6e+08,-6.6e+08,-4.3e+07,7.23e+08,1.19e+08,1.19e+08,1.19e+08,9.2e+07,13958447000,0.14502,-0.24773,-0.20983,-0.00549,0.3496,37.23718,0.93414,-1.43608,-1.43608,5.79685,6.84391,-0.0057,151.58672,290.54121
"26","2017_Q1",20.7720967741935,"Up",5.51e+08,5.48e+08,-1.53e+08,-2.6e+07,-6.4e+07,-6.3e+07,1.99e+08,-1.27e+08,-1.28e+08,1e+06,7.2e+07,1.4e+07,8.6e+07,8.6e+07,8.6e+07,8.6e+07,8.6e+07,0,0,9.7e+07,6.72e+08,6.72e+08,9.58e+08,1.4158e+10,4.26e+08,3.43e+08,1.4584e+10,1.5542e+10,4.45e+08,2.7e+07,4.18e+08,1.87e+08,7.4e+07,9.9e+07,8.56e+08,1.4209e+10,9.6e+07,8.9e+07,1.4305e+10,1.5161e+10,1.41e+08,3.81e+08,3.81e+08,1.5542e+10,8.6e+07,6.4e+07,-6.7e+07,-4.1e+07,4.2e+07,-4.31e+08,-4.3e+08,-6.5e+07,3.98e+08,9999999.99999994,9999999.99999994,9999999.99999994,2.63e+08,1.4433e+10,0.36116,0.15608,0.22572,0.00553,1.11916,39.79265,0.92864,1.50613,1.50613,9.64974,6.6725,0.00577,54.8783300000002,72.5276399999999
"27","2017_Q2",21.771746031746,"Up",8.91e+08,8.88e+08,-1.59e+08,-2.5e+07,-6.6e+07,-6.8e+07,2.19e+08,-1.3e+08,-1.3e+08,0,8.9e+07,-4.2e+07,4.7e+07,4.7e+07,4.7e+07,4.7e+07,4.7e+07,0,0,8.7e+07,8.5e+08,8.5e+08,1.127e+09,1.4636e+10,1.329e+09,1.285e+09,1.5965e+10,1.7092e+10,4.61e+08,3.5e+07,4.26e+08,1.16e+08,8.3e+07,2.9e+07,5.77e+08,1.602e+10,3.27e+08,3.22e+08,1.6347e+10,1.6924e+10,6.1e+07,1.68e+08,1.68e+08,1.7092e+10,4.7e+07,6.6e+07,7.8e+07,-7.6e+07,1.15e+08,-5.24e+08,-5.24e+08,-5.1e+07,1.56e+09,1.151e+09,1.151e+09,1.151e+09,2.85e+08,1.602e+10,0.24579,0.05275,0.27976,0.00275,1.95321,100.7381,0.93728,0.82312,0.82312,15.6042,2.94221,0.00285,56.21053,73.15068
"28","2017_Q3",19.9887301587302,"Down",9.92e+08,9.9e+08,-2.15e+08,-2.5e+07,-8.6e+07,-1.03e+08,2e+08,-1.51e+08,-1.54e+08,3e+06,4.9e+07,-3e+06,4.6e+07,4.6e+07,4.6e+07,4.6e+07,4.6e+07,-2.3283064365387e-10,-2.3283064365387e-10,9.3e+07,9.44e+08,9.44e+08,1.216e+09,1.4922e+10,1.025e+09,9.82e+08,1.5947e+10,1.7163e+10,5.11e+08,4.4e+07,4.67e+08,1.12e+08,6.6e+07,4.4e+07,6.23e+08,1.6025e+10,1.121e+09,1.117e+09,1.7146e+10,1.7769e+10,-1.86e+08,-6.06e+08,-6.06e+08,1.7163e+10,4.6e+07,8.6e+07,1e+07,6.7e+07,2.09e+08,-3.74e+08,-3.74e+08,-2.8e+07,-2.8e+07,-1.93e+08,-1.93e+08,-1.93e+08,2.86e+08,1.6025e+10,0.20161,0.04637,-0.07591,0.00268,1.95185,-29.32178,0.93369,0.8056,0.8056,17.37303,-10.61296,0.00278,56.0314700000001,80.125
"29","2017_Q4",19.757619047619,"Down",9.03e+08,8.99e+08,-2.16e+08,-2.3e+07,-8.7e+07,-1.05e+08,1.97e+08,-1.5e+08,-1.53e+08,3e+06,4.7e+07,-2.4e+07,2.3e+07,2.3e+07,2.3e+07,2.3e+07,2.3e+07,0,0,7.7e+07,1.487e+09,1.487e+09,1.754e+09,1.5097e+10,3.4e+08,3.03e+08,1.5437e+10,1.7191e+10,4.43e+08,2.4e+07,4.19e+08,1.94e+08,1.35e+08,5.5e+07,6.37e+08,1.604e+10,2.9e+07,2.5e+07,1.6069e+10,1.6706e+10,1.571e+09,4.85e+08,4.85e+08,1.7191e+10,2.3e+07,8.7e+07,4.6e+07,3.3e+07,1.89e+08,-2.97e+08,-2.97e+08,-4.2e+07,-1.2e+07,-1.2e+08,-1.2e+08,-1.2e+08,2.84e+08,1.604e+10,0.21816,0.02547,0.04742,0.00134,2.75353,34.44536,0.93305,0.09304,0.09304,3.65291,1.96197,0.00139,56.47887,81.42132
"30","2018_Q1",21.3686885245902,"Up",1.518e+09,1.507e+09,-2.38e+08,-1.9e+07,-1e+08,-1.18e+08,5.4e+08,-1.72e+08,-1.77e+08,5e+06,3.68e+08,6e+06,3.74e+08,3.74e+08,3.74e+08,3.74e+08,3.74e+08,-5.82076609134674e-11,-5.82076609134674e-11,9.5e+07,1.69e+09,1.69e+09,2.139e+09,1.5139e+10,2.75e+08,2.44e+08,1.5414e+10,1.7553e+10,6.49e+08,1.2e+07,6.37e+08,1.8e+08,1.12e+08,6.8e+07,8.29e+08,1.6046e+10,3.9e+07,36000000.0000001,1.6085e+10,1.6914e+10,1.682e+09,6.39e+08,6.39e+08,1.7553e+10,3.74e+08,1e+08,-1.9e+07,9e+06,4.64e+08,-9.5e+07,-9.5e+07,-2.23e+08,-2.23e+08,1.46e+08,1.46e+08,1.46e+08,6.4e+08,1.6046e+10,0.35573,0.24638,0.58529,0.02131,2.58022,26.46948,0.91415,1.06069,1.06069,4.30516,1.81225,0.02236,25.07188,29.71481
