"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",102.51796875,"Down",78069000,-54690000,23379000,-47224000,-47224000,-23845000,-3417000,-2771000,-27262000,-27262000,-3e+05,-27562000,-27562000,-27562000,-27562000,165579000,165361000,64985000,64985000,52052000,62982000,31916000,345598000,16236000,125022000,68339000,48489000,4132000,148258000,493856000,98627000,30402000,49974000,30725000,30725000,187262000,95600000,33243000,23063000,128843000,316105000,0,202806000,-20273000,-4782000,177751000,177751000,493856000,-27562000,3728000,1041000,17116000,-5677000,-1982000,-3936000,-14347000,-23960000,-23960000,-23960000,-20117000,153510000,-4683000,0.29947,-0.30543,-0.35305,-0.15506,-0.05581,0.16991,1.84553,1.77836,0.31084,-12.60092,-12.60092,35.69195,81.26503,-2.141,-0.07137,-0.01285,0.59994,0.50614
"12","2013_Q3",64.874375,"Down",106232000,-103994000,2237999.99999999,-46526000,-46526000,-44288000,-2730000,-1924000,-47018000,-47018000,145000,-46873000,-46873000,-46873000,-46873000,69937000,69717000,94915000,94915000,56674000,58637000,27571000,280163000,14956000,119968000,66352000,48502000,3068000,141924000,422087000,135357000,56033000,61243000,27776000,27776000,163133000,96283000,33163000,22983000,129446000,292579000,5.16987882845642e-26,202990000,-68683000,-4799000,129508000,129508000,422087000,-46873000,3860000,3605999.99999999,4494999.99999999,-34912000,-3927000,-1285000,-59447000,-95644000,-95644000,-95644000,-40428000,96283000,-40005000,0.02107,-0.4169,-0.44123,-0.36193,-0.11105,0.85348,1.71739,2.25916,0.22811,-21.38367,-21.38367,48.4635,59.08212,-18.25046,-0.17507,-0.15449,-0.65168,-0.594880000000005
"13","2013_Q4",59.96875,"Down",310894000,-219499000,91395000,-51742000,-51742000,39653000,-2778000,-2206000,36875000,36875000,-278000,36597000,36597000,36597000,36597000,51739000,51519000,257965000,257965000,59119000,54716000,23650000,423539000,12094000,114461000,61962000,44735000,6335000,133555000,557094000,192987000,89780000,85235000,35307000,35307000,228294000,137826000,26621000,16441000,164447000,392741000,0,200327000,-32086000,-3888000,164353000,164353000,557094000,36597000,9314000,2728000,-98472000,-49833000,-2062000,-3186000,34821000,-18198000,-18198000,-18198000,48967000,137826000,-51289000,0.29397,0.12755,0.11772,0.22267,0.06569,-1.40145,1.85523,2.38962,0.2474,16.69571,10.67497,141.8312,74.97856,-23.39827,0.1113,-0.15599,1.75806,2.17101
"14","2014_Q1",65.5475409836066,"Up",137730000,-98963000,38767000,-54819000,-54819000,-16052000,-3838000,-2714000,-19890000,-13890000,-2178000,-16068000,-16068000,-16068000,-16068000,117291000,117071000,101223000,101223000,46784000,55634000,27673000,320932000,11096000,110816000,59747000,44876000,6175000,128912000,449844000,115123000,25275000,69086000,31374000,31374000,184595000,1e+08,16564000,9618000,116564000,301159000,0,200688000,-48154000,-3849000,148685000,148685000,449844000,-16068000,7697000,-6295000,82824000,68158000,-2158000,-2346000,-194000,65618000,65618000,65618000,-8355000,138098000,74489000,0.28147,-0.11655,-0.11666,-0.10807,-0.03572,-4.63586,1.73857,2.02548,0.30699,-6.95975999999999,-14.98322,59.65695,64.40204,32.26448,-0.0529700000000001,0.24556,-2.49037,-1.29622
"15","2014_Q2",81.5930158730159,"Up",82510000,-58955000,23555000,-38479000,-38479000,-14924000,-1865000,-2179000,-16789000,-16789000,484000,-16305000,-16305000,-16305000,-16305000,113575000,113355000,65367000,65367000,42203000,61198000,32590000,282343000,10842000,110592000,58175000,44936000,7481000,128434000,410777000,89402000,21338000,46615000,24426000,24426000,161926000,1e+08,16351000,9982000,116351000,278277000,0,200965000,-64459000,-4006000,132500000,132500000,410777000,-16305000,3314000,-1274000,3215000,-11050000,-1195000,-859000,8410000,-3499000,-3499000,-3716000,-11610000,148098000,-10074000,0.28548,-0.18088,-0.19761,-0.12306,-0.03969,0.61785,1.74365,2.1002,0.36053,-7.41035,-7.41035,37.49943,60.21906,-4.57847,-0.05491,-0.03393,-2.97356,-2.31325
"16","2014_Q3",70.5859375,"Down",124172000,-86354000,37818000,-42637000,-42637000,-4819000,-2953000,-2953000,-7772000,-7772000,-1281000,-9053000,-9053000,-9053000,-9053000,162933000,162713000,109342000,109342000,65148000,62637000,34676000,400060000,14277000,112778000,55941000,45093000,11744000,134055000,534115000,141713000,60550000,57998000,21267000,21267000,201613000,2.15e+08,17048000,10102000,232048000,433661000,0,177326000,-73512000,-3360000,100454000,100454000,534115000,-9053000,4188000,3383000,-20100000,-21582000,-5702000,-5217000,76157000,49358000,49358000,49358000,-631000,253633000,-25152000,0.30456,-0.03881,-0.07291,-0.09012,-0.01695,2.77831,1.9843,4.31701,0.47487,-4.25503,-4.25503,58.36247,47.2147,-11.82177,-0.02439,-0.06777,-143.7401,-18.82133
"17","2014_Q4",70.171875,"Down",349362000,-254625000,94737000,-50925000,-50925000,43812000,1995000,-3937000,45807000,45807000,-1738000,44069000,44069000,44069000,44069000,88837000,88617000,304338000,304338000,88776000,57652000,29691000,539603000,10552000,108601000,52853000,44776000,10972000,126153000,665756000,221419000,115623000,80366000,28878000,28878000,289202000,2.15e+08,16920000,9974000,231920000,521122000,0,177685000,-29443000,-3608000,144634000,144634000,665756000,44069000,8632000,835000,-126084000,-72548000,-1817000,-1853000,-12000,-74413000,-74413000,-74096000,52444000,253905000,-73719000,0.27117,0.12541,0.12614,0.30469,0.06619,-1.67281,1.86583,3.60304,0.38138,23.32063,9.76014,184.87696,76.53807,-39.01095,0.10607,-0.17744,3.14751,3.76764
"18","2015_Q1",64.7950819672131,"Down",254016000,-174319000,79697000,-72439000,-72439000,7258000.00000001,-9212000,-3280000,-1953999.99999999,3978000,-1180000,2798000,2798000,2798000,2798000,71745000,71525000,234516000,234516000,78827000,52505000,25139000,437593000,11096000,106093000,51212000,44492000,10389000,124189000,561782000,166871000,56113000,86974000,24477000,24477000,191348000,2.15e+08,10350000,4370000,225350000,416698000,-2.11758236813575e-22,202074000,-26645000,-6835000,144594000,145084000,561782000,2798000,2837000,-5158000,25773000,26250000,-1810000,-5029000,-38597000,-17376000,-17376000,-17476000,10095000,2.15e+08,35238000,0.31375,0.02857,0.01102,0.01929,0.00498,12.594,2.2869,2.87212,0.38271,1.29441,0.360410000000002,117.51295,66.89212,16.30181,0.00755,0.0951299999999999,14.19069,19.73753
"19","2015_Q2",76.6746031746032,"Up",114201000,-78823000,35378000,-39577000,-39577000,-4199000,-2955000,-2955000,-7154000,-7154000,-427000,-7581000,-7581000,-7581000,-7581000,105318000,105098000,104318000,104318000,79474000,57535000,30169000,346645000,13105000,103586000,49523000,44212000,9851000,123691000,470336000,94846000,24235000,44527000,17590000,17590000,112436000,2.15e+08,7293000,1313000,222293000,334729000,0,202563000,-34226000,-9220000,135117000,135607000,470336000,-7581000,3313000,504000,42552000,38788000,-3084000,-5480000,-15000,33293000,33293000,33573000,-886000,2.15e+08,39009000,0.30979,-0.03677,-0.06638,-0.0559,-0.01612,-5.14563,3.08304,2.46838,0.45712,-3.97119,-3.97119,59.82242,70.77894,20.43426,-0.02118,0.10899,-123.79458,-26.12098
"20","2015_Q3",93.9875,"Up",131106000,-91819000,39287000,-42295000,-42295000,-3008000,-1406000,-3090000,-4414000,-4414000,-1313000,-5727000,-5727000,-5680000,-5680000,110489000,110269000,117148000,117148000,91887000,63439000,36073000,382963000,19315000,101427000,47369000,44567000,9491000,127742000,510705000,134339000,59221000,49810000,16601000,16601000,150940000,2.15e+08,12088000,6101000,227088000,378028000,0,203018000,-39906000,-6878000,132234000,132677000,510705000,-5727000,3528000,1516000,12145000,11462000,-8103000,-5763000,-172999.999999996,5526000,5526000,5170999.99999999,520000.000000002,2.15e+08,5875000,0.29966,-0.02294,-0.04332,-0.04281,-0.01112,-1.03433,2.53719,2.84924,0.42099,-2.97258,-2.97258,68.61315,69.20347,3.07463,-0.01579,0.01633,200.98269,-34.74435
"21","2015_Q4",81.4140625,"Down",337027000,-232698000,104329000,-59701000,-59701000,44628000,2611000,-3091000,47239000,47239000,-1375000,45864000,45864000,45845000,45845000,81211000,81211000,292861000,292861000,81404000,58049000,30683000,513525000,18604000,100428000,46305000,44344000,9779000,126032000,639557000,190331000,94631000,70903000,26616000,26616000,241947000,2.15e+08,12410000,6430000,227410000,469357000,0,203526000,5939000,-8739000,169738000,170200000,639557000,45864000,7379000,868000,-95493000,-41382000,-3167000,-5911000,18012000,-29281000,-29281000,-29058000,52007000,2.4e+08,-45278000,0.30956,0.13242,0.13603,0.26936,0.07168,-0.98763,2.12247,2.75768,0.37526,24.7023,10.77135,181.59761,91.45859,-24.39679,0.10848,-0.10714,3.05322,3.55806
"22","2016_Q1",71.8360655737705,"Down",163407000,-113832000,49575000,-56466000,-56466000,-6891000,-7829000,-3204000,-14720000,-9078000,-308000,-9386000,-9386000,-9330000,-9330000,102528000,102528000,163387000,163387000,60544000,55909000,31901000,382368000,18435000,91817000,44493000,44199000,3125000,117252000,499620000,110134000,34986000,54081000,17267000,17267000,127401000,209166000,9647000,7354000,218813000,346214000,0,194764000,-3391000,-10051000,1.53e+08,153406000,499620000,-9386000,4640000,-6225000,67903999.9999999,56933000,-3486000,-4555000,-31206000,21172000,21172000,21024000,-2251000,209166000,62475000,0.30338,-0.04217,-0.0571,-0.06082,-0.01867,-6.69614,3.0013,2.25685,0.41865,-4.44646,-1.00839,77.8759,72.91617,29.7741,-0.0250700000000001,0.16784,-47.37361,-15.47497
"23","2016_Q2",75.0953125,"Up",95809000,-64626000,31183000,-44999000,-44999000,-13816000,-3135000,-3210000,-16951000,-16951000,-432000,-17383000,-17383000,-17415000,-17415000,118914000,118914000,85471000,85471000,53470000,56920000,32912000,314775000,19860000,88936000,42081000,44024000,2831000,115796000,430571000,74729000,28132000,24856000,13104000,13104000,87833000,207797000,9701000,7502000,217498000,305331000,0,180383000,-20806000,-10775000,124802000,125240000,430571000,-17383000,4037000,1253000,45469000,33376000,-3816000,-3816000,-12625000,16935000,16935000,16935000,-9779000,207797000,32306000,0.32547,-0.1442,-0.18177,-0.13905,-0.04045,-1.85507,3.58379,2.43797,0.48261,-10.11442,-10.11442,55.64467,72.48345,18.76292,-0.05081,0.09426,-9.08917,-6.43334
"24","2016_Q3",89.590625,"Up",140977000,-96177000,44800000,-45900000,-45900000,-1100000,-2341000,-3202000,-3441000,-3441000,-704000,-4145000,-4145000,-4369000,-4369000,86693000,86693000,132892000,132892000,71468000,61470000,28102000,352523000,24100000,86269000,39979000,43631000,2659000,117369000,469892000,127092000,73717000,31449000,8960000,8960000,136052000,207526000,9795000,7498000,217321000,353373000,0,179442000,-25175000,-13709000,115857000,116519000,469892000,-4145000,4655000,1083000,-16259000,-14666000,-2294000,-2294000,-2786000,-19746000,-19746000,-19746000,3555000,207526000,-14294000,0.31778,-0.0078,-0.03099,-0.0375,-0.0093,3.27169,2.59109,3.03275,0.44165,-2.6637,-2.6637,85.9511,70.6359,-8.71479,-0.01309,-0.04282,33.98959,-109.84818
"25","2016_Q4",69.3015873015873,"Down",302791000,-207858000,94933000,-60520000,-60520000,34413000,-2801000,-3008000,31612000,31612000,-1083000,30529000,30529000,30612000,30612000,45475000,45475000,272257000,272257000,75064000,53883000,27761000,446679000,22698000,83746000,37861000,43462000,2423000,113444000,560123000,182726000,102577000,57358000,16379000,16379000,199105000,207933000,9800000,7535000,217733000,416838000,0,177346000,5437000,-16077000,142706000,143285000,560123000,30529000,8206000,697000,-78804000,-39372000,-5129000,-5329000,-1564000,-46265000,-46265000,-46265000,42619000,207933000,-40231000,0.31353,0.11365,0.1011,0.21364,0.05465,-1.31422,2.24343,2.90915,0.37123,19.08003,7.74909,188.72538,88.94665,-25.07542,0.08479,-0.11144,3.81187,4.72083
"26","2017_Q1",53.2983870967742,"Down",167026000,-114921000,52105000,-54496000,-54496000,-2391000.00000001,-3453000,-3504000,-5844000,-5844000,-1908000,-7752000.00000001,-7752000.00000001,-7585000.00000001,-7585000.00000001,86064000,86064000,173599000,173599000,75435000,18281000,17077000,353379000,22841000,81083000,35719000,43208000,2156000,110924000,464303000,90386000,51741000,38645000,16424000,16424000,116810000,203007000,9286000,7252000,212293000,329103000,0,177643000,-2148000,-17207000,134288000,135200000,464303000,-7752000.00000001,6046000,790000,38301000,37385000,-3826000,-3626000,5020000,38779000,38779000,38779000,3654999.99999999,213007000,40038000,0.31196,-0.01432,-0.04541,-0.0560999999999999,-0.01634,-5.27858,3.02525,2.43419,0.45877,-4.59586,-4.55146,101.20334,81.36694,24.25957,-0.02122,0.112,34.73133,-53.09201
"27","2017_Q2",45.6626984126984,"Down",94505000,-64484000,30021000,-45745000,-45745000,-15724000,-2905000,-2928000,-18629000,-18629000,344000,-18285000,-18285000,-18316000,-18316000,57456000,57456000,98491000,98491000,67466000,44153000,31832000,267566000,22617000,79158000,33584000,43268000,2306000,108775000,376341000,48779000,30135000,18644000,10551000,10551000,69330000,164554000,9191000,7157000,173745000,243075000,0,193463000,-20464000,-16676000,132323000,133266000,376341000,-18285000,4380000,1583000,22253000,9931000,-4367000,-4367000,-24064000,-18500000,-18500000,-18500000,-11344000,174554000,6198000,0.31767,-0.16638,-0.19381,-0.13744,-0.04867,-0.33839,3.85931,1.82398,0.46382,-10.1171,-10.1171,52.20117,73.09048,3.42355,-0.05778,0.01955,-10.32246,-7.44709
"28","2017_Q3",33.9285714285714,"Down",119565000,-85846000,33719000,-47827000,-47827000,-14108000,-2263000,-2527000,-16371000,-16371000,-316000,-16687000,-16687000,-16742000,-16742000,64098000,64098000,110477000,110477000,81220000,33622000,27480000,289417000,24527000,77434000,31469000,43475000,2490000,108961000,398378000,89393000,67003000,22390000,9056000,9056000,98449000,152975000,7978000,5944000,160953000,259402000,0,213925000,-37206000,-14741000,137978000,138976000,398378000,-16687000,5733000,4016000,10246000,3308000,-3220000,-3220000,-2251000,-2163000,-2163000,-2163000,-8375000,152975000,-1032999.99999999,0.28201,-0.11799,-0.14002,-0.12047,-0.04203,0.0616999999999996,2.93977,1.86652,0.38399,-7.74519,-7.74519,55.31319,63.83142,-0.477890000000004,-0.05582,-0.00344,-10.61218,-6.29975999999999
"29","2017_Q4",27.731746031746,"Down",262413000,-200632000,61781000,-55991000,-55991000,5790000,-1905000,-2015000,3885000,-16651000,-918000,-17569000,-17569000,-17614000,-17614000,45411000,45411000,224103000,224103000,80144000,21660000,16490000,371318000,20626000,61318000,23866000,35344000,2108000,81944000,453262000,153316000,98392000,54924000,34005000,34005000,189321000,132231000,7848000,5815000,140079000,329400000,0,214718000,-54820000,-13079000,122819000,123862000,453262000,-17569000,8301000,29752000,-39925000,-19441000,-2853000,-2853000,2e+06,-20294000,-20294000,-20294000,14091000,134231000,-27769000,0.23543,0.02206,-0.06712,-0.14221,-0.03886,1.57653,1.96131,2.65941,0.29614,-7.73494,-7.73494,115.23494,53.93422,-12.19436,-0.06623,-0.10442,6.30331,15.34024
"30","2018_Q1",23.6377049180328,"Down",136628000,-106468000,30160000,-55660000,-55660000,-25500000,-2272000,-2322000,-27772000,-29771000,-716000,-30487000,-30487000,-30413000,-30413000,64977000,64977000,142457000,142457000,58432000,16803000,16803000,282669000,23227000,64453000,22490000,35384000,6579000,87680000,370349000,92061000,49916000,42145000,38697000,38697000,135758000,133497000,6581000,5798000,140078000,275836000,0,215836000,-85233000,-13059000,93544000,94513000,370349000,-30487000,2589000,1687000,43807000,17596000,-4343000,-4343000,2933000,16186000,16186000,16186000,-22911000,138497000,17269000,0.22075,-0.18664,-0.2226,-0.32179,-0.08212,-0.56782,2.08215,2.9185,0.37396,-13.29704,-13.29704,59.73592,40.89892,7.55028,-0.12694,0.07208,-3.20894,-2.88314
"31","2018_Q2",26.609375,"Up",93004000,-70045000,22959000,-58617000,-58617000,-35658000,-1850000,-1922000,-37508000,-38529000,2336000,-36193000,-36193000,-36244000,-36244000,46779000,46779000,93928000,93928000,53997000,20812000,20812000,215516000,22956000,75419000,21323000,35592000,18504000,98375000,313891000,76217000,39072000,37145000,36462000,36462000,112679000,134716000,6534000,5753000,141250000,253929000,0,216428000,-121477000,-12009000,58942000,59962000,313891000,-36193000,3096000,15731000,5978000,-11388000,-2568000,-2568000,-5085000,-19041000,-19041000,-19041000,-32562000,134716000,-31488000,0.24686,-0.3834,-0.3897,-0.60445,-0.11547,0.86878,1.91265,4.23483,0.42918,-15.69004,-15.69004,40.26147,25.51602,-13.63117,-0.18013,-0.15649,-2.7006,-2.46612
