"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",26.2956451612903,"Up",1540150000,-1360404000,179746000,-177378000,-124516000,-15858000,-37004000,2368000,-4499000,-4315000,-2131000,-2131000,1966000,-165000,3364000,3364000,3364000,1072375000,715480000,356895000,156909000,85065000,30002000,1314349000,210972000,368223000,236121000,132102000,592718000,1907067000,687492000,151029000,536463000,143301000,143301000,831936000,260551000,59579000,22101000,320130000,1152066000,280774000,474557000,-330000,755001000,755001000,1907067000,3364000,20279000,10967000,-6569000,28041000,-19247000,-19247000,-13224000,2984000,-29487000,21000,-10166000,-11612000,-11612000,-11612000,22647000,261694000,-5135000,0.11671,0.00154,0.00218,0.00446,0.00176,-1.52646,1.57987,1.52591,0.13722,0.07226,0.07226,33.08522,16.21879,-0.11031,4,0.00313,-0.00477,-35.7964,-342.3484
"12","2013_Q1",30.4735,"Up",1577960000,-1313771000,264189000,-212346000,-153051000,-16198000,-43097000,51843000,-4023000,-4348000,47820000,47820000,-21626000,26194000,25643000,25643000,25643000,1138615000,795770000,342845000,149682000,60829000,28386000,1349126000,221443000,350834000,77711000,122035000,585696000,1934822000,685084000,184034000,494530000,141798000,141798000,828037000,261784000,62687000,23480000,324471000,1152508000,285571000,500200000,-457000,782314000,782314000,1934822000,25643000,20475000,-349000,37991000,83760000,-25597000,-25597000,12369000,10438000,-2790000,-30999.9999999925,-680000,80290000,80290000,80290000,72318000,262939000,106338000,0.16742,0.03285,0.01625,0.03278,0.01325,4.14686,1.62931,1.4732,0.1359,0.55008,0.52234,33.84945,16.78173,2.2811,6,0.02314,0.09598,-12.10869,-16.89092
"13","2013_Q2",35.32421875,"Up",1590399000,-1324915000,265484000,-197611000,-141278000,-16563000,-39770000,67873000,-12906000,-13037000,54967000,54967000,-24445000,30522000,29915000,29915000,29915000,1511457000,1169511000,341946000,150251000,65330000,39577000,1727038000,237735000,509716000,223952000,138379000,761051000,2488089000,666075000,159986000,491145000,135804000,135804000,803046000,865652000,55192000,23839000,920844000,1723890000,234281000,530115000,-197000,764199000,764199000,2488089000,29915000,21799000,10759000,-42369000,20104000,-11167000,-11167000,-365000,-9668000,-21200000,-148154000,374837000,373741000,373741000,373741000,89672000,866819000,60581000,0.16693,0.04268,0.01881,0.03915,0.01202,2.0251,2.15061,2.25581,0.34839,0.65059,0.64412,34.58818,16.61989,1.31752,6,0.01774,0.03593,-7.18884,-9.49771
"14","2013_Q3",36.91109375,"Up",1605834000,-1341589000,264245000,-217799000,-161479000,-17015000,-39305000,46446000,-15169000,-11667000,31277000,31277000,-15481000,15796000,24571000,24571000,24571000,1461214000,742670000,718544000,213776000,69812000,47817000,1744802000,249298000,573289000,222139000,144027000,835114000,2579916000,661210000,180227000,465487000,45949000,45949000,707159000,968508000,27862000,23943000,996370000,1703529000,324406000,554686000,-2705000,876387000,876387000,2579916000,24571000,22108000,-1028000,-177503000,-131852000,-24062000,-24062000,-382366000,-4184000,-410612000,158186000,115623000,-426841000,-426841000,-426841000,68554000,968508000,-117530000,0.16455,0.02892,0.0153,0.02804,0.00952,-4.78328,2.46734,1.94381,0.3754,0.5407,0.52763,35.33732,19.28541,-2.58632,4,0.01312,-0.06276,-7.18712,-10.60815
"15","2013_Q4",33.693125,"Down",1687079000,-1426936000,260143000,-235217000,-176233000,-18871000,-40113000,24926000,-13508000,-13532000,11418000,11418000,-3865000,7553000,7569000,7569000,7569000,1591707000,856556000,735151000,293967000,80541000,50061000,1966215000,267277000,679900000,335418000,149729000,958851000,2925066000,920941000,282727000,632706000,124388000,124388000,1045438000,961628000,25152000,25152000,986780000,2032218000,332004000,562255000,-1411000,892848000,892848000,2925066000,7569000,24128000,3015000,188780000,223492000,-29197000,-29197000,-17422000,-5301000,-109604000,-306000,-2000,113886000,113886000,113886000,49054000,961737000,212502000,0.1542,0.01477,0.00449,0.00848,0.00259,28.07531,1.88076,2.27611,0.32879,0.16562,0.16006,36.91639,19.53716,4.64993,6,0.00403,0.11305,-12.84238,-25.27361
"16","2014_Q1",36.8493442622951,"Up",1705688000,-1458560000,247128000,-249373000,-187010000,-20551000,-41812000,-2245000,-14417000,-13764000,-16662000,-16662000,7791000,-8871000,-9055000,-9055000,-9055000,1638947000,935895000,703052000,298935000,101782000,42484000,2039664000,292083000,671190000,98871000,155230000,963273000,3002937000,932830000,263043000,669787000,179138000,122216000,1293976000,575762000,240262000,53443000,816024000,2.11e+09,340894000,553129000,-1086000,892937000,892937000,3002937000,-9055000,25965000,25254000,36091999.9999999,78256000,-33574000,-33574000,30153000,6153000,-1583999.99999997,-156726000,2542000.00000001,79214000.0000001,79214000.0000001,79214000.0000001,23720000,757770000,18447000,0.14488,-0.00132,-0.00531,-0.01014,-0.00302,-2.03722,1.57628,2.36299,0.25234,-0.19317,-0.18984,36.38723,19.04892,0.393530000000001,3,-0.00479,0.00976,-37.14911,392.50646
"17","2014_Q2",40.5346031746032,"Up",2069243000,-1795541000,273702000,-249435000,-188087000,-20691000,-40657000,24267000,-13778000,-13822000,10489000,10489000,-5655000,4834000,4498000,4498000,4498000,1779569000,1083369000,696200000,338232000,163430000,112916000,2281231000,310364000,690958000,93587000,166506000,1012250000,3293481000,1225955000,406414000,819541000,146276000,146276000,1555944000,580758000,259059000,62556000,839817000,2395761000,340475000,557627000,-382000,897720000,897720000,3293481000,4498000,32994000,10052000,163353000,210897000,-17788000,-17788000,5225000,-14928000,-27491000,-37262000,-35932000,147474000,147474000,147474000,57261000,764471000,208481000,0.13227,0.01173,0.00217,0.00501,0.00137,46.34971,1.46614,2.66872,0.23212,0.09774,0.09465,44.96302,19.50675,4.53013,4,0.00234,0.10851,-17.72756,-41.83039
"18","2014_Q3",44.25640625,"Up",2312039000,-2026364000,285675000,-253248000,-193239000,-22902000,-37107000,32427000,-13984000,-13993000,18443000,18443000,-10702000,7741000,7811000,7811000,7811000,1768225000,1027351000,740874000,473514000,130106000,93862000,2371845000,317630000,751529000,88493000,178063000,1080184000,3452029000,1399540000,475358000,924182000,45945000,45945000,1630936000,585830000,318193000,68155000,904023000,2534959000,351592000,565438000,39999.9999999999,917070000,917070000,3452029000,7811000,32660000,17274000,-33182000.0000001,24563000,-19882000,-19882000,-46881000,-8082000,-74845000,-12023000,-5736000.00000001,-56018000.0000001,-56018000.0000001,-56018000.0000001,65087000,771281000,22725000,0.12356,0.01403,0.00338,0.00852,0.00226,2.90936000000001,1.45428,2.76419,0.22343,0.16878,0.1623,49.95871,19.81612,0.49104,5,0.00389,0.01133,-15.3171,-30.74426
"19","2014_Q4",48.48,"Up",2484351000,-2201384000,282967000,-243188000,-178879000,-24242000,-40067000,39779000,-15282000,-14419000,24497000,24497000,-8427000,16070000,16122000,16122000,16122000,2441279000,1598596000,842683000,425683000,120558000,82062000,2987520000,328547000,740073000,85035000,195406000,1068620000,4056140000,1733290000,609444000,1123846000,190856000,190856000,1936073000,857622000,298154000,67558000,1155776000,3091849000,383348000,581560000,-617000,964291000,964291000,4056140000,16122000,33810000,2154000,553652000,605738000,-34101000,-34101000,-100832000,-16511000,-158944000,1053000,124451000,571245000,571245000,571245000,73589000,869549000,601567000,0.1139,0.01601,0.00649,0.01672,0.00397,37.31342,1.54308,3.20634,0.21438,0.34298,0.33162,52.85291,20.51465,12.79794,6,0.00756,0.28216,-21.35822,-39.51155
"20","2015_Q1",57.777868852459,"Up",2801367000,-2435711000,365656000,-269129000,-204795000,-25165000,-39169000,96527000,-14956000,-14766000,81571000,81571000,-48216000,33355000,33569000,33569000,33569000,2.558e+09,1.539e+09,1.019e+09,5.96e+08,48999999.9999999,4.9e+07,3.203e+09,3.41e+08,8.91e+08,8.9e+07,1.86e+08,1.232e+09,4.435e+09,1.452e+09,2.42e+08,1.201e+09,7.23e+08,1.96e+08,2.175e+09,8.47e+08,4.03e+08,7.4e+07,1.25e+09,3.425e+09,3.96e+08,6.15e+08,-1e+06,1.01e+09,1.01e+09,4.435e+09,33569000,34536000,24520000,126177000,218802000,-43229000,-43229000,-177512000,-17479000,-274720000,232000.000000002,-3783000,-59701000.0000001,-59701000.0000001,-59701000.0000001,131063000,8.47e+08,262227000,0.13053,0.03446,0.01198,0.03324,0.00757,7.81158000000001,1.47264,3.39109,0.19098,0.68937,0.68374,57.52884,20.74135,5.38509,6,0.01485,0.11603,-13.05479,-17.72561
"21","2015_Q2",66.8765079365079,"Up",3.171e+09,-2.772e+09,3.99e+08,-3.17e+08,-2.56e+08,-2.5e+07,-3.6e+07,8.2e+07,-1.5e+07,-1.5e+07,6.7e+07,6.7e+07,-3.9e+07,2.8e+07,2.8e+07,2.8e+07,2.8e+07,3073890000,1870024000,1203866000,491430000,710250000,193498000,4275570000,344727000,549492000,84702000,192744000,894219000,5169789000,1886612000,427644000,1448132000,1265952000,169811000,3593196000,431849000,102751000,73484000,534600000,4127796000,398191000,643505000,297000,1041993000,1041993000,5169789000,2.8e+07,3.3e+07,1.7e+07,4.76e+08,5.54e+08,-2.5e+07,-2.5e+07,-1.83e+08,-1.2e+07,-2.28e+08,4e+06,5e+06,3.31e+08,3.31e+08,3.31e+08,1.15e+08,872481000,6.05e+08,0.12583,0.02586,0.00883,0.02687,0.00542,21.60714,1.18991,3.96144,0.16877,0.57143,0.55921,64.71429,21.26516,12.34694,6,0.01388,0.29992,-19.14269,-26.84645
"22","2015_Q3",74.1671875,"Up",3.525e+09,-3.064e+09,4.61e+08,-3.45e+08,-2.87e+08,-2.5e+07,-3.3e+07,1.16e+08,-1.5e+07,-1.5e+07,1.01e+08,1.01e+08,-6.2e+07,3.9e+07,3.9e+07,3.9e+07,3.9e+07,3480504000,2013882000,1466622000,631124000,694599000,148615000,4806227000,363244000,566688000,80462000,214180000,929932000,5736159000,1901834000,399186000,1492252000,1391012000,57723000,3738514000,434253000,100285000,71111000,534538000,4273052000,782489000,682448000,-1830000,1463107000,1463107000,5736159000,3.9e+07,2.9e+07,2.3e+07,3e+06,94000000.0000001,-4.1e+07,-4.1e+07,-2.69e+08,-1.9e+07,-3.29e+08,-1e+06,3.79e+08,1.44e+08,1.44e+08,1.44e+08,1.45e+08,879921000,1.69e+08,0.13078,0.03291,0.01106,0.02666,0.0068,4.33333,1.2856,2.92053,0.1534,0.76471,0.72296,69.11765,28.68837,3.31373,7,0.01596,0.06917,-17.93506,-22.41882
"23","2015_Q4",63.00734375,"Down",3.611e+09,-3.151e+09,4.6e+08,-3.47e+08,-2.87e+08,-2.6e+07,-3.4e+07,1.13e+08,-1.5e+07,-1.5e+07,9.8e+07,9.8e+07,-5.2e+07,4.6e+07,4.6e+07,4.6e+07,4.6e+07,3625677000,2164210000,1461467000,619891000,664756000,120438000,4910324000,374862000,629845000,96424000,212201000,1004707000,5915031000,1872906000,274131000,1559570000,1537484000,67227000,3861170000,436603000,99249000,72138000,535852000,4397022000,789963000,728747000,-701000,1518009000,1518009000,5915031000,4.6e+07,3.1e+07,-1e+06,1.82e+08,2.58e+08,-3.5e+07,-3.5e+07,4e+06,-8e+06,-1.08e+08,0,0,1.5e+08,1.5e+08,1.5e+08,1.44e+08,887383000,3.43e+08,0.12739,0.03129,0.01274,0.0303,0.00778,7.45652,1.27172,2.89657,0.15002,0.85505,0.7543,67.12145,28.21683,6.3757,7,0.01837,0.13695,-19.01593,-24.23269
"24","2016_Q1",59.3801639344262,"Down",3.871e+09,-3.361e+09,5.1e+08,-4.34e+08,-3.16e+08,-2.8e+07,-9e+07,7.6e+07,-2e+07,-2.1e+07,5.6e+07,5.6e+07,-2.6e+07,3e+07,3e+07,3e+07,3e+07,4.13e+09,2.329e+09,1.801e+09,5.97e+08,5.79e+08,1.92e+08,5.306e+09,3.93e+08,8.77e+08,1.22e+08,2.18e+08,1.27e+09,6.576e+09,2.047e+09,3.62e+08,1.685e+09,1.326e+09,2.23e+08,3.822e+09,1.16e+09,3.7e+07,3.7e+07,1.197e+09,5.019e+09,8.03e+08,7.58e+08,-4e+06,1.557e+09,1.557e+09,6.576e+09,3e+07,3.3e+07,2.6e+07,1.3e+08,2.19e+08,-3.1e+07,-3.1e+07,-3.49e+08,-2e+06,-7.55e+08,2e+06,7.01e+08,1.65e+08,1.65e+08,1.65e+08,1.09e+08,1.609e+09,2.34e+08,0.13175,0.01963,0.00775,0.01927,0.00456,7.8,1.38828,3.22351,0.24468,0.55349,0.50847,71.41803,28.72588,4.31718,5,0.00937,0.07306,-23.12844,-33.17105
"25","2016_Q2",53.44828125,"Down",4.343e+09,-3.755e+09,5.88e+08,-4.99e+08,-3.4e+08,-3.2e+07,-1.27e+08,8.9e+07,-2.5e+07,-2.5e+07,6.4e+07,6.4e+07,-4e+07,2.4e+07,2.4e+07,2.4e+07,2.4e+07,4.226e+09,2.156e+09,2.07e+09,8.63e+08,6.75e+08,2.6e+08,5.764e+09,4.19e+08,1e+09,1.49e+08,2.32e+08,1.419e+09,7.183e+09,2.541e+09,6.01e+08,1.94e+09,1.381e+09,9.4e+07,4.377e+09,1.163e+09,5.3e+07,3.8e+07,1.216e+09,5.593e+09,8.06e+08,7.82e+08,2e+06,1.59e+09,1.59e+09,7.183e+09,2.4e+07,4.4e+07,5.1e+07,2e+07,1.39e+08,-4.6e+07,-4.6e+07,-2.63e+08,-3e+06,-3.14e+08,2e+06,2e+06,-1.73e+08,-1.73e+08,-1.73e+08,1.33e+08,1.618e+09,1.47e+08,0.13539,0.02049,0.00553,0.01509,0.00334,6.125,1.31688,3.51761,0.22525,0.43636,0.42105,78.96364,28.90909,2.67273,5,0.00736,0.04508,-19.60902,-29.30337
"26","2016_Q3",55.1153125,"Up",4.359e+09,-3.753e+09,6.06e+08,-5.01e+08,-3.51e+08,-3.4e+07,-1.16e+08,1.05e+08,-2.5e+07,-2.5e+07,8e+07,8e+07,-4.7e+07,3.3e+07,3.3e+07,3.3e+07,3.3e+07,4.313e+09,2.345e+09,1.968e+09,1.012e+09,2.2e+08,1.97e+08,5.545e+09,4.48e+08,1.209e+09,1.46e+08,2.26e+08,1.657e+09,7.202e+09,2.303e+09,5.37e+08,1.766e+09,1.342e+09,1.04e+08,3.646e+09,1.626e+09,2.89e+08,3.8e+07,1.915e+09,5.561e+09,8.22e+08,8.15e+08,4e+06,1.641e+09,1.641e+09,7.202e+09,3.3e+07,4.5e+07,3e+07,3.1e+07,1.39e+08,-5.6e+07,-5.6e+07,1.01e+08,2e+06,4.1e+07,-1e+06,9e+06,1.89e+08,1.89e+08,1.89e+08,1.5e+08,1.627e+09,1.72e+08,0.13902,0.02409,0.00757,0.02011,0.00458,5.21212,1.52084,3.38879,0.22591,0.6,0.6,79.25455,29.83636,3.12727,5,0.00928,0.04836,-17.90667,-25.58095
"27","2016_Q4",54.6992063492063,"Down",4.546e+09,-3.93e+09,6.16e+08,-4.98e+08,-3.43e+08,-3.6e+07,-1.19e+08,1.18e+08,-2.6e+07,-2.6e+07,9.2e+07,9.2e+07,-5e+07,4.2e+07,4.2e+07,4.2e+07,4.2e+07,4.577e+09,2.842e+09,1.735e+09,1.053e+09,4.83e+08,1.69e+08,6.113e+09,4.5e+08,1.007e+09,1.49e+08,2.39e+08,1.457e+09,7.57e+09,2.273e+09,3.83e+08,1.871e+09,1.926e+09,3.8e+08,4.665e+09,1.169e+09,4.5e+07,3.9e+07,1.214e+09,5.879e+09,8.31e+08,8.57e+08,3e+06,1.691e+09,1.691e+09,7.57e+09,4.2e+07,4.6e+07,0,2.67e+08,3.55e+08,-4.1e+07,-4.1e+07,2.3e+08,-7e+06,1.42e+08,0,0,4.97e+08,4.97e+08,4.97e+08,1.64e+08,1.635e+09,4.4e+08,0.1355,0.02596,0.00924,0.02484,0.00555,10.47619,1.3104,3.47664,0.21598,0.76364,0.75,82.65455,30.74545,8,6,0.01246,0.13053,-17.93902,-24.9322
