"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2014_Q1",9.04524590163934,"Up",110681000,-73813000,36868000,-37782000,-25204000,-12578000,-914000,1092000,236000,856000,178000,-379000,-201000,-112000,1909000,6012000,6015000,6015000,128871000,82971000,45900000,77483000,77483000,94411000,53824000,9030000,354589000,47506000,70178000,264490000,60088000,97924000,7332000,382174000,736763000,64128000,35392000,1058000,27678000,28433000,19610000,8804000,92561000,11546000,815000,815000,9810000,11546000,104107000,1826299000,-200956000,-1015991000,22604000,631956000,632656000,736763000,6012000,5897000,-2169000,15012000,24752000,9988000,-1718000,-9326000,-1233000,-5341000,-4459000,19060000,19060000,2023000,21083000,4983000,0,30095000,0.3331,-0.00826,0.05435,0.00951,0.00816,5.00333,3.83087,0.16456,0,0.09092,0.09183,1.67306,9.55266,0.45492,0.08073,0.01763,0.04672,0.88795,-25.86213,140.99672
"12","2014_Q2",8.74206349206349,"Down",117072000,-76181000,40891000,-38686000,-26135000,-12551000,2205000,505000,246000,259000,2710000,-747000,1963000,-793000,1919000,3496000,3448000,3448000,123435000,78015000,45420000,75529000,75529000,96701000,25291000,9306000,320956000,45883000,77568000,285262000,57326000,121969000,7419000,408713000,729669000,60680000,30890000,1584000,28206000,24853000,16545000,8308000,85533000,11635000,829000,829000,10806000,11635000,97168000,1828082000,-200956000,-1017798000,22425000,631753000,632501000,729669000,3496000,5729000,3856000,-4608000,8473000,-1015000,-7487000,0,-8325000,-5391000,-5391000,-5243000,-5243000,287000,-4956000,7934000,2.3283064365387e-10,3104000,0.34928,0.01883,0.02945,0.00545,0.00473,0.900229999999999,3.75242,0.15363,0,0.05196,0.05137,1.76433,9.5208,0.04678,0.08124,0.01372,0.00482,1.56352,-15.55773,-55.97959
"13","2014_Q3",9.38046875,"Up",125900000,-81602000,44298000,-41130000,-28637000,-12493000,3168000,314000,258000,56000,3482000,-772000,2710000,-1117000,2103000,3265000,3189000,3189000,135555000,85281000,50274000,83440000,83440000,93750000,56594000,12489000,369339000,52759000,87010000,258113000,55124000,97863000,7704000,397882000,767221000,70889000,35672000,1246000,33971000,41094000,33116000,7978000,112864000,12300000,837000,837000,11463000,19956000,132820000,1832605000,-200956000,-1019945000,21873000,633577000,634401000,767221000,3265000,5441000,4717000,13755000,27178000,-1681000,-13523000,0,-15204000,-5409000,-4442000,7532000,7532000,-266000,7266000,8609000,8537000,21800000,0.35185,0.02516,0.02533,0.00503,0.00416,6.836,3.27243,0.20936,0.01113,0.04785,0.04724,1.88909,9.5066,0.3271,0.08116,0.01312,0.03327,1.69614,-14.75409,-40.09407
"14","2014_Q4",10.2653125,"Up",117359000,-76613000,40746000,-43534000,-30040000,-13494000,-2788000,237000,80000,157000,-2551000,-3122000,-5673000,2838000,-2764000,24499000,24476000,24476000,172618000,115547000,57071000,82792000,82792000,103069000,34301000,16912000,392780000,52272000,101896000,249057000,62980000,113238000,5152000,403225000,796005000,70078000,30113000,1942000,38023000,45293000,34521000,10772000,116252000,14031000,846000,846000,13185000,21568000,137820000,1834830000,-200956000,-1000820000,24284000,657338000,658185000,796005000,24499000,6082000,-23491000,-2403000,4687000,-688000,-17546000,-37832000,29303000,-5344000,-5344000,28646000,28646000,1620000,30266000,3294000,8418000,-2635000,0.34719,-0.02376,0.20856,0.03719,0.03075,-0.107660000000005,3.37869,0.20939,0.01058,0.36668,0.36179,1.75816,9.84761,-0.03948,0.08006,0.04381,-0.00387,0.218340000000001,-49.84821,58.89527
"15","2015_Q1",10.8947540983607,"Up",122517000,-81115000,41402000,-40397000,-26286000,-14111000,1005000,-52000,164000,-216000,953000,-1648000,-695000,1052000,262000,262000,248000,248000,162244000,94114000,68130000,80106000,80106000,93567000,38396000,19387000,374313000,50183000,112156000,241386000,59550000,109501000,4772000,403725000,778038000,75899000,33740000,1808000,40351000,37061000,26279000,9974000,113841000,13891000,1774000,1774000,9550000,21308000,135149000,1835423000,-200956000,-1007265000,15687000,642889000,642889000,778038000,262000,6207000,-341000,7315000,13443000,-2134000,-23646000,87576000,-23573000,-6731000,-9288000,-19418000,-19418000,-2015000,-21433000,7212000,8298000,11341000,0.33793,0.0082,0.00202,0.000390000000000001,0.000320000000000001,45.72984,3.28803,0.21022,0.01067,0.00371,0.00363,1.83299,9.61833,0.16967,0.1007,0.01049,0.01705,27.14113,-21.34581,-153.1801
"16","2015_Q2",10.2725396825397,"Down",122736000,-83648000,39088000,-42900000,-29411000,-13489000,-3812000,1168000,149000,1019000,-2644000,-2668000,-5312000,3110000,-2734000,-2734000,-2734000,-2734000,136407000,77759000,58648000,75675000,75675000,94936000,32533000,15166000,339551000,47918000,109485000,260193000,62722000,117652000,6699000,417596000,757147000,67087000,37674000,2966000,26447000,36687000,25657000,10183000,104655000,14582000,1715000,1715000,8926000,21878000,126533000,1836806000,-200956000,-1016738000,11502000,630614000,630614000,757147000,-2734000,6403000,246000,-880000.000000002,3035000,-1576000,7432000,-15428000,-9571999.99999999,-6731000,-6852000,-13389000,-13389000,-2966000,-16355000,2591000,8177000,-2975000,0.31847,-0.03106,-0.02228,-0.00434,-0.00361,1.08815,3.24448,0.20065,0.0108,-0.04073,-0.0407300000000001,1.82844,9.39448,-0.04432,0.10027,0.00612,-0.00455,-2.46196000000001,-49.49054,33.63851
"17","2015_Q3",9.73984375,"Down",139313000,-93288000,46025000,-42287000,-29609000,-12678000,3738000,1291000,130000,1161000,5029000,-685000,4344000,-1560000,2711000,2711000,2711000,2711000,142503000,73176000,69327000,94679000,94679000,90558000,33712000,14841000,361452000,46833000,91628000,257042000,59693000,118264000,9490000,395503000,756955000,76771000,43610000,2789000,30372000,29901000,19943000,9500000,107553000,13402000,2342000,2342000,7642000,20575000,128128000,1841235000,-200956000,-1020785000,9333000,628827000,628827000,756955000,2711000,6330000,5369000,-12492000,1918000,-2065000,4454000,-1829000,560000,-6749000,-6005000,-3527000,-3527000,-1056000,-4583000,10068000,8054000,-2929000,0.33037,0.02683,0.01946,0.00431,0.00358,-1.08041,3.36069,0.20376,0.01064,0.04023,0.03963,2.06736,9.33158,-0.04347,0.10015,0.01455,-0.0045,2.48949,-13.35409,-35.96816
"18","2015_Q4",10.331875,"Up",144894000,-93707000,51187000,-40659000,-27825000,-12834000,10528000,559000,99000,460000,11087000,-358000,10729000,-3340000,7681000,7681000,7681000,7681000,141225000,79670000,61555000,100973000,100973000,95167000,33478000,14488000,370843000,46277000,100164000,253089000,56771000,118257000,9458000,399530000,770373000,86483000,47145000,4012000,35326000,31798000,22614000,8845000,119162000,12936000,2416000,2416000,7252000,19985000,139147000,1843583000,-200956000,-1019853000,8452000,631226000,631226000,770373000,7681000,6196000,2859000,-218000,16518000,-2298000,-1362000,0,-3660000,-6749000,-6873000,5985000,5985000,509000,6494000,16724000,7930000,17548000,0.35327,0.07266,0.05301,0.01217,0.00997,2.2846,3.11209,0.22044,0.01029,0.11387,0.11202,2.14804,9.35787,0.26015,0.10005,0.02213,0.02691,0.878660000000002,-7.97028,-12.661
"19","2016_Q1",8.79885245901639,"Down",145765000,-92960000,52805000,-41656000,-28425000,-13231000,11149000,-2093000,126000,-2219000,9056000,-1002000,8054000,-1640000,6563000,6563000,6563000,6563000,150743000,80722000,70021000,86448000,86448000,100619000,18058000,15158000,355868000,41855000,87595000,273384000,55446000,121408000,9397000,402834000,758702000,86952000,44890000,6111000,35951000,26048000,17886000,8162000,1.13e+08,13657000,3118000,3118000,7044000,13657000,126657000,1847168000,-200956000,-1020065000,5898000,632045000,632045000,758702000,6563000,6231000,4960000,4502000,22256000,-10201000,651000,2807000.00000001,-4965000,-6763000,-14284000,3007000,3007000,-1955000,1052000,17380000,0,13321000,0.36226,0.07649,0.04502,0.01038,0.00865,2.02971,3.14927,0.20039,0,0.09698,0.09364,2.15383,9.33914,0.19683,0.09993,0.02064,0.02063,1.03047,-8.67336000000001,-13.52076
"20","2016_Q2",9.75203125,"Up",119955000,-79401000,40554000,-47399000,-34121000,-13278000,-6845000,143000,202000,-59000,-6702000,-1475000,-8177000,3370000,-4648000,-4648000,-4648000,-4648000,55613000,55572000,41000,102889000,102889000,99894000,38642000,16856000,297038000,54719000,33428000,363849000,93287000,202347000,9598000,451996000,749034000,79335000,38812000,4880000,35643000,36820000,28245000,7421000,116155000,12645000,3115000,3115000,6613000,12645000,128800000,1847682000,-200956000,-1031566000,5074000,620234000,620234000,749034000,-4648000,6445000,1032000,-15206000,-12377000,-2486000,122972000,-125498000,-5312000,-6844000,-6844000,-24533000,-24533000,-617000,-25150000,-4e+05,0,-21462000,0.33808,-0.05706,-0.03875,-0.00749,-0.00621,4.61747,2.55726,0.20766,0,-0.0682200000000001,-0.0682200000000001,1.76068,9.10368,-0.31502,0.10046,0.00347,-0.03391,-1.47246,139.0325,8.12462
"21","2016_Q3",11.79140625,"Up",135281000,-88481000,46800000,-45803000,-32692000,-13111000,997000,-90000,34000,-124000,907000,-7336000,-6429000,-78220000,-83939000,-83939000,-83939000,-83939000,62228000,62162000,65999.9999999925,104225000,104225000,100738000,28515000,21801000,295706000,54957000,31152000,302580000,89495000,202347000,9982000,388689000,684395000,80478000,39303000,6356000,34819000,47878000,34419000,13124000,128356000,18085000,3181000,3181000,6852000,18085000,146441000,1850476000,-200956000,-1122389000,10823000,537954000,537954000,684395000,-83939000,7404000,78436000,10847000,12748000,-3604000,3266000,1.49011611938477e-08,-779000,-6894000,-5946000,6023000,6023000,567000,6590000,8401000,0,93864000,0.34595,0.00737,-0.62048,-0.15603,-0.12265,-1.11824,2.3038,0.27222,0,-1.22439,-1.22439,1.97329,7.84693,1.36916,0.10056,-0.13856,0.16881,-0.08213,-7.40720999999999,-62.41525
"22","2016_Q4",14.2231746031746,"Up",147534000,-93371000,54163000,-44673000,-31854000,-12819000,9490000,-87999.9999999998,18000,-106000,9402000,-996000,8406000,-220000,8565000,8565000,8565000,8565000,66134000,66116000,18000,101091000,101091000,98157000,27842000,21078000,293224000,54763000,32598000,301736000,85646000,202386000,12579000,389097000,682321000,84452000,41502000,7168000,35782000,37597000,25522000,11744000,122049000,17217000,3212000,3212000,7043000,17217000,139266000,1852113000,-200956000,-1120700000,12598000,543055000,543055000,682321000,8565000.00000001,7471000,-266999.999999985,-31000,15738000,-3324000,-251000.000000015,0,-4325000,-6875000,-7383000,4030000,4030000,-76000,3954000,16961000,0,13826000,0.36712,0.06432,0.0580500000000002,0.01577,0.01255,1.61424,2.40251,0.25645,0,0.12481,0.12481,2.14986,7.91337,0.20147,0.10018,0.02756,0.02468,0.80269,-3.89918,-6.96881
"23","2017_Q1",18.8690322580645,"Up",31242000,-16070000,15172000,-25658000,-20625000,-5033000,-10486000,-1053000,41000,-1094000,-11539000,-403000,-11942000,8820000,-5435000,10546000,10546000,10546000,85125000,85086000,39000,106372000,106372000,92572000,15265000,15265000,299334000,54885000,33369000,298317000,81843000,202138000,12354000,386571000,685905000,92564000,41128000,7554000,43882000,27229000,14966000,12263000,119793000,12422000,2557000,2557000,6952000,12422000,132215000,1856524000,-200956000,-1117044000,15166000,553690000,553690000,685905000,10546000,6726000,1534000,4632000,23438000,-628000,250000,250000,-458000,-6890000,-5784000,17196000,17196000,1774000,18970000,-3760000,0,-8576000,0.48563,-0.33564,0.33756,0.01905,0.01538,-0.8132,2.49876,0.23879,0,0.15347,0.15347,0.45465,8.05754,-0.1248,0.10027,0.0308,-0.01515,0.65333,22.63963,8.11797
"24","2017_Q2",24.1942857142857,"Up",159955000,-103012000,56943000,-42807000,-31962000,-10845000,14136000,-279000,-28000,-251000,13857000,872000,14729000,-2800000,13871000,13871000,13871000,13871000,83811000,82945000,866000,114429000,114429000,92519000,15431000,15431000,306190000,54439000,30512000,301166000,83432000,210587000,5464000,386117000,692307000,94061000,52090000,7775000,34196000,34203000,24759000,9444000,128264000,11141000,2281000,2281000,6553000,11141000,139405000,1858933000,-200956000,-1110138000,5063000,552902000,552902000,692307000,13871000,6752000,-1742000,-170999.999999999,18710000,-3768000,-170000.000000001,-5346000,-9284000,-6966000,-6993000,2433000,2433000,-4574000,-2141000,20888000,2.91038304567337e-11,19749000,0.35599,0.0883700000000001,0.08672,0.02509,0.02004,1.42376,2.38719,0.25213,0,0.2005,0.19853,2.31212,7.99211,0.28547,0.10069,0.03694,0.03501,0.5022,-4.0124,-5.9289
"25","2017_Q3",24.6511111111111,"Up",169333000,-104809000,64524000,-48862000,-37517000,-11345000,15662000,-154000,129000,-283000,15508000,-860000,14648000,-3420000,14005000,14005000,14005000,14005000,105434000,103939000,1495000,115171000,115171000,99104000,17518000,17518000,337227000,53273000,34484000,297195000,79375000,210617000,5708000,384952000,722179000,101591000,49832000,8295000,43464000,38182000,29065000,9117000,139773000,11792000,2398000,2398000,6611000,11792000,151565000,1864280000,-200956000,-1103112000,10402000,570614000,570614000,722179000,14005000,6978000,2305000,1300000,24588000,-1385000,0,0,-1385000,-6979000,-6019000,17184000,17184000,3810000,20994000,22640000,0,25975000,0.38105,0.09249,0.08271,0.02454,0.01939,1.85469,2.41268,0.26562,0,0.20124,0.19929,2.43312,8.19907,0.37323,0.10028,0.03603,0.0446,0.49832,-4.65698,-6.73184
"26","2017_Q4",27.3073015873016,"Up",181717000,-110145000,71572000,-51975000,-40017000,-11958000,19597000,-269000,45000,-314000,19328000,-828000,18500000,-3680000,17350000,17350000,17350000,17350000,101650000,101622000,28000,120828000,120828000,106395000,23138000,23138000,352011000,58462000,31235000,324920000,83520000,233638000,6070000,414617000,766628000,112724000,49100000,11417000,52207000,34054000,24292000,9762000,146778000,12206000,1979000,1979000,6479000,12206000,158984000,1875751000,-200956000,-1082364000,15213000,607644000,607644000,766628000,17350000,6919000,1838000,-8024000,18083000,-1674000,3350000,0,1676000,-6987000,-6987000,12772000,12772000,370000,13142000,26516000,4.65661287307739e-10,20498000,0.39387,0.10784,0.09548,0.02855,0.02263,1.18144,2.39825,0.26164,0,0.24888,0.24628,2.60668,8.71649,0.29404,0.10023,0.03926,0.03307,0.40271,-3.83353,-5.18702
"27","2018_Q1",26.2824590163934,"Down",16494000,-10646000,5848000,-37780000,-32053000,-5727000,-31932000,-944000,-90000,-854000,-32876000,-481000,-33357000,6520000,-34539000,17386000,17386000,17386000,101650000,101622000,28000,93465000,93465000,73397000,83265000,22594000,351777000,56981000,2642000,355228000,83504000,207154000,62878000,414851000,766628000,109202000,49100000,11417000,48685000,37576000,22564000,15012000,146778000,12206000,1783000,1783000,6675000,12206000,158984000,1875751000,-200956000,-1082364000,15213000,607644000,607644000,766628000,17386000,7500000,3753000,6204000,34843000,-5990000,240000,-39445000,-45195000,-7e+06,-5921000,-16273000,-16273000,814000,-15459000,-24432000,0,-30738000,0.35455,-1.93598,1.05408,0.02861,0.02268,-1.76797,2.39666,0.26164,0,0.24904,0.24369,0.23626,8.70401,-0.4403,0.10027,0.03934,-0.04959,0.40262,4.16053,3.18333
