"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",11.351875,"Up",98657000,-62345000,36312000,-36427000,-36427000,-115000,-1162000,-1162000,-1277000,-1277000,399000,246000,-632000,-632000,-632000,-632000,2428000,2428000,62152000,62152000,104043000,6889000,5570000,175512000,30907000,109130000,57169000,2829000,140037000,315549000,45082000,18125000,26957000,12250000,57332000,61089000,23812000,3556000,20256000,84901000,142233000,143589000,32812000,-3085000,173316000,173316000,315549000,-632000,2523000,580000,22491000,24962000,-1187000,-1187000,-319000,-22629000,-22646000,1129000,1129000,557000,2408000,73339000,23313000,0.36806,-0.00117,-0.00641,-0.00365,-0.002,-36.88766,3.06133,0.82066,0.23242,-0.04953,-0.04953,7.73113,13.58169,1.82689,0.025,-0.00116,0.0862,-0.50475,29.44809,-616.61739
"12","2013_Q3",12.67734375,"Up",96976000,-60620000,36356000,-36056000,-36056000,299999.999999998,-1149000,-1149000,-849000,-1137000,477000,92000,-568000.000000002,-568000,-568000,-568000,1182000,1182000,57472000,57472000,112554000,8681000,8681000,179889000,29791000,106029000,56496000,2933000,135820000,315709000,50373000,24528000,25845000,9625000,59998000,63790000,22972000,3606000,19366000,86762000,146760000,144684000,28621000,-4356000,168949000,168949000,315709000,-568000,2667000,1525000,-1282000,2342000,-805000,-805000,-401000,76000,-3180000,-1643000,-1643000,-1246000,2967000,73415000,403000,0.3749,0.00308999999999999,-0.00586,-0.00336,-0.0018,-0.709510000000002,2.99825,0.86866,0.23254,-0.04435,-0.04435,7.57211,13.19193,0.0314699999999999,0.03131,-0.000629999999999997,0.00151999999999999,-0.70599,24.34547,240.77667
"13","2013_Q4",13.3371875,"Up",142229000,-90952000,51277000,-39505000,-39505000,11772000,-1280000,-1280000,10492000,10413000,-3869000,-5451000,1093000,1093000,1093000,1093000,2603000,2603000,93177000,93177000,133052000,7113000,7113000,235945000,28670000,97926000,55822000,2557000,126596000,362541000,73567000,33968000,39599000,10500000,84067000,86103000,21557000,2365000,19192000,107660000,191727000,145690000,29314000,-4190000,170814000,170814000,362541000,1093000,2517000,6152000,-31232000,-21470000,-773000,-773000,-397000,23188000,23058000,815000,815000,1421000,14289000,96603000,-13847000,0.36052,0.08277,0.00768,0.0064,0.00301,-12.6688,2.80663,1.12243,0.26646,0.08602,0.08602,11.19385,13.44357,-1.0898,0.03125,0.00516,-0.04792,0.36322,6.57849,7.98505
"14","2014_Q1",14.4422950819672,"Up",164859000,-101542000,63317000,-46721000,-46721000,16596000,-1256000,-1256000,15340000,15238000,-6182000,332000,9388000,9388000,9388000,9388000,4947000,4947000,87217000,87217000,112791000,5781000,5781000,210736000,27698000,98305000,55149000,2268000,126003000,336739000,65557000,21426000,41095000,3937000,69494000,65919000,20421000,1777000,18644000,86340000,155834000,146401000,38224000,-3720000,180905000,180905000,336739000,9388000,2708000,-1528000,19362000,29930000,-1066000,-1066000,-398000,-26747000,-26260000,2604000,2604000,2344000,19304000,69856000,43782000,0.38407,0.10067,0.05695,0.05189,0.02788,4.66361,3.03243,0.86141,0.20745,0.73608,0.67549,12.92606,14.18418,3.43281,0.03121,0.03609,0.16145,0.04239,3.36246,3.91111999999992
"15","2014_Q2",14.6084126984127,"Up",118411000,-74079000,44332000,-46529000,-46529000,-2197000,-1390000,-1390000,-3587000,-3906000,1185000,-208000,-2929000,-2929000,-2929000,-2929000,4223000,4223000,83568000,83568000,136384000,11254000,11254000,235429000,27707000,156115000,112168000,3228000,183822000,419251000,65524000,28284000,35539000,7500000,73024000,126930000,30833000,10608000,20225000,157763000,230787000,156711000,34767000,-3014000,188464000,188464000,419251000,-2929000,3613000,1273000,-1023000,934000,-1156000,-66292000,-501000,64574000,63898000,-1460000,-1460000,-724000,1416000,134430000,-1948000,0.37439,-0.01855,-0.02474,-0.01554,-0.00699,0.66507,3.22399,1.22457,0.32064,-0.22066,-0.22066,8.92052,14.19798,-0.14675,0.03774,-0.00686,-0.00551,-0.17105,91.9541,-59.26582
"16","2014_Q3",14.90328125,"Up",115321000,-74469000,40852000,-43884000,-43884000,-3032000,-1672000,-1672000,-4704000,-4829000,1586000,41000.0000000005,-3202000,-3202000,-3202000,-3202000,5229000,5229000,70059000,70059000,153241000,11365000,11365000,239894000,27127000,155516000,110800000,3315000,182643000,422537000,55964000,27823000,27808000,10868000,66832000,137481000,31492000,10665000,20827000,168973000,235805000,157682000,31058000,-2008000,186732000,186732000,422537000,-3202000,3716000,1119000,-9970000,-8337000,-1557000,-3377000.00000001,-506000,13685000,13439000,1725000,1725000,1006000,684000.000000002,148349000,-12429000,0.35425,-0.02629,-0.02777,-0.01715,-0.00758,3.88164,3.58951,1.2628,0.35109,-0.23747,-0.23747,8.55243,13.84841,-0.92176,0.03753,-0.00735,-0.03391,-0.15803,209.23977,-47.20317
"17","2014_Q4",14.19640625,"Down",162244000,-104321000,57923000,-46111000,-46111000,11812000,-1698000,-1698000,10114000,6730000,-3123000,-5193000,-1586000,-1586000,-1586000,-1586000,4977000,4977000,101765000,101765000,170320000,9014000,9014000,286076000,26953000,143635000,105640000,3164000,170588000,456664000,79998000,42801000,36852000,10951000,90949000,150562000,32325000,10499000,21826000,182887000,273836000,159109000,28956000,-5237000,182828000,182828000,456664000,-1586000,3299000,9190000,-24961000,-14058000,-1627000,72000,-510000,13646000,13868000,-118000,-118000,-252000,15111000,161513000,-8354000,0.35701,0.0728,-0.00978,-0.00867,-0.00347,5.26734,3.14546,1.49778,0.35368,-0.11643,-0.11643,11.91044,13.42152,-0.61327,0.03744,-0.00286,-0.02218,-0.32156,10.35908,13.25229
"18","2015_Q1",13.9883606557377,"Down",190034000,-120260000,69774000,-51464000,-51464000,18310000,-1658000,-1658000,16652000,15867000,-5473000,-1133000,9261000,9261000,9261000,9261000,5068000,5068000,107211000,107211000,137924000,7914000,7914000,258117000,26801000,136484000,103597000,4732000,163285000,421402000,70811000,28694000,36961000,10765000,83869000,127655000,21645000,1485000,20160000,149300000,233169000,160452000,37703000,-9922000,188233000,188233000,421402000,9261000,3572000,-3978000,17195000,26050000,-1763000,-2636000,-514000,-22818000,-23391000,22999.9999999998,22999.9999999998,91000.0000000002,21882000,138420000,42787000,0.36717,0.09635,0.04873,0.0492,0.02198,4.62013,3.07762,1.23873,0.32847,0.67618,0.59687,13.87515,13.74365,3.12405,0.03753,0.02807,0.12285,0.0554999999999999,6.09414,7.28301000000001
"19","2015_Q2",13.4069841269841,"Down",117657000,-72749000,44908000,-47079000,-47079000,-2171000,-1431000,-1431000,-3602000,-3756000,1363000,288000,-2105000,-2105000,-2105000,-2105000,3415000,3415000,78761000,78761000,142997000,11462000,11462000,236635000,26317000,134780000,101851000,4539000,161097000,397732000,59608000,27155000,32393000,10480000,72639000,117779000,21788000,1485000,20303000,139567000,212206000,163109000,35078000,-12661000,185526000,185526000,397732000,-2105000,3555000,629000,8162000,10241000,-1406000,-1406000,-514000,-10161000,-10394000,-1559000,-1559000,-1653000,1384000,128259000,6777000,0.38169,-0.01845,-0.01789,-0.01135,-0.00529,-3.21948,3.25769,1.14381,0.32248,-0.15322,-0.15322,8.56435,13.50459,0.4933,0.03741,-0.00474,0.0202,-0.24418,90.2052,-57.5053
"20","2015_Q3",13.06,"Down",120935000,-77424000,43511000,-44498000,-44498000,-987000.000000002,-1459000,-1459000,-2446000,-2446000,716999.999999999,2000,-1727000,-1727000,-1727000,-1727000,4956000,4956000,77530000,77530000,154244000,12719000,12719000,249449000,25999000,129919000,100104000,2947000,155918000,405367000,63865000,32691000,31174000,20115000,87199000,111308000,21286000,1474000,19812000,132594000,219793000,164174000,32826000,-11426000,185574000,185574000,405367000,-1727000,3638000,916999.999999999,-2445000,383000,-1475000,-1475000,-519000,3168000,2909000,1817000,1817000,1541000,2651000,131423000,-1986000,0.35979,-0.00816000000000001,-0.01428,-0.00931,-0.00426,1.14997,2.86069,1.1844,0.32421,-0.12496,-0.12496,8.75072,13.42793,-0.1437,0.03755,-0.00357,-0.00587,-0.30052,47.70539,-128.13273
"21","2015_Q4",12.6353125,"Down",163198000,-106246000,56952000,-47190000,-47190000,9762000,-1454000,-1454000,8308000,8308000,-2745000,-459000,5104000,5104000,5104000,5104000,6279000,6279000,109184000,109184000,173612000,9893000,9893000,298968000,25501000,125495000,98343000,2792000,150996000,449964000,81585000,35663000,45922000,2e+07,103650000,136298000,22038000,1951000,20087000,158336000,261986000,165266000,37326000,-14614000,187978000,187978000,449964000,5104000,3510000,2113000,-32782000,-22055000,-1309000,-1309000,-524000,25085000,24863000,1499000,1499000,1323000,13272000,156298000,-18074000,0.34897,0.05982,0.03127,0.02715,0.01134,-3.54114,2.8844,1.39371,0.34736,0.36682,0.3365,11.72905,13.50999,-1.29898,0.03766,0.01536,-0.04934,0.10266,11.30342,15.36765
"22","2016_Q1",11.1373770491803,"Down",185880000,-116865000,69015000,-50951000,-50951000,18064000,-1402000,-1402000,16662000,16225000,-5962000,743000,11006000,11006000,11006000,11006000,7131000,7131000,90576000,90576000,136890000,8783000,8783000,243380000,24877000,130074000,96593000,2022000,154951000,398331000,71463000,27245000,40154000,19898000,91361000,80350000,27152000,8596000,18556000,107502000,198863000,165920000,47733000,-14185000,199468000,199468000,398331000,11006000,3500000,1130000,42305000,57941000,-950000,-838000,-593000,-55369000,-56522000,581000,581000,852000,21564000,100248000,68881000,0.37129,0.09718,0.05921,0.05518,0.02763,6.2585,2.66394,0.99697,0.25167,0.79021,0.76761,13.34578,14.32137,4.94551,0.04258,0.03549,0.21073,0.05388,4.31817,5.15483999999998
"23","2016_Q2",14.0840625,"Up",110925000,-70374000,40551000,-45125000,-45125000,-4574000,-1193000,-1193000,-5767000,-6408000,2270000,-150000,-4288000,-4288000,-4288000,-4288000,5878000,5878000,74203000,74203000,139670000,14804000,10771000,234555000,24443000,128292000,94843000,2261000,152735000,387290000,54395000,21183000,33212000,24868000,79263000,84237000,27827000,8860000,18967000,112064000,191327000,169018000,42838000,-15893000,195963000,195963000,387290000,-4288000,3484000,1228000,-9244000,-8820000,-761000,-761000,-594000,8946000,8467000,-1114000,-1114000,-1253000,-1090000,109105000,-13365000,0.36557,-0.04124,-0.03866,-0.02188,-0.01107,3.11684,2.9592,0.97634,0.28171,-0.3071,-0.3071,7.94421,14.03445,-0.95717,0.04254,-0.0111,-0.04015,-0.13853,-94.70367,-22.56821
"24","2016_Q3",12.475625,"Down",118050000,-75056000,42994000,-42222000,-42222000,772000,-1122000,-1122000,-350000.000000004,-1682000,472999.999999999,18000.0000000001,-1191000,-1191000,-1191000,-1191000,6649000,6649000,81055000,81055000,150593000,13775000,9107000,252072000,22910000,126201000,93397000,2196000,149111000,401183000,60285000,25942000,34343000,9967000,70252000,110351000,27997000,9091000,18906000,138348000,208600000,170518000,41025000,-18960000,192583000,192583000,401183000,-1191000,3578000,895000,-14037000,-10755000,-330000,-377000,-604000,11533000,11940000,808000,808000,771000,4350000,120318000,-10490000,0.3642,0.00654,-0.01009,-0.00618,-0.00297,8.80772,3.58811,1.08317,0.29991,-0.0841399999999999,-0.08414,8.33981,13.6053,-0.741079999999999,0.04267,-0.00172000000000001,-0.03077,-0.50714,26.1308,147.23964
"25","2016_Q4",14.3720634920635,"Up",170124000,-111802000,58322000,-47540000,-47540000,10782000,-1231000,-1231000,9551000,9551000,-2961000,-138000,6452000,6452000,6452000,6452000,5831000,5831000,130112000,130112000,171337000,10495000,8323000,317775000,21402000,128727000,96923000,2104000,150129000,467904000,101578000,49228000,52350000,9969000,111547000,130656000,28400000,9143000,19257000,159056000,270603000,171361000,46860000,-20920000,197301000,197301000,467904000,6452000,4682000,1024000,-22971000,-10813000,-891000,-9659000,-606000,20305000,19703000,-769000,-769000,-818000,15464000,140625000,-5437000,0.34282,0.06338,0.03793,0.0327,0.01379,-0.84268,2.8488,1.37152,0.30054,0.45217,0.41994,11.92263,13.82725,-0.38104,0.04247,0.01927,-0.01484,0.09392,8.71663,12.50176
"26","2017_Q1",14.9235483870968,"Up",193520000,-118487000,75033000,-52516000,-52516000,22517000,-1257000,-1257000,21260000,20541000,-6812000,1018000,14747000,14747000,14747000,14747000,7883000,7883000,104556000,104556000,135212000,8796000,8796000,256447000,21131000,122276000,89219000,1886000,143407000,399854000,81830000,29698000,45212000,9456000,91286000,86201000,24639000,5666000,18973000,110840000,202126000,173746000,60981000,-36999000,197728000,197728000,399854000,14747000,2404000,-1694000,44680000,60137000,-1334000,-13651000,-609000,-44996000,-44275000,2211000,2211000,2052000,24921000,95657000,75079000,0.38773,0.11635,0.0762,0.07458,0.03688,5.09114,2.80927,1.02224,0.23923,1.03061,1.00224,13.52436,13.81844,5.24698,0.04256,0.04829,0.23608,0.0413,3.52209,3.89811999999999
"27","2017_Q2",17.4457142857143,"Up",113356000,-69415000,43941000,-45815000,-45815000,-1874000,-941000,-941000,-2815000,-2815000,944000,540000,-1331000,-1331000,-1331000,-1331000,6289000,6289000,61756000,61756000,154188000,9837000,9837000,232070000,19891000,122686000,88069000,1813000,142577000,374647000,63239000,26569000,31145000,7123000,70362000,81933000,23649000,5778000,17871000,105582000,175944000,174719000,58979000,-34995000,198703000,198703000,374647000,-1331000,3286000,481000,3543000,5979000,-373000,-373000,-613000,-6703000,-7253000,-1647000,-1647000,-1594000,1412000,89056000,3638000,0.38764,-0.01653,-0.01174,-0.0067,-0.00355,-2.73328,3.29823,0.88546,0.23771,-0.09246,-0.09246,7.87413,13.80265,0.25271,0.04258,-0.00231,0.01168,-0.46056,58.61686,-44.16596
"28","2017_Q3",16.4684126984127,"Down",117393000,-74596000,42797000,-45684000,-45684000,-2887000,-1001000,-1001000,-3888000,-4252000,1698000,458000,-2096000,-2096000,-2096000,-2096000,4122000,4122000,67509000,67509000,167428000,12367000,8088000,251426000,20650000,123106000,88129000,1340000,143756000,395182000,71136000,33977000,37159000,121000,71257000,98974000,23771000,6161000,17610000,122745000,194002000,176636000,56210000,-31666000,201180000,201180000,395182000,-2096000,3348000,471000,-11987000,-10264000,-2337000,-2337000,-622000,9756000.00000001,10290000,-2311000,-2311000,-2167000,461000,99095000,-15561000,0.36456,-0.02459,-0.01785,-0.01042,-0.0053,7.42414,3.52844,0.96432,0.25076,-0.14499,-0.14499,8.12071,13.91671,-1.07644,0.04303,-0.00455000000000001,-0.04802,-0.29676,206.01518,-32.89678
"29","2017_Q4",16.2947619047619,"Down",165957000,-108769000,57188000,-47583000,-47583000,9605000,-1172000,-1172000,8433000,8161000,-3505000,-326000,4330000,4330000,4330000,4330000,5533000,5533000,119732000,119732000,175645000,7972000,7110000,308882000,20091000,124751000,90045000,1768000,144842000,453724000,93326000,47987000,45339000,123000,93449000,128457000,23719000,6290000,17429000,152176000,245625000,177607000,59900000,-29408000,208099000,208099000,453724000,4330000,4063000,1397000,-26428000,-16638000,-1559000,-10631000,-620000,29178000,28565000,1296000,1296000,1411000,13668000,128580000,-10814000,0.3446,0.05788,0.02609,0.02081,0.00954,-2.49746,3.30535,1.18033,0.28339,0.29715,0.28784,11.38876,14.28074,-0.74211,0.04255,0.01373,-0.03001,0.14319,9.00256,12.81072
"30","2018_Q1",14.3016393442623,"Down",182770000,-111539000,71231000,-59871000,-59871000,11360000,-1177000,-1177000,10183000,9685000,-8169000,-265000,1251000,1251000,1251000,1251000,7600000,7600000,108033000,108033000,132436000,10354000,10354000,258423000,23065000,120033000,88479000,1750000,143098000,401521000,71446000,25461000,44121000,69000,71515000,94744000,24983000,4734000,20249000,119727000,191242000,179058000,60546000,-29325000,210279000,210279000,401521000,1251000,3492000,2321000,30865000,37929000,-2027000,-2027000,-620000,-33915000,-33899000,2003000,2003000,2067000,14852000,94813000,51859000,0.38973,0.06215,0.00684,0.00595,0.00312,41.45404,3.61355,0.90947,0.23613,0.08571,0.07856,12.52192,14.40662,3.55296,0.04248,0.00567,0.15711,0.4956,5.87213999999999,7.6772
