"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q2",37.7301587301587,"Up",272615000,-180223000,92392000,-88949000,-85828000,-3121000,3443000,-1777000,-1777000,1666000,1666000,-633000,1033000,1033000,1118000,1118000,20620000,20620000,151841000,151841000,242072000,26618000,24392000,441151000,43912000,168872000,74285000,61359000,12905000,20323000,223074000,664225000,100085000,69682000,30403000,178617000,35223000,16316000,18907000,54454000,233071000,174597000,-3899000,259556000,1144000,431398000,431154000,664225000,1033000,3121000,4134000,-22450000,-14162000,-4579000,-4579000,11088000,431000,11755000,-6986000,-6986000,246000,-6740000,6564000,95319000,-19832000,0.33891,0.01263,0.0041,0.00259,0.00168,-17.73882,2.46982,0.54057,0.1435,0.02728,0.02659,6.65304,10.52807,-0.48399,0.00199,-0.03531,11.3801,21.6959
"12","2014_Q3",40.9615625,"Up",304158000,-204738000,99420000,-92286000,-89044000,-3242000,7134000,-1751000,-1751000,5383000,5383000,-2045000,3338000,3338000,3592000,3592000,16454000,16454000,162563000,162563000,406246000,40597000,36011000,625860000,46016000,175166000,75137000,54153000,14018000,31858000,231500000,857360000,233400000,195549000,37851000,358695000,39203000,19235000,19968000,58721000,417416000,180044000,-3899000,263289000,1008000,440442000,439944000,857360000,3338000,3242000,4858000,-57086000,-45648000,-6101000,-6101000,46004000,2443000,48971000,-2778000,-2778000,-1388000,-4166000,10376000,141610000,-50766000,0.32687,0.02345,0.01181,0.00816,0.00419,-14.13307,1.74482,0.94879,0.16517,0.08477,0.08292,7.17794,10.39416,-1.19805,0.00579,-0.08178,12.06207,17.54359
"13","2014_Q4",42.94734375,"Up",668703000,-441693000,227010000,-128617000,-125457000,-3160000,98393000,-2655000,-2655000,95738000,95738000,-36381000,59357000,59357000,59595000,59595000,29811000,29811000,397546000,397546000,323334000,16811000,16811000,767502000,49639000,177141000,77499000,55257000,14065000,30320000,237098000,1004600000,214251000,113914000,100337000,434213000,44260000,20026000,24234000,64547000,498760000,182811000,-3899000,322895000,4769000,506576000,505840000,1004600000,59357000,3160000,3038000,-141921000,-76366000,-5034000,-5034000,93689000,552000,94497000,13097000,13097000,260000,13357000,101553000,236069000,-9021000,0.33948,0.14714,0.08912,0.11781,0.05932,-0.15137,1.76757,0.986,0.23499,1.32959,1.30336,14.91908,11.30195,-0.20126,0.0758,-0.01147,2.03104,2.09627
"14","2015_Q1",51.4868852459016,"Up",871379000,-532942000,338437000,-282512000,-271661000,-10851000,55925000,-1759000,-1759000,54166000,65654000,-20391000,45263000,45263000,46056000,46056000,22091000,22091000,160010000,160010000,359639000,28119000,21312000,569859000,62832000,181875000,81086000,55604000,13926000,31259000,261038000,830897000,187709000,131241000,56468000,241226000,47115000,22100000,25015000,67675000,308901000,185050000,-3899000,335797000,6165000,523113000,521996000,830897000,45263000,10851000,-5760000,174461000,224815000,-26336000,-23641000,-216541000,-7742000,-95884000,105290000,105290000,-1478000,103812000,66776000,69403000,235292000,0.38839,0.06418,0.05285,0.08823,0.05543,5.10882,2.36234,0.59177,0.08353,1.02301,0.98816,19.35538,11.61957,5.22639,0.07213,0.3685,0.708519999999999,0.84599
"15","2015_Q2",61.2139682539683,"Up",366192000,-236058000,130134000,-126668000,-122441000,-4227000,3466000,-1709000,-1709000,1757000,1757000,-668000,1089000,1089000,1290000,1290000,23610000,23610000,145010000,145010000,322659000,43325000,26796000,534604000,69080000,183120000,80959000,55572000,13741000,32848000,268531000,803135000,140221000,103382000,36839000,208317000,47776000,22078000,25698000,68313000,276630000,188504000,-3899000,337088000,6129000,527822000,526505000,803135000,1089000,4227000,-1187000,-7452000,-3323000,-10125000,-10125000,14107000,446000,15111000,1663000,1663000,-144000,1519000,7693000,83487000,-9216000,0.35537,0.00946,0.00352,0.00245,0.00161,-7.14419,2.5663,0.52541,0.10395,0.02869,0.02792,8.14393,11.73851,-0.20496,0.00196,-0.01401,7.78331,17.27553
"16","2015_Q3",68.6315625,"Up",424010000,-275626000,148384000,-136563000,-131609000,-4954000,11821000,-2291000,-2291000,9530000,9529999.99999999,-3621000,5909000,5909000,6236000.00000001,6236000.00000001,21534000,21534000,191533000,191533000,534186000,55702000,37228000,802955000,75808000,182324000,80425000,55354000,14229000,32316000,274463000,1077418000,291122000,242349000,48773000,341886000,47091000,21936000,25155000,67477000,409363000,324440000,-3899000,343323000,5836000,669700000,668055000,1077418000,5909000,4954000,2006000,-116138000,-103269000,-11242000,-11242000,-17919000,1731000,112580000,-1930999.99999999,-1930999.99999999,-145000,-2076000.00000001,16775000,65417000,-106984000,0.34995,0.02788,0.01471,0.00933,0.00579,-17.15587,2.3486,0.61277,0.06072,0.13835,0.13451,9.40718,14.85812,-2.37357,0.00799,-0.13706,2.61598,3.71229
"17","2015_Q4",52.1696875,"Down",1026512000,-645206000,381306000,-224542000,-215510000,-9032000,156764000,-107000,-107000,156657000,157550000,-58182000,99368000,99368000,98840000,98840000,54298000,54298000,537458000,537458000,510374000,14799000,14799000,1116929000,101137000,156876000,68871000,50164000,11461000,26380000,299563000,1416492000,314787000,175056000,139731000,486627000,44869000,18770000,26099000,44869000,531496000,354294000,-2643000,552528000,-19183000,884996000,884996000,1416492000,99371000,9032000,10660000,-197231000,-78168000,-12948000,-38438000,175652000,-2177000,44525000,-72081000,-72081000,-1418000,-73499000,165796000,171840000,13799000,0.37146,0.15272,0.09629,0.11168,0.06978,0.13961,2.29525,0.60056,0.12131,2.18137,2.1244,22.65481,19.53159,0.30454,0.08972,0.01253,0.70896,0.7498
"18","2016_Q1",48.3955737704918,"Down",527428000,-348614000,178814000,-166381000,-159202000,-7179000,12433000,-2584000,-2584000,9849000,10296000,-2329000.00000001,7967000,7967000,7966999.99999999,7966999.99999999,132587000,132587000,221500000,221500000,485311000,45478000,22131000,884876000,103579000,152389000,67267000,49437000,10799000,24886000,299194000,1184070000,244804000,173586000,71218000,244804000,51139000,23840000,27299000,51139000,295943000,353968000,-2643000,560491000,-23689000,888127000,888127000,1184070000,7963999.99999999,7179000,7986000,235927000,259056000,-7857000,-7856999.99999999,-171840000,-2353553.50620391,-171799000,79400000,79400000,-1111000,78289000,19612000,-2.98023223876953e-08,250011000,0.33903,0.02357,0.01511,0.00897000000000001,0.00673000000000001,31.38082,3.61463,0.33322,-1.38777878078145e-17,0.17334,0.16969,11.47506,19.32265,5.4394,0.00848,0.26618,-6.7605,-10.66412
"19","2016_Q2",43.14390625,"Down",457403000,-291734000,165669000,-160298000,-153105000,-7193000,5371000,-1242000,-1242000,4129000,4398000,-1627000,2771000,2771000,2771000,2771000,95448000,95448000,213752000,213752000,406720000,51854000,26495000,767774000,103715000,156144000,69372000,50406000,10738000,25628000,338907000,1106681000,151848000,100215000,51633000,151848000,53182000,25186000,27996000,53182000,205030000,358689000,-2643000,563262000,-17657000,901651000,901651000,1106681000,2771000,7193000,4537000,-12667000,1834000,-6096000,-41528000,-345907173.932677,-754333.538838426,247000,-39447000,-39447000,2308000,-37139000,12564000,0,-4572000,0.36219,0.01174,0.00606,0.00307,0.0025,-1.64995,5.0562,0.22739,0,0.06084,0.05903,10.042,19.79519,-0.10038,0.0029,-0.00479,-7.59694,-17.77099
"20","2016_Q3",39.25078125,"Down",442267000,-286624000,155643000,-160840000,-153168000,-7672000,-5197000,-1056000,-1056000,-6252999.99999999,-5904999.99999999,4612000,-1293000,-1293000,-1293000,-1293000,44950000,44950000,243108000,243108000,569996000,64279000,33149000,922333000,103697000,153032000,68169000,49864000,10217000,24782000,337187000,1259520000,305327000,244904000,60423000,305327000,54088000,24902000,29186000,54088000,359415000,361178000,-2576000,561970000,-20467000,900105000,900105000,1259520000,-1293000.00000001,7672000,4952000,-52184000.0000001,-40853000,-6521000,-6521000,-206760935.36075,-2011000,-2002000,-49376000,-49376000,-1122000,-50498000,2474999.99999999,0,-60842000,0.35192,-0.01175,-0.00291999999999999,-0.00143999999999999,-0.00103,47.05491,3.0208,0.3993,0,-0.0283100000000001,-0.02831,9.68461,19.71018,-1.3323,-0.00136,-0.06376,-18.16162,8.64922
"21","2016_Q4",29.0465079365079,"Down",883475000,-562023000,321452000,-206307000,-198274000,-8033000,115145000,-1701000,-1701000,113444000,112007000,-41443000,70564000,70564000,70564000,70564000,44996000,44996000,537073000,537073000,490555000,16326000,16326000,1088950000,101579000,153885000,68637000,50094000,9910000,25244000,334491000,1423441000,310681000,181653000,129028000,402015000,51524000,21575000,29949000,51524000,453539000,359384000,-1490000,632534000,-20526000,969902000,969902000,1423441000,70564000,8033000,3818000,-160647000,-78232000,-5783000,-5783000,91334000.0000001,-5634000,85704000,1689000,1689000,-1643000,46000,123178000,91334000,-1809000,0.36385,0.13033,0.07987,0.07275,0.04957,-0.02564,2.70873,0.46761,0.06416,1.53674,1.5045,19.24028,21.12248,-0.0394,0.06341,-0.00163,0.37619,0.40243
"22","2017_Q1",25.5041935483871,"Down",603290000,-405193000,198097000,-219952000,-199889000,-20063000,-21855000,-11676000,-11676000,-33531000,-32738000,12634000,-20104000,-20104000,-20104000,-20104000,79957000,79957000,263881000,263881000,483269000,55831000,46946000,882938000,102571000,805264000,435414000,269262000,48558000,36181000,969006000,1851944000,315419000,217902000,97517000,315419000,53533000,14300000,39233000,515289000,830708000,438030000,-1490000,612418000,-27722000,1021236000,1021236000,1851944000,-20104000,9583000,15140000,218327000,222946000,-6528000,-471931000,282992000,690000,283682000,34697000,34697000,264000,34961000,-12272000,461756000,186893000,0.32836,-0.03623,-0.03332,-0.01969,-0.01086,-9.29631,2.79925,0.81343,0.24934,-0.41798,-0.40156,12.54293,21.2324,3.88567,-0.01308,0.12163,-31.11139,-17.46964
"23","2017_Q2",23.241746031746,"Down",529042000,-327326000,201716000,-207249000,-197411000,-9838000,-5533000,-9729000,-9729000,-15262000,-16494000,6103000,-10391000,-10391000,-10391000,-10391000,67134000,67134000,256212000,256212000,445969000,72319000,55474000,841634000,100102000,802050000,436147000,266901000,47797000,35304000,962154000,1803788000,239718000,164521000,75197000,239718000,55214000,14536000,40678000,548010000,787728000,443150000,-1463000,602027000,-27654000,1016060000,1016060000,1803788000,-10391000,9838000,10070000,-42737000,-33220000,-5729000,-5729000,28877000,4040515.94407938,29046000,-9903000,-9903000,-2920000,-12823000,4305000,492796000,-50264000,0.38129,-0.01046,-0.01964,-0.01023,-0.00576,4.83726,3.51093,0.77528,0.2732,-0.2136,-0.2136,10.8749,20.88596,-1.03322,-0.00664,-0.03214,98.87619,-76.9315
"24","2017_Q3",26.3566666666667,"Up",538006000,-335017000,202989000,-206585000,-195849000,-10736000,-3596000,-10106000,-10106000,-13702000,-13333000,4765000,-8568000,-8568000,-8568000.00000001,-8568000.00000001,58782000,58782000,287570000,287570000,655272000,81991000,58653000,1083615000,95074000,803347000,439637000,264706000,47774000,35149000,958436000,2042051000,394578000,312191000,82387000,394578000,57605000,15721000,41884000,626439000,1021017000,448574000,-1360000,593501000,-19681000,1021034000,1021034000,2042051000,-8568000.00000001,10736000,7177000,-90485000,-81140000,-4882000,-4882000.00000006,73957000,-6999.99999999814,74203000,-11819000,-11819000,3467000,-8352000,7140000,568834000,-92992000,0.3773,-0.00668,-0.01593,-0.00839000000000001,-0.0042,10.85341,2.74626,0.99998,0.27856,-0.17597,-0.17597,11.04985,20.97053,-1.90992,-0.0052,-0.05645,71.43585,-141.83871
"25","2017_Q4",29.2042857142857,"Up",1024992000,-633896000,391096000,-249646000,-242740000,-6906000,141450000,-11431000,-11431000,130019000,127947000,-46322000,81625000,81625000,81625000,81625000,68229000,68229000,601179000,601179000,592822000,34841000,34841000,1297071000,98522000,802818000,441490000,264200000,47076000,33883000,961982000,2259053000,368700000,216860000,151840000,368700000,56813000,16325000,40488000,783421000,1152121000,447802000,-455000,675084000,-15499000,1106932000,1106932000,2259053000,81625000,6906000,9672000,-229435000,-131232000,-10817000,-10866000,155693000,-6107000,150696000,8598000,8598000,849000,9447000,148356000,726608000,-45574000,0.38156,0.138,0.07963,0.07374,0.03613,-0.55833,3.51796,1.04082,0.32164,1.67107,1.64806,20.98415,22.66167,-0.93301,0.04318,-0.02411,4.43783,4.6545
"26","2018_Q1",37.1518032786885,"Up",714898000,-455794000,259104000,-237434000,-219247000,-18187000,21670000,-12222000,-12222000,9448000.00000003,11929000,-12471000,-542000,-542000,-542000,-542000,45776000,45776000,294430000,294430000,553323000,66072000,51014000,959601000,97857000,795297000,442265000,262710000,46405000,32478000,955576000,1915177000,347167000,232364000,114803000,347167000,56277000,15888000,40389000,447321000,794488000,452089000,-420000,674542000,-5522000,1120689000,1120689000,1915177000,-541999.999999985,10303000,22549000,293016000,325326000,-12435000,-12435000,-337645000,-9.31322574615479e-10,-337599000,-24708000,-24708000,2255000,-22453000,31973000,391044000,325025000,0.36243,0.03031,-0.000760000000000011,-0.000479999999999994,-0.000279999999999996,-599.67712,2.76409,0.70893,0.20418,-0.0110399999999995,-0.0104,14.56093,22.82602,6.62006,-0.000350000000000003,0.20729,10.79874,15.93299
"27","2018_Q2",40.64109375,"Up",611743000,-377216000,234527000,-211451000,-202071000,-9380000,23076000,-9620000,-9620000,13456000,13005000,-3120000,9885000,9885000,9885000,9885000,71048000,71048000,429146000,429146000,463463000,104204000,102072000,1067861000,95269000,814272000,443900000,263275000,45406000,33709000,972702000,2040563000,238912000,152854000,86058000,453605000,55771000,16388000,39383000,504034000,957639000,454660000,-283000,630633000,-2086000,1082924000,1082924000,2040563000,9885000,9380000,7634000,-51214000,-24315000,-5330000,-5330000,55374000,-1085000,54345000,24700000,24700000,572000,25272000,32456000,448263000,-20968000,0.38338,0.03772,0.01616,0.00913,0.00484,-2.12119,2.35416,0.88431,0.21968,0.20121,0.19716,12.45228,22.04336,-0.42681,0.00623,-0.01321,11.62235,16.34664
"28","2018_Q3",45.4442857142857,"Up",624698000,-393154000,231544000,-208315000,-198860000,-9455000,23229000,-10210000,-10210000,13019000,12991000,-2914000,10077000,10077000,10077000,10077000,42306000,42306000,447576000,447576000,678571000,107650000,100688000,1276103000,92133000,809350000,440878000,261677000,44193000,34242000,960531000,2236634000,396891000,301427000,95464000,601251000,53960000,15393000,38567000,548166000,1149417000,460263000,-233000,640774000,-13587000,1087217000,1087217000,2236634000,10077000,9455000,8752000,-89447999.9999999,-61164000,-6125000,-6125000,44049000,-13000,44035999.9999999,-23253000,-23253000,-5489000,-28742000,32684000,494206000,-59975000,0.37065,0.03718,0.01613,0.00926999999999999,0.00451,-5.95167000000008,2.12241,1.05721,0.22096,0.20495,0.19988,12.70512,22.11184,-1.21977,0.00616000000000001,-0.03667,13.82634,19.45413
"29","2018_Q4",37.02,"Down",1072982000,-690882000,382100000,-242085000,-232052000,-10033000,140015000,-12323000,-12323000,127692000,127868000,-33843000,94025000,94025000,94025000,94025000,66080000,66080000,819636000,819636000,616162000,82933000,82933000,1584811000,89658000,808725000,440505000,261366000,43409000,35109000,966257000,2551068000,387898000,224826000,163072000,623298000,52538000,15276000,37262000,746815000,1370113000,461721000,-13145315.4868707,734800000,-15566000,1180955000,1180955000,2551068000,94025000,10033000,9016000,-263702000,-150628000,-8061000,-18012000,198173000,-3745000,194428000,25788000,25788000,-2014000,23774000,150048000,694277000,-87872000,0.35611,0.13049,0.08763,0.07962,0.03686,-0.93456,2.54262,1.16017,0.27215,1.90984,1.86251,21.7944,23.98755,-1.78486,0.04877,-0.04558,4.18664,4.48664
"30","2019_Q1",34.75,"Down",766785000,-507847000,258938000,-211731000,-201780000,-9951000,47207000,-11771000,-11771000,35436000,29966000,-5886000,24080000,24080000,24080000,24080000,70138000,70138000,502133000,502133000,576383000,105241000,96933000,1253895000,86407000,801169000,439742000,261137000,42404000,35459000,954163000,2208058000,337199000,225499000,111700000,580788000,51657000,15128000,36529000,438261000,1019049000,464376000,-19054000,758881000,-15194000,1189009000,1189009000,2208058000,24080000,9951000,14232000,291673000,339936000,-9689000,-7865000,-309599000,-895000,-330760000,1310999.99999999,1310999.99999999,2747000,4058000.00000001,57158000,386604000,345028000,0.33769,0.06156,0.0314,0.02025,0.01091,14.32841,2.15895,0.85706,0.17509,0.49111,0.48101,15.63846,24.24965,7.03679,0.0148,0.21203,5.53669,6.70379
